"Sindhi","English"
"درجن","abscond"
"درجو","absconded"
"درخواست","abscondedly"
"درد","abscondence"
"دردناڪ","absconder"
"درست","absconders"
"درستگي","absconding"
"دروازو","absconds"
"دريافت","absconsa"
"دستانو","abscoulomb"
"دستاويز","abscound"
"دستخط","Absecon"
"دستياب","absee"
"دستيابي","absey"
"دشمن","abseil"
"دشمني","abseiled"
"دعا","abseiling"
"دعوت","abseils"
"دعويٰ","absence"
"دفاع","absences"
"دفاعي","absence's"
"دڪان","absent"
"دل","absentation"
"دلائڻ","absented"
"دلچسپ","absentee"
"دلچسپي","absenteeism"
"دلڪش","absentees"
"دليل","absentee's"
"دم","absenteeship"
"دماغ","absenter"
"دنيا","absenters"
"دهشت","absentia"
"دهشتگرد","absenting"
"دهشتگردي","absently"
"دوا","absentment"
"دور","absentminded"
"دوران","absent-minded"
"دوربين","absentmindedly"
"دورو","absent-mindedly"
"دوز","absentmindedness"
"دوست","absent-mindedness"
"دوستانه","absentmindednesses"
"دوستي","absentness"
"دولت","absents"
"دولتمند","absfarad"
"دير","abshenry"
"ديوال","Abshier"
"ڊاڪٽر","Absi"
"ڊالر","absinth"
"ڊائري","absinthe"
"ڊائريڪٽر","absinthes"
"ڊپارٽمينٽ","absinthial"
"ڊپريشن","absinthian"
"ڊجيٽل","absinthiate"
"ڊڄڻ","absinthiated"
"ڊرامائي","absinthiating"
"ڊرامو","absinthic"
"ڊرائنگ","absinthiin"
"ڊرائيو","absinthin"
"ڊرائيور","absinthine"
"ڊرائيونگ","absinthism"
"ڊرم","absinthismic"
"ڊريگن","absinthium"
"ڊسپلي","absinthol"
"ڊسڪ","absinthole"
"ڊسمبر","absinths"
"ڊفالٽ","Absyrtus"
"ڊگھائي","absis"
"ڊگهو","absist"
"ڊمپ","absistos"
"ڊوائيس","absit"
"ڊوڙندڙ","absmho"
"ڊوڙڻ","absohm"
"ڊولپر","absoil"
"ڊومين","absolent"
"ڊيٽا","Absolute"
"ڊيٽابيس","absolutely"
"ڊيڄارڻ","absoluteness"
"ڊيڄاريندڙ","absoluter"
"ڊيزائن","absolutes"
"ڊيزائنر","absolutest"
"ڊيسڪ","absolution"
"ڊيل","absolutions"
"ڊيلر","absolutism"
"ڊيموگرافڪ","absolutist"
"ڍال","absolutista"
"ڍرو","absolutistic"
"ڍڪڻ","absolutistically"
"ڍلو","absolutists"
"ڍنڍ","absolutive"
"ڍور","absolutization"
"ڏاڏو","absolutize"
"ڏاڏي","absolutory"
"ڏاکڻي","absolvable"
"ڏاڪڻ","absolvatory"
"ڏسندڙ","absolve"
"ڏسڻ","absolved"
"ڏسو","absolvent"
"ڏک","absolver"
"ڏکڻ","absolvers"
"ڏکوئيندڙ","absolves"
"ڏند","absolving"
"ڏنڊ","absolvitor"
"ڏنو","absolvitory"
"ڏهاڪو","absonant"
"ڏهه","absonous"
"ڏوهه","absorb"
"ڏوهي","absorbability"
"ڏيک","absorbable"
"ڏيکارڻ","absorbance"
"ڏينهن","absorbancy"
"ڏيڻ","absorbant"
"ڏيهي","absorbed"
"ذاتي","absorbedly"
"ذائقو","absorbedness"
"ذرو","absorbefacient"
"ذريعو","absorbency"
"ذريعي","absorbencies"
"ذميوار","absorbent"
"ذميواري","absorbents"
"ذهانت","absorber"
"ذهن","absorbers"
"ذهني","absorbing"
"ذهين","absorbingly"
"ذیابيطس","absorbition"
"ڌاتو","absorbs"
"ڌاڙيل","absorbtion"
"ڌاڳو","absorpt"
"ڌڪ","absorptance"
"ڌماڪو","absorptiometer"
"ڌوٻي","absorptiometric"
"ڌوئڻ","absorption"
"ڌيء","absorptional"
"راءِ","absorptions"
"رابطو","absorption's"
"رابطي","absorptive"
"رات","absorptively"
"راڄ","absorptiveness"
"راڊار","absorptivity"
"رازداري","absquatulate"
"راضي","absquatulation"
"راکشس","abstain"
"راڪيٽ","abstained"
"ران","abstainer"
"راند","abstainers"
"رانديڪو","abstaining"
"رانديگر","abstainment"
"راڻي","abstains"
"راھ","abstemious"
"راوي","abstemiously"
"رائفل","abstemiousness"
"رپورٽ","abstention"
"رپورٽر","abstentionism"
"رپورٽنگ","abstentionist"
"رت","abstentions"
"رٽائرڊ","abstentious"
"رٽائرمينٽ","absterge"
"رجحان","absterged"
"رجسٽر","abstergent"
"رجسٽريشن","absterges"
"رحم","absterging"
"رخ","absterse"
"ردعمل","abstersion"
"رڍ","abstersive"
"رزرو","abstersiveness"
"رزرويشن","abstertion"
"رزق","abstinence"
"رڙ","abstinences"
"رس","abstinency"
"رسالو","abstinent"
"رستو","abstinential"
"رسم","abstinently"
"رسمي","abstort"
"رسي","abstr"
"رش","abstract"
"رضاڪار","abstractable"
"رضامندي","abstracted"
"رعايت","abstractedly"
"رفتار","abstractedness"
"رقاص","abstracter"
"رقم","abstracters"
"رکڻ","abstractest"
"رکو","abstracting"
"رکوع","abstraction"
"رڪارڊ","abstractional"
"رڪارڊنگ","abstractionism"
"رڪاوٽ","abstractionist"
"رڪنيت","abstractionists"
"رڱڻ","abstractions"
"رڳو","abstraction's"
"رليف","abstractitious"
"رنگ","abstractive"
"رهائش","abstractively"
"رهائشي","abstractiveness"
"رهندڙ","abstractly"
"رهڻ","abstractness"
"رهواسي","abstractnesses"
"رواج","abstractor"
"روانگي","abstractors"
"روايت","abstractor's"
"روايتي","abstracts"
"روبوٽ","abstrahent"
"روح","abstrict"
"روحاني","abstricted"
"روڊ","abstricting"
"روزاني","abstriction"
"روزگار","abstricts"
"روسي","abstrude"
"روشن","abstruse"
"روشني","abstrusely"
"روڪ","abstruseness"
"روڪٿام","abstrusenesses"
"روڪڻ","abstruser"
"رول","abstrusest"
"رومانس","abstrusion"
"رومانوي","abstrusity"
"رومن","abstrusities"
"روئڻ","absume"
"رويو","absumption"
"رويي","absurd"
"ري","absurder"
"رياست","absurdest"
"رياضي","absurdism"
"ريپ","absurdist"
"ريڊيو","absurdity"
"ريسٽورٽ","absurdities"
"ريسٽورنٽ","absurdity's"
"ريشم","absurdly"
"ريڪ","absurdness"
"ريگستان","absurds"
"ريگيوليٽري","absurdum"
"ريل","absvolt"
"ريلي","abt"
"ريموٽ","abterminal"
"ريورس","abthain"
"زال","abthainry"
"زبان","abthainrie"
"زباني","abthanage"
"زبردست","abtruse"
"زخم","Abu"
"زخمي","abubble"
"زراعت","Abu-Bekr"
"زرعي","Abucay"
"زلزلو","abucco"
"زمين","abuilding"
"زنجير","Abukir"
"زندگي","abuleia"
"زنده","Abulfeda"
"زهريلو","abulia"
"زور","abulias"
"زون","abulic"
"زيادتي","abulyeit"
"زيتون","abulomania"
"زيور","abumbral"
"سا","abumbrellar"
"ساٿي","Abuna"
"ساڄو","abundance"
"ساحل","abundances"
"ساحلي","abundancy"
"ساخت","abundant"
"سادو","Abundantia"
"ساراهه","abundantly"
"سارجنٽ","abune"
"سازش","abura"
"ساڙڻ","aburabozu"
"ساس","aburagiri"
"ساڪر","aburban"
"ساڳيو","Abury"
"سال","aburst"
"سالانه","aburton"
"سالگراه","abusable"
"سالميت","abusage"
"ساليانو","abuse"
"سامان","abused"
"سامعين","abusedly"
"سامهون","abusee"
"سامون","abuseful"
"سامونڊي","abusefully"
"سان","abusefulness"
"سانت","abuser"
"سانحو","abusers"
"سانس","abuses"
"ساهه","abush"
"سائڊبار","abusing"
"سائنس","abusion"
"سائنسدان","abusious"
"سائنسي","abusive"
"سائو","abusively"
"سائيٽ","abusiveness"
"سائيڪل","abusivenesses"
"سائين","abut"
"سبب","Abuta"
"سبسڊي","Abutilon"
"سبق","abutilons"
"سڀ","abutment"
"سڀاڻي","abutments"
"سپاهي","abuts"
"سپر","abuttal"
"ست","abuttals"
"ستون","abutted"
"سٺو","abutter"
"سج","abutters"
"سڃاڻپ","abutter's"
"سڃاڻڻ","abutting"
"سڄو","abuzz"
"سڄي","abv"
"سچ","abvolt"
"سچو","abvolts"
"سخت","abwab"
"سخي","abwatt"
"سڏ","abwatts"
"سڏيندڙ","ac"
"سڌارو","ac-"
"سڌو","a-c"
"سر","AC/DC"
"سراسر","ACAA"
"سراسري","Acacallis"
"سرٽيفڪيٽ","acacatechin"
"سرحد","acacatechol"
"سرڪاري","Acacea"
"سرڪٽ","Acaceae"
"سرگرم","acacetin"
"سرگرمي","Acacia"
"سرگوشي","Acacian"
"سرمايو","acacias"
"سرمائيداري","acaciin"
"سرنگ","acacin"
"سرور","acacine"
"سروي","acad"
"سزا","academe"
"سست","academes"
"سستو","Academy"
"سستي","academia"
"سسٽم","academial"
"سطح","academian"
"سفارتخانو","academias"
"سفارتي","Academic"
"سفارش","academical"
"سفر","academically"
"سفير","academicals"
"سکرٽ","academician"
"سکڻ","academicians"
"سکيا","academicianship"
"سڪو","academicism"
"سگريٽ","academics"
"سگنل","academie"
"سگهي","academies"
"سڳورو","academy's"
"سلاد","academise"
"سلام","academised"
"سلائيڊ","academising"
"سلسلو","academism"
"سلطنت","academist"
"سليم","academite"
"سماج","academization"
"سماجي","academize"
"سمجھدار","academized"
"سمجھڻ","academizing"
"سمجھوتو","Academus"
"سمنڊ","Acadia"
"سمهڻ","acadialite"
"سميت","Acadian"
"سنڀال","Acadie"
"سنڀاليندڙ","Acaena"
"سنجيده","acajou"
"سندس","acajous"
"سندن","acal"
"سنڊروم","acalculia"
"سهولت","acale"
"سو","acaleph"
"سواءِ","Acalepha"
"سوار","Acalephae"
"سواري","acalephan"
"سوال","acalephe"
"سوالنامو","acalephes"
"سوپ","acalephoid"
"سوٽ","acalephs"
"سوچڻ","Acalia"
"سوچيو","acalycal"
"سوداگر","acalycine"
"سوڊا","acalycinous"
"سوڊيم","acalyculate"
"سور","Acalypha"
"سوراخ","Acalypterae"
"سول","Acalyptrata"
"سومر","Acalyptratae"
"سون","acalyptrate"
"سونا","Acamar"
"سوويت","Acamas"
"سوئچ","Acampo"
"سياح","acampsia"
"سيارو","acana"
"سياست","acanaceous"
"سياستدان","acanonical"
"سياسي","acanth"
"سيال","acanth-"
"سيپٽمبر","acantha"
"سيٽ","Acanthaceae"
"سيٽلائيٽ","acanthaceous"
"سيٽنگ","acanthad"
"سير","Acantharia"
"سيڙپڪار","acanthi"
"سيڙپڪاري","Acanthia"
"سيشن","acanthial"
"سيکارڻ","acanthin"
"سيڪريٽري","acanthine"
"سيڪڙو","acanthion"
"سيڪشن","acanthite"
"سيڪيورٽي","acantho-"
"سيڪيولر","acanthocarpous"
"سيل","Acanthocephala"
"سينٽ","acanthocephalan"
"سینڈوچ","Acanthocephali"
"سينسر","acanthocephalous"
"سينگ","Acanthocereus"
"سينو","acanthocladous"
"سينيٽ","Acanthodea"
"سينيٽر","acanthodean"
"سينئر","Acanthodei"
"سئي","Acanthodes"
"شاٽ","acanthodian"
"شاخ","Acanthodidae"
"شادي","Acanthodii"
"شارک","Acanthodini"
"شاعر","acanthoid"
"شاعري","Acantholimon"
"شاگرد","acantholysis"
"شام","acanthology"
"شامي","acanthological"
"شان","acanthoma"
"شاندار","acanthomas"
"شاھد","Acanthomeridae"
"شاهدي","acanthon"
"شاهي","Acanthopanax"
"شاور","Acanthophis"
"شايد","acanthophorous"
"شٽل","acanthopod"
"شخصيت","acanthopodous"
"شدت","acanthopomatous"
"شديد","acanthopore"
"شراب","acanthopteran"
"شرابي","Acanthopteri"
"شرح","acanthopterygian"
"شرط","Acanthopterygii"
"شرطون","acanthopterous"
"شرڪت","acanthoses"
"شرم","acanthosis"
"شرمسار","acanthotic"
"شرميلو","acanthous"
"شروعات","Acanthuridae"
"شروعاتي","Acanthurus"
"شعاع","acanthus"
"شعبي","acanthuses"
"شعلا","acanthuthi"
"شعور","acapnia"
"شعوري","acapnial"
"شفا","acapnias"
"شفٽ","acappella"
"شفقت","acapsular"
"شق","acapu"
"شڪ","Acapulco"
"شڪار","acara"
"شڪاري","Acarapis"
"شڪايت","acarari"
"شڪرگذار","acardia"
"شڪرگذاري","acardiac"
"شڪست","acardite"
"شڪل","acari"
"شڪي","acarian"
"شمار","acariasis"
"شماريات","acariatre"
"شمارياتي","acaricidal"
"شمسي","acaricide"
"شموليت","acarid"
"شهر","Acarida"
"شهرت","acaridae"
"شهري","acaridan"
"شهريت","acaridans"
"شهزادو","Acaridea"
"شهزادي","acaridean"
"شهنشاهه","acaridomatia"
"شوٽنگ","acaridomatium"
"شور","acarids"
"شوقين","acariform"
"شيءِ","Acarina"
"شيڊول","acarine"
"شير","acarines"
"شيرف","acarinosis"
"شيرين","Acarnan"
"شيطان","acarocecidia"
"شيف","acarocecidium"
"شيلف","acarodermatitis"
"شينهن","acaroid"
"صابڻ","acarol"
"صاحب","acarology"
"صارف","acarologist"
"صاف","acarophilous"
"صبح","acarophobia"
"صبر","acarotoxic"
"صحافت","acarpellous"
"صحافي","acarpelous"
"صحت","acarpous"
"صحتمند","Acarus"
"صحيح","ACAS"
"صحيحيت","acast"
"صدارت","Acastus"
"صدارتي","acatalectic"
"صدر","acatalepsy"
"صدمو","acatalepsia"
"صدي","acataleptic"
"صرف","acatallactic"
"صف","acatamathesia"
"صفت","acataphasia"
"صفحو","acataposis"
"صلاح","acatastasia"
"صلاحڪار","acatastatic"
"صلاحيت","acate"
"صنعت","acategorical"
"صنعتي","acater"
"صنف","acatery"
"صوبو","acates"
"صورتحال","acatharsy"
"صوف","acatharsia"
"ضابطو","acatholic"
"ضرور","acaudal"
"ضرورت","acaudate"
"ضروري","acaudelescent"
"ضلعو","acaulescence"
"ضمانت","acaulescent"
"ضمير","acauline"
"طاقت","acaulose"
"طاقتور","acaulous"
"طبي","ACAWS"
"طبيب","ACB"
"طرف","ACBL"
"طرفان","ACC"
"طريقو","acc."
"طعام","acca"
"طلاق","accable"
"طوفان","Accad"
"ظالم","accademia"
"ظاهر","Accadian"
"عادت","Accalia"
"عارضي","acce"
"عاشق","accede"
"عالم","acceded"
"عالمي","accedence"
"عام","acceder"
"عجب","acceders"
"عجيب","accedes"
"عجيب","acceding"
"عدالتي","accel"
"عذر","accel."
"عراقي","accelerable"
"عرب","accelerando"
"عرصو","accelerant"
"عزت","accelerate"
"عزم","accelerated"
"عضلات","acceleratedly"
"عضوو","accelerates"
"عطيو","accelerating"
"عقاب","acceleratingly"
"عقلمند","acceleration"
"عقلي","accelerations"
"عقيدو","accelerative"
"عڪس","accelerator"
"علاج","acceleratory"
"علامت","accelerators"
"علائقائي","accelerograph"
"علائقو","accelerometer"
"عمارت","accelerometers"
"عمده","accelerometer's"
"عمر","accend"
"عمل","accendibility"
"عملدرآمد","accendible"
"عملو","accensed"
"عملي","accension"
"عميق","accensor"
"عنصر","accent"
"عنوان","accented"
"عوامي","accenting"
"عورت","accentless"
"عيسائي","accentor"
"عيسائيت","accentors"
"غار","accents"
"غالب","accentuable"
"غائب","accentual"
"غبارو","accentuality"
"غذا","accentually"
"غذائيت","accentuate"
"غربت","accentuated"
"غروب","accentuates"
"غريب","accentuating"
"غزل","accentuation"
"غسل","accentuations"
"غلام","accentuator"
"غلامي","accentus"
"غلبو","accept"
"غلط","acceptability"
"غلطي","acceptabilities"
"غور","acceptable"
"غيرمعمولي","acceptableness"
"فاتح","acceptably"
"فارم","acceptance"
"فارمولا","acceptances"
"فارميٽ","acceptance's"
"فاصلو","acceptancy"
"فالج","acceptancies"
"فائبر","acceptant"
"فائدو","acceptation"
"فائديمند","acceptavit"
"فائل","accepted"
"فائنل","acceptedly"
"فتح","acceptee"
"فخر","acceptees"
"فرار","accepter"
"فرانسي","accepters"
"فراهمي","acceptilate"
"فرش","acceptilated"
"فرشتو","acceptilating"
"فرض","acceptilation"
"فرق","accepting"
"فرم","acceptingly"
"فرنچائز","acceptingness"
"فرنيچر","acception"
"فريب","acceptive"
"فريم","acceptor"
"فزڪس","acceptors"
"فساد","acceptor's"
"فصل","acceptress"
"فضل","accepts"
"فضول","accerse"
"فضيلت","accersition"
"فطرت","accersitor"
"فلٽر","access"
"فلسطيني","accessability"
"فلسفو","accessable"
"فلسفياڻو","accessary"
"فلم","accessaries"
"فلوٽ","accessarily"
"فليٽ","accessariness"
"فن","accessaryship"
"فنانس","accessed"
"فنڊ","accesses"
"فنڊنگ","accessibility"
"فنڪار","accessibilities"
"فنڪشن","accessible"
"فنڪشنل","accessibleness"
"فني","accessibly"
"فهرست","accessing"
"فوٽوگرافر","accession"
"فوٽوگرافي","accessional"
"فوٽيج","accessioned"
"فوج","accessioner"
"فوجي","accessioning"
"فورم","accessions"
"فوري","accession's"
"فوسل","accessit"
"فون","accessive"
"في","accessively"
"فيبروري","accessless"
"فيس","accessor"
"فيشن","accessory"
"فيصلو","accessorial"
"فيڪلٽي","accessories"
"ڦاٽڻ","accessorii"
"ڦٽڻ","accessorily"
"ڦٽو","accessoriness"
"ڦر","accessory's"
"ڦرڻ","accessorius"
"ڦڙو","accessoriusorii"
"ڦڦڙ","accessorize"
"ڦهلڻ","accessorized"
"ڦوٽو","accessorizing"
"ڦيٿي","accessors"
"قابل","accessor's"
"قابليت","acciaccatura"
"قاتل","acciaccaturas"
"قاعدو","acciaccature"
"قالين","accidence"
"قانون","accidency"
"قانوني","accidencies"
"قائل","accident"
"قبائلي","accidental"
"قبر","accidentalism"
"قبضو","accidentalist"
"قبوليت","accidentality"
"قبيلو","accidentally"
"قتل","accidentalness"
"قدر","accidentals"
"قدرتي","accidentary"
"قدم","accidentarily"
"قديم","accidented"
"قرارداد","accidential"
"قرض","accidentiality"
"قزاق","accidently"
"قسط","accident-prone"
"قسم","accidents"
"قسمت","accidia"
"قطار","accidias"
"قطب","accidie"
"قلعو","accidies"
"قلم","accinge"
"قميص","accinged"
"قوم","accinging"
"قومي","accipenser"
"قيادت","accipient"
"قياس","Accipiter"
"قيام","accipitral"
"قيدي","accipitrary"
"قيمت","Accipitres"
"قيمتي","accipitrine"
"کاٻو","accipter"
"کاڌو","accise"
"کالر","accismus"
"کان","accite"
"کائڻ","Accius"
"کٽ","acclaim"
"کٽڻ","acclaimable"
"کثافت","acclaimed"
"کجيءَ","acclaimer"
"کڏ","acclaimers"
"کرسٽل","acclaiming"
"کڙڪائڻ","acclaims"
"کلاسک","acclamation"
"کلائي","acclamations"
"کلڻ","acclamator"
"کليل","acclamatory"
"کنڊ","acclimatable"
"کڻ","acclimatation"
"کڻڻ","acclimate"
"کڻو","acclimated"
"کوپڙي","acclimatement"
"کوٽائي","acclimates"
"کوٽڻ","acclimating"
"کولڻ","acclimation"
"کيڏڻ","acclimations"
"کير","acclimatisable"
"کيسو","acclimatisation"
"ڪابينا","acclimatise"
"ڪاپي","acclimatised"
"ڪاٺ","acclimatiser"
"ڪار","acclimatising"
"ڪاربان","acclimatizable"
"ڪاربوهائيڊريٽ","acclimatization"
"ڪارپوريٽ","acclimatizations"
"ڪارپوريشن","acclimatize"
"ڪارٽون","acclimatized"
"ڪارخانو","acclimatizer"
"ڪارڊ","acclimatizes"
"ڪارروائي","acclimatizing"
"ڪارڪردگي","acclimature"
"ڪارو","acclinal"
"ڪاروبار","acclinate"
"ڪاغذ","acclivity"
"ڪافي","acclivities"
"ڪالم","acclivitous"
"ڪالهه","acclivous"
"ڪالوني","accloy"
"ڪاليج","accoast"
"ڪامياب","accoy"
"ڪاميابي","accoyed"
"ڪانٽو","accoying"
"ڪانفرنس","accoil"
"ڪانگريس","Accokeek"
"ڪانگريسي","accolade"
"ڪاوڙ","accoladed"
"ڪائنات","accolades"
"ڪائونسل","accolated"
"ڪپتان","accolent"
"ڪپڙا","accoll"
"ڪپڙو","accolle"
"ڪپهه","accolled"
"ڪتاب","accollee"
"ڪتو","Accomac"
"ڪٿي","accombination"
"ڪٽڻ","accommodable"
"ڪجھ","accommodableness"
"ڪجهه","accommodate"
"ڪچرو","accommodated"
"ڪچي","accommodately"
"ڪڍڻ","accommodateness"
"ڪڏهن","accommodates"
"ڪرايو","accommodating"
"ڪرپشن","accommodatingly"
"ڪردار","accommodatingness"
"ڪرسمس","accommodation"
"ڪرسي","accommodational"
"ڪرنسي","accommodationist"
"ڪرنل","accommodations"
"ڪرڻ","accommodative"
"ڪريڊٽ","accommodatively"
"ڪريم","accommodativeness"
"ڪڙو","accommodator"
"ڪشش","accommodators"
"ڪڪر","accomodate"
"ڪڪڙ","accompanable"
"ڪل","accompany"
"ڪلارڪ","accompanied"
"ڪلاس","accompanier"
"ڪلاسيڪل","accompanies"
"ڪلاڪ","accompanying"
"ڪلب","accompanyist"
"ڪلپ","accompaniment"
"ڪلستر","accompanimental"
"ڪلف","accompaniments"
"ڪلهوڙو","accompaniment's"
"ڪلينڪ","accompanist"
"ڪلينيڪل","accompanists"
"ڪم","accompanist's"
"ڪمانڊر","accomplement"
"ڪمائڻ","accompletive"
"ڪمپني","accompli"
"ڪمپيوٽر","accomplice"
"ڪمرو","accomplices"
"ڪمزور","accompliceship"
"ڪمزوري","accomplicity"
"ڪمشنر","accomplis"
"ڪمي","accomplish"
"ڪميٽي","accomplishable"
"ڪميشن","accomplished"
"ڪميونٽي","accomplisher"
"ڪميونسٽ","accomplishers"
"ڪن","accomplishes"
"ڪنٽرول","accomplishing"
"ڪنٽينر","accomplishment"
"ڪندو","accomplishments"
"ڪنڊ","accomplishment's"
"ڪنڌ","accomplisht"
"ڪنسرٽ","accompt"
"ڪنڪريٽ","accord"
"ڪُنو","accordable"
"ڪنوار","accordance"
"ڪنوينشن","accordances"
"ڪنيڪشن","accordancy"
"ڪڻڪ","accordant"
"ڪهاڻي","accordantly"
"ڪھڙي","accordatura"
"ڪهڪشان","accordaturas"
"ڪو","accordature"
"ڪوآرڊينيٽر","accorded"
"ڪوٽ","accorder"
"ڪوچ","accorders"
"ڪوڊ","according"
"ڪور","accordingly"
"ڪورٽ","accordion"
"ڪورس","accordionist"
"ڪوريج","accordionists"
"ڪوريڊور","accordions"
"ڪورين","accordion's"
"ڪوڙ","accords"
"ڪوڙو","accorporate"
"ڪوشش","accorporation"
"ڪوڪي","accost"
"ڪوليسٽرول","accostable"
"ڪوئلو","accosted"
"ڪوئو","accosting"
"ڪيب","accosts"
"ڪيبل","accouche"
"ڪيبن","accouchement"
"ڪيترائي","accouchements"
"ڪيٿولڪ","accoucheur"
"ڪير","accoucheurs"
"ڪيريئر","accoucheuse"
"ڪيس","accoucheuses"
"ڪيفي","accounsel"
"ڪيڪ","account"
"ڪيلا","accountability"
"ڪيلوري","accountabilities"
"ڪئلينڊر","accountable"
"ڪيمپ","accountableness"
"ڪيمپس","accountably"
"ڪيمسٽري","accountancy"
"ڪيميائي","accountancies"
"ڪئميرا","accountant"
"ڪينسر","accountants"
"ڪينواس","accountant's"
"ڪينيڊا","accountantship"
"ڪيئن","accounted"
"گاڏي","accounter"
"گال","accounters"
"گاهه","accounting"
"گپ","accountings"
"گٽ","accountment"
"گٽار","accountrement"
"گدا","accounts"
"گڏ","accouple"
"گڏجاڻي","accouplement"
"گڏوگڏ","accourage"
"گڏي","accourt"
"گڏيل","accouter"
"گذرڻ","accoutered"
"گراف","accoutering"
"گرافڪ","accouterment"
"گرام","accouterments"
"گراهڪ","accouters"
"گردن","accoutre"
"گرڊ","accoutred"
"گرفت","accoutrement"
"گرم","accoutrements"
"گرمي","accoutres"
"گرڻ","accoutring"
"گروپ","Accoville"
"گروهه","ACCRA"
"گريجوئيٽ","accrease"
"گريجوئيشن","accredit"
"گريڊ","accreditable"
"گشت","accreditate"
"گفتگو","accreditation"
"گل","accreditations"
"گلا","accredited"
"گلاب","accreditee"
"گلابي","accrediting"
"گلاس","accreditment"
"گلوب","accredits"
"گمنام","accrementitial"
"گنا","accrementition"
"گناهه","accresce"
"گنجائش","accrescence"
"گند","accrescendi"
"گندگي","accrescendo"
"گندو","accrescent"
"گھاس","accretal"
"گهٽ","accrete"
"گھٽ","accreted"
"گھٽائڻ","accretes"
"گهٽتائي","accreting"
"گهٽي","accretion"
"گھٹو","accretionary"
"گھر","accretions"
"گهربل","accretion's"
"گھربل","accretive"
"گهرج","accriminate"
"گهرجي","Accrington"
"گهرو","accroach"
"گهريلو","accroached"
"گھڙو","accroaching"
"گهمڻ","accroachment"
"گھمڻ","accroides"
"گھنٽي","accruable"
"گھڻا","accrual"
"گهڻو","accruals"
"گهورڻ","accrue"
"گهوڙو","accrued"
"گوپ","accruement"
"گود","accruer"
"گودام","accrues"
"گورنر","accruing"
"گوشت","ACCS"
"گول","ACCT"
"گولف","acct."
"گولي","accts"
"گونج","accubation"
"گونگا","accubita"
"گيت","accubitum"
"گيراج","accubitus"
"گيس","accueil"
"گيسولين","accultural"
"گيلري","acculturate"
"گيلن","acculturated"
"ڳاڙهو","acculturates"
"ڳالهائڻ","acculturating"
"ڳالهين","acculturation"
"ڳائڻ","acculturational"
"ڳائڻو","acculturationist"
"ڳرڻ","acculturative"
"ڳرو","acculturize"
"ڳنڍ","acculturized"
"ڳنڍڻ","acculturizing"
"ڳوٺ","accum"
"ڳوٺاڻن","accumb"
"ڳوڙها","accumbency"
"ڳولا","accumbent"
"ڳولڻ","accumber"
"ڳولهڻ","accumulable"
"ڳئون","accumulate"
"لاءِ","accumulated"
"لابي","accumulates"
"لاتعداد","accumulating"
"لاجواب","accumulation"
"لازمي","accumulations"
"لاطيني","accumulativ"
"لاڪر","accumulative"
"لاگ","accumulatively"
"لاڳاپو","accumulativeness"
"لاڳاپيل","accumulator"
"لان","accumulators"
"لانچ","accumulator's"
"لائبريري","accupy"
"لائسنس","accur"
"لائق","accuracy"
"لب","accuracies"
"لباس","accurate"
"لبرل","accurately"
"لپيٽڻ","accurateness"
"لت","accuratenesses"
"لٺ","accurre"
"لٽڪائڻ","accurse"
"لچڪ","accursed"
"لچڪدار","accursedly"
"لڏپلاڻ","accursedness"
"لذيذ","accursing"
"لعنت","accurst"
"لفافو","accurtation"
"لفٽ","accus"
"لفظ","accusable"
"لکت","accusably"
"لکڻ","accusal"
"لکيل","accusals"
"لڪائڻ","accusant"
"لڪير","accusants"
"لڪيل","accusation"
"لڳاتار","accusations"
"لڳائڻ","accusation's"
"لمحو","accusatival"
"لنچ","accusative"
"لنگر","accusative-dative"
"لھر","accusatively"
"لوبيا","accusativeness"
"لوپ","accusatives"
"لوڊ","accusator"
"لوڪ","accusatory"
"لوڻ","accusatorial"
"لوهه","accusatorially"
"ليبارٽري","accusatrix"
"ليبل","accusatrixes"
"ليپ","accuse"
"ليزر","accused"
"ليفٽيننٽ","accuser"
"ليکڪ","accusers"
"ليڪ","accuses"
"ليڪچر","accusing"
"ليگ","accusingly"
"ليمون","accusive"
"لين","accusor"
"لينڊنگ","accustom"
"لينس","accustomation"
"ماء","accustomed"
"ماءُ","accustomedly"
"ماپ","accustomedness"
"ماحول","accustoming"
"ماحولياتي","accustomize"
"مادو","accustomized"
"ماڊل","accustomizing"
"مارجن","accustoms"
"مارچ","Accutron"
"مارڪر","ACD"
"مارڪيٽ","ACDA"
"مارڪيٽنگ","AC-DC"
"مارڻ","ACE"
"ماريجوانا","acea"
"ماس","aceacenaphthene"
"ماسٽر","aceae"
"ماضي","acean"
"ماکي","aceanthrene"
"مال","aceanthrenequinone"
"مالڪ","acecaffin"
"مالي","acecaffine"
"ماليڪيول","aceconitic"
"ماما","aced"
"مان","acedy"
"ماني","acedia"
"ماڻهو","acediamin"
"ماهر","acediamine"
"مائٽ","acedias"
"مايوس","acediast"
"مايوسي","ace-high"
"مباشرت","Acey"
"مبصر","acey-deucy"
"متبادل","aceite"
"متحد","aceituna"
"متحرڪ","Aceldama"
"متعلق","aceldamas"
"متغير","acellular"
"متفق","Acemetae"
"متن","Acemetic"
"متنوع","acemila"
"متوقع","acenaphthene"
"مُٺ","acenaphthenyl"
"مٺائي","acenaphthylene"
"مٺو","acenesthesia"
"مٿاڇري","acensuada"
"مٿان","acensuador"
"مٿو","acentric"
"مٿي","acentrous"
"مٽي","aceology"
"مثال","aceologic"
