"Sinhala","English"
"ජීවිතය","abraded"
"ජීවියා","abrader"
"ජුලි","abraders"
"ජූනි","abrades"
"ජෙට්","abrading"
"ජ්යෙෂ්ඨ","Abraham"
"ටයරය","Abrahamic"
"ටැංකිය","Abrahamidae"
"ටැගය","Abrahamite"
"ටැබ්","Abrahamitic"
"ටැබ්ලට්","Abraham-man"
"ටිකක්","Abrahams"
"ටිකට්","Abrahamsen"
"ටෙනිස්","Abrahan"
"ටෙන්ඩර්","abray"
"ටේප්","abraid"
"ට්රිලියනයක්","Abram"
"ට්රේලරය","Abramis"
"ට්විටර්","Abramo"
"ඩම්ප්","Abrams"
"ඩිජිටල්","Abramson"
"ඩොලර්","Abran"
"ණය","abranchial"
"ණයයි","abranchialism"
"තක්කාලි","abranchian"
"තක්සේරුව","Abranchiata"
"තටාකය","abranchiate"
"තට්ටුව","abranchious"
"තණකොළ","abrasax"
"තණතීරුව","abrase"
"තත්ත්ව","abrased"
"තත්ත්වය","abraser"
"තද","abrash"
"තදින්","abrasing"
"තනතුර","abrasiometer"
"තනි","abrasion"
"තනිකරම","abrasions"
"තනියම","abrasion's"
"තනිව","abrasive"
"තන්තු","abrasively"
"තමන්ගේ","abrasiveness"
"තමන්ම","abrasivenesses"
"තමා","abrasives"
"තරගය","abrastol"
"තරඟ","abraum"
"තරඟකරුවා","abraxas"
"තරඟකාරී","abrazite"
"තරඟය","abrazitic"
"තරඟාවලිය","abrazo"
"තරමක්","abrazos"
"තරයේ","abreact"
"තරල","abreacted"
"තරුණ","abreacting"
"තරුව","abreaction"
"තර්කනය","abreactions"
"තර්කය","abreacts"
"තර්ජනය","abreast"
"තලය","abreed"
"තල්මහ","abrege"
"තව","abreid"
"තවත්","abrenounce"
"තවද","abrenunciate"
"තවදුරටත්","abrenunciation"
"තවම","abreption"
"තවමත්","abret"
"තහඩුව","abreuvoir"
"තහනම්","abri"
"තාක්ෂණය","abrico"
"තාක්ෂණික","abricock"
"තාත්තා","abricot"
"තානාපති","abridgable"
"තාපය","abridge"
"තාරාවා","abridgeable"
"තාර්කික","abridged"
"තාවකාලික","abridgedly"
"තැටිය","abridgement"
"තැන්පතු","abridgements"
"තැපැල්","abridger"
"තැපෑල","abridgers"
"තෑග්ගක්","abridges"
"තිත","abridging"
"තිත්තයි","abridgment"
"තිබියදීත්","abridgments"
"තියුණු","abrim"
"තිරය","abrin"
"තිරසාර","abrine"
"තිරිඟු","abris"
"තිස්","abristle"
"තීන්ත","abroach"
"තීන්දුව","abroad"
"තීරණ","Abrocoma"
"තීරණාත්මක","abrocome"
"තීරුව","abrogable"
"තීව්රතාව","abrogate"
"තුන්","abrogated"
"තුරු","abrogates"
"තුල","abrogating"
"තුලින්","abrogation"
"තුවක්කුව","abrogations"
"තුවායක්","abrogative"
"තුවාලය","abrogator"
"තුළ","abrogators"
"තෘප්තිමත්","Abroma"
"තෘප්තිය","Abroms"
"තෙත්","Abronia"
"තෙල්","abrood"
"තෙවන","abrook"
"තේ","abrosia"
"තේමාව","abrosias"
"තේරීම","abrotanum"
"තොප්පිය","abrotin"
"තොරතුරු","abrotine"
"තොරව","abrupt"
"තොල්","abruptedly"
"තෝරනවා","abrupter"
"තෝරන්න","abruptest"
"තෝරා","abruptio"
"තෝරාගන්න","abruption"
"ත්යාගය","abruptiones"
"ත්යාගශීලී","abruptly"
"ත්රස්තවාදය","abruptness"
"ත්රස්තවාදී","Abrus"
"ත්රාසජනක","Abruzzi"
"ද","ABS"
"දකුණු","abs-"
"දක්වන්න","Absa"
"දක්වා","Absalom"
"දක්ෂ","absampere"
"දක්ෂතා","Absaraka"
"දක්ෂතාවය","Absaroka"
"දක්ෂයි","Absarokee"
"දඞයම","absarokite"
"දඩයක්කාරයා","ABSBH"
"දණහිස","abscam"
"දඬුවම්","abscess"
"දත","abscessed"
"දත්ත","abscesses"
"දන්නවා","abscessing"
"දන්නා","abscession"
"දන්වයි","abscessroot"
"දයාව","abscind"
"දරිද්රතා","abscise"
"දර්ශකය","abscised"
"දර්ශනය","abscises"
"දර්ශනීය","abscisin"
"දවස","abscising"
"දශකය","abscisins"
"දස","abscision"
"දහඩිය","absciss"
"දහවල්","abscissa"
"දහසක්","abscissae"
"දළ","abscissas"
"දාමය","abscissa's"
"දායකත්වය","abscisse"
"දායකයා","abscissin"
"දාරය","abscission"
"දාර්ශනික","abscissions"
"දැක්ම","absconce"
"දැඩි","abscond"
"දැනටමත්","absconded"
"දැනුම","abscondedly"
"දැනුම්දීම","abscondence"
"දැනුවත්","absconder"
"දැනෙනවා","absconders"
"දැන්","absconding"
"දැන්වීම","absconds"
"දැම්මා","absconsa"
"දැල්ල","abscoulomb"
"දැව","abscound"
"දැවැන්ත","Absecon"
"දැවෙන","absee"
"දික්කසාදය","absey"
"දිග","abseil"
"දිගටම","abseiled"
"දිගහැරෙනවා","abseiling"
"දිගු","abseils"
"දිගුව","absence"
"දිගේ","absences"
"දිනනවා","absence's"
"දිනපතා","absent"
"දිනපොත","absentation"
"දිනය","absented"
"දියණිය","absentee"
"දියමන්ති","absenteeism"
"දියවැඩියාව","absentees"
"දිරිගන්වයි","absentee's"
"දිරිගැන්වීම","absenteeship"
"දිව","absenter"
"දිවයින","absenters"
"දිවුරනවා","absentia"
"දිව්යමය","absenting"
"දිශානතිය","absently"
"දිශාව","absentment"
"දිසා","absentminded"
"දීප්තිමත්","absent-minded"
"දුක","absentmindedly"
"දුන්න","absent-mindedly"
"දුප්පත්","absentmindedness"
"දුම්","absent-mindedness"
"දුම්කොළ","absentmindednesses"
"දුම්රිය","absentness"
"දුඹුරු","absents"
"දුර","absfarad"
"දුරකථන","abshenry"
"දුරස්ථ","Abshier"
"දුරින්","Absi"
"දුරේක්ෂය","absinth"
"දුර්ලභ","absinthe"
"දුර්වල","absinthes"
"දුර්වලකම","absinthial"
"දුවනවා","absinthian"
"දුවිලි","absinthiate"
"දුෂ්කර","absinthiated"
"දුෂ්කරතාව","absinthiating"
"දුසිමක්","absinthic"
"දූෂණය","absinthiin"
"දූෂිතයි","absinthin"
"දෘඩාංග","absinthine"
"දෘශ්ය","absinthism"
"දෘශ්යමාන","absinthismic"
"දෙක","absinthium"
"දෙකම","absinthol"
"දෙනවා","absinthole"
"දෙබලක","absinths"
"දෙමාපියන්","Absyrtus"
"දෙයක්","absis"
"දෙයියනේ","absist"
"දෙවරක්","absistos"
"දෙවැනි","absit"
"දෙසට","absmho"
"දෙසැම්බර්","absohm"
"දෙහි","absoil"
"දේපල","absolent"
"දේවගැතිවරයා","Absolute"
"දේවදූතයා","absolutely"
"දේවධර්මය","absoluteness"
"දේවල්","absoluter"
"දේශගුණය","absolutes"
"දේශනය","absolutest"
"දේශපාලන","absolution"
"දේශපාලනඥයා","absolutions"
"දේශපාලනය","absolutism"
"දේශපාලනිකව","absolutist"
"දේශීය","absolutista"
"දොඩම්","absolutistic"
"දොර","absolutistically"
"දොරකඩ","absolutists"
"දොස්","absolutive"
"දොළොස්","absolutization"
"දෝංකාරය","absolutize"
"දෝෂය","absolutory"
"ද්රව්ය","absolvable"
"ද්රව්යය","absolvatory"
"ද්විතියික","absolve"
"ද්විත්ව","absolved"
"ධජ","absolvent"
"ධනය","absolver"
"ධනවත්","absolvers"
"ධනවාදය","absolves"
"ධනාත්මක","absolving"
"ධර්මය","absolvitor"
"ධාන්ය","absolvitory"
"ධාරාව","absonant"
"ධාරිතාව","absonous"
"ධාවකයා","absorb"
"ධෛර්යය","absorbability"
"නගරය","absorbable"
"නගරාධිපති","absorbance"
"නගින්න","absorbancy"
"නටනවා","absorbant"
"නඩත්තු","absorbed"
"නඩු","absorbedly"
"නඩුව","absorbedness"
"නත්තල්","absorbefacient"
"නපුරු","absorbency"
"නම්","absorbencies"
"නම්යශීලී","absorbent"
"නරක","absorbents"
"නරකයි","absorber"
"නරඹන්නාට","absorbers"
"නලාව","absorbing"
"නවකතාව","absorbingly"
"නවකයෙක්","absorbition"
"නවත්වන්න","absorbs"
"නවය","absorbtion"
"නවාතැන","absorpt"
"නවාතැන්","absorptance"
"නවෝත්පාදනය","absorptiometer"
"නව්ය","absorptiometric"
"නළය","absorption"
"නළල","absorptional"
"නළුවා","absorptions"
"නාගරික","absorption's"
"නාට්ය","absorptive"
"නාට්යමය","absorptively"
"නාන","absorptiveness"
"නානකාමරය","absorptivity"
"නාමය","absquatulate"
"නාමයෝජනා","absquatulation"
"නාමිකයා","abstain"
"නායක","abstained"
"නායකත්වය","abstainer"
"නාලිකාව","abstainers"
"නාවික","abstaining"
"නාසය","abstainment"
"නැංගුරම","abstains"
"නැගෙනහිර","abstemious"
"නැටුම්","abstemiously"
"නැණවත්","abstemiousness"
"නැත","abstention"
"නැන්දා","abstentionism"
"නැඹුරු","abstentionist"
"නැඹුරුව","abstentions"
"නැව","abstentious"
"නැවත","absterge"
"නැවතත්","absterged"
"නැවුම්","abstergent"
"නැසීගිය","absterges"
"නිකට","absterging"
"නිගමනය","absterse"
"නිජබිම","abstersion"
"නිතර","abstersive"
"නිතිපතා","abstersiveness"
"නිදන්ගත","abstertion"
"නිදර්ශනය","abstinence"
"නිදහස","abstinences"
"නිදහසේ","abstinency"
"නිදහස්","abstinent"
"නිදාගන්න","abstinential"
"නිදාගෙන","abstinently"
"නිධානය","abstort"
"නිපැයුම","abstr"
"නිම්නය","abstract"
"නිය","abstractable"
"නියත","abstracted"
"නියමයි","abstractedly"
"නියමිතයි","abstractedness"
"නියමුවා","abstracter"
"නියාමන","abstracters"
"නියාමනය","abstractest"
"නියැදිය","abstracting"
"නියැලීම","abstraction"
"නියෝග","abstractional"
"නියෝජිත","abstractionism"
"නියෝජිතයා","abstractionist"
"නියෝජිතායතනය","abstractionists"
"නියෝජ්ය","abstractions"
"නිරන්තරයෙන්","abstraction's"
"නිරපේක්ෂ","abstractitious"
"නිරය","abstractive"
"නිරවද්යතාව","abstractively"
"නිරවුල්","abstractiveness"
"නිරාවරණය","abstractly"
"නිරිතදිග","abstractness"
"නිරීක්ෂකයා","abstractnesses"
"නිරීක්ෂණ","abstractor"
"නිරුවතින්","abstractors"
"නිරූපකය","abstractor's"
"නිරූපණය","abstracts"
"නිර්ණායක","abstrahent"
"නිර්දේශය","abstrict"
"නිර්නාමික","abstricted"
"නිර්භීත","abstricting"
"නිර්මාණ","abstriction"
"නිර්මාණකරු","abstricts"
"නිර්මාණය","abstrude"
"නිර්මාණශීලී","abstruse"
"නිර්මාණශීලීත්වය","abstrusely"
"නිර්මාතෘ","abstruseness"
"නිල","abstrusenesses"
"නිලධාරී","abstruser"
"නිලය","abstrusest"
"නිල්","abstrusion"
"නිවර්තන","abstrusity"
"නිවස","abstrusities"
"නිවසේ","absume"
"නිවාඩු","absumption"
"නිවාස","absurd"
"නිවැරදි","absurder"
"නිවැරදිව","absurdest"
"නිවුන්","absurdism"
"නිවේදනය","absurdist"
"නිශ්චිත","absurdity"
"නිශ්ශබ්දතාව","absurdities"
"නිෂ්පාදක","absurdity's"
"නිෂ්පාදකයා","absurdly"
"නිෂ්පාදන","absurdness"
"නිෂ්පාදනය","absurds"
"නිසා","absurdum"
"නිසැකවම","absvolt"
"නිසි","abt"
"නිහඬයි","abterminal"
"නිහඬව","abthain"
"නිහතමානී","abthainry"
"නිළිය","abthainrie"
"නීතිඥ","abthanage"
"නීතිඥයා","abtruse"
"නීතිමය","Abu"
"නීතිය","abubble"
"නීත්යානුකූල","Abu-Bekr"
"නීත්‍යානුකූලව","Abucay"
"නුසුදුසු","abucco"
"නූගත්","abuilding"
"නූතන","Abukir"
"නූල්","abuleia"
"නේවාසික","Abulfeda"
"නොගැඹුරු","abulia"
"නොදන්නා","abulias"
"නොදැනුවත්කම","abulic"
"නොපැමිණීම","abulyeit"
"නොපැහැදිලි","abulomania"
"නොපෙනෙන","abumbral"
"නොවැම්බර්","abumbrellar"
"නොවේ","Abuna"
"නොසලකා","abundance"
"නොහැකි","abundances"
"නෝනා","abundancy"
"න්යෂ්ටික","abundant"
"න්යාය","Abundantia"
"න්යායික","abundantly"
"ප.ව","abune"
"පක්ෂග්රාහී","abura"
"පක්ෂපාතිත්වය","aburabozu"
"පක්ෂපාතී","aburagiri"
"පක්ෂය","aburban"
"පච්චය","Abury"
"පටක","aburst"
"පටන්","aburton"
"පටිපාටිය","abusable"
"පටිය","abusage"
"පටු","abuse"
"පටුමග","abused"
"පඩිපෙළ","abusedly"
"පණිවුඩය","abusee"
"පතුලේ","abuseful"
"පත්රය","abusefully"
"පත්වීම","abusefulness"
"පදක්කම","abuser"
"පදනම","abusers"
"පදනමක්","abuses"
"පදය","abush"
"පදවන්න","abusing"
"පදිංචි","abusion"
"පදින්න","abusious"
"පද්ධති","abusive"
"පනත","abusively"
"පනවනවා","abusiveness"
"පනස්","abusivenesses"
"පනින්න","abut"
"පන්ච්","Abuta"
"පන්තිය","Abutilon"
"පන්දුව","abutilons"
"පන්සල","abutment"
"පපුව","abutments"
"පමණක්ම","abuts"
"පයි","abuttal"
"පයින්","abuttals"
"පයිප්ප","abutted"
"පරතරය","abutter"
"පරමාදර්ශී","abutters"
"පරම්පරාව","abutter's"
"පරාජය","abutting"
"පරාමිතිය","abuzz"
"පරාවර්තනය","abv"
"පරාසය","abvolt"
"පරිකල්පනය","abvolts"
"පරිගණක","abwab"
"පරිච්ඡේදය","abwatt"
"පරිදි","abwatts"
"පරිපථය","ac"
"පරිපාලක","ac-"
"පරිපාලන","a-c"
"පරිපාලනය","AC/DC"
"පරිපූර්ණ","ACAA"
"පරිභෝජනය","Acacallis"
"පරිමාණ","acacatechin"
"පරිමාව","acacatechol"
"පරිවර්තනය","Acacea"
"පරිශීලක","Acaceae"
"පරිශ්රය","acacetin"
"පරිසර","Acacia"
"පරිසරය","Acacian"
"පරිස්සමෙන්","acacias"
"පරීක්ෂක","acaciin"
"පරීක්ෂණය","acacin"
"පරීක්ෂණයක්","acacine"
"පර්යේෂකයා","acad"
"පර්යේෂණ","academe"
"පර්යේෂණාත්මක","academes"
"පර්වතය","Academy"
"පලතුරු","academia"
"පලස්තීන","academial"
"පලිහ","academian"
"පල්ලිය","academias"
"පවතින","Academic"
"පවතිනවා","academical"
"පවරනවා","academically"
"පවා","academicals"
"පවුම්","academician"
"පවුලක්","academicians"
"පව්","academicianship"
"පසුබිම","academicism"
"පසුම්බිය","academics"
"පසුව","academie"
"පසෙකින්","academies"
"පස්වන","academy's"
"පහ","academise"
"පහත","academised"
"පහන","academising"
"පහරදීම","academism"
"පහසු","academist"
"පහසුකම්","academite"
"පහසුව","academization"
"පහසුවෙන්","academize"
"පහළ","academized"
"පහළොව","academizing"
"පළමුවන","Academus"
"පළාත","Acadia"
"පළිගැනීම","acadialite"
"පාංශු","Acadian"
"පාඨකයා","Acadie"
"පාඨමාලාව","Acaena"
"පාඩම","acajou"
"පාත්රය","acajous"
"පාදය","acal"
"පානීය","acalculia"
"පාන්","acale"
"පාපන්දු","acaleph"
"පාරිභෝගික","Acalepha"
"පාර්ලිමේන්තුව","Acalephae"
"පාලක","acalephan"
"පාලනය","acalephe"
"පාලම","acalephes"
"පාවෙන","acalephoid"
"පාසලේ","acalephs"
"පාහේ","Acalia"
"පාළුකරය","acalycal"
"පාළුයි","acalycine"
"පැකිළෙනවා","acalycinous"
"පැකේජය","acalyculate"
"පැච්","Acalypha"
"පැටවීම","Acalypterae"
"පැතලි","Acalyptrata"
"පැතිකඩ","Acalyptratae"
"පැත්ත","acalyptrate"
"පැද්දීම","Acamar"
"පැනනගිනවා","Acamas"
"පැනලය","Acampo"
"පැමිණිලි","acampsia"
"පැමිණිල්ලක්","acana"
"පැමිණීම","acanaceous"
"පැමිණේ","acanonical"
"පැය","acanth"
"පැරණි","acanth-"
"පැවරුම","acantha"
"පැවැත්ම","Acanthaceae"
"පැසිපන්දු","acanthaceous"
"පැහැදිලි","acanthad"
"පැහැදිලිය","Acantharia"
"පැහැදිලිව","acanthi"
"පැහැදිලිවම","Acanthia"
"පැහැදීම","acanthial"
"පැහැපත්","acanthin"
"පෑඩ්","acanthine"
"පෑන","acanthion"
"පෑන්","acanthite"
"පිචර්","acantho-"
"පිටත","acanthocarpous"
"පිටතට","Acanthocephala"
"පිටත්වීම","acanthocephalan"
"පිටපත","Acanthocephali"
"පිටරට","acanthocephalous"
"පිටවීම","Acanthocereus"
"පිටසක්වල","acanthocladous"
"පිටි","Acanthodea"
"පිටියේ","acanthodean"
"පිටුපස","Acanthodei"
"පිටුව","Acanthodes"
"පින්","acanthodian"
"පින්තූරය","Acanthodidae"
"පිපිරවීම","Acanthodii"
"පිපිරීම","Acanthodini"
"පිපිරෙනවා","acanthoid"
"පිම්ම","Acantholimon"
"පිම්මක්","acantholysis"
"පිඹීම","acanthology"
"පියයුරු","acanthological"
"පියවරක්","acanthoma"
"පියා","acanthomas"
"පියානෝව","Acanthomeridae"
"පියාපත්","acanthon"
"පිරවීම","Acanthopanax"
"පිරිනැමීම","Acanthophis"
"පිරිමි","acanthophorous"
"පිරිවැය","acanthopod"
"පිරිසිදු","acanthopodous"
"පිරිස්","acanthopomatous"
"පිලිතුරු","acanthopore"
"පිස්","acanthopteran"
"පිස්සු","Acanthopteri"
"පිහිටුවීම","acanthopterygian"
"පිහිනන්න","Acanthopterygii"
"පිහිය","acanthopterous"
"පිළිකාවක්","acanthoses"
"පිළිගන්නවා","acanthosis"
"පිළිගැනීම","acanthotic"
"පිළිතුර","acanthous"
"පිළිබඳ","Acanthuridae"
"පිළිමය","Acanthurus"
"පිළිවෙලින්","acanthus"
"පිළිස්සීම","acanthuses"
"පීඨය","acanthuthi"
"පීඩනය","acapnia"
"පීල්","acapnial"
"පීසා","acapnias"
"පුටුව","acappella"
"පුණ්යායතනය","acapsular"
"පුතා","acapu"
"පුදුම","Acapulco"
"පුදුමය","acara"
"පුදුමයි","Acarapis"
"පුද්ගලයා","acarari"
"පුද්ගලික","acardia"
"පුද්ගලිකව","acardiac"
"පුරවැසිභාවය","acardite"
"පුරවැසියා","acari"
"පුරාණ","acarian"
"පුරාම","acariasis"
"පුරාවෘත්තය","acariatre"
"පුරුද්ද","acaricidal"
"පුවත්","acaricide"
"පුවත්පත","acarid"
"පුස්තකාලය","Acarida"
"පුහුණුකරු","acaridae"
"පුහුණුකරුවා","acaridan"
"පුහුණුව","acaridans"
"පුළුල්","Acaridea"
"පුළුවන්","acaridean"
"පූජක","acaridomatia"
"පූජනීය","acaridomatium"
"පූර්ණ","acarids"
"පෙ.ව","acariform"
"පෙට්ටිය","Acarina"
"පෙට්රල්","acarine"
"පෙති","acarines"
"පෙත්තක්","acarinosis"
"පෙත්සම","Acarnan"
"පෙනහළු","acarocecidia"
"පෙනීම","acarocecidium"
"පෙනුම","acarodermatitis"
"පෙනෙනවා","acaroid"
"පෙනේ","acarol"
"පෙන්වන්න","acarology"
"පෙබරවාරි","acarologist"
"පෙම්වතා","acarophilous"
"පෙම්වතිය","acarophobia"
"පෙර","acarotoxic"
"පෙරනිමිය","acarpellous"
"පෙරහන","acarpelous"
"පෙරළන්න","acarpous"
"පෙරළෙනවා","Acarus"
"පෙළ","ACAS"
"පෙළගස්වන්න","acast"
"පෙළපාලිය","Acastus"
"පෙළපොත","acatalectic"
"පෙළඹවීම","acatalepsy"
"පේටන්ට්","acatalepsia"
"පේළිය","acataleptic"
"පොකුණ","acatallactic"
"පොකුර","acatamathesia"
"පොකුරක්","acataphasia"
"පොත","acataposis"
"පොදු","acatastasia"
"පොදුවේ","acatastatic"
"පොප්","acate"
"පොම්පය","acategorical"
"පොරවනය","acater"
"පොලිසිය","acatery"
"පොල්ල","acates"
"පොසිල","acatharsy"
"පොහොසත්","acatharsia"
"පොළඹවන්න","acatholic"
"පොළොවේ","acaudal"
"පෝෂණය","acaudate"
"පෝස්ටර්","acaudelescent"
"පෞද්ගලිකත්වය","acaulescence"
"පෞරුෂය","acaulescent"
"ප්රංශ","acauline"
"ප්රකාශකයා","acaulose"
"ප්රකාශනය","acaulous"
"ප්රකාශය","ACAWS"
"ප්රකාශිත","ACB"
"ප්රක්ෂේපණය","ACBL"
"ප්රගතිය","ACC"
"ප්රගතිශීලී","acc."
"ප්රචණ්ඩකාරී","acca"
"ප්රචණ්ඩත්වය","accable"
"ප්රචාරණය","Accad"
"ප්රචාරය","accademia"
"ප්රජාතන්ත්රවාදය","Accadian"
"ප්රජාතන්ත්රවාදී","Accalia"
"ප්රජාව","acce"
"ප්රඥප්තිය","accede"
"ප්රඥාව","acceded"
"ප්රතිකාර","accedence"
"ප්රතික්රියාව","acceder"
"ප්රතිචාරය","acceders"
"ප්රතිදානය","accedes"
"ප්රතිපත්ති","acceding"
"ප්රතිපාදන","accel"
"ප්රතිපෝෂණ","accel."
"ප්රතිඵලය","accelerable"
"ප්රතිමූර්තිය","accelerando"
"ප්රතිරෝධය","accelerant"
"ප්රතිලාභය","accelerate"
"ප්රතිවාදියා","accelerated"
"ප්රතිවාදී","acceleratedly"
"ප්රතිවිපාක","accelerates"
"ප්රතිවිරුද්ධ","accelerating"
"ප්රතිශක්තිකරණ","acceleratingly"
"ප්රතිශතය","acceleration"
"ප්රතිසංස්කරණය","accelerations"
"ප්රදර්ශනය","accelerative"
"ප්රදානය","accelerator"
"ප්රදේශය","acceleratory"
"ප්රධාන","accelerators"
"ප්රබන්ධ","accelerograph"
"ප්රභූ","accelerometer"
"ප්රමාණය","accelerometers"
"ප්රමාණවත්","accelerometer's"
"ප්රමාදය","accend"
"ප්රමුඛත්වය","accendibility"
"ප්රයෝජනවත්","accendible"
"ප්රවණතාවය","accensed"
"ප්රවර්ධන","accension"
"ප්රවාහනය","accensor"
"ප්රවීණ","accent"
"ප්රවේශ","accented"
"ප්රවේශමෙන්","accenting"
"ප්රවේශය","accentless"
"ප්රශ්නය","accentor"
"ප්රශ්නාවලිය","accentors"
"ප්රසංගය","accents"
"ප්රසන්න","accentuable"
"ප්රසාරණය","accentual"
"ප්රසිද්ධ","accentuality"
"ප්රසිද්ධියේ","accentually"
"ප්රස්ථාරය","accentuate"
"ප්රහාරාත්මක","accentuated"
"ප්රහේලිකාව","accentuates"
"ප්රාග්ධනය","accentuating"
"ප්රාථමික","accentuation"
"ප්රාන්තය","accentuations"
"ප්රායෝගික","accentuator"
"ප්රායෝගිකව","accentus"
"ප්රියතම","accept"
"ප්රේක්ෂක","acceptability"
"ප්රොටෝකෝලය","acceptabilities"
"ප්රොසෙසරය","acceptable"
"ප්රෝටීන්","acceptableness"
"ප්ලස්","acceptably"
"ප්ලාවිතය","acceptance"
"ප්ලාස්ටික්","acceptances"
"ඵලදායිතාව","acceptance's"
"ඵලදායී","acceptancy"
"බං","acceptancies"
"බංකුව","acceptant"
"බක්","acceptation"
"බටර්","acceptavit"
"බටහිර","accepted"
"බට්","acceptedly"
"බඩ","acceptee"
"බඩගානවා","acceptees"
"බඩගිනියි","accepter"
"බඩවැලේ","accepters"
"බදාදා","acceptilate"
"බදු","acceptilated"
"බද්ද","acceptilating"
"බන්ධනාගාර","acceptilation"
"බඳුනක්","accepting"
"බබා","acceptingly"
"බයයි","acceptingness"
"බයිබලය","acception"
"බයිසිකලය","acceptive"
"බර","acceptor"
"බරක්","acceptors"
"බරපතල","acceptor's"
"බර්ගර්","acceptress"
"බලකරයි","accepts"
"බලකාය","accerse"
"බලකොටුව","accersition"
"බලගතු","accersitor"
"බලනවා","access"
"බලන්න","accessability"
"බලපත්රය","accessable"
"බලපාන","accessary"
"බලපෑම","accessaries"
"බලය","accessarily"
"බලවත්","accessariness"
"බලශක්ති","accessaryship"
"බලාපොරොත්තුව","accessed"
"බල්ලා","accesses"
"බස්","accessibility"
"බහාලුම්","accessibilities"
"බහු","accessible"
"බහුතරය","accessibleness"
"බළලා","accessibly"
"බාගත","accessing"
"බාධකයක්","accession"
"බාධාකාරී","accessional"
"බාධාවක්","accessioned"
"බාර්","accessioner"
"බාලදක්ෂ","accessioning"
"බාල්දිය","accessions"
"බාහිර","accession's"
"බැංකු","accessit"
"බැංකුකරු","accessive"
"බැංකුව","accessively"
"බැක්ටීරියා","accessless"
"බැටරිය","accessor"
"බැටළුවන්","accessory"
"බැඳීම","accessorial"
"බැඳුම්කරය","accessories"
"බැඳෙනවා","accessorii"
"බැබළෙයි","accessorily"
"බැරලය","accessoriness"
"බැලූනය","accessory's"
"බැල්ම","accessorius"
"බැල්ලිය","accessoriusorii"
"බැහැර","accessorize"
"බැහැරව","accessorized"
"බෑගය","accessorizing"
"බෑවුම","accessors"
"බිත්තරය","accessor's"
"බිත්තිය","acciaccatura"
"බිඳීම","acciaccaturas"
"බිම","acciaccature"
"බිය","accidence"
"බියර්","accidency"
"බිරිඳ","accidencies"
"බිලියන","accident"
"බිල්පත","accidental"
"බිෂොප්","accidentalism"
"බිහිසුණු","accidentalist"
"බීජය","accidentality"
"බීමත්ව","accidentally"
"බුද්ධිමත්","accidentalness"
"බුද්ධිමය","accidentals"
"බුද්ධිය","accidentary"
"බුබුල","accidentarily"
"බුරුසුව","accidented"
"බුෂ්","accidential"
"බූරුවා","accidentiality"
"බෙදනවා","accidently"
"බෙදාගත්තා","accident-prone"
"බෙදාගන්න","accidents"
"බෙදාහැරීම","accidia"
"බෙදුණු","accidias"
"බෙරය","accidie"
"බෙල්ල","accidies"
"බේරෙනවා","accinge"
"බේස්බෝල්","accinged"
"බොක්ක","accinging"
"බොත්තම","accipenser"
"බොන්න","accipient"
"බොරු","Accipiter"
"බොරුකාරයා","accipitral"
"බොහෝ","accipitrary"
"බෝංචි","Accipitres"
"බෝග","accipitrine"
"බෝට්ටුව","accipter"
"බෝතලයක්","accise"
"බෝනික්කා","accismus"
"බෝම්බය","accite"
"බ්රවුසරය","Accius"
"බ්රහස්පතින්දා","acclaim"
"බ්රිතාන්ය","acclaimable"
"බ්ලොග්","acclaimed"
"භයංකාර","acclaimer"
"භයානකයි","acclaimers"
"භාගය","acclaiming"
"භාජනයක්","acclaims"
"භාණ්ඩාගාර","acclamation"
"භාරකරු","acclamations"
"භාරකාරත්වය","acclamator"
"භාරගන්නවා","acclamatory"
"භාවිත","acclimatable"
"භාවිතය","acclimatation"
"භාෂාව","acclimate"
"භීෂණය","acclimated"
"භූතයා","acclimatement"
"භූමිකාව","acclimates"
"භූමිය","acclimating"
"භෞතික","acclimation"
"භෞතිකව","acclimations"
"මංගල","acclimatisable"
"මංපෙත්","acclimatisation"
"මකරා","acclimatise"
"මගපෙන්වීම","acclimatised"
"මගියා","acclimatiser"
"මගුල","acclimatising"
"මගේ","acclimatizable"
"මචන්","acclimatization"
"මට","acclimatizations"
"මට්ටමින්","acclimatize"
"මඩ","acclimatized"
"මණ්ඩපය","acclimatizer"
"මණ්ඩල","acclimatizes"
"මණ්ඩලය","acclimatizing"
"මත","acclimature"
"මතකය","acclinal"
"මතක්","acclinate"
"මතට","acclivity"
"මතභේදය","acclivities"
"මතභේදාත්මක","acclivitous"
"මතය","acclivous"
"මතවාදය","accloy"
"මතවාදී","accoast"
"මතුපිට","accoy"
"මතුවෙමින්","accoyed"
"මත්ද්රව්ය","accoying"
"මත්පැන්","accoil"
"මධ්යම","Accokeek"
"මධ්යස්ථ","accolade"
"මනමාලිය","accoladed"
"මනස","accolades"
"මනාපය","accolated"
"මනුෂ්යත්වය","accolent"
"මනෝභාවය","accoll"
"මනෝවිද්යාඥයා","accolle"
"මනෝවිද්යාත්මක","accolled"
"මනෝවිද්යාව","accollee"
"මන්දගාමී","Accomac"
"මන්දාකිනි","accombination"
"මම","accommodable"
"මමත්වය","accommodableness"
"මරණය","accommodate"
"මරනවා","accommodated"
"මරිජුවානා","accommodately"
"මල","accommodateness"
"මව","accommodates"
"මවාගන්න","accommodating"
"මවාපානවා","accommodatingly"
"මස","accommodatingness"
