"Marathi","English"
"झटपट","abruptness"
"झलक","Abrus"
"झाड","Abruzzi"
"झाडून","ABS"
"झुडूप","abs-"
"झुरणे","Absa"
"झेंडा","Absalom"
"झेप","absampere"
"झेल","Absaraka"
"झोन","Absaroka"
"झोप","Absarokee"
"झोपलेला","absarokite"
"टँक्सी","ABSBH"
"टक","abscam"
"टक्के","abscess"
"टक्केवारी","abscessed"
"टचडाउन","abscesses"
"टणक","abscessing"
"टप्पा","abscession"
"टर्की","abscessroot"
"टाकणे","abscind"
"टाकी","abscise"
"टाच","abscised"
"टायर","abscises"
"टाळा","abscisin"
"टिकवणे","abscising"
"टिकाऊ","abscisins"
"टिप्पणी","abscision"
"टीका","absciss"
"टीप","abscissa"
"टीव्ही","abscissae"
"टी-शर्ट","abscissas"
"टॅग","abscissa's"
"टॅटू","abscisse"
"टॅप","abscissin"
"टॅब","abscission"
"टॅब्लेट","abscissions"
"टेकडी","absconce"
"टेनिस","abscond"
"टेप","absconded"
"टेबल","abscondedly"
"टेलिफोन","abscondence"
"टॉवर","absconder"
"टॉवेल","absconders"
"टोन","absconding"
"टोपली","absconds"
"टोपी","absconsa"
"टोमॅटो","abscoulomb"
"टोल","abscound"
"टोळी","Absecon"
"ट्यून","absee"
"ट्यूब","absey"
"ट्यूमर","abseil"
"ट्रक","abseiled"
"ट्रिगर","abseiling"
"ट्रिलियन","abseils"
"ट्रॅक","absence"
"ट्रेन","absences"
"ट्रेस","absence's"
"ठरवणे","absent"
"ठरवा","absentation"
"ठरविणे","absented"
"ठराव","absentee"
"ठराविक","absenteeism"
"ठामपणे","absentees"
"ठिकाण","absentee's"
"ठिणगी","absenteeship"
"ठीक","absenter"
"ठेव","absenters"
"ठेवा","absentia"
"ठोकणे","absenting"
"ठोस","absently"
"ठोसा","absentment"
"डंप","absentminded"
"डच","absent-minded"
"डझन","absentmindedly"
"डाउनटाउन","absent-mindedly"
"डायरी","absentmindedness"
"डिजिटल","absent-mindedness"
"डिझाइन","absentmindednesses"
"डिझायनर","absentness"
"डिसेंबर","absents"
"डिस्क","absfarad"
"डीएनए","abshenry"
"डीफॉल्ट","Abshier"
"डुक्कर","Absi"
"डेक","absinth"
"डेटा","absinthe"
"डेटाबेस","absinthes"
"डेस्क","absinthial"
"डॉक","absinthian"
"डॉक्टर","absinthiate"
"डॉलर","absinthiated"
"डोंगर","absinthiating"
"डोकावणे","absinthic"
"डोके","absinthiin"
"डोकेदुखी","absinthin"
"डोमेन","absinthine"
"डोळा","absinthism"
"डोस","absinthismic"
"ड्रम","absinthium"
"ड्राइव्ह","absinthol"
"ड्रिल","absinthole"
"ड्रॅग","absinths"
"ड्रॅगन","Absyrtus"
"ड्रेस","absis"
"ड्रॉवर","absist"
"ढकलणे","absistos"
"ढग","absit"
"ढवळणे","absmho"
"ढाल","absohm"
"ढीग","absoil"
"तंतोतंत","absolent"
"तंत्र","Absolute"
"तंत्रज्ञान","absolutely"
"तंबाखू","absoluteness"
"तंबू","absoluter"
"तक्ता","absolutes"
"तक्रार","absolutest"
"तज्ञ","absolution"
"तटस्थ","absolutions"
"तटीय","absolutism"
"तडजोड","absolutist"
"तण","absolutista"
"तणाव","absolutistic"
"तत्त्व","absolutistically"
"तत्वज्ञान","absolutists"
"तथाकथित","absolutive"
"तथापि","absolutization"
"तपकिरी","absolutize"
"तपशील","absolutory"
"तपशीलवार","absolvable"
"तपास","absolvatory"
"तपासणी","absolve"
"तपासा","absolved"
"तयार","absolvent"
"तयारी","absolver"
"तर","absolvers"
"तरतूद","absolves"
"तरी","absolving"
"तरीही","absolvitor"
"तरुण","absolvitory"
"तर्कशास्त्र","absonant"
"तर्कशुद्ध","absonous"
"तलवार","absorb"
"तलाव","absorbability"
"तल्लख","absorbable"
"तळघर","absorbance"
"तळाशी","absorbancy"
"तसेच","absorbant"
"तांत्रिक","absorbed"
"तांत्रिकदृष्ट्या","absorbedly"
"तांदूळ","absorbedness"
"ताजे","absorbefacient"
"ताटली","absorbency"
"ताठ","absorbencies"
"ताण","absorbent"
"तात्काळ","absorbents"
"तात्पर्य","absorber"
"तात्पुरता","absorbers"
"तात्विक","absorbing"
"ताप","absorbingly"
"तापमान","absorbition"
"तापमानवाढ","absorbs"
"ताफा","absorbtion"
"ताबा","absorpt"
"ताब्यात","absorptance"
"तार","absorptiometer"
"तारा","absorptiometric"
"तारीख","absorption"
"तार्किक","absorptional"
"ताल","absorptions"
"तास","absorption's"
"तिकीट","absorptive"
"तिचा","absorptively"
"तितकेच","absorptiveness"
"तिमाहीत","absorptivity"
"तिला","absquatulate"
"तिसऱ्या","absquatulation"
"ती","abstain"
"तीक्ष्ण","abstained"
"तीन","abstainer"
"तीव्र","abstainers"
"तीव्रता","abstaining"
"तीस","abstainment"
"तुकडा","abstains"
"तुटलेली","abstemious"
"तुमचे","abstemiously"
"तुरुंग","abstemiousness"
"तुलना","abstention"
"तुलनेने","abstentionism"
"तुळई","abstentionist"
"तू","abstentions"
"तूट","abstentious"
"ते","absterge"
"तेजस्वी","absterged"
"तेथे","abstergent"
"तेल","absterges"
"तो","absterging"
"तोंड","absterse"
"तोंडी","abstersion"
"तोटा","abstersive"
"त्या","abstersiveness"
"त्यांचे","abstertion"
"त्यांना","abstinence"
"त्याऐवजी","abstinences"
"त्याच","abstinency"
"त्याचप्रमाणे","abstinent"
"त्याचा","abstinential"
"त्याचे","abstinently"
"त्याद्वारे","abstort"
"त्यानंतरचे","abstr"
"त्यानुसार","abstract"
"त्यामुळे","abstractable"
"त्याला","abstracted"
"त्रास","abstractedly"
"त्रासदायक","abstractedness"
"त्रुटी","abstracter"
"त्वचा","abstracters"
"त्वरित","abstractest"
"थंड","abstracting"
"थकबाकी","abstraction"
"थकलेले","abstractional"
"थप्पड","abstractionism"
"थर","abstractionist"
"थांबवणे","abstractionists"
"थांबा","abstractions"
"थिएटर","abstraction's"
"थीम","abstractitious"
"थुंकणे","abstractive"
"थेंब","abstractively"
"थेट","abstractiveness"
"थेरपिस्ट","abstractly"
"थोडक्यात","abstractness"
"थोडे","abstractnesses"
"द","abstractor"
"दंगा","abstractors"
"दंड","abstractor's"
"दक्षिण","abstracts"
"दक्षिणेकडील","abstrahent"
"दगड","abstrict"
"दत्तक","abstricted"
"दबाव","abstricting"
"दया","abstriction"
"दयाळू","abstricts"
"दर","abstrude"
"दरम्यान","abstruse"
"दररोज","abstrusely"
"दरवाजा","abstruseness"
"दरी","abstrusenesses"
"दर्शक","abstruser"
"दल","abstrusest"
"दशक","abstrusion"
"दशलक्ष","abstrusity"
"दस्तऐवज","abstrusities"
"दहशत","absume"
"दहशतवाद","absumption"
"दहशतवादी","absurd"
"दहा","absurder"
"दाखवा","absurdest"
"दागिने","absurdism"
"दात","absurdist"
"दाता","absurdity"
"दाबा","absurdities"
"दायित्व","absurdity's"
"दार","absurdly"
"दारू","absurdness"
"दावा","absurds"
"दिग्दर्शक","absurdum"
"दिनचर्या","absvolt"
"दिले","abt"
"दिवस","abterminal"
"दिवा","abthain"
"दिवाळखोरी","abthainry"
"दिव्यांग","abthainrie"
"दिशा","abthanage"
"दिशेने","abtruse"
"दिसणे","Abu"
"दिसत","abubble"
"दिसते","Abu-Bekr"
"दीर्घकालीन","Abucay"
"दीर्घकाळ","abucco"
"दु:ख","abuilding"
"दुःखद","Abukir"
"दुःखाने","abuleia"
"दुःखी","Abulfeda"
"दुःस्वप्न","abulia"
"दुकान","abulias"
"दुखापत","abulic"
"दुचाकी","abulyeit"
"दुपार","abulomania"
"दुपारी","abumbral"
"दुप्पट","abumbrellar"
"दुबळा","Abuna"
"दुय्यम","abundance"
"दुरुस्ती","abundances"
"दुर्गुण","abundancy"
"दुर्दैवाने","abundant"
"दुर्दैवी","Abundantia"
"दुर्बिणी","abundantly"
"दुर्मिळ","abune"
"दुवा","abura"
"दुसरा","aburabozu"
"दूतावास","aburagiri"
"दूध","aburban"
"दूर","Abury"
"दूरदर्शन","aburst"
"दूरस्थ","aburton"
"दृश्य","abusable"
"दृश्यमान","abusage"
"दृष्टी","abuse"
"दृष्टीकोन","abused"
"देखणा","abusedly"
"देखभाल","abusee"
"देखरेख","abuseful"
"देखावा","abusefully"
"देणगी","abusefulness"
"देणे","abuser"
"देय","abusers"
"देव","abuses"
"देवदूत","abush"
"देवमासा","abusing"
"देवा","abusion"
"देवाणघेवाण","abusious"
"देश","abusive"
"दैव","abusively"
"दैवी","abusiveness"
"दोन","abusivenesses"
"दोनदा","abut"
"दोन्ही","Abuta"
"दोरखंड","Abutilon"
"दोरी","abutilons"
"दोष","abutment"
"दोषी","abutments"
"द्या","abuts"
"द्रवपदार्थ","abuttal"
"द्वारे","abuttals"
"द्वेष","abutted"
"धक्का","abutter"
"धडा","abutters"
"धनुष्य","abutter's"
"धन्यवाद","abutting"
"धमकी","abuzz"
"धरा","abv"
"धर्म","abvolt"
"धर्मनिरपेक्ष","abvolts"
"धर्मशास्त्र","abwab"
"धर्मादाय","abwatt"
"धागा","abwatts"
"धाडस","ac"
"धाडसी","ac-"
"धातू","a-c"
"धान्य","AC/DC"
"धार","ACAA"
"धार्मिक","Acacallis"
"धावणे","acacatechin"
"धावपटू","acacatechol"
"धावसंख्या","Acacea"
"धिक्कार","Acaceae"
"धीट","acacetin"
"धुणे","Acacia"
"धूर","Acacian"
"धूळ","acacias"
"धैर्य","acaciin"
"धोका","acacin"
"धोकादायक","acacine"
"धोकेबाज","acad"
"धोरण","academe"
"धोरणात्मक","academes"
"ध्येय","Academy"
"नंतर","academia"
"नंतरचे","academial"
"नऊ","academian"
"नकार","academias"
"नकारात्मक","Academic"
"नकाशा","academical"
"नक्की","academically"
"नक्कीच","academicals"
"नखे","academician"
"नग्न","academicians"
"नजर","academicianship"
"नट","academicism"
"नदी","academics"
"नफा","academie"
"नमस्कार","academies"
"नमुना","academy's"
"नरक","academise"
"नर्तक","academised"
"नवरा","academising"
"नवीन","academism"
"नवीनता","academist"
"नशीब","academite"
"नशेत","academization"
"नाक","academize"
"नाकारणे","academized"
"नागरिक","academizing"
"नागरिकत्व","Academus"
"नागरी","Acadia"
"नाजूक","acadialite"
"नाटक","Acadian"
"नाटकीय","Acadie"
"नाट्यमय","Acaena"
"नाडी","acajou"
"नाणे","acajous"
"नाणेफेक","acal"
"नाते","acalculia"
"नातेवाईक","acale"
"नामनिर्देशित","acaleph"
"नामांकन","Acalepha"
"नायक","Acalephae"
"नाराज","acalephan"
"नाव","acalephe"
"नाविन्यपूर्ण","acalephes"
"नाश","acalephoid"
"नाश्ता","acalephs"
"नाही","Acalia"
"निंदा","acalycal"
"निकष","acalycine"
"निखळ","acalycinous"
"निचरा","acalyculate"
"नितंब","Acalypha"
"निदान","Acalypterae"
"निधी","Acalyptrata"
"निनावी","Acalyptratae"
"निबंध","acalyptrate"
"नियंत्रण","Acamar"
"नियम","Acamas"
"नियमन","Acampo"
"नियमित","acampsia"
"नियमितपणे","acana"
"नियामक","acanaceous"
"नियोक्ता","acanonical"
"नियोजन","acanth"
"निरपेक्ष","acanth-"
"निराकरण","acantha"
"निराश","Acanthaceae"
"निराशा","acanthaceous"
"निरीक्षक","acanthad"
"निरीक्षण","Acantharia"
"निरुपयोगी","acanthi"
"निरोगी","Acanthia"
"निरोप","acanthial"
"निर्गमन","acanthin"
"निर्णय","acanthine"
"निर्णायक","acanthion"
"निर्देशांक","acanthite"
"निर्देशात्मक","acantho-"
"निर्दोष","acanthocarpous"
"निर्धार","Acanthocephala"
"निर्बंध","acanthocephalan"
"निर्माता","Acanthocephali"
"निर्मिती","acanthocephalous"
"निर्यात","Acanthocereus"
"निर्वासित","acanthocladous"
"निलंबित","Acanthodea"
"निळा","acanthodean"
"निवड","Acanthodei"
"निवडणूक","Acanthodes"
"निवडा","acanthodian"
"निवडून","Acanthodidae"
"निवारा","Acanthodii"
"निवासस्थान","Acanthodini"
"निवासी","acanthoid"
"निविदा","Acantholimon"
"निवृत्त","acantholysis"
"निवेदक","acanthology"
"निव्वळ","acanthological"
"निश्चित","acanthoma"
"निश्चितपणे","acanthomas"
"निषेध","Acanthomeridae"
"निष्कर्ष","acanthon"
"निष्ठा","Acanthopanax"
"निष्ठावंत","Acanthophis"
"निसर्ग","acanthophorous"
"नुकसान","acanthopod"
"नृत्य","acanthopodous"
"नेटवर्क","acanthopomatous"
"नेता","acanthopore"
"नेतृत्व","acanthopteran"
"नेत्रदीपक","Acanthopteri"
"नेहमी","acanthopterygian"
"नेहमीच्या","Acanthopterygii"
"नैऋत्य","acanthopterous"
"नैतिक","acanthoses"
"नैतिकता","acanthosis"
"नैराश्य","acanthotic"
"नैसर्गिक","acanthous"
"नैसर्गिकरित्या","Acanthuridae"
"नोंद","Acanthurus"
"नोंदणी","acanthus"
"नोकर","acanthuses"
"नोकरी","acanthuthi"
"नोव्हेंबर","acapnia"
"नौदल","acapnial"
"न्याय","acapnias"
"न्यायाधीश","acappella"
"न्यायालय","acapsular"
"न्यायिक","acapu"
"पँट","Acapulco"
"पंक्ती","acara"
"पंख","Acarapis"
"पंखा","acarari"
"पंधरा","acardia"
"पंप","acardiac"
"पकड","acardite"
"पकडणे","acari"
"पक्षपात","acarian"
"पक्षी","acariasis"
"पगार","acariatre"
"पट","acaricidal"
"पटकन","acaricide"
"पटल","acarid"
"पटवणे","Acarida"
"पट्टा","acaridae"
"पट्टी","acaridan"
"पडणे","acaridans"
"पडदा","Acaridea"
"पत्ता","acaridean"
"पत्नी","acaridomatia"
"पत्र","acaridomatium"
"पत्रक","acarids"
"पत्रकार","acariform"
"पत्रकारिता","Acarina"
"पथक","acarine"
"पदक","acarines"
"पदवी","acarinosis"
"पदवीधर","Acarnan"
"पदार्थ","acarocecidia"
"पदार्पण","acarocecidium"
"पद्धत","acarodermatitis"
"पन्नास","acaroid"
"परंतु","acarol"
"परंपरा","acarology"
"परंपरेने","acarologist"
"परकर","acarophilous"
"परत","acarophobia"
"परदेशात","acarotoxic"
"परदेशी","acarpellous"
"परवडणारे","acarpelous"
"परवडणे","acarpous"
"परवानगी","Acarus"
"परवाना","ACAS"
"परस्पर","acast"
"परस्परसंवाद","Acastus"
"पराभव","acatalectic"
"पराभूत","acatalepsy"
"परिचय","acatalepsia"
"परिचारिका","acataleptic"
"परिचित","acatallactic"
"परिच्छेद","acatamathesia"
"परिणाम","acataphasia"
"परिणामकारकता","acataposis"
"परिणामी","acatastasia"
"परिधान","acatastatic"
"परिपूर्ण","acate"
"परिभाषित","acategorical"
"परिमाण","acater"
"परिवर्तन","acatery"
"परिषद","acates"
"परिस्थिती","acatharsy"
"परीक्षण","acatharsia"
"परीक्षा","acatholic"
"परेड","acaudal"
"पर्यंत","acaudate"
"पर्यटक","acaudelescent"
"पर्यवेक्षक","acaulescence"
"पर्याय","acaulescent"
"पर्यायी","acauline"
"पर्यावरणविषयक","acaulose"
"पर्स","acaulous"
"पलंग","ACAWS"
"पलीकडे","ACB"
"पळवाट","ACBL"
"पवित्र","ACC"
"पशू","acc."
"पश्चिम","acca"
"पहा","accable"
"पहाट","Accad"
"पहिला","accademia"
"पांढरा","Accadian"
"पाइपलाइन","Accalia"
"पाई","acce"
"पाईप","accede"
"पाऊल","acceded"
"पाऊस","accedence"
"पाच","acceder"
"पाचवा","acceders"
"पाठपुरावा","accedes"
"पाठलाग","acceding"
"पाठवा","accel"
"पाठ्यपुस्तक","accel."
"पाणी","accelerable"
"पातळ","accelerando"
"पातळी","accelerant"
"पात्र","accelerate"
"पाद्री","accelerated"
"पान","acceleratedly"
"पाप","accelerates"
"पाम","accelerating"
"पाय","acceleratingly"
"पायलट","acceleration"
"पाया","accelerations"
"पारंपारिक","accelerative"
"पार्क","accelerator"
"पार्किंग","acceleratory"
"पार्टी","accelerators"
"पार्श्वभूमी","accelerograph"
"पाल","accelerometer"
"पालक","accelerometers"
"पालन","accelerometer's"
"पालनपोषण","accend"
"पावडर","accendibility"
"पास","accendible"
"पासून","accensed"
"पाहिजे","accension"
"पाहुणे","accensor"
"पिंजरा","accent"
"पिकअप","accented"
"पिचर","accenting"
"पिझ्झा","accentless"
"पिढी","accentor"
"पिणे","accentors"
"पिन","accents"
"पियानो","accentuable"
"पिळणे","accentual"
"पिवळा","accentuality"
"पिशवी","accentually"
"पीक","accentuate"
"पीठ","accentuated"
"पीसी","accentuates"
"पुजारी","accentuating"
"पुढाकार","accentuation"
"पुढे","accentuations"
"पुण्य","accentuator"
"पुतळा","accentus"
"पुनरावलोकन","accept"
"पुनरावृत्ती","acceptability"
"पुनर्प्राप्त","acceptabilities"
"पुनर्प्राप्ती","acceptable"
"पुन्हा","acceptableness"
"पुरणे","acceptably"
"पुरवठा","acceptance"
"पुरस्कार","acceptances"
"पुराणमतवादी","acceptance's"
"पुरावा","acceptancy"
"पुरुष","acceptancies"
"पुरेसा","acceptant"
"पुरेसे","acceptation"
"पुष्टी","acceptavit"
"पुसणे","accepted"
"पुस्तक","acceptedly"
"पूर","acceptee"
"पूर्ण","acceptees"
"पूर्णपणे","accepter"
"पूर्व","accepters"
"पूर्वज","acceptilate"
"पूर्वी","acceptilated"
"पूर्वेकडील","acceptilating"
"पूल","acceptilation"
"पृथ्वी","accepting"
"पृष्ठ","acceptingly"
"पृष्ठभाग","acceptingness"
"पॅक","acception"
"पॅकेज","acceptive"
"पॅच","acceptor"
"पॅड","acceptors"
"पॅन","acceptor's"
"पॅरामीटर","acceptress"
"पॅलेस्टिनी","accepts"
"पेक्षा","accerse"
"पेटंट","accersition"
"पेट्रोल","accersitor"
"पेन","access"
"पेन्शन","accessability"
"पेमेंट","accessable"
"पेय","accessary"
"पैज","accessaries"
"पैलू","accessarily"
"पैसे","accessariness"
"पॉप","accessaryship"
"पोझ","accessed"
"पोट","accesses"
"पोप","accessibility"
"पोर्च","accessibilities"
"पोर्टफोलिओ","accessible"
"पोर्ट्रेट","accessibleness"
"पोलीस","accessibly"
"पोशाख","accessing"
"पोषण","accession"
"पोस्ट","accessional"
"पोस्टर","accessioned"
"पोहणे","accessioner"
"पोहोचणे","accessioning"
"पोहोचवणे","accessions"
"पौंड","accession's"
"पौगंडावस्थेतील","accessit"
"प्रकटीकरण","accessive"
"प्रकरण","accessively"
"प्रकल्प","accessless"
"प्रकार","accessor"
"प्रकाश","accessory"
"प्रकाशक","accessorial"
"प्रकाशन","accessories"
"प्रक्रिया","accessorii"
"प्रक्षेपण","accessorily"
"प्रगत","accessoriness"
"प्रगती","accessory's"
"प्रगतीशील","accessorius"
"प्रचंड","accessoriusorii"
"प्रचार","accessorize"
"प्रजाती","accessorized"
"प्रजासत्ताक","accessorizing"
"प्रणय","accessors"
"प्रणाली","accessor's"
"प्रति","acciaccatura"
"प्रतिकार","acciaccaturas"
"प्रतिक्रिया","acciaccature"
"प्रतिध्वनी","accidence"
"प्रतिनिधित्व","accidency"
"प्रतिनिधी","accidencies"
"प्रतिबंध","accident"
"प्रतिबंधित","accidental"
"प्रतिबद्धता","accidentalism"
"प्रतिबिंब","accidentalist"
"प्रतिभा","accidentality"
"प्रतिभावान","accidentally"
"प्रतिमा","accidentalness"
"प्रतिवादी","accidentals"
"प्रतिष्ठा","accidentary"
"प्रतिसाद","accidentarily"
"प्रतिसादकर्ता","accidented"
"प्रतिस्पर्धी","accidential"
"प्रती","accidentiality"
"प्रत्यक्षात","accidently"
"प्रत्येक","accident-prone"
"प्रत्येकजण","accidents"
"प्रथिने","accidia"
"प्रदर्शन","accidias"
"प्रदाता","accidie"
"प्रदान","accidies"
"प्रदूषण","accinge"
"प्रदेश","accinged"
"प्रबळ","accinging"
"प्रभाव","accipenser"
"प्रभावशाली","accipient"
"प्रभावित","Accipiter"
"प्रभावी","accipitral"
"प्रभावीपणे","accipitrary"
"प्रमाण","Accipitres"
"प्रमाणपत्र","accipitrine"
"प्रमुख","accipter"
"प्रयत्न","accise"
"प्रयोग","accismus"
"प्रयोगशाळा","accite"
"प्रवक्ता","Accius"
"प्रवचन","acclaim"
"प्रवास","acclaimable"
"प्रवासी","acclaimed"
"प्रवाह","acclaimer"
"प्रवृत्ती","acclaimers"
"प्रवेश","acclaiming"
"प्रवेशद्वार","acclaims"
"प्रशंसा","acclamation"
"प्रशासक","acclamations"
"प्रशासकीय","acclamator"
"प्रशासन","acclamatory"
"प्रशिक्षक","acclimatable"
"प्रशिक्षण","acclimatation"
"प्रश्न","acclimate"
"प्रश्नावली","acclimated"
"प्रसंग","acclimatement"
"प्रसार","acclimates"
"प्रसारण","acclimating"
"प्रसिद्ध","acclimation"
"प्रसिद्धी","acclimations"
"प्रस्ताव","acclimatisable"
"प्रस्तावित","acclimatisation"
"प्रांत","acclimatise"
"प्राचार्य","acclimatised"
"प्राचीन","acclimatiser"
"प्राणघातक","acclimatising"
"प्राणी","acclimatizable"
"प्रात्यक्षिक","acclimatization"
"प्राथमिक","acclimatizations"
"प्रादेशिक","acclimatize"
"प्राधान्य","acclimatized"
"प्राध्यापक","acclimatizer"
"प्राप्त","acclimatizes"
"प्राप्तकर्ता","acclimatizing"
"प्रामाणिक","acclimature"
"प्रामाणिकपणे","acclinal"
"प्रामुख्याने","acclinate"
"प्रायोगिक","acclivity"
"प्रायोजक","acclivities"
"प्रारंभ","acclivitous"
"प्रारंभिक","acclivous"
"प्रार्थना","accloy"
"प्रासंगिक","accoast"
"प्रिय","accoy"
"प्रियकर","accoyed"
"प्रिये","accoying"
"प्रिस्क्रिप्शन","accoil"
"प्रीमियम","Accokeek"
"प्रेक्षक","accolade"
"प्रेम","accoladed"
"प्रेमळ","accolades"
"प्रेरणा","accolated"
"प्रॉम्प्ट","accolent"
"प्रो","accoll"
"प्रोग्रामिंग","accolle"
"प्रोटोकॉल","accolled"
"प्रोत्साहन","accollee"
"प्रोफाइल","Accomac"
"प्रोसेसर","accombination"
"प्रौढ","accommodable"
"प्लास्टिक","accommodableness"
"प्लॅटफॉर्म","accommodate"
"प्लेऑफ","accommodated"
"प्लेट","accommodately"
"प्लेसमेंट","accommodateness"
"प्लॉट","accommodates"
"फक्त","accommodating"
"फरक","accommodatingly"
"फर्निचर","accommodatingness"
"फळ","accommodation"
"फसवणूक","accommodational"
"फाइल","accommodationist"
"फाडणे","accommodations"
"फायदा","accommodative"
"फायदेशीर","accommodatively"
"फायबर","accommodativeness"
"फिट","accommodator"
"फिटनेस","accommodators"
"फिरकी","accomodate"
"फिर्यादी","accompanable"
"फिल्टर","accompany"
"फी","accompanied"
"फील्ड","accompanier"
"फुंकणे","accompanies"
"फुकट","accompanying"
"फुगा","accompanyist"
"फुटणे","accompaniment"
"फुटपाथ","accompanimental"
"फुटबॉल","accompaniments"
"फुटेज","accompaniment's"
"फुफ्फुस","accompanist"
"फुली","accompanists"
"फूल","accompanist's"
"फॅन्सी","accomplement"
"फॅब्रिक","accompletive"
"फॅशन","accompli"
"फेकणे","accomplice"
"फेडरल","accomplices"
"फेब्रुवारी","accompliceship"
"फेरफटका","accomplicity"
"फॉर्म","accomplis"
"फोटो","accomplish"
"फोन","accomplishable"
"फ्रीझ","accomplished"
"फ्रेंच","accomplisher"
"फ्रेम","accomplishers"
"फ्रेमवर्क","accomplishes"
"फ्लिप","accomplishing"
"फ्लॅट","accomplishment"
"फ्लॅश","accomplishments"
"फ्लोट","accomplishment's"
"बँक","accomplisht"
"बँकर","accompt"
"बँकिंग","accord"
"बँड","accordable"
"बंडखोर","accordance"
"बंद","accordances"
"बंदर","accordancy"
"बंदी","accordant"
"बंदूक","accordantly"
"बंधन","accordatura"
"बकवास","accordaturas"
"बक्षीस","accordature"
"बचत","accorded"
"बचाव","accorder"
"बचावात्मक","accorders"
"बजेट","according"
"बटण","accordingly"
"बटाटा","accordion"
"बदक","accordionist"
"बदल","accordionists"
"बदलते","accordions"
"बदला","accordion's"
"बदली","accords"
"बद्दल","accorporate"
"बनणे","accorporation"
"बनवणे","accost"
"बनावट","accostable"
"बबल","accosted"
"बरा","accosting"
"बरेच","accosts"
"बरोबर","accouche"
"बर्गर","accouchement"
"बर्फ","accouchements"
"बलात्कार","accoucheur"
"बलिदान","accoucheurs"
"बळी","accoucheuse"
"बस","accoucheuses"
"बसणे","accounsel"
"बहीण","account"
"बहुतेक","accountability"
"बहुमत","accountabilities"
"बांधकाम","accountable"
"बांधणे","accountableness"
"बाई","accountably"
"बाकी","accountancy"
"बाग","accountancies"
"बाजार","accountant"
"बाजू","accountants"
"बाजूने","accountant's"
"बाजूला","accountantship"
"बाटली","accounted"
"बाण","accounter"
"बातम्या","accounters"
"बादली","accounting"
"बाब","accountings"
"बाबा","accountment"
"बाय","accountrement"
"बायबल","accounts"
"बार","accouple"
"बारा","accouplement"
"बालपण","accourage"
"बालवीर","accourt"
"बाळ","accouter"
"बास्केटबॉल","accoutered"
"बास्टर्ड","accoutering"
"बाही","accouterment"
"बाहुली","accouterments"
"बाहेर","accouters"
"बाह्य","accoutre"
"बाह्यरेखा","accoutred"
"बिंदू","accoutrement"
"बिअर","accoutrements"
"बिट","accoutres"
"बियाणे","accoutring"
"बिल","Accoville"
"बिशप","ACCRA"
"बीन","accrease"
"बुडणे","accredit"
"बुद्धिमत्ता","accreditable"
"बुधवार","accreditate"
"बूट","accreditation"
"बूथ","accreditations"
"बूम","accredited"
"बॅकअप","accreditee"
"बॅटरी","accrediting"
"बेकायदेशीर","accreditment"
"बेघर","accredits"
"बेट","accrementitial"
"बेडरूम","accrementition"
"बेरीज","accresce"
"बेरोजगारी","accrescence"
"बेसबॉल","accrescendi"
"बैठक","accrescendo"
"बैल","accrescent"
"बॉक्स","accretal"
"बॉम्ब","accrete"
"बॉम्बस्फोट","accreted"
"बॉस","accretes"
"बोकड","accreting"
"बोगदा","accretion"
"बोट","accretionary"
"बोनस","accretions"
"बोर्ड","accretion's"
"बोलणे","accretive"
"बोली","accriminate"
"बौद्धिक","Accrington"
"ब्युरो","accroach"
"ब्रँड","accroached"
"ब्रश","accroaching"
"ब्राउझर","accroachment"
"ब्रिटिश","accroides"
"ब्रेड","accruable"
"ब्लेड","accrual"
"ब्लॉक","accruals"
"ब्लॉग","accrue"
"भटकणे","accrued"
"भयपट","accruement"
"भयानक","accruer"
"भरती","accrues"
"भरपाई","accruing"
"भरपूर","ACCS"
"भरा","ACCT"
"भविष्य","acct."
"भव्य","accts"
"भांडणे","accubation"
"भांडवल","accubita"
"भांडवलशाही","accubitum"
"भांडे","accubitus"
"भाऊ","accueil"
"भाग","accultural"
"भागभांडवल","acculturate"
"भागीदार","acculturated"
"भागीदारी","acculturates"
"भाग्यवान","acculturating"
"भाजी","acculturation"
"भाडे","acculturational"
"भाड्याने","acculturationist"
"भार","acculturative"
"भारतीय","acculturize"
"भावंड","acculturized"
"भावना","acculturizing"
"भावनिक","accum"
"भावनिकदृष्ट्या","accumb"
"भाषण","accumbency"
"भाषांतर","accumbent"
"भाष्य","accumber"
"भिंत","accumulable"
"भितीदायक","accumulate"
"भिन्नता","accumulated"
"भीती","accumulates"
"भुकेले","accumulating"
"भुवया","accumulation"
"भूक","accumulations"
"भूकंप","accumulativ"
"भूत","accumulative"
"भूतकाळ","accumulatively"
"भूमिका","accumulativeness"
"भेट","accumulator"
"भेटणे","accumulators"
"भेटवस्तू","accumulator's"
"भेद","accupy"
"भेदभाव","accur"
"भौतिकशास्त्र","accuracy"
"भ्रम","accuracies"
"भ्रष्ट","accurate"
"भ्रष्टाचार","accurately"
"मंगळवार","accurateness"
"मंच","accuratenesses"
"मंजुरी","accurre"
"मंजूर","accurse"
"मंत्रालय","accursed"
"मंत्री","accursedly"
"मंद","accursedness"
"मंदिर","accursing"
"मंदी","accurst"
"मऊ","accurtation"
"मजकूर","accus"
"मजबुतीकरण","accusable"
"मजबूत","accusably"
"मजला","accusal"
"मजा","accusals"
"मजेदार","accusant"
