"Shona","English"
"kufema","abstractable"
"kufemerwa","abstracted"
"kufunga","abstractedly"
"kufunganya","abstractedness"
"kufungidzira","abstracter"
"kufungisisa","abstracters"
"kufuratira","abstractest"
"kugadzikana","abstracting"
"kugadzira","abstraction"
"kugadzirira","abstractional"
"kugadzirisa","abstractionism"
"kugadzirwa","abstractionist"
"kugadzwa","abstractionists"
"kugamuchira","abstractions"
"kugamuchirwa","abstraction's"
"kugeza","abstractitious"
"kugombedzera","abstractive"
"kugona","abstractively"
"kugovera","abstractiveness"
"kugumbuka","abstractly"
"kugumbura","abstractness"
"kugumburwa","abstractnesses"
"kugutsikana","abstractor"
"kugwinya","abstractors"
"kuiswa","abstractor's"
"kuita","abstracts"
"kuitika","abstrahent"
"Kukadzi","abstrict"
"kukakavara","abstricted"
"kukanganisa","abstricting"
"kukodzera","abstriction"
"kukokwa","abstricts"
"kukosha","abstrude"
"kukukurwa","abstruse"
"kukunda","abstrusely"
"kukundikana","abstruseness"
"kukundwa","abstrusenesses"
"kukura","abstruser"
"kukurudzira","abstrusest"
"kukurumidza","abstrusion"
"kukuvadza","abstrusity"
"kukuvara","abstrusities"
"kukwanisa","absume"
"kukwenya","absumption"
"kukwereta","absurd"
"kukwezva","absurder"
"kukwidza","absurdest"
"kukwira","absurdism"
"kumabvazuva","absurdist"
"kumadokero","absurdity"
"kumaruwa","absurdities"
"kumashure","absurdity's"
"kumativi","absurdly"
"kumba","absurdness"
"kumbira","absurds"
"kumbundira","absurdum"
"kumedza","absvolt"
"kumhanya","abt"
"kumhara","abterminal"
"kumira","abthain"
"kumiririra","abthainry"
"kumisa","abthainrie"
"kumucheto","abthanage"
"kumusoro","abtruse"
"kumwe","Abu"
"kumwewo","abubble"
"kunaka","Abu-Bekr"
"kunatsiridza","Abucay"
"kunetsana","abucco"
"kunetseka","abuilding"
"kunonzi","Abukir"
"kunwa","abuleia"
"kunyange","Abulfeda"
"kunyanya","abulia"
"kunyara","abulias"
"kunyarara","abulic"
"kunyatsoshanda","abulyeit"
"kunyepa","abulomania"
"kunyepedzera","abumbral"
"kunyora","abumbrellar"
"kunyoresa","Abuna"
"kunyumwa","abundance"
"kunze","abundances"
"kunzwa","abundancy"
"kunzwisisa","abundant"
"kuoma","Abundantia"
"kuona","abundantly"
"kuonga","abune"
"kuongorora","abura"
"kuongororwa","aburabozu"
"kupa","aburagiri"
"kupaka","aburban"
"kuparadza","Abury"
"kuparadzana","aburst"
"kuparara","aburton"
"kupenda","abusable"
"kupenga","abusage"
"kupenya","abuse"
"kupera","abused"
"kupererwa","abusedly"
"kupesana","abusee"
"kupfeka","abuseful"
"kupfura","abusefully"
"kupfuura","abusefulness"
"kupi","abuser"
"kupikisa","abusers"
"kupikiswa","abuses"
"kupinda","abush"
"kupindira","abusing"
"kupisa","abusion"
"kupiwa","abusious"
"kupokana","abusive"
"kupona","abusively"
"kupora","abusiveness"
"kuputika","abusivenesses"
"kuputswa","abut"
"kupwanya","Abuta"
"kuraira","Abutilon"
"kuramba","abutilons"
"kurambana","abutment"
"kurambidzwa","abutments"
"kurangana","abuts"
"kurangwa","abuttal"
"kurapa","abuttals"
"kurapwa","abutted"
"kurarama","abutter"
"kurasika","abutters"
"kurasikirwa","abutter's"
"kuratidza","abutting"
"kuratidzira","abuzz"
"kuratidzwa","abv"
"kuravira","abvolt"
"kure","abvolts"
"kureba","abwab"
"kurekodha","abwatt"
"kuremara","abwatts"
"kurerekera","ac"
"kureva","ac-"
"kurima","a-c"
"kuronga","AC/DC"
"kuroora","ACAA"
"kurova","Acacallis"
"kurudzira","acacatechin"
"kurudziro","acacatechol"
"kurukura","Acacea"
"Kurume","Acaceae"
"kurumidza","acacetin"
"kururama","Acacia"
"kururamisa","Acacian"
"kururamisira","acacias"
"kurutivi","acaciin"
"kurwa","acacin"
"kurwadziwa","acacine"
"kurwara","acad"
"kurwisa","academe"
"kusabvumirana","academes"
"kusadziviririka","Academy"
"kusagadzikana","academia"
"kusagona","academial"
"kusangana","academian"
"kusanganisira","academias"
"kusarura","Academic"
"kusavapo","academical"
"kusaziva","academically"
"kuseka","academicals"
"kushambadzira","academician"
"kushambira","academicians"
"kushamisika","academicianship"
"kushanda","academicism"
"kushandisa","academics"
"kushandiswa","academie"
"kushaya","academies"
"kushomeka","academy's"
"kushora","academise"
"kushoropodzwa","academised"
"kushorwa","academising"
"kushumira","academism"
"kushungurudza","academist"
"kushungurudzika","academite"
"kushungurudzwa","academization"
"kusika","academize"
"kusikwa","academized"
"kusimbisa","academizing"
"kusimudzirwa","Academus"
"kusimukira","Acadia"
"kusingaperi","acadialite"
"kusunda","Acadian"
"kusunga","Acadie"
"kusurukirwa","Acaena"
"kusuwa","acajou"
"kusvibiswa","acajous"
"kusvika","acal"
"kusvikira","acalculia"
"kusvina","acale"
"kutama","acaleph"
"kutamba","Acalepha"
"kutambura","Acalephae"
"kutanga","acalephan"
"kutapira","acalephe"
"kutapurirana","acalephes"
"kutarisa","acalephoid"
"kutarisira","acalephs"
"kutaura","Acalia"
"kutaurirana","acalycal"
"kutenda","acalycine"
"kutendeka","acalycinous"
"kutendeuka","acalyculate"
"kutendiswa","Acalypha"
"kutenga","Acalypterae"
"kutengesa","Acalyptrata"
"kutengeserana","Acalyptratae"
"kutevedzera","acalyptrate"
"kutevera","Acamar"
"kuti","Acamas"
"kutiza","Acampo"
"kutonga","acampsia"
"kutongwa","acana"
"kutonhora","acanaceous"
"kutsamwa","acanonical"
"kutsikisa","acanth"
"kutsiva","acanth-"
"kutsoropodza","acantha"
"kutsunga","Acanthaceae"
"kutsva","acanthaceous"
"kutungamira","acanthad"
"kutungamirira","Acantharia"
"kutya","acanthi"
"kutyaira","Acanthia"
"kutyisidzira","acanthial"
"kuumbwa","acanthin"
"kuunganidza","acanthine"
"kuuraya","acanthion"
"kuuya","acanthite"
"kuva","acantho-"
"kuvadza","acanthocarpous"
"kuvaka","Acanthocephala"
"kuvakazve","acanthocephalan"
"kuvandudzika","Acanthocephali"
"kuvapo","acanthocephalous"
"kuvenga","Acanthocereus"
"kuverenga","acanthocladous"
"kuveza","Acanthodea"
"kuvezwa","acanthodean"
"kuvhima","Acanthodei"
"kuvhiringidza","Acanthodes"
"kuvhiringidzika","acanthodian"
"kuvhiyiwa","Acanthodidae"
"kuvhota","Acanthodii"
"kuvhunduka","Acanthodini"
"kuvhura","acanthoid"
"kuvimba","Acantholimon"
"kuvimbika","acantholysis"
"kuvimbisa","acanthology"
"kuvonga","acanthological"
"kuwa","acanthoma"
"kuwacha","acanthomas"
"kuwana","Acanthomeridae"
"kuwanikwa","acanthon"
"kuwedzera","Acanthopanax"
"kuwirirana","Acanthophis"
"kuyamwa","acanthophorous"
"kuyaruka","acanthopod"
"kuyemura","acanthopodous"
"kuyerera","acanthopomatous"
"kuyerwa","acanthopore"
"kuzeza","acanthopteran"
"kuziva","Acanthopteri"
"kuzivikanwa","acanthopterygian"
"kuzvibata","Acanthopterygii"
"kuzvidavirira","acanthopterous"
"kuzvidemba","acanthoses"
"kuzvikudza","acanthosis"
"kuzvimiririra","acanthotic"
"kuzvipira","acanthous"
"kuzviuraya","Acanthuridae"
"kwaakarerekera","Acanthurus"
"kwazisa","acanthus"
"kwete","acanthuses"
"kweva","acanthuthi"
"kwezva","acapnia"
"lab","acapnial"
"label","acapnias"
"lady","acappella"
"lake","acapsular"
"land","acapu"
"landscape","Acapulco"
"lane","acara"
"laptop","Acarapis"
"laser","acarari"
"late","acardia"
"launch","acardiac"
"lay","acardite"
"layer","acari"
"leaf","acarian"
"leak","acariasis"
"lean","acariatre"
"lecture","acaricidal"
"legend","acaricide"
"lend","acarid"
"lenzi","Acarida"
"let","acaridae"
"level","acaridan"
"liberal","acaridans"
"library","Acaridea"
"lieutenant","acaridean"
"lift","acaridomatia"
"ligi","acaridomatium"
"limit","acarids"
"limitation","acariform"
"limited","Acarina"
"line","acarine"
"link","acarines"
"lip","acarinosis"
"list","Acarnan"
"live","acarocecidia"
"load","acarocecidium"
"lobby","acarodermatitis"
"local","acaroid"
"locate","acarol"
"lock","acarology"
"locker","acarologist"
"log","acarophilous"
"logic","acarophobia"
"loop","acarotoxic"
"loose","acarpellous"
"lovely","acarpelous"
"low","acarpous"
"lunch","Acarus"
"lyrics","ACAS"
"mabharani","acast"
"mabhuku","Acastus"
"mabvazuva","acatalectic"
"mad","acatalepsy"
"madhaka","acatalepsia"
"madokero","acataleptic"
"maererano","acatallactic"
"mafaro","acatamathesia"
"mafashamo","acataphasia"
"mafungiro","acataposis"
"mafuta","acatastasia"
"magazini","acatastatic"
"magetsi","acate"
"magic","acategorical"
"magnitude","acater"
"mahombekombe","acatery"
"mainstream","acates"
"maira","acatharsy"
"maitiro","acatharsia"
"makanika","acatholic"
"make","acaudal"
"makemikari","acaudate"
"maker","acaudelescent"
"makuhwa","acaulescence"
"makwikwi","acaulescent"
"mall","acauline"
"mambakwedza","acaulose"
"mambo","acaulous"
"mambokadzi","ACAWS"
"mamiriro","ACB"
"mamiriyoni","ACBL"
"management","ACC"
"mandate","acc."
"maneja","acca"
"mangwana","accable"
"mangwanani","Accad"
"manheru","accademia"
"manikidza","Accadian"
"manikidzira","Accalia"
"manipulate","acce"
"manzwiro","accede"
"maona","acceded"
"maonero","accedence"
"map","acceder"
"mapapu","acceders"
"mapatya","accedes"
"Mapurisa","acceding"
"marara","accel"
"mararamiro","accel."
"marasha","accelerable"
"margin","accelerando"
"mari","accelerant"
"Marine","accelerate"
"mark","accelerated"
"marker","acceleratedly"
"market","accelerates"
"marketing","accelerating"
"marudzi","acceleratingly"
"masikati","acceleration"
"mask","accelerations"
"mass","accelerative"
"massive","accelerator"
"master","acceleratory"
"masvomhu","accelerators"
"matanda","accelerograph"
"matauriro","accelerometer"
"match","accelerometers"
"mate","accelerometer's"
"materu","accend"
"math","accendibility"
"Mauto","accendible"
"Mauya","accensed"
"mavambo","accension"
"mawere","accensor"
"mawodzanyemba","accent"
"maximum","accented"
"mazuvano","accenting"
"mazwi","accentless"
"mbama","accentor"
"mbanje","accentors"
"mbatatisi","accents"
"mbavha","accentuable"
"mberi","accentual"
"mbeu","accentuality"
"mbeveve","accentually"
"mbichana","accentuate"
"mbiri","accentuated"
"mbishi","accentuates"
"mbudzi","accentuating"
"Mbudzi","accentuation"
"mechanical","accentuations"
"media","accentuator"
"melt","accentus"
"menduru","accept"
"mentor","acceptability"
"menyu","acceptabilities"
"mere","acceptable"
"merit","acceptableness"
"mess","acceptably"
"message","acceptance"
"mexican","acceptances"
"meya","acceptance's"
"mhamha","acceptancy"
"mhedzisiro","acceptancies"
"mhedziso","acceptant"
"mhemberero","acceptation"
"mhembero","acceptavit"
"mheni","accepted"
"mhepo","acceptedly"
"mhere","acceptee"
"mhinduro","acceptees"
"mhino","accepter"
"mhiri","accepters"
"mhiripiri","acceptilate"
"mhirizhonga","acceptilated"
"mhondi","acceptilating"
"mhoro","acceptilation"
"Mhoro","accepting"
"mhosva","acceptingly"
"mhou","acceptingness"
"mhuka","acception"
"mhumhi","acceptive"
"mhuri","acceptor"
"michina","acceptors"
"midziyo","acceptor's"
"mihoro","acceptress"
"mijenya","accepts"
"mimba","accerse"
"Mineti","accersition"
"miniminimum","accersitor"
"minimize","access"
"minister","accessability"
"miririra","accessable"
"misodzi","accessary"
"miss","accessaries"
"mission","accessarily"
"mita","accessariness"
"mix","accessaryship"
"mm","accessed"
"mm-hmm","accesses"
"mmm","accessibility"
"mobile","accessibilities"
"mode","accessible"
"model","accessibleness"
"modify","accessibly"
"molecule","accessing"
"mombe","accession"
"momentum","accessional"
"monetary","accessioned"
"monitor","accessioner"
"monkey","accessioning"
"monster","accessions"
"monument","accession's"
"mood","accessit"
"mortgage","accessive"
"mota","accessively"
"moto","accessless"
"motokari","accessor"
"mount","accessory"
"mouse","accessorial"
"mu","accessories"
"mubatanidzwa","accessorii"
"mubati","accessorily"
"mubato","accessoriness"
"mubatsiri","accessory's"
"mubayiro","accessorius"
"mubereki","accessoriusorii"
"mubvunzo","accessorize"
"muchato","accessorized"
"mucheche","accessorizing"
"mucherechedzi","accessors"
"muchero","accessor's"
"muchidimbu","acciaccatura"
"muchina","acciaccaturas"
"muchinda","acciaccature"
"muchuchisi","accidence"
"mudiwa","accidency"
"mudzanga","accidencies"
"mudzi","accident"
"mudzidzi","accidental"
"mudzidzisi","accidentalism"
"mudzimai","accidentalist"
"mudziyo","accidentality"
"muenzaniso","accidentally"
"muenzi","accidentalness"
"mufambi","accidentals"
"mufambiro","accidentary"
"mufananidzo","accidentarily"
"mufaro","accidented"
"mufundisi","accidential"
"mugadziri","accidentiality"
"mugamuchiri","accidently"
"muganhu","accident-prone"
"mugari","accidents"
"mugero","accidia"
"Mugovera","accidias"
"muhomwe","accidie"
"muhoro","accidies"
"muimbi","accinge"
"mujeri","accinged"
"muJudha","accinging"
"mukadzi","accipenser"
"mukaka","accipient"
"mukana","Accipiter"
"mukanyiwa","accipitral"
"mukati","accipitrary"
"mukirasi","Accipitres"
"mukoma","accipitrine"
"mukomana","accipter"
"mukombe","accise"
"mukundi","accismus"
"mukuru","accite"
"mukurukuri","Accius"
"mukurumbira","acclaim"
"mukwikwidzi","acclaimable"
"mumhanyi","acclaimed"
"mumiririri","acclaimer"
"mumvuri","acclaimers"
"mumwe","acclaiming"
"munda","acclaims"
"munhu","acclamation"
"munhuwi","acclamations"
"munwe","acclamator"
"munyengetero","acclamatory"
"munyori","acclimatable"
"munyoro","acclimatation"
"munyu","acclimate"
"munzanga","acclimated"
"muongorori","acclimatement"
"muoni","acclimates"
"muorivhi","acclimating"
"mupanduki","acclimation"
"muparidzi","acclimations"
"mupenyu","acclimatisable"
"mupepeti","acclimatisation"
"mupfumi","acclimatise"
"mupfungwa","acclimatised"
"mupiro","acclimatiser"
"muporofita","acclimatising"
"mupoteri","acclimatizable"
"mupristi","acclimatization"
"mupukunyuki","acclimatizations"
"mupunga","acclimatize"
"mupurisa","acclimatized"
"muranda","acclimatizer"
"murapi","acclimatizes"
"murasi","acclimatizing"
"murazvo","acclimature"
"murenje","acclinal"
"mureza","acclinate"
"muridzi","acclivity"
"murimi","acclivities"
"muripo","acclivitous"
"muriwo","acclivous"
"muromo","accloy"
"muroyi","accoast"
"murume","accoy"
"murwere","accoyed"
"murwi","accoying"
"musanganiswa","accoil"
"musangano","Accokeek"
"musayendisiti","accolade"
"museum","accoladed"
"museve","accolades"
"musha","accolated"
"mushandi","accolent"
"mushandirapamwe","accoll"
"mushandirwi","accolle"
"mushandisi","accolled"
"mushanyi","accollee"
"mushonga","Accomac"
"mushure","accombination"
"music","accommodable"
"musical","accommodableness"
"musikana","accommodate"
"musiki","accommodated"
"musimboti","accommodately"
"muSiriya","accommodateness"
"musiyano","accommodates"
"muslim","accommodating"
"musoja","accommodatingly"
"musori","accommodatingness"
"musoro","accommodation"
"musungwa","accommodational"
"muswe","accommodationist"
"mutadzi","accommodations"
"mutakuri","accommodative"
"mutambi","accommodatively"
"mutambo","accommodativeness"
"mutasvi","accommodator"
"mutauriri","accommodators"
"mutauro","accomodate"
"muteereri","accompanable"
"mutemo","accompany"
"mutendi","accompanied"
"mutengesi","accompanier"
"mutengi","accompanies"
"mutengo","accompanying"
"muteresi","accompanyist"
"mutero","accompaniment"
"mutete","accompanimental"
"mutevedzeri","accompaniments"
"muteveri","accompaniment's"
"muti","accompanist"
"mutikitivha","accompanists"
"muto","accompanist's"
"mutongi","accomplement"
"mutongo","accompletive"
"mutoro","accompli"
"mutorwa","accomplice"
"mutsa","accomplices"
"mutsigiri","accompliceship"
"mutsipa","accomplicity"
"mutsoropodzi","accomplis"
"mutsvene","accomplish"
"mutual","accomplishable"
"mutumbi","accomplished"
"mutungamiri","accomplisher"
"mutyairi","accomplishers"
"muunganidzi","accomplishes"
"muurayi","accomplishing"
"muvakidzani","accomplishment"
"muvambi","accomplishments"
"muvengi","accomplishment's"
"muverengi","accomplisht"
"muvhimi","accompt"
"muvhoti","accord"
"Muvhuro","accordable"
"muviri","accordance"
"muzana","accordances"
"muzinda","accordancy"
"muzukuru","accordant"
"muzvinabhizimisi","accordantly"
"mvumo","accordatura"
"mvura","accordaturas"
"mwaka","accordature"
"mwana","accorded"
"mwanakomana","accorder"
"mwanasikana","accorders"
"mwaranzi","according"
"mwari","accordingly"
"mwedzi","accordion"
"mwenga","accordionist"
"mwero","accordionists"
"mweya","accordions"
"mwoyo","accordion's"
"naizvozvo","accords"
"nani","accorporate"
"narrator","accorporation"
"nasty","accost"
"national","accostable"
"native","accosted"
"natural","accosting"
"nature","accosts"
"navy","accouche"
"ndaneta","accouchement"
"ndangariro","accouchements"
"Ndapota","accoucheur"
"ndatenda","accoucheurs"
"ndega","accoucheuse"
"ndege","accoucheuses"
"ndiani","accounsel"
"ndima","account"
"ndimu","accountability"
"Ndira","accountabilities"
"ndiro","accountable"
"nechepakati","accountableness"
"nechivimbo","accountably"
"nechokwadi","accountancy"
"need","accountancies"
"negative","accountant"
"negotiate","accountants"
"nekukurumidza","accountant's"
"nemashoko","accountantship"
"nemaune","accounted"
"nemazvo","accounter"
"nepo","accounters"
"nerve","accounting"
"neshungu","accountings"
"nesimba","accountment"
"nest","accountrement"
"net","accounts"
"netariro","accouple"
"network","accouplement"
"never","accourage"
"newspaper","accourt"
"nezuro","accouter"
"nezve","accoutered"
"nezveutano","accoutering"
"nezvimwewo","accouterment"
"nezvombo","accouterments"
"ngano","accouters"
"ngirozi","accoutre"
"ngochani","accoutred"
"ngoma","accoutrement"
"ngoni","accoutrements"
"ngoro","accoutres"
"ngowani","accoutring"
"ngozi","Accoville"
"nguruve","ACCRA"
"nguva","accrease"
"ngwarira","accredit"
"nhabvu","accreditable"
"nhaka","accreditate"
"nhamba","accreditation"
"nhamo","accreditations"
"nhandare","accredited"
"nhanhatu","accreditee"
"nhapwa","accrediting"
"nharaunda","accreditment"
"nharo","accredits"
"nhasi","accrementitial"
"nhau","accrementition"
"nhaurirano","accresce"
"nhema","accrescence"
"Nhema","accrescendi"
"nhengo","accrescendo"
"nhete","accrescent"
"nhetembo","accretal"
"nhonga","accrete"
"nhoroondo","accreted"
"nhovo","accretes"
"njanji","accreting"
"njere","accretion"
"njodzi","accretionary"
"nod","accretions"
"noise","accretion's"
"nokudaro","accretive"
"nokukurumidza","accriminate"
"nokungwarira","Accrington"
"nokusingaperi","accroach"
"nokutendeseka","accroached"
"nokuti","accroaching"
"nominate","accroachment"
"nomination","accroides"
"nominee","accruable"
"nomufaro","accrual"
"nomwe","accruals"
"nondo","accrue"
"nonprofit","accrued"
"normal","accruement"
"northern","accruer"
"note","accrues"
"novel","accruing"
"nuclear","ACCS"
"nungo","ACCT"
"nunura","acct."
"nurse","accts"
"nut","accubation"
"nyakukuvadzwa","accubita"
"nyama","accubitum"
"Nyamavhuvhu","accubitus"
"nyanduri","accueil"
"nyanga","accultural"
"nyanzvi","acculturate"
"nyarara","acculturated"
"Nyasha","acculturates"
"nyaya","acculturating"
"nyemwerero","acculturation"
"nyengeterai","acculturational"
"nyika","acculturationist"
"nyoka","acculturative"
"nyora","acculturize"
"nyore","acculturized"
"nyoresa","acculturizing"
"nyoro","accum"
"nyuchi","accumb"
"nyura","accumbency"
"nzanga","accumbent"
"nzara","accumber"
"nzeve","accumulable"
"nzira","accumulate"
"nzombe","accumulated"
"nzou","accumulates"
"nzungu","accumulating"
"nzvimbo","accumulation"
"nzwisisa","accumulations"
"o","accumulativ"
"oak","accumulative"
"object","accumulatively"
"occupy","accumulativeness"
"ocean","accumulator"
"o'clock","accumulators"
"odd","accumulator's"
"odds","accupy"
"off","accur"
"offer","accuracy"
"offering","accuracies"
"officer","accurate"
"oksijeni","accurately"
"old","accurateness"
"olympic","accuratenesses"
"Olympics","accurre"
"on","accurse"
"oneka","accursed"
"ongororo","accursedly"
"online","accursedness"
"onto","accursing"
"oo","accurst"
"oparesheni","accurtation"
"opareta","accus"
"open","accusable"
"opera","accusably"
"opt","accusal"
"oral","accusals"
"orbit","accusant"
"order","accusants"
"orenji","accusation"
"organic","accusations"
"orientation","accusation's"
"original","accusatival"
"otomatiki","accusative"
"ounce","accusative-dative"
"outlet","accusatively"
"outline","accusativeness"
"outstanding","accusatives"
"ovheni","accusator"
"own","accusatory"
"pa","accusatorial"
"pabonde","accusatorially"
"pace","accusatrix"
"pachake","accusatrixes"
"pachangu","accuse"
"pacharo","accused"
"pachavo","accuser"
"pachedu","accusers"
"pachena","accuses"
"pachinzvimbo","accusing"
"pachivanhu","accusingly"
"pack","accusive"
"package","accusor"
"pad","accustom"
"pakarepo","accustomation"
"pakati","accustomed"
"pakupedzisira","accustomedly"
"pakutanga","accustomedness"
"pal","accustoming"
"pale","accustomize"
"palestinian","accustomized"
"palm","accustomizing"
"pamakumbo","accustoms"
"pamawere","Accutron"
"pamberi","ACD"
"pamusoro","ACDA"
"pamuviri","AC-DC"
"pamwe","ACE"
"pamwedzi","acea"
"pan","aceacenaphthene"
"panel","aceae"
"panguva","acean"
"panjodzi","aceanthrene"
"pant","aceanthrenequinone"
"panyama","acecaffin"
"panze","acecaffine"
"panzvimbo","aceconitic"
"papa","aced"
"parade","acedy"
"paradzira","acedia"
"paramende","acediamin"
"parameter","acediamine"
"paridza","acedias"
"parizvino","acediast"
"park","ace-high"
"participant","Acey"
"particle","acey-deucy"
"party","aceite"
"parutivi","aceituna"
"paruzhinji","Aceldama"
"pashure","aceldamas"
"pasi","acellular"
"pasina","Acemetae"
"pasoda","Acemetic"
"pass","acemila"
"passenger","acenaphthene"
"passionate","acenaphthenyl"
"patent","acenaphthylene"
"patrol","acenesthesia"
"patsanura","acensuada"
"patsva","acensuador"
"pause","acentric"
"pay","acentrous"
"pazasi","aceology"
"pc","aceologic"
"peak","aceous"
"pedyo","acephal"
"pedzisa","Acephala"
"peel","acephalan"
"peer","Acephali"
"peji","acephalia"
"pekugara","Acephalina"
"pen","acephaline"
"pendi","acephalism"
"pension","acephalist"
"pepuru","Acephalite"
"perekedza","acephalocyst"
"perform","acephalous"
"performance","acephalus"
"period","acepots"
"permit","acequia"
"personal","acequiador"
"pesvedzero","acequias"
"pet","Acer"
"peta","Aceraceae"
"peturu","aceraceous"
"pfira","Acerae"
"pfuma","Acerata"
"pfumbamwe","acerate"
"pfungwa","acerated"
"pfupi","Acerates"
"pfupiso","acerathere"
"pfura","Aceratherium"
"pfuti","aceratosis"
"phase","acerb"
"phenomenon","Acerbas"
"photo","acerbate"
"physics","acerbated"
"piano","acerbates"
"pie","acerbating"
"pika","acerber"
"pilot","acerbest"
"pin","acerbic"
"pindura","acerbically"
"pine","acerbity"
"pink","acerbityacerose"
"pinza","acerbities"
"pipeline","acerbitude"
"pirate","acerbly"
"piri","acerbophobia"
"piritsi","acerdol"
"piro","aceric"
"piss","acerin"
"pitch","acerli"
"pizza","acerola"
"plain","acerolas"
"plan","acerose"
"planet","acerous"
"plastiki","acerra"
"platform","acers"
"play","acertannin"
"playoff","acerval"
"plea","acervate"
"plead","acervately"
"plot","acervatim"
"plus","acervation"
"pm","acervative"
"point","acervose"
"policy","acervuli"
"pombi","acervuline"
"pondo","acervulus"
"pop","aces"
"popular","ace's"
"poresa","acescence"
"port","acescency"
"portfolio","acescent"
"portrait","acescents"
"pose","aceship"
"Poshi","Acesius"
"positive","acesodyne"
"possess","acesodynous"
"post","Acessamenus"
"poster","Acestes"
"poto","acestoma"
"precise","acet-"
"predator","aceta"
"prefer","acetable"
"premise","acetabula"
"premium","acetabular"
"present","Acetabularia"
"presentation","acetabuliferous"
"press","acetabuliform"
"pressure","acetabulous"
"primary","acetabulum"
"primaryary","acetabulums"
"prime","acetacetic"
"pro","acetal"
"probability","acetaldehydase"
"process","acetaldehyde"
"processing","acetaldehydrase"
"processor","acetaldol"
"production","acetalization"
"professional","acetalize"
"profile","acetals"
"program","acetamid"
"programming","acetamide"
"project","acetamidin"
"prominent","acetamidine"
"promise","acetamido"
"propaganda","acetamids"
"proposal","acetaminol"
"propose","Acetaminophen"
"proposed","acetanilid"
"proposition","acetanilide"
"protein","acetanion"
"protester","acetaniside"
"protocol","acetanisidide"
"prove","acetanisidine"
"provide","acetannin"
"provider","acetary"
"province","acetarious"
"psychologist","acetars"
"psychology","acetarsone"
"pukuta","acetate"
"pulse","acetated"
"punch","acetates"
"pupura","acetation"
"purofesa","acetazolamide"
"purofiti","acetbromamide"
"pursue","acetenyl"
"put","Acetes"
"putika","acethydrazide"
"puzzle","acetiam"
"pwere","acetic"
"qualify","acetify"
"quality","acetification"
"quantity","acetified"
"quantum","acetifier"
"quarter","acetifies"
"quarterback","acetifying"
"quest","acetyl"
"quick","acetylacetonates"
"quit","acetylacetone"
"quote","acetylamine"
"rabhoritari","acetylaminobenzene"
"rack","acetylaniline"
"radar","acetylasalicylic"
"radical","acetylate"
"rally","acetylated"
"ramangwana","acetylating"
"ramba","acetylation"
"rambi","acetylative"
"rambidza","acetylator"
"ranch","acetylbenzene"
"random","acetylbenzoate"
"ranga","acetylbenzoic"
"rangarira","acetylbiuret"
"range","acetylcarbazole"
"ranking","acetylcellulose"
"rare","acetylcholine"
"rat","acetylcholinesterase"
"rate","acetylcholinic"
"ratidza","acetylcyanide"
"rating","acetylenation"
"Ratini","acetylene"
"ratio","acetylenediurein"
"ray","acetylenes"
"re","acetylenic"
"react","acetylenyl"
"reaction","acetylenogen"
"ready","acetylfluoride"
"real","acetylglycin"
"realistic","acetylglycine"
"realm","acetylhydrazine"
"recipe","acetylic"
"record","acetylid"
"recover","acetylide"
"recruit","acetyliodide"
"redhiyo","acetylizable"
"redunhu","acetylization"
"refer","acetylize"
"reference","acetylized"
"reflect","acetylizer"
"reform","acetylizing"
"refu","acetylmethylcarbinol"
"regererai","acetylperoxide"
"regulate","acetylphenylhydrazine"
"regulatory","acetylphenol"
"rejista","acetylrosaniline"
"release","acetyls"
"remark","acetylsalicylate"
"render","acetylsalicylic"
"rent","acetylsalol"
"rep","acetyltannin"
"repair","acetylthymol"
"report","acetyltropeine"
"reporting","acetylurea"
"republic","acetimeter"
"republican","acetimetry"
"research","acetimetric"
"reserve","acetin"
"reserved","acetine"
"resign","acetins"
"resistance","acetite"
"resolution","acetize"
"resort","acetla"
"resource","acetmethylanilide"
"restaurant","acetnaphthalide"
"retail","aceto-"
"retire","acetoacetanilide"
"retired","acetoacetate"
"retirement","acetoacetic"
"retrieve","acetoamidophenol"
"return","acetoarsenite"
"reurura","Acetobacter"
"reverse","acetobenzoic"
"rezinesi","acetobromanilide"
"rhetoric","acetochloral"
"rhythm","acetocinnamene"
"ride","acetoin"
"ridge","acetol"
"ridiculous","acetolysis"
"rima","acetolytic"
"ring","acetometer"
"rinhi","acetometry"
"rip","acetometric"
"risky","acetometrical"
"road","acetometrically"
"rob","acetomorphin"
"robhoti","acetomorphine"
"rocket","acetonaemia"
"roll","acetonaemic"
"rolling","acetonaphthone"
"roman","acetonate"
"romance","acetonation"
"romantic","acetone"
"rondedzera","acetonemia"
"rookie","acetonemic"
"room","acetones"
"ropa","acetonic"
"ropafadzai","acetonyl"
"ropafadzo","acetonylacetone"
"rori","acetonylidene"
"rose","acetonitrile"
"rough","acetonization"
"round","acetonize"
"routine","acetonuria"
"rova","acetonurometer"
"row","acetophenetide"
"royal","acetophenetidin"
"rub","acetophenetidine"
"rubatsiro","acetophenin"
"ruboshwe","acetophenine"
"rude","acetophenone"
"rudo","acetopiperone"
"rudyi","acetopyrin"
"rudzi","acetopyrine"
"rufu","acetosalicylic"
"rugare","acetose"
"rugwaro","acetosity"
"rukova","acetosoluble"
"rukudzo","acetostearin"
"rumbidzai","acetothienone"
"run","acetotoluid"
"runako","acetotoluide"
"runhare","acetotoluidine"
"ruoko","acetous"
