"Lao","English"
"ຄໍາຮ້ອງສະຫມັກ","ablegates"
"ຄໍາຮ້ອງຟ້ອງ","ablegation"
"ຄໍາເວົ້າ","able-minded"
"ຄໍາເຫັນ","able-mindedness"
"ຄໍາແນະນໍາ","ablend"
"ງ່າຍ","ableness"
"ງ່າຍໆ","ablepharia"
"ງ່າຍດາຍ","ablepharon"
"ງານບຸນ","ablepharous"
"ງານລ້ຽງ","Ablepharus"
"ງານວາງສະແດງ","ablepsy"
"ງານແຕ່ງງານ","ablepsia"
"ງາມ","ableptical"
"ງຸ່ມງ່າມ","ableptically"
"ງູ","abler"
"ງົບປະມານ","ables"
"ງົວ","ablesse"
"ງຽບ","ablest"
"ງຽບໆ","ablet"
"ງັບ","ablewhackets"
"ງໍ","ably"
"ຈ່າຍ","ablings"
"ຈ້ອງເບິ່ງ","ablins"
"ຈ້າງ","ablock"
"ຈອກ","abloom"
"ຈະ","ablow"
"ຈະເລີນເຕີບໂຕ","ABLS"
"ຈະແຈ້ງ","ablude"
"ຈາກ","abluent"
"ຈາງລົງ","abluents"
"ຈານ","ablush"
"ຈິງ","ablute"
"ຈິດ​ໃຈ","abluted"
"ຈິດສໍານຶກ","ablution"
"ຈິດຕະກອນ","ablutionary"
"ຈິດຕະນາການ","ablutions"
"ຈິດຕະວິທະຍາ","abluvion"
"ຈິດວິນຍານ","ABM"
"ຈິນຕະນາການ","abmho"
"ຈີກ","abmhos"
"ຈີນ","abmodality"
"ຈື່","abmodalities"
"ຈືດໆ","abn"
"ຈຸດ","Abnaki"
"ຈຸດປະສົງ","Abnakis"
"ຈຸດຢືນ","abnegate"
"ຈຸດຫມາຍປາຍທາງ","abnegated"
"ຈຸດໝາຍປາຍທາງ","abnegates"
"ຈຸດເດັ່ນ","abnegating"
"ຈູບ","abnegation"
"ຈົ່ມ","abnegations"
"ຈົງຮັກພັກດີ","abnegative"
"ຈົດໝາຍ","abnegator"
"ຈົນກ່ວາ","abnegators"
"ຈົບ​ການ​ສຶກ​ສາ","Abner"
"ຈົມ","abnerval"
"ຈົມນ້ຳ","abnet"
"ຈຳກັດ","abneural"
"ຈັກກະວານ","abnormal"
"ຈັງຫວະ","abnormalcy"
"ຈັດ","abnormalcies"
"ຈັດການ","abnormalise"
"ຈັດຕັ້ງ","abnormalised"
"ຈັດປະເພດ","abnormalising"
"ຈັດຮຽງ","abnormalism"
"ຈັນຍາບັນ","abnormalist"
"ຈັບ","abnormality"
"ຈໍ","abnormalities"
"ຈໍສະແດງຜົນ","abnormalize"
"ຈໍາ​ນວນ","abnormalized"
"ຈໍາ​ແນກ","abnormalizing"
"ຈໍານວນຫລາຍ","abnormally"
"ຈໍານອງ","abnormalness"
"ຈໍາເປັນ","abnormals"
"ຈໍາເລີຍ","abnormity"
"ສ່ວນ","abnormities"
"ສ່ວນຕົວ","abnormous"
"ສ່ວນນຶ່ງ","abnumerable"
"ສ່ວນປະກອບ","Abo"
"ສ່ວນຫຼຸດ","aboard"
"ສ່ວນໃຫຍ່","aboardage"
"ສ່ອງແສງ","Abobra"
"ສ່ຽງ","abococket"
"ສ້ອມ","abodah"
"ສ້າງ","abode"
"ສ້າງຄວາມເຂັ້ມແຂງ","aboded"
"ສ້າງສັນ","abodement"
"ສ້າງຕັ້ງ","abodes"
"ສວນ","abode's"
"ສວນສາທາລະນະ","abody"
"ສວນສັດ","aboding"
"ສວນຫລັງ","abogado"
"ສອກ","abogados"
"ສອງ","abohm"
"ສອງເທື່ອ","abohms"
"ສອງເທົ່າ","aboideau"
"ສອດຄ່ອງ","aboideaus"
"ສອນ","aboideaux"
"ສອບຖາມ","aboil"
"ສະ​ຫນາມ​ບິນ","aboiteau"
"ສະ​ເນ່","aboiteaus"
"ສະກີ","aboiteaux"
"ສະກົດ","abolete"
"ສະຄຣິບ","abolish"
"ສະດວກ","abolishable"
"ສະດວກສະບາຍ","abolished"
"ສະດຸດ","abolisher"
"ສະຕະວັດ","abolishers"
"ສະຕິ","abolishes"
"ສະຕິປັນຍາ","abolishing"
"ສະຕູດິໂອ","abolishment"
"ສະຖານທີ່","abolishments"
"ສະຖານທູດ","abolishment's"
"ສະຖານະ","abolition"
"ສະຖານະການ","abolitionary"
"ສະຖານີ","abolitionise"
"ສະຖາບັນ","abolitionised"
"ສະຖາບັນການສຶກສາ","abolitionising"
"ສະຖາປະນິກ","abolitionism"
"ສະຖິຕິ","abolitionist"
"ສະຖຽນລະພາບ","abolitionists"
"ສະທ້ອນ","abolitionize"
"ສະນຸກເກີ","abolitionized"
"ສະບາຍດີ","abolitionizing"
"ສະບູ່","abolitions"
"ສະບັບ","abolla"
"ສະພາ","abollae"
"ສະພານິຕິບັນຍັດ","aboma"
"ສະພາບ","abomas"
"ສະພາບການ","abomasa"
"ສະພາບອາກາດ","abomasal"
"ສະພາບແວດລ້ອມ","abomasi"
"ສະມາຄົມ","abomasum"
"ສະມາຊິກ","abomasus"
"ສະມາຊິກສະພາ","abomasusi"
"ສະມາຊິກສະພາສູງ","A-bomb"
"ສະມໍ","abominability"
"ສະຫງ່າງາມ","abominable"
"ສະຫງວນ","abominableness"
"ສະຫງົບ","abominably"
"ສະຫນອງໃຫ້","abominate"
"ສະຫນັບສະຫນູນ","abominated"
"ສະຫມັກ","abominates"
"ສະຫລາດ","abominating"
"ສະຫວັດດີການ","abomination"
"ສະຫວັນ","abominations"
"ສະຫະປະຊາ","abominator"
"ສະຫະພັນ","abominators"
"ສະຫຼາດ","abomine"
"ສະຫຼຸບ","abondance"
"ສະຫຼັດ","Abongo"
"ສະຫຼັບ","abonne"
"ສະໜາມ","abonnement"
"ສະໜາມກິລາ","aboon"
"ສະໜາມຫຍ້າ","aborad"
"ສະໜັບສະໜູນ","aboral"
"ສະໝອງ","aborally"
"ສະອາດ","abord"
"ສະເຕກ","Aboriginal"
"ສະເຕັກ","aboriginality"
"ສະເປນ","aboriginally"
"ສະເພາະ","aboriginals"
"ສະເລ່ຍ","aboriginary"
"ສະເຫນີລາຄາ","Aborigine"
"ສະເຫຼີມສະຫຼອງ","aborigines"
"ສະເໜີ","aborigine's"
"ສະເໜີຊື່","Abor-miri"
"ສະເໝີ","Aborn"
"ສະເໝືອນຈິງ","aborning"
"ສະແກນ","a-borning"
"ສະແດງ","aborsement"
"ສະແດງອອກ","aborsive"
"ສະແດງໃຫ້ເຫັນ","abort"
"ສະແຕມ","aborted"
"ສະແຫວງຫາ","aborter"
"ສະໂພກ","aborters"
"ສະໂມສອນ","aborticide"
"ສະໄລ້","abortient"
"ສາ​ມາດ","abortifacient"
"ສາກ","abortin"
"ສາກົນ","aborting"
"ສາຂາ","abortion"
"ສາຍ","abortional"
"ສາຍການບິນ","abortionist"
"ສາຍຕາ","abortionists"
"ສາຍແອວ","abortions"
"ສາຍແຮ່","abortion's"
"ສາດສະດາ","abortive"
"ສາດສະຫນາສາດ","abortively"
"ສາດສະໜາ","abortiveness"
"ສາທາລະນະ","abortogenic"
"ສາທາລະນະລັດ","aborts"
"ສານ","abortus"
"ສານສະກັດຈາກ","abortuses"
"ສາບານ","abos"
"ສາບແຊ່ງ","abote"
"ສາມ","Abott"
"ສາມສິບ","abouchement"
"ສາມາດ","aboudikro"
"ສາມາດບັນລຸ","abought"
"ສາມາດໃຊ້ໄດ້","Aboukir"
"ສາມັກຄີ","aboulia"
"ສາລະຄະດີ","aboulias"
"ສາລະພາບ","aboulic"
"ສາລີ","abound"
"ສາເກ","abounded"
"ສາເຫດ","abounder"
"ສິ່ງ","abounding"
"ສິ່ງກີດຂວາງ","aboundingly"
"ສິ່ງຂອງ","abounds"
"ສິ່ງທ້າທາຍ","Abourezk"
"ສິ່ງພິມ","about"
"ສິ່ງມະຫັດ","about-face"
"ສິ່ງລົບກວນ","about-faced"
"ສິ່ງອໍານວຍຄວາມສະດວກ","about-facing"
"ສິ່ງເສດເຫຼືອ","abouts"
"ສິ່ງເສບຕິດ","about-ship"
"ສິ່ງແວດລ້ອມ","about-shipped"
"ສິ້ນ","about-shipping"
"ສິ້ນສຸດ","about-sledge"
"ສິ້ນຫວັງ","about-turn"
"ສິດ","above"
"ສິດຍາພິບານ","aboveboard"
"ສິດທິບັດ","above-board"
"ສິດທິພິເສດ","above-cited"
"ສິດອຳນາດ","abovedeck"
"ສິນຄ້າ","above-found"
"ສິນຄ້າຄົງຄັງ","above-given"
"ສິນລະປະ","aboveground"
"ສິນເຊື່ອ","abovementioned"
"ສິບ","above-mentioned"
"ສິບສອງ","above-named"
"ສິບຫ້າ","aboveproof"
"ສິບເອັດ","above-quoted"
"ສິລະປະ","above-reported"
"ສີ","aboves"
"ສີ່","abovesaid"
"ສີ່ສິບ","above-said"
"ສີ່ຫຼ່ຽມ","abovestairs"
"ສີຂາວ","above-water"
"ສີຂຽວ","above-written"
"ສີສົ້ມ","abow"
"ສີດໍາ","abox"
"ສີນ້ຳຕານ","Abp"
"ສີບົວ","ABPC"
"ສີຟ້າ","Abqaiq"
"ສີມ່ວງ","abr"
"ສີມັງ","abr."
"ສີເທົາ","Abra"
"ສີເຫຼືອງ","abracadabra"
"ສີແດງ","abrachia"
"ສຶກສາ","abrachias"
"ສື່​ມວນ​ຊົນ","abradable"
"ສືບສວນ","abradant"
"ສືບຕໍ່","abradants"
"ສືບທອດ","abrade"
"ສຸ​ຂະ​ພາບ","abraded"
"ສຸ່ມ","abrader"
"ສຸກ","abraders"
"ສຸກ​ເສີນ","abrades"
"ສຸຂະພາບດີ","abrading"
"ສຸດ","Abraham"
"ສຸດຍອດ","Abrahamic"
"ສຸດທ້າຍ","Abrahamidae"
"ສຸດທິ","Abrahamite"
"ສຸພາບສະຕີ","Abrahamitic"
"ສຸມ","Abraham-man"
"ສູ້ກັນ","Abrahams"
"ສູງ","Abrahamsen"
"ສູງສຸດ","Abrahan"
"ສູດ","abray"
"ສູນ","abraid"
"ສູນ​ອອກ​ກໍາ​ລັງ​ກາຍ","Abram"
"ສູນການຄ້າ","Abramis"
"ສູນເສຍ","Abramo"
"ສູບ","Abrams"
"ສົ່ງ","Abramson"
"ສົ່ງອອກ","Abran"
"ສົ່ງເສີມ","abranchial"
"ສົ້ນຕີນ","abranchialism"
"ສົງ​ໄສ","abranchian"
"ສົງຄາມ","Abranchiata"
"ສົງໃສ","abranchiate"
"ສົດ","abranchious"
"ສົດຊື່ນ","abrasax"
"ສົດໃສ","abrase"
"ສົນທະນາ","abrased"
"ສົນທິສັນຍາ","abraser"
"ສົນໃຈ","abrash"
"ສົບ","abrasing"
"ສົມ​ເຫດ​ສົມ​ຜົນ","abrasiometer"
"ສົມຄວນ","abrasion"
"ສົມທົບ","abrasions"
"ສົມບູນ","abrasion's"
"ສົມບັດ","abrasive"
"ສົມບັດສິນ","abrasively"
"ສົມຜົນ","abrasiveness"
"ສົມມຸດ","abrasivenesses"
"ສົມມຸດຕິຖານ","abrasives"
"ສົມມຸດວ່າ","abrastol"
"ສົມຮູ້ຮ່ວມຄິດ","abraum"
"ສົມເຫດສົມຜົນ","abraxas"
"ສຽງ","abrazite"
"ສຽງສະທ້ອນ","abrazitic"
"ສຽງດັງ","abrazo"
"ສຽງຮ້ອງ","abrazos"
"ສຳຄັນ","abreact"
"ສຳນຽງ","abreacted"
"ສຳນັກງານ","abreacting"
"ສຳມະໂນຄົວ","abreaction"
"ສຳຫຼວດ","abreactions"
"ສຳຮອງ","abreacts"
"ສຳເນົາ","abreast"
"ສັ່ງ","abreed"
"ສັ້ນ","abrege"
"ສັ້ນໆ","abreid"
"ສັກສິດ","abrenounce"
"ສັງຄົມ","abrenunciate"
"ສັງເກດ","abrenunciation"
"ສັງເກດເບິ່ງ","abreption"
"ສັດ","abret"
"ສັດຕູ","abreuvoir"
"ສັດທາ","abri"
"ສັດປ່າ","abrico"
"ສັດລ້ຽງ","abricock"
"ສັດເດຍລະສານ","abricot"
"ສັນ","abridgable"
"ສັນຊາດ","abridge"
"ສັນຍະລັກ","abridgeable"
"ສັນຍາ","abridged"
"ສັນຍານ","abridgedly"
"ສັນຍາລັກ","abridgement"
"ສັນຕະປາປາ","abridgements"
"ສັນຕິພາບ","abridger"
"ສັນລະເສີນ","abridgers"
"ສັບສົນ","abridges"
"ສໍ້​ລາດ​ບັງ​ຫຼວງ","abridging"
"ສໍ້ລາດບັງຫຼວງ","abridgment"
"ສໍາ​ນັກ​ງານ​ໃຫຍ່","abridgments"
"ສໍາຄັນ","abrim"
"ສໍາລັບ","abrin"
"ສໍາເລັດ","abrine"
"ສໍາເລັດຮູບ","abris"
"ຊ່ວງ","abristle"
"ຊ່ວຍເຫຼືອ","abroach"
"ຊ່ອງ","abroad"
"ຊ່ອງຫວ່າງ","Abrocoma"
"ຊ່າງ​ຖ່າຍ​ຮູບ","abrocome"
"ຊ່ຽວຊານ","abrogable"
"ຊ້ວນ","abrogate"
"ຊ້າ","abrogated"
"ຊ້າໆ","abrogates"
"ຊ້າງ","abrogating"
"ຊ້າຍ","abrogation"
"ຊ້ຳ","abrogations"
"ຊ້ຳໆ","abrogative"
"ຊ໊ອກ","abrogator"
"ຊອກຫາ","abrogators"
"ຊອງ","Abroma"
"ຊອງຈົດໝາຍ","Abroms"
"ຊອຍ","Abronia"
"ຊອດ","abrood"
"ຊອບ​ແວ​","abrook"
"ຊະຕາກໍາ","abrosia"
"ຊະນະ","abrosias"
"ຊະນິດ","abrotanum"
"ຊາ","abrotin"
"ຊາຍ","abrotine"
"ຊາຍແດນ","abrupt"
"ຊາດ","abruptedly"
"ຊານເມືອງ","abrupter"
"ຊາວ","abruptest"
"ຊາວກະສິກອນ","abruptio"
"ຊິບ","abruption"
"ຊີ້ນ","abruptiones"
"ຊີ້ນງົວ","abruptly"
"ຊີ້ນຫມູ","abruptness"
"ຊີ້ບອກ","Abrus"
"ຊີ້ແຈງ","Abruzzi"
"ຊີຣີ","ABS"
"ຊີວະປະຫວັດຫຍໍ້","abs-"
"ຊີວະວິທະຍາ","Absa"
"ຊີວິດ","Absalom"
"ຊຶມເສົ້າ","absampere"
"ຊື່","Absaraka"
"ຊື່ສຽງ","Absaroka"
"ຊື່ສັດ","Absarokee"
"ຊື່ນຊົມ","absarokite"
"ຊື້","ABSBH"
"ຊື້ເຄື່ອງ","abscam"
"ຊຸ່ມ","abscess"
"ຊຸກຍູ້","abscessed"
"ຊຸດ","abscesses"
"ຊຸມຊົນ","abscessing"
"ຊຸມນຸມ","abscession"
"ຊົ່ວຄາວ","abscessroot"
"ຊົ່ວຮ້າຍ","abscind"
"ຊົ່ວໂມງ","abscise"
"ຊົນກຸ່ມນ້ອຍ","abscised"
"ຊົນນະບົດ","abscises"
"ຊົນເຜົ່າ","abscisin"
"ຊົນເຜົ່າພື້ນເມືອງ","abscising"
"ຊົມເຊີຍ","abscisins"
"ຊັ້ນ","abscision"
"ຊັ້ນສູງ","absciss"
"ຊັ້ນວາງ","abscissa"
"ຊັ້ນຮຽນ","abscissae"
"ຊັ້ນເທິງ","abscissas"
"ຊັກ","abscissa's"
"ຊັກຊ້າ","abscisse"
"ຊັກຊວນ","abscissin"
"ຊັງ","abscission"
"ຊັດເຈນ","abscissions"
"ຊັນ","absconce"
"ຊັບສິນ","abscond"
"ຊັບຊ້ອນ","absconded"
"ຊັບພະຍາກອນ","abscondedly"
"ຊັອກໂກແລັດ","abscondence"
"ຊໍ່","absconder"
"ຊໍາເຮື້ອ","absconders"
"ຍ່າງ","absconding"
"ຍ້າຍ","absconds"
"ຍອດເງິນ","absconsa"
"ຍອມ​ຮັບ","abscoulomb"
"ຍອມຮັບ","abscound"
"ຍາກ","Absecon"
"ຍາວ","absee"
"ຍິ່ງໃຫຍ່","absey"
"ຍິ້ມ","abseil"
"ຍິງ","abseiled"
"ຍິນຍອມ","abseiling"
"ຍິນດີ","abseils"
"ຍິນດີຕ້ອນຮັບ","absence"
"ຍີ່ຫໍ້","absences"
"ຍຶດ","absence's"
"ຍືດຍາວ","absent"
"ຍືນຍົງ","absentation"
"ຍຸກ","absented"
"ຍຸກສະໄໝ","absentee"
"ຍຸດ​ທະ​ສາດ","absenteeism"
"ຍຸດຕິທຳ","absentees"
"ຍຸດທະວິທີ","absentee's"
"ຍຸຕິທຳ","absenteeship"
"ຍຸບ","absenter"
"ຍູ້","absenters"
"ຍົກ","absentia"
"ຍົກ​ເລີກ","absenting"
"ຍົກສູງ","absently"
"ຍົກລະດັບ","absentment"
"ຍົກເລີກ","absentminded"
"ຍົກເວັ້ນ","absent-minded"
"ຍົນ","absentmindedly"
"ຍັກ","absent-mindedly"
"ຍັງ","absentmindedness"
"ຍັງຄົງຢູ່","absent-mindedness"
"ຍັງເຫຼືອ","absentmindednesses"
"ຍັບ","absentness"
"ດ່ວນ","absents"
"ດ່ຽວ","absfarad"
"ດ້ວຍຄວາມຊື່ສັດ","abshenry"
"ດ້ານ","Abshier"
"ດ້ານວິຊາການ","Absi"
"ດ້ານໜ້າ","absinth"
"ດອກ","absinthe"
"ດອກກຸຫລາບ","absinthes"
"ດອກໄຟ","absinthial"
"ດາດຟ້າ","absinthian"
"ດາບ","absinthiate"
"ດາວ","absinthiated"
"ດາວທຽມ","absinthiating"
"ດາວໂຫຼດ","absinthic"
"ດິຈິຕອລ","absinthiin"
"ດິນ","absinthin"
"ດິນຈີ່","absinthine"
"ດິນຕອນ","absinthism"
"ດິນເຜົາ","absinthismic"
"ດິບ","absinthium"
"ດີ","absinthol"
"ດີ​ທີ່​ສຸດ","absinthole"
"ດີກວ່າ","absinths"
"ດີນາ","Absyrtus"
"ດີເດັ່ນ","absis"
"ດີເລີດ","absist"
"ດີໃຈ","absistos"
"ດີໃຈຫລາຍ","absit"
"ດຶງ","absmho"
"ດຶງຂໍ້ມູນ","absohm"
"ດຶງດູດ","absoil"
"ດຶງດູດໃຈ","absolent"
"ດື່ມ","Absolute"
"ດູດ","absolutely"
"ດູດຊຶມ","absoluteness"
"ດົນຕີ","absoluter"
"ດົນໃຈ","absolutes"
"ດຽວກັນ","absolutest"
"ດຽວນີ້","absolution"
"ດັ່ງກ່າວ","absolutions"
"ດັ່ງນັ້ນ","absolutism"
"ດັງ","absolutist"
"ດັດຊະນີ","absolutista"
"ດໍາລົງຊີວິດ","absolutistic"
"ດໍາເນີນການ","absolutistically"
"ຕ່ອງໂສ້","absolutists"
"ຕ່າງໆ","absolutive"
"ຕ່າງປະເທດ","absolutization"
"ຕ່ໍາກວ່າ","absolutize"
"ຕ້ອງ","absolutory"
"ຕ້ອງການ","absolvable"
"ຕ້ານ","absolvatory"
"ຕອນ","absolve"
"ຕອນທ່ຽງ","absolved"
"ຕອນບ່າຍ","absolvent"
"ຕອນເຊົ້າ","absolver"
"ຕອນແລງ","absolvers"
"ຕອບ","absolves"
"ຕອບສະໜອງ","absolving"
"ຕະປູ","absolvitor"
"ຕະຫລົກ","absolvitory"
"ຕະຫຼອດ","absonant"
"ຕະຫຼອດຊີວິດ","absonous"
"ຕະຫຼອດໄປ","absorb"
"ຕະຫຼາດ","absorbability"
"ຕະຫຼົກ","absorbable"
"ຕາ","absorbance"
"ຕາຂ່າຍໄຟຟ້າ","absorbancy"
"ຕາງໜ້າ","absorbant"
"ຕາຍ","absorbed"
"ຕາຕະລາງ","absorbedly"
"ຕາບອດ","absorbedness"
"ຕາມ","absorbefacient"
"ຕາມກົດໝາຍ","absorbency"
"ຕາມທໍາມະຊາດ","absorbencies"
"ຕາມປະເພນີ","absorbent"
"ຕາມລໍາດັບ","absorbents"
"ຕາເວັນຕົກ","absorber"
"ຕາເວັນຕົກສຽງເໜືອ","absorbers"
"ຕາເວັນຕົກສຽງໃຕ້","absorbing"
"ຕາເວັນອອກ","absorbingly"
"ຕາເວັນອອກສຽງເໜືອ","absorbition"
"ຕາເວັນອອກສຽງໃຕ້","absorbs"
"ຕິດຕາມ","absorbtion"
"ຕິດຕາມກວດກາ","absorpt"
"ຕິດຕັ້ງ","absorptance"
"ຕິດຕໍ່","absorptiometer"
"ຕິດຕໍ່ກັນ","absorptiometric"
"ຕິດຕໍ່ສື່ສານ","absorption"
"ຕີ","absorptional"
"ຕີຄວາມໝາຍ","absorptions"
"ຕີນ","absorption's"
"ຕື່ນ","absorptive"
"ຕື່ນເຕັ້ນ","absorptively"
"ຕື່ມ","absorptiveness"
"ຕື້","absorptivity"
"ຕື້ນ","absquatulate"
"ຕຸລະກີ","absquatulation"
"ຕຸລາ","abstain"
"ຕຸລາການ","abstained"
"ຕູ້","abstainer"
"ຕູ້ເສື້ອຜ້າ","abstainers"
"ຕົ້ນ","abstaining"
"ຕົ້ນກໍາເນີດ","abstainment"
"ຕົ້ນສະບັບ","abstains"
"ຕົ້ນຕໍ","abstemious"
"ຕົ້ນໄມ້","abstemiously"
"ຕົ້ມ","abstemiousness"
"ຕົກ","abstention"
"ຕົກ​ລົງ","abstentionism"
"ຕົກລົງ","abstentionist"
"ຕົກເປັນມູນຄ່າ","abstentions"
"ຕົນເອງ","abstentious"
"ຕົບ","absterge"
"ຕົວ​ທ່ານ​ເອງ","absterged"
"ຕົວ​ເມືອງ","abstergent"
"ຕົວຂອງມັນເອງ","absterges"
"ຕົວຈິງ","absterging"
"ຕົວຈິງແລ້ວ","absterse"
"ຕົວຊີ້ບອກ","abstersion"
"ຕົວຕົນ","abstersive"
"ຕົວທ່ອງເວັບ","abstersiveness"
"ຕົວຢ່າງ","abstertion"
"ຕົວເມືອງ","abstinence"
"ຕົວເຮົາເອງ","abstinences"
"ຕົວແທນ","abstinency"
"ຕົວແທນຈໍາຫນ່າຍ","abstinent"
"ຕົວແບບ","abstinential"
"ຕົວແປ","abstinently"
"ຕຽງ","abstort"
"ຕຳ","abstr"
"ຕຳຫຼວດ","abstract"
"ຕັ້ງ","abstractable"
"ຕັ້ງໃຈ","abstracted"
"ຕັກ","abstractedly"
"ຕັດ","abstractedness"
"ຕັດສິນໃຈ","abstracter"
"ຕັນ","abstracters"
"ຕັບ","abstractest"
"ຕໍ່","abstracting"
"ຕໍ່​ສູ້","abstraction"
"ຕໍ່ສູ້","abstractional"
"ຕໍ່ມາ","abstractionism"
"ຕໍ່າ","abstractionist"
"ຕໍ່ໄປ","abstractionists"
"ຕໍາ​ແຫນ່ງ​","abstractions"
"ຕໍາ່ສຸດທີ່","abstraction's"
"ຕໍານິ","abstractitious"
"ຕໍາຫລວດ","abstractive"
"ຖ່າຍທອດ","abstractively"
"ຖ່າຍຮູບ","abstractiveness"
"ຖ່ານຫີນ","abstractly"
"ຖ້າ","abstractness"
"ຖ້າບໍ່ດັ່ງນັ້ນ","abstractnesses"
"ຖອນ","abstractor"
"ຖອນຫາຍໃຈ","abstractors"
"ຖະໜົນ","abstractor's"
"ຖະແຫຼງການ","abstracts"
"ຖານຂໍ້ມູນ","abstrahent"
"ຖາປັດຕະຍະ","abstrict"
"ຖາມ","abstricted"
"ຖາວອນ","abstricting"
"ຖິ່ນ​ແຫ້ງ​ແລ້ງ​ກັນ​ດານ","abstriction"
"ຖິ້ມ","abstricts"
"ຖື","abstrude"
"ຖືກກ່າວຫາ","abstruse"
"ຖືກຕ້ອງ","abstrusely"
"ຖືກຕ້ອງຕາມກົດໝາຍ","abstruseness"
"ຖືພາ","abstrusenesses"
"ຖືວ່າ","abstruser"
"ຖູ","abstrusest"
"ຖົ່ມນໍ້າລາຍ","abstrusion"
"ຖົ່ວ","abstrusity"
"ຖົ່ວດິນ","abstrusities"
"ຖົງ","absume"
"ຖົງຕີນ","absumption"
"ຖົງມື","absurd"
"ຖົດຖອຍ","absurder"
"ຖັງ","absurdest"
"ຖັນ","absurdism"
"ຖັນແຖວນັກຂຽນ","absurdist"
"ຖໍ້າ","absurdity"
"ທ່ອງ​ທ່ຽວ","absurdities"
"ທ່າ","absurdity's"
"ທ່າທາງ","absurdly"
"ທ່ານ","absurdness"
"ທ່ານໝໍ","absurds"
"ທ່າມກາງ","absurdum"
"ທ່າອ່ຽງ","absvolt"
"ທ່າເຮືອ","abt"
"ທ່າແຮງ","abterminal"
"ທ່ຽງຄືນ","abthain"
"ທ້ອງ","abthainry"
"ທ້ອງຖິ່ນ","abthainrie"
"ທ້ອງຟ້າ","abthanage"
"ທ້າ​ທາຍ","abtruse"
"ທ້າຍອາທິດ","Abu"
"ທອງ","abubble"
"ທະ​ນາຍ​ຄວາມ","Abu-Bekr"
"ທະ​ເລ​ຊາຍ","Abucay"
"ທະນາຄານ","abucco"
"ທະນາຍຄວາມ","abuilding"
"ທະວີບ","Abukir"
"ທະຫານ","abuleia"
"ທະເຍີທະຍານ","Abulfeda"
"ທະເລ","abulia"
"ທະເລສາບ","abulias"
"ທາງ","abulic"
"ທາງກາຍ","abulyeit"
"ທາງການ","abulomania"
"ທາງການແພດ","abumbral"
"ທາງຍ່າງ","abumbrellar"
"ທາງດ່ວນ","Abuna"
"ທາງດ້ານການເມືອງ","abundance"
"ທາງດ້ານກົດໝາຍ","abundances"
"ທາງດ້ານຄລີນິກ","abundancy"
"ທາງດ້ານຈິດໃຈ","abundant"
"ທາງດ້ານສັງຄົມ","Abundantia"
"ທາງດ້ານຮ່າງກາຍ","abundantly"
"ທາງດ້ານເຕັກນິກ","abune"
"ທາງປະຫວັດສາດ","abura"
"ທາງປັນຍາ","aburabozu"
"ທາງຜ່ານ","aburagiri"
"ທາງລົດໄຟ","aburban"
"ທາງວິນຍານ","Abury"
"ທາງອອກ","aburst"
"ທາງເຂົ້າ","aburton"
"ທາງເພດ","abusable"
"ທາງເລືອກ","abusage"
"ທາງໂລກ","abuse"
"ທາສີ","abused"
"ທາດ","abusedly"
"ທາດເຫຼັກ","abusee"
"ທິດ​ທາງ","abuseful"
"ທິດສະດີ","abusefully"
"ທິດຕາເວັນອອກ","abusefulness"
"ທີ່","abuser"
"ທີ່​ສຸດ","abusers"
"ທີ່ກ່ຽວຂ້ອງ","abuses"
"ທີ່ຈະມາເຖິງ","abush"
"ທີ່ຈໍາເປັນ","abusing"
"ທີ່ສຸດ","abusion"
"ທີ່ສົມບູນແບບ","abusious"
"ທີ່ສໍາຄັນ","abusive"
"ທີ່ດິນ","abusively"
"ທີ່ດີເລີດ","abusiveness"
"ທີ່ນີ້","abusivenesses"
"ທີ່ປຶກສາ","abut"
"ທີ່ຜ່ານມາ","Abuta"
"ທີ່ພັກອາໄສ","Abutilon"
"ທີ່ມີຊື່ສຽງ","abutilons"
"ທີ່ມີຢູ່ແລ້ວ","abutment"
"ທີ່ຢູ່","abutments"
"ທີ່ຢູ່ອາໄສ","abuts"
"ທີ່ຮັກ","abuttal"
"ທີ່ຮັກແພງ","abuttals"
"ທີ່ເປັນປະໂຫຍດ","abutted"
"ທີ່ເຫມາະສົມ","abutter"
"ທີ່ແທ້ຈິງ","abutters"
"ທີສອງ","abutter's"
"ທີສາມ","abutting"
"ທີສີ່","abuzz"
"ທີມ","abv"
"ທີມງານ","abvolt"
"ທີຫ້າ","abvolts"
"ທີຫົກ","abwab"
"ທີເຈັດ","abwatt"
"ທີແປດ","abwatts"
"ທຶນ","ac"
"ທຶນການສຶກສາ","ac-"
"ທຶນນິຍົມ","a-c"
"ທຸກໆ","AC/DC"
"ທຸກໆ​ມື້","ACAA"
"ທຸກຄົນ","Acacallis"
"ທຸກຄັ້ງ","acacatechin"
"ທຸກຍາກ","acacatechol"
"ທຸກບ່ອນ","Acacea"
"ທຸກຢ່າງ","Acaceae"
"ທຸກເວລາ","acacetin"
"ທຸງ","Acacia"
"ທຸລະກິດ","Acacian"
"ທຸລະກໍາ","acacias"
"ທົ່ວໂລກ","acaciin"
"ທົ່ວໄປ","acacin"
"ທົດສະວັດ","acacine"
"ທົດລອງ","acad"
"ທົນທານ","academe"
"ທົນທຸກ","academes"
"ທົບທວນ","Academy"
"ທຽນໄຂ","academia"
"ທຽບກັບ","academial"
