"Khmer","English"
"ចៅក្រម","aboiteaux"
"ច្នៃប្រឌិត","abolete"
"ច្បាប់","abolish"
"ច្បាស់","abolishable"
"ច្បាស់​ណាស់","abolished"
"ច្បាស់លាស់","abolisher"
"ច្រក","abolishers"
"ច្រកចូល","abolishes"
"ច្រកចេញ","abolishing"
"ច្រកទ្វារ","abolishment"
"ច្រកផ្លូវ","abolishments"
"ច្រករបៀង","abolishment's"
"ច្រណែន","abolition"
"ច្របាច់","abolitionary"
"ច្រមុះ","abolitionise"
"ច្រឡំ","abolitionised"
"ច្រានចោល","abolitionising"
"ច្រាំង","abolitionism"
"ច្រាំងថ្មចោទ","abolitionist"
"ច្រើន","abolitionists"
"ច្រើនទៀត","abolitionize"
"ច្រៀក","abolitionized"
"ច្រៀង","abolitionizing"
"ចំណង","abolitions"
"ចំណងជើង","abolla"
"ចំណង់ចំណូលចិត្ត","abollae"
"ចំណាត់ថ្នាក់","aboma"
"ចំណាប់ខ្មាំង","abomas"
"ចំណាប់អារម្មណ៍","abomasa"
"ចំណាយ","abomasal"
"ចំណាំ","abomasi"
"ចំណិត","abomasum"
"ចំណី","abomasus"
"ចំណុច","abomasusi"
"ចំណុចប្រទាក់","A-bomb"
"ចំណូល","abominability"
"ចំណូលចិត្ត","abominable"
"ចំណេញ","abominableness"
"ចំណេះដឹង","abominably"
"ចំណែកឯ","abominate"
"ចំនួន","abominated"
"ចំនួនទឹកប្រាក់","abominates"
"ចំនួនប្រជាជន","abominating"
"ចំលែក","abomination"
"ចំហាយ","abominations"
"ចំហៀង","abominator"
"ឆន្ទៈ","abominators"
"ឆាកជីវិត","abomine"
"ឆានែល","abondance"
"ឆាប់ៗនេះ","Abongo"
"ឆើតឆាយ","abonne"
"ឆោតល្ងង់","abonnement"
"ឆៅ","aboon"
"ឆ្កួត","aborad"
"ឆ្កេញី","aboral"
"ឆ្កែ","aborally"
"ឆ្គង","abord"
"ឆ្ងល់","Aboriginal"
"ឆ្ងាញ់","aboriginality"
"ឆ្ងាយ","aboriginally"
"ឆ្នាំ","aboriginals"
"ឆ្នេរ","aboriginary"
"ឆ្នេរសមុទ្រ","Aborigine"
"ឆ្ពោះទៅរក","aborigines"
"ឆ្មា","aborigine's"
"ឆ្លងកាត់","Abor-miri"
"ឆ្លាក់","Aborn"
"ឆ្លាត","aborning"
"ឆ្លាតវៃ","a-borning"
"ឆ្លុះបញ្ចាំង","aborsement"
"ឆ្លើយតប","aborsive"
"ឆ្វេង","abort"
"ឆ្អិន","aborted"
"ឆ្អឹង","aborter"
"ជក់","aborters"
"ជក់បារី","aborticide"
"ជង្គង់","abortient"
"ជង្រុក","abortifacient"
"ជង់","abortin"
"ជជែក","aborting"
"ជញ្ជក់","abortion"
"ជញ្ជាំង","abortional"
"ជណ្ដើរ","abortionist"
"ជណ្តើរយន្ត","abortionists"
"ជន​ចម្លែក","abortions"
"ជនជាតិ","abortion's"
"ជនជាតិកាណាដា","abortive"
"ជនជាតិដើម","abortively"
"ជនជាតិដើមភាគតិច","abortiveness"
"ជនជាតិភាគតិច","abortogenic"
"ជនជាតិអ៊ីតាលី","aborts"
"ជនជាតិអាមេរិក","abortus"
"ជនបទ","abortuses"
"ជនបរទេស","abos"
"ជនភៀសខ្លួន","abote"
"ជនរងគ្រោះ","Abott"
"ជនល្មើស","abouchement"
"ជនស៊ីវិល","aboudikro"
"ជនអន្តោប្រវេសន៍","abought"
"ជប៉ុន","Aboukir"
"ជម្រាល","aboulia"
"ជម្រុញ","aboulias"
"ជម្រើស","aboulic"
"ជម្រៅ","abound"
"ជម្លោះ","abounded"
"ជល់","abounder"
"ជា","abounding"
"ជា​ការ​ពិត","aboundingly"
"ជា​ធម្មតា","abounds"
"ជា​រៀងរាល់ថ្ងៃ","Abourezk"
"ជាកម្មសិទ្ធិ","about"
"ជាក់លាក់","about-face"
"ជាក់ស្តែង","about-faced"
"ជាង","about-facing"
"ជាចម្បង","abouts"
"ជាច្រើន","about-ship"
"ជាជាង","about-shipped"
"ជាញឹកញាប់","about-shipping"
"ជាតិ","about-sledge"
"ជាតិដែក","about-turn"
"ជាតិសរសៃ","above"
"ជាតិសាសន៍","aboveboard"
"ជាតិអាល់កុល","above-board"
"ជាទីស្រឡាញ់","above-cited"
"ជាទូទៅ","abovedeck"
"ជាធម្មតា","above-found"
"ជានិច្ច","above-given"
"ជាន់","aboveground"
"ជាន់ខ្ពស់","abovementioned"
"ជាន់លើ","above-mentioned"
"ជាបន្តបន្ទាប់","above-named"
"ជាប្រពៃណី","aboveproof"
"ជាប្រវត្តិសាស្ត្រ","above-quoted"
"ជាប់គ្នា។","above-reported"
"ជាប់លាប់","aboves"
"ជាផ្លូវការ","abovesaid"
"ជាពិសេស","above-said"
"ជាមូលដ្ឋាន","abovestairs"
"ជាមួយ","above-water"
"ជាមួយគ្នា","above-written"
"ជាយក្រុង","abow"
"ជារៀងរហូត","abox"
"ជាលទ្ធផល","Abp"
"ជាលិកា","ABPC"
"ជាសាធារណៈ","Abqaiq"
"ជាសំណាងល្អ","abr"
"ជាសះស្បើយ","abr."
"ជាអកុសល","Abra"
"ជិត","abracadabra"
"ជិះ","abrachia"
"ជិះស្គី","abrachias"
"ជីក","abradable"
"ជីដូន","abradant"
"ជីតា","abradants"
"ជីពចរ","abrade"
"ជីវវិទ្យា","abraded"
"ជីវសាស្រ្ត","abrader"
"ជីវិត","abraders"
"ជុំ","abrades"
"ជុំវិញ","abrading"
"ជូត","Abraham"
"ជូនដំណឹង","Abrahamic"
"ជូរចត់","Abrahamidae"
"ជួប","Abrahamite"
"ជួយ","Abrahamitic"
"ជួរ","Abraham-man"
"ជួរឈរ","Abrahams"
"ជួរភ្នំ","Abrahamsen"
"ជួល","Abrahan"
"ជួសជុល","abray"
"ជើង","abraid"
"ជើងចាស់","Abram"
"ជើងមេឃ","Abramis"
"ជើងឯក","Abramo"
"ជឿ","Abrams"
"ជឿជាក់","Abramson"
"ជៀសមិនរួច","Abran"
"ជៀសវាង","abranchial"
"ជោគជ័យ","abranchialism"
"ជ្រលងភ្នំ","abranchian"
"ជ្រុង","Abranchiata"
"ជ្រូក","abranchiate"
"ជ្រើសរើស","abranchious"
"ជ្រៀតជ្រែក","abrasax"
"ជ្រៅ","abrase"
"ជំងឺ","abrased"
"ជំងឺដាច់សរសៃឈាមខួរក្បាល","abraser"
"ជំងឺទឹកនោមផ្អែម","abrash"
"ជំងឺធ្លាក់ទឹកចិត្ត","abrasing"
"ជំនាញ","abrasiometer"
"ជំនាន់","abrasion"
"ជំនួយ","abrasions"
"ជំនួយការ","abrasion's"
"ជំនួស","abrasive"
"ជំនួសវិញ។","abrasively"
"ជំនឿ","abrasiveness"
"ជំនោរ","abrasivenesses"
"ជំពប់ដួល","abrasives"
"ជំពាក់","abrastol"
"ជំពូក","abraum"
"ជំរាបសួរ","abraxas"
"ជំរុញ","abrazite"
"ជំរឿន","abrazitic"
"ជំរំ","abrazo"
"ជំហរ","abrazos"
"ជំហាន","abreact"
"ជ័យជំនះ","abreacted"
"ឈប់","abreacting"
"ឈរ","abreaction"
"ឈានដល់","abreactions"
"ឈាម","abreacts"
"ឈីស","abreast"
"ឈឺ","abreed"
"ឈឺក្បាល","abrege"
"ឈឺចាប់","abreid"
"ឈុត","abrenounce"
"ឈុតខ្លីៗ","abrenunciate"
"ឈូងសមុទ្រ","abrenunciation"
"ឈើ","abreption"
"ឈើឆ្កាង","abret"
"ឈ្នះ","abreuvoir"
"ឈ្មួញ","abri"
"ឈ្មោះ","abrico"
"ឈ្លានពាន","abricock"
"ឈ្លើយ","abricot"
"ឈ្លោះគ្នា។","abridgable"
"ញញឹម","abridge"
"ញញួរ","abridgeable"
"ញត្តិ","abridged"
"ញឹកញាប់","abridgedly"
"ញើស","abridgement"
"ដក","abridgements"
"ដកចេញ","abridger"
"ដកដង្ហើម","abridgers"
"ដកដង្ហើមធំ","abridges"
"ដកស្រង់","abridging"
"ដង្ហើម","abridgment"
"ដង់ស៊ីតេ","abridgments"
"ដប","abrim"
"ដប់","abrin"
"ដប់ប្រាំ","abrine"
"ដប់ពីរ","abris"
"ដប់មួយ","abristle"
"ដល់​កំណត់","abroach"
"ដាក់","abroad"
"ដាក់កម្រិត","Abrocoma"
"ដាក់ធុង","abrocome"
"ដាក់ពង្រាយ","abrogable"
"ដាក់ស្នើ","abrogate"
"ដាច់ខាត","abrogated"
"ដាច់ដោយឡែក","abrogates"
"ដាច់ពីគ្នា។","abrogating"
"ដាន","abrogation"
"ដាវ","abrogations"
"ដាស់តឿន","abrogative"
"ដិត","abrogator"
"ដី","abrogators"
"ដីកា","Abroma"
"ដីឥដ្ឋ","Abroms"
"ដឹក","Abronia"
"ដឹកជញ្ជូន","abrood"
"ដឹង","abrook"
"ដឹងខ្លួន","abrosia"
"ដឹងគុណ","abrosias"
"ដុត","abrotanum"
"ដុល្លារ","abrotin"
"ដុំ","abrotine"
"ដុំសាច់","abrupt"
"ដូច","abruptedly"
"ដូចគ្នា","abrupter"
"ដូចគ្នានេះដែរ","abruptest"
"ដូចគ្នាបេះបិទ","abruptio"
"ដូចម្ដេច","abruption"
"ដូច្នេះ","abruptiones"
"ដួលរលំ","abruptly"
"ដើម","abruptness"
"ដើមឈើ","Abrus"
"ដើមឈើអុក","Abruzzi"
"ដើរ","ABS"
"ដេក","abs-"
"ដេកលក់","Absa"
"ដេញ","Absalom"
"ដេញតាម","absampere"
"ដេញថ្លៃ","Absaraka"
"ដែក","Absaroka"
"ដែន","Absarokee"
"ដែនកំណត់","absarokite"
"ដែល","ABSBH"
"ដែល​អាច​មើលឃើញ","abscam"
"ដែលគេហៅថា","abscess"
"ដែលមានស្រាប់","abscessed"
"ដែលមិនធ្លាប់មានពីមុនមក","abscesses"
"ដៃ","abscessing"
"ដៃគូ","abscession"
"ដៃអាវ","abscessroot"
"ដោយ","abscind"
"ដោយ​ផ្ទាល់","abscise"
"ដោយក្តីរីករាយ","abscised"
"ដោយគ្មាន","abscises"
"ដោយចេតនា","abscisin"
"ដោយជោគជ័យ","abscising"
"ដោយបើកចំហ","abscisins"
"ដោយប្រុងប្រយ័ត្ន","abscision"
"ដោយផ្នែក","absciss"
"ដោយមិនគិត","abscissa"
"ដោយសារតែ","abscissae"
"ដោយសុវត្ថិភាព","abscissas"
"ដោយសេរី","abscissa's"
"ដោយស្មោះត្រង់","abscisse"
"ដោយស្វ័យប្រវត្តិ","abscissin"
"ដោយហេតុនេះ","abscission"
"ដោះដូរ","abscissions"
"ដោះលែង","absconce"
"ដោះស្រាយ","abscond"
"ដំណាក់កាល","absconded"
"ដំណាំ","abscondedly"
"ដំណឹងល្អ","abscondence"
"ដំណើរកម្សាន្ត","absconder"
"ដំណើរការ","absconders"
"ដំណើរកំសាន្ត","absconding"
"ដំណើរផ្សងព្រេង","absconds"
"ដំណើរស្វែងរក","absconsa"
"ដំណោះស្រាយ","abscoulomb"
"ដំបង","abscound"
"ដំបូង","Absecon"
"ដំបូន្មាន","absee"
"ដំបូល","absey"
"ដំរី","abseil"
"ដំឡូង","abseiled"
"ដំឡើង","abseiling"
"ដ៏គួរឱ្យភ័យខ្លាច","abseils"
"ដ៏ទេវភាព","absence"
"ដ៏ធំ","absences"
"ដ៏ធំសម្បើម","absence's"
"ដ៏មានតម្លៃ","absent"
"ដ៏អស្ចារ្យ","absentation"
"ដ៏អាក្រក់","absented"
"ឋិតថេរ","absentee"
"ឌីជីថល","absenteeism"
"ឌីណា","absentees"
"ណាមួយ។","absentee's"
"ណាស់","absenteeship"
"ណែនាំ","absenter"
"តក្ក","absenters"
"តក់ស្លុត","absentia"
"តង់","absenting"
"តន្ត្រី","absently"
"តន្ត្រីករ","absentment"
"តម្រង","absentminded"
"តម្រឹម","absent-minded"
"តម្រុយ","absentmindedly"
"តម្រូវការ","absent-mindedly"
"តម្រួត","absentmindedness"
"តម្រៀប","absent-mindedness"
"តម្លៃ","absentmindednesses"
"តាម","absentness"
"តាមបច្ចេកទេស","absents"
"តាមព្យញ្ជនៈ","absfarad"
"តាមរយៈ","abshenry"
"តារា","Abshier"
"តារាង","Absi"
"តារាល្បី","absinth"
"តារាវិទូ","absinthe"
"តារាសម្ដែង","absinthes"
"តារាសម្តែង","absinthial"
"តិច","absinthian"
"តិចជាង","absinthiate"
"តិចតួច","absinthiated"
"តិចតួចបំផុត។","absinthiating"
"តឹង","absinthic"
"តឹងរ៉ឹង","absinthiin"
"តុ","absinthin"
"តុក","absinthine"
"តុក្កតា","absinthism"
"តុលាការ","absinthismic"
"តុល្យភាព","absinthium"
"តូច","absinthol"
"តូចចិត្ត","absinthole"
"តួនាទី","absinths"
"តួអក្សរ","Absyrtus"
"តេឡេស្កុប","absis"
"តែ","absist"
"តែង","absistos"
"តែងតាំង","absit"
"តែប៉ុណ្ណោះ","absmho"
"តែមួយគត់","absohm"
"តែម្នាក់ឯង","absoil"
"តោ","absolent"
"ត្នោត","Absolute"
"ត្រគាក","absolutely"
"ត្រង់","absoluteness"
"ត្រចៀក","absoluter"
"ត្រជាក់","absolutes"
"ត្រឡប់","absolutest"
"ត្រឡប់មកវិញ","absolution"
"ត្រា","absolutions"
"ត្រី","absolutism"
"ត្រីឆ្លាម","absolutist"
"ត្រីបាឡែន","absolutista"
"ត្រីមាស","absolutistic"
"ត្រីសាម៉ុង","absolutistically"
"ត្រឹមត្រូវ។","absolutists"
"ត្រូពិច","absolutive"
"ត្រូវការ","absolutization"
"ត្រូវតែ","absolutize"
"ត្រួតត្រា","absolutory"
"ត្រួតពិនិត្យ","absolvable"
"ត្អូញត្អែរ","absolvatory"
"តំណភ្ជាប់","absolve"
"តំណាង","absolved"
"តំបន់","absolvent"
"ថត","absolver"
"ថប់បារម្ភ","absolvers"
"ថយចុះ","absolves"
"ថវិកា","absolving"
"ថាតើ","absolvitor"
"ថាមពល","absolvitory"
"ថាមវន្ត","absonant"
"ថាស","absonous"
"ថើប","absorb"
"ថេប្លេត","absorbability"
"ថេរ","absorbable"
"ថែទាំ","absorbance"
"ថែរក្សា","absorbancy"
"ថោក","absorbant"
"ថៅកែ","absorbed"
"ថ្កោលទោស","absorbedly"
"ថ្គាម","absorbedness"
"ថ្ងាស","absorbefacient"
"ថ្ងៃ","absorbency"
"ថ្ងៃកំណើត","absorbencies"
"ថ្ងៃច័ន្ទ","absorbent"
"ថ្ងៃឈប់សម្រាក","absorbents"
"ថ្ងៃណាមួយ","absorber"
"ថ្ងៃត្រង់","absorbers"
"ថ្ងៃនេះ","absorbing"
"ថ្ងៃពុធ","absorbingly"
"ថ្ងៃព្រហស្បតិ៍","absorbition"
"ថ្ងៃលិច","absorbs"
"ថ្ងៃសុក្រ","absorbtion"
"ថ្ងៃសៅរ៍","absorpt"
"ថ្ងៃស្អែក","absorptance"
"ថ្ងៃអង្គារ","absorptiometer"
"ថ្ងៃអាទិត្យ","absorptiometric"
"ថ្នមៗ","absorption"
"ថ្នាក់","absorptional"
"ថ្នាក់រៀន","absorptions"
"ថ្នាំ","absorption's"
"ថ្នាំ​គ្រាប់","absorptive"
"ថ្នាំជក់","absorptively"
"ថ្ពាល់","absorptiveness"
"ថ្ម","absorptivity"
"ថ្មី","absquatulate"
"ថ្មីថ្មោង","absquatulation"
"ថ្មី។","abstain"
"ថ្មីៗ","abstained"
"ថ្មីៗនេះ","abstainer"
"ថ្លឹង","abstainers"
"ថ្លើម","abstaining"
"ថ្លែងទីបន្ទាល់","abstainment"
"ថ្លៃ","abstains"
"ថ្លៃឈ្នួល","abstemious"
"ថ្វីបើ","abstemiously"
"ទង្វើ","abstemiousness"
"ទង់ជាតិ","abstention"
"ទណ្ឌកម្ម","abstentionism"
"ទណ្ឌិត","abstentionist"
"ទទូច","abstentions"
"ទទួល","abstentious"
"ទទួល​ស្គាល់","absterge"
"ទទួលខុសត្រូវ","absterged"
"ទទួលបាន","abstergent"
"ទទួលភ្ញៀវ","absterges"
"ទទួលយក","absterging"
"ទទួលស្គាល់","absterse"
"ទទេ","abstersion"
"ទន្ទឹមនឹងនេះ","abstersive"
"ទន្លេ","abstersiveness"
"ទន្សាយ","abstertion"
"ទន់","abstinence"
"ទន់ភ្លន់","abstinences"
"ទប់ទល់","abstinency"
"ទម្ងន់","abstinent"
"ទម្រង់","abstinential"
"ទម្លាក់","abstinently"
"ទម្លាប់","abstort"
"ទល់នឹង","abstr"
"ទល់មុខ","abstract"
"ទសវត្សរ៍","abstractable"
"ទស្សនវិជ្ជា","abstracted"
"ទស្សនវិស័យ","abstractedly"
"ទស្សនា","abstractedness"
"ទស្សនាវដ្តី","abstracter"
"ទស្សនិកជន","abstracters"
"ទស្សនៈ","abstractest"
"ទស្សន៍ទាយ","abstracting"
"ទា","abstraction"
"ទាក់ទង","abstractional"
"ទាក់ទងនឹង","abstractionism"
"ទាក់ទាញ","abstractionist"
"ទាញ","abstractionists"
"ទាញយក","abstractions"
"ទាត់","abstraction's"
"ទាប","abstractitious"
"ទាបជាង","abstractive"
"ទាមទារ","abstractively"
"ទាយ","abstractiveness"
"ទារក","abstractly"
"ទាសករ","abstractness"
"ទាសភាព","abstractnesses"
"ទាហាន","abstractor"
"ទាំង","abstractors"
"ទាំងនេះ","abstractor's"
"ទាំងនោះ","abstracts"
"ទាំងពីរ","abstrahent"
"ទាំងមូល","abstrict"
"ទាំងស្រុង","abstricted"
"ទាំងអស់គ្នា","abstricting"
"ទាំងអស់។","abstriction"
"ទិញ","abstricts"
"ទិដ្ឋភាព","abstrude"
"ទិនានុប្បវត្តិ","abstruse"
"ទិន្នន័យ","abstrusely"
"ទិន្នផល","abstruseness"
"ទិសដៅ","abstrusenesses"
"ទីកន្លែង","abstruser"
"ទីក្រុង","abstrusest"
"ទីជម្រក","abstrusion"
"ទីជំរក","abstrusity"
"ទីតាំង","abstrusities"
"ទីធ្លា","absume"
"ទីធ្លាខាងក្រោយ","absumption"
"ទីបន្ទាល់","absurd"
"ទីបី","absurder"
"ទីបួន","absurdest"
"ទីប្រជុំជន","absurdism"
"ទីប្រាំ","absurdist"
"ទីប្រាំបី","absurdity"
"ទីប្រាំពីរ","absurdities"
"ទីប្រាំមួយ។","absurdity's"
"ទីប្រឹក្សា","absurdly"
"ទីផ្សារ","absurdness"
"ទីពីរ","absurds"
"ទីភ្នាក់ងារ","absurdum"
"ទីរហោស្ថាន","absvolt"
"ទីលាន","abt"
"ទឹកកក","abterminal"
"ទឹកក្រូច","abthain"
"ទឹកឃ្មុំ","abthainry"
"ទឹកជ្រលក់","abthainrie"
"ទឹកជំនន់","abthanage"
"ទឹកដី","abtruse"
"ទឹកដោះគោ","Abu"
"ទឹកផ្លែឈើ","abubble"
"ទឹកភ្នែក","Abu-Bekr"
"ទឹក។","Abucay"
"ទុកចិត្ត","abucco"
"ទុក្ខព្រួយ","abuilding"
"ទូ","Abukir"
"ទូក","abuleia"
"ទូទាំងពិភពលោក","Abulfeda"
"ទូទៅ","abulia"
"ទូរទស្សន៍","abulias"
"ទូរស័ព្ទ","abulic"
"ទូលំទូលាយ","abulyeit"
"ទួរគី","abulomania"
"ទៀង​ទា​ត","abumbral"
"ទៀងទាត់","abumbrellar"
"ទៀតហើយ","Abuna"
"ទៀន","abundance"
"ទេ","abundances"
"ទេពកោសល្យ","abundancy"
"ទេវកថា","abundant"
"ទេវតា","Abundantia"
"ទេសភាព","abundantly"
"ទេ។","abune"
"ទោល","abura"
"ទោះបីជា","aburabozu"
"ទោះយ៉ាងណាក៏ដោយ","aburagiri"
"ទៅ","aburban"
"ទៅមុខ","Abury"
"ទៅយក","aburst"
"ទៅវិញទៅមក","aburton"
"ទ្រទ្រង់","abusable"
"ទ្រព្យសកម្ម","abusage"
"ទ្រព្យសម្បត្តិ","abuse"
"ទ្រឹស្ដី","abused"
"ទ្រឹស្តី","abusedly"
"ទ្រុង","abusee"
"ទ្រូង","abuseful"
"ទ្វារ","abusefully"
"ទ្វីប","abusefulness"
"ទ្វេ","abuser"
"ទំនង","abusers"
"ទំនាក់ទំនង","abuses"
"ទំនាញ","abush"
"ទំនិញ","abusing"
"ទំនុកចិត្ត","abusion"
"ទំនួលខុសត្រូវ","abusious"
"ទំនើប","abusive"
"ទំនេរ","abusively"
"ទំនោរ","abusiveness"
"ទំពក់","abusivenesses"
"ទំពា","abut"
"ទំព័រ","Abuta"
"ទំហំ","Abutilon"
"ទះ","abutilons"
"ទះកំផ្លៀង","abutment"
"ទ័ព","abutments"
"ធនធាន","abuts"
"ធនាគារ","abuttal"
"ធនាគារិក","abuttals"
"ធម្មជាតិ","abutted"
"ធម្មតា","abutter"
"ធម្មតា។","abutters"
"ធម្មនុញ្ញ","abutter's"
"ធាតុ","abutting"
"ធាតុផ្សំ","abuzz"
"ធានា","abv"
"ធុង","abvolt"
"ធូរស្រាល","abvolts"
"ធូលី","abwab"
"ធ្ងន់","abwatt"
"ធ្ងន់ធ្ងរ","abwatts"
"ធ្នឹម","ac"
"ធ្នូ","ac-"
"ធ្នើ","a-c"
"ធ្មេ​ុ​ញ","AC/DC"
"ធ្យូងថ្ម","ACAA"
"ធ្លាក់","Acacallis"
"ធ្លាក់ទឹកចិត្ត","acacatechin"
"ធ្លាប់","acacatechol"
"ធ្លាប់ស្គាល់","Acacea"
"ធ្វើ","Acaceae"
"ធ្វើការ","acacetin"
"ធ្វើតាម","Acacia"
"ធ្វើបច្ចុប្បន្នភាព","Acacian"
"ធ្វើបាប","acacias"
"ធ្វើពុត","acaciin"
"ធ្វើម្តងទៀត","acacin"
"ធ្វើរោគវិនិច្ឆ័យ","acacine"
"ធ្វើអត្តឃាត","acad"
"ធ្វើឱ្យខូច","academe"
"ធ្វើឱ្យប្រសើរឡើង","academes"
"ធំ","Academy"
"ធំទូលាយ","academia"
"នគរ","academial"
"នយោបាយ","academian"
"នរក","academias"
"នរណា","Academic"
"នរណាម្នាក់","academical"
"នា​ពេល​បច្ចុប្បន្ន","academically"
"នាគ","academicals"
"នាង","academician"
"នាទី","academicians"
"នាពេលខាងមុខ","academicianship"
"នាយក","academicism"
"នាយក​ប្រតិបត្តិ","academics"
"នាយកដ្ឋាន","academie"
"នាយកប្រតិបត្តិ","academies"
"នាយកសាលា","academy's"
"នាវា","academise"
"នាវិក","academised"
"នាឡិកា","academising"
"នាំចូល","academism"
"នាំចេញ","academist"
"នាំមក","academite"
"នាំមុខ","academization"
"និង","academize"
"និង/ឬ","academized"
"និទាឃរដូវ","academizing"
"និទានកថា","Academus"
"និន្នាការ","Acadia"
"និមិត្តសញ្ញា","acadialite"
"និម្មិត","Acadian"
"និយមន័យ","Acadie"
"និយាយ","Acaena"
"និយោជក","acajou"
"និរន្តរភាព","acajous"
"និស្សិត​ថ្មី","acal"
"នីតិបញ្ញត្តិ","acalculia"
"នីតិវិធី","acale"
"នឹក","acaleph"
"នឹង","Acalepha"
"នុយក្លេអ៊ែរ","Acalephae"
"នេះ","acalephan"
"នេះបើយោងតាម","acalephe"
"នេះ។","acalephes"
"នៃ","acalephoid"
"នោះ។","acalephs"
"នៅ","Acalia"
"នៅ​ជិត","acalycal"
"នៅក្បែរ","acalycine"
"នៅក្រោម","acalycinous"
"នៅខាងក្នុង","acalyculate"
"នៅខាងក្រោយ","Acalypha"
"នៅខាងក្រៅ","Acalypterae"
"នៅជាប់គ្នា។","Acalyptrata"
"នៅជិត","Acalyptratae"
"នៅតែ","acalyptrate"
"នៅទីនេះ","Acamar"
"នៅទីនោះ","Acamas"
"នៅទីបំផុត","Acampo"
"នៅទូទាំង","acampsia"
"នៅបរទេស","acana"
"នៅពេល​ខាងមុខ","acanaceous"
"នៅពេលណាក៏បាន","acanonical"
"នៅរស់","acanth"
"នៅលីវ","acanth-"
"នៅលើ","acantha"
"នៅសល់","Acanthaceae"
"នៅឡើយ","acanthaceous"
"នំ","acanthad"
"នំខេក","Acantharia"
"នំបុ័ង","acanthi"
"បកប្រែ","Acanthia"
"បកស្រាយ","acanthial"
"បក្សី","acanthin"
"បង","acanthine"
"បងប្រុស","acanthion"
"បងប្អូន","acanthite"
"បងប្អូនជីដូនមួយ","acantho-"
"បងស្រី","acanthocarpous"
"បង្ក","Acanthocephala"
"បង្កក","acanthocephalan"
"បង្កើត","Acanthocephali"
"បង្ខំ","acanthocephalous"
"បង្គន់","Acanthocereus"
"បង្គោល","acanthocladous"
"បង្រួម","Acanthodea"
"បង្រួមអប្បបរមា","acanthodean"
"បង្រៀន","Acanthodei"
"បង្វិល","Acanthodes"
"បង្ហាញ","acanthodian"
"បង្ហាញភាពត្រឹមត្រូវ","Acanthodidae"
"បង្ហូរ","Acanthodii"
"បង្ហូរឈាម","Acanthodini"
"បង្អួច","acanthoid"
"បង្អែម","Acantholimon"
"បង់","acantholysis"
"បច្ចុប្បន្ន","acanthology"
"បច្ចេកទេស","acanthological"
"បច្ចេកវិទ្យា","acanthoma"
"បញ្ចប់","acanthomas"
"បញ្ចប់ការសិក្សា","Acanthomeridae"
"បញ្ចុះបញ្ចូល","acanthon"
"បញ្ចូល","Acanthopanax"
"បញ្ច្រាស","Acanthophis"
"បញ្ជរ","acanthophorous"
"បញ្ជា","acanthopod"
"បញ្ជាក់","acanthopodous"
"បញ្ជាក់​ពី","acanthopomatous"
"បញ្ជី","acanthopore"
"បញ្ជូន","acanthopteran"
"បញ្ឈរ","Acanthopteri"
"បញ្ញា","acanthopterygian"
"បញ្ហា","Acanthopterygii"
"បញ្ហាប្រឈម","acanthopterous"
"បដិវត្តន៍","acanthoses"
"បដិសេធ","acanthosis"
"បឋម","acanthotic"
"បឋមសិក្សា","acanthous"
"បណ្ឌិត្យសភា","Acanthuridae"
"បណ្ណសារ","Acanthurus"
"បណ្ណាល័យ","acanthus"
"បណ្តាញ","acanthuses"
"បណ្តឹង","acanthuthi"
"បណ្តឹងឧទ្ធរណ៍","acapnia"
"បណ្តោះអាសន្ន","acapnial"
"បត់","acapnias"
"បទ","acappella"
"បទ​បង្ហាញ","acapsular"
"បទដ្ឋាន","acapu"
"បទប្បញ្ញត្តិ","Acapulco"
"បទពិសោធន៍","acara"
"បទភ្លេង","Acarapis"
"បទល្មើស","acarari"
"បន្ត","acardia"
"បន្តិច","acardiac"
"បន្តិចម្ដងៗ","acardite"
"បន្ថយ","acari"
"បន្ថែម","acarian"
"បន្ថែមទៀត","acariasis"
"បន្ទប់","acariatre"
"បន្ទប់ក្រោមដី","acaricidal"
"បន្ទប់គេង","acaricide"
"បន្ទប់ទឹក","acarid"
"បន្ទប់សវនាការ","Acarida"
"បន្ទាត់","acaridae"
"បន្ទាប់","acaridan"
"បន្ទាប់ពី","acaridans"
"បន្ទាប់មក","Acaridea"
"បន្ទុក","acaridean"
"បន្ទុះ","acaridomatia"
"បន្ទះ","acaridomatium"
"បន្ទះសៀគ្វី","acarids"
"បន្លាច","acariform"
"បន្លិច","Acarina"
"បន្លែ","acarine"
"បន្លំ","acarines"
"បបូរមាត់","acarinosis"
"បម្រុង","Acarnan"
"បម្រើ","acarocecidia"
"បម្លែង","acarocecidium"
"បរទេស","acarodermatitis"
"បរបាញ់","acaroid"
"បរាជ័យ","acarol"
"បរិច្ចាគ","acarology"
"បរិបទ","acarologist"
"បរិភោគ","acarophilous"
"បរិមាណ","acarophobia"
"បរិយាកាស","acarotoxic"
"បរិវេណ","acarpellous"
"បរិវេណសាលា","acarpelous"
"បរិសុទ្ធ","acarpous"
"បរិស្ថាន","Acarus"
"បល្ល័ង្ក","ACAS"
"ប៉ម","acast"
"ប៉ា","Acastus"
"ប៉ាតង់","acatalectic"
"ប៉ាន់ស្មាន","acatalepsy"
"ប៉ារ៉ាម៉ែត្រ","acatalepsia"
"ប៉ាឡេស្ទីន","acataleptic"
"ប៉ុន្តែ","acatallactic"
"ប៉ុប","acatamathesia"
