"Greek","English"
"τσέλο","achromatization"
"τσέπη","achromatize"
"τσέρι","achromatized"
"τσικό","achromatizing"
"τσίμα","achromatocyte"
"τσίπα","achromatolysis"
"τσιπς","achromatope"
"τσίτα","achromatophil"
"τσίτι","achromatophile"
"τσόλι","achromatophilia"
"τσόχα","achromatophilic"
"τύπος","achromatopia"
"τύπτω","achromatopsy"
"τύρβη","achromatopsia"
"τυρός","achromatosis"
"τύρφη","achromatous"
"τύφλα","achromats"
"τύφος","achromaturia"
"τυχόν","achromia"
"ύαινα","achromic"
"ύαλος","Achromycin"
"υγειά","Achromobacter"
"υγεία","Achromobacterieae"
"υγιής","achromoderma"
"υγρός","achromophilous"
"υδρία","achromotrichia"
"υετός","achromous"
"υλακή","achronical"
"υλικό","achronychous"
"ύμνος","achronism"
"υπάγω","achroo-"
"υπέχω","achroodextrin"
"ύπνος","achroodextrinase"
"υπόψη","achroous"
"ύπτια","achropsia"
"υφάδι","Achsah"
"ύφαλα","achtehalber"
"ύφεση","achtel"
"ύψωμα","achtelthaler"
"υψώνω","achter"
"ύψωση","achterveld"
"φαγάς","Achuas"
"φαιός","achuete"
"φακός","acy"
"φανός","acyanoblepsia"
"φάουλ","acyanopsia"
"φαραώ","acichlorid"
"φάρμα","acichloride"
"φάρος","acyclic"
"φάρσα","acyclically"
"φαρσί","acicula"
"φάσμα","aciculae"
"φασόν","acicular"
"φάτνη","acicularity"
"φάτσα","acicularly"
"φέγγω","aciculas"
"φειδώ","aciculate"
"φελάω","aciculated"
"φέρων","aciculum"
"φετίχ","aciculums"
"φέτος","acid"
"φεύγω","acidaemia"
"φηγός","Acidalium"
"φθάνω","Acidanthera"
"φθίνω","Acidaspis"
"φθίση","acid-binding"
"φθονώ","acidemia"
"φθορά","acidemias"
"φιάλη","acider"
"φιδές","acid-fast"
"φίκος","acid-fastness"
"φιλάω","acid-forming"
"φιλές","acidhead"
"φιλία","acid-head"
"φίλος","acidheads"
"φίνις","acidy"
"φίνος","acidic"
"φιόρδ","acidiferous"
"φίρμα","acidify"
"φίσκα","acidifiable"
"φλέβα","acidifiant"
"φλερτ","acidific"
"φλόγα","acidification"
"φλόκι","acidified"
"φλώρι","acidifier"
"φοβία","acidifiers"
"φόβος","acidifies"
"φόδρα","acidifying"
"φόνος","acidyl"
"φόντο","acidimeter"
"φοράω","acidimetry"
"φορβή","acidimetric"
"φόρμα","acidimetrical"
"φόρος","acidimetrically"
"φόρτε","acidite"
"φόρτι","acidity"
"φούλι","acidities"
"φούμο","acidize"
"φουρό","acidized"
"φραγή","acidizing"
"φράζω","acidly"
"φράκο","acidness"
"φράξο","acidnesses"
"φράπα","acidogenic"
"φραπέ","acidoid"
"φράση","acidolysis"
"φρέαρ","acidology"
"φρέζα","acidometer"
"φρένο","acidometry"
"φρίζα","acidophil"
"φρίκη","acidophile"
"φρονώ","acidophilic"
"φρύδι","acidophilous"
"φταίω","acidophilus"
"φτάνω","acidoproteolytic"
"φτέρη","acidoses"
"φτερό","acidosis"
"φτύνω","acidosteophyte"
"φυγάς","acidotic"
"φύκος","acidproof"
"φύλλο","acids"
"φυσάω","acid-treat"
"φύσει","acidulant"
"φύτρα","acidulate"
"φύτρο","acidulated"
"φώκια","acidulates"
"φωλιά","acidulating"
"φωτιά","acidulation"
"χαβάς","acidulent"
"χάβρα","acidulous"
"χαζός","acidulously"
"χάιδι","acidulousness"
"χαίνω","aciduria"
"χαΐρι","acidurias"
"χαίρω","aciduric"
"χαίτη","Acie"
"χαλές","acier"
"χαμάμ","acierage"
"χαμός","Acieral"
"χάνος","acierate"
"χάριν","acierated"
"χάρμα","acierates"
"χάρος","acierating"
"χάρτα","acieration"
"χαρτί","acies"
"χασές","acyesis"
"χασίς","acyetic"
"χάσκω","aciform"
"χάσμα","acyl"
"χάφτω","acylal"
"χάχας","acylamido"
"χαψιά","acylamidobenzene"
"χείλι","acylamino"
"χεριά","acylase"
"χήρος","acylate"
"χιμάω","acylated"
"χιόνι","acylates"
"χίπης","acylating"
"χλεύη","acylation"
"χλιδή","aciliate"
"χνάρι","aciliated"
"χνότο","Acilius"
"χοάνη","acylogen"
"χόκεϊ","acyloin"
"χόμπι","acyloins"
"χορδή","acyloxy"
"χόριο","acyloxymethane"
"χορός","acyls"
"χόρτο","Acima"
"χράμι","acinaceous"
"χρεία","acinaces"
"χρέος","acinacifoliate"
"χρήζω","acinacifolious"
"χρήμα","acinaciform"
"χρήση","acinacious"
"χρίζω","acinacity"
"χροιά","acinar"
"χρυσή","acinary"
"χρώμα","acinarious"
"χρώση","Acineta"
"χτένα","Acinetae"
"χτένι","acinetan"
"χτίζω","Acinetaria"
"χύδην","acinetarian"
"χυλός","acinetic"
"χυμός","acinetiform"
"χύτης","Acinetina"
"χυτός","acinetinan"
"χύτρα","acing"
"χωλός","acini"
"χώρια","acinic"
"χωριό","aciniform"
"χωρίο","acinose"
"χωρίς","acinotubular"
"χώρος","acinous"
"χωσιά","acinuni"
"ψάλλω","acinus"
"ψαράς","acious"
"ψαριά","Acipenser"
"ψαρός","Acipenseres"
"ψαύση","acipenserid"
"ψάχνω","Acipenseridae"
"ψείρα","acipenserine"
"ψήγμα","acipenseroid"
"ψηλός","Acipenseroidei"
"ψητός","acyrology"
"ψηφίο","acyrological"
"ψήφος","Acis"
"ψιλός","acystia"
"ψιχίο","acitate"
"ψόγος","acity"
"ψόφια","aciurgy"
"ψόφος","ACK"
"ψύχος","ack-ack"
"ψύχρα","ackee"
"ψωμάς","ackees"
"ψώνιο","ackey"
"ωάριο","ackeys"
"ωδείο","Acker"
"ωδική","Ackerley"
"ώθηση","Ackerly"
"ωλένη","Ackerman"
"ωμέγα","Ackermanville"
"ωραία","Ackley"
"ώσπου","Ackler"
"ωφελώ","ackman"
"ωχριώ","ackmen"
"ωχρός","acknew"
"αβαείο","acknow"
"άβαθος","acknowing"
"άβακας","acknowledge"
"αβανιά","acknowledgeable"
"αβάντα","acknowledged"
"αβάντι","acknowledgedly"
"αβαρής","acknowledgement"
"αβαρία","acknowledgements"
"άβατος","acknowledger"
"άβαφος","acknowledgers"
"αβέρτα","acknowledges"
"άβολος","acknowledging"
"αγαθός","acknowledgment"
"άγαλμα","acknowledgments"
"αγαμία","acknowledgment's"
"άγαμος","acknown"
"αγάντα","ack-pirate"
"αγαπάω","ackton"
"αγγείο","Ackworth"
"αγγίζω","ACL"
"αγενής","aclastic"
"αγέρας","acle"
"αγιάζι","acleidian"
"αγιάζω","acleistocardia"
"αγκαζέ","acleistous"
"αγκάθι","Aclemon"
"αγκαλά","aclydes"
"αγκάλη","aclidian"
"αγκίδα","aclinal"
"αγκύλη","aclinic"
"άγκυρα","aclys"
"άγνοια","a-clock"
"άγονος","acloud"
"αγρεύω","ACLS"
"αγρίμι","ACLU"
"άγριος","ACM"
"αγχόνη","Acmaea"
"αγχώνω","Acmaeidae"
"αγωγός","acmaesthesia"
"αγώνας","acmatic"
"αγωνία","acme"
"αγωνιώ","acmes"
"άδειος","acmesthesia"
"αδελφή","acmic"
"αδένας","Acmispon"
"αδέξια","acmite"
"αδερφή","Acmon"
"αδέρφι","acne"
"άδετος","acned"
"άδηλος","acneform"
"αδικία","acneiform"
"άδικος","acnemia"
"άδολος","acnes"
"άδοξος","Acnida"
"αδρανώ","acnodal"
"άδωρος","acnode"
"αέναος","acnodes"
"αεργία","ACO"
"άεργος","acoasm"
"αερίζω","acoasma"
"αέριος","a-coast"
"αέτωμα","Acocanthera"
"αζαλέα","acocantherin"
"άζυμος","acock"
"αηδόνα","acockbill"
"αηδόνι","a-cock-bill"
"άθελος","a-cock-horse"
"αθέρας","acocotl"
"άθλημα","Acoela"
"άθληση","Acoelomata"
"άθλιος","acoelomate"
"αθρόος","acoelomatous"
"αθυμία","Acoelomi"
"άθυρμα","acoelomous"
"αθωώνω","acoelous"
"αθώωση","Acoemetae"
"αιγαίο","Acoemeti"
"αιγίδα","Acoemetic"
"αιδοίο","acoenaesthesia"
"αιθάλη","ACOF"
"αιθρία","acoin"
"αίθριο","acoine"
"αίολος","Acol"
"αίρεση","Acolapissa"
"αίσιος","acold"
"αίσχος","Acolhua"
"αίτημα","Acolhuan"
"αίτηση","acolyctine"
"αίτιος","acolyte"
"αίφνης","acolytes"
"αιώνας","acolyth"
"αιώνια","acolythate"
"ακακία","acolytus"
"άκακος","acology"
"άκανθα","acologic"
"άκατος","acolous"
"ακεφιά","acoluthic"
"άκεφος","Acoma"
"ακμάζω","acomia"
"ακμαία","acomous"
"άκοπος","a-compass"
"ακραία","aconative"
"ακρίδα","Aconcagua"
"ακτίνα","acondylose"
"άκυρος","acondylous"
"αλαλιά","acone"
"άλαλος","aconelline"
"αλάνης","aconic"
"αλάργα","aconin"
"αλείβω","aconine"
"αλεξία","aconital"
"αλεπού","aconite"
"άλεσμα","aconites"
"αλέτρι","aconitia"
"αλεύρι","aconitic"
"άλευρο","aconitin"
"αληθής","aconitine"
"αλήτης","Aconitum"
"αλιεία","aconitums"
"αλιεύω","acontia"
"άλικος","Acontias"
"αλκοόλ","acontium"
"αλλαγή","Acontius"
"αλλάζω","aconuresis"
"αλλιώς","acool"
"άλλοθι","acop"
"άλλοτε","acopic"
"αλμύρα","acopyrin"
"άλογος","acopyrine"
"αλοιφή","acopon"
"αλτάνα","acor"
"άλτρια","acorea"
"άλυπος","acoria"
"άλυτος","acorn"
"αλφάδι","acorned"
"άλφιτο","acorns"
"αμαθής","acorn's"
"άμαθος","acorn-shell"
"αμανές","Acorus"
"αμαξάς","acosmic"
"άμαχος","acosmism"
"αμβλύς","acosmist"
"αμείβω","acosmistic"
"αμελής","acost"
"άμεσος","Acosta"
"αμέσως","acotyledon"
"αμιγής","acotyledonous"
"άμιλλα","acouasm"
"αμισθί","acouchi"
"αμοιβή","acouchy"
"αμολάω","acoumeter"
"αμπάρα","acoumetry"
"αμπάρι","acounter"
"αμπέλι","acouometer"
"αμπολή","acouophonia"
"άμποτε","acoup"
"άμπωτη","acoupa"
"άμωμος","acoupe"
"αναβοώ","acousma"
"ανάγκη","acousmas"
"αναιρώ","acousmata"
"ανακλώ","acousmatic"
"ανακτώ","acoustic"
"αναλύω","acoustical"
"άναμμα","acoustically"
"ανανάς","acoustician"
"ανάξια","acoustico-"
"αναρτώ","acousticolateral"
"ανασπώ","Acousticon"
"άνασσα","acousticophobia"
"άνδηρο","acoustics"
"άνεμος","acoustoelectric"
"άνετος","ACP"
"ανεψιά","acpt"
"άνηβος","acpt."
"άνηθος","Acquah"
"άνθηση","acquaint"
"ανθίζω","acquaintance"
"άνθιση","acquaintances"
"άνισος","acquaintance's"
"ανίσως","acquaintanceship"
"ανιψιά","acquaintanceships"
"άνοδος","acquaintancy"
"ανοίγω","acquaintant"
"άνοιξη","acquainted"
"ανομία","acquaintedness"
"άνομος","acquainting"
"ανοσία","acquaints"
"ανόσια","Acquaviva"
"άνοσος","acquent"
"αντάμα","acquereur"
"αντάρα","acquest"
"αντένα","acquests"
"άντερο","acquiesce"
"αντέχω","acquiesced"
"αντηχώ","acquiescement"
"αντίδι","acquiescence"
"αντίκα","acquiescences"
"αντλία","acquiescency"
"αντοχή","acquiescent"
"άντρας","acquiescently"
"ανυμνώ","acquiescer"
"άνυσμα","acquiesces"
"άνωθεν","acquiescing"
"ανώφλι","acquiescingly"
"άξενος","acquiesence"
"αξίωμα","acquiet"
"αξιώνω","acquirability"
"αξίωση","acquirable"
"άξονας","acquire"
"αοιδός","acquired"
"άοκνος","acquirement"
"άοπλος","acquirements"
"άοσμος","acquirenda"
"απαθής","acquirer"
"απαιτώ","acquirers"
"απαλός","acquires"
"άπαντα","acquiring"
"απαξία","acquisible"
"απαξιώ","acquisita"
"απαρχή","acquisite"
"άπατος","acquisited"
"απαυδώ","acquisition"
"απάχης","acquisitional"
"άπαχος","acquisitions"
"απειθώ","acquisition's"
"απειλή","acquisitive"
"απειλώ","acquisitively"
"απεργώ","acquisitiveness"
"απευχή","acquisitor"
"απηνής","acquisitum"
"απιδιά","acquist"
"απιστώ","acquit"
"απλίκα","acquital"
"άπλωμα","acquitment"
"απλώνω","acquits"
"άπνοια","acquittal"
"αποικώ","acquittals"
"αποκεί","acquittance"
"αποκτώ","acquitted"
"απολύω","acquitter"
"απονιά","acquitting"
"άπονος","acquophonia"
"αποξέω","acr-"
"απορία","Acra"
"άπορος","Acrab"
"αποσπώ","acracy"
"αποτίω","Acraea"
"αραιός","acraein"
"αρακάς","Acraeinae"
"αράπης","acraldehyde"
"αραπιά","Acrania"
"αράχνη","acranial"
"αρβύλα","acraniate"
"άρβυλο","acrasy"
"αργάζω","acrasia"
"αρδεύω","Acrasiaceae"
"άρειος","Acrasiales"
"αριθμώ","acrasias"
"άρκτος","Acrasida"
"αρμάδα","Acrasieae"
"αρμάθα","acrasin"
"αρμέγω","acrasins"
"άρμενο","Acraspeda"
"αρμογή","acraspedote"
"αρμόζω","acratia"
"αρμύρα","acraturesis"
"άρνηση","acrawl"
"άροτρο","acraze"
"αρπαγή","Acre"
"αρπάγη","acreable"
"αρπάζω","acreage"
"άρτιος","acreages"
"άρτυμα","acreak"
"αρχείο","acream"
"αρχίδι","acred"
"αρχίζω","acre-dale"
"αρχινώ","Acredula"
"αρωγός","acre-foot"
"ασαφής","acre-inch"
"ασεβής","acreman"
"ασελγώ","acremen"
"ασημής","Acres"
"άσημος","acre's"
"ασηψία","acrestaff"
"ασθενώ","a-cry"
"ασίκης","acrid"
"ασιτία","acridan"
"άσιτος","acridane"
"ασκέρι","acrider"
"άσκηση","acridest"
"ασορτί","acridian"
"άσοφος","acridic"
"ασπίδα","acridid"
"άσπρος","Acrididae"
"αστάρι","Acridiidae"
"αστεία","acridyl"
"αστέρι","acridin"
"αστοχώ","acridine"
"ασυλία","acridines"
"ασωτία","acridinic"
"άσωτος","acridinium"
"ατακτώ","acridity"
"αταξία","acridities"
"άταφος","Acridium"
"ατελής","Acrydium"
"ατελιέ","acridly"
"ατενής","acridness"
"ατιμία","acridnesses"
"άτιμος","acridone"
"ατλάζι","acridonium"
"άτοκος","acridophagus"
"ατονία","acriflavin"
"άτονος","acriflavine"
"ατοπία","acryl"
"άτοπος","acrylaldehyde"
"ατόφια","Acrilan"
"ατροφώ","acrylate"
"ατσάλι","acrylates"
"ατσίδα","acrylic"
"αττική","acrylics"
"άτυπος","acrylyl"
"ατυχία","acrylonitrile"
"άτυχος","acrimony"
"αυλαία","acrimonies"
"αύλακα","acrimonious"
"αυλάκι","acrimoniously"
"αυξάνω","acrimoniousness"
"αύξηση","acrindolin"
"αϋπνία","acrindoline"
"άυπνος","acrinyl"
"αυτόθι","acrisy"
"αφαιρώ","acrisia"
"αφαλός","Acrisius"
"αφανής","Acrita"
"αφασία","acritan"
"άφατος","acrite"
"αφελής","acrity"
"αφενός","acritical"
"αφέτης","acritochromacy"
"αφήλιο","acritol"
"αφθονώ","acritude"
"αφιόνι","ACRNEMA"
"αφοβία","acro-"
"άφοβος","Acroa"
"αφορμή","acroaesthesia"
"αφότου","acroama"
"αφρίζω","acroamata"
"αφωνία","acroamatic"
"άφωνος","acroamatical"
"αχαμνά","acroamatics"
"αχανής","acroanesthesia"
"άχαρος","acroarthritis"
"αχάτης","acroasis"
"αχινός","acroasphyxia"
"αχλάδι","acroataxia"
"αχνάρι","acroatic"
"αχνίζω","acrobacy"
"αχούρι","acrobacies"
"αχρεία","acrobat"
"αχτίδα","Acrobates"
"αχτίνα","acrobatholithic"
"αψέντι","acrobatic"
"άψητος","acrobatical"
"άψογος","acrobatically"
"άψυχος","acrobatics"
"βαγένι","acrobatism"
"βαγόνι","acrobats"
"βαδίζω","acrobat's"
"βάδιση","acrobystitis"
"βάθεμα","acroblast"
"βαθμός","acrobryous"
"βακέτα","Acrocarpi"
"βάκτρο","acrocarpous"
"βαλτός","acrocentric"
"βάλτος","acrocephaly"
"βαμπίρ","acrocephalia"
"βαπόρι","acrocephalic"
"βάρδια","acrocephalous"
"βάρδος","Acrocera"
"βαρεία","Acroceratidae"
"βαρέλι","Acroceraunian"
"βαρίδι","Acroceridae"
"βαρόνη","Acrochordidae"
"βαρύνω","Acrochordinae"
"βάσανο","acrochordon"
"βασίζω","acrocyanosis"
"βαστάω","acrocyst"
"βαφέας","acrock"
"βαφείο","Acroclinium"
"βαφιάς","Acrocomia"
"βάψιμο","acroconidium"
"βγαίνω","acrocontracture"
"βδέλλα","acrocoracoid"
"βέβαια","Acrocorinth"
"βελάδα","acrodactyla"
"βελάζω","acrodactylum"
"βελόνα","acrodermatitis"
"βελόνι","acrodynia"
"βένθος","acrodont"
"βερεσέ","acrodontism"
"βήξιμο","acrodonts"
"βίαιος","acrodrome"
"βιβλίο","acrodromous"
"βίβλος","Acrodus"
"βιδέλο","acroesthesia"
"βιδώνω","acrogamy"
"βιζαβί","acrogamous"
"βίζιτα","acrogen"
"βίντεο","acrogenic"
"βίντσι","acrogenous"
"βιοψία","acrogenously"
"βιράρω","acrogens"
"βιτσιά","Acrogynae"
"βίτσιο","acrogynous"
"βλάκας","acrography"
"βλάμης","acrolein"
"βλάπτω","acroleins"
"βλαχιά","acrolith"
"βλάχος","acrolithan"
"βλέμμα","acrolithic"
"βλέννα","acroliths"
"βλογάω","acrology"
"βόγκος","acrologic"
"βόειος","acrologically"
"βοερός","acrologies"
"βοηθός","acrologism"
"βόθρος","acrologue"
"βολβός","acromania"
"βόλεμα","acromastitis"
"βολεύω","acromegaly"
"βολίδα","acromegalia"
"βόμβος","acromegalic"
"βόρεια","acromegalies"
"βοριάς","acromelalgia"
"βορικό","acrometer"
"βορράς","acromia"
"βοσκός","acromial"
"βοτάνι","acromicria"
"βότανο","acromimia"
"βότρυς","acromioclavicular"
"βουβός","acromiocoracoid"
"βούδας","acromiodeltoid"
"βουητό","Acromyodi"
"βουίζω","acromyodian"
"βούρλο","acromyodic"
"βουτάω","acromyodous"
"βουτιά","acromiohyoid"
"βραδιά","acromiohumeral"
"βραδύς","acromion"
"βράχος","acromioscapular"
"βραχύς","acromiosternal"
"βρέγμα","acromiothoracic"
"βρέφος","acromyotonia"
"βρισιά","acromyotonus"
"βρίσκω","acromonogrammatic"
"βρομάω","acromphalus"
"βρομιά","acron"
"βρόμιο","acronal"
"βροντή","acronarcotic"
"βρούβα","acroneurosis"
"βρόχος","acronic"
"βυθίζω","acronyc"
"βύθιση","acronical"
"γαβάθα","acronycal"
"γαζέλα","acronically"
"γαζώνω","acronycally"
"γαλέος","acronych"
"γαλέρα","acronichal"
"γαλέτα","acronychal"
"γαλήνη","acronichally"
"γαλόνι","acronychally"
"γαμήσι","acronychous"
"γαμιάς","Acronycta"
"γαμψός","acronyctous"
"γαμώτο","acronym"
"γάνωμα","acronymic"
"γανώνω","acronymically"
"γαρίδα","acronymize"
"γάστρα","acronymized"
"γαύρος","acronymizing"
"γδέρνω","acronymous"
"γδυτός","acronyms"
"γειώνω","acronym's"
"γείωση","acronyx"
"γελάδα","acronomy"
"γελάδι","acrook"
"γελέκο","acroparalysis"
"γελοία","acroparesthesia"
"γεμίζω","acropathy"
"γέμιση","acropathology"
"γένεση","acropetal"
"γενετή","acropetally"
"γεννάω","acrophobia"
"γεράκι","acrophonetic"
"γεράνι","acrophony"
"γερτός","acrophonic"
"γέφυρα","acrophonically"
"γεφύρι","acrophonies"
"γεώδης","acropodia"
"γήινος","acropodium"
"γήπεδο","acropoleis"
"γητειά","Acropolis"
"γητεύω","acropolises"
"γιαγιά","acropolitan"
"γιαίνω","Acropora"
"γιακάς","acropore"
"γιαλός","acrorhagus"
"γιάπης","acrorrheuma"
"γιάρδα","acrosarc"
"γιάφκα","acrosarca"
"γιαχνί","acrosarcum"
"γιλέκο","acroscleriasis"
"γινάτι","acroscleroderma"
"γιόγκα","acroscopic"
"γιόκας","acrose"
"γιορτή","acrosome"
"γιούχα","acrosomes"
"γκαβός","acrosphacelus"
"γκαζόν","acrospire"
"γκάλοπ","acrospired"
"γκαράζ","acrospiring"
"γκέισα","acrospore"
"γκινέα","acrosporous"
"γκίνια","across"
"γκιόσα","across-the-board"
"γκλάβα","acrostic"
"γκοφρέ","acrostical"
"γκρέκα","acrostically"
"γκρενά","acrostichal"
"γκρουμ","Acrosticheae"
"γκρουπ","acrostichic"
"γλαρός","acrostichoid"
"γλάρος","Acrostichum"
"γλαύκα","acrosticism"
"γλείφω","acrostics"
"γλέντι","acrostolia"
"γλίτσα","acrostolion"
"γλυκός","acrostolium"
"γλυφός","acrotarsial"
"γλώσσα","acrotarsium"
"γνάθος","acroteleutic"
"γνήσια","acroter"
"γοερός","acroteral"
"γόησσα","acroteria"
"γόητρο","acroterial"
"γολέτα","acroteric"
"γομάρι","acroterion"
"γόμφος","acroterium"
"γομώνω","acroterteria"
"γόμωση","Acrothoracica"
"γόνατο","acrotic"
"γονέας","acrotism"
"γονιός","acrotisms"
"γοργός","acrotomous"
"γουλιά","Acrotreta"
"γούρνα","Acrotretidae"
"γούστο","acrotrophic"
"γράμμα","acrotrophoneurosis"
"γραμμή","Acrux"
"γράφων","ACRV"
"γρέγος","ACS"
"γρίβας","ACSE"
"γρίλια","ACSNET"
"γρίνια","ACSU"
"γρίπος","ACT"
"γρίφος","Acta"
"γροθιά","actability"
"γρύλος","actable"
"γρύπας","Actaea"
"γρυπός","Actaeaceae"
"γυλιός","Actaeon"
"γύμνια","Actaeonidae"
"γυμνός","acted"
"γύναιο","actg"
"γυρεύω","actg."
"γυρίζω","ACTH"
"γυρνάω","Actiad"
"γυφτιά","Actian"
"γύφτος","actify"
"δαμάζω","actification"
"δαμάλι","actifier"
"δανδής","actin"
"δάνειο","actin-"
"δανική","actinal"
"δαπάνη","actinally"
"δαπανώ","actinautography"
"δάπεδο","actinautographic"
"δαρμός","actine"
"δασεία","actinenchyma"
"δασμός","acting"
"δαυλός","acting-out"
"δαύτος","actings"
"δείγμα","Actinia"
"δειλία","actiniae"
"δειλός","actinian"
"δεινός","actinians"
"δείπνο","Actiniaria"
"δειπνώ","actiniarian"
"δείχνω","actinias"
"δεκάδα","actinic"
"δεκάξι","actinical"
"δεκάρα","actinically"
"δεκάρι","actinide"
"δέκατα","actinides"
"δεκάτη","Actinidia"
"δέκτης","Actinidiaceae"
"δεκτός","actiniferous"
"δέλεαρ","actiniform"
"δελτίο","actinine"
"δεμάτι","actiniochrome"
"δένδρο","actiniohematin"
"δεντρί","Actiniomorpha"
"δέντρο","actinism"
"δεξιός","actinisms"
"δέομαι","Actinistia"
"δέσιμο","actinium"
"δεσμός","actiniums"
"δηλαδή","actino-"
"δηλώνω","actinobaccilli"
"δήλωση","actinobacilli"
"δημεύω","actinobacillosis"
"δήμιος","actinobacillotic"
"διαθλώ","Actinobacillus"
"διαιρώ","actinoblast"
"δίαιτα","actinobranch"
"διάκος","actinobranchia"
"διαλύω","actinocarp"
"διάνος","actinocarpic"
"διανύω","actinocarpous"
"διαρκώ","actinochemical"
"διασπώ","actinochemistry"
"διαχέω","actinocrinid"
"διβάρι","Actinocrinidae"
"διδαχή","actinocrinite"
"διετής","Actinocrinus"
"διετία","actinocutitis"
"δίζυγο","actinodermatitis"
"δικάζω","actinodielectric"
"δίκαια","actinodrome"
"δίκαιο","actinodromous"
"δίκοχο","actinoelectric"
"δίκτυο","actinoelectrically"
"δίμηνο","actinoelectricity"
"δίμιτο","actinogonidiate"
"διόδια","actinogram"
"δίοδος","actinograph"
"διοικώ","actinography"
"διόλου","actinographic"
"δίοπος","actinoid"
"διορία","Actinoida"
"διπλός","Actinoidea"
"δισάκι","actinoids"
"δισκίο","actinolite"
"δίσκος","actinolitic"
"διττός","actinology"
"δίφρος","actinologous"
"διφυής","actinologue"
"διχάζω","actinomere"
"διχάλα","actinomeric"
"διωδία","actinometer"
"δίωρος","actinometers"
"διώχνω","actinometry"
"δοθείς","actinometric"
"δοιάκι","actinometrical"
"δόκανο","actinometricy"
"δοκάρι","Actinomyces"
"δοκιμή","actinomycese"
"δοκούν","actinomycesous"
"δόκτωρ","actinomycestal"
"δόλιος","Actinomycetaceae"
"δόλωμα","actinomycetal"
"δολώνω","Actinomycetales"
"δόμηση","actinomycete"
"δόνηση","actinomycetous"
"δοξάζω","actinomycin"
"δοξάρι","actinomycoma"
"δόσιμο","actinomycosis"
"δοτική","actinomycosistic"
"δότρια","actinomycotic"
"δούκας","Actinomyxidia"
"δούλος","Actinomyxidiida"
"δούναι","actinomorphy"
"δοχείο","actinomorphic"
"δράκος","actinomorphous"
"δραχμή","actinon"
"δριμύς","Actinonema"
"δρόμος","actinoneuritis"
"δροσιά","actinons"
"δρόσος","actinophone"
"δρυμός","actinophonic"
"δυϊκός","actinophore"
"δύναμη","actinophorous"
"δυναμό","actinophryan"
"δυνατό","Actinophrys"
"δώδεκα","actinopod"
"δωρεάν","Actinopoda"
"δώρημα","actinopraxis"
"δωρίζω","actinopteran"
"εαυτός","Actinopteri"
"έβενος","actinopterygian"
"εβραία","Actinopterygii"
"εγγίζω","actinopterygious"
"εγγόνα","actinopterous"
"εγγονή","actinoscopy"
"εγγόνι","actinosoma"
"εγείρω","actinosome"
"έγερση","Actinosphaerium"
"εγκαλώ","actinost"
"έγκατα","actinostereoscopy"
"εγκοπή","actinostomal"
"έγκυος","actinostome"
"έγνοια","actinotherapeutic"
"έγχυση","actinotherapeutics"
"εδάφιο","actinotherapy"
"έδαφος","actinotoxemia"
"έδεσμα","actinotrichium"
"έδικτο","actinotrocha"
"έδρανο","actinouranium"
"εδρεύω","Actinozoa"
"εδώλιο","actinozoal"
"ειδεμή","actinozoan"
"είδηση","actinozoon"
"είδωλο","actins"
"εικάζω","actinula"
"εικόνα","actinulae"
"είκοσι","action"
"ειλεός","actionability"
"ειρήνη","actionable"
"ειρκτή","actionably"
"ειρμός","actional"
"εισάγω","actionary"
"εισδύω","actioner"
"εισέτι","actiones"
"εισρέω","actionist"
"εισροή","actionize"
"ειωθός","actionized"
"έκβαση","actionizing"
"εκβολή","actionless"
"εκδίδω","actions"
"εκδορά","action's"
"έκδοση","action-taking"
"εκδοχή","actious"
"έκδοχο","Actipylea"
"έκδυση","Actis"
"εκείθε","Actium"
"έκζεμα","activable"
"έκθεμα","activate"
"έκθεση","activated"
"εκθέτω","activates"
"εκλέγω","activating"
"εκλογή","activation"
"έκλυση","activations"
"εκπνέω","activator"
"εκπνοή","activators"
"εκποιώ","activator's"
"εκπονώ","active"
"έκρηξη","active-bodied"
"έκταση","actively"
"εκταφή","active-limbed"
"εκτελώ","active-minded"
"εκτιμώ","activeness"
"έκτιση","actives"
"έκτοτε","activin"
"εκφέρω","activism"
"εκφορά","activisms"
"εκφωνώ","activist"
"έκχυση","activistic"
"εκχωρώ","activists"
"έλασμα","activist's"
"ελατός","activital"
"έλατος","activity"
"έλαφος","activities"
"ελέγχω","activity's"
"έλευση","activize"
"έλικας","activized"
"ελπίδα","activizing"
"ελπίζω","actless"
"έλυτρο","actomyosin"
"ελώδης","Acton"
"εμαγιέ","Actor"
"εμβαδό","actory"
"εμβάζω","Actoridae"
"έμβιος","actorish"
"εμβολή","actor-manager"
"έμβολο","actor-proof"
"έμβρυο","actors"
"έμεσμα","actor's"
"εμετός","actorship"
"εμίρης","actos"
"εμμένω","ACTPU"
"έμμηνα","actress"
"εμμονή","actresses"
"έμπαση","actressy"
"εμπνέω","actress's"
"εμπρός","ACTS"
"έμφαση","ACTU"
"εμφυσώ","actual"
"ενάγων","actualisation"
"έναντι","actualise"
"έναρξη","actualised"
"ενασκώ","actualising"
"ένατος","actualism"
"ενδεής","actualist"
"ένδεια","actualistic"
"ένδεκα","actuality"
"ενδημώ","actualities"
"ενδίδω","actualization"
"ένδυμα","actualizations"
"ένδυση","actualize"
"ενέδρα","actualized"
"ένεκεν","actualizes"
"ενεργώ","actualizing"
