"Bosnian","English"
"koncentracija","abstemiously"
"koncentrat","abstemiousness"
"koncepcija","abstention"
"koncept","abstentionism"
"koncert","abstentionist"
"konferencija","abstentions"
"konfuzija","abstentious"
"kongres","absterge"
"kongresmen","absterged"
"kongresni","abstergent"
"konj","absterges"
"konkretno","absterging"
"konkurencija","absterse"
"konkurentan","abstersion"
"konopac","abstersive"
"konsenzus","abstersiveness"
"konstantan","abstertion"
"konstituisati","abstinence"
"konstruisati","abstinences"
"konsultant","abstinency"
"kontakt","abstinent"
"kontejner","abstinential"
"kontekstu","abstinently"
"kontinent","abstort"
"kontinuirano","abstr"
"kontrast","abstract"
"kontrolu","abstractable"
"kontroverza","abstracted"
"kontroverzno","abstractedly"
"konvencija","abstractedness"
"konvencionalno","abstracter"
"konverzija","abstracters"
"konzervacija","abstractest"
"konzervativan","abstracting"
"konzumirati","abstraction"
"koordinator","abstractional"
"kopija","abstractionism"
"kopile","abstractionist"
"korak","abstractionists"
"korejski","abstractions"
"korekcija","abstraction's"
"korelacija","abstractitious"
"koridor","abstractive"
"korisnik","abstractively"
"korisno","abstractiveness"
"korisnost","abstractly"
"korist","abstractness"
"korišteno","abstractnesses"
"koristiti","abstractor"
"kornjača","abstractors"
"korov","abstractor's"
"korpa","abstracts"
"korporacija","abstrahent"
"korporativni","abstrict"
"korpusa","abstricted"
"korumpiran","abstricting"
"korupcija","abstriction"
"kosa","abstricts"
"košarka","abstrude"
"kost","abstruse"
"kostim","abstrusely"
"košulja","abstruseness"
"kovertu","abstrusenesses"
"koza","abstruser"
"koža","abstrusest"
"kože","abstrusion"
"krađa","abstrusity"
"kraj","abstrusities"
"krajnji","absume"
"kralj","absumption"
"kraljevski","absurd"
"kraljevstvo","absurder"
"kraljica","absurdest"
"krasti","absurdism"
"kratko","absurdist"
"kratkoročno","absurdity"
"krava","absurdities"
"kravata","absurdity's"
"kreacija","absurdly"
"kreativan","absurdness"
"kreativnost","absurds"
"kreator","absurdum"
"kredibilitet","absvolt"
"kredit","abt"
"krema","abterminal"
"kretanje","abthain"
"krevet","abthainry"
"krilo","abthainrie"
"kriminal","abthanage"
"kriminalac","abtruse"
"kriška","Abu"
"kristal","abubble"
"kriterijuma","Abu-Bekr"
"kritičan","Abucay"
"kritičar","abucco"
"kritika","abuilding"
"kritikovati","Abukir"
"kriv","abuleia"
"krivica","Abulfeda"
"kriviti","abulia"
"krivulja","abulias"
"kriza","abulic"
"krompir","abulyeit"
"krov","abulomania"
"kroz","abumbral"
"kršćanstvo","abumbrellar"
"kršenje","Abuna"
"krst","abundance"
"krstarenje","abundances"
"krug","abundancy"
"kruna","abundant"
"krut","Abundantia"
"krv","abundantly"
"krvariti","abune"
"krvavo","abura"
"kuća","aburabozu"
"kucati","aburagiri"
"kučko","aburban"
"kuhinja","Abury"
"kuka","aburst"
"kukuruz","aburton"
"kulture","abusable"
"kulturnim","abusage"
"kupac","abuse"
"kupatilo","abused"
"kupiti","abusedly"
"kupovinu","abusee"
"kurs","abuseful"
"kutak","abusefully"
"kutija","abusefulness"
"kuvanje","abuser"
"kuvati","abusers"
"kvadrat","abuses"
"kvalifikovati","abush"
"kvaliteta","abusing"
"kvantna","abusion"
"kvartal","abusious"
"kvote","abusive"
"lab","abusively"
"labav","abusiveness"
"laboratorija","abusivenesses"
"lady","abut"
"lagano","Abuta"
"lakat","Abutilon"
"lako","abutilons"
"lakoća","abutment"
"lampa","abutments"
"lanac","abuts"
"lane","abuttal"
"lansirati","abuttals"
"lap","abutted"
"laptop","abutter"
"laser","abutters"
"latinski","abutter's"
"lav","abutting"
"lay","abuzz"
"laž","abv"
"lažljivac","abvolt"
"lažno","abvolts"
"led","abwab"
"legalno","abwatt"
"legenda","abwatts"
"legitiman","ac"
"lekar","ac-"
"lekcija","a-c"
"let","AC/DC"
"letjeti","ACAA"
"liberalan","Acacallis"
"lice","acacatechin"
"licenca","acacatechol"
"lični","Acacea"
"lično","Acaceae"
"ličnost","acacetin"
"lift","Acacia"
"ligi","Acacian"
"lijek","acacias"
"lijekove","acaciin"
"lijen","acacin"
"lijepo","acacine"
"lijevo","acad"
"like","academe"
"limit","academes"
"limun","Academy"
"linija","academia"
"lip","academial"
"list","academian"
"lista","academias"
"litica","Academic"
"live","academical"
"ljepota","academically"
"ljeto","academicals"
"ljubav","academician"
"ljubavlju","academicians"
"ljubavnik","academicianship"
"ljubaznost","academicism"
"ljubičasta","academics"
"ljubimac","academie"
"ljubomorna","academies"
"ljudi","academy's"
"ljut","academise"
"ljutnja","academised"
"lobanja","academising"
"lobby","academism"
"locirati","academist"
"lock","academite"
"log","academization"
"logicno","academize"
"logika","academized"
"lojalnost","academizing"
"lokacija","Academus"
"lokalni","Acadia"
"lopov","acadialite"
"lopta","Acadian"
"lorde","Acadie"
"loše","Acaena"
"losos","acajou"
"lots","acajous"
"lov","acal"
"lovac","acalculia"
"Lucky","acale"
"lud","acaleph"
"ludo","Acalepha"
"luk","Acalephae"
"luka","acalephan"
"lutati","acalephe"
"lutka","acalephes"
"lyrics","acalephoid"
"mač","acalephs"
"mačka","Acalia"
"magično","acalycal"
"magija","acalycine"
"magnitude","acalycinous"
"mail","acalyculate"
"main","Acalypha"
"mainstream","Acalypterae"
"majica","Acalyptrata"
"majka","Acalyptratae"
"majmun","acalyptrate"
"major","Acamar"
"majstor","Acamas"
"maker","Acampo"
"maksimum","acampsia"
"mala","acana"
"maleni","acanaceous"
"malo","acanonical"
"maloprodaja","acanth"
"mama","acanth-"
"mandat","acantha"
"manipulisati","Acanthaceae"
"manje","acanthaceous"
"manjina","acanthad"
"mapa","Acantharia"
"margina","acanthi"
"marihuana","Acanthia"
"marinac","acanthial"
"mark","acanthin"
"marker","acanthine"
"marketing","acanthion"
"mart","acanthite"
"masa","acantho-"
"mašina","acanthocarpous"
"masivan","Acanthocephala"
"maska","acanthocephalan"
"maslina","Acanthocephali"
"mašte","acanthocephalous"
"match","Acanthocereus"
"matematike","acanthocladous"
"materijal","Acanthodea"
"math","acanthodean"
"med","Acanthodei"
"medalja","Acanthodes"
"medicinski","acanthodian"
"medija","Acanthodidae"
"među","Acanthodii"
"međunarodni","Acanthodini"
"medvjed","acanthoid"
"mehaničar","Acantholimon"
"mehanički","acantholysis"
"mehanizam","acanthology"
"meksički","acanthological"
"melodija","acanthoma"
"memorija","acanthomas"
"memorijal","Acanthomeridae"
"menadžer","acanthon"
"menadžment","Acanthopanax"
"meni","Acanthophis"
"mentalno","acanthophorous"
"mentor","acanthopod"
"mere","acanthopodous"
"meso","acanthopomatous"
"metafora","acanthopore"
"metak","acanthopteran"
"metal","Acanthopteri"
"metar","acanthopterygian"
"metoda","Acanthopterygii"
"mi","acanthopterous"
"midst","acanthoses"
"migracija","acanthosis"
"mijenja","acanthotic"
"milijardi","acanthous"
"miliona","Acanthuridae"
"milju","Acanthurus"
"milost","acanthus"
"minimalno","acanthuses"
"minimizirati","acanthuthi"
"minimum","acapnia"
"ministar","acapnial"
"ministarstvo","acapnias"
"minor","acappella"
"minuta","acapsular"
"mir","acapu"
"miran","Acapulco"
"miris","acara"
"mirno","Acarapis"
"miš","acarari"
"mišića","acardia"
"misija","acardiac"
"mislio","acardite"
"mišljenje","acari"
"misterija","acarian"
"misteriozan","acariasis"
"mit","acariatre"
"mix","acaricidal"
"mjera","acaricide"
"mjerenje","acarid"
"mješavina","Acarida"
"mjesec","acaridae"
"mjesečno","acaridan"
"mješovito","acaridans"
"mjesto","Acaridea"
"mlad","acaridean"
"mladost","acaridomatia"
"mlijeko","acaridomatium"
"mlin","acarids"
"mm","acariform"
"mm-hmm","Acarina"
"mmm","acarine"
"mnogi","acarines"
"mnogo","acarinosis"
"mobilni","Acarnan"
"moć","acarocecidia"
"moćan","acarocecidium"
"moda","acarodermatitis"
"model","acaroid"
"moderno","acarol"
"modificirati","acarology"
"mogao","acarologist"
"mogu","acarophilous"
"moguće","acarophobia"
"mogućnost","acarotoxic"
"moj","acarpellous"
"mokro","acarpelous"
"molekula","acarpous"
"molitva","Acarus"
"momak","ACAS"
"momenat","acast"
"monetarne","Acastus"
"monitor","acatalectic"
"montaža","acatalepsy"
"mora","acatalepsia"
"moral","acataleptic"
"moralni","acatallactic"
"more","acatamathesia"
"mornarica","acataphasia"
"mortalitet","acataposis"
"most","acatastasia"
"motiv","acatastatic"
"motivacija","acate"
"motivisati","acategorical"
"motor","acater"
"mount","acatery"
"mozak","acates"
"možda","acatharsy"
"mračno","acatharsia"
"mrak","acatholic"
"mreže","acaudal"
"mršav","acaudate"
"mržnja","acaudelescent"
"mudar","acaulescence"
"mudrost","acaulescent"
"munja","acauline"
"muško","acaulose"
"musliman","acaulous"
"muža","ACAWS"
"muzej","ACB"
"muzičar","ACBL"
"muzički","ACC"
"muzika","acc."
"naći","acca"
"nacija","accable"
"način","Accad"
"nacionalni","accademia"
"nacrt","Accadian"
"nada","Accalia"
"nadalje","acce"
"nadaren","accede"
"nadgledati","acceded"
"nadležnost","accedence"
"nadnica","acceder"
"nadograditi","acceders"
"nadzor","accedes"
"nagib","acceding"
"naglasak","accel"
"naglasiti","accel."
"nagon","accelerable"
"nagovještaj","accelerando"
"nagrada","accelerant"
"naizgled","accelerate"
"najam","accelerated"
"najava","acceleratedly"
"najaviti","accelerates"
"najbolje","accelerating"
"najmanje","acceleratingly"
"naked","acceleration"
"nakit","accelerations"
"naknada","accelerative"
"naknadno","accelerator"
"nalaz","acceleratory"
"nalog","accelerators"
"nametnuti","accelerograph"
"namirnica","accelerometer"
"namjera","accelerometers"
"namjeravaju","accelerometer's"
"namjerno","accend"
"namještaj","accendibility"
"naoružani","accendible"
"napad","accensed"
"napasti","accension"
"napisano","accensor"
"naplatiti","accent"
"napor","accented"
"napraviti","accenting"
"napredak","accentless"
"napredno","accentor"
"napredovati","accentors"
"naprezati","accents"
"naprijed","accentuable"
"napusti","accentual"
"napustiti","accentuality"
"narandžasta","accentually"
"narativ","accentuate"
"narator","accentuated"
"naredniče","accentuates"
"nas","accentuating"
"naš","accentuation"
"naselje","accentuations"
"nasilan","accentuator"
"nasilje","accentus"
"naslijeđe","accept"
"nasljediti","acceptability"
"naslov","acceptabilities"
"nastati","acceptable"
"nastavi","acceptableness"
"nastavio","acceptably"
"nastaviti","acceptance"
"nastavnik","acceptances"
"nasumično","acceptance's"
"native","acceptancy"
"natrijum","acceptancies"
"naučiti","acceptant"
"naučnik","acceptation"
"naučnim","acceptavit"
"nauka","accepted"
"navika","acceptedly"
"navod","acceptee"
"navodno","acceptees"
"nazad","accepter"
"nažalost","accepters"
"ne","acceptilate"
"nebo","acceptilated"
"nedavno","acceptilating"
"nedjelja","acceptilation"
"nedostajati","accepting"
"nedostaje","acceptingly"
"nedostatak","acceptingness"
"negativan","acception"
"negde","acceptive"
"nego","acceptor"
"neidentifikovan","acceptors"
"neizbježan","acceptor's"
"neizvjesnost","acceptress"
"nejasno","accepts"
"neka","accerse"
"nekad","accersition"
"nekako","accersitor"
"neki","access"
"neko","accessability"
"nekoga","accessable"
"nekoliko","accessary"
"nekretnine","accessaries"
"nemoguće","accessarily"
"neobično","accessariness"
"neočekivano","accessaryship"
"neophodno","accessed"
"nepoznato","accesses"
"nepravedno","accessibility"
"neprijatelj","accessibilities"
"neprijateljski","accessible"
"neprikladan","accessibleness"
"nepristojan","accessibly"
"neprofitna","accessing"
"nered","accession"
"nerv","accessional"
"nervozan","accessioned"
"nesposoban","accessioner"
"nesretni","accessioning"
"nestati","accessions"
"nešto","accession's"
"nestrpljiv","accessit"
"net","accessive"
"Netačno","accessively"
"neugodno","accessless"
"neuspjeh","accessor"
"neutralan","accessory"
"neverovatno","accessorial"
"nevidljiv","accessories"
"nevin","accessorii"
"nevjerovatno","accessorily"
"nevjesta","accessoriness"
"nevolja","accessory's"
"nevoljko","accessorius"
"nezaposlenost","accessoriusorii"
"nezavisni","accessorize"
"nezavisnost","accessorized"
"nezgoda","accessorizing"
"nezgodno","accessors"
"neznalica","accessor's"
"neznanje","acciaccatura"
"neznatno","acciaccaturas"
"nigde","acciaccature"
"nijedan","accidence"
"nikad","accidency"
"niko","accidencies"
"nisko","accident"
"ništa","accidental"
"niti","accidentalism"
"nivo","accidentalist"
"niz","accidentality"
"niže","accidentally"
"njega","accidentalness"
"njegov","accidentals"
"njemački","accidentary"
"njena","accidentarily"
"nježan","accidented"
"nježno","accidential"
"njihov","accidentiality"
"njima","accidently"
"noć","accident-prone"
"nod","accidents"
"nogu","accidia"
"noktiju","accidias"
"nominacija","accidie"
"nominirani","accidies"
"nominirati","accinge"
"norma","accinged"
"normalno","accinging"
"nos","accipenser"
"nosilac","accipient"
"nositi","Accipiter"
"novac","accipitral"
"novajlija","accipitrary"
"novčić","Accipitres"
"novembar","accipitrine"
"novinar","accipter"
"novinarstvo","accise"
"novine","accismus"
"novo","accite"
"nož","Accius"
"nuklearna","acclaim"
"nula","acclaimable"
"nužnost","acclaimed"
"o","acclaimer"
"obala","acclaimers"
"obaveza","acclaiming"
"obavezno","acclaims"
"obećanje","acclamation"
"obećavajuće","acclamations"
"obelodanjivanje","acclamator"
"obeshrabriti","acclamatory"
"obezbeđeno","acclimatable"
"obezbediti","acclimatation"
"običaj","acclimate"
"običan","acclimated"
"obično","acclimatement"
"obim","acclimates"
"objasniti","acclimating"
"objašnjenje","acclimation"
"objaviti","acclimations"
"objekat","acclimatisable"
"objekt","acclimatisation"
"objektivan","acclimatise"
"oblak","acclimatised"
"oblik","acclimatiser"
"oboje","acclimatising"
"obostrano","acclimatizable"
"obrada","acclimatization"
"obraz","acclimatizations"
"obrazovanje","acclimatize"
"obrazovati","acclimatized"
"obrazovni","acclimatizer"
"obrisati","acclimatizes"
"obrnuto","acclimatizing"
"obrok","acclimature"
"obrva","acclinal"
"obuhvataju","acclinate"
"obuku","acclivity"
"obveznica","acclivities"
"obzir","acclivitous"
"očajan","acclivous"
"očajnički","accloy"
"ocean","accoast"
"očekivanje","accoy"
"očekivano","accoyed"
"očekivati","accoying"
"očigledno","accoil"
"od","Accokeek"
"odan","accolade"
"odbaciti","accoladed"
"odbiti","accolades"
"odbrana","accolated"
"odd","accolent"
"odgovor","accoll"
"odgovoran","accolle"
"odgovori","accolled"
"odgovoriti","accollee"
"odgovornost","Accomac"
"odijelo","accombination"
"odjeća","accommodable"
"odjeljak","accommodableness"
"odjelu","accommodate"
"odlazak","accommodated"
"odličan","accommodately"
"odlicno","accommodateness"
"odlučiti","accommodates"
"odlučnost","accommodating"
"odlučujuče","accommodatingly"
"odluka","accommodatingness"
"odmah","accommodation"
"odmor","accommodational"
"odnos","accommodationist"
"odobrenje","accommodations"
"odobriti","accommodative"
"odraziti","accommodatively"
"odred","accommodativeness"
"odredbe","accommodator"
"odredište","accommodators"
"odrediti","accomodate"
"održati","accompanable"
"održavanje","accompany"
"održavati","accompanied"
"održivo","accompanier"
"odskočiti","accompanies"
"odstranjivanje","accompanying"
"odsustvo","accompanyist"
"odustati","accompaniment"
"odvijati","accompanimental"
"odvod","accompaniments"
"odvojeno","accompaniment's"
"of","accompanist"
"ofanzivno","accompanists"
"oficir","accompanist's"
"oglašavanje","accomplement"
"ogledalo","accompletive"
"Ograda","accompli"
"ograničenje","accomplice"
"ograničeno","accomplices"
"ograničiti","accompliceship"
"ogrebotina","accomplicity"
"ogroman","accomplis"
"ogromno","accomplish"
"oguliti","accomplishable"
"oh","accomplished"
"ohrabriti","accomplisher"
"ohrabrujući","accomplishers"
"ojačati","accomplishes"
"okidač","accomplishing"
"oklijevaj","accomplishment"
"oko","accomplishments"
"okolina","accomplishment's"
"okolnost","accomplisht"
"okolo","accompt"
"okrug","accord"
"okrutno","accordable"
"okruženje","accordance"
"oktobar","accordances"
"okupirati","accordancy"
"okupljanje","accordant"
"okvir","accordantly"
"olakšanje","accordatura"
"olakšati","accordaturas"
"olimpijade","accordature"
"olimpijski","accorded"
"olovka","accorder"
"oluja","accorders"
"ometati","according"
"omogućiti","accordingly"
"on","accordion"
"ona","accordionist"
"onda","accordionists"
"one","accordions"
"onemogućeno","accordion's"
"oni","accords"
"online","accorporate"
"onto","accorporation"
"ooh","accost"
"opasno","accostable"
"opasnost","accosted"
"općenito","accosting"
"opcija","accosts"
"opera","accouche"
"operacija","accouchement"
"operater","accouchements"
"operativni","accoucheur"
"operirati","accoucheurs"
"opet","accoucheuse"
"opis","accoucheuses"
"opisati","accounsel"
"oporavak","account"
"opozicija","accountability"
"opoziv","accountabilities"
"oprati","accountable"
"opravdati","accountableness"
"oprema","accountably"
"opremiti","accountancy"
"oprezno","accountancies"
"oprosti","accountant"
"opseg","accountants"
"opsežna","accountant's"
"opt","accountantship"
"opterećenje","accounted"
"optimističan","accounter"
"optužba","accounters"
"optuženi","accounting"
"optužiti","accountings"
"orah","accountment"
"oralni","accountrement"
"orao","accounts"
"orbita","accouple"
"organ","accouplement"
"organizacija","accourage"
"organizam","accourt"
"organizovati","accouter"
"organski","accoutered"
"original","accoutering"
"originalan","accouterment"
"originalno","accouterments"
"orijentacija","accouters"
"ormar","accoutre"
"ormarić","accoutred"
"oružje","accoutrement"
"osam","accoutrements"
"osiguranje","accoutres"
"osigurati","accoutring"
"osim","Accoville"
"osjećaj","ACCRA"
"osjećati","accrease"
"osjetljivo","accredit"
"osjetljivost","accreditable"
"oslikati","accreditate"
"osmijeh","accreditation"
"osmo","accreditations"
"osnivač","accredited"
"osnivanje","accreditee"
"osnovni","accrediting"
"osnovno","accreditment"
"osnovu","accredits"
"osoba","accrementitial"
"osobina","accrementition"
"osoblje","accresce"
"ostalo","accrescence"
"ostani","accrescendi"
"oštar","accrescendo"
"ostati","accrescent"
"oštećenja","accretal"
"ostrvo","accrete"
"ostvariti","accreted"
"osuda","accretes"
"osuđenik","accreting"
"osuditi","accretion"
"osumnjičeni","accretionary"
"osveta","accretions"
"otac","accretion's"
"otkaži","accretive"
"otkriće","accriminate"
"otkriti","Accrington"
"otkrovenje","accroach"
"otpad","accroached"
"otpor","accroaching"
"otprilike","accroachment"
"otvaranje","accroides"
"otvoren","accruable"
"otvoreno","accrual"
"outdoor","accruals"
"ovce","accrue"
"ovdje","accrued"
"ove","accruement"
"overwhelming","accruer"
"ovisnost","accrues"
"ovo","accruing"
"ovratnik","ACCS"
"ozbiljne","ACCT"
"ozbiljno","acct."
"oženjen","accts"
"pacijent","accubation"
"pack","accubita"
"pacov","accubitum"
"pad","accubitus"
"pada","accueil"
"pakao","accultural"
"paket","acculturate"
"pal","acculturated"
"palata","acculturates"
"palestinac","acculturating"
"paluba","acculturation"
"pametan","acculturational"
"pamuk","acculturationist"
"pan","acculturative"
"pandan","acculturize"
"panel","acculturized"
"panika","acculturizing"
"pant","accum"
"papa","accumb"
"papir","accumbency"
"par","accumbent"
"parada","accumber"
"paradajz","accumulable"
"parametar","accumulate"
"pare","accumulated"
"park","accumulates"
"parking","accumulating"
"parlament","accumulation"
"partner","accumulations"
"partnerstvo","accumulativ"
"party","accumulative"
"pas","accumulatively"
"pass","accumulativeness"
"pastor","accumulator"
"pasulj","accumulators"
"patch","accumulator's"
"patent","accupy"
"patiti","accur"
"patka","accuracy"
"patnja","accuracies"
"patrola","accurate"
"pauza","accurately"
"pažljivo","accurateness"
"pažnju","accuratenesses"
"pc","accurre"
"pčela","accurse"
"pečat","accursed"
"peći","accursedly"
"pećina","accursedness"
"pećnica","accursing"
"pedeset","accurst"
"peer","accurtation"
"pejzaž","accus"
"penal","accusable"
"penzija","accusably"
"penziju","accusal"
"pepeo","accusals"
"per","accusant"
"percepcija","accusants"
"percipe","accusation"
"percipirano","accusations"
"performanse","accusation's"
"period","accusatival"
"perspektiva","accusative"
"peškir","accusative-dative"
"pesnica","accusatively"
"pesnik","accusativeness"
"pet","accusatives"
"peta","accusator"
"petak","accusatory"
"peti","accusatorial"
"peticija","accusatorially"
"petlja","accusatrix"
"petnaest","accusatrixes"
"piće","accuse"
"pick","accused"
"pijan","accuser"
"pijenje","accusers"
"pijesak","accuses"
"piletina","accusing"
"pilot","accusingly"
"pilula","accusive"
"pin","accusor"
"pirinač","accustom"
"pisac","accustomation"
"pisanje","accustomed"
"pisati","accustomedly"
"pismenost","accustomedness"
"pismo","accustoming"
"piss","accustomize"
"pištolj","accustomized"
"pit","accustomizing"
"pita","accustoms"
"pitaj","Accutron"
"pitanje","ACD"
"pitch","ACDA"
"pivo","AC-DC"
"pizza","ACE"
"pjesma","acea"
"pjevačica","aceacenaphthene"
"plaćanje","aceae"
"plafon","acean"
"plakati","aceanthrene"
"plamen","aceanthrenequinone"
"plan","acecaffin"
"planeta","acecaffine"
"planina","aceconitic"
"planiranje","aced"
"plasman","acedy"
"plastika","acedia"
"plata","acediamin"
"platforma","acediamine"
"platiti","acedias"
"platno","acediast"
"plava","ace-high"
"playoff","Acey"
"plaža","acey-deucy"
"pleme","aceite"
"plemenski","aceituna"
"plesačica","Aceldama"
"plesanja","aceldamas"
"plesati","acellular"
"plima","Acemetae"
"plitko","Acemetic"
"plivati","acemila"
"pljunuti","acenaphthene"
"ploča","acenaphthenyl"
"plot","acenaphthylene"
"plovilo","acenesthesia"
"ploviti","acensuada"
"pluća","acensuador"
"plus","acentric"
"pm","acentrous"
"pobijediti","aceology"
"pobjeda","aceologic"
"pobjednik","aceous"
"poboljšanje","acephal"
"poboljšano","Acephala"
"poboljšati","acephalan"
"početak","Acephali"
"početi","acephalia"
"početni","Acephalina"
"počiniti","acephaline"
"počinjati","acephalism"
"podaci","acephalist"
"podešavanje","Acephalite"
"podići","acephalocyst"
"podijeliti","acephalous"
"podijeljeno","acephalus"
"podjednako","acepots"
"podne","acequia"
"podrška","acequiador"
"području","acequias"
"podrum","Acer"
"podržati","Aceraceae"
"podržavajuća","aceraceous"
"podsjetiti","Acerae"
"podsjetnik","Acerata"
"podsticaj","acerate"
"podučavanje","acerated"
"podučavati","Acerates"
"poduhvat","acerathere"
"poem","Aceratherium"
"poezija","aceratosis"
"poglavlje","acerb"
"pogled","Acerbas"
"pogledajte","acerbate"
"pogodi","acerbated"
"pogrešno","acerbates"
"pohvala","acerbating"
"pojačati","acerber"
"pojam","acerbest"
"pojas","acerbic"
"pojaviti","acerbically"
"pojedinac","acerbity"
"poklon","acerbityacerose"
"poklopac","acerbities"
"pokret","acerbitude"
"pokrivenost","acerbly"
"pokupiti","acerbophobia"
"pokušaj","acerdol"
"pola","aceric"
"polako","acerin"
"pole","acerli"
"polica","acerola"
"policajac","acerolas"
"policija","acerose"
"političar","acerous"
"politički","acerra"
"politika","acers"
"polje","acertannin"
"poljoprivreda","acerval"
"poljoprivredni","acervate"
"poljubac","acervately"
"pomagala","acervatim"
"pomoć","acervation"
"pomoćnik","acervative"
"pomozi","acervose"
"ponašanja","acervuli"
"ponašanje","acervuline"
"ponedjeljak","acervulus"
"ponekad","aces"
"ponoć","ace's"
"ponos","acescence"
"ponosan","acescency"
"ponovi","acescent"
"ponuda","acescents"
"pop","aceship"
"popis","Acesius"
"poplava","acesodyne"
"popodne","acesodynous"
"popraviti","Acessamenus"
"popularan","Acestes"
"popularnost","acestoma"
"popust","acet-"
"porasti","aceta"
"poravnati","acetable"
"poraz","acetabula"
"porcija","acetabular"
"pored","Acetabularia"
"poređenje","acetabuliferous"
"poremećaj","acetabuliform"
"porez","acetabulous"
"poricanje","acetabulum"
"poricati","acetabulums"
"porijeklo","acetacetic"
"porodica","acetal"
"porota","acetaldehydase"
"porotnik","acetaldehyde"
"portfolio","acetaldehydrase"
"portparol","acetaldol"
"portret","acetalization"
"poručnik","acetalize"
"poruka","acetals"
"posada","acetamid"
"posao","acetamide"
"poseban","acetamidin"
"posebno","acetamidine"
"posjedovanje","acetamido"
"posjedovati","acetamids"
"posjetitelj","acetaminol"
"posjetiti","Acetaminophen"
"poslati","acetanilid"
"poslije","acetanilide"
"posljedica","acetanion"
"poslodavac","acetaniside"
"posmatrač","acetanisidide"
"posmatranje","acetanisidine"
"posmatrati","acetannin"
"posramljen","acetary"
"pošta","acetarious"
"postati","acetars"
"postavljanje","acetarsone"
"pošten","acetate"
"pošteno","acetated"
"postepeno","acetates"
"poster","acetation"
"postići","acetazolamide"
"postiđen","acetbromamide"
"postignuće","acetenyl"
"posto","Acetes"
"pošto","acethydrazide"
"postojanje","acetiam"
"postoje","acetic"
"postojeći","acetify"
"postotak","acetification"
"poštovanje","acetified"
"postupak","acetifier"
"posvećenost","acetifies"
"posvetiti","acetifying"
"pot","acetyl"
"potencijal","acetylacetonates"
"potencijalno","acetylacetone"
"poteškoće","acetylamine"
"potkopati","acetylaminobenzene"
"potok","acetylaniline"
"potonje","acetylasalicylic"
"potpis","acetylate"
"potpuno","acetylated"
"potraga","acetylating"
"potražnja","acetylation"
"potreba","acetylative"
"potrebno","acetylator"
"potrošača","acetylbenzene"
"potrošiti","acetylbenzoate"
"potrošnja","acetylbenzoic"
"potvrditi","acetylbiuret"
"pour","acetylcarbazole"
"pouzdan","acetylcellulose"
"pouzdanost","acetylcholine"
"povećana","acetylcholinesterase"
"povećanje","acetylcholinic"
"povećati","acetylcyanide"
"povezane","acetylenation"
"povezati","acetylene"
"povjerenje","acetylenediurein"
"povjetarac","acetylenes"
"povratak","acetylenic"
"povratiti","acetylenyl"
"povrće","acetylenogen"
"povreda","acetylfluoride"
"povremeno","acetylglycin"
"povrijediti","acetylglycine"
"površine","acetylhydrazine"
"povuci","acetylic"
"povući","acetylid"
"poza","acetylide"
"pozadini","acetyliodide"
"pozajmiti","acetylizable"
"pozicija","acetylization"
"pozitivno","acetylize"
"poziv","acetylized"
"pozivalac","acetylizer"
"pozivnica","acetylizing"
"poznat","acetylmethylcarbinol"
"poznati","acetylperoxide"
"poznato","acetylphenylhydrazine"
"pozorište","acetylphenol"
"pozornici","acetylrosaniline"
"požuri","acetyls"
"pozvati","acetylsalicylate"
"prag","acetylsalicylic"
"prah","acetylsalol"
"praksa","acetyltannin"
"praktičar","acetylthymol"
"praktično","acetyltropeine"
"prašina","acetylurea"
"praska","acetimeter"
"prateći","acetimetry"
"pratilac","acetimetric"
"pratiti","acetin"
"pravda","acetine"
"pravi","acetins"
"pravilo","acetite"
"pravo","acetize"
"prazan","acetla"
"prazno","acetmethylanilide"
"prebivalište","acetnaphthalide"
"precious","aceto-"
"precizan","acetoacetanilide"
"precizno","acetoacetate"
"predak","acetoacetic"
"predator","acetoamidophenol"
"predavanje","acetoarsenite"
"predgrađe","Acetobacter"
"predivno","acetobenzoic"
"predloženo","acetobromanilide"
"predložiti","acetochloral"
"predmet","acetocinnamene"
"prednost","acetoin"
"predsjedavajući","acetol"
"predsjednički","acetolysis"
"predsjednik","acetolytic"
"predsjedništvo","acetometer"
"predstavljaju","acetometry"
"predstavnik","acetometric"
"predstojeći","acetometrical"
"preduzeće","acetometrically"
"preduzeti","acetomorphin"
"preduzetnik","acetomorphine"
"predviđanje","acetonaemia"
"predvidjeti","acetonaemic"
"preferencija","acetonaphthone"
"preferirati","acetonate"
"pregled","acetonation"
"pregovaranje","acetone"
"pregovarati","acetonemia"
"pregršt","acetonemic"
"prekidač","acetones"
"prekinuti","acetonic"
"preko","acetonyl"
"prekršaj","acetonylacetone"
"prekršiti","acetonylidene"
"prema","acetonitrile"
"premašiti","acetonization"
"premisa","acetonize"
"premium","acetonuria"
"prenijeti","acetonurometer"
"preostali","acetophenetide"
"preporučeno","acetophenetidin"
"preporuka","acetophenetidine"
"prepoznati","acetophenin"
"prepoznavanje","acetophenine"
"prepreka","acetophenone"
"preskoči","acetopiperone"
"prestati","acetopyrin"
"prestupnik","acetopyrine"
"presuda","acetosalicylic"
"prethodni","acetose"
"prethodno","acetosity"
"pretjerano","acetosoluble"
"pretpostavimo","acetostearin"
"pretpostaviti","acetothienone"
