"Macedonian","English"
"карактер","absterse"
"карактеризираат","abstersion"
"карактеристика","abstersive"
"кариера","abstersiveness"
"карпа","abstertion"
"карта","abstinence"
"картичка","abstinences"
"катастрофа","abstinency"
"категорија","abstinent"
"католички","abstinential"
"каубојски","abstinently"
"каучот","abstort"
"кафе","abstr"
"кафеава","abstract"
"кафез","abstractable"
"кафуле","abstracted"
"квадрат","abstractedly"
"квалитет","abstractedness"
"квантитет","abstracter"
"квантна","abstracters"
"ќе","abstractest"
"ќебе","abstracting"
"ќелија","abstraction"
"ќерка","abstractional"
"кикирики","abstractionism"
"кинески","abstractionist"
"киселина","abstractionists"
"кислород","abstractions"
"кит","abstraction's"
"класа","abstractitious"
"класифицираат","abstractive"
"класичен","abstractively"
"клаузула","abstractiveness"
"клиент","abstractly"
"кликнете","abstractness"
"климата","abstractnesses"
"клиника","abstractor"
"клинички","abstractors"
"клип","abstractor's"
"клуб","abstracts"
"клупа","abstrahent"
"клуч","abstrict"
"клучна","abstricted"
"книга","abstricting"
"коалиција","abstriction"
"кога","abstricts"
"когнитивни","abstrude"
"кого","abstruse"
"код","abstrusely"
"кожа","abstruseness"
"кожата","abstrusenesses"
"коза","abstruser"
"кои","abstrusest"
"колапс","abstrusion"
"колаче","abstrusity"
"колега","abstrusities"
"колективен","absume"
"колекционер","absumption"
"коленото","absurd"
"колеџ","absurder"
"количка","absurdest"
"колкот","absurdism"
"коло","absurdist"
"колона","absurdity"
"колонија","absurdities"
"колонијална","absurdity's"
"колумнист","absurdly"
"команда","absurdness"
"командант","absurds"
"комбе","absurdum"
"комбинација","absvolt"
"комбинираат","abt"
"комбинирано","abterminal"
"комедија","abthain"
"коментар","abthainry"
"комерцијални","abthainrie"
"комесар","abthanage"
"комисија","abtruse"
"комора","Abu"
"компанија","abubble"
"компензација","Abu-Bekr"
"компир","Abucay"
"компјутер","abucco"
"комплекс","abuilding"
"комплет","Abukir"
"комплицирано","abuleia"
"компонента","Abulfeda"
"компромис","abulia"
"комуникација","abulias"
"комунистичка","abulic"
"комуницираат","abulyeit"
"кон","abulomania"
"конвенција","abumbral"
"конвенционален","abumbrellar"
"конверзија","Abuna"
"конвертирате","abundance"
"конгресен","abundances"
"конгресмен","abundancy"
"конгресот","abundant"
"конечна","Abundantia"
"конечно","abundantly"
"конзервативна","abune"
"конзервација","abura"
"конзистентна","aburabozu"
"конкретно","aburagiri"
"конкурент","aburban"
"конкурентни","Abury"
"конкуренција","aburst"
"консензус","aburton"
"конструкција","abusable"
"консултант","abusage"
"консумираат","abuse"
"контакт","abused"
"контејнер","abusedly"
"контекст","abusee"
"континент","abuseful"
"континуирано","abusefully"
"контраст","abusefulness"
"контроверзен","abuser"
"контрола","abusers"
"конференција","abuses"
"конфликт","abush"
"конфузија","abusing"
"концентрат","abusion"
"концентрација","abusious"
"концепт","abusive"
"концерт","abusively"
"коњ","abusiveness"
"координатор","abusivenesses"
"копаат","abut"
"копиле","Abuta"
"копирајте","Abutilon"
"копче","abutilons"
"кора","abutment"
"корејски","abutments"
"корекција","abuts"
"корелација","abuttal"
"корен","abuttals"
"коридор","abutted"
"корисен","abutter"
"корисни","abutters"
"корисник","abutter's"
"корист","abutting"
"користат","abuzz"
"користени","abv"
"корпоративни","abvolt"
"корпорација","abvolts"
"корпус","abwab"
"корумпиран","abwatt"
"корупцијата","abwatts"
"косата","ac"
"коска","ac-"
"костим","a-c"
"костум","AC/DC"
"кофа","ACAA"
"кошарка","Acacallis"
"кошмар","acacatechin"
"кошница","acacatechol"
"кошула","Acacea"
"крава","Acaceae"
"крадат","acacetin"
"крадец","Acacia"
"кражба","Acacian"
"крај","acacias"
"крајбрежни","acaciin"
"крајна","acacin"
"кралицата","acacine"
"кралот","acad"
"кралски","academe"
"кратко","academes"
"краток","Academy"
"крв","academia"
"крвави","academial"
"креативни","academian"
"креативност","academias"
"кревет","Academic"
"кредибилитет","academical"
"кредит","academically"
"крем","academicals"
"кривина","academician"
"крие","academicians"
"криза","academicianship"
"крило","academicism"
"криминал","academics"
"криминалец","academie"
"кристал","academies"
"критериуми","academy's"
"критика","academise"
"критикуваат","academised"
"критичар","academising"
"критички","academism"
"кромид","academist"
"крпа","academite"
"крстарење","academization"
"крстот","academize"
"круг","academized"
"круна","academizing"
"крути","Academus"
"кујна","Acadia"
"кука","acadialite"
"куќа","Acadian"
"кукла","Acadie"
"кул","Acaena"
"кула","acajou"
"култура","acajous"
"културата","acal"
"културен","acalculia"
"куп","acale"
"Куп","acaleph"
"купи","Acalepha"
"купување","Acalephae"
"купувачот","acalephan"
"курс","acalephe"
"куршум","acalephes"
"кутија","acalephoid"
"куче","acalephs"
"кучка","Acalia"
"лабава","acalycal"
"лабораторија","acalycine"
"Лав","acalycinous"
"лага","acalyculate"
"ладно","Acalypha"
"лажго","Acalypterae"
"лажен","Acalyptrata"
"лажица","Acalyptratae"
"лажичка","acalyptrate"
"лак","Acamar"
"лактот","Acamas"
"лансира","Acampo"
"лаптоп","acampsia"
"ласерски","acana"
"латински","acanaceous"
"леб","acanonical"
"лебдат","acanth"
"лево","acanth-"
"легално","acantha"
"легенда","Acanthaceae"
"легитимни","acanthaceous"
"лежеше","acanthad"
"лек","Acantharia"
"лекар","acanthi"
"леќи","Acanthia"
"лекови","acanthial"
"лекција","acanthin"
"Леле","acanthine"
"лента","acanthion"
"лепенка","acanthite"
"лесно","acantho-"
"леснотија","acanthocarpous"
"лет","Acanthocephala"
"летаат","acanthocephalan"
"лето","Acanthocephali"
"либерален","acanthocephalous"
"лига","Acanthocereus"
"лидерство","acanthocladous"
"лилјак","Acanthodea"
"лимон","acanthodean"
"линија","Acanthodei"
"лист","Acanthodes"
"листа","acanthodian"
"литература","Acanthodidae"
"литературен","Acanthodii"
"лифт","Acanthodini"
"лице","acanthoid"
"лиценца","Acantholimon"
"лично","acantholysis"
"личноста","acanthology"
"лоби","acanthological"
"лов","acanthoma"
"ловат","acanthomas"
"ловец","Acanthomeridae"
"логика","acanthon"
"логично","Acanthopanax"
"лојални","Acanthophis"
"лојалност","acanthophorous"
"локални","acanthopod"
"локација","acanthopodous"
"лосос","acanthopomatous"
"лоцираат","acanthopore"
"лошо","acanthopteran"
"луѓе","Acanthopteri"
"луд","acanthopterygian"
"лук","Acanthopterygii"
"лути","acanthopterous"
"лутина","acanthoses"
"љубезен","acanthosis"
"љубов","acanthotic"
"љубовен","acanthous"
"љубовник","Acanthuridae"
"љубоморен","Acanthurus"
"љубопитни","acanthus"
"љубопитност","acanthuses"
"маало","acanthuthi"
"маана","acapnia"
"магацинот","acapnial"
"магија","acapnias"
"магичен","acappella"
"магнитуда","acapsular"
"мазна","acapu"
"маица","Acapulco"
"мајка","acara"
"мајмун","Acarapis"
"мајор","acarari"
"мајчин","acardia"
"максимум","acardiac"
"мали","acardite"
"малку","acari"
"мало","acarian"
"малолетник","acariasis"
"малопродажба","acariatre"
"малцинство","acaricidal"
"мама","acaricide"
"мамо","acarid"
"мандат","Acarida"
"манипулираат","acaridae"
"маржа","acaridan"
"марихуана","acaridans"
"марка","Acaridea"
"маркер","acaridean"
"маркетинг","acaridomatia"
"март","acaridomatium"
"маса","acarids"
"масивни","acariform"
"маска","Acarina"
"маслиново","acarine"
"масти","acarines"
"математика","acarinosis"
"материја","Acarnan"
"материјал","acarocecidia"
"мачи","acarocecidium"
"мачка","acarodermatitis"
"машина","acaroid"
"машки","acarol"
"Мебел","acarology"
"меѓу","acarologist"
"меѓународни","acarophilous"
"меѓусебна","acarophobia"
"мед","acarotoxic"
"медал","acarpellous"
"медиуми","acarpelous"
"медицински","acarpous"
"мејнстрим","Acarus"
"меки","ACAS"
"мексикански","acast"
"мелница","Acastus"
"мелодија","acatalectic"
"меморија","acatalepsy"
"менаџер","acatalepsia"
"мени","acataleptic"
"ментална","acatallactic"
"ментално","acatamathesia"
"ментор","acataphasia"
"менуваат","acataposis"
"менување","acatastasia"
"мерење","acatastatic"
"мерка","acate"
"месец","acategorical"
"месечината","acater"
"месечно","acatery"
"месо","acates"
"место","acatharsy"
"метал","acatharsia"
"метар","acatholic"
"метафора","acaudal"
"метод","acaudate"
"меур","acaudelescent"
"механизам","acaulescence"
"механичар","acaulescent"
"механички","acauline"
"меч","acaulose"
"мечка","acaulous"
"миграција","ACAWS"
"мие","ACB"
"мијалник","ACBL"
"мил","ACC"
"мила","acc."
"миленик","acca"
"милиони","accable"
"милја","Accad"
"мило","accademia"
"милост","Accadian"
"милоста","Accalia"
"минатото","acce"
"минимална","accede"
"минимизираат","acceded"
"минимум","accedence"
"министер","acceder"
"министерството","acceders"
"минута","accedes"
"мир","acceding"
"мирен","accel"
"мирис","accel."
"мисија","accelerable"
"мисирка","accelerando"
"мисла","accelerant"
"мислење","accelerate"
"мистерија","accelerated"
"мистериозна","acceleratedly"
"мит","accelerates"
"митинг","accelerating"
"млад","acceleratingly"
"младина","acceleration"
"млаз","accelerations"
"млеко","accelerative"
"мм","accelerator"
"ммм","acceleratory"
"мм-хм","accelerators"
"многу","accelerograph"
"мнозинство","accelerometer"
"мобилен","accelerometers"
"Мод","accelerometer's"
"модата","accend"
"модел","accendibility"
"модерен","accendible"
"може","accensed"
"можеби","accension"
"можно","accensor"
"можност","accent"
"мозокот","accented"
"мојата","accenting"
"мојот","accentless"
"моќ","accentor"
"моќен","accentors"
"молба","accents"
"молекула","accentuable"
"моли","accentual"
"молитва","accentuality"
"молња","accentually"
"молчи","accentuate"
"момент","accentuated"
"моментално","accentuates"
"моментум","accentuating"
"момче","accentuation"
"монета","accentuations"
"монитор","accentuator"
"монтирање","accentus"
"мора","accept"
"морална","acceptability"
"моралот","acceptabilities"
"морето","acceptable"
"морнарица","acceptableness"
"морски","acceptably"
"мост","acceptance"
"мотив","acceptances"
"мотивација","acceptance's"
"мотивираат","acceptancy"
"мотор","acceptancies"
"моторот","acceptant"
"мочаат","acceptation"
"мраз","acceptavit"
"мрежа","accepted"
"мрзливи","acceptedly"
"мртви","acceptee"
"мудар","acceptees"
"мудрост","accepter"
"музеј","accepters"
"музика","acceptilate"
"музичар","acceptilated"
"музички","acceptilating"
"мускулите","acceptilation"
"муслимански","accepting"
"на","acceptingly"
"набљудувај","acceptingness"
"набљудување","acception"
"набљудувач","acceptive"
"набргу","acceptor"
"наведете","acceptors"
"наведнуваат","acceptor's"
"навестување","acceptress"
"навиваат","accepts"
"навивам","accerse"
"навидум","accersition"
"навика","accersitor"
"навистина","access"
"наводен","accessability"
"наводно","accessable"
"наводот","accessary"
"навредливи","accessaries"
"навредува","accessarily"
"нагласи","accessariness"
"нагон","accessaryship"
"нагоре","accessed"
"награда","accesses"
"над","accessibility"
"надарени","accessibilities"
"надвор","accessible"
"надворешен","accessibleness"
"надгледува","accessibly"
"надградба","accessing"
"надеж","accession"
"надзор","accessional"
"надзорник","accessioned"
"надминат","accessioner"
"надмине","accessioning"
"надолу","accessions"
"надреден","accession's"
"назад","accessit"
"назначи","accessive"
"назначување","accessively"
"најава","accessless"
"најдете","accessor"
"најдобар","accessory"
"најмалку","accessorial"
"најмногу","accessories"
"најчесто","accessorii"
"накит","accessorily"
"наклон","accessoriness"
"накратко","accessory's"
"наликуваат","accessorius"
"налог","accessoriusorii"
"намали","accessorize"
"намалување","accessorized"
"намера","accessorizing"
"намерно","accessors"
"наметнуваат","accessor's"
"Намирници","acciaccatura"
"наоѓање","acciaccaturas"
"наоколу","acciaccature"
"напад","accidence"
"нападне","accidency"
"напишано","accidencies"
"наплаќаат","accident"
"напор","accidental"
"направи","accidentalism"
"напред","accidentalist"
"напредни","accidentality"
"напредок","accidentally"
"напредува","accidentalness"
"напушти","accidentals"
"наратор","accidentary"
"наредник","accidentarily"
"народни","accidented"
"нарушување","accidential"
"нас","accidentiality"
"насекаде","accidently"
"населат","accident-prone"
"населба","accidents"
"насилни","accidia"
"насилство","accidias"
"наскоро","accidie"
"наследство","accidies"
"наследуваат","accinge"
"наслов","accinged"
"Наслов","accinging"
"насмевка","accipenser"
"насока","accipient"
"насоки","Accipiter"
"наспроти","accipitral"
"настава","accipitrary"
"наставни","Accipitres"
"наставник","accipitrine"
"настан","accipter"
"настрана","accise"
"натпревар","accismus"
"натпреваруваат","accite"
"натриум","Accius"
"науката","acclaim"
"научни","acclaimable"
"научник","acclaimed"
"нафта","acclaimer"
"нација","acclaimers"
"национално","acclaiming"
"нацрт","acclaims"
"начин","acclamation"
"нашироко","acclamations"
"нашите","acclamator"
"не","acclamatory"
"неа","acclimatable"
"небото","acclimatation"
"неверојатно","acclimate"
"невеста","acclimated"
"невидлив","acclimatement"
"невини","acclimates"
"невозможно","acclimating"
"неволја","acclimation"
"неволно","acclimations"
"невработеноста","acclimatisable"
"негативен","acclimatisation"
"негираат","acclimatise"
"негирање","acclimatised"
"него","acclimatiser"
"неговиот","acclimatising"
"недела","acclimatizable"
"неделно","acclimatization"
"недостаток","acclimatizations"
"недостиг","acclimatize"
"нежни","acclimatized"
"нежно","acclimatizer"
"независен","acclimatizes"
"независност","acclimatizing"
"незаконски","acclimature"
"незгодно","acclinal"
"незнаење","acclinate"
"неидентификувани","acclivity"
"неизбежен","acclivities"
"неизвесност","acclivitous"
"нејасно","acclivous"
"нејзиниот","accloy"
"нека","accoast"
"некаде","accoy"
"некако","accoyed"
"некогаш","accoying"
"некои","accoil"
"некој","Accokeek"
"неколку","accolade"
"нели","accoladed"
"неми","accolades"
"ненадејно","accolated"
"необично","accolent"
"неодамна","accoll"
"неодамнешна","accolle"
"неопходно","accolled"
"неочекувано","accollee"
"непознат","Accomac"
"непријател","accombination"
"непријателски","accommodable"
"непријатно","accommodableness"
"непрофитна","accommodate"
"нерв","accommodated"
"нервозен","accommodately"
"несоодветни","accommodateness"
"несреќа","accommodates"
"несреќен","accommodating"
"нето","accommodatingly"
"Неточно","accommodatingness"
"неуки","accommodation"
"неуспех","accommodational"
"неутрален","accommodationist"
"нефер","accommodations"
"нечистотија","accommodative"
"нешто","accommodatively"
"нив","accommodativeness"
"нивните","accommodator"
"ниво","accommodators"
"ние","accomodate"
"ниеден","accompanable"
"низа","accompany"
"низок","accompanied"
"никаде","accompanier"
"никогаш","accompanies"
"никој","accompanying"
"ниту","accompanyist"
"нишка","accompaniment"
"ништо","accompanimental"
"но","accompaniments"
"нов","accompaniment's"
"новинар","accompanist"
"новинарството","accompanists"
"ново","accompanist's"
"нога","accomplement"
"ноември","accompletive"
"нож","accompli"
"ноќе","accomplice"
"номинација","accomplices"
"номинира","accompliceship"
"номиниран","accomplicity"
"норма","accomplis"
"нормално","accomplish"
"носат","accomplishable"
"носител","accomplished"
"носот","accomplisher"
"нудење","accomplishers"
"нужно","accomplishes"
"нуклеарна","accomplishing"
"нула","accomplishment"
"обвинение","accomplishments"
"обвинетиот","accomplishment's"
"обвинител","accomplisht"
"обвинуваат","accompt"
"обврзница","accord"
"обврска","accordable"
"обединети","accordance"
"обедини","accordances"
"обезбедени","accordancy"
"обезбеди","accordant"
"обелоденување","accordantly"
"обемна","accordatura"
"обесхрабрување","accordaturas"
"обид","accordature"
"обичај","accorded"
"обичен","accorder"
"обични","accorders"
"обично","according"
"објави","accordingly"
"објавуваат","accordion"
"објавување","accordionist"
"објасни","accordionists"
"објаснување","accordions"
"објект","accordion's"
"објективен","accords"
"облак","accorporate"
"област","accorporation"
"облека","accost"
"обликот","accostable"
"обнова","accosted"
"обработка","accosting"
"образ","accosts"
"образованието","accouche"
"обратно","accouchement"
"оброк","accouchements"
"обука","accoucheur"
"ова","accoucheurs"
"овде","accoucheuse"
"овие","accoucheuses"
"овластат","accounsel"
"овозможи","account"
"овошје","accountability"
"овци","accountabilities"
"оган","accountable"
"огледало","accountableness"
"ограби","accountably"
"ограда","accountancy"
"ограничен","accountancies"
"ограничување","accountant"
"огромен","accountants"
"огромна","accountant's"
"огромно","accountantship"
"од","accounted"
"одбие","accounter"
"одбраната","accounters"
"одвоени","accounting"
"одговара","accountings"
"одговор","accountment"
"одговорен","accountrement"
"одговори","accounts"
"одговорност","accouple"
"оддел","accouplement"
"одеднаш","accourage"
"одење","accourt"
"оди","accouter"
"одлично","accoutered"
"одложување","accoutering"
"одлука","accouterment"
"одлучи","accouterments"
"одмазда","accouters"
"одмор","accoutre"
"одморалиште","accoutred"
"однапред","accoutrement"
"однесување","accoutrements"
"однесувањето","accoutres"
"однос","accoutring"
"одобри","Accoville"
"одобруваат","ACCRA"
"одобрување","accrease"
"одраз","accredit"
"одразуваат","accreditable"
"одред","accreditate"
"одредба","accreditation"
"одредени","accreditations"
"одржлив","accredited"
"одржуваат","accreditee"
"одржување","accrediting"
"ознака","accreditment"
"океанот","accredits"
"околината","accrementitial"
"околност","accrementition"
"околу","accresce"
"окото","accrescence"
"округот","accrescendi"
"октомври","accrescendo"
"олесни","accrescent"
"олеснуваат","accretal"
"олеснување","accrete"
"олимпијадата","accreted"
"олимписки","accretes"
"олово","accreting"
"омилен","accretion"
"омраза","accretionary"
"оневозможено","accretions"
"онлајн","accretion's"
"опаѓање","accretive"
"опасно","accriminate"
"опасност","Accrington"
"опашка","accroach"
"опера","accroached"
"оперативен","accroaching"
"оператор","accroachment"
"операција","accroides"
"опис","accruable"
"опишете","accrual"
"опкружуваат","accruals"
"опозиција","accrue"
"опорави","accrued"
"оправда","accruement"
"определување","accruer"
"опрема","accrues"
"опреми","accruing"
"опсег","ACCS"
"опсегот","ACCT"
"опстојуваат","acct."
"оптимист","accts"
"оптоварување","accubation"
"опција","accubita"
"општеството","accubitum"
"орален","accubitus"
"орбитата","accueil"
"орган","accultural"
"организам","acculturate"
"организација","acculturated"
"организира","acculturates"
"органски","acculturating"
"орев","acculturation"
"орел","acculturational"
"оригинален","acculturationist"
"оригинално","acculturative"
"ориентација","acculturize"
"оризот","acculturized"
"Оружје","acculturizing"
"осамен","accum"
"освен","accumb"
"осигурување","accumbency"
"ослободи","accumbent"
"ослободување","accumber"
"осми","accumulable"
"основа","accumulate"
"основање","accumulated"
"основач","accumulates"
"основни","accumulating"
"основните","accumulation"
"основно","accumulations"
"особено","accumulativ"
"особина","accumulative"
"осомничен","accumulatively"
"остави","accumulativeness"
"оставка","accumulator"
"останете","accumulators"
"остануваат","accumulator's"
"остар","accupy"
"остварлива","accur"
"островот","accuracy"
"осуденик","accuracies"
"осудуваат","accurate"
"осум","accurately"
"отворање","accurateness"
"отворени","accuratenesses"
"отворено","accurre"
"откажете","accurse"
"отколку","accursed"
"открива","accursedly"
"откриваат","accursedness"
"открие","accursing"
"откријте","accurst"
"откритие","accurtation"
"Откровение","accus"
"отпад","accusable"
"отпор","accusably"
"отскокнување","accusal"
"отстрани","accusals"
"отстранување","accusant"
"отсуство","accusants"
"оттука","accusation"
"отфрли","accusations"
"отчетност","accusation's"
"офицер","accusatival"
"официјален","accusative"
"официјално","accusative-dative"
"ох","accusatively"
"охрабрувачки","accusativeness"
"оцени","accusatives"
"оценка","accusator"
"оценување","accusatory"
"очајни","accusatorial"
"очајно","accusatorially"
"очекуваат","accusatrix"
"очекувано","accusatrixes"
"очекување","accuse"
"очигледна","accused"
"очигледно","accuser"
"оштетување","accusers"
"падне","accuses"
"пазар","accusing"
"пакет","accusingly"
"пакување","accusive"
"палата","accusor"
"палестински","accustom"
"палецот","accustomation"
"Палто","accustomed"
"палуба","accustomedly"
"паметен","accustomedness"
"памук","accustoming"
"пандан","accustomize"
"панел","accustomized"
"паника","accustomizing"
"панталони","accustoms"
"папата","Accutron"
"пар","ACD"
"парада","ACDA"
"параметар","AC-DC"
"пареа","ACE"
"пари","acea"
"паричен","aceacenaphthene"
"парк","aceae"
"паркинг","acean"
"парламентот","aceanthrene"
"партнер","aceanthrenequinone"
"партнерство","acecaffin"
"парче","acecaffine"
"пат","aceconitic"
"патарина","aced"
"патека","acedy"
"патеката","acedia"
"патент","acediamin"
"патка","acediamine"
"патник","acedias"
"патрола","acediast"
"патува","ace-high"
"патување","Acey"
"пауза","acey-deucy"
"педесет","aceite"
"пее","aceituna"
"пејачка","Aceldama"
"пејзаж","aceldamas"
"пеколот","acellular"
"пензија","Acemetae"
"пензионирање","Acemetic"
"пенкало","acemila"
"пепел","acenaphthene"
"перење","acenaphthenyl"
"период","acenaphthylene"
"перница","acenesthesia"
"персонал","acensuada"
"персоналот","acensuador"
"перспектива","acentric"
"перцепција","acentrous"
"песна","aceology"
"песок","aceologic"
"пет","aceous"
"пета","acephal"
"пети","Acephala"
"петиција","acephalan"
"петнаесет","Acephali"
"петок","acephalia"
"петти","Acephalina"
"печат","acephaline"
"печатење","acephalism"
"печете","acephalist"
"печка","Acephalite"
"пешкир","acephalocyst"
"пештера","acephalous"
"пиво","acephalus"
"пиење","acepots"
"пијан","acequia"
"пијано","acequiador"
"пијат","acequias"
"пилешко","Acer"
"пилот","Aceraceae"
"пилула","aceraceous"
"пиратски","Acerae"
"писател","Acerata"
"писменоста","acerate"
"писмо","acerated"
"пита","Acerates"
"пица","acerathere"
"пиштол","Aceratherium"
"пишуваат","aceratosis"
"пишување","acerb"
"пладне","Acerbas"
"плажа","acerbate"
"плаќање","acerbated"
"плакарот","acerbates"
"пламен","acerbating"
"план","acerber"
"планета","acerbest"
"планина","acerbic"
"планирање","acerbically"
"пластика","acerbity"
"плата","acerbityacerose"
"плати","acerbities"
"платно","acerbitude"
"платформа","acerbly"
"плаче","acerbophobia"
"плевел","acerdol"
"племенски","aceric"
"племето","acerin"
"плескавица","acerli"
"пливаат","acerola"
"плик","acerolas"
"плима","acerose"
"плитки","acerous"
"плови","acerra"
"плукаат","acers"
"Плус","acertannin"
"по","acerval"
"побарување","acervate"
"побарувачката","acervately"
"победа","acervatim"
"победи","acervation"
"победник","acervative"
"побрзај","acervose"
"побрзо","acervuli"
"повеќе","acervuline"
"повеќекратна","acervulus"
"повеќето","aces"
"повелба","ace's"
"повикувач","acescence"
"повлечете","acescency"
"поврати","acescent"
"повреда","acescents"
"повреден","aceship"
"повреди","Acesius"
"повремени","acesodyne"
"повремено","acesodynous"
"поврзани","Acessamenus"
"поврзете","Acestes"
"поврзување","acestoma"
"површина","acet-"
"повторете","aceta"
"повторно","acetable"
"поглавје","acetabula"
"поглед","acetabular"
"погледнете","Acetabularia"
"погледот","acetabuliferous"
"погоди","acetabuliform"
"погоре","acetabulous"
"погреб","acetabulum"
"погрешно","acetabulums"
"под","acetacetic"
"подалеку","acetal"
"подарок","acetaldehydase"
"податоци","acetaldehyde"
"подготвени","acetaldehydrase"
"подготвеност","acetaldol"
"подготви","acetalization"
"подготовка","acetalize"
"поддржувач","acetals"
"поддржувачки","acetamid"
"поддршка","acetamide"
"подеднакво","acetamidin"
"поделба","acetamidine"
"подели","acetamido"
"подемот","acetamids"
"подигнете","acetaminol"
"подлога","Acetaminophen"
"подложени","acetanilid"
"поднесете","acetanilide"
"подобни","acetanion"
"подобрена","acetaniside"
"подобри","acetanisidide"
"подобро","acetanisidine"
"подобрување","acetannin"
"подолу","acetary"
"подот","acetarious"
"подоцна","acetars"
"подреди","acetarsone"
"подрум","acetate"
"поезијата","acetated"
"поет","acetates"
"поза","acetation"
"позадина","acetazolamide"
"позајми","acetbromamide"
"поздрави","acetenyl"
"позитивен","Acetes"
"позиција","acethydrazide"
"познат","acetiam"
"поим","acetic"
"поинаку","acetify"
"појадок","acetification"
"појас","acetified"
"покажуваат","acetifier"
"покана","acetifies"
"покани","acetifying"
"покрај","acetyl"
"покривот","acetylacetonates"
"покриеност","acetylacetone"
"покритие","acetylamine"
"Поле","acetylaminobenzene"
"полека","acetylaniline"
"полемика","acetylasalicylic"
"ползи","acetylate"
"политика","acetylated"
"политичар","acetylating"
"политички","acetylation"
"полица","acetylative"
"полицаец","acetylator"
"полицијата","acetylbenzene"
"полковник","acetylbenzoate"
"полн","acetylbenzoic"
"полно","acetylbiuret"
"полноќ","acetylcarbazole"
"половина","acetylcellulose"
"полот","acetylcholine"
"помагаат","acetylcholinesterase"
"помагала","acetylcholinic"
"помалку","acetylcyanide"
"помеѓу","acetylenation"
"помине","acetylene"
"поминување","acetylenediurein"
"помлади","acetylenes"
"помош","acetylenic"
"помошник","acetylenyl"
"понатаму","acetylenogen"
"понеделник","acetylfluoride"
"понекогаш","acetylglycin"
"пониско","acetylglycine"
"понуда","acetylhydrazine"
"поп","acetylic"
"попис","acetylid"
"поплава","acetylide"
"попладне","acetyliodide"
"пополнете","acetylizable"
"поправете","acetylization"
"поправка","acetylize"
"попрво","acetylized"
"популарна","acetylizer"
"популарност","acetylizing"
"популација","acetylmethylcarbinol"
"попуст","acetylperoxide"
"поради","acetylphenylhydrazine"
"пораз","acetylphenol"
"порака","acetylrosaniline"
"порамни","acetyls"
"поранешен","acetylsalicylate"
"пороѓај","acetylsalicylic"
"порок","acetylsalol"
"поротник","acetyltannin"
"порта","acetylthymol"
"портокалова","acetyltropeine"
"портпарол","acetylurea"
"портрет","acetimeter"
"портфолио","acetimetry"
"поручник","acetimetric"
"посветат","acetin"
"посветеност","acetine"
"посвојување","acetins"
"посебен","acetite"
"поседуваат","acetize"
"поседување","acetla"
"посета","acetmethylanilide"
"посетител","acetnaphthalide"
"после","aceto-"
"последен","acetoacetanilide"
"последица","acetoacetate"
"последователни","acetoacetic"
"последователните","acetoamidophenol"
"послужете","acetoarsenite"
"послужување","Acetobacter"
"посно","acetobenzoic"
"пост","acetobromanilide"
"поставување","acetochloral"
"постапка","acetocinnamene"
"постепено","acetoin"
"постер","acetol"
"постигне","acetolysis"
"постоење","acetolytic"
"постоечки","acetometer"
"постојана","acetometry"
"постојано","acetometric"
"постојат","acetometrical"
"пот","acetometrically"
"потврди","acetomorphin"
"потекло","acetomorphine"
"потенцијал","acetonaemia"
"потенцијално","acetonaemic"
"потера","acetonaphthone"
"поткопуваат","acetonate"
"потоа","acetonation"
"поток","acetone"
"потокот","acetonemia"
"потпис","acetonemic"
"потрага","acetones"
"потреба","acetonic"
"потребно","acetonyl"
"потроши","acetonylacetone"
"потрошувачката","acetonylidene"
"потрошувачот","acetonitrile"
"потсети","acetonization"
"потсетиме","acetonize"
"потсетник","acetonuria"
"поттик","acetonurometer"
"поттикнуваат","acetophenetide"
"потфат","acetophenetidin"
"пофалби","acetophenetidine"
"почва","acetophenin"
"почетна","acetophenine"
"почеток","acetophenone"
"почит","acetopiperone"
"почитуваат","acetopyrin"
"почнувајќи","acetopyrine"
"пошта","acetosalicylic"
"правдата","acetose"
"правилно","acetosity"
"правило","acetosoluble"
"право","acetostearin"
"правопис","acetothienone"
"праг","acetotoluid"
"празен","acetotoluide"
"празник","acetotoluidine"
"празно","acetous"
"практичар","acetoveratrone"
"практични","acetoxyl"
"практично","acetoxyls"
"пратеник","acetoxim"
"прашај","acetoxime"
"прашалник","acetoxyphthalide"
"прашање","acetphenetid"
"прашина","acetphenetidin"
"прашок","acetract"
"првенствено","acettoluide"
"првенство","acetum"
"прво","aceturic"
"пребарување","ACF"
"преведи","ACGI"
"превенција","ac-globulin"
"превиди","ACH"
"превиткување","Achab"
"превод","Achad"
"превртување","Achaea"
"преглед","Achaean"
"преговараат","Achaemenes"
"преговарање","Achaemenian"
"прегратка","Achaemenid"
"пред","Achaemenidae"
"предаваат","Achaemenides"
"предавање","Achaemenidian"
"предатор","Achaemenids"
"предвидуваат","achaenocarp"
"предвидување","Achaenodon"
"предградие","Achaeta"
"предизвик","achaetous"
"предлог","Achaeus"
"предложен","achafe"
"предложи","achage"
"предмет","Achagua"
"предност","Achaia"
"предок","Achaian"
"предупредуваат","Achakzai"
"предупредување","achalasia"
"преживеан","Achamoth"
"преживее","Achan"
"преживување","Achango"
"преземаат","achape"
"преземете","achaque"
"презентација","achar"
"прекинат","acharya"
"прекинувач","Achariaceae"
"прекрасен","Achariaceous"
"прекрасна","acharne"
