"Thai","English"
"ทักษิณกานนท์","aivr"
"นางกลางเมือง","aiwain"
"ยาวเส้นรัศมี","aiwan"
"บ้านการเรือน","aywhere"
"ทำให้เป็นกรด","AIX"
"ตั้งชื่อใหม่","Aix-en-Provence"
"การติดเหยื่อ","Aix-la-Chapelle"
"สกุลแคนเซอร์","Aix-les-Bains"
"มือสีไวโอลิน","aizle"
"กระจ่างโพธิ์","Aizoaceae"
"วัตถุประสงค์","aizoaceous"
"ปัญหาลับสมอง","Aizoon"
"ม้าดีดกะโหลก","AJ"
"พิสูจน์ฝีมือ","AJA"
"เป็นเนื้อตาย","Ajaccio"
"อย่างประหลาด","Ajay"
"ณรงค์ฤทธิเดช","Ajaja"
"ไม่ถูกโรคกัน","ajangle"
"ศึกกลางเมือง","Ajani"
"ปิตามหัยยิกา","Ajanta"
"แผ่นดินพิโรธ","ajar"
"แร่ซินนาบาร์","ajari"
"ห้างหุ้นส่วน","Ajatasatru"
"ตามเหตุการณ์","ajava"
"อย่างเด็ดขาด","Ajax"
"อาหารบุฟเฟต์","AJC"
"พระราชปณิธาน","ajee"
"เจอร์เมเนียม","ajenjo"
"คะแนนเสมอกัน","ajhar"
"กฎมณเฑียรบาล","ajimez"
"นักสัทศาสตร์","Ajit"
"ห้องอบไอร้อน","ajitter"
"ตั้งเงื่อนไข","ajiva"
"สมัยปัจจุบัน","ajivas"
"กระเปาะเหลาะ","Ajivika"
"สุนัขจิ้งจอก","Ajmer"
"สิ่งชั่วร้าย","Ajo"
"ปล่อยของเสีย","Ajodhya"
"ปุ๋ยอินทรีย์","ajog"
"ทำให้เป็นรอย","ajoint"
"เครื่องหว่าน","ajonjoli"
"เสื้อขนมิงค์","ajoure"
"พึ่งพาอา่ศัย","ajourise"
"สัญญาณตอบรับ","ajowan"
"เป็นนิรันดร์","ajowans"
"ยอมถูกซักฟอก","Ajuga"
"ไม่ได้เรื่อง","ajugas"
"ตัวตั้งตัวตี","ajutment"
"หมายกำหนดการ","AK"
"นาวีสัมพันธ์","AKA"
"ทิพยจักษุญาณ","akaakai"
"ทำให้บาดเจ็บ","Akaba"
"เครื่องเหล็ก","Akademi"
"ของที่ได้รับ","Akal"
"ฟิล์มถ่ายรูป","akala"
"หัวหน้ากลุ่ม","Akali"
"ปรารถนารักษ์","akalimba"
"คนปลูกต้นไม้","akamai"
"การปลูกเชื้อ","akamatsu"
"สเก็ตน้ำอุ่น","Akamnik"
"กะล่อมกะแล่ม","Akan"
"สวยหยาดเยิ้ม","Akanekunik"
"บรรลือศักดิ์","Akania"
"เบอร์คีเลียม","Akaniaceae"
"เก้าสันเทียะ","Akanke"
"นักสู้ผู้ชนะ","akaroa"
"นั่งพับเพียบ","akasa"
"บุหงาลำเจียก","akasha"
"การคิดวางแผน","Akaska"
"เหรียญอีเกิล","Akas-mukhi"
"ระเบียบวินัย","Akawai"
"เมืองชัยภูมิ","akazga"
"ชิงดีชิงเด่น","akazgin"
"การต้อนสัตว์","akazgine"
"คุยโม้โอ้อวด","Akbar"
"มะเร็งกระดูก","AKC"
"เอลซัลวาดอร์","akcheh"
"ประสัยหาวหาร","ake"
"ศฤงคารกุลกิจ","akeake"
"ชามข้าวสุนัข","akebi"
"ช่างแต่งหน้า","Akebia"
"ลาภอุดมศักดา","aked"
"ภาษาเดนมาร์ก","akee"
"ระบบเสียงสระ","akees"
"อย่างล้อเล่น","akehorne"
"ทุกซอกทุกมุม","akey"
"พุทธุปบาทกาล","Akeyla"
"อะแซหวุ่นกี้","Akeylah"
"การวิ่งเหยาะ","akeki"
"ประหลาดใจมาก","Akel"
"ความบ้าคลั่ง","Akela"
"สัทธิวิหาริก","akelas"
"อย่างเสียดสี","Akeldama"
"เคลื่อนไปยัง","Akeley"
"สถานะของเหลว","akemboll"
"ความศิวิไลซ์","akenbold"
"ยกย่องนับถือ","akene"
"ยืนเคียงข้าง","akenes"
"ไม่อย่างนั้น","akenobeite"
"อย่างสุ่มเดา","akepiro"
"หนังสือขายดี","akepiros"
"ฝ่ายสนับสนุน","Aker"
"ซึ่งโมโหง่าย","Akerboom"
"อินเซกติไซด์","akerite"
"อย่างเจ็บแสบ","Akerley"
"สังข์สูงเนิน","Akers"
"ติ้วใบเลื่อม","aketon"
"ซึ่งเสียเวลา","Akh"
"คนต่างประเทศ","Akha"
"สังคมชั้นสูง","Akhaia"
"ที่เลือกเฟ้น","akhara"
"หมายเลขโฟกัส","Akhenaten"
"การรวมตัวกัน","Akhetaton"
"สถานะของสสาร","akhyana"
"ทำให้กลมกลืน","Akhisar"
"บูรณปฏิสังขร","Akhissar"
"คณะรัฐประหาร","Akhlame"
"ริทึมเซคชั่น","Akhmatova"
"อย่างสุขสบาย","Akhmimic"
"จำนวนสามเท่า","Akhnaton"
"เป็นครั้งแรก","akhoond"
"กริยาวิเศษณ์","akhrot"
"กระมอมกระแมม","akhund"
"ธุรกิจค้าส่ง","akhundzada"
"ระเบิดอารมณ์","Akhziv"
"แก้วสุรินทร์","akia"
"สถานเริงรมย์","Akyab"
"นันทิสันติผล","Akiachak"
"รัฐอาร์คันซอ","Akiak"
"สิทธิถือครอง","Akiba"
"การกเรียกขาน","Akihito"
"พยาธิในลำไส้","Akiyenik"
"ซึ่งยืดหยุ่น","Akili"
"จารีตประเพณี","Akim"
"ทางเดินหายใจ","akimbo"
"กิตติวราภรณ์","Akimovsky"
"เสริมภัทรชัย","Akin"
"ชั้นบรรยากาศ","akindle"
"วิสัญญีแพทย์","akinesia"
"ความเข้มแข็ง","akinesic"
"ธาตุแฮฟเนียม","akinesis"
"หัวข้อเรื่อง","akinete"
"กรอบหน้าต่าง","akinetic"
"แมสซาชูเซตส์","aking"
"การมีหนี้สิน","Akins"
"เนื้อนกกระทา","Akira"
"วิมลจิตรสอาด","Akiskemikinik"
"โครมาโทกราฟี","Akita"
"คุณพ่ออธิการ","Akka"
"สิ่งดึงดูดใจ","Akkad"
"ศรีจุฑารัตน์","Akkadian"
"ประกาศสงคราม","Akkadist"
"ทำให้เปิดออก","Akkerman"
"เข้าครอบครอง","Akkra"
"อาหารหนึ่งคำ","Aklog"
"ปริตตะอาชีวะ","akmite"
"คนมีพรสวรรค์","Akmolinsk"
"เสียงโซปราโน","akmudar"
"ริบทรัพย์สิน","akmuddar"
"ความปั่นป่วน","aknee"
"ตีนถีบปากกัด","aknow"
"บทบรรณาธิการ","ako"
"ซึ่งล้มละลาย","akoasm"
"เกียรติโพธิ์","akoasma"
"กระติ๊ดหนึ่ง","akolouthia"
"ผู้เล่นสำรอง","akoluthia"
"เสียงส่วนมาก","akonge"
"นอนเหยียดกาย","Akontae"
"เขบ็ดสองชั้น","Akoulalion"
"ทวีพรเกษมสุข","akov"
"สถิติประชากร","akpek"
"พิพากษาลงโทษ","Akra"
"ละครโทรทัศน์","Akrabattine"
"สิ่งที่ได้มา","akre"
"ระดับความลึก","akroasis"
"ทิพย์ผเนศวร์","akrochordite"
"การยกสูงขึ้น","Akron"
"ทำให้ซับซ้อน","akroter"
"เจริญวราวุฒิ","akroteria"
"อย่างเลวร้าย","akroterial"
"เข้ามาข้างใน","akroterion"
"ธาตุฟลูโอรีน","akrteria"
"ใหญ่แก่นทราย","Aksel"
"มีค่าเท่ากับ","Aksoyn"
"แพร่งสุวรรณ์","Aksum"
"สาวบริสุทธิ์","aktiebolag"
"เคหะร่มเกล้า","Aktiengesellschaft"
"ที่ใกล้มาถึง","Aktistetae"
"บานไม่รู้โรย","Aktistete"
"โพนเมืองหล้า","Aktyubinsk"
"หลอดเลือดฝอย","Aktivismus"
"รูปชั่วตัวดำ","Aktivist"
"การให้นมเด็ก","aku"
"วิทูรพิพัฒน์","akuammin"
"อาจารย์พิเศษ","akuammine"
"คนเห็นแก่ตัว","akule"
"กะชึ่กกะชั่ก","akund"
"สัตตาหกรณียะ","Akure"
"สเตพานาแกร์ต","Akutagawa"
"ที่ทุรกันดาร","Akutan"
"พระอารามหลวง","akvavit"
"กาญจนจิรวงศ์","akvavits"
"ซึ่งมีร่มเงา","Akwapim"
"ทำให้สูญเสีย","al"
"เสียงเปรี้ยะ","al-"
"เพียงคนเดียว","al."
"กระบอกลูกสูบ","ALA"
"คณะครุศาสตร์","Ala."
"ระบบเตือนภัย","Alabama"
"อกัปปิยวัตถุ","Alabaman"
"ทำให้ขวยเขิน","Alabamian"
"จุลชีพก่อโรค","alabamians"
"ดวงจันทะโคตร","alabamide"
"คุยข่มคนอื่น","alabamine"
"ต่อว่าต่อขาน","alabandine"
"เขียนโคกกรวด","alabandite"
"คาบลูกคาบดอก","alabarch"
"จังหวัดเขตต์","Alabaster"
"อย่างมีศิลป์","alabasters"
"เสียงพยัญชนะ","alabastoi"
"บริหารจัดการ","alabastos"
"น้ำตาลเฮกโซส","alabastra"
"คุยนักคุยหนา","alabastrian"
"โรคจิตประสาท","alabastrine"
"คนถีบจักรยาน","alabastrites"
"งานเทคโนโลยี","alabastron"
"รวมเป็นหนึ่ง","alabastrons"
"ทำให้เป็นทาง","alabastrum"
"อย่างเหมาะสม","alabastrums"
"แน่นเหนียวผา","alablaster"
"เข้านอกออกใน","alacha"
"สาธารณสมบัติ","alachah"
"ถาวรประดิษฐ์","Alachua"
"ก๊าซไนโตรเจน","alack"
"ไม่คิดมูลค่า","alackaday"
"เหมรัตนานนท์","alacran"
"เครื่องพิมพ์","alacreatine"
"ยุครุ่งเรือง","alacreatinin"
"แผงหน้าปัดรถ","alacreatinine"
"การฆ่าพ่อแม่","alacrify"
"สันทัดจัดเจน","alacrious"
"ธนบวรเกียรติ","alacriously"
"สาธุประดิษฐ์","alacrity"
"กระโดกกระเดก","alacrities"
"รักษาความลับ","alacritous"
"อย่างมีทักษะ","Alactaga"
"ผู้จัดการทีม","alada"
"นามานุศาสตร์","Aladdin"
"ปัจโจปการกิจ","Aladdinize"
"ขุดบ่อล่อปลา","Aladfar"
"การขับไล่ออก","Aladinist"
"ประตูเข้าออก","alae"
"ผู้จัดรายการ","alagao"
"ตัวประกอบฉาก","alagarto"
"ดาวนพเคราะห์","alagau"
"อรุณรัตนพงษ์","Alage"
"รู้เรื่องราว","Alagez"
"ที่ต่ำที่สูง","Alagoas"
"ใบมาร์โ่จแรม","Alagoz"
"แหล่งเงินทุน","alahee"
"ตกตะกอนน้ำพา","Alai"
"โนตารีปับลิก","alay"
"การเขียนโค้ด","alaihi"
"ตีสุดแรงเกิด","Alain"
"สักประเดี๋ยว","Alaine"
"กระตรกกระตรำ","Alayne"
"ตรีเพชรทัณฑี","Alain-Fournier"
"ป้ายเตือนภัย","Alair"
"ผู้บริสุทธิ์","alaite"
"พันธุ์ศาสตร์","Alakanuk"
"อบรมบ่มนิสัย","Alake"
"ตัวตายตัวแทน","Alaki"
"อันเดอร์แวร์","Alala"
"เหรียญคราวน์","Alalcomeneus"
"กองกำลังทหาร","alalia"
"เพลงเทพสดุดี","alalite"
"คลอเลสเตอรอล","alaloi"
"การโหยหาอดีต","alalonga"
"ศักดิ์ศาสตร์","alalunga"
"อิ่มสันเทียะ","alalus"
"ความกลัวเกรง","Alamance"
"บุญพรรคนาวิก","Alamanni"
"ตาลีตาเหลือก","Alamannian"
"ฟื้นความหลัง","Alamannic"
"มะงุมมะงาหรา","alambique"
"ประชิตครบุรี","Alameda"
"ติดต่อสอบถาม","alamedas"
"ชาวอะบอริจิน","Alamein"
"การแสดงจำอวด","Alaminos"
"เจียมกะลาหัว","alamiqui"
"ห้องพระบรรทม","alamire"
"พงษ์หัสบรรณ์","Alamo"
"ขาดมนุษยธรรม","alamodality"
"ดำเนินเรื่อง","alamode"
"เส้นใยแคนวาส","alamodes"
"งานโดยทั่วไป","Alamogordo"
"กระแสรับสั่ง","alamonti"
"หลอดลมอักเสบ","alamort"
"เถียงไม่ขึ้น","alamos"
"ศรีศุภลักษณ์","Alamosa"
"พัฒนประดิษฐ์","alamosite"
"ข้อต่อมุมฉาก","Alamota"
"ตำแหน่งผู้นำ","alamoth"
"เขตเลือกตั้ง","Alan"
"รักบี้ฟุตบอล","Alana"
"ยุทธวานิชกุล","Alan-a-dale"
"อย่างชอบธรรม","Alanah"
"ภูมิสถาปัตย์","Alanbrooke"
"เกิดกลิ่นหอม","Aland"
"อาการท้องผูก","alands"
"โบกไม้โบกมือ","Alane"
"แสดงพฤติกรรม","alang"
"กะบ่อนกะแบ่ม","alang-alang"
"กะบ่อนกะแบ่น","alange"
"ทุนเรือนหุ้น","Alangiaceae"
"ช้างประสานงา","alangin"
"อุตรกุรุทวีป","alangine"
"เหตุอัศจรรย์","Alangium"
"กระบิดกระบวน","alani"
"หนองบัวระเหว","alanyl"
"เพลี้ยต้นไม้","alanyls"
"กะลังตังช้าง","alanin"
"มาเฟียอิตาลี","alanine"
"สิรินธรวัลลี","alanines"
"มาตามหัยยิกา","alanins"
"การชกหมัดฮุค","Alanna"
"อรุณแสงศิลป์","alannah"
"แร่ธาตุวิทยา","Alano"
"ประเสบันอากง","Alanreed"
"งานเฉลิมฉลอง","Alans"
"เข้ามาคุกคาม","Alansen"
"ผู้ด้อยโอกาส","Alanson"
"เก้าอี้ดนตรี","alant"
"ลดความรุนแรง","alantic"
"ทำให้พ่ายแพ้","alantin"
"หัตถะปะนิตย์","alantol"
"องค์การทอผ้า","alantolactone"
"ธนิตถิรเจตน์","alantolic"
"พนักงานขับรถ","alants"
"กะล่อยกะหลิบ","ALAP"
"ปราศจากมลทิน","alapa"
"บาดเจ็บสาหัส","Alapaha"
"พระสันตะปาปา","Alar"
"สเปกโทรเมตรี","Alarbus"
"โค้งผิดปรกติ","Alarcon"
"อัยการสูงสุด","Alard"
"ความเป็นมิตร","alares"
"ความคิดอกุศล","alarge"
"ช่วงพักครึ่ง","alary"
"บุญญาธิสมภาร","Alaria"
"วิไชยคำมาตย์","Alaric"
"กระซิกกระซี้","Alarice"
"สามารถให้ได้","Alarick"
"ทำลายเกียรติ","Alarise"
"ไอน์สไตเนียม","alarm"
"เป็นวีรบุรุษ","alarmable"
"ศุภกมลเสนีย์","alarmclock"
"กวัดไกวไสส่ง","alarmed"
"อย่างยั่งยืน","alarmedly"
"ชื้นสัมบูรณ์","alarming"
"ควบคุมคุณภาพ","alarmingly"
"ปล่อยให้เข้า","alarmingness"
"ปราบไพรินทร์","alarmism"
"อินทรียสังวร","alarmisms"
"หน่วยงานย่อย","alarmist"
"เลือกปฏิบัติ","alarmists"
"การเชื้อเชิญ","alarms"
"หอสุวรรณจิตร","Alarodian"
"แผนผังตระกูล","alarum"
"ทัวร์นาเมนต์","alarumed"
"เป็นปลิดทิ้ง","alaruming"
"ที่ตั้งแคมป์","alarums"
"อาตมียะนันท์","Alas"
"ตื่นพระบรรทม","Alas."
"เครื่องบดแร่","alasas"
"โต๊ะเขียนแบบ","Alascan"
"อย่างยากเข็ญ","Alasdair"
"ศัพท์บัญญัติ","Alaska"
"ลิ้มเล็งเลิศ","alaskaite"
"ดอกไม้จันทน์","Alaskan"
"ต้นมะเขือเทศ","alaskans"
"วิชาวรรณกรรม","alaskas"
"พุ่มไพศาลชัย","alaskite"
"ช้างเท้าหน้า","Alastair"
"ใส่ฟลูออไรด์","Alasteir"
"สัมประสิทธิ์","Alaster"
"แม่พิมพ์หล่อ","Alastor"
"หน่วยเงินตรา","alastors"
"ใช้เวลาในคุก","alastrim"
"บัญชีเงินฝาก","alate"
"ภัทรจุฑาภรณ์","Alatea"
"ทันทีทันควัน","alated"
"โชคพระสมบัติ","alatern"
"นฤพันธาวาทย์","alaternus"
"การลื่นหกล้ม","alates"
"ม้ายูนิคอร์น","Alathia"
"โปรแกรมค้นดู","alation"
"เปลี่ยนเสื้อ","alations"
"การด้อยโอกาส","Alauda"
"เจ้าชายปารีส","Alaudidae"
"ความตื้นเขิน","alaudine"
"เปล่าเปลี่ยว","alaund"
"เดชไชยอนุกิจ","Alaunian"
"เพนซิลวาเนีย","alaunt"
"ล่องหนหายตัว","Alawi"
"เพิ่มมากขึ้น","alazor"
"ถึงไหนถึงกัน","Alb"
"ทำให้เปลี่ยน","Alb."
"ชาวคริสเตียน","Alba"
"ชักชวนขายได้","albacea"
"น้ำมันชักเงา","Albacete"
"การบินเดี่ยว","albacora"
"ตู้ที่มีชั้น","albacore"
"เมื่อครู่นี้","albacores"
"บ้านพักคนชรา","albahaca"
"อินทร์ทองสุข","Albay"
"วิจัยพื้นฐาน","Albainn"
"ไม้เนื้อแข็ง","Albamycin"
"ความสึกกร่อน","Alban"
"สำนักวาติกัน","Albana"
"ได้รับรายได้","Albanenses"
"รู้สึกเสียใจ","Albanensian"
"วิชาโบราณคดี","Albanese"
"กองเกียรติยศ","Albany"
"แกลดิเอเตอร์","Albania"
"ดูหมิ่นศาสนา","Albanian"
"เปรี้ยงปร้าง","albanians"
"กระจกแต่งตัว","albanite"
"ซึ่งเห็นด้วย","albarco"
"เขียนหนังสือ","albardine"
"ก้มหน้าก้มตา","albarelli"
"สาขาสำนักงาน","albarello"
"ปะหงับปะง่อน","albarellos"
"เช่นเดียวกัน","albarium"
"เช่นเดียวกับ","Albarran"
"ระบบโทรทัศน์","albas"
"กะพรูดกะพราด","albaspidin"
"เกริ่นกระโทก","albata"
"นาคประสิทธิ์","albatas"
"ตั้งงบประมาณ","Albategnius"
"ที่เพิ่มขึ้น","albation"
"บัตรประจำตัว","Albatros"
"แม่ค้าหาบเร่","albatross"
"ปิดการประชุม","albatrosses"
"ดาวน์ซินโดรม","albe"
"เส้นทางชีวิต","albedo"
"มั่นใจตัวเอง","albedoes"
"นักเต้นอาชีพ","albedograph"
"วางบนที่นั่ง","albedometer"
"ความเฉื่อยชา","albedos"
"สีน้ำตาลเข้ม","Albee"
"นรีเวชศาสตร์","albeit"
"เล่ห์เหลี่ยม","Albemarle"
"ลอว์เรนเซียม","Alben"
"โรคแมลงปรสิต","Albeniz"
"ผู้รับประทาน","Alber"
"ซึ่งไร้ชีวิต","alberca"
"สิ่งเเวดล้อม","Alberene"
"ยกระดับจิตใจ","albergatrice"
"เจ็ดชั่วโคตร","alberge"
"ผู้แสดงผลงาน","alberghi"
"วงค์ปิ่นแก้ว","albergo"
"สิ่งแปลกใหม่","Alberic"
"ซึ่งสิ้นหวัง","Alberich"
"ช่วงเริ่มต้น","Alberik"
"พ่อค้าส่งออก","Alberoni"
"ไล่ออกจากงาน","Albers"
"ไฮโดรเจนหนัก","Albert"
"ค้าของเถื่อน","Alberta"
"การทำให้แข็ง","Alberti"
"การหมุนเวียน","albertin"
"ปากกาลูกลื่น","Albertina"
"ชั่วนิรันดร์","Albertine"
"มาถึงชายฝั่ง","Albertinian"
"ออกเสียงโฆษะ","albertype"
"ความไม่ลงรอย","Albertist"
"ไม่ช้าก็เร็ว","albertite"
"สัตว์เพศเมีย","Albertlea"
"อย่างน่าพอใจ","Alberto"
"อย่างสนิทสนม","Alberton"
"นักวิเคราะห์","Albertson"
"พรหมพันธกรณ์","alberttype"
"หมิ่นเกียรติ","albert-type"
"เลขจำนวนเต็ม","albertustaler"
"โหดร้ายทารุณ","Albertville"
"ความเศร้าโศก","albescence"
"ทำหน้าที่แทน","albescent"
"ผู้ช่วยเหลือ","albespine"
"แร่วุลฟีไนต์","albespyne"
"งานฌาปนกิจศพ","albeston"
"ที่เป็นไปได้","albetad"
"อนันตมงคลกุล","Albi"
"โรคแอนแทรกซ์","Alby"
"หันจางสิทธิ์","Albia"
"สมรู้ร่วมคิด","Albian"
"ไซโทสเคเลทัน","albicans"
"กรมการปกครอง","albicant"
"เป็นการสมควร","albication"
"สุวรรณกนกนาค","albicore"
"นมถั่วเหลือง","albicores"
"กลุ่มผู้หญิง","albiculi"
"รองเท้าดำน้ำ","Albie"
"สาหัสสากรรจ์","albify"
"กล้ำกระเลือก","albification"
"ผู้เชี่ยวชาญ","albificative"
"พญาช้างเผือก","albified"
"อาการปวดเบ่ง","albifying"
"อาการหลับลึก","albiflorous"
"คอนทราดิกชัน","Albigenses"
"อะยาโตเลาะห์","Albigensian"
"ลอยหน้าลอยตา","Albigensianism"
"ของใช้จำเป็น","Albin"
"ผู้ออกคำสั่ง","Albyn"
"ภาษาระดับสูง","Albina"
"ครอบปากสุนัข","albinal"
"ศาสตร์การบิน","albines"
"การใส่คลอรีน","albiness"
"อย่างโดดเด่น","albinic"
"คนเลี้ยงเด็ก","albinism"
"ข่าวในประเทศ","albinisms"
"ชาวราศีเมถุน","albinistic"
"ประสาทเปลี้ย","albino"
"สงบเรียบร้อย","albinoism"
"เสื่อมศรัทธา","Albinoni"
"การเล่นฟาวล์","albinos"
"ที่มีผมสีเทา","albinotic"
"ซึ่งวางใจได้","albinuria"
"เมืองโมทาวน์","Albinus"
"โด่ไม่รู้ล้ม","Albion"
"สืบวงศ์คล้าย","Albireo"
"อย่างนุ่มนวล","albite"
"ที่ยอดเยี่ยม","albites"
"ค่าธรรมเนียม","albitic"
"กุ้งก้ามกราม","albitical"
"ผู้รับประกัน","albitite"
"ไฮโกรมิเตอร์","albitization"
"ไม่ชอบมาพากล","albitophyre"
"ศิลปินสีำน้ำ","albizia"
"เชิดหน้าชูตา","albizias"
"ล้มระเนระนาด","Albizzia"
"ตลาดกลางแจ้ง","albizzias"
"สภาพการทดลอง","ALBM"
"ซึ่งเป็นโคลน","Albniz"
"หน้าการเมือง","ALBO"
"ขัดแข้งขัดขา","albocarbon"
"เริ่มต้นใหม่","albocinereous"
"อย่างทันควัน","Albococcus"
"คอนคอร์แดนซ์","albocracy"
"ยืนด้วยศีรษะ","Alboin"
"ทำให้หมดสิ้น","albolite"
"เครื่องนำทาง","albolith"
"เมืองสุโขทัย","albopannin"
"คนในหมู่บ้าน","albopruinose"
"สงครามชีวภาพ","alborada"
"เซอร์โคเนียม","alborak"
"เก็บใส่กุญแจ","Alboran"
"ใจเหี่ยวแห้ง","alboranite"
"การไม่ยอมรับ","Alborn"
"ขึ้นสังเวียน","Albrecht"
"ใหญ่โตมโหฬาร","Albric"
"นักเลงหัวไม้","albricias"
"ทาด้วยน้ำมัน","Albright"
"มาฆะศิรานนท์","Albrightsville"
"ปุ๋ยไนโตรเจน","albronze"
"ด้านวัฒนธรรม","Albruna"
"ฝ่ายเป็นกลาง","albs"
"ชื้นสัมพัทธ์","Albuca"
"ตั้งนั่งร้าน","Albuginaceae"
"ปลอกนิ้วเท้า","albuginea"
"การมีกำลังใจ","albugineous"
"มาสเตอร์คีย์","albugines"
"คอนโทรลเลอร์","albuginitis"
"พระภิกษุสงฆ์","albugo"
"ช่างดัดเหล็ก","album"
"เสงี่ยมรัตน์","albumean"
"ซึ่งมีเปลือก","albumen"
"ลักษณะบ่งชี้","albumeniizer"
"ยิ่งกว่านั้น","albumenisation"
"วงษ์สีดาแก้ว","albumenise"
"ธาตุไทรเทียม","albumenised"
"การเสวยราชย์","albumeniser"
"ศิลปะการแสดง","albumenising"
"ศรีศักดิ์นอก","albumenization"
"การให้กำเนิด","albumenize"
"สมองส่วนกลาง","albumenized"
"รูปสลักบนเสา","albumenizer"
"สุวรรณพักตร์","albumenizing"
"ตีชิงวิ่งราว","albumenoid"
"ที่ไม่จำเป็น","albumens"
"ก๊าซโพรพีลีน","albumimeter"
"กระงอดกระแงด","albumin"
"ออกเสียงธนิต","albuminate"
"วงดนตรีสตริง","albuminaturia"
"ซึ่งท้องว่าง","albuminiferous"
"วิจารณ์ตนเอง","albuminiform"
"ศรีไกรเพ็ชร์","albuminimeter"
"เจาะด้วยเข็ม","albuminimetry"
"ความหมกหมุ่น","albuminiparous"
"ของเหลวที่หก","albuminise"
"นาฬิกากันน้ำ","albuminised"
"ญาติโกโหติกา","albuminising"
"อัปรีย์จัญไร","albuminization"
"กระเป๋าไฟฟ้า","albuminize"
"มยุเรศฟ้อนใน","albuminized"
"เพื่อนผู้ชาย","albuminizing"
"กรมสุขภาพจิต","albumino-"
"ที่เปิดกว้าง","albuminocholia"
"แสดงล้อเลียน","albuminofibrin"
"เกล็ดน้ำค้าง","albuminogenous"
"รูปทรงเกลียว","albuminoid"
"สุขภาพอนามัย","albuminoidal"
"รูปหกเหลี่ยม","albuminolysis"
"เส้นลาซานญ่า","albuminometer"
"พฤกษ์วราภรณ์","albuminometry"
"วิทยาภูเขาไฟ","albuminone"
"ทำให้พร่ามัว","albuminorrhea"
"จุฬางค์พัฒน์","albuminoscope"
"มีจังหวะสวิง","albuminose"
"เกษมโชติช่วง","albuminosis"
"กระโชกกระชาก","albuminous"
"จุดศูนย์ถ่วง","albuminousness"
"สมองส่วนหลัง","albumins"
"เครื่องสล็อต","albuminuria"
"สิทธิเข้าใช้","albuminuric"
"หร่องบุตรศรี","albuminurophobia"
"ออกหน้าออกตา","albumoid"
"จัดโครงสร้าง","albumoscope"
"โดยสัญชาตญาณ","albumose"
"แคสซิเทอไรต์","albumoses"
"จิตเงินมะดัน","albumosuria"
"สถานที่วิเวก","albums"
"กล้องถ่ายรูป","Albuna"
"อุตกฤษฏานนท์","Albunea"
"งานกินเลี้ยง","Albuquerque"
"โดยอัตโนมัติ","Albur"
"ประทับวันที่","Alburg"
"เก้าอี้ไฟฟ้า","Alburga"
"อย่างถ่องแท้","Albury"
"กลุ่มผู้อ่าน","alburn"
"แก้วพรสวรรค์","Alburnett"
"สิงสาราสัตว์","alburnous"
"การทำให้สั้น","alburnum"
"หักร้างถางพง","alburnums"
"กระตุ้นเตือน","Alburtis"
"ตันติวาทินกร","albus"
"ความทุพพลภาพ","albutannin"
"ความเร่าร้อน","ALC"
"คณะผู้ติดตาม","Alca"
"หลักกิโลเมตร","Alcaaba"
"การสอดสายยาง","alcabala"
"อย่างใหญ่มาก","alcade"
"ผู้รับสารภาพ","alcades"
"ผู้ดำเนินงาน","Alcae"
"กะรุ่งกะริ่ง","Alcaeus"
"การพิมพ์โลหะ","alcahest"
"ภูิมิต้านทาน","alcahests"
"คอนเด็นเซอร์","Alcaic"
"รูปทรงกระบอก","alcaiceria"
"การวิเคราะห์","Alcaics"
"รอยแผลไฟไหม้","alcaid"
"น่ารับประทาน","alcaide"
"เลิศไชยภัณฑ์","alcayde"
"การทิ้งบอมบ์","alcaides"
"บุญโชติรัตน์","alcaydes"
"เกิดสารละลาย","Alcaids"
"ความเปราะบาง","Alcalde"
"ไม้เนื้ออ่อน","alcaldes"
"การทอยเหรียญ","alcaldeship"
"โปรแกรมจูงใจ","alcaldia"
"แนวอากาศอุ่น","alcali"
"ตำแหน่งเอนด์","Alcaligenes"
"ที่มีราคาต่ำ","alcalizate"
"เวลาปัจจุบัน","Alcalzar"
"เยี่ยมพนมคุณ","alcamine"
"กบไสไม้ไฟฟ้า","Alcandre"
"อนุรักษ์นิยม","alcanna"
"มาตรฐานทองคำ","Alcantara"
"กระฉับกระเฉง","Alcantarines"
"หินเพกมาไทต์","alcapton"
"งูหางกระดิ่ง","alcaptonuria"
"จำนวนที่ลดลง","alcargen"
"น่ามหัศจรรย์","alcarraza"
"ชั้นหลังคารถ","Alcathous"
"เทพจูปีเตอร์","alcatras"
"กางเกงชายหาด","Alcatraz"
"แสดงความจำนง","alcavala"
"ประดิดประดอย","alcazaba"
"คอนเน็กติกัต","Alcazar"
"ภาษาท้องถิ่น","alcazars"
"ใต้เท้ากรุณา","alcazava"
"อักษรตัวเล็ก","alce"
"ที่ไม่ถูกตัด","Alcedines"
"เพ็งสันเทียะ","Alcedinidae"
"พันผ้าพันแผล","Alcedininae"
"สัตว์จำพวกกบ","Alcedo"
"ข่้าวมรณกรรม","alcelaphine"
"สำนักงานสาขา","Alcelaphus"
"นกกระเด้าดิน","Alces"
"หนึ่งส่วนสี่","Alceste"
"เอี่ยมตระกูล","Alcester"
"การชันสูตรศพ","Alcestis"
"เรือนตะเกียง","alchem"
"นายกรัฐมนตรี","alchemy"
"ความอยากสุรา","alchemic"
