"Pashto","English"
"ډول","absinthiating"
"ډولونه","absinthic"
"ډومین","absinthiin"
"ډیپلوماتیک","absinthin"
"ډیټابیس","absinthine"
"ډیجیټل","absinthism"
"ډیر","absinthismic"
"ډیروالی","absinthium"
"ډیری","absinthol"
"ډیزاین","absinthole"
"ډیزاینر","absinths"
"ډیسک","Absyrtus"
"ډیفالټ","absis"
"ډیک","absist"
"ډیموګرافیک","absistos"
"ډیموکراسي","absit"
"ذخیره","absmho"
"ذره","absohm"
"ذکر","absoil"
"ذهن","absolent"
"ذهني","Absolute"
"راپور","absolutely"
"راپورته","absoluteness"
"راتګ","absoluter"
"راتلونکی","absolutes"
"راټولول","absolutest"
"راټولونکی","absolution"
"راجستر","absolutions"
"راحت","absolutism"
"راحته","absolutist"
"راڅرګندېدل","absolutista"
"راځي","absolutistic"
"رادار","absolutistically"
"راډ","absolutists"
"راډیو","absolutive"
"راکټ","absolutization"
"ران","absolutize"
"راوړل","absolutory"
"راوی","absolvable"
"راویښ","absolvatory"
"رایه","absolve"
"رتبه","absolved"
"رجحان","absolvent"
"رحم","absolver"
"رخصتي","absolvers"
"ردول","absolves"
"رژیم","absolving"
"رستورانت","absolvitor"
"رښتیا","absolvitory"
"رسم","absonant"
"رسمي","absonous"
"رسنۍ","absorb"
"رسوایی","absorbability"
"رسول","absorbable"
"رسېدل","absorbance"
"رسۍ","absorbancy"
"رسیدل","absorbant"
"رش","absorbed"
"رضاکار","absorbedly"
"رضایت","absorbedness"
"رکوع","absorbefacient"
"رڼا","absorbency"
"رنځ","absorbencies"
"رنګ","absorbent"
"روان","absorbents"
"روانېدل","absorber"
"رواني","absorbers"
"روبوټ","absorbing"
"روح","absorbingly"
"روحاني","absorbition"
"روږديتوب","absorbs"
"روزنه","absorbtion"
"روزونکی","absorpt"
"روزي","absorptance"
"روښانه","absorptiometer"
"روسي","absorptiometric"
"روغ","absorption"
"روغتون","absorptional"
"روغتیا","absorptions"
"رول","absorption's"
"رولینګ","absorptive"
"رومان","absorptively"
"رومانتيک","absorptiveness"
"رومانس","absorptivity"
"رومي","absquatulate"
"ریاست","absquatulation"
"ریاضی","abstain"
"ریزرویشن","abstained"
"ریزورټ","abstainer"
"ریس","abstainers"
"ریښتینی","abstaining"
"ريښه","abstainment"
"ریک","abstains"
"ریکارډ","abstemious"
"ریل","abstemiously"
"ړنګول","abstemiousness"
"ړوند","abstention"
"زاویه","abstentionism"
"زبردست","abstentionist"
"زخم","abstentions"
"زراعتي","abstentious"
"زره","absterge"
"زړور","absterged"
"زغمل","abstergent"
"زلزله","absterges"
"زما","absterging"
"زمری","absterse"
"زموږ","abstersion"
"زنځیر","abstersive"
"زندان","abstersiveness"
"زنګ","abstertion"
"زنګون","abstinence"
"زنې","abstinences"
"زه","abstinency"
"زهرجن","abstinent"
"زوړ","abstinential"
"زون","abstinently"
"زوی","abstort"
"زیات","abstr"
"زیاتره","abstract"
"زیاتوالی","abstractable"
"زیان","abstracted"
"زیانمنونکي","abstractedly"
"زیتون","abstractedness"
"زیربنا","abstracter"
"زیرمه","abstracters"
"زیږون","abstractest"
"زیږیدلی","abstracting"
"زینه","abstraction"
"ژامه","abstractional"
"ژانر","abstractionism"
"ژاول","abstractionist"
"ژباړه","abstractionists"
"ژبه","abstractions"
"ژر","abstraction's"
"ژړل","abstractitious"
"ژغورل","abstractive"
"ژمن","abstractively"
"ژمنتیا","abstractiveness"
"ژمنه","abstractly"
"ژمی","abstractness"
"ژور","abstractnesses"
"ژورنال","abstractor"
"ژورنالیزم","abstractors"
"ژوروالی","abstractor's"
"ژوند","abstracts"
"ژوندی","abstrahent"
"ژیړ","abstrict"
"ساتل","abstricted"
"ساتنه","abstricting"
"ساتونکی","abstriction"
"ساحل","abstricts"
"ساحلي","abstrude"
"ساحه","abstruse"
"ساختمان","abstrusely"
"ساختماني","abstruseness"
"ساده","abstrusenesses"
"ښار","abstruser"
"ښارګوټی","abstrusest"
"ښاروال","abstrusion"
"ښاري","abstrusity"
"ساړه","abstrusities"
"سازمان","absume"
"ساس","absumption"
"ساعت","absurd"
"ښاغلو","absurder"
"سافټویر","absurdest"
"سالمن","absurdism"
"ساه","absurdist"
"سایټ","absurdity"
"سائډبار","absurdities"
"ښایسته","absurdity's"
"سایکل","absurdly"
"ساینس","absurdness"
"ساینسي","absurds"
"سایه","absurdum"
"ښايي","absvolt"
"سبا","abt"
"سبب","abterminal"
"سبزی","abthain"
"سبسایډي","abthainry"
"سپارښتنه","abthainrie"
"سپارل","abthanage"
"سپانسر","abtruse"
"سپتمبر","Abu"
"سپړنه","abubble"
"سپکاوی","Abu-Bekr"
"سپن","Abucay"
"سپورت","abucco"
"سپوږمکۍ","abuilding"
"سپوږمۍ","Abukir"
"سپی","abuleia"
"سپیر","Abulfeda"
"سپیکر","abulia"
"سپین","abulias"
"ستاسو","abulic"
"ستاینه","abulyeit"
"ستراتیژي","abulomania"
"ستراتیژیک","abumbral"
"سترګې","abumbrellar"
"ستړيا","Abuna"
"ستنه","abundance"
"ستوری","abundances"
"ستونزمن","abundancy"
"ستونزه","abundant"
"ستونی","Abundantia"
"سټایل","abundantly"
"سټریک","abune"
"سټوډیو","abura"
"سټیشن","aburabozu"
"سټیک","aburagiri"
"ښځه","aburban"
"ښخ","Abury"
"سخت","aburst"
"سخي","aburton"
"سر","abusable"
"سراسر","abusage"
"سرپناه","abuse"
"سرتیری","abused"
"سرټکی","abusedly"
"سرجنټ","abusee"
"سرچینه","abuseful"
"سرحد","abusefully"
"سرشمیرنه","abusefulness"
"سرطان","abuser"
"سرعت","abusers"
"سرغړونه","abuses"
"سرکټ","abush"
"سرمایه","abusing"
"سره","abusion"
"سرور","abusious"
"سروې","abusive"
"سږي","abusively"
"سړک","abusiveness"
"سړی","abusivenesses"
"سزا","abut"
"سست","Abuta"
"سطحه","Abutilon"
"سطل","abutilons"
"سفارت","abutment"
"سفر","abutments"
"سفیر","abuts"
"سقط","abuttal"
"سقوط","abuttals"
"سګرټ","abutted"
"ښکار","abutter"
"سکاره","abutters"
"ښکاره","abutter's"
"ښکاري","abutting"
"سکالرشپ","abuzz"
"سکاوت","abv"
"ښکته","abvolt"
"سکتور","abvolts"
"سکرټ","abwab"
"سکریپټ","abwatt"
"سکریچ","abwatts"
"سکرینینګ","ac"
"ښکلا","ac-"
"ښکلول","a-c"
"ښکلی","AC/DC"
"سکه","ACAA"
"سکي","Acacallis"
"ښکیل","acacatechin"
"ښکیلتیا","acacatechol"
"سکیم","Acacea"
"سکین","Acaceae"
"سل","acacetin"
"سلاد","Acacia"
"سلام","Acacian"
"سلایډ","acacias"
"سلپ","acaciin"
"سلطنت","acacin"
"سلنه","acacine"
"سلیم","acad"
"سمبالول","academe"
"سمبول","academes"
"سمت","Academy"
"سمدستي","academia"
"سمندر","academial"
"سمندري","academian"
"سمه","academias"
"سمون","Academic"
"سنا","academical"
"سناتور","academically"
"سناریو","academicals"
"سنت","academician"
"سند","academicians"
"سندرغاړی","academicianship"
"سندره","academicism"
"سنډروم","academics"
"ښه","academie"
"سهار","academies"
"سواد","academy's"
"سوار","academise"
"سواری","academised"
"سوپ","academising"
"سوټ","academism"
"سوځول","academist"
"سوداګر","academite"
"سوداګرۍ","academization"
"ښودل","academize"
"ښودنه","academized"
"سوډا","academizing"
"سوډیم","Academus"
"سور","Acadia"
"سوري","acadialite"
"سوری","Acadian"
"سوله","Acadie"
"سولو","Acaena"
"ښوونځی","acajou"
"ښوونکی","acajous"
"ښوونه","acal"
"سوى","acalculia"
"سویټ","acale"
"سویچ","acaleph"
"سویل","Acalepha"
"سیاره","Acalephae"
"سیاست","acalephan"
"سیاستوال","acalephe"
"سیاسي","acalephes"
"سيال","acalephoid"
"سیالي","acalephs"
"سیسټم","Acalia"
"سیګنال","acalycal"
"سیکسی","acalycine"
"سیکولر","acalycinous"
"سیلاب","acalyculate"
"سیمه","Acalypha"
"سینټ","Acalypterae"
"سیند","Acalyptrata"
"سینڈوچ","Acalyptratae"
"سینسر","acalyptrate"
"سینګ","Acamar"
"سينه","Acamas"
"سینه","Acampo"
"سیوري","acampsia"
"شات","acana"
"شاته","acanaceous"
"شاخص","acanonical"
"شارک","acanth"
"شاعر","acanth-"
"شاعري","acantha"
"شاملول","Acanthaceae"
"شاهد","acanthaceous"
"شاهي","acanthad"
"شاوخوا","Acantharia"
"شاور","acanthi"
"شاید","Acanthia"
"شبکه","acanthial"
"شپږ","acanthin"
"شپږم","acanthine"
"شپه","acanthion"
"شتمن","acanthite"
"شتمنۍ","acantho-"
"شتمني","acanthocarpous"
"شته","Acanthocephala"
"شتون","acanthocephalan"
"شټل","Acanthocephali"
"شخړه","acanthocephalous"
"شخص","Acanthocereus"
"شخصي","acanthocladous"
"شخصیت","Acanthodea"
"شدت","acanthodean"
"شدید","Acanthodei"
"شراکت","Acanthodes"
"شرایط","acanthodian"
"شرط","Acanthodidae"
"شرکت","Acanthodii"
"شرم","Acanthodini"
"شرمنده","acanthoid"
"شرمیدل","Acantholimon"
"شریکول","acantholysis"
"شعاع","acanthology"
"شعر","acanthological"
"شعور","acanthoma"
"شغل","acanthomas"
"شفاهي","Acanthomeridae"
"شفټ","acanthon"
"شفقت","Acanthopanax"
"شګه","Acanthophis"
"شک","acanthophorous"
"شکایت","acanthopod"
"شکر","acanthopodous"
"شکره","acanthopomatous"
"شکل","acanthopore"
"شکمن","acanthopteran"
"شل","Acanthopteri"
"شمال","acanthopterygian"
"شمالي","Acanthopterygii"
"شمع","acanthopterous"
"شمیرل","acanthoses"
"شمیره","acanthosis"
"شنبه","acanthotic"
"شنونکی","acanthous"
"شهادت","Acanthuridae"
"شهرت","Acanthurus"
"شهزادګۍ","acanthus"
"شهزاده","acanthuses"
"شواهد","acanthuthi"
"شور","acapnia"
"شورا","acapnial"
"شوروي","acapnias"
"شونډې","acappella"
"شېبه","acapsular"
"شي","acapu"
"شی","Acapulco"
"شيدې","acara"
"شیرف","Acarapis"
"شیشه","acarari"
"شیطان","acardia"
"شیف","acardiac"
"شیلف","acardite"
"شین","acari"
"صابون","acarian"
"صاحب","acariasis"
"صادرول","acariatre"
"صادق","acaricidal"
"صادقانه","acaricide"
"صالحیت","acarid"
"صبر","Acarida"
"صحرا","acaridae"
"صحنه","acaridan"
"صحیفه","acaridans"
"صدارت","Acaridea"
"صدمه","acaridean"
"صف","acaridomatia"
"صفت","acaridomatium"
"صفر","acarids"
"صلیب","acariform"
"صنعت","Acarina"
"صنعتي","acarine"
"صوفه","acarines"
"ضربه","acarinosis"
"ضرور","Acarnan"
"ضروري","acarocecidia"
"ضعف","acarocecidium"
"ضمانت","acarodermatitis"
"ضمیر","acaroid"
"طبقه","acarol"
"طبي","acarology"
"طبیعت","acarologist"
"طبیعي","acarophilous"
"طریقه","acarophobia"
"طلاق","acarotoxic"
"طلایی","acarpellous"
"طنز","acarpelous"
"طوفان","acarpous"
"طیف","Acarus"
"ظالمانه","ACAS"
"ظاهرا","acast"
"ظرفیت","Acastus"
"عادت","acatalectic"
"عادلانه","acatalepsy"
"عادي","acatalepsia"
"عالم","acataleptic"
"عالي","acatallactic"
"عام","acatamathesia"
"عامل","acataphasia"
"عامه","acataposis"
"عاید","acatastasia"
"عایدات","acatastatic"
"عجیب","acate"
"عجیبه","acategorical"
"عجیبه","acater"
"عذر","acatery"
"عراقي","acates"
"عرب","acatharsy"
"عرضه","acatharsia"
"عریضه","acatholic"
"عزت","acaudal"
"عزم","acaudate"
"عسکر","acaudelescent"
"عصبي","acaulescence"
"عصري","acaulescent"
"عضلات","acauline"
"عضوي","acaulose"
"عقاب","acaulous"
"عقیده","ACAWS"
"عکاس","ACB"
"عکاسي","ACBL"
"عکس","ACC"
"علاقه","acc."
"علامه","acca"
"علمي","accable"
"عمر","Accad"
"عمري","accademia"
"عمل","Accadian"
"عمله","Accalia"
"عملي","acce"
"عملیات","accede"
"عموما","acceded"
"عنصر","accedence"
"عنوان","acceder"
"عیسوی","acceders"
"عیسویت","accedes"
"غار","acceding"
"غاړه","accel"
"غاښ","accel."
"غالب","accelerable"
"غالۍ","accelerando"
"غبرګون","accelerant"
"غځول","accelerate"
"غر","accelerated"
"غږ","acceleratedly"
"غربت","accelerates"
"غرمه","accelerating"
"غره","acceleratingly"
"غریب","acceleration"
"غړی","accelerations"
"غړیتوب","accelerative"
"غزلونه","accelerator"
"غصب","acceleratory"
"غصه","accelerators"
"غل","accelerograph"
"غلا","accelerometer"
"غلام","accelerometers"
"غلامي","accelerometer's"
"غلط","accend"
"غله","accendibility"
"غم","accendible"
"غمجن","accensed"
"غندنه","accension"
"غنم","accensor"
"غوا","accent"
"غواړي","accented"
"غور","accenting"
"غوږ","accentless"
"غورځول","accentor"
"غوره","accentors"
"غوړ","accents"
"غوړول","accentuable"
"غوښتنلیک","accentual"
"غوښتنه","accentuality"
"غوسه","accentually"
"غوښه","accentuate"
"غونډه","accentuated"
"غونډۍ","accentuates"
"غېږ","accentuating"
"غیرقانوني","accentuation"
"غیږه","accentuations"
"فابریکه","accentuator"
"فارغ","accentus"
"فارم","accept"
"فاسد","acceptability"
"فایبر","acceptabilities"
"فبروري","acceptable"
"فټنس","acceptableness"
"فدرالي","acceptably"
"فراغت","acceptance"
"فرانسوي","acceptances"
"فرښته","acceptance's"
"فرصت","acceptancy"
"فرض","acceptancies"
"فرضیه","acceptant"
"فرعي","acceptation"
"فرم","acceptavit"
"فرنچائز","accepted"
"فرنیچر","acceptedly"
"فریکونسۍ","acceptee"
"فزیک","acceptees"
"فزیکي","accepter"
"فساد","accepters"
"فستیوال","acceptilate"
"فشار","acceptilated"
"فصل","acceptilating"
"فضا","acceptilation"
"فضل","accepting"
"فضیلت","acceptingly"
"فعال","acceptingness"
"فعالول","acception"
"فعالیت","acceptive"
"فقره","acceptor"
"فکر","acceptors"
"فکري","acceptor's"
"فلپ","acceptress"
"فلټر","accepts"
"فلزي","accerse"
"فلسطینی","accersition"
"فلسفه","accersitor"
"فلسفي","access"
"فلش","accessability"
"فلم","accessable"
"فلیټ","accessary"
"فنډ","accessaries"
"فهرست","accessarily"
"فوټبال","accessariness"
"فوٹیج","accessaryship"
"فورک","accessed"
"فورم","accesses"
"فورمه","accessibility"
"فورمول","accessibilities"
"فوري","accessible"
"فوسیل","accessibleness"
"فولاد","accessibly"
"فی","accessing"
"فیس","accession"
"فیشن","accessional"
"فیل","accessioned"
"فین","accessioner"
"قاتل","accessioning"
"قاضي","accessions"
"قاعده","accession's"
"قانع","accessit"
"قانون","accessive"
"قانوني","accessively"
"قبایلي","accessless"
"قبر","accessor"
"قبيله","accessory"
"قرارداد","accessorial"
"قراردادي","accessories"
"قرباني","accessorii"
"قسط","accessorily"
"قسم","accessoriness"
"قضاوت","accessory's"
"قضایی","accessorius"
"قضیه","accessoriusorii"
"قطار","accessorize"
"قطب","accessorized"
"قفل","accessorizing"
"قلم","accessors"
"قناعت","accessor's"
"قهر","acciaccatura"
"قهوه","acciaccaturas"
"قوماندان","acciaccature"
"قومانده","accidence"
"قومي","accidency"
"قوي","accidencies"
"قیمت","accident"
"قیمتي","accidental"
"ګاز","accidentalism"
"ګال","accidentalist"
"ګالری","accidentality"
"ګالف","accidentally"
"ګام","accidentalness"
"ګاڼې","accidentals"
"ګاونډی","accidentary"
"ګټل","accidentarily"
"ګټه","accidented"
"ګټور","accidential"
"ګټونکی","accidentiality"
"ګډ","accidently"
"ګډوډ","accident-prone"
"ګډوډي","accidents"
"ګډون","accidia"
"ګراج","accidias"
"ګراف","accidie"
"ګرافیک","accidies"
"ګرام","accinge"
"ګران","accinged"
"ګرانه","accinging"
"ګرځندوی","accipenser"
"ګرځول","accipient"
"ګرځېدل","Accipiter"
"ګرد","accipitral"
"ګرم","accipitrary"
"ګروي","Accipitres"
"ګزمه","accipitrine"
"ګل","accipter"
"ګلاب","accise"
"ګلابي","accismus"
"كله","accite"
"ګمارل","Accius"
"ګمارونکی","acclaim"
"ګڼ","acclaimable"
"ګناه","acclaimed"
"ګنده","acclaimer"
"ګڼل","acclaimers"
"ګواښ","acclaiming"
"ګواښول","acclaims"
"ګوپ","acclamation"
"ګوتې","acclamations"
"ګودام","acclamator"
"ګوزار","acclamatory"
"ګولۍ","acclimatable"
"ګوند","acclimatation"
"ګونګ","acclimate"
"ګیتار","acclimated"
"ګیر","acclimatement"
"ګیلن","acclimates"
"كيله","acclimating"
"کابینه","acclimation"
"کاپي","acclimations"
"کاتولیک","acclimatisable"
"کار","acclimatisation"
"کاربن","acclimatise"
"کاربوهایډریټ","acclimatised"
"کارپوریټ","acclimatiser"
"کارپوریشن","acclimatising"
"کارت","acclimatizable"
"کارتون","acclimatization"
"کارټ","acclimatizations"
"کارګر","acclimatize"
"کارکوونکي","acclimatized"
"کارمند","acclimatizer"
"کارن","acclimatizes"
"کارول","acclimatizing"
"کاغذ","acclimature"
"کافې","acclinal"
"کافي","acclinate"
"کال","acclivity"
"کالج","acclivities"
"کالر","acclivitous"
"کالم","acclivous"
"کالوري","accloy"
"کالونی","accoast"
"کامل","accoy"
"کاميډي","accoyed"
"کاناډايي","accoying"
"کانتینر","accoil"
"کانګرس","Accokeek"
"کانګریس","accolade"
"کانکریټ","accoladed"
"کاوبای","accolades"
"کائنات","accolated"
"کب","accolent"
"کپتان","accoll"
"کتاب","accolle"
"کتابتون","accolled"
"کتل","accollee"
"کټ","Accomac"
"کټګورۍ","accombination"
"کثافات","accommodable"
"کثافت","accommodableness"
"کچالو","accommodate"
"کچکول","accommodated"
"کچه","accommodately"
"کچی","accommodateness"
"کڅوړه","accommodates"
"کرانیکل","accommodating"
"کرایه","accommodatingly"
"کرسټال","accommodatingness"
"کرښه","accommodation"
"کرکټر","accommodational"
"کرکه","accommodationist"
"کرنه","accommodations"
"کروز","accommodative"
"کریډیټ","accommodatively"
"کریک","accommodativeness"
"کریم","accommodator"
"کریمیس","accommodators"
"کړکۍ","accomodate"
"کړنلاره","accompanable"
"کسات","accompany"
"کښتۍ","accompanied"
"کشف","accompanier"
"کشول","accompanies"
"ککړتیا","accompanying"
"کلاسیک","accompanyist"
"کلب","accompaniment"
"کلپ","accompanimental"
"کلتور","accompaniments"
"کلرک","accompaniment's"
"کلستر","accompanist"
"کلف","accompanists"
"کلمه","accompanist's"
"کلنۍ","accomplement"
"کلنی","accompletive"
"کلي","accompli"
"کلید","accomplice"
"کلیسا","accomplices"
"کلینیک","accompliceship"
"کلینیکي","accomplicity"
"کلیوال","accomplis"
"کم","accomplish"
"کمبل","accomplishable"
"کمبود","accomplished"
"کمپ","accomplisher"
"کمپاین","accomplishers"
"کمپوز","accomplishes"
"کمپیوټر","accomplishing"
"کمربند","accomplishment"
"کمره","accomplishments"
"کمزوری","accomplishment's"
"کمښت","accomplisht"
"کمول","accompt"
"کمونیست","accord"
"کمیټه","accordable"
"کمیدل","accordance"
"کميس","accordances"
"کمیسیون","accordancy"
"کمیشنر","accordant"
"کنټرول","accordantly"
"کنده","accordatura"
"کنډوالې","accordaturas"
"کنسرت","accordature"
"کنفرانس","accorded"
"کنوانسیون","accorder"
"که","accorders"
"کهکشان","according"
"کوپړۍ","accordingly"
"کوټ","accordion"
"کوټه","accordionist"
"کوچنی","accordionists"
"کوچی","accordions"
"کوڅه","accordion's"
"کودتا","accords"
"کوډ","accorporate"
"کور","accorporation"
"کوربه","accost"
"کورس","accostable"
"کورنۍ","accosted"
"کورني","accosting"
"کورنی","accosts"
"کوریایی","accouche"
"کوکی","accouchement"
"کولمو","accouchements"
"کولیسټرول","accoucheur"
"کوم","accoucheurs"
"کونج","accoucheuse"
"کوي","accoucheuses"
"کېدل","accounsel"
"کیبل","account"
"کیبن","accountability"
"کیبورډ","accountabilities"
"کیسه","accountable"
"کیسینو","accountableness"
"کیفیت","accountably"
"کیک","accountancy"
"کیمپس","accountancies"
"کیمیا","accountant"
"کیمیاوي","accountants"
"کیندل","accountant's"
"کینډی","accountantship"
"کینوس","accounted"
"گرډ","accounter"
"گرفت","accounters"
"لابراتوار","accounting"
"لابي","accountings"
"لاتین","accountment"
"لارښود","accountrement"
"لارښوونه","accounts"
"لارښوونې","accouple"
"لاره","accouplement"
"لارۍ","accourage"
"لاریون","accourt"
"لاس","accouter"
"لاسرسی","accoutered"
"لاسلیک","accoutering"
"لاسوهنه","accouterment"
"لاسي","accouterments"
"لامبو","accouters"
"لامل","accoutre"
"لان","accoutred"
"لاندې","accoutrement"
"لپاره","accoutrements"
"لپاسه","accoutres"
"لټون","accoutring"
"لخوا","Accoville"
"لږ","ACCRA"
"لرغونی","accrease"
"لرګي","accredit"
"لرې","accreditable"
"لري","accreditate"
"لړۍ","accreditation"
"لس","accreditations"
"لسیزه","accredited"
"لغت","accreditee"
"لفافه","accrediting"
"لفټ","accreditment"
"لفظي","accredits"
"لګښت","accrementitial"
"لګول","accrementition"
"لکه","accresce"
"لکۍ","accrescence"
"لمانځل","accrescendi"
"لمر","accrescendo"
"لمس","accrescent"
"لنډ","accretal"
"لنډمهاله","accrete"
"لنډیز","accreted"
"لنگر","accretes"
"لوبغاړی","accreting"
"لوبغالی","accretion"
"لوبه","accretionary"
"لوبو","accretions"
"لوبیا","accretion's"
"لوپ","accretive"
"لوټ","accriminate"
"لور","Accrington"
"لوږه","accroach"
"لوړ","accroached"
"لوړوالی","accroaching"
"لوړول","accroachment"
"لوړېدل","accroides"
"لوستل","accruable"
"لوستونکی","accrual"
"لوښي","accruals"
"لوګي","accrue"
"لوک","accrued"
"لومړني","accruement"
"لومړی","accruer"
"لومړیتوب","accrues"
"لوند","accruing"
"لوی","ACCS"
"لویدیځ","ACCT"
"لېونی","acct."
"لياره","accts"
"لیبرال","accubation"
"لیبل","accubita"
"لید","accubitum"
"لیدنه","accubitus"
"لیدونکي","accueil"
"لیدونکی","accultural"
"لیږد","acculturate"
"لیږل","acculturated"
"لیزر","acculturates"
"لیست","acculturating"
"لیګ","acculturation"
"لیک","acculturational"
"لیکچر","acculturationist"
"لیکل","acculturative"
"لیکنه","acculturize"
"لیکوال","acculturized"
"ليمو","acculturizing"
"لین","accum"
"لینز","accumb"
"لینک","accumbency"
"لیوالتیا","accumbent"
"لیواله","accumber"
"لیونی","accumulable"
"لیوه","accumulate"
"ماتول","accumulated"
"ماتې","accumulates"
"ماده","accumulating"
"ماډل","accumulation"
"مار","accumulations"
"مارچ","accumulativ"
"مارکر","accumulative"
"ماښام","accumulatively"
"ماسپښین","accumulativeness"
"ماسټر","accumulator"
"ماسک","accumulators"
"ماشوم","accumulator's"
"ماشومتوب","accupy"
"ماشین","accur"
"مال","accuracy"
"مالګه","accuracies"
"مالک","accurate"
"مالي","accurately"
"مالیکول","accurateness"
"مالیه","accuratenesses"
"ماموریت","accurre"
"ماڼۍ","accurse"
"ماهر","accursed"
"مایع","accursedly"
"مایوسه","accursedness"
"مایوسي","accursing"
"مبارزه","accurst"
"مباشرت","accurtation"
"متحد","accus"
"متحرک","accusable"
"متخصص","accusably"
"متره","accusal"
"متشبث","accusals"
"متغیر","accusant"
"متقابل","accusants"
"متن","accusation"
"متنازعه","accusations"
"متنوع","accusation's"
"متوسط","accusatival"
"مټونګى","accusative"
"مثال","accusative-dative"
"مثالی","accusatively"
"مثبت","accusativeness"
"مجازی","accusatives"
"مجبوره","accusator"
"مجبورول","accusatory"
"مجرم","accusatorial"
"مجسمه","accusatorially"
"مجلس","accusatrix"
"مجله","accusatrixes"
"مجموعه","accuse"
"مچۍ","accused"
"محاسبه","accuser"
"محافظتي","accusers"
"محاکمه","accuses"
"محبوب","accusing"
"محتاط","accusingly"
"محدود","accusive"
"محدودول","accusor"
"محدودیت","accustom"
"محرک","accustomation"
"محرمیت","accustomed"
"محصول","accustomedly"
"محکمه","accustomedness"
"محکوم","accustoming"
"محل","accustomize"
"مخ","accustomized"
"مخالف","accustomizing"
"مخالفت","accustoms"
"مخامخ","Accutron"
"مختلف","ACD"
"مخکښ","ACDA"
"مخکې","AC-DC"
"مخلوط","ACE"
"مخلوق","acea"
"مخنیوی","aceacenaphthene"
"مداخله","aceae"
"مدار","acean"
"مدافع","aceanthrene"
"مدني","aceanthrenequinone"
"مدیر","acecaffin"
"مدیریت","acecaffine"
"مډال","aceconitic"
"مذهب","aced"
"مذهبي","acedy"
"مراسم","acedia"
"مربع","acediamin"
"مرحله","acediamine"
"مرستندویه","acedias"
"مرسته","acediast"
"مرستې","ace-high"
"مرستیال","Acey"
"مرغۍ","acey-deucy"
"مرګ","aceite"
"مرکب","aceituna"
"مرکز","Aceldama"
"مرکزي","aceldamas"
"مرکه","acellular"
"مړ","Acemetae"
"مړوند","Acemetic"
"مړینه","acemila"
"مزاج","acenaphthene"
"مزمن","acenaphthenyl"
"مسافر","acenaphthylene"
"مساوات","acenesthesia"
"مساوي","acensuada"
"مستحق","acensuador"
"مستقیم","acentric"
"مسحول","acentrous"
"مسخره","aceology"
"مسکا","aceologic"
"مسلک","aceous"
"مسلکي","acephal"
"مسلمان","Acephala"
"مسله","acephalan"
"مسوده","Acephali"
"مسؤل","acephalia"
"مسؤلیت","Acephalina"
"مشاهده","acephaline"
"مشاور","acephalism"
"مشتمل","acephalist"
"مشخص","Acephalite"
"مشر","acephalocyst"
"مشرتابه","acephalous"
"مشغولول","acephalus"
"مشکل","acepots"
"مشهور","acequia"
"مشوره","acequiador"
"مصرف","acequias"
"مصرفول","Acer"
"مصنوعي","Aceraceae"
"مطابق","aceraceous"
"مطالعه","Acerae"
"مطبوعات","Acerata"
"مطلب","acerate"
"مطلق","acerated"
"مظاهره","Acerates"
"معاش","acerathere"
"معاصر","Aceratherium"
"معافیت","aceratosis"
"معالج","acerb"
"معامله","Acerbas"
"معاون","acerbate"
"معبد","acerbated"
"معتبر","acerbates"
"معتدل","acerbating"
"معجزه","acerber"
"معده","acerbest"
"معقول","acerbic"
"معلول","acerbically"
"معلولیت","acerbity"
"معلومات","acerbityacerose"
"معما","acerbities"
"معمار","acerbitude"
"معمارۍ","acerbly"
"معمول","acerbophobia"
"معمولا","acerdol"
"معنی","aceric"
"معیارونه","acerin"
"معیاري","acerli"
"مغز","acerola"
"مفتش","acerolas"
"مفهوم","acerose"
"مقابل","acerous"
"مقابله","acerra"
"مقاله","acers"
"مقاومت","acertannin"
"مقدار","acerval"
"مقدس","acervate"
"مقدمه","acervately"
"مقررات","acervatim"
"مقننه","acervation"
"مګر","acervative"
"مکرر","acervose"
"مکسیکو","acervuli"
"مکلفیت","acervuline"
"مکھن","acervulus"
"مل","aces"
"ملاتړ","ace's"
"ملاتړی","acescence"
"ملاقات","acescency"
"ملت","acescent"
"ملګرتیا","acescents"
"ملګرې","aceship"
"ملګری","Acesius"
"ملکه","acesodyne"
"ملکي","acesodynous"
"ملکیت","Acessamenus"
"ملي","Acestes"
"ملیارد","acestoma"
"ملیون","acet-"
"ممتاز","aceta"
"ممکنه","acetable"
"مناسب","acetabula"
"منجمد","acetabular"
"منځ","Acetabularia"
"منځپانګه","acetabuliferous"
"منځنی","acetabuliform"
"منډې","acetabulous"
"منزل","acetabulum"
"منشور","acetabulums"
"منشي","acetacetic"
"منطق","acetal"
"منطقي","acetaldehydase"
"منظره","acetaldehyde"
"منظم","acetaldehydrase"
"منعکس","acetaldol"
"منفي","acetalization"
"منل","acetalize"
"منندوی","acetals"
"مننه","acetamid"
"مڼه","acetamide"
"مهاجر","acetamidin"
"مهاجرت","acetamidine"
"مهارت","acetamido"
"مهر","acetamids"
"مهم","acetaminol"
"مواد","Acetaminophen"
"موافق","acetanilid"
"موافقت","acetanilide"
"موبایل","acetanion"
"موټر","acetaniside"
"موټور","acetanisidide"
"موثر","acetanisidine"
"موثریت","acetannin"
"موجود","acetary"
"موده","acetarious"
"مور","acetars"
"موږ","acetarsone"
"موږک","acetate"
