"Tatar","English"
"классификацияләү","absolve"
"кластеры","absolved"
"клерк","absolvent"
"клиент","absolver"
"климат","absolvers"
"клиник","absolves"
"клиника","absolving"
"клуб","absolvitor"
"кмопромисс","absolvitory"
"коалиция","absonant"
"ковбой","absonous"
"когнитив","absorb"
"код","absorbability"
"кое","absorbable"
"койма","absorbance"
"коймак","absorbancy"
"койрык","absorbant"
"кол","absorbed"
"колак","absorbedly"
"колакларыгызны","absorbedness"
"коллега","absorbefacient"
"коллегасы","absorbency"
"колледж","absorbencies"
"коллектив","absorbent"
"коллекция","absorbents"
"коллыгыннан","absorber"
"колониаль","absorbers"
"колония","absorbing"
"колонна","absorbingly"
"ком","absorbition"
"команда","absorbs"
"командасы","absorbtion"
"командир","absorpt"
"комачалау","absorptance"
"комбинация","absorptiometer"
"комбинацияләү","absorptiometric"
"комедия","absorption"
"комик","absorptional"
"комиссия","absorptions"
"комитеты","absorption's"
"коммерция","absorptive"
"коммунист","absorptively"
"комодны","absorptiveness"
"компаниясе","absorptivity"
"компаньон","absquatulate"
"компенсация","absquatulation"
"компенсациясе","abstain"
"комплекслы","abstained"
"комплексы","abstainer"
"композиция","abstainers"
"компонент","abstaining"
"компьютер","abstainment"
"конверт","abstains"
"конгресс","abstemious"
"конгрессмен","abstemiously"
"конкрет","abstemiousness"
"конкурент","abstention"
"конкуренция","abstentionism"
"конкурс","abstentionist"
"консенсус","abstentions"
"консерватив","abstentious"
"консервация","absterge"
"конспирация","absterged"
"конституцион","abstergent"
"конституция","absterges"
"консультант","absterging"
"контакт","absterse"
"контейнер","abstersion"
"контекст","abstersive"
"континент","abstersiveness"
"контракт","abstertion"
"контроль","abstinence"
"конференция","abstinences"
"концентрация","abstinency"
"концерт","abstinent"
"коңгыз","abstinential"
"координаторы","abstinently"
"коп","abstort"
"кораб","abstr"
"корал","abstract"
"кораллы","abstractable"
"корбан","abstracted"
"коридор","abstractedly"
"корпоратив","abstractedness"
"корпорация","abstracter"
"корпусы","abstracters"
"коррекция","abstractest"
"корреспондент","abstracting"
"корсак","abstraction"
"коры","abstractional"
"корылмасының","abstractionism"
"корыч","abstractionist"
"корычагач","abstractionists"
"костюм","abstractions"
"коткару","abstraction's"
"коточкыч","abstractitious"
"кочагында","abstractive"
"кочаклау","abstractively"
"кош","abstractiveness"
"кояш","abstractly"
"көзге","abstractness"
"көйләү","abstractnesses"
"көймә","abstractor"
"көлке","abstractors"
"көлү","abstractor's"
"көмеш","abstracts"
"көмәнле","abstrahent"
"көн","abstrict"
"көнбатыш","abstricted"
"көндәлеге","abstricting"
"көндәлек","abstriction"
"көндәшле","abstricts"
"көнкүреш","abstrude"
"көнләшүчән","abstruse"
"көнчыгыш","abstrusely"
"көньягы","abstruseness"
"көньяк","abstrusenesses"
"көрәш","abstruser"
"көрәшче","abstrusest"
"көт","abstrusion"
"көтегез","abstrusity"
"Көтегез","abstrusities"
"көтелә","absume"
"көтелмәгән","absumption"
"көтү","absurd"
"көч","absurder"
"көче","absurdest"
"көчәйту","absurdism"
"көчәйтү","absurdist"
"көчкә","absurdity"
"көчле","absurdities"
"көчләнеп","absurdity's"
"көчләү","absurdly"
"Көчсезләнегез","absurdness"
"кредит","absurds"
"кризис","absurdum"
"крик","absvolt"
"кристалл","abt"
"критерийлары","abterminal"
"критик","abthain"
"кросс","abthainry"
"круиз","abthainrie"
"куа","abthanage"
"куаклык","abtruse"
"кукуруз","Abu"
"кул","abubble"
"кулак","Abu-Bekr"
"кулланма","Abucay"
"куллану","abucco"
"кулланучы","abuilding"
"кулланыгыз","Abukir"
"кулланыла","abuleia"
"кулланыш","Abulfeda"
"култык","abulia"
"культуралы","abulias"
"культурасы","abulic"
"кун","abulyeit"
"кунак","abulomania"
"кунакханә","abumbral"
"курка","abumbrellar"
"курку","Abuna"
"куркуга","abundance"
"куркыныч","abundances"
"куркынычлы","abundancy"
"куркынычлык","abundant"
"куркынычсыз","Abundantia"
"куркынычсызлык","abundantly"
"куркыт","abune"
"куркыту","abura"
"курс","aburabozu"
"куртка","aburagiri"
"курчак","aburban"
"кухня","Abury"
"кушыл","aburst"
"кушылма","aburton"
"кушымта","abusable"
"Кушымта","abusage"
"куык","abuse"
"куян","abused"
"куярга","abusedly"
"күбесенчә","abusee"
"күз","abuseful"
"күзәнәк","abusefully"
"күзәтү","abusefulness"
"күзәтүче","abuser"
"күк","abusers"
"күкрәк","abuses"
"күл","abush"
"күләгә","abusing"
"күләме","abusion"
"күлмәк","abusious"
"күмү","abusive"
"күнегүләр","abusively"
"күңел","abusiveness"
"күңелсез","abusivenesses"
"күп","abut"
"күпер","Abuta"
"күплек","Abutilon"
"күпчелек","abutilons"
"күргәзмә","abutment"
"күрдем","abutments"
"күренгән","abuts"
"күренекле","abuttal"
"күренеш","abuttals"
"Күрәсезме","abutted"
"күрәсең","abutter"
"күрсәт","abutters"
"күрсәткеч","abutter's"
"күрсәтмә","abutting"
"күрсәтмәләр","abuzz"
"күрсәтү","abv"
"күрү","abvolt"
"күрше","abvolts"
"күсе","abwab"
"күтәрелү","abwatt"
"күтәрү","abwatts"
"күчерү","ac"
"кыену","ac-"
"кыз","a-c"
"кызгану","AC/DC"
"кызганычка","ACAA"
"кызы","Acacallis"
"кызык","acacatechin"
"кызыксынган","acacatechol"
"кызыксыну","Acacea"
"кызыл","Acaceae"
"кыйммәт","acacetin"
"кыйммәтле","Acacia"
"кыйнау","Acacian"
"кыл","acacias"
"кылыч","acaciin"
"кыңгырау","acacin"
"кыр","acacine"
"кыргый","acad"
"кырык","academe"
"кыска","academes"
"кыскату","Academy"
"кыскача","academia"
"кыстыргыч","academial"
"кысу","academian"
"кысылу","academias"
"кытай","Academic"
"кычкыру","academical"
"кычкыруы","academically"
"кыш","academicals"
"кыю","academician"
"кыюлык","academicians"
"кыя","academicianship"
"кянарлашдырылмасы","academicism"
"лаборатория","academics"
"лагерь","academie"
"лаек","academies"
"лазер","academy's"
"лампа","academise"
"лейтенант","academised"
"лекция","academising"
"ленч","academism"
"ләззәтләнегез","academist"
"ләкин","academite"
"либерал","academization"
"лига","academize"
"лидер","academized"
"лимон","academizing"
"линза","Academus"
"лифт","Acadia"
"лицензия","acadialite"
"лобби","Acadian"
"логик","Acadie"
"логика","Acaena"
"лорд","acajou"
"лояльлек","acajous"
"мавыктыргыч","acal"
"магия","acalculia"
"маҗаралар","acale"
"май","acaleph"
"маймыл","Acalepha"
"майор","Acalephae"
"макияж","acalephan"
"максат","acalephe"
"максаты","acalephes"
"максимум","acalephoid"
"мактау","acalephs"
"малай","Acalia"
"мамык","acalycal"
"манара","acalycine"
"маңгай","acalycinous"
"марка","acalyculate"
"маркер","Acalypha"
"маркетинг","Acalypterae"
"марш","Acalyptrata"
"маршрут","Acalyptratae"
"маска","acalyptrate"
"масса","Acamar"
"масштаблы","Acamas"
"математика","Acampo"
"материал","acampsia"
"материя","acana"
"матур","acanaceous"
"матурлык","acanonical"
"махсус","acanth"
"машина","acanth-"
"медаль","acantha"
"медицина","Acanthaceae"
"Мексика","acanthaceous"
"мемориаль","acanthad"
"мендәр","Acantharia"
"менеджер","acanthi"
"меню","Acanthia"
"мең","acanthial"
"металл","acanthin"
"метафора","acanthine"
"метр","acanthion"
"механизм","acanthite"
"механик","acantho-"
"мәгарә","acanthocarpous"
"мәгариф","Acanthocephala"
"мәгәр","acanthocephalan"
"мәгълүмат","Acanthocephali"
"мәгънә","acanthocephalous"
"мәгънәсе","Acanthocereus"
"мәдәният","acanthocladous"
"мәйданчык","Acanthodea"
"мәйданы","acanthodean"
"мәкалә","Acanthodei"
"мәктәп","Acanthodes"
"мәңгелек","acanthodian"
"мәрхәмәте","Acanthodidae"
"мәхәббәт","Acanthodii"
"мәче","Acanthodini"
"мәшгуль","acanthoid"
"ми","Acantholimon"
"миграция","acantholysis"
"мизгел","acanthology"
"микъдар","acanthological"
"милек","acanthoma"
"милләт","acanthomas"
"милли","Acanthomeridae"
"миллиард","acanthon"
"миллион","Acanthopanax"
"миль","Acanthophis"
"мин","acanthophorous"
"минем","acanthopod"
"минималь","acanthopodous"
"минимум","acanthopomatous"
"министр","acanthopore"
"Министрлык","acanthopteran"
"минус","Acanthopteri"
"минут","acanthopterygian"
"мирас","Acanthopterygii"
"мисал","acanthopterous"
"миссия","acanthoses"
"миф","acanthosis"
"мич","acanthotic"
"мичкә","acanthous"
"мм","Acanthuridae"
"мм-хмм","Acanthurus"
"мобиль","acanthus"
"могҗиза","acanthuses"
"мода","acanthuthi"
"модель","acapnia"
"молекул","acapnial"
"Монда","acapnias"
"Мондый","acappella"
"Моннан","acapsular"
"монстр","acapu"
"моң","Acapulco"
"моңарчы","acara"
"мораль","Acarapis"
"мотивация","acarari"
"мотор","acardia"
"мошенниклык","acardiac"
"мөгаен","acardite"
"мөгез","acari"
"мөкалө","acarian"
"мөкатдимә","acariasis"
"мөмкин","acariatre"
"мөмкинлек","acaricidal"
"мөнәсәбәтләр","acaricide"
"мөһим","acarid"
"мөһиме","Acarida"
"мөселман","acaridae"
"мөэмин","acaridan"
"муен","acaridans"
"музей","Acaridea"
"музыка","acaridean"
"музыкаль","acaridomatia"
"музыкант","acaridomatium"
"мускул","acarids"
"мцвафиг","acariform"
"мцлайим","Acarina"
"мцнагишя","acarine"
"мцщитинин","acarines"
"мцяййян","acarinosis"
"мылтык","Acarnan"
"мэр","acarocecidia"
"мянбя","acarocecidium"
"мяслящят","acarodermatitis"
"на","acaroid"
"надан","acarol"
"наданлык","acarology"
"намузсыз","acarologist"
"намус","acarophilous"
"намуслы","acarophobia"
"нарат","acarotoxic"
"наркомания","acarpellous"
"насос","acarpelous"
"начар","acarpous"
"негатив","Acarus"
"нейтраль","ACAS"
"нерв","acast"
"нефть","Acastus"
"нечкә","acatalectic"
"нәрсә","acatalepsy"
"Нәрсә","acatalepsia"
"нәрсәдер","acataleptic"
"нәтиҗеле","acatallactic"
"нәтиҗә","acatamathesia"
"Нәтиҗә","acataphasia"
"нәтиҗәле","acataposis"
"нәтиҗәлелеген","acatastasia"
"нәтиҗәлелек","acatastatic"
"нәфрәт","acate"
"нигез","acategorical"
"нигездә","acater"
"нигә","acatery"
"никадәр","acates"
"никах","acatharsy"
"ниһаять","acatharsia"
"нисбәте","acatholic"
"Ничек","acaudal"
"ният","acaudate"
"ниятләр","acaudelescent"
"ниятләү","acaulescence"
"нокта","acaulescent"
"номинанты","acauline"
"Номинатес","acaulose"
"номинациясендә","acaulous"
"норма","ACAWS"
"нормаль","ACB"
"норматив","ACBL"
"ноутбук","ACC"
"ноябрь","acc."
"нуль","acca"
"нур","accable"
"ныгыту","Accad"
"нык","accademia"
"һ","Accadian"
"һ.б.","Accalia"
"һава","acce"
"һавалыклы","accede"
"һаман","acceded"
"һәвәслек","accedence"
"һәйкәл","acceder"
"һәм","acceders"
"һәрберсе","accedes"
"һәрвакыт","acceding"
"һәркайда","accel"
"һидәят","accel."
"һөҗүм","accelerable"
"һөнәр","accelerando"
"о","accelerant"
"облигация","accelerate"
"оборона","accelerated"
"образ","acceleratedly"
"объект","accelerates"
"объектив","accelerating"
"оештыру","acceleratingly"
"озак","acceleration"
"Озак","accelerations"
"озату","accelerative"
"озын","accelerator"
"озынлык","acceleratory"
"океан","accelerators"
"округ","accelerograph"
"октябрь","accelerometer"
"Олимпиада","accelerometers"
"олы","accelerometer's"
"олылар","accend"
"омтылыш","accendibility"
"он","accendible"
"онлайн","accensed"
"оныт","accension"
"опека","accensor"
"опекун","accent"
"опера","accented"
"оператор","accenting"
"операцион","accentless"
"операция","accentor"
"оппозиция","accentors"
"оппонент","accents"
"оптимистик","accentuable"
"организмин","accentual"
"органик","accentuality"
"оригиналь","accentually"
"орлык","accentuate"
"оста","accentuated"
"остазы","accentuates"
"осталык","accentuating"
"остәмәлекле","accentuation"
"отставка","accentuations"
"офис","accentuator"
"офицер","accentus"
"охшау","accept"
"охшаш","acceptability"
"охшашлык","acceptabilities"
"оча","acceptable"
"очерклар","acceptableness"
"очкын","acceptably"
"очрак","acceptance"
"очраклы","acceptances"
"очрар","acceptance's"
"очрашу","acceptancy"
"очу","acceptancies"
"очып","acceptant"
"очыратсагыз","acceptation"
"оя","acceptavit"
"оялткан","accepted"
"оят","acceptedly"
"өй","acceptee"
"өйләнеш","acceptees"
"өйрән","accepter"
"өйрәнү","accepters"
"өйрәт","acceptilate"
"өйрәтү","acceptilated"
"өлеш","acceptilating"
"өлешчә","acceptilation"
"өлкән","accepting"
"өлкәсендә","acceptingly"
"өмет","acceptingness"
"өметсез","acception"
"өндәү","acceptive"
"өске","acceptor"
"өскә","acceptors"
"өслеге","acceptor's"
"өстен","acceptress"
"өстендә","accepts"
"өстенә","accerse"
"өстенлек","accersition"
"өстерү","accersitor"
"өстә","access"
"өстәвенә","accessability"
"өстәл","accessable"
"Өстәлгән","accessary"
"өстәмә","accessaries"
"өстәргә","accessarily"
"Өстәү","accessariness"
"өч","accessaryship"
"өчен","accessed"
"өченче","accesses"
"пакет","accessibility"
"палата","accessibilities"
"палестина","accessible"
"палуба","accessibleness"
"пальма","accessibly"
"пальто","accessing"
"панель","accession"
"пар","accessional"
"парад","accessioned"
"парк","accessioner"
"парламент","accessioning"
"партнер","accessions"
"партнерлык","accession's"
"пассажир","accessit"
"пастор","accessive"
"патент","accessively"
"патруль","accessless"
"патша","accessor"
"патшалыгы","accessory"
"пациент","accessorial"
"педагог","accessories"
"пейзаж","accessorii"
"пенсия","accessorily"
"пенсиягә","accessoriness"
"период","accessory's"
"персонал","accessorius"
"перспектива","accessoriusorii"
"перчатка","accessorize"
"петиция","accessorized"
"пешекче","accessorizing"
"пешерү","accessors"
"пешү","accessor's"
"пәйгамбәр","acciaccatura"
"пәнҗешәмбе","acciaccaturas"
"пәрдә","acciaccature"
"пиво","accidence"
"пилот","accidency"
"пилюля","accidencies"
"пират","accident"
"пицца","accidental"
"план","accidentalism"
"План","accidentalist"
"планета","accidentality"
"планлаштыру","accidentally"
"планшет","accidentalness"
"пластина","accidentals"
"пластмасса","accidentary"
"плеер","accidentarily"
"плюс","accidented"
"плюч","accidential"
"подрядчы","accidentiality"
"поезд","accidently"
"позиция","accident-prone"
"политикасы","accidents"
"полиция","accidia"
"полковник","accidias"
"полосасы","accidie"
"полюс","accidies"
"популяр","accinge"
"попутные","accinged"
"порошок","accinging"
"порт","accipenser"
"портреты","accipient"
"портфель","Accipiter"
"поселокта","accipitral"
"пост","accipitrary"
"потенциал","Accipitres"
"потенциаль","accipitrine"
"почмак","accipter"
"почта","accise"
"пөхтәлек","accismus"
"практик","accite"
"практика","Accius"
"предприятия","acclaim"
"презентация","acclaimable"
"президент","acclaimed"
"Президент","acclaimer"
"президентык","acclaimers"
"премия","acclaiming"
"Премьер-","acclaims"
"придел","acclamation"
"приз","acclamations"
"принц","acclamator"
"принцесса","acclamatory"
"принцибы","acclimatable"
"принципиаль","acclimatation"
"приоритет","acclimate"
"присяжный","acclimated"
"приют","acclimatement"
"проблема","acclimates"
"провинция","acclimating"
"прогноз","acclimation"
"программа","acclimations"
"программасы","acclimatisable"
"прогресс","acclimatisation"
"прогрессив","acclimatise"
"продукт","acclimatised"
"проект","acclimatiser"
"прокурор","acclimatising"
"промышленность","acclimatizable"
"пропаганда","acclimatization"
"пропорция","acclimatizations"
"протест","acclimatize"
"профессиональ","acclimatized"
"профессор","acclimatizer"
"процедура","acclimatizes"
"процент","acclimatizing"
"процесс","acclimature"
"процессор","acclinal"
"психик","acclinate"
"психолог","acclivity"
"психологик","acclivities"
"психология","acclivitous"
"пульс","acclivous"
"пуля","accloy"
"пункт","accoast"
"пычак","accoy"
"пычрак","accoyed"
"пыяла","accoying"
"радар","accoil"
"радио","Accokeek"
"разведка","accolade"
"район","accoladed"
"ракета","accolades"
"раликаль","accolated"
"ралли","accolent"
"ранчо","accoll"
"раса","accolle"
"расизм","accolled"
"расист","accollee"
"раслау","Accomac"
"раслый","accombination"
"расписание","accommodable"
"расстояние","accommodableness"
"рациональ","accommodate"
"реактив","accommodated"
"реакция","accommodately"
"реал","accommodateness"
"реаль","accommodates"
"революцион","accommodating"
"революция","accommodatingly"
"региональ","accommodatingness"
"регистрация","accommodation"
"регуляр","accommodational"
"редакиялңү","accommodationist"
"редактор","accommodations"
"режим","accommodative"
"резерв","accommodatively"
"резиденция","accommodativeness"
"рейтинг","accommodator"
"рейтингының","accommodators"
"реклама","accomodate"
"рекомендация","accompanable"
"рельс","accompany"
"ремонт","accompanied"
"репортер","accompanier"
"респондент","accompanies"
"республика","accompanying"
"ресторан","accompanyist"
"ресурс","accompaniment"
"реформа","accompanimental"
"рецепт","accompaniments"
"рәвешен","accompaniment's"
"рәис","accompanist"
"рәнҗетеп","accompanists"
"рәнҗеткән","accompanist's"
"рәнҗеткүче","accomplement"
"рәнҗетү","accompletive"
"рәнҗетүче","accompli"
"рәсем","accomplice"
"рәсми","accomplices"
"рәссам","accompliceship"
"рәтләнү","accomplicity"
"рәхәт","accomplis"
"рәхмәт","accomplish"
"рәхмәтле","accomplishable"
"риваять","accomplished"
"риза","accomplisher"
"ризаклы","accomplishers"
"ризалаш","accomplishes"
"ризык","accomplishing"
"риск","accomplishment"
"ритм","accomplishments"
"ритуал","accomplishment's"
"робот","accomplisht"
"Рождество","accompt"
"роза","accord"
"ролл","accordable"
"роль","accordance"
"роман","accordances"
"романтик","accordancy"
"рөхсәт","accordant"
"рух","accordantly"
"рухани","accordatura"
"рухи","accordaturas"
"рухландыру","accordature"
"рянэли","accorded"
"сабый","accorder"
"сабын","accorders"
"савыктыру","according"
"савыт","accordingly"
"сагыздан","accordion"
"сагыну","accordionist"
"сайлау","accordionists"
"сайлаучы","accordions"
"сайт","accordion's"
"сайты","accords"
"сак","accorporate"
"сакла","accorporation"
"саклагыз","accost"
"саклан","accostable"
"саклану","accosted"
"саклау","accosting"
"сакчы","accosts"
"салат","accouche"
"салды","accouchement"
"салкын","accouchements"
"салым","accoucheur"
"саммиты","accoucheurs"
"самолет","accoucheuse"
"самолёт","accoucheuses"
"санагыз","accounsel"
"санаусыз","account"
"сандвич","accountability"
"санкция","accountabilities"
"саны","accountable"
"сап","accountableness"
"сарай","accountably"
"сары","accountancy"
"сарык","accountancies"
"сарымсак","accountant"
"сату","accountants"
"сатучы","accountant's"
"саубуллашу","accountantship"
"сафлык","accounted"
"себерү","accounter"
"сегмент","accounters"
"сезнеке","accounting"
"сезнең","accountings"
"сезон","accountment"
"Сезон","accountrement"
"секретарь","accounts"
"секс","accouple"
"секси","accouplement"
"сексуаль","accourage"
"сектор","accourt"
"селкенү","accouter"
"селкетү","accoutered"
"семинар","accoutering"
"сенат","accouterment"
"сенатор","accouterments"
"сенсор","accouters"
"сентябрь","accoutre"
"сер","accoutred"
"сервер","accoutrement"
"сержант","accoutrements"
"серияләр","accoutres"
"серле","accoutring"
"сертификат","Accoville"
"сессия","ACCRA"
"сестра","accrease"
"сәбәп","accredit"
"сәгать","accreditable"
"сәгатьтә","accreditate"
"сәер","accreditation"
"сәлам","accreditations"
"Сәлам","accredited"
"сәламәтлек","accreditee"
"сәламләде","accrediting"
"сәләт","accreditment"
"сәләте","accredits"
"сәләтле","accrementitial"
"сәнгать","accrementition"
"сәнәгый","accresce"
"сәүдә","accrescence"
"сәхнә","accrescendi"
"сәясәт","accrescendo"
"сәясәтче","accrescent"
"сәяси","accretal"
"сәяхәт","accrete"
"сәяхәтче","accreted"
"сигарета","accretes"
"сигез","accreting"
"сигнал","accretion"
"сизгер","accretionary"
"сизгәрү","accretions"
"сизем","accretion's"
"сизү","accretive"
"сикерү","accriminate"
"символы","Accrington"
"син","accroach"
"синдром","accroached"
"сирәк","accroaching"
"системасы","accroachment"
"ситуация","accroides"
"сишезенче","accruable"
"сишәмбе","accrual"
"сканирования","accruals"
"скидка","accrue"
"складында","accrued"
"скульптура","accruement"
"слайд","accruer"
"смена","accrues"
"смета","accruing"
"совет","ACCS"
"сода","ACCT"
"сок","acct."
"сокландым","accts"
"солдат","accubation"
"соң","accubita"
"соңару","accubitum"
"соңгы","accubitus"
"соңгысы","accueil"
"соңрак","accultural"
"сора","acculturate"
"сорау","acculturated"
"сораулык","acculturates"
"сорт","acculturating"
"сортлау","acculturation"
"соры","acculturational"
"соус","acculturationist"
"социаль","acculturative"
"сочинение","acculturize"
"союз","acculturized"
"сөйкемле","acculturizing"
"сөйкемлелек","accum"
"сөйлә","accumb"
"сөйләм","accumbency"
"сөйләшә","accumbent"
"сөйләшү","accumber"
"сөйләшүләр","accumulable"
"сөлге","accumulate"
"сөмбаш","accumulated"
"сөртенү","accumulates"
"сөртү","accumulating"
"сөт","accumulation"
"сөяк","accumulations"
"спектакль","accumulativ"
"спектры","accumulative"
"спирт","accumulatively"
"спонсор","accumulativeness"
"спорт","accumulator"
"спортзал","accumulators"
"срок","accumulator's"
"ставкасы","accupy"
"стадион","accur"
"стандарт","accuracy"
"станция","accuracies"
"статистик","accurate"
"статистика","accurately"
"статусы","accurateness"
"статуя","accuratenesses"
"стендка","accurre"
"стенды","accurse"
"стиендия","accursed"
"стиль","accursedly"
"стимул","accursedness"
"стратегик","accursing"
"стратегиясе","accurst"
"страховкалау","accurtation"
"структур","accus"
"структурасы","accusable"
"студент","accusably"
"студиясе","accusal"
"су","accusals"
"субсидия","accusant"
"субстанция","accusants"
"суган","accusation"
"сугу","accusations"
"сугыш","accusation's"
"сугышчы","accusatival"
"суд","accusative"
"судья","accusative-dative"
"Сукыр","accusatively"
"сулда","accusativeness"
"сулу","accusatives"
"сулыш","accusator"
"сумка","accusatory"
"сумма","accusatorial"
"супер","accusatorially"
"сурәтләрен","accusatrix"
"сүз","accusatrixes"
"сүзгә","accuse"
"сүзгә-сүз","accused"
"сүзлек","accuser"
"Сүзне","accusers"
"сүндерелгән","accuses"
"Сүрия","accusing"
"сферадан","accusingly"
"схемасы","accusive"
"сценарий","accusor"
"счетчик","accustom"
"сыгылмалы","accustomation"
"сыеклык","accustomed"
"сыер","accustomedly"
"сызык","accustomedness"
"сызым","accustoming"
"сыйфат","accustomize"
"сылтама","accustomized"
"сынау","accustomizing"
"сыр","accustoms"
"сэр","Accutron"
"сюжет","ACD"
"сюитасы","ACDA"
"сюрприз","AC-DC"
"сярбяст","ACE"
"таба","acea"
"табан","aceacenaphthene"
"табиб","aceae"
"табигать","acean"
"табигый","aceanthrene"
"табу","aceanthrenequinone"
"табылды","acecaffin"
"табына","acecaffine"
"табыш","aceconitic"
"тавыш","aced"
"тагын","acedy"
"таҗ","acedia"
"таза","acediamin"
"тайфа","acediamine"
"такта","acedias"
"талантлы","acediast"
"талау","ace-high"
"таләп","Acey"
"таләпчән","acey-deucy"
"тамак","aceite"
"тамашачы","aceituna"
"Тамга","Aceldama"
"тамыр","aceldamas"
"танк","acellular"
"тантана","Acemetae"
"тану","Acemetic"
"танылганлык","acemila"
"танырга","acenaphthene"
"таныш","acenaphthenyl"
"таныштыру","acenaphthylene"
"таң","acenesthesia"
"тап","acensuada"
"тапшыру","acensuador"
"тарак","acentric"
"таратучы","acentrous"
"тарафыннан","aceology"
"тарих","aceologic"
"тарихи","aceous"
"тарихчы","acephal"
"таркалыш","Acephala"
"тартма","acephalan"
"тарту","Acephali"
"тартышмасыннар","acephalia"
"тасвир","Acephalina"
"тасвирлау","acephaline"
"тасма","acephalism"
"тату","acephalist"
"татым","Acephalite"
"тау","acephalocyst"
"Тачдаун","acephalous"
"таш","acephalus"
"ташбака","acepots"
"ташлап","acequia"
"ташу","acequiador"
"ташучыларын","acequias"
"таю","Acer"
"таяк","Aceraceae"
"театр","aceraceous"
"Тег","Acerae"
"Тегендә","Acerata"
"тегермән","acerate"
"тез","acerated"
"текә","Acerates"
"текст","acerathere"
"тел","Aceratherium"
"телевидение","aceratosis"
"телескоп","acerb"
"телефон","Acerbas"
"теләк","acerbate"
"теләп","acerbated"
"тели","acerbates"
"телсез","acerbating"
"тема","acerber"
"темп","acerbest"
"температура","acerbic"
"тенденция","acerbically"
"теннис","acerbity"
"теоретик","acerbityacerose"
"теория","acerbities"
"терапия","acerbitude"
"тере","acerbly"
"теркәлү","acerbophobia"
"терлек","acerdol"
"термин","aceric"
"территория","acerin"
"террор","acerli"
"терроризм","acerola"
"террорист","acerolas"
"терсәк","acerose"
"тест","acerous"
"техник","acerra"
"техника","acers"
"техники","acertannin"
"технологик","acerval"
"технология","acervate"
"технологияле","acervately"
"теш","acervatim"
"тешләү","acervation"
"тәвәккәл","acervative"
"тәвәккәллек","acervose"
"Тәвәккәллек","acervuli"
"тәгаләнеке","acervuline"
"тәгәрмәч","acervulus"
"тәгълиматын","aces"
"тәҗрибә","ace's"
"тәҗрибәле","acescence"
"тәкъдим","acescency"
"тәм","acescent"
"тәмамлау","acescents"
"тәме","aceship"
"тәмәке","Acesius"
"тәмле","acesodyne"
"тәмуг","acesodynous"
"тән","Acessamenus"
"тәндәге","Acestes"
"тәнәфес","acestoma"
"тәнкә","acet-"
"тәнкыйть","aceta"
"тәнкыйтьләү","acetable"
"тәнкыйтьче","acetabula"
"Тәрбиягә","acetabular"
"тәрәзә","Acetabularia"
"тәрҗемә","acetabuliferous"
"тәртип","acetabuliform"
"тәртипсезлек","acetabulous"
"тәте","acetabulum"
"тәхет","acetabulums"
"тәэмин","acetacetic"
"тәэсир","acetal"
"тибы","acetaldehydase"
"тигез","acetaldehyde"
"тигезләмә","acetaldehydrase"
"тигезләү","acetaldol"
"тиеш","acetalization"
"тиешенчә","acetalize"
"тиешле","acetals"
"тиз","acetamid"
"тиздән","acetamide"
"тизеглек","acetamidin"
"тизлек","acetamidine"
"Тизрәк","acetamido"
"тикшеренүләр","acetamids"
"тикшерү","acetaminol"
"тикшерүче","Acetaminophen"
"тимер","acetanilid"
"тиңләшү","acetanilide"
"типик","acetanion"
"тир","acetaniside"
"тире","acetanisidide"
"тирә-","acetanisidine"
"тирән","acetannin"
"тирәнлек","acetary"
"тирәсендә","acetarious"
"тирә-юнь","acetars"
"титул","acetarsone"
"тишек","acetate"
"тишеп","acetated"
"товар","acetates"
"тоз","acetation"
"ток","acetazolamide"
"токсик","acetbromamide"
"том","acetenyl"
"томат","Acetes"
"тон","acethydrazide"
"тор","acetiam"
"торак","acetic"
"торалар","acetify"
"торба","acetification"
"торгызу","acetified"
"тормыш","acetifier"
"торт","acetifies"
"тору","acetifying"
"торучы","acetyl"
"торыгыз","acetylacetonates"
"тота","acetylacetone"
"тоташтан","acetylamine"
"тоташтыру","acetylaminobenzene"
"тоткын","acetylaniline"
"тоткыч","acetylasalicylic"
"тотрыклы","acetylate"
"тотрыклылык","acetylated"
"тоту","acetylating"
"тою","acetylation"
"Төбәк","acetylative"
"төгәл","acetylator"
"төгәлләнде","acetylbenzene"
"төәсирле","acetylbenzoate"
"төзелеш","acetylbenzoic"
"төзәтмә","acetylbiuret"
"төзү","acetylcarbazole"
"төкерү","acetylcellulose"
"төн","acetylcholine"
"төньяк","acetylcholinesterase"
"Төньяк-көнбатыш","acetylcholinic"
"төп","acetylcyanide"
"төргәк","acetylenation"
"төркем","acetylene"
"Төркия","acetylenediurein"
"төрле","acetylenes"
"төрлелек","acetylenic"
"төрлечә","acetylenyl"
"төрләнеш","acetylenogen"
"төрләре","acetylfluoride"
"төрмә","acetylglycin"
"төс","acetylglycine"
"төсмер","acetylhydrazine"
"төтен","acetylic"
"төшенкелегенә","acetylid"
"төшенче","acetylide"
"төшенчәсе","acetyliodide"
"төшү","acetylizable"
"Төшү","acetylization"
"трагедия","acetylize"
"трагик","acetylized"
"традицион","acetylizer"
"традиция","acetylizing"
"транзит","acetylmethylcarbinol"
"трансляция","acetylperoxide"
"транспорт","acetylphenylhydrazine"
"транспортлау","acetylphenol"
"тревога","acetylrosaniline"
