"Myanmar","English"
"ဆက်ရန်","abnormity"
"ဆက်လက်","abnormities"
"ဆက်သည်။","abnormous"
"ဆက်သွယ်ပါ။","abnumerable"
"ဆက်သွယ်ရန်","Abo"
"ဆက်သွယ်ရေး","aboard"
"ဆက်သွားပါ။","aboardage"
"ဆင့်ကဲဖြစ်စဉ်","Abobra"
"ဆင်","abococket"
"ဆင်း","abodah"
"ဆင်းရဲ","abode"
"ဆင်းရဲခြင်း","aboded"
"ဆင်းရဲဒုက္ခ","abodement"
"ဆင်းသက်","abodes"
"ဆင်ခြင်တုံတရား","abode's"
"ဆင်ခြေ","abody"
"ဆင်ခြေဖုံး","aboding"
"ဆင်တူသည်။","abogado"
"ဆင်နွှဲ","abogados"
"ဆည်းပူး","abohm"
"ဆဌမ","abohms"
"ဆန့်","aboideau"
"ဆန့်ကျင်ဘက်","aboideaus"
"ဆန့်ကျင်သည်။","aboideaux"
"ဆန္ဒ","aboil"
"ဆန္ဒပြ","aboiteau"
"ဆန္ဒပြသူ","aboiteaus"
"ဆန္ဒဖော်ထုတ်","aboiteaux"
"ဆန်","abolete"
"ဆန့်ကျင်","abolish"
"ဆန်းကြယ်သော","abolishable"
"ဆန်းစစ်ပါ။","abolished"
"ဆန်းသစ်တီထွင်မှု","abolisher"
"ဆန်းသစ်သော","abolishers"
"ဆန်ခါတင်","abolishes"
"ဆပ်ပြာ","abolishing"
"ဆယ့်ငါး","abolishment"
"ဆယ့်တစ်","abolishments"
"ဆယ့်နှစ်","abolishment's"
"ဆယ်ကျော်သက်","abolition"
"ဆယ်စုနှစ်","abolitionary"
"ဆယ်လ်မွန်","abolitionise"
"ဆရာမ","abolitionised"
"ဆရာဝန်","abolitionising"
"ဆွေးနွေးခြင်း။","abolitionism"
"ဆွေးနွေးပါ။","abolitionist"
"ဆွေမျိုး","abolitionists"
"ဆွဲ","abolitionize"
"ဆွဲငင်ခြင်း။","abolitionized"
"ဆွဲငင်အား","abolitionizing"
"ဆွဲဆောင်","abolitions"
"ဆွဲဆောင်မှု","abolla"
"ဆွဲဆောင်မှုရှိသော","abollae"
"ဆွဲထား","aboma"
"ဆွဲပါ","abomas"
"ဆွဲယူပါ။","abomasa"
"ဆားငန်","abomasal"
"ဆာကေး","abomasi"
"ဆာဗာ","abomasum"
"ဆာလောင်မှု","abomasus"
"ဆိတ်","abomasusi"
"ဆိပ်ကမ်း","A-bomb"
"ဆိုးဆိုးရွားရွား","abominability"
"ဆိုက်ရောက်","abominable"
"ဆိုင်","abominableness"
"ဆိုင်းငံ့","abominably"
"ဆိုဒီယမ်","abominate"
"ဆိုပါစို့","abominated"
"ဆိုဗီယက်","abominates"
"ဆိုလိုတာ","abominating"
"ဆိုလိုရင်း","abomination"
"ဆီ","abominations"
"ဆီးချိုရောဂါ","abominator"
"ဆီးရီးယား","abominators"
"ဆီသို့","abomine"
"ဆု","abondance"
"ဆုံ","Abongo"
"ဆုံးဖြတ်","abonne"
"ဆုံးဖြတ်ချက်","abonnement"
"ဆုံးဖြတ်ပါ။","aboon"
"ဆုံးရှုံး","aborad"
"ဆုံးရှုံးမှု","aboral"
"ဆုတံဆိပ်","aborally"
"ဆုတောင်း","abord"
"ဆုတောင်းပါ။","Aboriginal"
"ဆုတ်ယုတ်မှု","aboriginality"
"ဆုပ်ကိုင်","aboriginally"
"ဆုလာဘ်","aboriginals"
"ဆူညံသံ","aboriginary"
"ဆေးခန်း","Aborigine"
"ဆေးခြောက်","aborigines"
"ဆေးစာ","aborigine's"
"ဆေးထိုး","Abor-miri"
"ဆေးဘက်ဆိုင်ရာ","Aborn"
"ဆေးရုံ","aborning"
"ဆေးလိပ်","a-borning"
"ဆေးလုံး","aborsement"
"ဆေးဝါး","aborsive"
"ဆေးသုတ်","abort"
"ဆော့ဖ်ဝဲ","aborted"
"ဆောက်လုပ်ရေး","aborter"
"ဆောင်းပါး","aborters"
"ဆောင်းပါးရှင်","aborticide"
"ဆောင်းရာသီ","abortient"
"ဆောင်ရွက်ရန်","abortifacient"
"ဆော်ဒါ","abortin"
"ဆဲ","aborting"
"ဆဲလ်","abortion"
"ဇကာ","abortional"
"ဇန်နဝါရီ","abortionist"
"ဇယား","abortionists"
"ဇယားကွက်","abortions"
"ဇလုံ","abortion's"
"ဇဝေဇဝါ","abortive"
"ဇွတ်","abortively"
"ဇွန်း","abortiveness"
"ဇွန်လ","abortogenic"
"ဇာတိ","aborts"
"ဇာတ်ကြောင်း","abortus"
"ဇာတ်ကောင်","abortuses"
"ဇာတ်ညွှန်း","abos"
"ဇာတ်လမ်း","abote"
"ဇာတ်သိမ်း","Abott"
"ဇီဝဗေဒ","abouchement"
"ဇုန်","aboudikro"
"ဇူလိုင်လ","abought"
"ဈေးကြီးတယ်။","Aboukir"
"ဉာဏ","aboulia"
"ည","aboulias"
"ညံ့ဖျင်းသည်။","aboulic"
"ညင်သာစွာ","abound"
"ညစာ","abounded"
"ညစ်ညမ်းမှု","abounder"
"ညစ်ပတ်သည်။","abounding"
"ညနေ","aboundingly"
"ညွန့်ပေါင်းအဖွဲ့","abounds"
"ညွှန်ကြားချက်","Abourezk"
"ညွှန်ပြ","about"
"ညွှန်ပြချက်","about-face"
"ညှစ်","about-faced"
"ညှပ်","about-facing"
"ညှိ","abouts"
"ညှိနှိုင်းမှု","about-ship"
"ညှိနှိုင်းရေးမှူး","about-shipped"
"ညှိနှိုင်းသည်","about-shipping"
"ညား","about-sledge"
"ညိ","about-turn"
"ညီမ","above"
"ညီမျှခြင်း","aboveboard"
"ညီမျှမှု","above-board"
"ညီမျှသည်။","above-cited"
"ညီမရဲ့","abovedeck"
"ညီလာခံ","above-found"
"ဌာန","above-given"
"ဌာနချုပ်","aboveground"
"ဌာနခွဲ","abovementioned"
"ဌာနေတိုင်းရင်းသား","above-mentioned"
"တံခါး","above-named"
"တံခါးခုံ","aboveproof"
"တံခါးပေါက်","above-quoted"
"တံဆိပ်","above-reported"
"တံဆိပ်ခေါင်း","aboves"
"တံတွေးထွေး","abovesaid"
"တံတား","above-said"
"တံတောင်ဆစ်","abovestairs"
"တကယ်","above-water"
"တကယ်ပါပဲ","above-written"
"တကျိပ်","abow"
"တကိုယ်လုံး","abox"
"တက္ကသိုလ်","Abp"
"တက်","ABPC"
"တက်ကြွလှုပ်ရှားသူ","Abqaiq"
"တက်ကြွသော","abr"
"တက်တက်ကြွကြွ","abr."
"တက်တူး","Abra"
"တက်ဘလက်","abracadabra"
"တက်ဘ်","abrachia"
"တက်ရောက်","abrachias"
"တက်ရောက်ခြင်း။","abradable"
"တက်လမ်း","abradant"
"တခြား","abradants"
"တခြားနေရာမှာ","abrade"
"တခါ","abraded"
"တင့်ကား","abrader"
"တင်းကျပ်","abraders"
"တင်းကြပ်စွာ","abrades"
"တင်းနစ်","abrading"
"တင်းပါး","Abraham"
"တင်းမာမှု","Abrahamic"
"တင်ဆက်","Abrahamidae"
"တင်ထားပါတယ်။","Abrahamite"
"တင်ပြချက်","Abrahamitic"
"တင်ပြပါ။","Abraham-man"
"တင်ပါးဆုံ","Abrahams"
"တင်ပို့ခြင်း။","Abrahamsen"
"တင်သွင်းခြင်း။","Abrahan"
"တစိတ်တပိုင်း","abray"
"တစ္ဆေ","abraid"
"တစ်ကိုယ်တော်","Abram"
"တစ်ချက်","Abramis"
"တစ်ချိန်ချိန်မှာ","Abramo"
"တစ်ခါတစ်ရံ","Abrams"
"တစ်ခု","Abramson"
"တစ်ခုခု","Abran"
"တစ်ခုစီ","abranchial"
"တစ်ခုတည်း","abranchialism"
"တစ်ခုလုံး","abranchian"
"တစ်စက်","Abranchiata"
"တစ်စိတ်တစ်ပိုင်း","abranchiate"
"တစ်စုံတစ်ယောက်","abranchious"
"တစ်ထောင်","abrasax"
"တစ်နည်းနည်းနဲ့","abrase"
"တစ်နှစ်","abrased"
"တစ်နေ့နေ့","abraser"
"တစ်နေရာရာမှာ","abrash"
"တစ်ပတ်","abrasing"
"တစ်ပွဲ","abrasiometer"
"တစ်ပုဒ်","abrasion"
"တစ်မျိုး","abrasions"
"တစ်ယောက်တည်း","abrasion's"
"တစ်ရှူး","abrasive"
"တစ်လျှောက်","abrasively"
"တစ်လျှောက်လုံး","abrasiveness"
"တစ်ဝက်","abrasivenesses"
"တစ်သက်တာ","abrasives"
"တစ်ဦးချင်း","abrastol"
"တည့်တည့်","abraum"
"တည်းဖြတ်ပါ။","abraxas"
"တည်ငြိမ်မှု","abrazite"
"တည်ငြိမ်သည်။","abrazitic"
"တည်ဆောက်","abrazo"
"တည်တံ့","abrazos"
"တည်ထောင်ခြင်း။","abreact"
"တည်ထောင်သူ","abreacted"
"တည်နေရာ","abreacting"
"တည်ရှိမှု","abreaction"
"တတိယ","abreactions"
"တတ်နိုင်ပါတယ်။","abreacts"
"တတ်နိုင်သည်","abreast"
"တတ်သည်။","abreed"
"တနင်္ဂနွေ","abrege"
"တနင်္လာနေ့","abreid"
"တန်းတူ","abrenounce"
"တန်းတူညီမျှမှု","abrenunciate"
"တန်ခိုး","abrenunciation"
"တန်ပြန်","abreption"
"တန်ဖိုး","abret"
"တန်ဖိုးထား","abreuvoir"
"တန်ဖိုးရှိ","abri"
"တပြိုင်နက်တည်း","abrico"
"တပ်ကြပ်ကြီး","abricock"
"တပ်ဆင်ခြင်း။","abricot"
"တပ်မကြီး","abridgable"
"တပ်မှူး","abridge"
"တပ်အင်အား","abridgeable"
"တဖန်","abridged"
"တဖြည်းဖြည်း","abridgedly"
"တမင်တကာ","abridgement"
"တယ်လီဖုန်း","abridgements"
"တရားခံ","abridger"
"တရားခွင်","abridgers"
"တရားစွဲ","abridges"
"တရားစွဲဆိုမှုများ","abridging"
"တရားစွဲမယ်။","abridgment"
"တရားစီရင်ခြင်း။","abridgments"
"တရားစီရင်ပိုင်ခွင့်","abrim"
"တရားစီရင်ရေး","abrin"
"တရားဉပဒေအတိုင်းဖြစ်သော","abrine"
"တရားမျှတပါ။","abris"
"တရားမျှတမှု","abristle"
"တရားမျှတသော","abroach"
"တရားမဝင်","abroad"
"တရားရုံး","Abrocoma"
"တရားလွှတ်တော်ရှေ့နေ","abrocome"
"တရားဝင်","abrogable"
"တရားဝင်မှု","abrogate"
"တရားသူကြီး","abrogated"
"တရားဟော","abrogates"
"တရုတ်","abrogating"
"တလောကလုံး","abrogation"
"တွက်ချက်မှု","abrogations"
"တွက်ချက်သည်","abrogative"
"တွင်း","abrogator"
"တွင်ကျယ်စွာ","abrogators"
"တွစ်တာ","Abroma"
"တွန့်ဆုတ်","Abroms"
"တွန့်ဆုတ်","Abronia"
"တွန်း","abrood"
"တွန်းထိုး","abrook"
"တွှေ","abrosia"
"တွားသွား","abrosias"
"တွေ့ဆုံဆွေးနွေးရေး","abrotanum"
"တွေ့တယ်။","abrotin"
"တွေး","abrotine"
"တွေးပါ။","abrupt"
"တွဲပြီး","abruptedly"
"တွဲဘက်","abrupter"
"တသမတ်တည်း","abruptest"
"တားဆီး","abruptio"
"တားမြစ်သည်။","abruption"
"တာဘဲ","abruptiones"
"တာယာ","abruptly"
"တာဝန်","abruptness"
"တာဝန်ခံ","Abrus"
"တာဝန်ခံမှု","Abruzzi"
"တာဝန်ယူမှု၊","ABS"
"တာဝန်ရှိတယ်။","abs-"
"တိကျစွာ","Absa"
"တိကျမှု","Absalom"
"တိကျသည်။","absampere"
"တိတ်ဆိတ်","Absaraka"
"တိတ်ဆိတ်ခြင်း။","Absaroka"
"တိတ်ဆိတ်စွာ","Absarokee"
"တိပ်ခွေ","absarokite"
"တိမ်","ABSBH"
"တိမ်တိုက်","abscam"
"တိရစ္ဆာန်","abscess"
"တို့တွင်","abscessed"
"တိုးချဲ့","abscesses"
"တိုးချဲ့မှု","abscessing"
"တိုးတက်","abscession"
"တိုးတက်မှု","abscessroot"
"တိုးတက်သော","abscind"
"တိုးတိုး","abscise"
"တိုးတိုးလေး","abscised"
"တိုးမြှင့်လာသည်","abscises"
"တိုးလာသည်။","abscisin"
"တိုက်ကြီး","abscising"
"တိုက်ခန်း","abscisins"
"တိုက်ခိုက်မှု","abscision"
"တိုက်တွန်းသည်","absciss"
"တိုက်နယ်","abscissa"
"တိုက်ပွဲ","abscissae"
"တိုက်ပွဲများ","abscissas"
"တိုက်ရိုက်","abscissa's"
"တိုက်လေယာဉ်","abscisse"
"တိုင်း","abscissin"
"တိုင်းတာ","abscission"
"တိုင်းတာခြင်း။","abscissions"
"တိုင်းရင်းသား","absconce"
"တိုင်ကြားချက်","abscond"
"တိုင်ကြားပါ။","absconded"
"တိုင်ပင်ပါ။","abscondedly"
"တိုင်အောင်","abscondence"
"တိုတို","absconder"
"တီးဝိုင်း","absconders"
"တီထွင်","absconding"
"တီထွင်ဖန်တီးမှု","absconds"
"တီထွင်မှု","absconsa"
"တီဗီ","abscoulomb"
"တီရှပ်","abscound"
"တုံ့ပြန်","Absecon"
"တုံ့ပြန်ချက်","absee"
"တုံ့ပြန်မှု","absey"
"တုံ့ပြန်သည်။","abseil"
"တုတ်","abseiled"
"တူ","abseiling"
"တူး","abseils"
"တူညီမှု","absence"
"တူတယ်။","absences"
"တူရိယာ","absence's"
"တော","absent"
"တောက်","absentation"
"တောက်ပ","absented"
"တောင့်တင်းသော","absentee"
"တောင်","absenteeism"
"တောင်း","absentees"
"တောင်းဆိုချက်ကို","absentee's"
"တောင်းဆိုမှု","absenteeship"
"တောင်းပန်ခြင်း။","absenter"
"တောင်းပန်ပါတယ်။","absenters"
"တောင်းရမ်း","absentia"
"တောင်ကုန်း","absenting"
"တောင်ပံ","absently"
"တောင်ပိုင်း","absentment"
"တောင်ပေါ်","absentminded"
"တောတွင်း","absent-minded"
"တောမှာ","absentmindedly"
"တောရိုင်းတိရစ္ဆာန်","absent-mindedly"
"တော်လှန်ရေး","absentmindedness"
"တော်လှန်ရေးသမား","absent-mindedness"
"တော်ဝင်","absentmindednesses"
"တဲ","absentness"
"ထံမှ","absents"
"ထက်","absfarad"
"ထက်ထက်","abshenry"
"ထက်မြက်တယ်။","Abshier"
"ထင်းရှူး","Absi"
"ထင်ကြေး","absinth"
"ထင်မြင်ချက်","absinthe"
"ထင်ယောင်ထင်မှား","absinthes"
"ထင်ရသည်။","absinthial"
"ထင်ရှား","absinthian"
"ထင်ရှားသည်။","absinthiate"
"ထင်ရှားသော","absinthiated"
"ထည့်ပါ။","absinthiating"
"ထည့်သွင်းစဉ်းစား","absinthic"
"ထည့်သွင်းပါ။","absinthiin"
"ထည့်သွင်းမှု","absinthin"
"ထန်းလျက်","absinthine"
"ထပ်တူထပ်မျှ","absinthism"
"ထပ်ပြောသည်။","absinthismic"
"ထပ်လုပ်ပါ။","absinthium"
"ထပ်လောင်း","absinthol"
"ထမင်း","absinthole"
"ထမင်းကျွေး","absinths"
"ထမင်းချက်","Absyrtus"
"ထမင်းစား","absis"
"ထမ်းဆောင်ခြင်း။","absist"
"ထရပ်ကား","absistos"
"ထရီလီယံ","absit"
"ထွက်","absmho"
"ထွက်ခွာ","absohm"
"ထွက်ပေါက်","absoil"
"ထွက်သည်","absolent"
"ထွင်းထု","Absolute"
"ထွန်းသစ်စ","absolutely"
"ထွေးပွေ့","absoluteness"
"ထား","absoluter"
"ထားခဲ့ပါ။","absolutes"
"ထားပါတော့","absolutest"
"ထာဝရ","absolution"
"ထိခိုက်","absolutions"
"ထိခိုက်မှု","absolutism"
"ထိခိုက်လွယ်သည်။","absolutist"
"ထိခိုက်သည်။","absolutista"
"ထိတွေ့ခြင်း","absolutistic"
"ထိတွေ့ဆက်ဆံပါ။","absolutistically"
"ထိတွေ့ဆက်ဆံမှု","absolutists"
"ထိတ်လန့်","absolutive"
"ထိတ်လန့်ကြောက်ရွံ့သော","absolutization"
"ထိထိရောက်ရောက်","absolutize"
"ထိန်းချုပ်မှု","absolutory"
"ထိန်းညှိပေးသည်။","absolvable"
"ထိန်းသိမ်းပါ။","absolvatory"
"ထိန်းသိမ်းရေး","absolve"
"ထိပါ။","absolved"
"ထိပ်တန်း","absolvent"
"ထိပ်ဖျား","absolver"
"ထိပ်သီးအစည်းအဝေး","absolvers"
"ထိမိ၍လဲစရာ၊","absolves"
"ထိရောက်မှု","absolving"
"ထိရောက်သည်။","absolvitor"
"ထိလွယ်ရှလွယ်","absolvitory"
"ထို့ကြောင့်","absonant"
"ထို့ကြောင့်","absonous"
"ထို့နောက်","absorb"
"ထို့အပြင်","absorbability"
"ထိုးစစ်","absorbable"
"ထိုးထွင်းသိမြင်မှု","absorbance"
"ထိုက်တန်","absorbancy"
"ထိုက်တန်ပါတယ်။","absorbant"
"ထိုင်","absorbed"
"ထိုင်ခုံ","absorbedly"
"ထိုမှတပါး","absorbedness"
"ထိုအချိန်တွင်","absorbefacient"
"ထုံးစံအတိုင်း","absorbency"
"ထုံးတမ်းစဉ်လာ","absorbencies"
"ထုတ်ကုန်","absorbent"
"ထုတ်ပယ်","absorbents"
"ထုတ်ပြန်သည်","absorber"
"ထုတ်ဖော်","absorbers"
"ထုတ်ဖေါ်","absorbing"
"ထုတ်ယူ","absorbingly"
"ထုတ်လွှင့်သည်။","absorbition"
"ထုတ်လွှတ်မှု","absorbs"
"ထုတ်လုပ်မှု","absorbtion"
"ထုတ်လုပ်သူ","absorpt"
"ထုတ်ဝေ","absorptance"
"ထုတ်ဝေခြင်း။","absorptiometer"
"ထုတ်ဝေမှု","absorptiometric"
"ထုတ်ဝေသူ","absorption"
"ထူးချွန်","absorptional"
"ထူးခြားချက်","absorptions"
"ထူးခြားသည်။","absorption's"
"ထူးခြားသော","absorptive"
"ထူးဆန်းတယ်။","absorptively"
"ထူးဆန်းသည်။","absorptiveness"
"ထူးထူးဆန်းဆန်း","absorptivity"
"ထူထောင်","absquatulate"
"ထောက်ခံချက်","absquatulation"
"ထောက်ခံမှု","abstain"
"ထောက်ခံသည်။","abstained"
"ထောက်ခံသူ","abstainer"
"ထောက်ပံ့ကြေး","abstainers"
"ထောက်ပံ့ရေး","abstaining"
"ထောက်ပံ့သည်။","abstainment"
"ထောက်လှမ်းရေး","abstains"
"ထောင့်","abstemious"
"ထောင်","abstemiously"
"ထောင်ချောက်","abstemiousness"
"ထောပတ်","abstention"
"ထဲသို့","abstentionism"
"ဒစ်","abstentionist"
"ဒစ်ဂျစ်တယ်","abstentions"
"ဒဏ္ဍာရီ","abstentious"
"ဒဏ်ရာ","absterge"
"ဒတ်ခ်ျ","absterged"
"ဒယ်အိုး","abstergent"
"ဒရာမာ","absterges"
"ဒြပ်စင်","absterging"
"ဒဿန","absterse"
"ဒါကြောင့်","abstersion"
"ဒါဇင်","abstersive"
"ဒါတွေ","abstersiveness"
"ဒါပေမယ့်","abstertion"
"ဒါရိုက်တာ","abstinence"
"ဒိန်ခဲ","abstinences"
"ဒိုင်း","abstinency"
"ဒိုင်းနမစ်များ","abstinent"
"ဒိုင်ယာရီ","abstinential"
"ဒိုမိန်း","abstinently"
"ဒီ","abstort"
"ဒီကြားထဲမှာ","abstr"
"ဒီဇင်ဘာ","abstract"
"ဒီဇိုင်း","abstractable"
"ဒီဇိုင်နာ","abstracted"
"ဒီည","abstractedly"
"ဒီနေ့","abstractedness"
"ဒီမှာ","abstracter"
"ဒီမိုကရက်တစ်","abstracters"
"ဒီမိုကရေစီ","abstractest"
"ဒီရေ","abstracting"
"ဒု","abstraction"
"ဒုံးကျည်","abstractional"
"ဒုံးပျံ","abstractionism"
"ဒုက္ခ","abstractionist"
"ဒုက္ခသည်","abstractionists"
"ဒုတိယ","abstractions"
"ဒုဗိုလ်","abstraction's"
"ဒူး","abstractitious"
"ဒေတာ","abstractive"
"ဒေတာဘေ့စ","abstractively"
"ဒေဝါလီခံ","abstractiveness"
"ဒေသ","abstractly"
"ဒေသဆိုင်ရာ","abstractness"
"ဒေါင်းလုဒ်လုပ်ပါ။","abstractnesses"
"ဒေါသ","abstractor"
"ဒေါသထွက်သည်။","abstractors"
"ဒေါ်လာ","abstractor's"
"ဓမ္မ","abstracts"
"ဓမ္မပညာ","abstrahent"
"ဓား","abstrict"
"ဓါး","abstricted"
"ဓားစာခံ","abstricting"
"ဓာတုဗေဒ","abstriction"
"ဓာတ်ခွဲခန်း","abstricts"
"ဓာတ်ငွေ့","abstrude"
"ဓာတ်ဆီ","abstruse"
"ဓာတ်ပုံ","abstrusely"
"ဓာတ်ပုံဆရာ","abstruseness"
"ဓာတ်ပုံပညာ","abstrusenesses"
"ဓာတ်မှန်ရိုက်ခြင်း။","abstruser"
"ဓာတ်ရောင်ခြည်","abstrusest"
"ဓာတ်လှေကား","abstrusion"
"နံနက်","abstrusity"
"နံပါတ်","abstrusities"
"နံရံ","absume"
"နံရံကပ်ကြော်ငြာ","absumption"
"နက္ခတ္တဗေဒပညာရှင်","absurd"
"နက်နက်ရှိုင်းရှိုင်း","absurder"
"နက်နဲသည်။","absurdest"
"နဂါး","absurdism"
"နစ်","absurdist"
"နည်း","absurdity"
"နည်းနည်း","absurdities"
"နည်းပညာ","absurdity's"
"နည်းပညာပိုင်းဆိုင်ရာ","absurdly"
"နည်းပညာပိုင်းအရ","absurdness"
"နည်းပြ","absurds"
"နည်းပြဆရာ","absurdum"
"နည်းဗျူဟာ","absvolt"
"နည်းလမ်း","abt"
"နည်းသော","abterminal"
"နတ်ဆိုး","abthain"
"နတ်သမီးလေး","abthainry"
"နန်းတော်","abthainrie"
"နဖူး","abthanage"
"နမူနာ","abtruse"
"နမ်း","Abu"
"နယ်စပ်","abubble"
"နယ်နိမိတ်","Abu-Bekr"
"နယ်မြေ","Abucay"
"နွယ်","abucco"
"နွား","abuilding"
"နွားမ","Abukir"
"နွေး","abuleia"
"နွေရာသီ","Abulfeda"
"နွေဦး","abulia"
"နှင့်","abulias"
"နှင့်/သို့မဟုတ်","abulic"
"နှင်","abulyeit"
"နှင့်","abulomania"
"နှင်း","abumbral"
"နှင်းဆီ","abumbrellar"
"နှင်းလျှောစီးခြင်း။","Abuna"
"နှစ်ကြိမ်","abundance"
"နှစ်ခြိုက်စွာ","abundances"
"နှစ်ခု","abundancy"
"နှစ်ခုလုံး","abundant"
"နှစ်စဉ်","Abundantia"
"နှစ်ဆ","abundantly"
"နှစ်ဆယ်","abune"
"နှစ်ပတ်လည်နေ့","abura"
"နှစ်သိမ့်မှု","aburabozu"
"နှမြောတယ်။","aburagiri"
"နှလုံး","aburban"
"နှာခေါင်း","Abury"
"နှိပ်စက်ခြင်း။","aburst"
"နှိပ်ပါ။","aburton"
"နှိုးစက်","abusable"
"နှိုက်နှိုက်ချွတ်ချွတ်","abusage"
"နှိုင်းယှဉ်","abuse"
"နှုတ်ခမ်း","abused"
"နှုတ်ဆက်ပါတယ်။","abusedly"
"နှုတ်ဆက်သည်။","abusee"
"နှုတ်ဖြင့်","abuseful"
"နှုန်း","abusefully"
"နှေးနှေး","abusefulness"
"နှောက်ယှက်သည်။","abuser"
"နှောင့်နှေးခြင်း။","abusers"
"နှောင့်ယှက်ခြင်း။","abuses"
"နှောင်ကြိုး","abush"
"နား","abusing"
"နားထောင်ပါ။","abusion"
"နားထောင်သူ","abusious"
"နားမလည်","abusive"
"နားလည်မှု","abusively"
"နားလည်သည်","abusiveness"
"နာကျင်","abusivenesses"
"နာကျင်မှု","abut"
"နာက်","Abuta"
"နာတာရှည်","Abutilon"
"နာမကျန်းဖြစ်ခြင်း","abutilons"
"နာမည်","abutment"
"နာမည်ကြီး","abutments"
"နာရီ","abuts"
"နိဂုံးချုပ်","abuttal"
"နိမ့်","abuttals"
"နိယာမ","abutted"
"နို့","abutter"
"နိုး","abutters"
"နိုင်","abutter's"
"နိုင်ငံ","abutting"
"နိုင်ငံခြား","abuzz"
"နိုင်ငံခြားမှာ","abv"
"နိုင်ငံတကာ","abvolt"
"နိုင်ငံတော်","abvolts"
"နိုင်ငံရေး","abwab"
"နိုင်ငံရေးသမား","abwatt"
"နိုင်ငံရေးအရ","abwatts"
"နိုင်ငံသား","ac"
"နိုင်နိုင်နင်းနင်း","ac-"
"နိုင်ပြီ","a-c"
"နိုင်သည်","AC/DC"
"နိုဝင်ဘာလ","ACAA"
"နီးနီးကပ်ကပ်","Acacallis"
"နီးပါး","acacatechin"
"နုတ်ထွက်","acacatechol"
"နူးညံ့သည်။","Acacea"
"နူးညံ့သိမ်မွေ့","Acaceae"
"နူးညံ့သော","acacetin"
"နေ","Acacia"
"နေ့","Acacian"
"နေ့စဉ်","acacias"
"နေ့တိုင်း","acaciin"
"နေ့လည်","acacin"
"နေ့လယ်စာ","acacine"
"နေထိုင်ခြင်း။","acad"
"နေထိုင်မှုပုံစံ","academe"
"နေထိုင်ရာ","academes"
"နေထိုင်သူ","Academy"
"နေပါ။","academia"
"နေမကောင်း","academial"
"နေရာ","academian"
"နေရာချထားခြင်း။","academias"
"နေရာတိုင်း","Academic"
"နေရာအနှံ","academical"
"နေရာအနှံ့","academically"
"နေရောင်ခြည်","academicals"
"နေဝင်ချိန်","academician"
"နေသာသည်။","academicians"
"နောက်ကျ","academicianship"
"နောက်ကွယ်","academicism"
"နောက်ခံ","academics"
"နောက်ခံစကားပြောသူ","academie"
"နောက်ခံလူ","academies"
"နောက်ဆက်တွဲ","academy's"
"နောက်ဆုံး","academise"
"နောက်ဆုံးတော့","academised"
"နောက်တစ်ခု","academising"
"နောက်တွဲယာဉ်","academism"
"နောက်ထပ်","academist"
"နောက်ပိုင်း","academite"
"နောက်လိုက်","academization"
"နောင်တ","academize"
"ပံ့ပိုးကူညီသူ","academized"
"ပံ့ပိုးပေးသည်။","academizing"
"ပံ့ပိုးပေးသူ","Academus"
"ပံ့ပိုးမှု","Acadia"
"ပကတိ","acadialite"
"ပက်လက်","Acadian"
"ပခုံး","Acadie"
"ပခုံးတွန့်","Acaena"
"ပင်","acajou"
"ပင်စင်","acajous"
"ပင်စည်","acal"
"ပင်ပန်းသည်။","acalculia"
"ပင်မရေစီးကြောင်း","acale"
"ပင်လယ်","acaleph"
"ပင်လယ်ကွေ့","Acalepha"
"ပင်လယ်ဓားပြ","Acalephae"
"ပင်လယ်အော်","acalephan"
"ပစ္စက္ခ","acalephe"
"ပစ္စည်း","acalephes"
"ပစ္စည်းကိရိယာ","acalephoid"
"ပစ္စည်းတွေ","acalephs"
"ပစ္စည်းဥစ္စာ","Acalia"
"ပစ္စုပ္ပန်","acalycal"
"ပစ်","acalycine"
"ပစ်ပယ်","acalycinous"
"ပစ်မှတ်","acalyculate"
"ပစ်လွှတ်ခြင်း။","Acalypha"
"ပဉ္စမ","Acalypterae"
"ပညာ","Acalyptrata"
"ပညာပေး","Acalyptratae"
"ပညာပေးဆရာ","acalyptrate"
"ပညာရှင်","Acamar"
"ပညာရှိ","Acamas"
"ပညာရေး","Acampo"
"ပညာသင်ဆု","acampsia"
"ပဋိပက္ခ","acana"
"ပဌာန်း","acanaceous"
"ပတ္တူ","acanonical"
"ပတ်ပတ်လည်","acanth"
"ပတ်လမ်း","acanth-"
"ပတ်ဝန်းကျင်","acantha"
"ပတ်သက်","Acanthaceae"
"ပထမ","acanthaceous"
"ပန်း","acanthad"
"ပန်းကန်","Acantharia"
"ပန်းချီ","acanthi"
"ပန်းချီဆရာ","Acanthia"
"ပန်းခြံ","acanthial"
"ပန်းတိုင်","acanthin"
"ပန်းပု","acanthine"
"ပန်းရောင်","acanthion"
"ပန်းသီး","acanthite"
"ပန်ကာ","acantho-"
"ပန်ထွာ","acanthocarpous"
"ပမာဏ","Acanthocephala"
"ပယ်ဖျက်ပါ။","acanthocephalan"
"ပျံ့","Acanthocephali"
"ပျံသန်း","acanthocephalous"
"ပျက်ကျ","Acanthocereus"
"ပျက်စီးခြင်း။","acanthocladous"
"ပျင်းစရာ","Acanthodea"
"ပျင်းသည်။","acanthodean"
