"Afrikaans","English"
"Kanker","cancer"
"kans","chance"
"kanselleer","cancel"
"kant","side"
"kantoor","office"
"kap","chop"
"kapasiteit","capacity"
"kapitaal","capital"
"kapitalisme","capitalism"
"kaptein","captain"
"karakter","character"
"karakteriseer","characterize"
"karretjie","cart"
"kas","cupboard"
"kasteel","castle"
"kat","cat"
"kategorie","category"
"katoen","cotton"
"katoliek","Catholic"
"keel","throat"
"keiser","emperor"
"kelder","cellar"
"ken","know"
"kenmerk","feature"
"kenner","expert"
"kennis","knowledge"
"kêrel","guy"
"kerf","carve"
"kerk","church"
"kern","core"
"kernkrag","nuclear power"
"kers","candle"
"Kersfees","Christmas"
"ketting","chain"
"keuse","choice"
"kies","choose"
"kieser","voter"
"kind","child"
"kinderjare","childhood"
"kit","kit"
"kitaar","guitar"
"kla","complain"
"klaarmaak","finish"
"klagte","complaint"
"klank","sound"
"klap","slap"
"klas","class"
"klaskamer","classroom"
"klassiek","classic"
"klassifiseer","classify"
"klavier","piano"
"klei","clay"
"klein","small"
"kleinhandel","retail"
"kleinhandelaar","retailer"
"klem","clamp"
"klere","clothes"
"klerk","clerk"
"kleur","color"
"kliënt","client"
"klik","click"
"klim","climb"
"klimaat","climate"
"kliniek","clinic"
"klinies","clinical"
"klip","stone"
"klok","clock"
"klomp","bunch"
"kloof","gap"
"klop","knock"
"klousule","clause"
"klub","club"
"Knal","bang"
"knie","knee"
"knik","nod"
"knip","cut"
"knoffel","garlic"
"knoppie","button"
"koalisie","coalition"
"kode","code"
"koeël","bullet"
"koei","cow"
"koek","cake"
"koekie","cookie"
"koel","cool"
"koerant","newspaper"
"koers","course"
"koevert","envelope"
"koffie","coffee"
"kognitiewe","cognitive"
"kok","chef"
"kol","spot"
"kolf","bat"
"kollega","colleague"
"kollege","college"
"kollektief","collective"
"kolom","column"
"kolonel","colonel"
"koloniale","colonial"
"kolonie","colony"
"kom","come"
"kombers","blanket"
"kombinasie","combination"
"kombineer","combine"
"kombuis","kitchen"
"komedie","comedy"
"komende","upcoming"
"komiese","comic"
"komitee","committee"
"kommentaar","comment"
"kommer","concern"
"kommersiële","commercial"
"kommissaris","commissioner"
"kommissie","commission"
"kommoditeit","commodity"
"kommunikasie","communication"
"kommunikeer","communicate"
"kommunis","communist"
"kompeteer","compete"
"kompetisie","competition"
"kompleks","complex"
"kompleksiteit","complexity"
"komplot","conspiracy"
"komponent","component"
"kompromie","compromise"
"kon","can"
"konferensie","conference"
"konflik","conflict"
"konfronteer","confront"
"kongres","congress"
"kongreslid","congressman"
"koning","king"
"koningin","queen"
"koninklike","royal"
"koninkryk","kingdom"
"konsekwent","consistent"
"konsensus","consensus"
"konsentrasie","concentration"
"konsentreer","concentrate"
"konsep","concept"
"konsepsie","conception"
"konsert","concert"
"konserwatief","conservative"
"konstant","constant"
"konstruksie","construction"
"konsultant","consultant"
"Kontak","contact"
"kontant","cash"
"konteks","context"
"kontemporêr","contemporary"
"kontrak","contract"
"kontrakteur","contractor"
"kontras","contrast"
"konvensie","convention"
"konvensionele","conventional"
"kook","cook"
"koolhidrate","carbohydrates"
"koolstof","carbon"
"koop","buy"
"koord","cord"
"koördineerder","coordinator"
"koors","fever"
"kop","head"
"koper","buyer"
"kopieer","copy"
"kopiereg","copyright"
"koppelvlak","interface"
"koppie","cup"
"Koreaans","Korean"
"koring","wheat"
"korporasie","corporation"
"korporatiewe","corporate"
"korps","corps"
"korrek","correct"
"korrelasie","correlation"
"korrespondent","correspondent"
"korrupsie","corruption"
"korrupte","corrupt"
"kort","short"
"kortliks","briefly"
"kos","food"
"kosbaar","precious"
"koshuis","dormitory"
"koste","cost"
"kostuum","costume"
"kou","chew"
"koud","cold"
"kraag","collar"
"kraak","crack"
"krag","power"
"kragtig","powerful"
"kranksinnig","insane"
"krans","cliff"
"krap","scratch"
"kreatief","creative"
"kreatiwiteit","creativity"
"krediet","credit"
"kreek","creek"
"krimineel","criminal"
"krimp","shrink"
"kring","circle"
"krisis","crisis"
"kristal","crystal"
"kriteria","criteria"
"kritiek","criticism"
"krities","critical"
"kritikus","critic"
"kritiseer","criticize"
"kroeg","pub"
"kromme","curve"
"kroniek","chronicle"
"kroon","crown"
"kruideniersware","groceries"
"kruie","herb"
"kruik","jar"
"kruip","crawl"
"kry","get"
"kulturele","cultural"
"kultuur","culture"
"kundigheid","expertise"
"kuns","art"
"kunsmatige","artificial"
"kunstenaar","artist"
"kurrikulum","curriculum"
"kursus","course"
"kus","coast"
"kussing","cushion"
"kwaad","angry"
"kwalifiseer","qualify"
"kwansuis","supposedly"
"kwantum","quantum"
"kwartaal","quarter"
"kwas","brush"
"kwesbaar","vulnerable"
"kwotasie","quotation"
"kyk","look"
"kyker","viewer"
"laag","layer"
"laai","load"
"laan","avenue"
"laasgenoemde","latter"
"laaste","last"
"laat","late"
"laboratorium","laboratory"
"laer","lower"
"lag","laugh"
"lamp","lamp"
"land","country"
"landbou","agriculture"
"landelik","rural"
"landing","landing"
"landskap","landscape"
"langsaan","adjacent"
"lank","long"
"lap","cloth"
"las","load"
"lasbrief","warrant"
"laser","laser"
"later","later"
"Latyns","Latin"
"lê","lie"
"ledemaat","limb"
"leef","live"
"leeg","empty"
"leen","loan"
"leer","learn"
"lêer","file"
"leerder","learner"
"leerstelling","doctrine"
"lees","read"
"leeu","lion"
"legende","legend"
"legkaart","puzzle"
"lei","lead"
"leiding","leadership"
"leidraad","guideline"
"leier","leader"
"leierskap","leadership"
"lek","leak"
"lekker","delicious"
"lekkergoed","candy"
"lelik","ugly"
"lem","blade"
"lengte","length"
"lening","loan"
"lens","lens"
"lente","spring"
"les","lesson"
"leser","reader"
"lesing","lecture"
"lessenaar","desk"
"letterkunde","literature"
"letterlik","literally"
"leuenaar","liar"
"leun","lean"
"lewe","life"
"lewende","living"
"lewendig","lively"
"lewensduur","lifespan"
"lewensstyl","lifestyle"
"lewensvatbaar","viable"
"lewer","deliver"
"liberaal","liberal"
"lid","member"
"lidmaatskap","membership"
"liedjie","song"
"liefdadigheid","charity"
"liefde","love"
"liefdevol","loving"
"liefie","sweetheart"
"lieflik","lovely"
"liefling","darling"
"lieg","lie"
"Liewe","dear"
"lig","light"
"liga","league"
"liggaam","body"
"liggies","lightly"
"ligging","location"
"links","left"
"lip","lip"
"lirieke","lyrics"
"lisensie","license"
"liter","liter"
"literêre","literary"
"lobby","lobby"
"lof","praise"
"logies","logical"
"logika","logic"
"lojaal","loyal"
"lojaliteit","loyalty"
"lok","entice"
"lokaal","local"
"lokval","trap"
"long","lung"
"loon","wage"
"loop","walk"
"loopbaan","career"
"los","loose"
"lot","fate"
"lug","air"
"lughawe","airport"
"lugredery","airline"
"lui","lazy"
"luister","listen"
"luisteraar","listener"
"luitenant","lieutenant"
"lus","desire"
"ly","suffer"
"lyding","suffering"
"lyk","seem"
"lyn","line"
"lys","list"
"ma","mother"
"maag","stomach"
"maak","make"
"maan","moon"
"maand","month"
"Maandag","Monday"
"maandeliks","monthly"
"maar","but"
"maat","friend"
"maatjie","buddy"
"maatskappy","company"
"mag","may"
"magies","magical"
"magtig","authorize"
"maker","maker"
"maklik","easy"
"maksimum","maximum"
"mal","crazy"
"mamma","mom"
"man","man"
"mandaat","mandate"
"mandjie","basket"
"manier","manner"
"manipuleer","manipulate"
"manlik","masculine"
"marge","margin"
"mariene","marine"
"mark","market"
"masjien","machine"
"masker","mask"
"massa","mass"
"massief","massive"
"mat","mat"
"mate","extent"
"materiaal","material"
"matig","moderate"
"medalje","medal"
"mede","co-"
"mededingend","competitive"
"mededinger","competitor"
"media","media"
"medies","medical"
"medikasie","medication"
"medisyne","medicine"
"medium","medium"
"meel","flour"
"meer","more"
"meerderheid","majority"
"meestal","mostly"
"meeste","most"
"meester","master"
"meet","measure"
"meganies","mechanical"
"meganisme","mechanism"
"meisie","girl"
"Meksikaans","Mexican"
"Meld","report"
"melk","milk"
"meneer","sir"
"meng","mix"
"mengsel","mixture"
"meningpeiling","poll"
"mens","human"
"mensdom","humanity"
"mense","people"
"mentor","mentor"
"meriete","merit"
"merk","mark"
"merker","marker"
"merkwaardig","remarkable"
"mes","knife"
"met","with"
"metaal","metal"
"metafoor","metaphor"
"meter","meter"
"metgesel","companion"
"meting","measurement"
"metode","method"
"meubels","furniture"
"meul","mill"
"Mevrou","mrs"
"middag","afternoon"
"middagete","lunch"
"midde","middle"
"middel","means"
"middernag","midnight"
"mielies","corn"
"migrasie","migration"
"mik","aim"
"militêre","military"
"miljard","billion"
"miljoen","million"
"min","less"
"minder","less"
"minderheid","minority"
"minderjarige","minor"
"minimaal","minimal"
"minimaliseer","minimize"
"minimum","minimum"
"minister","minister"
"minnaar","lover"
"minste","least"
"minuut","minute"
"mis","miss"
"misbruik","abuse"
"misdaad","crime"
"miskien","perhaps"
"miskyk","overlook"
"misluk","fail"
"mislukking","failure"
"missiel","missile"
"misterie","mystery"
"mite","myth"
"mm","mm"
"mm-hmm","mm-hmm"
"mmm","mmm"
"modder","mud"
"mode","fashion"
"model","model"
"modern","modern"
"moed","courage"
"moeg","tired"
"moeilik","difficult"
"moeilikheid","difficulty"
"moeite","effort"
"moer","nut"
"moet","must"
"molekule","molecule"
"momentum","momentum"
"mond","mouth"
"mondeling","oral"
"monitor","monitor"
"monster","monster"
"monument","monument"
"mooi","beautiful"
"moontlik","possible"
"moontlikheid","possibility"
"moord","murder"
"moordenaar","murderer"
"moraliteit","morality"
"môre","morning"
"morele","moral"
"mors","spill"
"moslem","Muslim"
"motief","motive"
"motiveer","motivate"
"motivering","motivation"
"motor","car"
"motorhuis","garage"
"mou","sleeve"
"muis","mouse"
"muntstuk","coin"
"museum","museum"
"musiek","music"
"musikale","musical"
"musikant","musician"
"muur","wall"
"my","me"
"myl","mile"
"myne","mine"
"myself","myself"
"na","to"
"naak","approach"
"naald","needle"
"naam","name"
"naby","near"
"nag","night"
"nagereg","dessert"
"nagmerrie","nightmare"
"nakoming","compliance"
"nalatenskap","legacy"
"namens","on behalf"
"narratief","narrative"
"nasie","nation"
"nasionale","national"
"nastreef","pursue"
"nat","wet"
"natrium","sodium"
"natuurlik","natural"
"natuurlike","natural"
"navorser","researcher"
"navorsing","research"
"navraag","inquiry"
"naweek","weekend"
"nederlaag","defeat"
"Nederlands","Dutch"
"nedersetting","settlement"
"neef","cousin"
"neem","take"
"neerdaal","descend"
"neerstort","crash"
"negatief","negative"
"nege","nine"
"neig","tend"
"neiging","tendency"
"nek","neck"
"nes","nest"
"net","just"
"netwerk","network"
"neus","nose"
"neutraal","neutral"
"nie","not"
"nietemin","nevertheless"
"niewinsorganisasie","nonprofit"
"niks","nothing"
"nm","nm"
"nodig","necessary"
"noem","mention"
"nog","still"
"nogal","quite"
"nomineer","nominate"
"nommer","number"
"nonsens","nonsense"
"noodgeval","emergency"
"noodsaaklik","essential"
"noodsaaklikheid","necessity"
"noodwendig","necessarily"
"nooi","invite"
"nooit","never"
"noord","north"
"noordelike","northern"
"noordoos","northeast"
"Noordwes","northwest"
"norm","norm"
"normaal","normal"
"normaalweg","normally"
"nota","note"
"nou","now"
"noukeurig","careful"
"November","November"
"nul","zero"
"nut","utility"
"nutteloos","useless"
"nuttig","useful"
"nuus","news"
"nuuskierig","curious"
"nuuskierigheid","curiosity"
"nuut","new"
"nuweling","newcomer"
"o","oh"
"oefen","practice"
"oefensessie","training"
"oënskynlike","apparent"
"oerwoud","jungle"
"of","or"
"óf","either"
"offer","sacrifice"
"oggend","morning"
"okay","okay"
"Oktober","October"
"olie","oil"
"olifant","elephant"
"Olimpiese","Olympic"
"olyf","olive"
"omgekeer","reversed"
"omgewing","environment"
"omhels","embrace"
"omliggende","surrounding"
"omring","surround"
"omskakeling","conversion"
"omskep","transform"
"omstandigheid","circumstance"
"omstrede","controversial"
"omstredenheid","controversy"
"omvang","scope"
"omvattend","comprehensive"
"onafhanklik","independent"
"onafhanklikheid","independence"
"onbekend","unknown"
"onbeskof","rude"
"ondanks","despite"
"onder","under"
"onderbreek","interrupt"
"ondergaan","undergo"
"ondergang","downfall"
"onderhandel","negotiate"
"onderhandeling","negotiation"
"onderhoud","interview"
"onderkant","bottom"
"onderliggende","underlying"
"ondermyn","undermine"
"onderneem","undertake"
"onderneming","enterprise"
"onderrig","teach"
"onderskei","distinguish"
"onderskeid","distinction"
"onderskeidelik","respectively"
"onderskryf","endorse"
"ondersoek","investigate"
"ondersoeker","investigator"
"ondersteun","support"
"ondersteunend","supportive"
"ondersteuner","supporter"
"ondersteuning","support"
"ondervinding","experience"
"onderwerp","subject"
"onderwys","education"
"onderwyser","teacher"
"ondeug","mischief"
"onduidelik","unclear"
"ongeag","regardless"
"ongeïdentifiseer","unidentified"
"ongekend","unprecedented"
"ongelooflik","incredible"
"ongeluk","accident"
"ongelukkig","unfortunately"
"Ongelukkig","unfortunately"
"ongemaklik","uncomfortable"
"ongevalle","accidents"
"ongeveer","approximately"
"ongewoon","unusual"
"onkruid","weed"
"onkunde","ignorance"
"onkundig","ignorant"
"onlangs","recently"
"onlangse","recent"
"onmiddellik","immediate"
"onmoontlik","impossible"
"onnosel","foolish"
"onregverdig","unfair"
"ons","us"
"onsekerheid","uncertainty"
"onsigbare","invisible"
"onskuldig","innocent"
"onsself","ourselves"
"ontbloot","expose"
"ontbyt","breakfast"
"ontdek","discover"
"ontdekking","discovery"
"ontelbare","countless"
"onthalwe","except"
"onthou","remember"
"ontken","deny"
"ontkenning","denial"
"ontleder","analyst"
"ontleding","analysis"
"ontleed","analyze"
"ontmoedig","discourage"
"ontmoet","meet"
"ontmoeting","meeting"
"ontplof","explode"
"ontploffing","explosion"
"ontplooi","deploy"
"ontsagwekkende","awe-inspiring"
"ontslaan","dismiss"
"ontslae","rid"
"ontsnap","escape"
"ontspan","relax"
"ontstaan","emerge"
"ontstel","upset"
"onttrek","withdraw"
"ontvang","receive"
"ontvanger","recipient"
"ontvangs","reception"
"ontvou","unfold"
"ontwerp","design"
"ontwerper","designer"
"ontwikkel","develop"
"ontwikkelaar","developer"
"ontwikkeling","development"
"ontwikkelings-","developmental"
"onvanpas","inappropriate"
"onvermydelik","inevitable"
"onverwags","unexpected"
"onwaar","untrue"
"onwaarskynlik","unlikely"
"onwettig","illegal"
"onwillig","unwilling"
"oog","eye"
"ooh","ooh"
"ooit","ever"
"ook","also"
"oom","uncle"
"oomblik","moment"
"oombliklik","instant"
"oond","oven"
"oopmaak","open"
"oor","ear"
"oorblywende","remaining"
"oord","resort"
"oordeel","judgment"
"oordra","transfer"
"oordrag","transfer"
"ooreenkoms","agreement"
"oorgang","transition"
"oorheers","dominate"
"oorkant","opposite"
"oorkom","overcome"
"oorleef","survive"
"oorlewende","survivor"
"oorlewing","survival"
"oorlog","war"
"oorreed","persuade"
"oorsaak","cause"
"oorskry","exceed"
"oorsprong","origin"
"oorspronklik","original"
"oorspronklike","original"
"oortjie","tab"
"oortreder","offender"
"oortreding","violation"
"oortree","violate"
"oortuig","convince"
"oortuigend","convincing"
"oorweeg","consider"
"oorweging","consideration"
"oorweldigend","overwhelming"
"oorwinning","victory"
"oos","east"
"oostelike","eastern"
"op","on"
"opbrengs","yield"
"Opdateer","update"
"opdrag","assignment"
"opeenvolgende","consecutive"
"openbaar","public"
"openbaarmaking","disclosure"
"openbaring","revelation"
"opening","opening"
"openlik","openly"
"opera","opera"
"operasie","operation"
"operateur","operator"
"opgewonde","excited"
"opgewondenheid","excitement"
"opgradeer","upgrade"
"ophou","stop"
"opinie","opinion"
"opkomende","emerging"
"oplê","impose"
"opleiding","training"
"oplos","solve"
"oplossing","solution"
"opmerking","remark"
"opname","recording"
"opoffering","sacrifice"
"oppervlak","surface"
"opponent","opponent"
"opposisie","opposition"
"oproer","riot"
"opsie","option"
"opskort","suspend"
"opskrif","headline"
"opsomming","summary"
"opspoor","track"
"opstel","essay"
"optel","pick up"
"optimisties","optimistic"
"optog","parade"
"optrede","performance"
"opvoed","educate"
"opvoeder","educator"
"opvoedkundig","educational"
"opwindende","exciting"
"oral","everywhere"
"oranje","orange"
"orde","order"
"ordentlik","decent"
"organies","organic"
"organisasie","organization"
"organiseer","organize"
"organisme","organism"
"oriëntasie","orientation"
"orkaan","hurricane"
"orrel","organ"
"oseaan","ocean"
"ou","old"
"oud","old"
"ouderdom","age"
"ouderling","elder"
"ouer","parent"
"ouerlike","parental"
"oukei","okay"
"oulik","cute"
"ouma","grandmother"
"oupa","grandfather"
"outo","auto"
"outomaties","automatic"
"pa","father"
"paal","pole"
"paar","couple"
"pad","road"
"pak","suit"
"pakket","package"
"paleis","palace"
"palestynse","Palestinian"
"palm","palm"
"pan","pan"
"paneel","panel"
"paniek","panic"
"papier","paper"
"pappa","daddy"
"parade","parade"
"paragraaf","paragraph"
"parameter","parameter"
"park","park"
"parkering","parking"
"partytjie","party"
"pas","fit"
"pasgemaak","customized"
"pasiënt","patient"
"passasier","passenger"
"passie","passion"
"passievol","passionate"
"pastei","pie"
"pastoor","pastor"
"patent","patent"
"patrollie","patrol"
"patroon","pattern"
"pen","pen"
"pendeltuig","shuttle"
"pensioen","pension"
"peper","pepper"
"per","per"
"perd","horse"
"perfek","perfect"
"permanent","permanent"
"permit","permit"
"pers","press"
"persent","percent"
"persentasie","percentage"
"persepsie","perception"
"personeel","personnel"
"persoon","person"
"persoonlik","personal"
"persoonlikheid","personality"
"perspektief","perspective"
"pet","hat"
"petisie","petition"
"petrol","petrol"
"pienk","pink"
"piesang","banana"
"pil","pill"
"pis","pee"
"pizza","pizza"
"pla","place"
"plaas","farm"
"plaaslike","local"
"plafon","ceiling"
"plakkaat","poster"
"planeet","planet"
"plant","plant"
"plasing","placement"
"plastiek","plastic"
"plat","flat"
"platform","platform"
"pleeg","commit"
"pleidooi","plea"
"pleister","plaster"
"pleit","plead"
"plek","place"
"plesier","pleasure"
"plig","duty"
"plus","plus"
"poeier","powder"
"poësie","poetry"
"poging","attempt"
"polisie","police"
"polisieman","policeman"
"politiek","politics"
"polities","political"
"politiese","political"
"politikus","politician"
"pols","pulse"
"pomp","pump"
"pond","pound"
"pop","pop"
"Pop","pop"
"portefeulje","portfolio"
"portret","portrait"
"pos","position"
"pose","pose"
"posisie","position"
"positief","positive"
"Post","post"
"pot","pot"
"potensiaal","potential"
"potensieel","potential"
"pous","pope"
"pouse","pope"
"praat","talk"
"pragtig","beautiful"
"pragtige","gorgeous"
"prakties","practical"
"praktisyn","practitioner"
"preek","sermon"
"premie","premium"
"prent","picture"
"presidensie","presidency"
"presidensiële","presidential"
"president","president"
"presies","precise"
"prestasie","performance"
"presteer","perform"
"pret","fun"
"priester","priest"
"prime","prime"
"primêre","primary"
"prins","prince"
"prinses","princess"
"prioriteit","priority"
"privaat","private"
"privaatheid","privacy"
"pro","pro"
"probeer","try"
"probleem","problem"
"produk","product"
"produksie","production"
"produktief","productive"
"produktiwiteit","productivity"
"produseer","produce"
"profeet","prophet"
"professionele","professional"
"professor","professor"
"profiel","profile"
"program","program"
"Programmering","programming"
"progressief","progressive"
"projek","project"
"projeksie","projection"
"prokureur","attorney"
"prominent","prominent"
"propaganda","propaganda"
"proporsie","proportion"
"prosedure","procedure"
"proses","process"
"proteïen","protein"
"protesteer","protest"
"protokol","protocol"
"provinsie","province"
"prys","price"
"publiek","public"
"publikasie","publication"
"publiseer","publish"
"publisering","publishing"
"puik","excellent"
"punt","point"
"pure","pure"
"put","well"
"pyl","arrow"
"pyn","pain"
"pynlike","painful"
"pyp","pipe"
"pyplyn","pipeline"
"quarterback","quarterback"
"raad","council"
"raadpleeg","consult"
"raai","guess"
"raak","touch"
"raam","frame"
"raamwerk","framework"
"radar","radar"
"radikaal","radical"
"radio","radio"
"rak","shelf"
"ramp","disaster"
"rand","edge"
"rang","rank"
"rapporteer","report"
"ras","race"
"rasionele","rational"
"rasse","races"
"rassisme","racism"
"rassisties","racist"
"rat","gear"
"reageer","react"
"reaksie","reaction"
"realisties","realistic"
"rebelleer","rebel"
"red","save"
"redakteur","editor"
"redding","rescue"
"rede","reason"
"redelik","reasonable"
"reeds","already"
"reeks","series"
"reël","rule"
"reëling","arrangement"
"reën","rain"
"refleksie","reflection"
"reflekteer","reflect"
"reg","right"
"regeer","govern"
"regering","government"
"regime","regime"
"registrasie","registration"
"registreer","register"
"regmaak","fix"
"regsgeding","lawsuit"
"Regso","alright"
"regstelling","correction"
"regtig","really"
"reguit","straight"
"regulasie","regulation"
"regulatoriese","regulatory"
"reguleer","regulate"
"regverdig","justify"
"reis","travel"
"reisiger","traveler"
"rek","stretch"
"rekenaar","computer"
"rekening","account"
"Rekeningkunde","accounting"
"rekord","record"
"relatief","relative"
"relevant","relevant"
"rep","rep"
"republiek","republic"
"republikein","republican"
"reputasie","reputation"
"resensie","review"
"resep","recipe"
"reserwe","reserve"
"resessie","recession"
"residensieel","residential"
"resolusie","resolution"
"respek","respect"
"respondent","respondent"
"restaurant","restaurant"
"resultaat","result"
"retoriek","rhetoric"
"reuk","smell"
"reuse","giant"
"revolusionêr","revolutionary"
"rewolusie","revolution"
"rif","reef"
"riglyn","guideline"
"rigting","direction"
"ring","ring"
"risiko","risk"
"riskant","risky"
"ritme","rhythm"
"ritueel","ritual"
"rivier","river"
"robot","robot"
"roem","fame"
"roer","stir"
"roete","route"
"roetine","routine"
"rof","rough"
"rofweg","roughly"
"rol","role"
"roman","novel"
"romanse","romance"
"romanties","romantic"
"rommel","rubbish"
"romp","skirt"
"rond","round"
"roofdier","predator"
"rooi","red"
"rook","smoke"
"room","cream"
"roos","rose"
"rooster","grid"
"rot","rat"
"rots","rock"
"rou","raw"
"rubriekskrywer","columnist"
"ruil","exchange"
"ruiter","rider"
"rus","rest"
"rusbank","couch"
"Russies","Russian"
"ry","drive"
"ryk","rich"
"rykdom","wealth"
"rys","rice"
"saad","seed"
"saak","matter"
"saal","hall"
"saam","together"
"saamstel","compile"
"saamtrek","converge"
"sag","soft"
"saggies","gently"
"sagteware","software"
"sak","bag"
"sakeman","businessman"
"sal","will"
"salaris","salary"
"salm","psalm"
"samekoms","gathering"
"samelewing","society"
"samestelling","composition"
"sameswering","conspiracy"
"samewerking","cooperation"
"sand","sand"
"sanger","singer"
"sanksie","sanction"
"sap","juice"
"satelliet","satellite"
"Saterdag","Saturday"
"scenario","scenario"
"sê","say"
"sedert","since"
"see","sea"
"seël","seal"
"seën","bless"
"seep","soap"
"seerkry","hurt"
"seerower","pirate"
"segment","segment"
"seil","sail"
"sein","signal"
"seisoen","season"
"seker","certain"
"sekerlik","certainly"
"sekondêr","secondary"
"sekretaris","secretary"
"seks","sex"
"seksueel","sexual"
"seksuele","sexual"
"sektor","sector"
"sekulêre","secular"
"sekuriteit","security"
"sel","cell"
"selde","seldom"
"seleksie","selection"
"self","self"
"selfmoord","suicide"
"selfoon","cellphone"
"selfs","even"
"selfversekerd","confident"
"selfvertroue","confidence"
"senaat","senate"
"senator","senator"
"sending","mission"
"senior","senior"
"sensasie","sensation"
"sensitief","sensitive"
"sensitiwiteit","sensitivity"
"sensor","sensor"
"sensus","census"
"sent","cent"
"sentiment","sentiment"
"sentraal","central"
"sentrum","center"
"Sentrum","center"
"senuwee","nerve"
"senuweeagtig","nervous"
"September","September"
"seremonie","ceremony"
"sers","sergeant"
"sertifikaat","certificate"
"ses","six"
"sesde","sixth"
"sessie","session"
"seun","son"
"seuntjie","boy"
"sewe","seven"
"sewende","seventh"
"sexy","sexy"
"sfeer","atmosphere"
"siek","ill"
"siekte","illness"
"siel","soul"
"sielkunde","psychology"
"sielkundige","psychologist"
"sien","see"
"sig","sight"
"sigaret","cigarette"
"sigbaar","visible"
"siklus","cycle"
"silwer","silver"
"simbool","symbol"
"simpatie","sympathy"
"simpel","simple"
"simptoom","symptom"
"sin","sentence"
"sindroom","syndrome"
"sing","sing"
"siries","series"
"sirkel","circle"
"sit","sit"
"sitplek","seat"
"situasie","situation"
"siviele","civil"
"sjarme","charm"
"sjef","chef"
"sjoe","whoa"
"Sjoe","whoa"
"sjokolade","chocolate"
"skaal","scale"
"skaam","shy"
"skaars","scarce"
"skade","damage"
"skaduwee","shadow"
"skakel","switch"
"skandaal","scandal"
"skande","shame"
"skandeer","scan"
"skape","sheep"
"skare","crowd"
"skat","treasure"
"skedel","skull"
"skedule","schedule"
"skei","separate"
"skeiding","separation"
"skema","scheme"
"skenk","donate"
"skenker","donor"
"skenking","donation"
"skep","create"
"skepper","creator"
"skepping","creation"
"skepsel","creature"
"skerm","screen"
"skerp","sharp"
"skeur","tear"
"ski","ski"
"skielik","sudden"
"skiet","shoot"
"skikking","settlement"
"skil","peel"
"skild","shield"
"skilder","paint"
"skildery","painting"
"skilpad","turtle"
"skip","ship"
"skoen","shoe"
"skok","shock"
"skool","school"
"skoolhoof","principal"
"skoon","clean"
"skoonheid","beauty"
"skoot","shot"
"skootrekenaar","laptop"
"skop","kick"
"skouer","shoulder"
"skouspelagtige","spectacular"
"skrap","scrap"
"skree","scream"
"skrif","scripture"
"skrik","fright"
"skrikwekkend","terrifying"
"skroef","screw"
"skryf","write"
"skrywer","writer"
"skud","shake"
"skuif","shift"
"skuiling","shelter"
"skuld","debt"
"skuldig","guilty"
"skuldigbevinding","conviction"
"skuur","barn"
"skyf","disk"
"skyn","shine"
"skynbaar","apparently"
"slaaf","slave"
"slaag","succeed"
"slaai","salad"
"slaan","strike"
"slaap","sleep"
"slaapkamer","bedroom"
"slagoffer","victim"
"slang","snake"
"slawerny","slavery"
"sleep","drag"
"sleepwa","trailer"
"sleg","bad"
"sleutel","key"
"sleutelbord","keyboard"
"slim","smart"
"slot","lock"
"sluip","sneak"
"sluitkas","safe"
"sluk","swallow"
"smaak","taste"
"smal","narrow"
"smeek","beg"
"smelt","melt"
"snaaks","funny"
"snap","understand"
"sneesdoekie","handkerchief"
"sneeu","snow"
"sneller","trigger"
"snelweg","highway"
"snert","nonsense"
"snoepie","sweet"
"sny","cut"
"so","so"
"soek","search"
"Soek","search"
"soeke","search"
"soen","kiss"
"soet","sweet"
"sogenaamde","so-called"
"sokker","soccer"
"sokkie","sock"
"soldaat","soldier"
"soliede","solid"
"solo","solo"
"som","sum"
"somer","summer"
"sommige","some"
"soms","sometimes"
"son","sun"
"Sondag","Sunday"
"sonde","sin"
"sonder","without"
"sone","zone"
"sonkrag","solar"
"sonlig","sunlight"
"sonnig","sunny"
"sonsondergang","sunset"
"sool","sole"
"soort","kind"
"soortgelyk","similar"
"sop","soup"
"sorg","care"
"sorteer","sort"
"sosiaal","social"
"sosiale","social"
"sou","would"
"sous","sauce"
"sout","salt"
"Sowjet","Soviet"
"Spaans","Spanish"
"spaar","save"
"span","team"
"spandeer","spend"
"spanmaat","teammate"
"spanning","tension"
"spasie","space"
"speel","play"
"speelding","toy"
"spektrum","spectrum"
"spekulasie","speculation"
"spel","game"
"speld","pin"
"speler","player"
"speletjie","game"
"sperdatum","deadline"
"spesiaal","special"
"spesialis","specialist"
"spesialiseer","specialize"
"spesies","species"
"spesifiek","specific"
"spesifiseer","specify"
"Speurder","detective"
"spieël","mirror"
"spier","muscle"
"spioen","spy"
"spoed","speed"
"spoeg","spit"
"spook","ghost"
"spoor","track"
"spoorweg","railway"
"sport","sport"
"spotprent","cartoon"
"spreker","speaker"
"spring","jump"
"sprong","leap"
"spyker","nail"
"spyskaart","menu"
"spyt","regret"
"staaf","bar"
"staak","strike"
"staal","steel"
"staan","stand"
"staande","standing"
"staar","stare"
"staat","state"
"stabiel","stable"
"stabiliteit","stability"
"Stad","city"
"stadig","slow"
"stadion","stadium"
"stadium","stage"
"stam","tribe"
"stand","stand"
"standaard","standard"
"standbeeld","statue"
"stap","step"
"stapel","stack"
"stasie","station"
"statistieke","statistics"
"statisties","statistical"
"status","status"
"statuut","statute"
"steak","steak"
"stedelik","urban"
