"Hawaiian","English"
"nahu","absinthiated"
"nakinaki","absinthiating"
"nalo","absinthic"
"nalowale","absinthiin"
"nalu","absinthin"
"nānā","absinthine"
"nani","absinthism"
"nati","absinthismic"
"na'u","absinthium"
"nawaliwali","absinthol"
"nāwaliwali","absinthole"
"neʻe","absinths"
"nele","Absyrtus"
"niho","absis"
"nilala","absist"
"ninau","absistos"
"nīnauele","absit"
"ninini","absmho"
"noʻeau","absohm"
"noho","absoil"
"nohona","absolent"
"noi","Absolute"
"noiʻi","absolutely"
"nolaila","absoluteness"
"nona","absoluter"
"noonoo","absolutes"
"noʻonoʻo","absolutest"
"Nowemapa","absolution"
"nūhou","absolutions"
"nui","absolutism"
"nuipaʻa","absolutist"
"nukelea","absolutista"
"nūpepa","absolutistic"
"o","absolutistically"
"ʻŌ","absolutists"
"oe","absolutive"
"ohana","absolutization"
"ʻohana","absolutize"
"ʻohi","absolutory"
"ohohia","absolvable"
"ʻōhū","absolvatory"
"oiai","absolve"
"ʻoiai","absolved"
"oiaio","absolvent"
"ʻoiaʻiʻo","absolver"
"ʻOiaʻiʻo","absolvers"
"oihana","absolves"
"ʻoihana","absolving"
"oioi","absolvitor"
"ʻōiwi","absolvitory"
"ʻoka","absonant"
"Okakopa","absonous"
"ʻoki","absorb"
"ʻokiʻoki","absorbability"
"ʻokoʻa","absorbable"
"ola","absorbance"
"ōlaʻi","absorbancy"
"olakino","absorbant"
"olaola","absorbed"
"ole","absorbedly"
"ʻōlelo","absorbedness"
"ʻōlinolino","absorbefacient"
"ʻoliva","absorbency"
"olohelohe","absorbencies"
"ʻOlumepika","absorbent"
"oluolu","absorbents"
"oluʻolu","absorber"
"ʻoluʻolu","absorbers"
"ōmaʻomaʻo","absorbing"
"ʻōmato","absorbingly"
"ʻomi","absorbition"
"omo","absorbs"
"ʻōmole","absorbtion"
"ʻona","absorpt"
"ʻōnaehana","absorptance"
"one","absorptiometer"
"ʻoni","absorptiometric"
"onioni","absorption"
"ʻono","absorptional"
"ooh","absorptions"
"ʻoʻoleʻa","absorption's"
"ōpala","absorptive"
"ʻōpala","absorptively"
"ʻōpeʻapeʻa","absorptiveness"
"opera","absorptivity"
"ʻōpio","absquatulate"
"ʻōpū","absquatulation"
"ʻōpua","abstain"
"orbit","abstained"
"outline","abstainer"
"ʻōwili","abstainers"
"oxygen","abstaining"
"pā","abstainment"
"paa","abstains"
"paʻa","abstemious"
"paahana","abstemiously"
"paʻahao","abstemiousness"
"paʻakai","abstention"
"paakiki","abstentionism"
"paʻakikī","abstentionist"
"paʻamau","abstentions"
"pāʻani","abstentious"
"pae","absterge"
"paena","absterged"
"paepae","abstergent"
"paha","absterges"
"pahee","absterging"
"pahele","absterse"
"pahi","abstersion"
"pahikaua","abstersive"
"pāhili","abstersiveness"
"pahu","abstertion"
"pahū","abstinence"
"pahuhopu","abstinences"
"pai","abstinency"
"paʻi","abstinent"
"paikikala","abstinential"
"paila","abstinently"
"pailaka","abstort"
"paina","abstr"
"pāʻina","abstract"
"paio","abstractable"
"paipai","abstracted"
"paʻipaʻi","abstractedly"
"paipu","abstractedness"
"paka","abstracter"
"pakahi","abstracters"
"pākahi","abstractest"
"pākaukau","abstracting"
"Pākē","abstraction"
"pākeke","abstractional"
"pakele","abstractionism"
"pākēneka","abstractionist"
"pākiki","abstractionists"
"pakuhi","abstractions"
"pākuʻi","abstraction's"
"palahalaha","abstractitious"
"palaho","abstractive"
"palaka","abstractively"
"palaki","abstractiveness"
"Palani","abstractly"
"palaoa","abstractness"
"palaoa","abstractnesses"
"palapala","abstractor"
"palaualelo","abstractors"
"palaunu","abstractor's"
"pale","abstracts"
"palekana","abstrahent"
"palena","abstrict"
"palestina","abstricted"
"pali","abstricting"
"pālima","abstriction"
"pālolo","abstricts"
"pālua","abstrude"
"pālule","abstruse"
"palupalu","abstrusely"
"pāluʻu","abstruseness"
"pamu","abstrusenesses"
"pan","abstruser"
"pana","abstrusest"
"panakō","abstrusion"
"panalāʻau","abstrusity"
"pane","abstrusities"
"panela","absume"
"pani","absumption"
"paniolo","absurd"
"pant","absurder"
"paona","absurdest"
"papa","absurdism"
"pāpā","absurdist"
"papaʻaina","absurdity"
"papahana","absurdities"
"papahele","absurdity's"
"pāpaʻi","absurdly"
"papale","absurdness"
"pāpale","absurds"
"papalina","absurdum"
"papalua","absvolt"
"papau","abt"
"parade","abterminal"
"pāremata","abthain"
"pata","abthainry"
"patent","abthainrie"
"pau","abthanage"
"pauda","abtruse"
"pauku","Abu"
"paulele","abubble"
"pc","Abu-Bekr"
"peʻa","Abucay"
"pehea","abucco"
"pela","abuilding"
"Pelekania","Abukir"
"pelu","abuleia"
"pena","Abulfeda"
"penei","abulia"
"peni","abulias"
"penihana","abulic"
"pepa","abulyeit"
"pēpē","abulomania"
"pepehi","abumbral"
"pepeiao","abumbrellar"
"Pepeluali","Abuna"
"per","abundance"
"peresidena","abundances"
"physics","abundancy"
"pia","abundant"
"piano","Abundantia"
"piha","abundantly"
"pihi","abune"
"piʻi","abura"
"pīkini","aburabozu"
"piko","aburagiri"
"pili","aburban"
"pilikanaka","Abury"
"pilikia","aburst"
"pilikino","aburton"
"pilikua","abusable"
"pilina","abusage"
"piliona","abuse"
"pill","abused"
"pine","abusedly"
"pinepine","abusee"
"pīni","abuseful"
"pio","abusefully"
"pipi","abusefulness"
"pipiʻi","abuser"
"pitch","abusers"
"pizza","abuses"
"pm","abush"
"pō","abusing"
"pōā","abusion"
"Pōʻahā","abusious"
"pōʻai","abusive"
"pōʻaiapili","abusively"
"pōʻaiapuni","abusiveness"
"PōʻakahiEnglish","abusivenesses"
"Pōʻakolu","abut"
"Pōʻalima","Abuta"
"Pōʻalua","Abutilon"
"Pōʻaono","abutilons"
"poe","abutment"
"pōʻeleʻele","abutments"
"poem","abuts"
"poepoe","abuttal"
"pohā","abuttals"
"pōhaku","abutted"
"pohihihi","abutter"
"poho","abutters"
"pohole","abutter's"
"poina","abutting"
"poino","abuzz"
"pōʻino","abv"
"poka","abvolt"
"pōkole","abvolts"
"pole","abwab"
"poloka","abwatt"
"pololei","abwatts"
"pololi","ac"
"polopeka","ac-"
"polū","a-c"
"pomaikai","AC/DC"
"poni","ACAA"
"pono","Acacallis"
"ponoi","acacatechin"
"poʻo","acacatechol"
"poʻohiwi","Acacea"
"pookela","Acaceae"
"poʻokela","acacetin"
"poʻomanaʻo","Acacia"
"pop","Acacian"
"pope","acacias"
"pôpeku","acaciin"
"pōpeku","acacin"
"popoki","acacine"
"pou","acad"
"pouli","academe"
"powa","academes"
"pro","Academy"
"profile","academia"
"protocol","academial"
"pū","academian"
"pua","academias"
"puaʻa","Academic"
"puhi","academical"
"pūhui","academically"
"puka","academicals"
"pukaaniani","academician"
"puke","academicians"
"pule","academicianship"
"pūlima","academicism"
"pulu","academics"
"pulupulu","academie"
"pūmua","academies"
"punaewele","academy's"
"pūnaewele","academise"
"punahele","academised"
"pūnana","academising"
"punawai","academism"
"punetune","academist"
"puni","academite"
"puolo","academization"
"pūʻolo","academize"
"pūpū","academized"
"pupule","academizing"
"puu","Academus"
"puʻu","Acadia"
"pūʻulu","acadialite"
"puunaue","Acadian"
"puʻupuʻu","Acadie"
"Puʻuwai","Acaena"
"puzzle","acajou"
"quantum","acajous"
"quarterback","acal"
"racist","acalculia"
"radar","acale"
"radiation","acaleph"
"radical","Acalepha"
"re","Acalephae"
"rep","acalephan"
"repubalika","acalephe"
"romana","acalephes"
"rookie","acalephoid"
"rose","acalephs"
"rula","Acalia"
"salakeke","acalycal"
"salmon","acalycine"
"sandwich","acalycinous"
"senate","acalyculate"
"senator","Acalypha"
"sila","Acalypterae"
"ski","Acalyptrata"
"slam","Acalyptratae"
"sock","acalyptrate"
"soda","Acamar"
"sodium","Acamas"
"sopa","Acampo"
"soviet","acampsia"
"spectrum","acana"
"steak","acanaceous"
"suite","acanonical"
"Suria","acanth"
"tausani","acanth-"
"teaspoon","acantha"
"telescope","Acanthaceae"
"tennis","acanthaceous"
"tiger","acanthad"
"tiketi","Acantharia"
"trailer","acanthi"
"trilion","Acanthia"
"tv","acanthial"
"twitter","acanthin"
"ua","acanthine"
"uahi","acanthion"
"uaki","acanthite"
"ʻuala","acantho-"
"uē","acanthocarpous"
"uh","Acanthocephala"
"uha","acanthocephalan"
"ʻūhā","Acanthocephali"
"uhaki","acanthocephalous"
"uhane","Acanthocereus"
"ʻuhane","acanthocladous"
"uh-huh","Acanthodea"
"uhi","acanthodean"
"u'i","Acanthodei"
"uʻi","Acanthodes"
"uila","acanthodian"
"ukali","Acanthodidae"
"ukana","Acanthodii"
"uku","Acanthodini"
"ulaʻula","acanthoid"
"ulu","Acantholimon"
"ʻūlū","acantholysis"
"ululāʻau","acanthology"
"uluna","acanthological"
"um","acanthoma"
"umauma","acanthomas"
"umekaumaha","Acanthomeridae"
"umi","acanthon"
"umikumākahi","Acanthopanax"
"umikumālima","Acanthophis"
"umikumālua","acanthophorous"
"umu","acanthopod"
"unahi","acanthopodous"
"unuhi","acanthopomatous"
"upena","acanthopore"
"ʻuʻuku","acanthopteran"
"uwe","Acanthopteri"
"uwea","acanthopterygian"
"vampire","Acanthopterygii"
"van","acanthopterous"
"virus","acanthoses"
"vitamina","acanthosis"
"vs","acanthotic"
"wā","acanthous"
"waapa","Acanthuridae"
"waeʻano","Acanthurus"
"waena","acanthus"
"waha","acanthuses"
"wahahee","acanthuthi"
"wahi","acapnia"
"wahie","acapnial"
"wahine","acapnias"
"waho","acappella"
"wai","acapsular"
"waiho","acapu"
"waihona","Acapulco"
"waina","acara"
"waiʻona","Acarapis"
"waiu","acarari"
"waiwai","acardia"
"walaau","acardiac"
"walaʻau","acardite"
"wale","acari"
"wanaʻao","acarian"
"wānana","acariasis"
"waoakua","acariatre"
"waonahele","acaricidal"
"wāwae","acaricide"
"wawao","acarid"
"wehe","Acarida"
"wehewehe","acaridae"
"wela","acaridan"
"Welina","acaridans"
"weliweli","Acaridea"
"wikiō","acaridean"
"wikiwiki","acaridomatia"
"wili","acaridomatium"
"wiliwili","acarids"
"wiwi","acariform"
