"Estonian","English"
"Kodu","absolutions"
"kodumaa","absolutism"
"kodune","absolutist"
"kodutöö","absolutista"
"kodutu","absolutistic"
"koefitsiendid","absolutistically"
"koer","absolutists"
"kogemusi","absolutive"
"kogenud","absolutization"
"kognitiivne","absolutize"
"koguda","absolutory"
"koguja","absolvable"
"kogukond","absolvatory"
"kogumine","absolve"
"kogunema","absolved"
"kogunemine","absolvent"
"kogus","absolver"
"kohal","absolvers"
"kohaldada","absolves"
"kohaletoimetamine","absolving"
"kohalik","absolvitor"
"kohalolu","absolvitory"
"kohalviibimine","absonant"
"kohandada","absonous"
"kohandatud","absorb"
"kohaneda","absorbability"
"kohanemine","absorbable"
"kohapeal","absorbance"
"kohatu","absorbancy"
"kohe","absorbant"
"kohene","absorbed"
"koheselt","absorbedly"
"kõhklema","absorbedness"
"koht","absorbefacient"
"kõht","absorbency"
"kohta","absorbencies"
"kohtuasi","absorbent"
"kohtuda","absorbents"
"kohtulik","absorber"
"kohtumine","absorbers"
"kohtunik","absorbing"
"kohtuotsus","absorbingly"
"kohtuprotsess","absorbition"
"kohtusaalis","absorbs"
"kohus","absorbtion"
"kohustus","absorpt"
"kohutav","absorptance"
"kohvi","absorptiometer"
"kohvik","absorptiometric"
"kõik","absorption"
"kõike","absorptional"
"kõikehõlmav","absorptions"
"kõikjal","absorption's"
"köis","absorptive"
"koit","absorptively"
"kokk","absorptiveness"
"kokkama","absorptivity"
"kokkamine","absquatulate"
"kokku","absquatulation"
"kokkulepe","abstain"
"kokkuleppele","abstained"
"kokkupanek","abstainer"
"kokkupuude","abstainers"
"kokkuvõte","abstaining"
"kole","abstainment"
"kolesterooli","abstains"
"koletis","abstemious"
"kolju","abstemiously"
"kollane","abstemiousness"
"kollaps","abstention"
"kolledž","abstentionism"
"kolleeg","abstentionist"
"kollektiivne","abstentions"
"kolm","abstentious"
"kolmandaks","absterge"
"kolmapäev","absterged"
"kolmkümmend","abstergent"
"kolonel","absterges"
"koloniaal","absterging"
"koloonia","absterse"
"kolumnist","abstersion"
"komandör","abstersive"
"kombinatsioon","abstersiveness"
"kombineerida","abstertion"
"kombineeritud","abstinence"
"Komisjon","abstinences"
"komisjonitasu","abstinency"
"komistama","abstinent"
"kommentaar","abstinential"
"kommenteerida","abstinently"
"kommid","abstort"
"kommunist","abstr"
"komöödia","abstract"
"komplekt","abstractable"
"komponent","abstracted"
"kompromiss","abstractedly"
"kõndides","abstractedness"
"kõndima","abstracter"
"kõne","abstracters"
"kõneleja","abstractest"
"konflikt","abstracting"
"kongresmen","abstraction"
"kongress","abstractional"
"kongressi","abstractionism"
"konkreetselt","abstractionist"
"konks","abstractionists"
"konkurent","abstractions"
"konkurentsi","abstraction's"
"konkurentsivõimeline","abstractitious"
"kõnnitee","abstractive"
"konsensust","abstractively"
"konservatiivne","abstractiveness"
"konserveerimine","abstractly"
"konstantne","abstractness"
"konstrueerida","abstractnesses"
"konsultant","abstractor"
"konsulteerida","abstractors"
"kontakti","abstractor's"
"konteiner","abstracts"
"kontekst","abstrahent"
"konto","abstrict"
"kontor","abstricted"
"kontrast","abstricting"
"kontroll","abstriction"
"kontrollida","abstricts"
"Kontrollima","abstrude"
"kontsentratsioon","abstruse"
"kontseptsioon","abstrusely"
"kontsert","abstruseness"
"konventsioon","abstrusenesses"
"konverents","abstruser"
"koobas","abstrusest"
"kood","abstrusion"
"kook","abstrusity"
"köök","abstrusities"
"kool","absume"
"koolitust","absumption"
"koomiline","absurd"
"koordinaator","absurder"
"koorem","absurdest"
"koorida","absurdism"
"koormus","absurdist"
"koos","absurdity"
"koosnevad","absurdities"
"koosolekul","absurdity's"
"koostada","absurdly"
"koostis","absurdness"
"koostisosa","absurds"
"koostöö","absurdum"
"kopeerida","absvolt"
"kopsu","abt"
"koputama","abterminal"
"kõrb","abthain"
"kõrbes","abthainry"
"korda","abthainrie"
"korduvalt","abthanage"
"korealane","abtruse"
"kõrge","Abu"
"kõrgelt","abubble"
"kõrgus","Abu-Bekr"
"koridoris","Abucay"
"kork","abucco"
"korporatsioon","abuilding"
"korpus","Abukir"
"korraldada","abuleia"
"korraldama","Abulfeda"
"korralik","abulia"
"korralikult","abulias"
"korrelatsioon","abulic"
"korrespondent","abulyeit"
"korrumpeerunud","abulomania"
"korruptsiooni","abumbral"
"korrus","abumbrellar"
"korter","Abuna"
"korv","abundance"
"kõrva","abundances"
"kõrval","abundancy"
"kõrvaldada","abundant"
"kõrvale","Abundantia"
"korvpalli","abundantly"
"kostüüm","abune"
"kotkas","abura"
"kott","aburabozu"
"kõver","aburagiri"
"kraadi","aburban"
"kraanikauss","Abury"
"krae","aburst"
"krahh","aburton"
"krediit","abusable"
"kreem","abusage"
"kriimustada","abuse"
"kriis","abused"
"kriitik","abusedly"
"kriitikat","abusee"
"kriitiline","abuseful"
"kriminaalne","abusefully"
"kristall","abusefulness"
"kristlane","abuser"
"kristlus","abusers"
"kriteeriumid","abuses"
"kritiseerida","abush"
"kroon","abusing"
"kroonika","abusion"
"krooniline","abusious"
"kruiis","abusive"
"kruvi","abusively"
"kuberner","abusiveness"
"kui","abusivenesses"
"Kuid","abut"
"kuidagi","Abuta"
"kuidas","Abutilon"
"kuigi","abutilons"
"kuiv","abutment"
"kuju","abutments"
"kujund","abuts"
"kujundaja","abuttal"
"kujutama","abuttals"
"kujutlusvõime","abutted"
"küla","abutter"
"külaline","abutters"
"külastada","abutter's"
"külastaja","abutting"
"kuldne","abuzz"
"külgriba","abv"
"kullake","abvolt"
"kullast","abvolts"
"külm","abwab"
"kulmu","abwatt"
"külmunud","abwatts"
"külmutada","ac"
"kultuur","ac-"
"kultuuriline","a-c"
"kulu","AC/DC"
"kulutama","ACAA"
"kulutamine","Acacallis"
"kummaline","acacatechin"
"kümme","acacatechol"
"kummitus","Acacea"
"kümnendil","Acaceae"
"kunagi","acacetin"
"kuni","Acacia"
"kuninganna","Acacian"
"kuningas","acacias"
"kuninglik","acaciin"
"kuningriik","acacin"
"künnis","acacine"
"kunstiline","acad"
"kunstlik","academe"
"kunstnik","academes"
"küpsetada","Academy"
"küpsis","academia"
"kuradi","academial"
"kurat","academian"
"kurb","academias"
"kurgus","Academic"
"kuritarvitamine","academical"
"kuritegevus","academically"
"kurjast","academicals"
"kurjategija","academician"
"kurtma","academicians"
"kurvalt","academicianship"
"kus","academicism"
"kusagil","academics"
"kuse","academie"
"küsi","academies"
"küsimus","academy's"
"küsimustik","academise"
"küsitlus","academised"
"kusjuures","academising"
"kustutada","academism"
"kutse","academist"
"kutsuda","academite"
"kutt","academization"
"kütust","academize"
"kuu","academized"
"kuues","academizing"
"kuulaja","Academus"
"kuulake","Acadia"
"kuulda","acadialite"
"kuuldavasti","Acadian"
"kuulmine","Acadie"
"kuulsus","Acaena"
"kuulujutt","acajou"
"kuuluma","acajous"
"kuulus","acal"
"kuulutama","acalculia"
"kuuluvus","acale"
"kuum","acaleph"
"küünal","Acalepha"
"küünarnukk","Acalephae"
"kuupäev","acalephan"
"kuurort","acalephe"
"kuus","acalephes"
"küüs","acalephoid"
"küüslauk","acalephs"
"kuva","Acalia"
"kuvar","acalycal"
"kvalifitseeruma","acalycine"
"kvaliteet","acalycinous"
"kvant","acalyculate"
"laager","Acalypha"
"läänelik","Acalypterae"
"läänes","Acalyptrata"
"lab","Acalyptratae"
"läbi","acalyptrate"
"läbima","Acamar"
"läbipääs","Acamas"
"läbirääkimistel","Acampo"
"läbivaatus","acampsia"
"laboris","acana"
"ladustamine","acanaceous"
"laenata","acanonical"
"laenu","acanth"
"laev","acanth-"
"laevastik","acantha"
"lagi","Acanthaceae"
"lahe","acanthaceous"
"lähedal","acanthad"
"läheduses","Acantharia"
"lahendada","acanthi"
"lahendama","Acanthia"
"lahendus","acanthial"
"lähenemine","acanthin"
"lahing","acanthine"
"lahja","acanthion"
"lahke","acanthite"
"lahkuda","acantho-"
"lahkumine","acanthocarpous"
"laht","Acanthocephala"
"lahti","acanthocephalan"
"lahutust","Acanthocephali"
"lai","acanthocephalous"
"laialdaselt","Acanthocereus"
"laiendada","acanthocladous"
"laienemine","Acanthodea"
"Laine","acanthodean"
"laisk","Acanthodei"
"laks","Acanthodes"
"lambad","acanthodian"
"lamp","Acanthodidae"
"langus","Acanthodii"
"laps","Acanthodini"
"lapsendamine","acanthoid"
"lapsepõlves","Acantholimon"
"lapsevanem","acantholysis"
"lase","acanthology"
"laser","acanthological"
"laskuda","acanthoma"
"laud","acanthomas"
"laul","Acanthomeridae"
"laulja","acanthon"
"laulma","Acanthopanax"
"laulusõnad","Acanthophis"
"laupäev","acanthophorous"
"lause","acanthopod"
"leek","acanthopodous"
"leevendada","acanthopomatous"
"legend","acanthopore"
"lehel","acanthopteran"
"lehm","Acanthopteri"
"leht","acanthopterygian"
"leib","Acanthopterygii"
"leida","acanthopterous"
"leidmine","acanthoses"
"leina","acanthosis"
"leitnant","acanthotic"
"leitud","acanthous"
"leiutada","Acanthuridae"
"leiutis","Acanthurus"
"lekkida","acanthus"
"lekkima","acanthuses"
"lemmik","acanthuthi"
"lemmikloom","acapnia"
"lendu","acapnial"
"lennata","acapnias"
"lennufirma","acappella"
"lennujaam","acapsular"
"lennuk","acapu"
"lennukid","Acapulco"
"leping","acara"
"levik","Acarapis"
"levinud","acarari"
"levitada","acardia"
"levitamine","acardiac"
"liberaalne","acardite"
"libisema","acari"
"libisemine","acarian"
"lift","acariasis"
"ligipääsetav","acariatre"
"liha","acaricidal"
"lihasesse","acaricide"
"lihtne","acarid"
"lihtsalt","Acarida"
"liides","acaridae"
"liigas","acaridan"
"liige","acaridans"
"liigend","Acaridea"
"liigid","acaridean"
"liigutada","acaridomatia"
"liiklust","acaridomatium"
"liikmelisus","acarids"
"liikumine","acariform"
"liit","Acarina"
"liitlane","acarine"
"liituda","acarines"
"liiv","acarinosis"
"Lill","Acarnan"
"lilla","acarocecidia"
"lind","acarocecidium"
"link","acarodermatitis"
"linn","acaroid"
"linnaline","acarol"
"linnapea","acarology"
"lint","acarologist"
"lipp","acarophilous"
"lips","acarophobia"
"Lisa","acarotoxic"
"lisaks","acarpellous"
"lisama","acarpelous"
"lisamine","acarpous"
"lisatasu","Acarus"
"lisatud","ACAS"
"lits","acast"
"litsents","Acastus"
"lõbus","acatalectic"
"Loe","acatalepsy"
"loendama","acatalepsia"
"loendur","acataleptic"
"loeng","acatallactic"
"logi","acatamathesia"
"lõhe","acataphasia"
"lõhkeda","acataposis"
"lõhn","acatastasia"
"lõigatud","acatastatic"
"lõik","acate"
"loits","acategorical"
"lojaalne","acater"
"lojaalsus","acatery"
"lõks","acates"
"loll","acatharsy"
"loodetavasti","acatharsia"
"loodus","acatholic"
"lõõgastuda","acaudal"
"loogika","acaudate"
"loogiline","acaudelescent"
"looja","acaulescence"
"löök","acaulescent"
"lööklaine","acauline"
"loom","acaulose"
"lööma","acaulous"
"looming","ACAWS"
"loominguline","ACB"
"loomulik","ACBL"
"loomulikult","ACC"
"lootust","acc."
"loovus","acca"
"lõpeta","accable"
"lõpetada","Accad"
"lõpetama","accademia"
"lõpetamine","Accadian"
"lõplik","Accalia"
"lõpp","acce"
"lõppu","accede"
"lõpuks","acceded"
"lõputu","accedence"
"loss","acceder"
"lõualuu","acceders"
"lõuend","accedes"
"lõug","acceding"
"lõunapoolne","accel"
"lõunasöök","accel."
"lõunasse","accelerable"
"lõvi","accelerando"
"luba","accelerant"
"lubada","accelerate"
"lubadus","accelerated"
"lubama","acceleratedly"
"lugeda","accelerates"
"lugeja","accelerating"
"lugemist","acceleratingly"
"lugu","acceleration"
"lugupidamine","accelerations"
"lühiajaline","accelerative"
"lühidalt","accelerator"
"lühike","acceleratory"
"lukk","accelerators"
"lükkama","accelerograph"
"lüliti","accelerometer"
"lumi","accelerometers"
"luu","accelerometer's"
"luua","accend"
"lüüa","accendibility"
"luule","accendible"
"luuletaja","accensed"
"luuletus","accension"
"maa","accensor"
"maaelu","accent"
"maagia","accented"
"maagiline","accenting"
"maailmas","accentless"
"maakera","accentor"
"maakond","accentors"
"maalikunstnik","accents"
"maalimine","accentuable"
"maandumine","accentual"
"maanteel","accentuality"
"maapähkel","accentually"
"maapinnale","accentuate"
"määra","accentuated"
"määrama","accentuates"
"määrata","accentuating"
"määratleda","accentuation"
"määratlus","accentuations"
"määrdunud","accentuator"
"määrus","accentus"
"maastik","accept"
"maavärin","acceptability"
"madal","acceptabilities"
"madalam","acceptable"
"madu","acceptableness"
"magama","acceptably"
"magamistuba","acceptance"
"mägi","acceptances"
"magus","acceptance's"
"magustoit","acceptancy"
"mähis","acceptancies"
"mahla","acceptant"
"maht","acceptation"
"mahukas","acceptavit"
"mahutavus","accepted"
"mail","acceptedly"
"maine","acceptee"
"mainida","acceptees"
"mainstream","accepter"
"maisi","accepters"
"maitse","acceptilate"
"maitsev","acceptilated"
"maja","acceptilating"
"majanduslangus","acceptilation"
"majanduslik","accepting"
"majandust","acceptingly"
"majandusteadlane","acceptingness"
"majandusteadus","acception"
"majapidamine","acceptive"
"major","acceptor"
"majutama","acceptors"
"maks","acceptor's"
"makse","acceptress"
"maksimaalselt","accepts"
"maksma","accerse"
"maksumaksja","accersition"
"mälestusmärk","accersitor"
"mäleta","access"
"mälu","accessability"
"mänd","accessable"
"mandaat","accessary"
"mandril","accessaries"
"mäng","accessarily"
"mängida","accessariness"
"mängija","accessaryship"
"mänguasi","accessed"
"manipuleerida","accesses"
"mantel","accessibility"
"märg","accessibilities"
"Märge","accessible"
"marginaal","accessibleness"
"marihuaanat","accessibly"
"mark","accessing"
"märk","accession"
"märkama","accessional"
"marker","accessioned"
"märkimisväärne","accessioner"
"Märkus","accessioning"
"märtsil","accessions"
"masendunud","accession's"
"masin","accessit"
"mask","accessive"
"mass","accessively"
"mäss","accessless"
"mässaja","accessor"
"massiivi","accessory"
"massiivne","accessorial"
"matemaatika","accessories"
"materjalist","accessorii"
"matma","accessorily"
"matused","accessoriness"
"medal","accessory's"
"meditsiiniline","accessorius"
"meedia","accessoriusorii"
"meel","accessorize"
"meeldetuletus","accessorized"
"meeldib","accessorizing"
"meeldiv","accessors"
"meelega","accessor's"
"meeleheitel","acciaccatura"
"meeleheitlikult","acciaccaturas"
"meelelahutus","acciaccature"
"meelitada","accidence"
"meelt","accidency"
"mees","accidencies"
"meeskond","accident"
"meeskonnakaaslane","accidental"
"meessoost","accidentalism"
"meeter","accidentalist"
"meetod","accidentality"
"mehaanik","accidentally"
"mehaanilised","accidentalness"
"mehhanism","accidentals"
"mehhiklane","accidentary"
"meie","accidentarily"
"meik","accidented"
"meili","accidential"
"meister","accidentiality"
"meistrivõistlused","accidently"
"menetlust","accident-prone"
"mentor","accidents"
"menüü","accidia"
"mereline","accidias"
"merevägi","accidie"
"meri","accidies"
"mesilane","accinge"
"metafoor","accinged"
"metallist","accinging"
"metsa","accipenser"
"metsaline","accipient"
"metsik","Accipiter"
"mida","accipitral"
"midagi","accipitrary"
"miil","Accipitres"
"miinimum","accipitrine"
"miks","accipter"
"miljardit","accise"
"miljonit","accismus"
"mill","accite"
"millal","Accius"
"millalgi","acclaim"
"mina","acclaimable"
"mine","acclaimed"
"minevik","acclaimer"
"minimaalne","acclaimers"
"minimeerida","acclaiming"
"ministeerium","acclaims"
"minister","acclamation"
"minu","acclamations"
"minut","acclamator"
"mis","acclamatory"
"missioon","acclimatable"
"mitmekesine","acclimatation"
"mitmekesisus","acclimate"
"mitmekesisust","acclimated"
"mitmekordne","acclimatement"
"mitmesugused","acclimates"
"mitte","acclimating"
"mittetulunduslik","acclimation"
"mitu","acclimations"
"mm","acclimatisable"
"mm-hmm","acclimatisation"
"mmm","acclimatise"
"mobiilne","acclimatised"
"mõista","acclimatiser"
"mõiste","acclimatising"
"mõistlik","acclimatizable"
"mõistmine","acclimatization"
"mõju","acclimatizations"
"mõjukas","acclimatize"
"mõjutada","acclimatized"
"mõjuv","acclimatizer"
"molekul","acclimatizes"
"mõlemad","acclimatizing"
"mõned","acclimature"
"mõnevõrra","acclinal"
"mõnikord","acclinate"
"monument","acclivity"
"mööbel","acclivities"
"mood","acclivitous"
"mõõdukas","acclivous"
"moodustamine","accloy"
"moodustavad","accoast"
"mööduv","accoy"
"mõõk","accoyed"
"mõõta","accoying"
"mõõtmine","accoil"
"mootor","Accokeek"
"moraal","accolade"
"moraalne","accoladed"
"mõrva","accolades"
"mõrvar","accolated"
"moslem","accolent"
"motiiv","accoll"
"motivatsiooni","accolle"
"motiveerima","accolled"
"mõtle","accollee"
"mõtlemine","Accomac"
"mount","accombination"
"muda","accommodable"
"mudel","accommodableness"
"mugav","accommodate"
"mugavus","accommodated"
"muidu","accommodately"
"muidugi","accommodateness"
"mujal","accommodates"
"mulda","accommodating"
"mulje","accommodatingly"
"muljetavaldav","accommodatingness"
"mull","accommodation"
"multikas","accommodational"
"muna","accommodationist"
"münt","accommodations"
"müra","accommodative"
"murda","accommodatively"
"murdosa","accommodativeness"
"murelik","accommodator"
"mures","accommodators"
"muret","accomodate"
"muretsema","accompanable"
"mürgine","accompany"
"muru","accompanied"
"must","accompanier"
"mustand","accompanies"
"müsteerium","accompanying"
"muster","accompanyist"
"mustus","accompaniment"
"müts","accompanimental"
"müüa","accompaniments"
"muud","accompaniment's"
"muuda","accompanist"
"muudatus","accompanists"
"müüja","accompanist's"
"müük","accomplement"
"muuseum","accompletive"
"muusik","accompli"
"muusika","accomplice"
"muusikaline","accomplices"
"müüt","accompliceship"
"muuta","accomplicity"
"muutma","accomplis"
"muutuda","accomplish"
"muutumas","accomplishable"
"muutumine","accomplished"
"muutuv","accomplisher"
"naaber","accomplishers"
"naabruskond","accomplishes"
"naatrium","accomplishing"
"nad","accomplishment"
"nädal","accomplishments"
"nädalavahetus","accomplishment's"
"nael","accomplisht"
"naerata","accompt"
"naerma","accord"
"naeru","accordable"
"naeruväärne","accordance"
"nägemine","accordances"
"nägemus","accordancy"
"nagu","accordant"
"nägu","accordantly"
"nägus","accordatura"
"nahk","accordaturas"
"nahka","accordature"
"nahkhiir","accorded"
"nähtamatuks","accorder"
"nähtav","accorders"
"nähtus","according"
"näidata","accordingly"
"näide","accordion"
"näidis","accordionist"
"näidustus","accordionists"
"näiliselt","accordions"
"naine","accordion's"
"naissoost","accords"
"näiteks","accorporate"
"näitleja","accorporation"
"näitlejanna","accost"
"näitus","accostable"
"näivad","accosted"
"nälg","accosting"
"nali","accosts"
"naljakas","accouche"
"näljane","accouchement"
"närida","accouchements"
"narratiiv","accoucheur"
"närv","accoucheurs"
"närviline","accoucheuse"
"natuke","accoucheuses"
"naudi","accounsel"
"need","account"
"negatiivne","accountability"
"neid","accountabilities"
"neli","accountable"
"nelikümmend","accountableness"
"neljapäev","accountably"
"neljas","accountancy"
"nende","accountancies"
"net","accountant"
"neutraalne","accountants"
"nii","accountant's"
"niit","accountantship"
"nikerdama","accounted"
"nimekirja","accounter"
"nimel","accounters"
"nimetada","accounting"
"nimi","accountings"
"nina","accountment"
"nisu","accountrement"
"nö","accounts"
"nõbu","accouple"
"nõel","accouplement"
"nõid","accourage"
"nominatsioon","accourt"
"nominent","accouter"
"noogutada","accoutered"
"nool","accoutering"
"noor","accouterment"
"nooruk","accouterments"
"noorus","accouters"
"nõrk","accoutre"
"nõrkus","accoutred"
"norm","accoutrement"
"normaalne","accoutrements"
"nõu","accoutres"
"nõuanne","accoutring"
"nõuda","Accoville"
"nõudma","ACCRA"
"nõue","accrease"
"nõukogude","accredit"
"nõunik","accreditable"
"nõus","accreditate"
"nõusolekut","accreditation"
"nõustaja","accreditations"
"nõustamine","accredited"
"nõutud","accreditee"
"november","accrediting"
"nuga","accreditment"
"nukk","accredits"
"null","accrementitial"
"number","accrementition"
"nuppu","accresce"
"nurk","accrescence"
"nutma","accrescendi"
"nüüd","accrescendo"
"objektiiv","accrescent"
"objektiivne","accretal"
"objektiks","accrete"
"odav","accreted"
"õde","accretes"
"õde-vend","accreting"
"öelda","accretion"
"oh","accretionary"
"ohkama","accretions"
"õhkkond","accretion's"
"õhku","accretive"
"oht","accriminate"
"ohtlik","Accrington"
"õhtul","accroach"
"õhtusöök","accroached"
"õhuke","accroaching"
"õhupall","accroachment"
"ohutu","accroides"
"ohutult","accruable"
"ohutus","accrual"
"ohver","accruals"
"ohverdada","accrue"
"ohvitser","accrued"
"õige","accruement"
"õigesti","accruer"
"õiglane","accrues"
"õiglaselt","accruing"
"õiglus","ACCS"
"õigustada","ACCT"
"õigustatud","acct."
"oja","accts"
"Oja","accubation"
"okei","accubita"
"Okei","accubitum"
"ökosüsteem","accubitus"
"oktoober","accueil"
"okupatsioon","accultural"
"olek","acculturate"
"oleks","acculturated"
"olemas","acculturates"
"olemasolevaid","acculturating"
"olemasolu","acculturation"
"olemine","acculturational"
"olemus","acculturationist"
"olen","acculturative"
"olend","acculturize"
"olenevalt","acculturized"
"oletada","acculturizing"
"oletus","accum"
"õlg","accumb"
"õli","accumbency"
"oliiv","accumbent"
"olla","accumber"
"olukord","accumulable"
"oluline","accumulate"
"oluliselt","accumulated"
"olümpia","accumulates"
"olümpiamängud","accumulating"
"õlut","accumulation"
"oma","accumulations"
"omadus","accumulativ"
"omakapital","accumulative"
"omama","accumulatively"
"omamine","accumulativeness"
"omamoodi","accumulator"
"omandama","accumulators"
"omandamine","accumulator's"
"omandiõigus","accupy"
"omanik","accur"
"on","accuracy"
"õnne","accuracies"
"õnneks","accurate"
"õnnelik","accurately"
"õnnestub","accurateness"
"õnnetu","accuratenesses"
"õnnetus","accurre"
"õnnistama","accurse"
"õnnistus","accursed"
"onu","accursedly"
"öö","accursedness"
"oodata","accursing"
"oodatud","accurst"
"ooh","accurtation"
"ookean","accus"
"õõnestada","accusable"
"ooper","accusably"
"oota","accusal"
"ootama","accusals"
"ootamatu","accusant"
"ootus","accusants"
"operaator","accusation"
"operatsiooni","accusations"
"õpetaja","accusation's"
"õpetama","accusatival"
"õpetamine","accusative"
"õpetlane","accusative-dative"
"õpetlik","accusatively"
"õpik","accusativeness"
"õpilane","accusatives"
"opositsioon","accusator"
"õppejõud","accusatory"
"õppekava","accusatorial"
"õppetund","accusatorially"
"õppida","accusatrix"
"õppija","accusatrixes"
"õppimine","accuse"
"opt","accused"
"optimistlik","accuser"
"oranž","accusers"
"orbiit","accuses"
"order","accusing"
"orel","accusingly"
"org","accusive"
"orgaaniline","accusor"
"organisatsioon","accustom"
"organism","accustomation"
"ori","accustomed"
"orientatsiooni","accustomedly"
"originaal","accustomedness"
"orjus","accustoming"
"orkaan","accustomize"
"õrn","accustomized"
"õrnalt","accustomizing"
"osa","accustoms"
"osakest","Accutron"
"osakond","ACD"
"osaleda","ACDA"
"osaleja","AC-DC"
"osalema","ACE"
"osalemine","acea"
"osaline","aceacenaphthene"
"osaliselt","aceae"
"oskus","acean"
"osta","aceanthrene"
"ostja","aceanthrenequinone"
"ostlemine","acecaffin"
"ostma","acecaffine"
"otsaesine","aceconitic"
"otse","aced"
"otsene","acedy"
"otsima","acedia"
"otsing","acediamin"
"otsus","acediamine"
"otsust","acedias"
"otsustama","acediast"
"õudus","ace-high"
"õudusunenägu","Acey"
"õue","acey-deucy"
"õues","aceite"
"õun","aceituna"
"paanika","Aceldama"
"paar","aceldamas"
"päästa","acellular"
"päästik","Acemetae"
"pääsuke","Acemetic"
"paat","acemila"
"paavst","acenaphthene"
"paber","acenaphthenyl"
"pabertaskurätik","acenaphthylene"
"pad","acenesthesia"
"padi","acensuada"
"päevakord","acensuador"
"päeval","acentric"
"päevik","acentrous"
"pagan","aceology"
"paganama","aceologic"
"pagasiruumi","aceous"
"pagulane","acephal"
"pahe","Acephala"
"pähkel","acephalan"
"pahkluu","Acephali"
"paigaldus","acephalia"
"paigutus","Acephalina"
"päike","acephaline"
"päikeseenergia","acephalism"
"päikeseline","acephalist"
"päikeseloojang","Acephalite"
"päikesevalgus","acephalocyst"
"paindlik","acephalous"
"paindlikkus","acephalus"
"painutada","acepots"
"pakett","acequia"
"pakkima","acequiador"
"pakkuda","acequias"
"pakkuja","Acer"
"pakkuma","Aceraceae"
"pakkumine","aceraceous"
"paks","Acerae"
"palavik","Acerata"
"palee","acerate"
"palestiinlane","acerated"
"palgata","Acerates"
"paljas","acerathere"
"paljastada","Aceratherium"
"paljastama","aceratosis"
"palju","acerb"
"paljutõotav","Acerbas"
"palk","acerbate"
"pall","acerbated"
"paluma","acerbates"
"palun","acerbating"
"palve","acerber"
"palvetama","acerbest"
"pane","acerbic"
"paneel","acerbically"
"panema","acerbity"
"pangandus","acerbityacerose"
"pank","acerbities"
"pankrotti","acerbitude"
"pankur","acerbly"
"pann","acerbophobia"
"pantvangi","acerdol"
"panus","aceric"
"panustada","acerin"
"paraad","acerli"
"parameeter","acerola"
"pärand","acerolas"
"parandada","acerose"
"parandamine","acerous"
"parandus","acerra"
"pärandvara","acers"
"paranenud","acertannin"
"pärast","acerval"
"pärastlõunal","acervate"
"parem","acervately"
"pärida","acervatim"
"parim","acervation"
"päring","acervative"
"päris","acervose"
"päritolu","acervuli"
"park","acervuline"
"parkimine","acervulus"
"parlament","aces"
"part","ace's"
"partner","acescence"
"partnerlus","acescency"
"pastor","acescent"
"patent","acescents"
"patrull","aceship"
"patsient","Acesius"
"patt","acesodyne"
"pätt","acesodynous"
"paugu","Acessamenus"
"paus","Acestes"
"pc","acestoma"
"pea","acet-"
"peaaegu","aceta"
"peab","acetable"
"peadirektor","acetabula"
"peakorter","acetabular"
"peaks","Acetabularia"
"peal","acetabuliferous"
"peale","acetabuliform"
"Pealegi","acetabulous"
"pealik","acetabulum"
"pealkiri","acetabulums"
"pealkirjastama","acetacetic"
"peamine","acetal"
"peamiselt","acetaldehydase"
"peatükk","acetaldehyde"
"peatus","acetaldehydrase"
"peavalu","acetaldol"
"peavarju","acetalization"
"peegel","acetalize"
"peegeldama","acetals"
"peegeldus","acetamid"
"peen","acetamide"
"pehme","acetamidin"
"pehmelt","acetamidine"
"peidetud","acetamido"
"peita","acetamids"
"pension","acetaminol"
"pensionil","Acetaminophen"
"peopesa","acetanilid"
"per","acetanilide"
"perekond","acetanion"
"peremees","acetaniside"
"periood","acetanisidide"
"perse","acetanisidine"
"perspektiivi","acetannin"
"pesa","acetary"
"pesapall","acetarious"
"pesta","acetars"
"pesu","acetarsone"
"petitsioon","acetate"
"petta","acetated"
"pettumus","acetates"
"pettunud","acetation"
"pettus","acetazolamide"
"pidev","acetbromamide"
"pidevalt","acetenyl"
"pidu","Acetes"
"pigem","acethydrazide"
"pigistama","acetiam"
"piibel","acetic"
"piim","acetify"
"piinlik","acetification"
"piir","acetified"
"piirang","acetifier"
"piirata","acetifies"
"piiratud","acetifying"
"piiri","acetyl"
"piirkond","acetylacetonates"
"piirkondlik","acetylacetone"
"piisav","acetylamine"
"piiskop","acetylaminobenzene"
"pikaajaline","acetylaniline"
"pikendada","acetylasalicylic"
"pikendamine","acetylate"
"pikendatud","acetylated"
"pikk","acetylating"
"pikkus","acetylation"
"pilet","acetylative"
"pilguheit","acetylator"
"pilku","acetylbenzene"
"piloot","acetylbenzoate"
"pilt","acetylbenzoic"
"pilv","acetylbiuret"
"pime","acetylcarbazole"
"pimedus","acetylcellulose"
"pin","acetylcholine"
"pingerida","acetylcholinesterase"
"pinget","acetylcholinic"
"pingutus","acetylcyanide"
"pink","acetylenation"
"pinnale","acetylene"
"pintsel","acetylenediurein"
"pipar","acetylenes"
"piraat","acetylenic"
"pirukas","acetylenyl"
"pisar","acetylenogen"
"pitsa","acetylfluoride"
"pitsat","acetylglycin"
"plaan","acetylglycine"
"plaaster","acetylhydrazine"
"plaat","acetylic"
"plahvatada","acetylid"
"plahvatus","acetylide"
"plakat","acetyliodide"
"planeerimine","acetylizable"
"planeet","acetylization"
