"Gujarati","English"
"ચેમ્પિયનશિપ","Abraham"
"ચેમ્બર","Abrahamic"
"ચોકલેટ","Abrahamidae"
"ચોકસાઈ","Abrahamite"
"ચોક્કસ","Abrahamitic"
"ચોક્કસપણે","Abraham-man"
"ચોખા","Abrahams"
"ચોખ્ખી","Abrahamsen"
"ચોખ્ખુ","Abrahan"
"ચોખ્ખો","abray"
"ચોથું","abraid"
"ચોર","Abram"
"ચોરસ","Abramis"
"ચોરી","Abramo"
"છ","Abrams"
"છટકી","Abramson"
"છટકું","Abran"
"છઠ્ઠું","abranchial"
"છત","abranchialism"
"છતાં","abranchian"
"છબી","Abranchiata"
"છરી","abranchiate"
"છાંયો","abranchious"
"છાતી","abrasax"
"છાપ","abrase"
"છાપરું","abrased"
"છાપો","abraser"
"છાલ","abrash"
"છિદ્ર","abrasing"
"છી","abrasiometer"
"છીછરું","abrasion"
"છું","abrasions"
"છુટકારો","abrasion's"
"છુપાયેલ","abrasive"
"છુપાવો","abrasively"
"છૂટક","abrasiveness"
"છૂટાછવાયા","abrasivenesses"
"છૂટાછેડા","abrasives"
"છેતરપિંડી","abrastol"
"છેલ્લા","abraum"
"છેલ્લે","abraxas"
"છોકરી","abrazite"
"છોકરો","abrazitic"
"છોડ","abrazo"
"છોડો","abrazos"
"જંક","abreact"
"જંગલ","abreacted"
"જંગલી","abreacting"
"જંતુ","abreaction"
"જગાડવો","abreactions"
"જગ્યા","abreacts"
"જટિલ","abreast"
"જટિલતા","abreed"
"જડબા","abrege"
"જણાવો","abreid"
"જથ્થો","abrenounce"
"જનીન","abrenunciate"
"જન્મ","abrenunciation"
"જન્મદિવસ","abreption"
"જપ્ત","abret"
"જબરજસ્ત","abreuvoir"
"જબરદસ્ત","abri"
"જમા","abrico"
"જમાવટ","abricock"
"જમીન","abricot"
"જરૂર","abridgable"
"જરૂરિયાત","abridge"
"જરૂરી","abridgeable"
"જર્નલ","abridged"
"જર્મન","abridgedly"
"જવાબ","abridgement"
"જવાબદાર","abridgements"
"જવાબદારી","abridger"
"જહાજ","abridgers"
"જાંઘ","abridges"
"જાંબલી","abridging"
"જાઓ","abridgment"
"જાગવું","abridgments"
"જાગૃત","abrim"
"જાગૃતિ","abrin"
"જાઝ","abrine"
"જાડા","abris"
"જાણ","abristle"
"જાણીતા","abroach"
"જાતિવાદ","abroad"
"જાતિવાદી","Abrocoma"
"જાતીય","abrocome"
"જાદુઈ","abrogable"
"જાનવર","abrogate"
"જાનહાનિ","abrogated"
"જાન્યુઆરી","abrogates"
"જાપાનીઝ","abrogating"
"જાર","abrogation"
"જાસૂસ","abrogations"
"જાહેર","abrogative"
"જાહેરમાં","abrogator"
"જાહેરાત","abrogators"
"જાળવણી","Abroma"
"જાળવી","Abroms"
"જિજ્ઞાસા","Abronia"
"જિમ","abrood"
"જિલ્લો","abrook"
"જીત","abrosia"
"જીન્સ","abrosias"
"જીભ","abrotanum"
"જીવંત","abrotin"
"જીવન","abrotine"
"જીવનશૈલી","abrupt"
"જીવનસાથી","abruptedly"
"જીવલેણ","abrupter"
"જુઓ","abruptest"
"જુનિયર","abruptio"
"જુબાની","abruption"
"જુલાઈ","abruptiones"
"જુસ્સાદાર","abruptly"
"જુસ્સો","abruptness"
"જૂઠું","Abrus"
"જૂતા","Abruzzi"
"જૂથ","ABS"
"જૂન","abs-"
"જૂનું","Absa"
"જે","Absalom"
"જેકેટ","absampere"
"જેટ","Absaraka"
"જેની","Absaroka"
"જેમ","Absarokee"
"જેમને","absarokite"
"જેલ","ABSBH"
"જૈવિક","abscam"
"જો","abscess"
"જોઈએ","abscessed"
"જોકે","abscesses"
"જોખમ","abscessing"
"જોખમી","abscession"
"જોગવાઈ","abscessroot"
"જોડણી","abscind"
"જોડાઓ","abscise"
"જોડાણ","abscised"
"જોડાવા","abscises"
"જોડિયા","abscisin"
"જોડી","abscising"
"જોડો","abscisins"
"જોવાલાયક","abscision"
"જોવું","absciss"
"જ્ઞાન","abscissa"
"જ્ઞાનતંતુ","abscissae"
"જ્ઞાનાત્મક","abscissas"
"જ્યાં","abscissa's"
"જ્યારે","abscisse"
"જ્યુરી","abscissin"
"જ્યોત","abscission"
"ઝડપ","abscissions"
"ઝડપથી","absconce"
"ઝડપી","abscond"
"ઝલક","absconded"
"ઝાંખું","abscondedly"
"ઝાડવું","abscondence"
"ઝુંબેશ","absconder"
"ઝેરી","absconders"
"ઝોન","absconding"
"ટક","absconds"
"ટકા","absconsa"
"ટકાઉ","abscoulomb"
"ટકાવારી","abscound"
"ટકાવી","Absecon"
"ટચડાઉન","absee"
"ટનલ","absey"
"ટપાલ","abseil"
"ટર્કી","abseiled"
"ટાંકવું","abseiling"
"ટાંકી","abseils"
"ટાપુ","absence"
"ટામેટા","absences"
"ટાયર","absence's"
"ટાવર","absent"
"ટાળો","absentation"
"ટિકિટ","absented"
"ટિપ્પણી","absentee"
"ટીકા","absenteeism"
"ટીપ","absentees"
"ટીમ","absentee's"
"ટીવી","absenteeship"
"ટી-શર્ટ","absenter"
"ટુકડી","absenters"
"ટુકડો","absentia"
"ટુવાલ","absenting"
"ટૂંકમાં","absently"
"ટૂંકું","absentment"
"ટેક","absentminded"
"ટેકનિક","absent-minded"
"ટેકનોલોજી","absentmindedly"
"ટેકનોલોજીકલ","absent-mindedly"
"ટેકરી","absentmindedness"
"ટેક્સ્ટ","absent-mindedness"
"ટેગ","absentmindednesses"
"ટેટૂ","absentness"
"ટેનિસ","absents"
"ટેન્ડર","absfarad"
"ટેપ","abshenry"
"ટેબ","Abshier"
"ટેબલ","Absi"
"ટેબ્લેટ","absinth"
"ટેલિફોન","absinthe"
"ટેલિવિઝન","absinthes"
"ટેલિસ્કોપ","absinthial"
"ટૉસ","absinthian"
"ટોચ","absinthiate"
"ટોપલી","absinthiated"
"ટોપી","absinthiating"
"ટોલ","absinthic"
"ટોળી","absinthiin"
"ટોળું","absinthin"
"ટ્યુન","absinthine"
"ટ્યુબ","absinthism"
"ટ્રક","absinthismic"
"ટ્રાન્સફર","absinthium"
"ટ્રાન્સમિશન","absinthol"
"ટ્રાફિક","absinthole"
"ટ્રિગર","absinths"
"ટ્રિલિયન","Absyrtus"
"ટ્રેક","absis"
"ટ્રેન","absist"
"ટ્રેનર","absistos"
"ટ્રેલર","absit"
"ટ્રેસ","absmho"
"ટ્વિસ્ટ","absohm"
"ઠંડી","absoil"
"ઠગ","absolent"
"ઠરાવ","Absolute"
"ઠીક","absolutely"
"ઠોકર","absoluteness"
"ડંખ","absoluter"
"ડચ","absolutes"
"ડઝન","absolutest"
"ડબલ","absolution"
"ડમ્પ","absolutions"
"ડરામણી","absolutism"
"ડાઉનટાઉન","absolutist"
"ડાકણ","absolutista"
"ડાયરી","absolutistic"
"ડાયાબિટીસ","absolutistically"
"ડિગ્રી","absolutists"
"ડિજિટલ","absolutive"
"ડિઝાઇન","absolutization"
"ડિઝાઇનર","absolutize"
"ડિટેક્ટીવ","absolutory"
"ડિફેન્ડર","absolvable"
"ડિલિવરી","absolvatory"
"ડિસેમ્બર","absolve"
"ડિસ્ક","absolved"
"ડિસ્કાઉન્ટ","absolvent"
"ડીએનએ","absolver"
"ડુંગળી","absolvers"
"ડુક્કર","absolves"
"ડૂબવું","absolving"
"ડેટા","absolvitor"
"ડેટાબેઝ","absolvitory"
"ડેસ્ક","absonant"
"ડૉક્ટર","absonous"
"ડોમેન","absorb"
"ડોલ","absorbability"
"ડોલર","absorbable"
"ડ્રમ","absorbance"
"ડ્રાઇવિંગ","absorbancy"
"ડ્રાઈવર","absorbant"
"ડ્રાફ્ટ","absorbed"
"ડ્રિફ્ટ","absorbedly"
"ડ્રેઇન","absorbedness"
"ડ્રેગન","absorbefacient"
"ડ્રોઅર","absorbency"
"ડ્રોપ","absorbencies"
"ઢાલ","absorbent"
"ઢાળ","absorbents"
"ઢીંગલી","absorber"
"ઢોંગ","absorbers"
"ઢોર","absorbing"
"તંદુરસ્તી","absorbingly"
"તંબુ","absorbition"
"તક","absorbs"
"તકનીકી","absorbtion"
"તટવર્તી","absorpt"
"તટસ્થ","absorptance"
"તડકો","absorptiometer"
"તણાવ","absorptiometric"
"તત્વ","absorption"
"તદ્દન","absorptional"
"તપાસ","absorptions"
"તપાસકર્તા","absorption's"
"તપાસો","absorptive"
"તફાવત","absorptively"
"તબક્કો","absorptiveness"
"તબીબી","absorptivity"
"તમાકુ","absquatulate"
"તમારા","absquatulation"
"તમારું","abstain"
"તમે","abstained"
"તરંગ","abstainer"
"તરત","abstainers"
"તરફ","abstaining"
"તરફી","abstainment"
"તરફેણ","abstains"
"તરવું","abstemious"
"તરીકે","abstemiously"
"તર્ક","abstemiousness"
"તર્કસંગત","abstention"
"તલવાર","abstentionism"
"તહેવાર","abstentionist"
"તળાવ","abstentions"
"તાકાત","abstentious"
"તાજ","absterge"
"તાજા","absterged"
"તાજેતરનું","abstergent"
"તાજેતરમાં","absterges"
"તાણ","absterging"
"તાત્કાલિક","absterse"
"તાપમાન","abstersion"
"તાર","abstersive"
"તારીખ","abstersiveness"
"તારો","abstertion"
"તાર્કિક","abstinence"
"તાલીમ","abstinences"
"તાવ","abstinency"
"તાળું","abstinent"
"તિજોરી","abstinential"
"તિરસ્કાર","abstinently"
"તીક્ષ્ણ","abstort"
"તીર","abstr"
"તીવ્ર","abstract"
"તીવ્રતા","abstractable"
"તું","abstracted"
"તુલના","abstractedly"
"તૂટેલા","abstractedness"
"તૂતક","abstracter"
"તે","abstracters"
"તેઓ","abstractest"
"તેજસ્વી","abstracting"
"તેજાબ","abstraction"
"તેજી","abstractional"
"તેણી","abstractionism"
"તેણીના","abstractionist"
"તેણીની","abstractionists"
"તેથી","abstractions"
"તેના","abstraction's"
"તેને","abstractitious"
"તેમના","abstractive"
"તેમને","abstractively"
"તેલ","abstractiveness"
"તૈયાર","abstractly"
"તૈયારી","abstractness"
"તોફાન","abstractnesses"
"ત્યાં","abstractor"
"ત્યારથી","abstractors"
"ત્રણ","abstractor's"
"ત્રીજું","abstracts"
"ત્રીસ","abstrahent"
"ત્વચા","abstrict"
"ત્વરિત","abstricted"
"થડ","abstricting"
"થપ્પડ","abstriction"
"થાકેલું","abstricts"
"થાય","abstrude"
"થિયેટર","abstruse"
"થી","abstrusely"
"થીમ","abstruseness"
"થૂંકવું","abstrusenesses"
"થેલી","abstruser"
"થોડા","abstrusest"
"થોડું","abstrusion"
"થ્રેશોલ્ડ","abstrusity"
"દંડ","abstrusities"
"દંતકથા","absume"
"દંપતી","absumption"
"દંભ","absurd"
"દક્ષિણ","absurder"
"દક્ષિણપશ્ચિમ","absurdest"
"દક્ષિણપૂર્વ","absurdism"
"દગો","absurdist"
"દડો","absurdity"
"દત્તક","absurdities"
"દફનાવી","absurdity's"
"દબાણ","absurdly"
"દબાવો","absurdness"
"દયા","absurds"
"દર","absurdum"
"દરખાસ્ત","absvolt"
"દરમિયાન","abt"
"દરરોજ","abterminal"
"દરવાજો","abthain"
"દરિયાઈ","abthainry"
"દરેક","abthainrie"
"દર્દી","abthanage"
"દર્શક","abtruse"
"દલીલ","Abu"
"દવા","abubble"
"દસ","Abu-Bekr"
"દસ્તાવેજ","Abucay"
"દસ્તાવેજી","abucco"
"દાંત","abuilding"
"દાખલો","Abukir"
"દાગીના","abuleia"
"દાતા","Abulfeda"
"દાદર","abulia"
"દાદા","abulias"
"દાદી","abulic"
"દાન","abulyeit"
"દાયકા","abulomania"
"દારૂ","abumbral"
"દાવ","abumbrellar"
"દાવો","Abuna"
"દિગ્દર્શક","abundance"
"દિવસ","abundances"
"દિવાલ","abundancy"
"દિશા","abundant"
"દીવો","Abundantia"
"દુ:ખદ","abundantly"
"દુઃખ","abune"
"દુઃસ્વપ્ન","abura"
"દુકાન","aburabozu"
"દુનિયા","aburagiri"
"દુર્ઘટના","aburban"
"દુર્બળ","Abury"
"દુર્ભાગ્યે","aburst"
"દુર્લભ","aburton"
"દુશ્મન","abusable"
"દુષ્ટ","abusage"
"દૂતાવાસ","abuse"
"દૂધ","abused"
"દૂર","abusedly"
"દૂરસ્થ","abusee"
"દૃશ્ય","abuseful"
"દૃશ્યમાન","abusefully"
"દૃષ્ટિ","abusefulness"
"દૃષ્ટિકોણ","abuser"
"દેખરેખ","abusers"
"દેખાવ","abuses"
"દેખીતું","abush"
"દેવદૂત","abusing"
"દેવું","abusion"
"દેશ","abusious"
"દૈનિક","abusive"
"દૈવી","abusively"
"દો","abusiveness"
"દોડવીર","abusivenesses"
"દોડવું","abut"
"દોર","Abuta"
"દોરડું","Abutilon"
"દોરી","abutilons"
"દોરો","abutment"
"દોષ","abutments"
"દોષિત","abuts"
"દોસ્ત","abuttal"
"દ્રશ્ય","abuttals"
"દ્રષ્ટિ","abutted"
"દ્વારા","abutter"
"ધમકી","abutters"
"ધરતીકંપ","abutter's"
"ધરપકડ","abutting"
"ધરોહર","abuzz"
"ધર્મ","abv"
"ધર્મશાસ્ત્ર","abvolt"
"ધર્માદા","abvolts"
"ધસારો","abwab"
"ધાતુ","abwatt"
"ધાબળો","abwatts"
"ધાર","ac"
"ધારણા","ac-"
"ધારવું","a-c"
"ધારાશાસ્ત્રી","AC/DC"
"ધારાસભા","ACAA"
"ધાર્મિક","Acacallis"
"ધીમું","acacatechin"
"ધીરજ","acacatechol"
"ધુમાડો","Acacea"
"ધૂળ","Acaceae"
"ધોરણ","acacetin"
"ધોવું","Acacia"
"ધ્યાન","Acacian"
"ધ્યેય","acacias"
"ધ્રુજારી","acaciin"
"ધ્રુવ","acacin"
"ધ્વજ","acacine"
"નકલ","acad"
"નકલી","academe"
"નકશો","academes"
"નકામું","Academy"
"નકારાત્મક","academia"
"નક્કર","academial"
"નગર","academian"
"નગ્ન","academias"
"નજર","Academic"
"નજીક","academical"
"નજીકથી","academically"
"નજીકમાં","academicals"
"નથી","academician"
"નદી","academicians"
"નફરત","academicianship"
"નફો","academicism"
"નબળા","academics"
"નબળાઈ","academie"
"નમન","academies"
"નમસ્કાર","academy's"
"નમસ્તે","academise"
"નમૂના","academised"
"નરક","academising"
"નરમ","academism"
"નરમાશથી","academist"
"નર્વસ","academite"
"નર્સ","academization"
"નવ","academize"
"નવલકથા","academized"
"નવા","academizing"
"નવીન","Academus"
"નવીનતા","Acadia"
"નવું","acadialite"
"નવેમ્બર","Acadian"
"નશામાં","Acadie"
"નસીબ","Acaena"
"નસીબદાર","acajou"
"નળ","acajous"
"ના","acal"
"નાક","acalculia"
"નાગરિક","acale"
"નાગરિકત્વ","acaleph"
"નાજુક","Acalepha"
"નાટક","Acalephae"
"નાટકીય","acalephan"
"નાડી","acalephe"
"નાણાકીય","acalephes"
"નાતાલ","acalephoid"
"નાદારી","acalephs"
"નાનું","Acalia"
"નાબૂદ","acalycal"
"નામ","acalycine"
"નામંજૂર","acalycinous"
"નામાંકન","acalyculate"
"નામું","Acalypha"
"નાયબ","Acalypterae"
"નારંગી","Acalyptrata"
"નાશ","Acalyptratae"
"નાસ્તો","acalyptrate"
"નિંદા","Acamar"
"નિકાલ","Acamas"
"નિકાસ","Acampo"
"નિદર્શન","acampsia"
"નિદાન","acana"
"નિદ્રાધીન","acanaceous"
"નિબંધ","acanonical"
"નિમણુંક","acanth"
"નિમણૂક","acanth-"
"નિયંત્રણ","acantha"
"નિયતિ","Acanthaceae"
"નિયમ","acanthaceous"
"નિયમન","acanthad"
"નિયમનકારી","Acantharia"
"નિયમિત","acanthi"
"નિયમિતપણે","Acanthia"
"નિરાશ","acanthial"
"નિરાશા","acanthin"
"નિરીક્ષક","acanthine"
"નિરીક્ષણ","acanthion"
"નિરૂપણ","acanthite"
"નિર્ણય","acantho-"
"નિર્ણાયક","acanthocarpous"
"નિર્દોષ","Acanthocephala"
"નિર્ભેળ","acanthocephalan"
"નિર્માતા","Acanthocephali"
"નિવારણ","acanthocephalous"
"નિવાસી","Acanthocereus"
"નિવૃત્ત","acanthocladous"
"નિવૃત્તિ","Acanthodea"
"નિવેદન","acanthodean"
"નિશ્ચય","Acanthodei"
"નિશ્ચિત","Acanthodes"
"નિશ્ચિતપણે","acanthodian"
"નિષ્કર્ષ","Acanthodidae"
"નિષ્ણાત","Acanthodii"
"નિષ્ફળ","Acanthodini"
"નિષ્ફળતા","acanthoid"
"નિસાસો","Acantholimon"
"નિસ્તેજ","acantholysis"
"નીંદણ","acanthology"
"નીચ","acanthological"
"નીચું","acanthoma"
"નીચે","acanthomas"
"નીચેનું","Acanthomeridae"
"નીતિ","acanthon"
"નીતિશાસ્ત્ર","Acanthopanax"
"નુકસાન","Acanthophis"
"નૃત્ય","acanthophorous"
"નૃત્યાંગના","acanthopod"
"નેટવર્ક","acanthopodous"
"નેતા","acanthopomatous"
"નેતૃત્વ","acanthopore"
"નૈતિક","acanthopteran"
"નૈતિકતા","Acanthopteri"
"નૉૅધ","acanthopterygian"
"નોંધણી","Acanthopterygii"
"નોંધનીય","acanthopterous"
"નોંધપાત્ર","acanthoses"
"નોકર","acanthosis"
"નોકરી","acanthotic"
"નોકરીદાતા","acanthous"
"નોટિસ","Acanthuridae"
"નોમિની","Acanthurus"
"નૌસેના","acanthus"
"ન્યાય","acanthuses"
"ન્યાયાધીશ","acanthuthi"
"ન્યાયિક","acapnia"
"ન્યૂનતમ","acapnial"
"પંક્તિ","acapnias"
"પંદર","acappella"
"પંપ","acapsular"
"પકડ","acapu"
"પકડી","Acapulco"
"પક્ષી","acara"
"પગ","Acarapis"
"પગલું","acarari"
"પગાર","acardia"
"પગેરું","acardiac"
"પચાસ","acardite"
"પછી","acari"
"પછીથી","acarian"
"પટ્ટી","acariasis"
"પડકાર","acariatre"
"પડકારરૂપ","acaricidal"
"પડઘો","acaricide"
"પડછાયો","acarid"
"પડદો","Acarida"
"પડવું","acaridae"
"પડોશી","acaridan"
"પણ","acaridans"
"પતન","Acaridea"
"પતાવટ","acaridean"
"પતિ","acaridomatia"
"પત્ની","acaridomatium"
"પત્ર","acarids"
"પત્રકાર","acariform"
"પત્રકારત્વ","Acarina"
"પથારી","acarine"
"પથ્થર","acarines"
"પદાર્થ","acarinosis"
"પદાર્પણ","Acarnan"
"પદ્ધતિ","acarocecidia"
"પપ્પા","acarocecidium"
"પર","acarodermatitis"
"પરંતુ","acaroid"
"પરંપરા","acarol"
"પરંપરાગત","acarology"
"પરત","acarologist"
"પરબિડીયું","acarophilous"
"પરમાણુ","acarophobia"
"પરવડી","acarotoxic"
"પરવાનગી","acarpellous"
"પરસેવો","acarpelous"
"પરસ્પર","acarpous"
"પરામર્શ","Acarus"
"પરિચય","ACAS"
"પરિચિત","acast"
"પરિણામ","Acastus"
"પરિણામે","acatalectic"
"પરિણીત","acatalepsy"
"પરિપૂર્ણ","acatalepsia"
"પરિપ્રેક્ષ્ય","acataleptic"
"પરિબળ","acatallactic"
"પરિમાણ","acatamathesia"
"પરિવર્તન","acataphasia"
"પરિવહન","acataposis"
"પરિષદ","acatastasia"
"પરિસ્થિતિ","acatastatic"
"પરીક્ષણ","acate"
"પરીક્ષા","acategorical"
"પરેડ","acater"
"પરેશાન","acatery"
"પરોઢ","acates"
"પર્ણ","acatharsy"
"પર્યાપ્ત","acatharsia"
"પર્યાવરણ","acatholic"
"પર્યાવરણીય","acaudal"
"પર્વત","acaudate"
"પર્સ","acaudelescent"
"પવન","acaulescence"
"પવિત્ર","acaulescent"
"પશુઉછેર","acauline"
"પશ્ચિમ","acaulose"
"પશ્ચિમી","acaulous"
"પસંદગી","ACAWS"
"પસાર","ACB"
"પહેરો","ACBL"
"પહેલ","ACC"
"પહેલા","acc."
"પહેલાં","acca"
"પહેલેથી","accable"
"પહોંચ","Accad"
"પહોંચાડવું","accademia"
"પહોંચાડો","Accadian"
"પહોળું","Accalia"
"પાંખ","acce"
"પાંચ","accede"
"પાંચમું","acceded"
"પાંજરું","accedence"
"પાઇ","acceder"
"પાઇપ","acceders"
"પાઇપલાઇન","accedes"
"પાઈન","acceding"
"પાઉન્ડ","accel"
"પાક","accel."
"પાગલ","accelerable"
"પાછળ","accelerando"
"પાછળથી","accelerant"
"પાછા","accelerate"
"પાટનગર","accelerated"
"પાટીયું","acceleratedly"
"પાઠ","accelerates"
"પાઠ્યપુસ્તક","accelerating"
"પાડોશી","acceleratingly"
"પાણી","acceleration"
"પાતળું","accelerations"
"પાત્ર","accelerative"
"પાદરી","accelerator"
"પાન","acceleratory"
"પાનું","accelerators"
"પાપ","accelerograph"
"પાયલોટ","accelerometer"
"પાયાની","accelerometers"
"પાયો","accelerometer's"
"પાર્ક","accend"
"પાર્કિંગ","accendibility"
"પાર્ટી","accendible"
"પાલક","accensed"
"પાલતુ","accension"
"પાલન","accensor"
"પાવડર","accent"
"પાસ","accented"
"પાસું","accenting"
"પાસે","accentless"
"પાળી","accentor"
"પિકઅપ","accentors"
"પિચ","accents"
"પિઝા","accentuable"
"પિતરાઈ","accentual"
"પિતા","accentuality"
"પિતૃ","accentually"
"પિન","accentuate"
"પિયાનો","accentuated"
"પીઅર","accentuates"
"પીછો","accentuating"
"પીડા","accentuation"
"પીડાદાયક","accentuations"
"પીઢ","accentuator"
"પીવું","accentus"
"પીસી","accept"
"પીળો","acceptability"
"પુખ્ત","acceptabilities"
"પુછવું","acceptable"
"પુત્ર","acceptableness"
"પુત્રી","acceptably"
"પુનઃ","acceptance"
"પુનઃનિર્માણ","acceptances"
"પુનઃપ્રાપ્ત","acceptance's"
"પુનઃસ્થાપિત","acceptancy"
"પુનરાવર્તન","acceptancies"
"પુરતું","acceptant"
"પુરવઠા","acceptation"
"પુરસ્કાર","acceptavit"
"પુરાવા","accepted"
"પુરૂષ","acceptedly"
"પુલ","acceptee"
"પુષ્કળ","acceptees"
"પુસ્તક","accepter"
"પુસ્તકાલય","accepters"
"પૂંછડી","acceptilate"
"પૂર","acceptilated"
"પૂરતૂ","acceptilating"
"પૂર્ણ","acceptilation"
"પૂર્વ","accepting"
"પૂર્વગ્રહ","acceptingly"
"પૂર્વજ","acceptingness"
"પૂર્વધારણા","acception"
"પૂર્વીય","acceptive"
"પૂલ","acceptor"
"પૃથ્વી","acceptors"
"પૃષ્ઠભૂમિ","acceptor's"
"પેઇન્ટિંગ","acceptress"
"પેક","accepts"
"પેકેજ","accerse"
"પેચ","accersition"
"પેટ","accersitor"
"પેટન્ટ","access"
"પેટર્ન","accessability"
"પેટ્રોલિંગ","accessable"
"પેડ","accessary"
"પેઢી","accessaries"
"પેદા","accessarily"
"પેન","accessariness"
"પેનલ","accessaryship"
"પેન્શન","accessed"
"પેરેંટલ","accesses"
"પેલેસ્ટિનિયન","accessibility"
"પેશાબ","accessibilities"
"પેશી","accessible"
"પૈસા","accessibleness"
"પોકાર","accessibly"
"પોટ","accessing"
"પોટ્રેટ","accession"
"પોતાના","accessional"
"પોતાને","accessioned"
"પોતે","accessioner"
"પોપ","accessioning"
"પોર્ટફોલિયો","accessions"
"પોલીસ","accession's"
"પોશાક","accessit"
"પોષણ","accessive"
"પોસાય","accessively"
"પોસ્ટ","accessless"
"પોસ્ટર","accessor"
"પ્રકરણ","accessory"
"પ્રકાર","accessorial"
"પ્રકારની","accessories"
"પ્રકાશ","accessorii"
"પ્રકાશક","accessorily"
"પ્રકાશન","accessoriness"
"પ્રકૃતિ","accessory's"
"પ્રક્રિયા","accessorius"
"પ્રક્ષેપણ","accessoriusorii"
"પ્રખ્યાત","accessorize"
"પ્રગતિ","accessorized"
"પ્રગતિશીલ","accessorizing"
"પ્રચંડ","accessors"
"પ્રચાર","accessor's"
"પ્રજાતિઓ","acciaccatura"
"પ્રજાસત્તાક","acciaccaturas"
"પ્રતયોગીતા","acciaccature"
"પ્રતિ","accidence"
"પ્રતિકાર","accidency"
"પ્રતિકૂળ","accidencies"
"પ્રતિક્રિયા","accident"
"પ્રતિનિધિ","accidental"
"પ્રતિનિધિત્વ","accidentalism"
"પ્રતિબંધ","accidentalist"
"પ્રતિબંધિત","accidentality"
"પ્રતિબદ્ધ","accidentally"
"પ્રતિબદ્ધતા","accidentalness"
"પ્રતિબિંબ","accidentals"
"પ્રતિભા","accidentary"
"પ્રતિભાવ","accidentarily"
"પ્રતિભાશાળી","accidented"
"પ્રતિમા","accidential"
"પ્રતિરૂપ","accidentiality"
"પ્રતિવાદી","accidently"
"પ્રતિષ્ઠા","accident-prone"
"પ્રતિસાદ","accidents"
"પ્રતીક","accidia"
"પ્રતીતિ","accidias"
"પ્રત્યક્ષ","accidie"
"પ્રથમ","accidies"
"પ્રદર્શન","accinge"
"પ્રદાતા","accinged"
"પ્રદૂષણ","accinging"
"પ્રદેશ","accipenser"
"પ્રબોધક","accipient"
"પ્રભાવ","Accipiter"
"પ્રભાવશાળી","accipitral"
"પ્રભાવિત","accipitrary"
"પ્રભુત્વ","Accipitres"
"પ્રમાણ","accipitrine"
"પ્રમાણપત્ર","accipter"
"પ્રમાણમાં","accise"
"પ્રમાણિક","accismus"
"પ્રમાણિકપણે","accite"
"પ્રમુખપદ","Accius"
"પ્રમોશન","acclaim"
"પ્રયત્ન","acclaimable"
"પ્રયાસ","acclaimed"
"પ્રયોગ","acclaimer"
"પ્રયોગશાળા","acclaimers"
"પ્રવક્તા","acclaiming"
"પ્રવચન","acclaims"
"પ્રવાસ","acclamation"
"પ્રવાસી","acclamations"
"પ્રવાહ","acclamator"
"પ્રવાહી","acclamatory"
"પ્રવૃત્તિ","acclimatable"
"પ્રવેશ","acclimatation"
"પ્રશંસક","acclimate"
"પ્રશંસા","acclimated"
"પ્રશિક્ષક","acclimatement"
"પ્રશ્ન","acclimates"
"પ્રશ્નાવલી","acclimating"
"પ્રસંગ","acclimation"
"પ્રસંગોપાત","acclimations"
"પ્રસન્ન","acclimatisable"
"પ્રસારણ","acclimatisation"
"પ્રસ્તાવ","acclimatise"
"પ્રસ્તાવિત","acclimatised"
"પ્રસ્થાન","acclimatiser"
"પ્રાંત","acclimatising"
"પ્રાઇમ","acclimatizable"
"પ્રાચીન","acclimatization"
"પ્રાણવાયુ","acclimatizations"
"પ્રાણી","acclimatize"
"પ્રાથમિક","acclimatized"
"પ્રાથમિકતા","acclimatizer"
"પ્રાદેશિક","acclimatizes"
"પ્રાપ્તકર્તા","acclimatizing"
"પ્રામાણિકપણે","acclimature"
"પ્રાયોગિક","acclinal"
"પ્રાયોજક","acclinate"
"પ્રારંભિક","acclivity"
"પ્રાર્થના","acclivities"
"પ્રિય","acclivitous"
"પ્રિયતમ","acclivous"
"પ્રિસ્ક્રિપ્શન","accloy"
"પ્રીમિયમ","accoast"
"પ્રેક્ટિસ","accoy"
"પ્રેક્ષકો","accoyed"
"પ્રેમ","accoying"
"પ્રેમાળ","accoil"
"પ્રેમિકા","Accokeek"
"પ્રેમી","accolade"
"પ્રેરણા","accoladed"
"પ્રોગ્રામિંગ","accolades"
"પ્રોજેક્ટ","accolated"
"પ્રોટીન","accolent"
"પ્રોટોકોલ","accoll"
"પ્રોત્સાહક","accolle"
"પ્રોત્સાહન","accolled"
"પ્રોફાઇલ","accollee"
"પ્રોફેસર","Accomac"
"પ્રોમ્પ્ટ","accombination"
"પ્રોસેસર","accommodable"
"પ્લાસ્ટિક","accommodableness"
"પ્લેઓફ","accommodate"
"પ્લેટ","accommodated"
"પ્લેટફોર્મ","accommodately"
"પ્લેસમેન્ટ","accommodateness"
"પ્લોટ","accommodates"
"ફકરો","accommodating"
"ફટકો","accommodatingly"
"ફરજ","accommodatingness"
"ફરિયાદ","accommodation"
"ફરિયાદી","accommodational"
"ફરી","accommodationist"
"ફર્નિચર","accommodations"
"ફળ","accommodative"
"ફાઇટર","accommodatively"
"ફાઇનાન્સ","accommodativeness"
"ફાઇબર","accommodator"
"ફાઇલ","accommodators"
"ફાજલ","accomodate"
"ફાયદાકારક","accompanable"
