"Yoruba","English"
"ijekuje","absohm"
"ijelese","absoil"
"ijẹniniya","absolent"
"ijẹrisi","Absolute"
"iji","absolutely"
"ijinle","absoluteness"
"ijinlẹ","absoluter"
"ijinna","absolutes"
"ijira","absolutest"
"ijiya","absolution"
"ijo","absolutions"
"ijó","absolutism"
"ijọ","absolutist"
"ijoba","absolutista"
"ijọba","absolutistic"
"ijoko","absolutistically"
"ijoye","absolutists"
"ika","absolutive"
"ìkà","absolutization"
"ikalara","absolutize"
"ìkan","absolutory"
"ìkànìyàn","absolvable"
"ikanni","absolvatory"
"ikarahun","absolve"
"ìkàwé","absolved"
"ìkéde","absolvent"
"ìkìlọ","absolver"
"ìkọ","absolvers"
"ikoeko","absolves"
"ikọja","absolving"
"ikoko","absolvitor"
"ikọkọ","absolvitory"
"ìkókó","absonant"
"ikole","absonous"
"Ikooko","absorb"
"ikopa","absorbability"
"ikorira","absorbable"
"ikosile","absorbance"
"ikọsilẹ","absorbancy"
"ikowe","absorbant"
"ikọwe","absorbed"
"iku","absorbedly"
"ikun","absorbedness"
"ikuna","absorbefacient"
"ikunku","absorbency"
"ila","absorbencies"
"ìla","absorbent"
"ilana","absorbents"
"Ilana","absorber"
"ila-oorun","absorbers"
"ile","absorbing"
"ilẹ","absorbingly"
"ile-ẹkọ","absorbition"
"ile-ẹyẹ","absorbs"
"ile-ifowopamọ","absorbtion"
"ile-ile","absorpt"
"ile-iṣẹ","absorptance"
"ile-iṣọ","absorptiometer"
"ile-iwe","absorptiometric"
"ilekun","absorption"
"ilera","absorptional"
"ileri","absorptions"
"ileto","absorption's"
"ilokulo","absorptive"
"ilọkuro","absorptively"
"ilolupo","absorptiveness"
"iloro","absorptivity"
"ilosiwaju","absquatulate"
"ilọsiwaju","absquatulation"
"ilowosi","abstain"
"ilu","abstained"
"ilufin","abstainer"
"imeeli","abstainers"
"imo","abstaining"
"imọ-ẹrọ","abstainment"
"imolara","abstains"
"imole","abstemious"
"imọlẹ","abstemiously"
"imomopaniyan","abstemiousness"
"imoran","abstention"
"imọran","abstentionism"
"imoriya","abstentionist"
"imorusi","abstentions"
"imọwe","abstentious"
"imoye","absterge"
"imu","absterged"
"ìmúdàgba","abstergent"
"imudojuiwọn","absterges"
"imugboroosi","absterging"
"imukuro","absterse"
"imularada","abstersion"
"imura","abstersive"
"imuse","abstersiveness"
"imusin","abstertion"
"ina","abstinence"
"ina-","abstinences"
"inawo","abstinency"
"inch","abstinent"
"increasingly","abstinential"
"India","abstinently"
"info","abstort"
"ini","abstr"
"iní","abstract"
"inifura","abstractable"
"inira","abstracted"
"inmate","abstractedly"
"instinct","abstractedness"
"Integration","abstracter"
"intense","abstracters"
"inu","abstractest"
"inudidun","abstracting"
"ipa","abstraction"
"ipad","abstractional"
"ipadasẹhin","abstractionism"
"ipade","abstractionist"
"ipalara","abstractionists"
"ipalọlọ","abstractions"
"ìpamọ","abstraction's"
"ipanilaya","abstractitious"
"ipaniyan","abstractive"
"ipanu","abstractively"
"ipara","abstractiveness"
"ipare","abstractly"
"ipari","abstractness"
"ìparí","abstractnesses"
"iparun","abstractor"
"ìparun","abstractors"
"ipe","abstractor's"
"ipeja","abstracts"
"ipele","abstrahent"
"ipenija","abstrict"
"ipese","abstricted"
"ipilẹ","abstricting"
"ipilẹṣẹ","abstriction"
"ipin","abstricts"
"ipinle","abstrude"
"ipinnu","abstruse"
"ìpínrọ","abstrusely"
"ipo","abstruseness"
"ipolongo","abstrusenesses"
"ipolowo","abstruser"
"iporuru","abstrusest"
"iraki","abstrusion"
"iran","abstrusity"
"iranian","abstrusities"
"iranlowo","absume"
"iranran","absumption"
"iranse","absurd"
"iranṣẹ","absurder"
"iranti","absurdest"
"irawo","absurdism"
"ire","absurdist"
"irekọja","absurdity"
"iresi","absurdities"
"ireti","absurdity's"
"irewesi","absurdly"
"irẹwẹsi","absurdness"
"ìrẹwẹsì","absurds"
"irin","absurdum"
"ìrìn","absvolt"
"irinse","abt"
"irinṣẹ","abterminal"
"iriri","abthain"
"ĭrìrĭ","abthainry"
"Irish","abthainrie"
"irisi","abthanage"
"iro","abtruse"
"irokuro","Abu"
"irony","abubble"
"irora","Abu-Bekr"
"irọri","Abucay"
"iroro","abucco"
"irorun","abuilding"
"iroyin","Abukir"
"iru","abuleia"
"irú","Abulfeda"
"irubo","abulia"
"irufẹ","abulias"
"irugbin","abulic"
"iruju","abulyeit"
"irun","abulomania"
"isakoso","abumbral"
"iṣakoso","abumbrellar"
"iṣalaye","Abuna"
"isalẹ","abundance"
"iṣan","abundances"
"isansa","abundancy"
"ise","abundant"
"isẹ","Abundantia"
"išẹ","abundantly"
"iṣẹ","abune"
"ìṣe","abura"
"iseda","aburabozu"
"isedale","aburagiri"
"išedede","aburban"
"iṣeduro","Abury"
"iṣeeṣe","aburst"
"isegun","aburton"
"isẹgun","abusable"
"iseju","abusage"
"isejusi","abuse"
"isele","abused"
"iṣẹlẹ","abusedly"
"ìṣẹlẹ","abusee"
"iṣelọpọ","abuseful"
"isẹpo","abusefully"
"ìsépo","abusefulness"
"isere","abuser"
"iṣesi","abusers"
"iṣẹ-ṣiṣe","abuses"
"iṣeto","abush"
"iṣẹtọ","abusing"
"iṣẹyun","abusion"
"iṣinipopada","abusious"
"isinku","abusive"
"isinmi","abusively"
"isipade","abusiveness"
"išipopada","abusivenesses"
"ìsírasílẹ","abut"
"isiro","Abuta"
"iṣiro","Abutilon"
"isise","abutilons"
"iṣiwa","abutment"
"Islam","abutments"
"isofin","abuts"
"isokan","abuttal"
"Iṣọkan","abuttals"
"isokuso","abutted"
"isọkusọ","abutter"
"isonu","abutters"
"iṣootọ","abutter's"
"isoro","abutting"
"iṣoro","abuzz"
"ìṣòro","abv"
"isorosi","abvolt"
"isowo","abvolts"
"iṣowo","abwab"
"Israeli","abwatt"
"isuna","abwatts"
"Isuna","ac"
"isunki","ac-"
"isunmọ","a-c"
"iṣupọ","AC/DC"
"iṣura","ACAA"
"ita","Acacallis"
"itage","acacatechin"
"itaja","acacatechol"
"itajesile","Acacea"
"Itali","Acaceae"
"itan","acacetin"
"itaniji","Acacia"
"itanjẹ","Acacian"
"itankalẹ","acacias"
"itanna","acaciin"
"itanran","acacin"
"itansan","acacine"
"itara","acad"
"itatẹtẹ","academe"
"ite","academes"
"itẹ","Academy"
"itẹ-ẹiyẹ","academia"
"itele","academial"
"Itele","academian"
"itẹlera","academias"
"itelorun","Academic"
"iteriba","academical"
"itẹsiwaju","academically"
"itewogba","academicals"
"itiju","academician"
"ito","academicians"
"itoju","academicianship"
"itọju","academicism"
"itọkasi","academics"
"Itolẹsẹ","academie"
"itọnisọna","academies"
"Ìtọnisọnà","academy's"
"itọpa","academise"
"itọsi","academised"
"itọsọna","academising"
"itujade","academism"
"itumo","academist"
"itumọ","academite"
"itupalẹ","academization"
"itura","academize"
"iwa","academized"
"iwadi","academizing"
"iwa-ipa","Academus"
"iwaju","Acadia"
"iwakiri","acadialite"
"iwalaaye","Acadian"
"iwari","Acadie"
"iwariiri","Acaena"
"iwasu","acajou"
"iwe","acajous"
"Ìwé","acal"
"iwe-ašẹ","acalculia"
"iwin","acale"
"iwiregbe","acaleph"
"iwo","Acalepha"
"ìwò","Acalephae"
"iwode","acalephan"
"iwon","acalephe"
"iwọn","acalephes"
"iwonba","acalephoid"
"ìwọnba","acalephs"
"iwontunwonsi","Acalia"
"Iwoomusu","acalycal"
"Iwọoorun","acalycine"
"iwosan","acalycinous"
"iwoye","acalyculate"
"iwoyi","Acalypha"
"IwUlO","Acalypterae"
"iwunilori","Acalyptrata"
"iwuri","Acalyptratae"
"iwuwasi","acalyptrate"
"iwuwo","Acamar"
"iya","Acamas"
"iyalenu","Acampo"
"iyalẹnu","acampsia"
"iyalo","acana"
"iyanilenu","acanaceous"
"iyanjẹ","acanonical"
"iyanrin","acanth"
"iyansilẹ","acanth-"
"iyanu","acantha"
"iyapa","Acanthaceae"
"iyara","acanthaceous"
"ìyàraẹniṣọtọ","acanthad"
"ìyàsímímọ","Acantharia"
"iyasoto","acanthi"
"iyasọtọ","Acanthia"
"iyato","acanthial"
"iyatọ","acanthin"
"iyawo","acanthine"
"iyaworan","acanthion"
"iye","acanthite"
"iyẹ","acantho-"
"iyebiye","acanthocarpous"
"iyẹfun","Acanthocephala"
"iyege","acanthocephalan"
"iyemeji","Acanthocephali"
"iyẹwu","acanthocephalous"
"iyi","Acanthocereus"
"iyì","acanthocladous"
"ìyí","Acanthodea"
"iyika","acanthodean"
"iyin","Acanthodei"
"iyipada","Acanthodes"
"iyipo","acanthodian"
"iyọ","Acanthodidae"
"Ìyọnu","Acanthodii"
"iyọọda","Acanthodini"
"jà","acanthoid"
"jabọ","Acantholimon"
"jade","acantholysis"
"Jade","acanthology"
"jagun","acanthological"
"jagunjagun","acanthoma"
"jakejado","acanthomas"
"jaketi","Acanthomeridae"
"jamba","acanthon"
"jáni","Acanthopanax"
"Japanese","Acanthophis"
"jara","acanthophorous"
"jasi","acanthopod"
"jáwọ́","acanthopodous"
"jazz","acanthopomatous"
"jc","acanthopore"
"je","acanthopteran"
"jẹ","Acanthopteri"
"jẹbi","acanthopterygian"
"jegudujera","Acanthopterygii"
"jẹjẹ","acanthopterous"
"jemánì","acanthoses"
"jèrè","acanthosis"
"jẹri","acanthotic"
"jẹrisi","acanthous"
"jẹun","Acanthuridae"
"jewelry","Acanthurus"
"jẹwọ","acanthus"
"jeyo","acanthuses"
"ji","acanthuthi"
"jia","acapnia"
"jiini","acapnial"
"jije","acapnias"
"jijẹ","acappella"
"jin","acapsular"
"jina","acapu"
"jinle","Acapulco"
"jinna","acara"
"jiroro","Acarapis"
"jiya","acarari"
"jiyan","acardia"
"jo","acardiac"
"jọ","acardite"
"jo'gun","acari"
"jogún","acarian"
"joju","acariasis"
"joko","acariatre"
"jọmọ","acaricidal"
"Jowo","acaricide"
"jowú","acarid"
"ju","Acarida"
"Jubẹlọ","acaridae"
"julọ","acaridan"
"julọ.Oniranran","acaridans"
"junior","Acaridea"
"juror","acaridean"
"Juu","acaridomatia"
"ka","acaridomatium"
"kaabo","acarids"
"kaadi","acariform"
"kaakiri","Acarina"
"Kadara","acarine"
"Kafe","acarines"
"kakiri","acarinosis"
"kalẹnda","Acarnan"
"kalori","acarocecidia"
"kamẹra","acarocecidium"
"kan","acarodermatitis"
"kana","acaroid"
"kanfasi","acarol"
"kànkun","acarology"
"kanna","acarologist"
"kannaa","acarophilous"
"Kannada","acarophobia"
"kapitalisimu","acarotoxic"
"karun","acarpellous"
"kasulu","acarpelous"
"kede","acarpous"
"kedere","Acarus"
"kẹfa","ACAS"
"kẹhin","acast"
"keji","Acastus"
"kẹjọ","acatalectic"
"keke","acatalepsy"
"kẹkẹ","acatalepsia"
"kekeke","acataleptic"
"kekere","acatallactic"
"kemikali","acatamathesia"
"Kemistri","acataphasia"
"kepe","acataposis"
"kereje","acatastasia"
"keresimesi","acatastatic"
"kẹrin","acate"
"Kẹrin","acategorical"
"kerora","acater"
"Kẹsán","acatery"
"kẹta","acates"
"kẹtẹkẹtẹ","acatharsy"
"keyboard","acatharsia"
"kí","acatholic"
"kiakia","acaudal"
"kigbe","acaudate"
"kígbe","acaudelescent"
"kiikan","acaulescence"
"kika","acaulescent"
"kikankikan","acauline"
"kiko","acaulose"
"kikọ","acaulous"
"kikoro","ACAWS"
"kikun","ACB"
"kilasi","ACBL"
"kilasika","ACC"
"kilo","acc."
"kilode","acca"
"kini","accable"
"kiniun","Accad"
"kiraki","accademia"
"kirisita","Accadian"
"ko","Accalia"
"kọ","acce"
"kọfi","accede"
"koja","acceded"
"kọja","accedence"
"kójọ","acceder"
"kojọpọ","acceders"
"koju","accedes"
"kọjusi","acceding"
"kokan","accel"
"koko","accel."
"kókó","accelerable"
"kokoro","accelerando"
"kokosẹ","accelerant"
"kola","accelerate"
"kọlẹji","accelerated"
"kọlọfin","acceleratedly"
"kolu","accelerates"
"kọmputa","accelerating"
"komunisiti","acceleratingly"
"kongẹ","acceleration"
"kọni","accelerations"
"Kononeli","accelerative"
"Konsafetifu","accelerator"
"koo","acceleratory"
"koodu","accelerators"
"kọọkan","accelerograph"
"kopa","accelerometer"
"Korean","accelerometers"
"koriko","accelerometer's"
"kọrin","accend"
"korira","accendibility"
"korọrun","accendible"
"kọsẹ","accensed"
"koseemani","accension"
"kosi","accensor"
"kotabaki","accent"
"koyewa","accented"
"Kristiani","accenting"
"ku","accentless"
"kú","accentor"
"kuatomu","accentors"
"kukisi","accents"
"kukuru","accentuable"
"kun","accentual"
"kuna","accentuality"
"kuro","accentually"
"laala","accentuate"
"laanu","accentuated"
"laarin","accentuates"
"laaye","accentuating"
"lab","accentuation"
"labara","accentuations"
"labẹ","accentuator"
"ladugbo","accentus"
"lafiwe","accept"
"lagbara","acceptability"
"lagun","acceptabilities"
"laifọwọyi","acceptable"
"laikasi","acceptableness"
"lailai","acceptably"
"lailewu","acceptance"
"lailoriire","acceptances"
"laiparuwo","acceptance's"
"laipe","acceptancy"
"laipẹ","acceptancies"
"laisi","acceptant"
"laisọfa","acceptation"
"laiyara","acceptavit"
"lakoko","accepted"
"lalailopinpin","acceptedly"
"lalẹ","acceptee"
"lana","acceptees"
"Lane","accepter"
"lapapọ","accepters"
"larada","acceptilate"
"larin","acceptilated"
"lãrin","acceptilating"
"larọwọto","acceptilation"
"lasan","accepting"
"lásán","acceptingly"
"laṣẹ","acceptingness"
"lati","acception"
"latin","acceptive"
"lawujọ","acceptor"
"Layer","acceptors"
"le","acceptor's"
"Le","acceptress"
"lẹbi","accepts"
"lẹẹkan","accerse"
"lẹẹkansi","accersition"
"lẹẹkọọkan","accersitor"
"Lẹẹkọọkan","access"
"leewọ","accessability"
"legbe","accessable"
"lẹgbẹẹ","accessary"
"lehin","accessaries"
"lẹhin","accessarily"
"lẹhinna","accessariness"
"lẹkun","accessaryship"
"lemeji","accessed"
"lemọlemọfún","accesses"
"lẹmọnu","accessibility"
"lẹnsi","accessibilities"
"lenu","accessible"
"lepa","accessibleness"
"leralera","accessibly"
"lero","accessing"
"lerongba","accession"
"lesa","accessional"
"lesekese","accessioned"
"lẹsẹkẹsẹ","accessioner"
"lẹsẹsẹ","accessioning"
"lẹta","accessions"
"leti","accession's"
"lẹtọ","accessit"
"lẹwa","accessive"
"lewu","accessively"
"liigi","accessless"
"lile","accessor"
"lilo","accessory"
"lilọ","accessorial"
"litireso","accessories"
"lo","accessorii"
"lọ","accessorily"
"lode","accessoriness"
"lodi","accessory's"
"lodidi","accessorius"
"lodo","accessoriusorii"
"lododo","accessorize"
"lododun","accessorized"
"lojiji","accessorizing"
"lojojumo","accessors"
"lojukanna","accessor's"
"loke","acciaccatura"
"lonakona","acciaccaturas"
"loni","acciaccature"
"loorekoore","accidence"
"looto","accidency"
"lopin","accidencies"
"lopolopo","accident"
"lọpọlọpọ","accidental"
"lọra","accidentalism"
"lori","accidentalist"
"lọtọ","accidentality"
"lowo","accidentally"
"lọwọ","accidentalness"
"lọwọlọwọ","accidentals"
"loworo","accidentary"
"lóyún","accidentarily"
"lu","accidented"
"lulú","accidential"
"lupu","accidentiality"
"lyrics","accidently"
"Maalu","accident-prone"
"maapu","accidents"
"maili","accidia"
"majẹmu","accidias"
"Mamamama","accidie"
"March","accidies"
"marijuana","accinge"
"marun","accinged"
"mate","accinging"
"mathimatiki","accipenser"
"medal","accipient"
"media","Accipiter"
"meedogun","accipitral"
"mẹẹdogun","accipitrary"
"meeli","Accipitres"
"mefa","accipitrine"
"meje","accipter"
"mejeeji","accise"
"meji","accismus"
"mejila","accite"
"mẹjọ","Accius"
"mekaniki","acclaim"
"mẹrin","acclaimable"
"mẹsan","acclaimed"
"mẹta","acclaimer"
"mẹwa","acclaimers"
"mi","acclaiming"
"miiran","acclaims"
"milionu","acclamation"
"mimi","acclamations"
"mimọ","acclamator"
"mimu","acclamatory"
"minisita","acclimatable"
"misaili","acclimatation"
"mita","acclimate"
"mm","acclimated"
"mmm","acclimatement"
"mm-Unh","acclimates"
"mö","acclimating"
"mọ","acclimation"
"mode","acclimations"
"mogbonwa","acclimatisable"
"mojuto","acclimatisation"
"mọkanla","acclimatise"
"moleku","acclimatised"
"-mọnamọna","acclimatiser"
"Monday","acclimatising"
"monomono","acclimatizable"
"mookomooka","acclimatization"
"mọọmọ","acclimatizations"
"mora","acclimatize"
"mọrírì","acclimatized"
"moriwu","acclimatizer"
"motor","acclimatizes"
"mu","acclimatizing"
"mule","acclimature"
"muna","acclinal"
"munadoko","acclinate"
"mura","acclivity"
"murasilẹ","acclivities"
"musiọmu","acclivitous"
"Musulumi","acclivous"
"múu","accloy"
"muyan","accoast"
"na","accoy"
"naa","accoyed"
"narrator","accoying"
"nawo","accoil"
"ndin","Accokeek"
"net","accolade"
"nẹtiwọki","accoladed"
"ngbe","accolades"
"ngun","accolated"
"ni","accolent"
"Nibayi","accoll"
"Nibẹ","accolle"
"nibi","accolled"
"Nibi","accollee"
"nibikibi","Accomac"
"nife","accombination"
"nigba","accommodable"
"nigbagbogbo","accommodableness"
"nigbakanna","accommodate"
"nigbakugba","accommodated"
"nigbamii","accommodately"
"nigbamiran","accommodateness"
"Nigbawo","accommodates"
"nija","accommodating"
"nik","accommodatingly"
"nikan","accommodatingness"
"nìkan","accommodation"
"nikẹhin","accommodational"
"nilo","accommodationist"
"nilokulo","accommodations"
"nini","accommodative"
"ninu","accommodatively"
"nipa","accommodativeness"
"nipari","accommodator"
"nipasẹ","accommodators"
"nipataki","accomodate"
"nipọn","accompanable"
"nireti","accompany"
"nitootọ","accompanied"
"nitori","accompanier"
"nitorina","accompanies"
"Nitorina","accompanying"
"nitosi","accompanyist"
"nitõtọ","accompaniment"
"niwaju","accompanimental"
"niwon","accompaniments"
"niyelori","accompaniment's"
"nja","accompanist"
"nkan","accompanists"
"nkankan","accompanist's"
"nkqwe","accomplement"
"nla","accompletive"
"nlo","accompli"
"nmu","accomplice"
"nọmba","accomplices"
"nominate","accompliceship"
"noômba","accomplicity"
"nọọsi","accomplis"
"npo","accomplish"
"nrin","accomplishable"
"nronu","accomplished"
"nšišẹ","accomplisher"
"nṣiṣẹ","accomplishers"
"nù","accomplishes"
"nut","accomplishing"
"nwon.Mirza","accomplishment"
"nya","accomplishments"
"nyara","accomplishment's"
"nyoju","accomplisht"
"o","accompt"
"Oba","accord"
"ọba","accordable"
"obe","accordance"
"ọbẹ","accordances"
"obi","accordancy"
"obinrin","accordant"
"ọbọ","accordantly"
"oburewa","accordatura"
"odan","accordaturas"
"odaran","accordature"
"odd","accorded"
"ode","accorder"
"-ode","accorders"
"ọdẹdẹ","according"
"odi","accordingly"
"odidi","accordion"
"odiwọn","accordionist"
"odo","accordionists"
"ododo","accordions"
"ododun","accordion's"
"ọdọmọkunrin","accords"
"odun","accorporate"
"ọdunkun","accorporation"
"ofe","accost"
"ofeefee","accostable"
"ọfiisi","accosted"
"ofin","accosting"
"ọfin","accosts"
"ofiri","accouche"
"ofo","accouchement"
"òfo","accouchements"
"ofofo","accoucheur"
"ọfun","accoucheurs"
"ofurufu","accoucheuse"
"oga","accoucheuses"
"Oga","accounsel"
"ọgagun","account"
"ọganjọ","accountability"
"ogba","accountabilities"
"ọgba","accountable"
"ogbin","accountableness"
"ogbon","accountably"
"ọgbọn","accountancy"
"ogede","accountancies"
"ogo","accountant"
"ogoji","accountants"
"ogorun","accountant's"
"ọgọrun","accountantship"
"ogun","accounted"
"ogún","accounter"
"oguna","accounters"
"ogunlọgọ","accounting"
"oh","accountings"
"ohn","accountment"
"ohun","accountrement"
"ohunelo","accounts"
"Ohunka","accouple"
"ohunkohun","accouplement"
"oja","accourage"
"ọja","accourt"
"oje","accouter"
"ojiji","accoutered"
"ojo","accoutering"
"ojò","accouterment"
"ọjọ","accouterments"
"Ojobo","accouters"
"ojogbon","accoutre"
"ọjọgbọn","accoutred"
"ojoojumo","accoutrement"
"oju","accoutrements"
"ojuami","accoutres"
"ojuirin","accoutring"
"oju-iwe","Accoville"
"ojula","ACCRA"
"ojulumo","accrease"
"ojurere","accredit"
"ojúsàájú","accreditable"
"ojuse","accreditate"
"ojúṣe","accreditation"
"ojutu","accreditations"
"ok","accredited"
"ọkà","accreditee"
"okan","accrediting"
"ọkan","accreditment"
"ọkàn","accredits"
"-ọkàn","accrementitial"
"okanjuwa","accrementition"
"oke","accresce"
"òke","accrescence"
"òkè","accrescendi"
"okeere","accrescendo"
"okeerẹ","accrescent"
"òkìkí","accretal"
"oko","accrete"
"ọkọ","accreted"
"Okoofurufu","accretes"
"ọkọọkan","accreting"
"òkú","accretion"
"okun","accretionary"
"okùn","accretions"
"okunfa","accretion's"
"òkunkun","accretive"
"okunrin","accriminate"
"okuta","Accrington"
"ọla","accroach"
"ọlá","accroached"
"ọlaju","accroaching"
"ole","accroachment"
"olè","accroides"
"ọlẹ","accruable"
"olifi","accrual"
"olimpiiki","accruals"
"ọlọ","accrue"
"olobo","accrued"
"olododo","accruement"
"olofo","accruer"
"Ologba","accrues"
"ologbo","accruing"
"ọlọgbọn","ACCS"
"ologun","ACCT"
"Ologun","acct."
"ọlọjẹ","accts"
"olokiki","accubation"
"ololufe","accubita"
"Ololufe","accubitum"
"ololufẹ","accubitus"
"olominira","accueil"
"olóòótọ́","accultural"
"olootu","acculturate"
"olopa","acculturated"
"olori","acculturates"
"olorin","acculturating"
"olórin","acculturation"
"oloro","acculturational"
"ọlọrọ","acculturationist"
"olorun","acculturative"
"ọlọrun","acculturize"
"oloselu","acculturized"
"ọlọtẹ","acculturizing"
"oloye","accum"
"olu","accumb"
"olubasọrọ","accumbency"
"olubere","accumbent"
"olubẹwo","accumber"
"olubori","accumulable"
"oludahun","accumulate"
"oludamoran","accumulated"
"Oludamoran","accumulates"
"oludari","accumulating"
"oludasile","accumulation"
"oludibo","accumulations"
"oludije","accumulativ"
"oludokoowo","accumulative"
"olufaragba","accumulatively"
"olufẹ","accumulativeness"
"olugba","accumulator"
"olugbaisese","accumulators"
"olugbe","accumulator's"
"olugbeja","accupy"
"olugbeowosile","accur"
"olugbo","accuracy"
"olujejo","accuracies"
"olùkànsí","accurate"
"olukawe","accurately"
"oluko","accurateness"
"Oluko","accuratenesses"
"olukọ","accurre"
"olukoni","accurse"
"olukọni","accursed"
"olùkópa","accursedly"
"olukuluku","accursedness"
"olumulo","accursing"
"olupe","accurst"
"olupese","accurtation"
"olupin","accus"
"oluranlowo","accusable"
"oluranlọwọ","accusably"
"olùrànlówó","accusal"
"olurannileti","accusals"
"olusare","accusant"
"oluṣewadii","accusants"
"olusin","accusation"
"oluso","accusations"
"olutẹtisi","accusation's"
"Olutọju","accusatival"
"olutojueni","accusative"
"oluwa","accusative-dative"
"Oluwoye","accusatively"
"oluyanju","accusativeness"
"oluyaworan","accusatives"
"omi","accusator"
"ominira","accusatory"
"omiran","accusatorial"
"omo","accusatorially"
"ọmọ","accusatrix"
"Ọmọ","accusatrixes"
"ọmọbinrin","accuse"
"omobirin","accused"
"omode","accuser"
"ọmọkunrin","accusers"
"Omokunrinmalu","accuses"
"omolankidi","accusing"
"ọmọlẹyìn","accusingly"
"omoluabi","accusive"
"omowe","accusor"
"òmùgọ̀","accustom"
"ona","accustomation"
"ọna","accustomed"
"ondè","accustomedly"
"oni-","accustomedness"
"onibaje","accustoming"
"onibara","accustomize"
"onidajọ","accustomized"
"oniduro","accustomizing"
"onifioroweoro","accustoms"
"onigbagbo","Accutron"
"onigbowo","ACD"
"onigi","ACDA"
"Onija","AC-DC"
"onijagidijagan","ACE"
"onijo","acea"
"onilàkaye","aceacenaphthene"
"onile","aceae"
"ONIlU","acean"
"onimọ-ọrọ-ọrọ","aceanthrene"
"oni-nọmba","aceanthrenequinone"
"onínọmbà","acecaffin"
"oninurere","acecaffine"
"onipin","aceconitic"
"Onírẹlẹ","aced"
"oniriajo","acedy"
"onirohin","acedia"
"oniroyin","acediamin"
"oniru","acediamine"
"oniruuru","acedias"
"Oniruuru","acediast"
"onise","ace-high"
"onišẹ","Acey"
"onisowo","acey-deucy"
"oniṣòwo","aceite"
"onisuga","aceituna"
"onitẹsiwaju","Aceldama"
"oniwadi","aceldamas"
"oniwosan","acellular"
"oniyi","Acemetae"
"oniyipada","Acemetic"
"onje","acemila"
"onkowe","acenaphthene"
"onkqwe","acenaphthenyl"
"online","acenaphthylene"
"ontẹ","acenesthesia"
"oogun","acensuada"
"oògùn","acensuador"
"òògùn","acentric"
"ooh","acentrous"
"oojo","aceology"
"òòlù","aceologic"
"oore","aceous"
"oore-ọfẹ","acephal"
"ooru","Acephala"
"oorun","acephalan"
"ooto","Acephali"
"ọpá","acephalia"
"ọpẹ","Acephalina"
"opera","acephaline"
"opin","acephalism"
"opo","acephalist"
"ọpọ","Acephalite"
"opoiye","acephalocyst"
"opolo","acephalous"
"ọpọlọ","acephalus"
"opolopo","acepots"
"opoplopo","acequia"
"opopona","acequiador"
"oran","acequias"
"ọranyan","Acer"
"ore","Aceraceae"
"ọrẹ","aceraceous"
"ọrẹbinrin","Acerae"
"ọrẹkunrin","Acerata"
"Organic","acerate"
"ori","acerated"
"orififo","Acerates"
"Oríkĕ","acerathere"
"oríkì","Aceratherium"
"orileede","aceratosis"
"orilẹ-ede","acerb"
"Orilẹ-ede","Acerbas"
"orílẹ̀-èdè","acerbate"
"orin","acerbated"
"orire","acerbates"
"oriṣi","acerbating"
"orisirisi","acerber"
"orisun","acerbest"
"orita","acerbic"
"oriyin","acerbically"
"oro","acerbity"
"ọrọ","acerbityacerose"
"orogun","acerbities"
"oroinuokan","acerbitude"
"ọrọìwòye","acerbly"
"orokun","acerbophobia"
"oruka","acerdol"
"oruko","aceric"
"orule","acerin"
"orun","acerli"
"ọrun","acerola"
"orundun","acerolas"
"ọsan","acerose"
"ose","acerous"
"ọṣẹ","acerra"
"oselu","acers"
"osere","acertannin"
"oṣere","acerval"
"osẹ-sẹsẹ","acervate"
"osi","acervately"
"ọsin","acervatim"
"osise","acervation"
"Oṣiṣẹ","acervative"
"oṣooṣu","acervose"
"osu","acervuli"
"oṣupa","acervuline"
"oṣuwọn","acervulus"
"ọtá","aces"
"otaja","ace's"
"oti","acescence"
"otito","acescency"
"otitọ","acescent"
"Otitọ","acescents"
"oto","aceship"
"otooto","Acesius"
"ọtun","acesodyne"
"otutu","acesodynous"
"oun","Acessamenus"
"òun","Acestes"
"ounje","acestoma"
"ounjẹ","acet-"
"Outlook","aceta"
"owo","acetable"
"ọwọ","acetabula"
"Owo-ipe","acetabular"
"ọwọn","Acetabularia"
"owo-ori","acetabuliferous"
"owu","acetabuliform"
"owurọ","acetabulous"
"oya","acetabulum"
"ọya","acetabulums"
"oye","acetacetic"
"Oye","acetal"
"oyi","acetaldehydase"
"oyimbo","acetaldehyde"
"oyin","acetaldehydrase"
"oyinbo","acetaldol"
"oyun","acetalization"
"pa","acetalize"
"paapa","acetals"
"paati","acetamid"
"Pace","acetamide"
"package","acetamidin"
"pad","acetamidine"
"pada","acetamido"
"padanu","acetamids"
"pade","acetaminol"
"paii","Acetaminophen"
"paipu","acetanilid"
"pajawiri","acetanilide"
"pakà","acetanion"
"pakute","acetaniside"
"pal","acetanisidide"
"pamọ","acetanisidine"
"pan","acetannin"
"panilara","acetary"
"panini","acetarious"
"pant","acetars"
"papa","acetarsone"
"papọ","acetate"
"paramita","acetated"
"parapo","acetates"
"pari","acetation"
"pariwo","acetazolamide"
"parowa","acetbromamide"
"party","acetenyl"
"paṣipaarọ","Acetes"
"pataki","acethydrazide"
"patapata","acetiam"
"patiku","acetic"
"pato","acetify"
"pc","acetification"
"pe","acetified"
"pè","acetifier"
"pẹ","acetifies"
"Peeli","acetifying"
"pegan","acetyl"
"pelu","acetylacetonates"
