"Kinyarwanda","English"
"ikiganza","Absi"
"Ikigaragazwa","absinth"
"ikigega","absinthe"
"ikigeragezo","absinthes"
"ikigereranyo","absinthial"
"ikigezweho","absinthian"
"ikigo","absinthiate"
"ikigoryi","absinthiated"
"Ikigswe","absinthiating"
"ikiguzi","absinthic"
"Ikigwari","absinthiin"
"ikikije","absinthin"
"Ikilalo","absinthine"
"ikimasa","absinthism"
"ikimenyetso","absinthismic"
"ikimera","absinthium"
"Ikimuga","absinthol"
"ikinamico","absinthole"
"ikindi","absinths"
"Ikindi","Absyrtus"
"ikintu","absis"
"Ikintu","absist"
"ikinyamakuru","absistos"
"Ikinyoma","absit"
"ikinyuranyo","absmho"
"ikipe","absohm"
"Ikirahure","absoil"
"ikirahuri","absolent"
"Ikiranga","Absolute"
"ikirangirire","absolutely"
"ikirango","absoluteness"
"Ikirango","absoluter"
"ikirego","absolutes"
"ikiremwa","absolutest"
"ikirenga","absolution"
"ikirenge","absolutions"
"ikirere","absolutism"
"ikirimi","absolutist"
"ikiruhuko","absolutista"
"ikirundo","absolutistic"
"Ikituzo","absolutistically"
"Ikituzwa","absolutists"
"Ikiyega","absolutive"
"ikizamini","absolutization"
"Ikjitero","absolutize"
"ikoranabuhanga","absolutory"
"ikoraniro","absolvable"
"Ikoresha","absolvatory"
"ikosa","absolve"
"Ikulu","absolved"
"Ikurikiranyanyuguti","absolvent"
"ikuzimu","absolver"
"ikuzo","absolvers"
"Imana","absolves"
"Imandusho","absolving"
"imari","absolvitor"
"imashini","absolvitory"
"imbabazi","absonant"
"imbaga","absonous"
"Imbala","absorb"
"imbaraga","absorbability"
"Imbata","absorbable"
"Imbeba","absorbance"
"imbeho","absorbancy"
"imbere","absorbant"
"Imbere","absorbed"
"imbonerahamwe","absorbedly"
"imbunda","absorbedness"
"imburi","absorbefacient"
"imbuto","absorbency"
"Imbuto","absorbencies"
"imbwa","absorbent"
"Imeli","absorbents"
"imfashanyo","absorber"
"imfungwa","absorbers"
"imibabaro","absorbing"
"imibare","absorbingly"
"imibereho","absorbition"
"imiburanishirize","absorbs"
"imicungire","absorbtion"
"Imigabanyirize","absorpt"
"imigenzo","absorptance"
"imihangayiko","absorptiometer"
"imihindagurikire","absorptiometric"
"imijyi","absorption"
"imikorere","absorptional"
"Imikoreshereze","absorptions"
"imimerere","absorption's"
"Imirebere","absorptive"
"imirwano","absorptively"
"imisoro","absorptiveness"
"imitako","absorptivity"
"imiterere","absquatulate"
"Imiterere","absquatulation"
"imiti","abstain"
"imitsi","abstained"
"Imitunganyirize","abstainer"
"imiturire","abstainers"
"Imivugire","abstaining"
"imodoka","abstainment"
"impagararo","abstains"
"impaka","abstemious"
"impamvu","abstemiously"
"impamyabumenyi","abstemiousness"
"impande","abstention"
"Impandutso","abstentionism"
"impano","abstentionist"
"impanuka","abstentions"
"impapuro","abstentious"
"impari","absterge"
"impengamiro","absterged"
"impeta","abstergent"
"impfu","absterges"
"impimbano","absterging"
"impinduka","absterse"
"impinduramatwara","abstersion"
"impinga","abstersive"
"impression","abstersiveness"
"impuguke","abstertion"
"impuhwe","abstinence"
"impumuro","abstinences"
"impumyi","abstinency"
"impungenge","abstinent"
"impunzi","abstinential"
"Impuzu","abstinently"
"imurikagurisha","abstort"
"Imushyo","abstr"
"imvo","abstract"
"Imvugiro","abstractable"
"imvugo","abstracted"
"imvune","abstractedly"
"imvura","abstractedness"
"imwe","abstracter"
"imyaka","abstracters"
"imyambaro","abstractest"
"imyanda","abstracting"
"imyelayo","abstraction"
"imyenda","abstractional"
"imyidagaduro","abstractionism"
"imyifatire","abstractionist"
"imyigaragambyo","abstractionists"
"imyitozo","abstractions"
"Imyitozo","abstraction's"
"imyitwarire","abstractitious"
"imyumvire","abstractive"
"in","abstractively"
"inama","abstractiveness"
"incamake","abstractly"
"inch","abstractness"
"incuti","abstractnesses"
"inda","abstractor"
"indahemuka","abstractors"
"indangagaciro","abstractor's"
"Indango","abstracts"
"indege","abstrahent"
"Indege","abstrict"
"indero","abstricted"
"indimu","abstricting"
"indirimbo","abstriction"
"indishyi","abstricts"
"Indobo","abstrude"
"indogobe","abstruse"
"indorerezi","abstrusely"
"Indulu","abstruseness"
"induru","abstrusenesses"
"Indwaia","abstruser"
"indwara","abstrusest"
"Indwara","abstrusion"
"indyo","abstrusity"
"ine","abstrusities"
"ineza","absume"
"info","absumption"
"ingabo","absurd"
"ingamba","absurder"
"ingana","absurdest"
"inganda","absurdism"
"ingando","absurdist"
"ingano","absurdity"
"Ingano","absurdities"
"ingaragu","absurdity's"
"ingaruka","absurdly"
"Ingaruka","absurdness"
"ingendo","absurds"
"ingengabihe","absurdum"
"ingengabitekerezo","absvolt"
"ingenzi","abt"
"ingeso","abterminal"
"ingingo","abthain"
"ingirakamaro","abthainry"
"ingofero","abthainrie"
"Ingohe","abthanage"
"ingoma","abtruse"
"ingorane","Abu"
"Ingorane","abubble"
"Ingufiya-Ifipo","Abu-Bekr"
"ingufu","Abucay"
"ingumi","abucco"
"Inguni","abuilding"
"ingurube","Abukir"
"inguzanyo","abuleia"
"ingwate","Abulfeda"
"Injana","abulia"
"injangwe","abulias"
"Injinyo","abulic"
"injira","abulyeit"
"inka","abulomania"
"inkambi","abumbral"
"Inkende","abumbrellar"
"Inkingi","Abuna"
"inkoko","abundance"
"Inkokoto","abundances"
"inkombe","abundancy"
"inkomoko","abundant"
"inkoni","Abundantia"
"inkono","abundantly"
"inkoramutima","abune"
"inkorora","abura"
"inkota","aburabozu"
"Inkumi","aburagiri"
"inkunga","aburban"
"Inkunzi","Abury"
"Inkura","aburst"
"Inkurikizi","aburton"
"inkuru","abusable"
"inkwi","abusage"
"ino","abuse"
"Insanganyamatsiko","abused"
"inshingano","abusedly"
"inshuti","abusee"
"insobanuro","abuseful"
"intama","abusefully"
"intambara","abusefulness"
"intambwe","abuser"
"intanga","abusers"
"intangiriro","abuses"
"intare","abush"
"intebe","abusing"
"Intebe","abusion"
"integanyanyigisho","abusious"
"intege","abusive"
"intego","abusively"
"Intego","abusiveness"
"intera","abusivenesses"
"Intera","abut"
"internet","Abuta"
"interuro","Abutilon"
"intervention","abutilons"
"intiti","abutment"
"intore","abutments"
"intsinzi","abuts"
"intugu","abuttal"
"intwari","abuttals"
"intwaro","abutted"
"Intwaro","abutter"
"Inyaidikomvugo","abutters"
"inyama","abutter's"
"Inyama","abutting"
"inyamanswa","abuzz"
"inyandiko","abv"
"Inyandikomvugo","abvolt"
"inyangamugayo","abvolts"
"inyanja","abwab"
"inyanya","abwatt"
"inyenyeri","abwatts"
"inyeshyamba","ac"
"Inyibutsa","ac-"
"inyigisho","a-c"
"inyokomuntu","AC/DC"
"Inyondo","ACAA"
"inyoni","Acacallis"
"inyubako","acacatechin"
"inyuma","acacatechol"
"inyungu","Acacea"
"Inyungu","Acaceae"
"inzaduka","acacetin"
"inzara","Acacia"
"inzego","Acacian"
"inzererezi","acacias"
"inzibacyuho","acaciin"
"inzira","acacin"
"Inzobe","acacine"
"inzoga","acad"
"Inzogera","academe"
"inzoka","academes"
"inzovu","Academy"
"inzu","academia"
"inzuki","academial"
"ipad","academian"
"iperereza","academias"
"ipeti","Academic"
"Ipfu","academical"
"ipfunwe","academically"
"iphone","academicals"
"ipiganwa","academician"
"ipine","academicians"
"irahari","academicianship"
"Irak","academicism"
"Iran","academics"
"irangwa","academie"
"irashobora","academies"
"irebero","academy's"
"irembo","academise"
"ireme","academised"
"iremereye","academising"
"iremwa","academism"
"irengero","academist"
"iriho","academite"
"irimo","academization"
"irish","academize"
"iruhande","academized"
"irungu","academizing"
"irushanwa","Academus"
"Isaaha","Acadia"
"isabukuru","acadialite"
"isabune","Acadian"
"isaha","Acadie"
"Isahana","Acaena"
"isahani","acajou"
"isano","acajous"
"isasu","acal"
"isengesho","acalculia"
"iseri","acale"
"isesengura","acaleph"
"isezerano","Acalepha"
"Ishamba","Acalephae"
"ishami","acalephan"
"ishati","acalephe"
"ishema","acalephes"
"ishingiro","acalephoid"
"ishize","acalephs"
"ishoramari","Acalia"
"ishuri","acalycal"
"ishusho","acalycine"
"Ishusho","acalycinous"
"ishyaka","acalyculate"
"ishyamba","Acalypha"
"ishyari","Acalypterae"
"Ishyika","Acalyptrata"
"Ishyimwe","Acalyptratae"
"Ishyira","acalyptrate"
"ishyirahamwe","Acamar"
"ishyirwaho","Acamas"
"isi","Acampo"
"Isilamu","acampsia"
"islamic","acana"
"isoko","acanaceous"
"Isoko","acanonical"
"isomero","acanth"
"isomo","acanth-"
"Isomoryumushiga","acantha"
"isoni","Acanthaceae"
"Isoupu","acanthaceous"
"Israel","acanthad"
"isuku","Acantharia"
"isura","acanthi"
"itabi","Acanthia"
"itafari","acanthial"
"Itagi","acanthin"
"italiyani","acanthine"
"itama","acanthion"
"itandukaniro","acanthite"
"itandukanye","acantho-"
"itangaje","acanthocarpous"
"itangazamakuru","Acanthocephala"
"itangazo","acanthocephalan"
"Itangira","Acanthocephali"
"itanu","acanthocephalous"
"itapi","Acanthocereus"
"itara","acanthocladous"
"itariki","Acanthodea"
"iteganya","acanthodean"
"Itegekontarengwa","Acanthodei"
"itegure","Acanthodes"
"iteka","acanthodian"
"iterabwoba","Acanthodidae"
"iterambere","Acanthodii"
"Iterambere","Acanthodini"
"Itice","acanthoid"
"itike","Acantholimon"
"itiyo","acantholysis"
"Itorero","acanthology"
"itsinda","acanthological"
"ituma","acanthoma"
"itumanaho","acanthomas"
"Itumanaho","Acanthomeridae"
"ityaye","acanthon"
"ivangura","Acanthopanax"
"ivi","Acanthophis"
"ivu","acanthophorous"
"Ivuliro","acanthopod"
"iye","acanthopodous"
"iyi","acanthopomatous"
"Iyinjiza","acanthopore"
"iza","acanthopteran"
"izina","Acanthopteri"
"Izoga","acanthopterygian"
"izuba","Acanthopterygii"
"izuru","acanthopterous"
"Japanese","acanthoses"
"Jazz","acanthosis"
"Jbivanze","acanthotic"
"Jbulokotsi","acanthous"
"Jbyondo","Acanthuridae"
"Jbyuga","Acanthurus"
"Jcizubazuba","acanthus"
"Jcupa","acanthuses"
"jeans","acanthuthi"
"jewish","acapnia"
"Jgi","acapnial"
"Jgicucu","acapnias"
"Jgihsyimbo","acappella"
"Jgipupe","acapsular"
"Jgitekyelezo","acapu"
"Jgitsino","Acapulco"
"Jhuma","acara"
"Jkilele","Acarapis"
"Jkilundo","acarari"
"Jkinini","acardia"
"Jkitanepa","acardiac"
"Jkitunuikana","acardite"
"Jmbabula","acari"
"Jmbele","acarian"
"Jmboga","acariasis"
"Jmpanga","acariatre"
"Jnkomo","acaricidal"
"Jnkwedo","acaricide"
"Jrangi","acarid"
"Jsukali","Acarida"
"Jtungane","acaridae"
"ka","acaridan"
"kabati","acaridans"
"kabiri","Acaridea"
"kabu","acaridean"
"Kabuhariwe","acaridomatia"
"Kadahumeka","acaridomatium"
"kadasanzwe","acarids"
"kaga","acariform"
"kagari","Acarina"
"kagoma","acarine"
"kahise","acarines"
"kalendari","acarinosis"
"Kamena","Acarnan"
"kamere","acarocecidia"
"kaminuza","acarocecidium"
"kamyoneti","acarodermatitis"
"Kanama","acaroid"
"kanda","acarol"
"Kanda","acarology"
"kane","acarologist"
"kanseri","acarophilous"
"kanya","acarophobia"
"kanzu","acarotoxic"
"kapiteni","acarpellous"
"karavate","acarpelous"
"kare","acarpous"
"karemano","Acarus"
"karere","ACAS"
"karindwi","acast"
"kavamahanga","Acastus"
"kavukire","acatalectic"
"kazi","acatalepsy"
"kenshi","acatalepsia"
"kera","acataleptic"
"keretse","acatallactic"
"kibandanya","acatamathesia"
"kibaya","acataphasia"
"Kibengerana","acataposis"
"kibi","acatastasia"
"kibibi","acatastatic"
"kibuga","acate"
"kid","acategorical"
"kidasanzwe","acater"
"Kidasanzwe","acatery"
"kidushimisha","acates"
"Kigabanwa","acatharsy"
"Kigaragara","acatharsia"
"kigaragaza","acatholic"
"kigo","acaudal"
"kijyambere","acaudate"
"kilatini","acaudelescent"
"k'impwemu","acaulescence"
"kimwe","acaulescent"
"kinaka","acauline"
"Kinda","acaulose"
"kinini","acaulous"
"Kinini","ACAWS"
"kinyejana","ACB"
"Kirambuye","ACBL"
"kiraro","ACC"
"Kirebera","acc."
"kirekire","acca"
"kiremwa","accable"
"kirimbuzi","Accad"
"Kirimukuba","accademia"
"kirumara","Accadian"
"kirwa","Accalia"
"Kiryose","acce"
"kit","accede"
"kitaboneka","acceded"
"Kitaboneka","accedence"
"Kitazwi","acceder"
"Kivugwaho","acceders"
"kiyoka","accedes"
"kizwi","acceding"
"komanda","accel"
"komera","accel."
"komeza","accelerable"
"Komiseri","accelerando"
"Komisiyo","accelerant"
"komite","accelerate"
"kongera","accelerated"
"kongere","acceleratedly"
"konji","accelerates"
"konte","accelerating"
"kopi","acceleratingly"
"kora","acceleration"
"korean","accelerations"
"Koresha","accelerative"
"koridoro","accelerator"
"korohereza","acceleratory"
"kubabarira","accelerators"
"kubabaza","accelerograph"
"kubabazwa","accelerometer"
"kubagwa","accelerometers"
"kubaha","accelerometer's"
"Kubahiliza","accend"
"kubahiriza","accendibility"
"kubaho","accendible"
"Kubaho","accensed"
"kubaka","accension"
"kubara","accensor"
"Kubara","accent"
"Kubaza","accented"
"Kubazwa","accenting"
"Kubengerana","accentless"
"kubera","accentor"
"kubesha","accentors"
"kubeshya","accents"
"kubikuza","accentuable"
"Kubira","accentual"
"kubitsa","accentuality"
"kubogama","accentually"
"kubona","accentuate"
"Kubona","accentuated"
"kuboneka","accentuates"
"Kuboneka","accentuating"
"kuboneza","accentuation"
"Kubula","accentuations"
"kubungabunga","accentuator"
"kubura","accentus"
"kuburira","accept"
"Kuburosa","acceptability"
"k'ubushyuhe","acceptabilities"
"kubuza","acceptable"
"Kubuza","acceptableness"
"kubwamahirwe","acceptably"
"kubwibyo","acceptance"
"kubyara","acceptances"
"kubyaza","acceptance's"
"kubyina","acceptancy"
"kugabana","acceptancies"
"kugabanuka","acceptant"
"kugabanya","acceptation"
"Kugabanya","acceptavit"
"kugaburira","accepted"
"kugambana","acceptedly"
"kuganira","acceptee"
"kuganza","acceptees"
"Kugaragara","accepter"
"kugaragaza","accepters"
"Kugaragaza","acceptilate"
"kugarura","acceptilated"
"Kugema","acceptilating"
"kugena","acceptilation"
"kugenda","accepting"
"kugendera","acceptingly"
"kugenzura","acceptingness"
"Kugenzura","acception"
"Kugenzwa","acceptive"
"kugera","acceptor"
"kugerageza","acceptors"
"kugereranya","acceptor's"
"Kugereranya","acceptress"
"kugeza","accepts"
"kugira","accerse"
"Kugira","accersition"
"kugonanwa","accersitor"
"kugororoka","access"
"kugura","accessability"
"kugurisha","accessable"
"kuguruka","accessary"
"kugwa","accessaries"
"kujijura","accessarily"
"Kujomba","accessariness"
"kujurira","accessaryship"
"kujya","accessed"
"Kulanbura","accesses"
"Kulangaza","accessibility"
"Kulinda","accessibilities"
"Kulishima","accessible"
"Kulota","accessibleness"
"Kulwanya","accessibly"
"Kumanika","accessing"
"kumarana","accession"
"kumaze","accessional"
"kumena","accessioned"
"kumenagura","accessioner"
"kumeneka","accessioning"
"kumenya","accessions"
"kumenyesha","accession's"
"Kumenyesha","accessit"
"Kumesa","accessive"
"kumi","accessively"
"Kumjonyomba","accessless"
"k'umubiri","accessor"
"kumugaragaro","accessory"
"kumurongo","accessorial"
"kumva","accessories"
"kumvikana","accessorii"
"kumvikanisha","accessorily"
"kumwe","accessoriness"
"kumwenyura","accessory's"
"kumwunamira","accessorius"
"Kunama","accessoriusorii"
"Kunaniza","accessorize"
"Kunanuka","accessorized"
"kunegura","accessorizing"
"Kuneka","accessors"
"kunenga","accessor's"
"Kunezerwa","acciaccatura"
"kunganira","acciaccaturas"
"kunoza","acciaccature"
"Kunvikana","accidence"
"kunyaga","accidency"
"kunyerera","accidencies"
"Kunyerera","accident"
"Kunyurana","accidental"
"kunyurwa","accidentalism"
"kunywa","accidentalist"
"kuragwa","accidentality"
"Kuramo","accidentally"
"kuranga","accidentalness"
"kurangiza","accidentals"
"Kurangiza","accidentary"
"kurasa","accidentarily"
"Kurasa","accidented"
"kure","accidential"
"Kureba","accidentiality"
"kurega","accidently"
"kureka","accident-prone"
"kurekurwa","accidents"
"kurema","accidia"
"Kuremera","accidias"
"kurenga","accidie"
"kurengana","accidies"
"kurengera","accinge"
"Kurenza","accinged"
"kuri","accinging"
"Kuri","accipenser"
"Kuriburijana","accipient"
"kurikira","Accipiter"
"kurikirana","accipitral"
"kurimbuka","accipitrary"
"kurimbura","Accipitres"
"kurinda","accipitrine"
"Kuringaniza","accipter"
"kuriramo","accise"
"kuroba","accismus"
"Kurogoya","accite"
"kurongora","Accius"
"Kurongora","acclaim"
"kurota","acclaimable"
"kurubu","acclaimed"
"kuruhuka","acclaimer"
"kurura","acclaimers"
"kuruta","acclaiming"
"kurwana","acclaims"
"kurwanya","acclamation"
"kurya","acclamations"
"Kusenguruka","acclamator"
"Kutabaha","acclamatory"
"Kutemeza","acclimatable"
"kuva","acclimatation"
"Kuva","acclimate"
"Kuvana","acclimated"
"kuvanga","acclimatement"
"Kuvanga","acclimates"
"kuvugana","acclimating"
"Kuvugira","acclimation"
"kuvugurura","acclimations"
"kuvumbura","acclimatisable"
"Kuvumbura","acclimatisation"
"Kuvunduka","acclimatise"
"kuvura","acclimatised"
"Kuyenga","acclimatiser"
"kuyobora","acclimatising"
"Kuyobora","acclimatizable"
"kuza","acclimatization"
"kuzamuka","acclimatizations"
"Kuzamula","acclimatize"
"kuzamura","acclimatized"
"kuzana","acclimatizer"
"Kuzenguluka","acclimatizes"
"kuzigama","acclimatizing"
"kuzimya","acclimature"
"Kuzitira","acclinal"
"kwagura","acclinate"
"kwakira","acclivity"
"kwamagana","acclivities"
"kwamamaza","acclivitous"
"kwambara","acclivous"
"kwandika","accloy"
"Kwandika","accoast"
"Kwandula","accoy"
"kwandura","accoyed"
"Kwanfiza","accoying"
"kwanga","accoil"
"Kwanga","Accokeek"
"Kwegama","accolade"
"kwegura","accoladed"
"kwemera","accolades"
"Kwemera","accolated"
"kwemerwa","accolent"
"Kwemerwa","accoll"
"kwemeza","accolle"
"Kwemeza","accolled"
"kwerekana","accollee"
"Kwerekana","Accomac"
"kwerekeza","accombination"
"kwezi","accommodable"
"kwiba","accommodableness"
"kwibabaza","accommodate"
"kwibanda","accommodated"
"Kwibanda","accommodately"
"kwibaza","accommodateness"
"Kwibira","accommodates"
"Kwibirindura","accommodating"
"kwibuka","accommodatingly"
"Kwibuka","accommodatingness"
"kwibutsa","accommodation"
"Kwibwa","accommodational"
"kwibwira","accommodationist"
"kwibwiriza","accommodations"
"kwica","accommodative"
"kwicira","accommodatively"
"kwicuza","accommodativeness"
"kwifashisha","accommodator"
"kwifuza","accommodators"
"kwiga","accomodate"
"Kwigenga","accompanable"
"Kwigeragambya","accompany"
"kwigisha","accompanied"
"kwigunga","accompanier"
"Kwigunga","accompanies"
"kwihangana","accompanying"
"kwihanganira","accompanyist"
"Kwiharira","accompaniment"
"kwiheba","accompanimental"
"kwihishahisha","accompaniments"
"Kwihuta","accompaniment's"
"Kwihuza","accompanist"
"Kwijujuta","accompanists"
"Kwikoma","accompanist's"
"Kwikoresha","accomplement"
"Kwimeva","accompletive"
"kwimuka","accompli"
"Kwimuka","accomplice"
"kwimura","accomplices"
"Kwinfiza","accompliceship"
"kwinginga","accomplicity"
"kwinjira","accomplis"
"Kwinjira","accomplish"
"kwinjiza","accomplishable"
"kwipimisha","accomplished"
"kwiregura","accomplisher"
"kwirengagiza","accomplishers"
"kwirinda","accomplishes"
"kwiringirwa","accomplishing"
"kwiruka","accomplishment"
"Kwirukana","accomplishments"
"Kwirukane","accomplishment's"
"kwirwanaho","accomplisht"
"Kwishima","accompt"
"kwishimira","accord"
"kwishimisha","accordable"
"kwishingikiriza","accordance"
"kwishyura","accordances"
"kw'isi","accordancy"
"kwisuzuma","accordant"
"Kwita","accordantly"
"kwitaba","accordatura"
"Kwitanga","accordaturas"
"kwitegura","accordature"
"kwitonda","accorded"
"kwitondera","accorder"
"Kwitunganya","accorders"
"kwitwara","according"
"kwivanga","accordingly"
"Kwivanga","accordion"
"kwivuza","accordionist"
"kwiyamamaza","accordionists"
"kwiyandikisha","accordions"
"kwiyemeza","accordion's"
"Kwiyemeza","accords"
"kwiyiriza","accorporate"
"kwiyitirira","accorporation"
"Kwiyoberanya","accost"
"kwiyongera","accostable"
"Kwiyoroshya","accosted"
"kwiyuhagira","accosting"
"Kwiyuhegira","accosts"
"Kwiyumvishako","accouche"
"Kwizera","accouchement"
"kwizerana","accouchements"
"kwizerwa","accoucheur"
"kwizihiza","accoucheurs"
"Kwmamaza","accoucheuse"
"Kwoga","accoucheuses"
"Kwoheleza","accounsel"
"Kwomjela","account"
"Kwongorera","accountability"
"Kworoshya","accountabilities"
"kwubahiriza","accountable"
"lab","accountableness"
"lake","accountably"
"laser","accountancy"
"lay","accountancies"
"leta","accountant"
"lisansi","accountants"
"LOG","accountant's"
"lyrics","accountantship"
"ma'am","accounted"
"Mabikora","accounter"
"mafranga","accounters"
"magana","accounting"
"magazine","accountings"
"magic","accountment"
"mahanga","accountrement"
"mail","accounts"
"major","accouple"
"majyaruguru","accouplement"
"majyepfo","accourage"
"make","accourt"
"makumyabiri","accouter"
"Mall","accoutered"
"mama","accoutering"
"Mama","accouterment"
"manager","accouterments"
"manda","accouters"
"maneko","accoutre"
"maneko-wumugabo","accoutred"
"manekwe","accoutrement"
"manufacturing","accoutrements"
"maraso","accoutres"
"margin","accoutring"
"marijuwana","Accoville"
"marine","ACCRA"
"marushanwa","accrease"
"maso","accredit"
"Mata","accreditable"
"mate","accreditate"
"mayeri","accreditation"
"mbaraga","accreditations"
"mbere","accredited"
"mbi","accreditee"
"mbogamizi","accrediting"
"mboneragihugu","accreditment"
"mbonezamubano","accredits"
"Mbuganyuma","accrementitial"
"mbumbe","accrementition"
"Mburabuzi","accresce"
"Me","accrescence"
"Mekanike","accrescendi"
"menya","accrescendo"
"menyesha","accrescent"
"metal","accretal"
"Mexique","accrete"
"mfashanyigisho","accreted"
"mibanire","accretes"
"mikino","accreting"
"miliyari","accretion"
"miliyoni","accretionary"
"mine","accretions"
"minenerwe","accretion's"
"Minisitiri","accretive"
"Minware","accriminate"
"mira","Accrington"
"misa","accroach"
"miss","accroached"
"missile","accroaching"
"mitekerereze","accroachment"
"mitingi","accroides"
"mix","accruable"
"mm","accrual"
"mm-Hmm","accruals"
"mmm","accrue"
"mobile","accrued"
"moko","accruement"
"moteri","accruer"
"moto","accrues"
"mpaka","accruing"
"mpande","ACCS"
"mpuzabitsina","ACCT"
"mpuzamahanga","acct."
"mpuzandengo","accts"
"mu","accubation"
"Mube","accubita"
"mubi","accubitum"
"mubiri","accubitus"
"mubisanzwe","accueil"
"Mubukulicirane","accultural"
"Mubuntu","acculturate"
"mubwinshi","acculturated"
"mubwinski","acculturates"
"mubyara","acculturating"
"mubyukuri","acculturation"
"mucumba","acculturational"
"mucyo","acculturationist"
"mudasobwa","acculturative"
"mudugudu","acculturize"
"mugabane","acculturized"
"muganga","acculturizing"
"mugaragaro","accum"
"Mugaragaza","accumb"
"mugari","accumbency"
"mugayira","accumbent"
"mugenzi","accumber"
"mugihe","accumulable"
"mugitondo","accumulate"
"mugufi","accumulated"
"muhango","accumulates"
"muhezo","accumulating"
"mukanya","accumulation"
"Mukoraporogaramu","accumulations"
"mukuru","accumulativ"
"mukwiriye","accumulative"
"mulembe","accumulatively"
"Mumagambo","accumulativeness"
"mumbabarire","accumulator"
"munani","accumulators"
"munsi","accumulator's"
"muntu","accupy"
"muraho","accur"
"murakoze","accuracy"
"mureke","accuracies"
"muremure","accurate"
"muri","accurately"
"murima","accurateness"
"Muruganda","accuratenesses"
"murugo","accurre"
"muryango","accurse"
"museke","accursed"
"mushakisha","accursedly"
"mushikamye","accursedness"
"mushungurabishushanyo","accursing"
"mushya","accurst"
"muslim","accurtation"
"musore","accus"
"musoreshwa","accusable"
"musozi","accusably"
"mutamenya","accusal"
"mutanga","accusals"
"Mutarama","accusant"
"Mutashye","accusants"
"muto","accusation"
"mutungo","accusations"
"mutwe","accusation's"
"muvukana","accusatival"
"muzima","accusative"
"mva","accusative-dative"
"mvugo","accusatively"
"Mwakirizi","accusativeness"
"Mwandikisho","accusatives"
"mwandiko","accusator"
"mwanzuro","accusatory"
"mwarimu","accusatorial"
"mwashakanye","accusatorially"
"mwenda","accusatrix"
"mweranda","accusatrixes"
"mwiza","accuse"
"my","accused"
"myugariro","accuser"
"na","accusers"
"n'abakomeye","accuses"
"nabi","accusing"
"naho","accusingly"
"nama","accusive"
"n'amategeko","accusor"
"nda","accustom"
"Ndahiye","accustomation"
"nde","accustomed"
"ndege","accustomedly"
"ndetse","accustomedness"
"ndorerwamo","accustoming"
"ndumiwe","accustomize"
"net","accustomized"
"neza","accustomizing"
"ngaho","accustoms"
"ngarukamwaka","Accutron"
"ngenderwaho","ACD"
"ngenga","ACDA"
"ngengamikorere","AC-DC"
"Ngenzuramikorere","ACE"
"ngingo","acea"
"ngombwa","aceacenaphthene"
"ngoro","aceae"
"ngufu","acean"
"ngwino","aceanthrene"
"ni","aceanthrenequinone"
"niba","acecaffin"
"n'igihe","acecaffine"
"nigishwa","aceconitic"
"n'imihengeri","aced"
"nimugoroba","acedy"
"Nimugorore","acedia"
"n'imyifatire","acediamin"
"ninde","acediamine"
"nini","acedias"
"n'inyigisho","acediast"
"n'itanu","ace-high"
"n'itunganywa","Acey"
"Niwatuza","acey-deucy"
"njye","aceite"
"nka","aceituna"
"nkana","Aceldama"
"nke","aceldamas"
"nkengera","acellular"
"nkibyo","Acemetae"
"nkimenya","Acemetic"
"nkombe","acemila"
"nkomeje","acenaphthene"
"nkunda","acenaphthenyl"
"nomination","acenaphthylene"
"nominee","acenesthesia"
"non","acensuada"
"nonese","acensuador"
"nshinga","acentric"
"nshingano","acentrous"
"nshuti","aceology"
"n't","aceologic"
"nta","aceous"
"ntabara","acephal"
"ntabwo","Acephala"
"ntacyo","acephalan"
"ntaho","Acephali"
"Ntamahirwe","acephalia"
"ntangarugero","Acephalina"
"ntangiriro","acephaline"
"ntara","acephalism"
"ntaramakuru","acephalist"
"ntarengwa","Acephalite"
"ntashye","acephalocyst"
"ntebe","acephalous"
"nteko","acephalus"
"nti-","acepots"
"ntibicogore","acequia"
"ntibikwiye","acequiador"
"ntibisobanutse","acequias"
"ntibitangaje","Acer"
"Ntibitangaje","Aceraceae"
"ntimuhe","aceraceous"
"ntiyerekana","Acerae"
"n'ubuvanganzo","Acerata"
"nubwo","acerate"
"n'ubwo","acerated"
"Nukuri","Acerates"
"n'umwete","acerathere"
"Nurukwazu","Aceratherium"
"n'uruza","aceratosis"
"nyabyo","acerb"
"nyagasani","Acerbas"
"Nyakanga","acerbate"
"nyakubahwa","acerbated"
"nyakuri","acerbates"
"Nyakwigendera","acerbating"
"nyamara","acerber"
"nyamaswa","acerbest"
"nyamuke","acerbic"
"nyamukuru","acerbically"
"nyamuneka","acerbity"
"Nyamweru","acerbityacerose"
"nyanja","acerbities"
"nyene","acerbitude"
"nyigisho","acerbly"
"nyina","acerbophobia"
"nyirakuru","acerdol"
"nyirarume","aceric"
"nyirasenge","acerin"
"nyiri","acerli"
"Nyiricyubahiro","acerola"
"nyirizina","acerolas"
"nyogokuru","acerose"
"nyuma","acerous"
"nziza","acerra"
"official","acers"
"ofisiye","acertannin"
"ohereza","acerval"
"ok","acervate"
"okugiggya","acervately"
"Olempike","acervatim"
"Olympics","acervation"
"omuririmbi","acervative"
"ongeraho","acervose"
"online","acervuli"
"ooh","acervuline"
"operating","acervulus"
"orange","aces"
"Orumbuga","ace's"
"outlet","acescence"
"oya","acescency"
"PAL","acescent"
