"Kazakh","English"
"кеш","absolutistically"
"кеше","absolutists"
"кешен","absolutive"
"кешіктіру","absolutization"
"кешір","absolutize"
"кешірім","absolutory"
"кешіріңіз","absolvable"
"кәдімгі","absolvatory"
"кәмпит","absolve"
"кәсіби","absolved"
"кәсіп","absolvent"
"кәсіпкер","absolver"
"кәсіпорын","absolvers"
"киелі","absolves"
"киім","absolving"
"кит","absolvitor"
"кию","absolvitory"
"кілем","absonant"
"кілт","absonous"
"кім","absorb"
"кімдікі","absorbability"
"кінә","absorbable"
"Кінә","absorbance"
"кінәлі","absorbancy"
"кінәсіз","absorbant"
"кір","absorbed"
"кіріс","absorbedly"
"кіріспе","absorbedness"
"кірістіру","absorbefacient"
"кірпіш","absorbency"
"кіру","absorbencies"
"Кіру","absorbent"
"кітап","absorbents"
"кітапхана","absorber"
"кіші","absorbers"
"кішірейту","absorbing"
"кішкентай","absorbingly"
"классикалық","absorbition"
"кластер","absorbs"
"клиент","absorbtion"
"климат","absorpt"
"клиникалық","absorptance"
"клип","absorptiometer"
"клуб","absorptiometric"
"ковбой","absorption"
"когнитивтік","absorptional"
"код","absorptions"
"колледж","absorption's"
"коллектор","absorptive"
"колония","absorptively"
"команда","absorptiveness"
"командалас","absorptivity"
"командир","absquatulate"
"комбинация","absquatulation"
"комедия","abstain"
"комикс","abstained"
"комиссар","abstainer"
"комиссия","abstainers"
"Комитет","abstaining"
"коммерциялық","abstainment"
"коммунист","abstains"
"компания","abstemious"
"компьютер","abstemiously"
"Конвенция","abstemiousness"
"конверт","abstention"
"конгресс","abstentionism"
"конгрессмен","abstentionist"
"конгресстік","abstentions"
"консенсус","abstentious"
"консервативті","absterge"
"Конституция","absterged"
"конституциялық","abstergent"
"контейнер","absterges"
"контекст","absterging"
"континент","absterse"
"контраст","abstersion"
"контур","abstersive"
"конференция","abstersiveness"
"концерт","abstertion"
"корей","abstinence"
"король","abstinences"
"корпоративтік","abstinency"
"корпорация","abstinent"
"корпус","abstinential"
"корреляция","abstinently"
"костюм","abstort"
"кофе","abstr"
"коэффициенттер","abstract"
"Көбірек","abstractable"
"көгал","abstracted"
"көз","abstractedly"
"көзі","abstractedness"
"көзқарас","abstracter"
"көйлек","abstracters"
"көк","abstractest"
"көкжиек","abstracting"
"көкөніс","abstraction"
"көктем","abstractional"
"көл","abstractionism"
"көлемі","abstractionist"
"көлеңке","abstractionists"
"көлік","abstractions"
"көмек","abstraction's"
"Көмектесіңдер","abstractitious"
"көмектесу","abstractive"
"көмекшісі","abstractively"
"көмір","abstractiveness"
"көмірсулар","abstractly"
"көміртек","abstractness"
"көндіру","abstractnesses"
"көңілді","abstractor"
"көңіл-күй","abstractors"
"көңілсіздік","abstractor's"
"көп","abstracts"
"көпір","abstrahent"
"көпіршік","abstrict"
"көпшілігі","abstricted"
"көпшілік","abstricting"
"көрермен","abstriction"
"көрінеді","abstricts"
"көрінетін","abstrude"
"көрініс","abstruse"
"көркем","abstrusely"
"көрме","abstruseness"
"көрнекі","abstrusenesses"
"көрнекті","abstruser"
"көрпе","abstrusest"
"көрсетіңіз","abstrusion"
"көрсеткіш","abstrusity"
"көрсету","abstrusities"
"көру","absume"
"көрші","absumption"
"Көршілестік","absurd"
"көтерілу","absurder"
"көтеру","absurdest"
"көшбасшы","absurdism"
"көшбасшылық","absurdist"
"көше","absurdity"
"көші-қон","absurdities"
"көшіру","absurdity's"
"крем","absurdly"
"крест","absurdness"
"кристал","absurds"
"критерийлері","absurdum"
"круиз","absvolt"
"куә","abt"
"куәлік","abterminal"
"курорт","abthain"
"курс","abthainry"
"куртка","abthainrie"
"күдік","abthanage"
"күдікті","abtruse"
"күзет","Abu"
"күзетші","abubble"
"күй","Abu-Bekr"
"күйдіру","Abucay"
"күйеу","abucco"
"күл","abuilding"
"күлгін","Abukir"
"күлкі","abuleia"
"күлкілі","Abulfeda"
"күлу","abulia"
"күмән","abulias"
"күміс","abulic"
"күн","abulyeit"
"күнделік","abulomania"
"күнделікті","abumbral"
"күнә","abumbrellar"
"күні","Abuna"
"күнтізбе","abundance"
"күрделі","abundances"
"күрделілік","abundancy"
"күрес","abundant"
"күрескер","Abundantia"
"күріш","abundantly"
"күрсіну","abune"
"күрт","abura"
"күт","aburabozu"
"күтілген","aburagiri"
"күтпеген","aburban"
"күту","Abury"
"күш","aburst"
"күшейту","aburton"
"күшті","abusable"
"қабат","abusage"
"қабілеті","abuse"
"қабілетті","abused"
"қабір","abusedly"
"қабығы","abusee"
"қабық","abuseful"
"қабылдағыш","abusefully"
"қабылданған","abusefulness"
"қабылдау","abuser"
"қабырға","abusers"
"қағаз","abuses"
"қағу","abush"
"қадағалау","abusing"
"қадам","abusion"
"қажет","abusious"
"қажетті","abusive"
"қажеттілік","abusively"
"қазан","abusiveness"
"қазба","abusivenesses"
"қазір","abut"
"қазіргі","Abuta"
"қазу","Abutilon"
"қазына","abutilons"
"қай","abutment"
"қайғы","abutments"
"қайғылы","abuts"
"қайда","abuttal"
"қайнатыңыз","abuttals"
"қайта","abutted"
"қайтадан","abutter"
"қайта-қайта","abutters"
"қайталаңыз","abutter's"
"қайтару","abutting"
"қайшылық","abuzz"
"қайық","abv"
"қайырымдылық","abvolt"
"Қақпа","abvolts"
"қақтығыс","abwab"
"қала","abwatt"
"Қалай","abwatts"
"қалалық","ac"
"қалам","ac-"
"қалды","a-c"
"қалқан","AC/DC"
"қалпақ","ACAA"
"қалта","Acacallis"
"қалу","acacatechin"
"қалың","acacatechol"
"қалыңдық","Acacea"
"қалып","Acaceae"
"қалыптастыру","acacetin"
"қалыпты","Acacia"
"қамал","Acacian"
"қамқорлық","acacias"
"қамқоршы","acaciin"
"қамқоршылық","acacin"
"қамтиды","acacine"
"қамту","acad"
"қамшы","academe"
"қамыр","academes"
"қан","Academy"
"қанағаттандыру","academia"
"қанағаттану","academial"
"қанат","academian"
"қанды","academias"
"қанішер","Academic"
"қант","academical"
"қаншық","academically"
"қаңтар","academicals"
"қап","academician"
"қар","academicians"
"қара","academicianship"
"қарағай","academicism"
"қарағанда","academics"
"қарай","academie"
"қарақшы","academies"
"қарама-қарсы","academy's"
"қарамастан","academise"
"қараңғы","academised"
"қараңғылық","academising"
"қараңыз","academism"
"қарапайым","academist"
"қарастыру","academite"
"қарау","academization"
"қараша","academize"
"қаржы","academized"
"қаржыландыру","academizing"
"Қаржылық","Academus"
"қарқын","Acadia"
"қарқынды","acadialite"
"қарқындылығы","Acadian"
"қарсы","Acadie"
"қарсылас","Acaena"
"қарсылық","acajou"
"қарт","acajous"
"қару","acal"
"қарулы","acalculia"
"қарыз","acale"
"қас","acaleph"
"қасиет","Acalepha"
"қасиетті","Acalephae"
"қасқыр","acalephan"
"қастандық","acalephe"
"қатал","acalephes"
"қатаң","acalephoid"
"қатар","acalephs"
"қате","Acalia"
"қатты","acalycal"
"қатыгез","acalycine"
"қатынас","acalycinous"
"қатысты","acalyculate"
"қатыстылық","Acalypha"
"қатысу","Acalypterae"
"қатысушы","Acalyptrata"
"қауесет","Acalyptratae"
"Қауіп","acalyptrate"
"қауіп-қатер","Acamar"
"қауіпсіз","Acamas"
"қауіпсіздік","Acampo"
"қауіпті","acampsia"
"қауымдастық","acana"
"қашан","acanaceous"
"қашу","acanonical"
"қашықтан","acanth"
"қашықтық","acanth-"
"қирау","acantha"
"қисық","Acanthaceae"
"қиын","acanthaceous"
"қиындық","acanthad"
"қиял","Acantharia"
"қоғам","acanthi"
"қоғамдық","Acanthia"
"қозғалтқыш","acanthial"
"қозғалыс","acanthin"
"қой","acanthine"
"қойындысы","acanthion"
"қоқыс","acanthite"
"қол","acantho-"
"қолайлы","acanthocarpous"
"қолғап","Acanthocephala"
"қолданба","acanthocephalan"
"қолдану","Acanthocephali"
"қолдау","acanthocephalous"
"қолдаушы","Acanthocereus"
"қолжетімді","acanthocladous"
"қолжетімділігі","Acanthodea"
"қолөнер","acanthodean"
"қонақ","Acanthodei"
"қону","Acanthodes"
"қоныстандыру","acanthodian"
"қоңыр","Acanthodidae"
"қоңырау","Acanthodii"
"қор","Acanthodini"
"қорап","acanthoid"
"қорғаныс","Acantholimon"
"қорғаныш","acantholysis"
"қорғасын","acanthology"
"қорғау","acanthological"
"қорғаушы","acanthoma"
"қорқады","acanthomas"
"қорқыныш","Acanthomeridae"
"қорқынышты","acanthon"
"қорқыту","Acanthopanax"
"қоршаған","Acanthophis"
"қоршау","acanthophorous"
"қорытынды","acanthopod"
"қорытындылау","acanthopodous"
"қос","acanthopomatous"
"қосалқы","acanthopore"
"қоспағанда","acanthopteran"
"қоспасы","Acanthopteri"
"қосу","acanthopterygian"
"қосулы","Acanthopterygii"
"қосылды","acanthopterous"
"қосылу","acanthoses"
"қосымша","acanthosis"
"қосынды","acanthotic"
"қою","acanthous"
"қуаныш","Acanthuridae"
"қуанышты","Acanthurus"
"қуат","acanthus"
"қудалау","acanthuses"
"қуу","acanthuthi"
"қуыршақ","acapnia"
"құбыжық","acapnial"
"құбылыс","acapnias"
"құбыр","acappella"
"құдай","acapsular"
"құдайлық","acapu"
"құжат","Acapulco"
"құйма","acara"
"құйрық","Acarapis"
"құйыңыз","acarari"
"құқық","acardia"
"құл","acardiac"
"құлақ","acardite"
"құлау","acari"
"құлдық","acarian"
"құлдырау","acariasis"
"құлықсыз","acariatre"
"құлыптау","acaricidal"
"құм","acaricide"
"құмар","acarid"
"құмарлық","Acarida"
"құмыра","acaridae"
"құнды","acaridan"
"құны","acaridans"
"құпия","Acaridea"
"құпиялылық","acaridean"
"құрайды","acaridomatia"
"құрал","acaridomatium"
"құрамдас","acarids"
"құрамы","acariform"
"құрастыру","Acarina"
"құрбан","acarine"
"құрғақ","acarines"
"құрдас","acarinosis"
"құрмет","Acarnan"
"құру","acarocecidia"
"құрылғы","acarocecidium"
"құрылым","acarodermatitis"
"құрылымдық","acaroid"
"құрылыс","acarol"
"құс","acarology"
"құтқару","acarologist"
"құтылу","acarophilous"
"құшақтау","acarophobia"
"қыз","acarotoxic"
"қызанақ","acarpellous"
"қызғаныш","acarpelous"
"қызғылт","acarpous"
"қызметкер","Acarus"
"қызметші","ACAS"
"қызы","acast"
"қызығушылық","Acastus"
"қызық","acatalectic"
"қызықсыз","acatalepsy"
"қызықты","acatalepsia"
"қызыл","acataleptic"
"қылмыс","acatallactic"
"қылмыскер","acatamathesia"
"қылмыстық","acataphasia"
"қылыш","acataposis"
"қымбат","acatastasia"
"қымбаттым","acatastatic"
"қыран","acate"
"қыркүйек","acategorical"
"қырық","acater"
"қыс","acatery"
"қысқа","acates"
"қысқаша","acatharsy"
"қысу","acatharsia"
"қысым","acatholic"
"қытай","acaudal"
"қышқыл","acaudate"
"лагерь","acaudelescent"
"лазер","acaulescence"
"лайық","acaulescent"
"лайықты","acauline"
"лақтыру","acaulose"
"лас","acaulous"
"ластану","ACAWS"
"латын","ACB"
"лезде","ACBL"
"лейтенант","ACC"
"лекция","acc."
"либералдық","acca"
"лига","accable"
"лимон","Accad"
"линза","accademia"
"лицензия","Accadian"
"лобби","Accalia"
"логика","acce"
"логикалық","accede"
"люкс","acceded"
"ма","accedence"
"мағыналы","acceder"
"мағынасы","acceders"
"мазалайды","accedes"
"мазасыз","acceding"
"мазасыздық","accel"
"мазмұны","accel."
"май","accelerable"
"маймыл","accelerando"
"майор","accelerant"
"максимум","accelerate"
"мақала","accelerated"
"мақсат","acceleratedly"
"мақсаты","accelerates"
"мақта","accelerating"
"мақтаныш","acceleratingly"
"мақтау","acceleration"
"мақұлдау","accelerations"
"мал","accelerative"
"мама","accelerator"
"маман","acceleratory"
"мамандану","accelerators"
"мандат","accelerograph"
"манипуляциялау","accelerometer"
"Мансап","accelerometers"
"маңдай","accelerometer's"
"маңызды","accend"
"маңыздылығы","accendibility"
"маңыздысы","accendible"
"марапаттау","accensed"
"маржа","accension"
"марихуана","accensor"
"маркер","accent"
"маркетинг","accented"
"марш","accenting"
"маршрут","accentless"
"мас","accentor"
"маска","accentors"
"массасы","accents"
"массив","accentuable"
"массивтік","accentual"
"масштаб","accentuality"
"мата","accentually"
"математика","accentuate"
"материал","accentuated"
"маусым","accentuates"
"махаббат","accentuating"
"машина","accentuation"
"машықтану","accentuations"
"медаль","accentuator"
"медбике","accentus"
"медициналық","accept"
"мейірімді","acceptability"
"мейірімділік","acceptabilities"
"мейрамхана","acceptable"
"мекеме","acceptableness"
"мекенжайы","acceptably"
"мексикалық","acceptance"
"мектеп","acceptances"
"мен","acceptance's"
"менеджер","acceptancy"
"менікі","acceptancies"
"менің","acceptant"
"меншік","acceptation"
"мердігер","acceptavit"
"мерейтойы","accepted"
"мереке","acceptedly"
"мерзімі","acceptee"
"металл","acceptees"
"метафора","accepter"
"метр","accepters"
"механизм","acceptilate"
"механик","acceptilated"
"механикалық","acceptilating"
"мәдени","acceptilation"
"мәдениет","accepting"
"мәжбүрлеу","acceptingly"
"мәзір","acceptingness"
"мәлімдеме","acception"
"мәміле","acceptive"
"мән","acceptor"
"мәні","acceptors"
"мәңгі","acceptor's"
"мәңгілік","acceptress"
"мәселе","accepts"
"Мәссаған","accerse"
"мәтін","accersition"
"ми","accersitor"
"миллион","access"
"миль","accessability"
"минималды","accessable"
"минимум","accessary"
"министр","accessaries"
"министрлік","accessarily"
"минут","accessariness"
"миссия","accessaryship"
"митингі","accessed"
"миф","accesses"
"міндет","accessibility"
"міндеттеме","accessibilities"
"міндеттенеді","accessible"
"міндеттеу","accessibleness"
"міндетті","accessibly"
"мінез-құлық","accessing"
"міну","accession"
"млрд","accessional"
"мм","accessioned"
"ммм","accessioner"
"мм-мм","accessioning"
"мойын","accessions"
"мойындау","accession's"
"молекуласы","accessit"
"монитор","accessive"
"монтаждау","accessively"
"мораль","accessless"
"моральдық","accessor"
"мотив","accessory"
"мотивация","accessorial"
"мотор","accessories"
"мөлдір","accessorii"
"мөлшерлемесі","accessorily"
"мөр","accessoriness"
"музыка","accessory's"
"музыкалық","accessorius"
"музыкант","accessoriusorii"
"мультфильм","accessorize"
"мүгедек","accessorized"
"мүгедектік","accessorizing"
"мүдделі","accessors"
"мүйіз","accessor's"
"мүлдем","acciaccatura"
"мүлік","acciaccaturas"
"мүмкін","acciaccature"
"мүмкіндігі","accidence"
"мүмкіндік","accidency"
"мүсін","accidencies"
"мүше","accident"
"мүшелік","accidental"
"мүшесі","accidentalism"
"мұғалім","accidentalist"
"мұз","accidentality"
"мұздату","accidentally"
"мұздатылған","accidentalness"
"мұқият","accidentals"
"мұнара","accidentary"
"Мұнда","accidentarily"
"мұра","accidented"
"мұрағат","accidential"
"мұрагер","accidentiality"
"мұражай","accidently"
"мұрын","accident-prone"
"мұсылман","accidents"
"мұхит","accidia"
"мықтап","accidias"
"мылқау","accidie"
"мылтық","accidies"
"мыналар","accinge"
"мың","accinged"
"мырза","accinging"
"мыс","accipenser"
"мысал","accipient"
"мысық","Accipiter"
"надан","accipitral"
"надандық","accipitrary"
"найзағай","Accipitres"
"нақты","accipitrine"
"нақтылау","accipter"
"Нақұрыс","accise"
"нан","accismus"
"наразылық","accite"
"нарық","Accius"
"насихаттау","acclaim"
"натрий","acclaimable"
"науқан","acclaimed"
"нашар","acclaimer"
"не","acclaimers"
"неге","acclaiming"
"негіз","acclaims"
"негізгі","acclamation"
"негізі","acclamations"
"негізінен","acclamator"
"неке","acclamatory"
"немесе","acclimatable"
"неміс","acclimatation"
"несеп","acclimate"
"несие","acclimated"
"нәзік","acclimatement"
"нәресте","acclimates"
"нәрсе","acclimating"
"нәсілдік","acclimation"
"нәсілшіл","acclimations"
"нәсілшілдік","acclimatisable"
"нәтиже","acclimatisation"
"нәтижелі","acclimatise"
"ниет","acclimatised"
"ниеттіміз","acclimatiser"
"номинация","acclimatising"
"норма","acclimatizable"
"ноутбук","acclimatization"
"нөл","acclimatizations"
"нүкте","acclimatize"
"нұсқасы","acclimatized"
"нұсқау","acclimatizer"
"нұсқаулық","acclimatizes"
"нұсқаушы","acclimatizing"
"нысан","acclimature"
"о","acclinal"
"объект","acclinate"
"оғаш","acclivity"
"оғаш","acclivities"
"одақ","acclivitous"
"одақтас","acclivous"
"озат","accloy"
"ой","accoast"
"ойлау","accoy"
"ойнау","accoyed"
"ойын","accoying"
"ойын-сауық","accoil"
"ойыншы","Accokeek"
"ойыншық","accolade"
"округ","accoladed"
"оқ","accolades"
"оқиға","accolated"
"оқу","accolent"
"оқулық","accoll"
"оқушы","accolle"
"оқшаулау","accolled"
"оқыңыз","accollee"
"оқырман","Accomac"
"оқыту","accombination"
"ол","accommodable"
"олар","accommodableness"
"олардың","accommodate"
"олимпиадалар","accommodated"
"олимпиадалық","accommodately"
"он","accommodateness"
"ондаған","accommodates"
"онсыз","accommodating"
"оныкі","accommodatingly"
"оның","accommodatingness"
"оң","accommodation"
"оңай","accommodational"
"оңтүстік","accommodationist"
"оңтүстік-батыс","accommodations"
"оңтүстік-шығыс","accommodative"
"ооо","accommodatively"
"опера","accommodativeness"
"оператор","accommodator"
"операция","accommodators"
"оптимистік","accomodate"
"опция","accompanable"
"орам","accompany"
"орамал","accompanied"
"орау","accompanier"
"орбита","accompanies"
"орган","accompanying"
"организм","accompanyist"
"органикалық","accompaniment"
"ордер","accompanimental"
"орман","accompaniments"
"орналастыру","accompaniment's"
"орнату","accompanist"
"орнына","accompanists"
"орта","accompanist's"
"ортақ","accomplement"
"орталық","accompletive"
"ортасында","accompli"
"орташа","accomplice"
"орын","accomplices"
"орынбасары","accompliceship"
"орындаңыз","accomplicity"
"орындау","accomplis"
"орындаушы","accomplish"
"орынды","accomplishable"
"орындық","accomplished"
"орынсыз","accomplisher"
"орыс","accomplishers"
"осал","accomplishes"
"осылайша","accomplishing"
"Осылайша","accomplishment"
"осындай","accomplishments"
"отаршыл","accomplishment's"
"отбасы","accomplisht"
"отряд","accompt"
"оттегі","accord"
"отыз","accordable"
"отыру","accordance"
"офицер","accordances"
"ою","accordancy"
"ояну","accordant"
"ояу","accordantly"
"өзара","accordatura"
"өзгереді","accordaturas"
"өзгерту","accordature"
"өзгеру","accorded"
"өздері","accorder"
"өзек","accorders"
"өзен","according"
"өзі","accordingly"
"өзім","accordion"
"өзіміз","accordionist"
"өзін","accordionists"
"өзің","accordions"
"өйткені","accordion's"
"өкілдігі","accords"
"өкілі","accorporate"
"өкініш","accorporation"
"өкінішті","accost"
"өкпе","accostable"
"өкшесі","accosted"
"өлең","accosting"
"өлі","accosts"
"өлім","accouche"
"өлтіру","accouchement"
"өлтіруші","accouchements"
"өлу","accoucheur"
"өлшем","accoucheurs"
"өлшемі","accoucheuse"
"өлшеу","accoucheuses"
"өмір","accounsel"
"өміршең","account"
"өндіріс","accountability"
"өндіруші","accountabilities"
"өнер","accountable"
"өнеркәсіп","accountableness"
"өнертабыс","accountably"
"өнім","accountancy"
"өнімді","accountancies"
"өнімділік","accountant"
"өңдеу","accountants"
"өрескел","accountant's"
"өріс","accountantship"
"өркендеу","accounted"
"өркениет","accounter"
"өрмелеу","accounters"
"өрнек","accounting"
"өрт","accountings"
"өсиет","accountment"
"өсімдік","accountrement"
"өсті","accounts"
"өсу","accouple"
"өте","accouplement"
"өтемақы","accourage"
"өтінемін","accourt"
"өтініш","accouter"
"өтіну","accoutered"
"өтірік","accoutering"
"өтірікші","accouterment"
"өткен","accouterments"
"өткір","accouters"
"өту","accoutre"
"өшеді","accoutred"
"өшірулі","accoutrement"
"өшпенділік","accoutrements"
"пайғамбар","accoutres"
"пайда","accoutring"
"пайдалану","Accoville"
"пайдаланушы","ACCRA"
"пайдаланылады","accrease"
"пайдалы","accredit"
"пайдасыз","accreditable"
"пайыз","accreditate"
"пакет","accreditation"
"палестиналық","accreditations"
"палуба","accredited"
"пальто","accreditee"
"панель","accrediting"
"папа","accreditment"
"парад","accredits"
"парақ","accrementitial"
"параметр","accrementition"
"парламент","accresce"
"пастор","accrescence"
"патент","accrescendi"
"патч","accrescendo"
"патша","accrescent"
"патшайым","accretal"
"патшалық","accrete"
"пациент","accreted"
"пейзаж","accretes"
"перде","accreting"
"періште","accretion"
"пернетақта","accretionary"
"персонал","accretions"
"перспектива","accretion's"
"перспективалы","accretive"
"петиция","accriminate"
"печенье","Accrington"
"пеш","accroach"
"пән","accroached"
"пәтер","accroaching"
"пицца","accroachment"
"пияз","accroides"
"пікір","accruable"
"пікірталас","accrual"
"піл","accruals"
"пісіру","accrue"
"пішім","accrued"
"пішін","accruement"
"планета","accruer"
"планшет","accrues"
"пластик","accruing"
"платформа","ACCS"
"плюс","ACCT"
"подъезд","acct."
"позиция","accts"
"пойыз","accubation"
"полиция","accubita"
"полковник","accubitum"
"полюс","accubitus"
"поп","accueil"
"порт","accultural"
"портрет","acculturate"
"портфолио","acculturated"
"пост","acculturates"
"постер","acculturating"
"потенциал","acculturation"
"пошта","acculturational"
"поэзия","acculturationist"
"практикалық","acculturative"
"презентация","acculturize"
"президент","acculturized"
"президенттік","acculturizing"
"премиум","accum"
"принципі","accumb"
"про","accumbency"
"провайдер","accumbent"
"провинция","accumber"
"прогресс","accumulable"
"прогрессивті","accumulate"
"продюсер","accumulated"
"прокурор","accumulates"
"пропорция","accumulating"
"профессор","accumulation"
"профиль","accumulations"
"процедура","accumulativ"
"процесс","accumulative"
"процессор","accumulatively"
"психикалық","accumulativeness"
"психолог","accumulator"
"психология","accumulators"
"психологиялық","accumulator's"
"пышақ","accupy"
"радар","accur"
"радиация","accuracy"
"радикалды","accuracies"
"радио","accurate"
"раковина","accurately"
"ранчо","accurateness"
"Рас","accuratenesses"
"растау","accurre"
"рахат","accurse"
"рахмет","accursed"
"рационалды","accursedly"
"реакция","accursedness"
"революция","accursing"
"революциялық","accurst"
"редактор","accurtation"
"режим","accus"
"режимі","accusable"
"режиссер","accusably"
"резерв","accusal"
"резиденция","accusals"
"рейтинг","accusant"
"рельеф","accusants"
"ренжіту","accusation"
"реніш","accusations"
"ренішті","accusation's"
"репортер","accusatival"
"ресми","accusative"
"республика","accusative-dative"
"республикалық","accusatively"
"ресурс","accusativeness"
"ретінде","accusatives"
"реттеу","accusator"
"реттеуші","accusatory"
"реферат","accusatorial"
"рефлексия","accusatorially"
"реформа","accusatrix"
"рецепт","accusatrixes"
"рецессия","accuse"
"рәсім","accused"
"риза","accuser"
"ризашылық","accusers"
"риторика","accuses"
"робот","accusing"
"Рождество","accusingly"
"Роза","accusive"
"розетка","accusor"
"рок","accustom"
"роман","accustomation"
"романтика","accustomed"
"романтикалық","accustomedly"
"рөл","accustomedness"
"рулық","accustoming"
"рух","accustomize"
"рухани","accustomized"
"рұқсат","accustomizing"
"сабақ","accustoms"
"сабын","Accutron"
"сағ","ACD"
"сағат","ACDA"
"сағыныш","AC-DC"
"садақ","ACE"
"саз","acea"
"сайлау","aceacenaphthene"
"сайлаушы","aceae"
"сайт","acean"
"сайын","aceanthrene"
"сайыс","aceanthrenequinone"
"саке","acecaffin"
"сақ","acecaffine"
"сақина","aceconitic"
"сақтандыру","aced"
"сақтау","acedy"
"салат","acedia"
"салдары","acediamin"
"салқын","acediamine"
"салмақ","acedias"
"салу","acediast"
"салық","ace-high"
"салымшы","Acey"
"салыстырмалы","acey-deucy"
"салыстыру","aceite"
"саммиті","aceituna"
"сана","Aceldama"
"санақ","aceldamas"
"саналы","acellular"
"санат","Acemetae"
"санау","Acemetic"
"сандық","acemila"
"санкция","acenaphthene"
"сансыз","acenaphthenyl"
"саны","acenaphthylene"
"сапар","acenesthesia"
"сапасы","acensuada"
"сарай","acensuador"
"сараптама","acentric"
"сарапшы","acentrous"
"сары","aceology"
"сарымсақ","aceologic"
"сатқындық","aceous"
"сату","acephal"
"сатушы","Acephala"
"сау","acephalan"
"сауалнама","Acephali"
"сауаттылық","acephalia"
"сауда","Acephalina"
"саудагер","acephaline"
"саусақ","acephalism"
"сауықтыру","acephalist"
"саябақ","Acephalite"
"саясат","acephalocyst"
"саясаткер","acephalous"
"саяси","acephalus"
"саяхат","acepots"
"саяхатшы","acequia"
"сеанс","acequiador"
"себебі","acequias"
"себеп","Acer"
"себет","Aceraceae"
"сегіз","aceraceous"
"сегізінші","Acerae"
"сегмент","Acerata"
"сезім","acerate"
"сезімтал","acerated"
"сезімталдық","Acerates"
"сезіну","acerathere"
"сейсенбі","Aceratherium"
"секіру","aceratosis"
"сексуалды","acerb"
"сектор","Acerbas"
"сен","acerbate"
"сенат","acerbated"
"сенатор","acerbates"
"сенбі","acerbating"
"сенгісіз","acerber"
"сендіру","acerbest"
"сенікі","acerbic"
"сенім","acerbically"
"сенімді","acerbity"
"сенімділік","acerbityacerose"
"сенсор","acerbities"
"сену","acerbitude"
"сенуші","acerbly"
"сервер","acerbophobia"
"сержант","acerdol"
"сериясы","aceric"
"серік","acerin"
"серіктес","acerli"
"серіктестік","acerola"
"сертификат","acerolas"
"сәби","acerose"
"сәйкес","acerous"
"сәйкестендіру","acerra"
"сәйкестік","acers"
"сәл","acertannin"
"сәлем","acerval"
"сәлемдесу","acervate"
"сән","acervately"
"сәнді","acervatim"
"сәрсенбі","acervation"
"сәт","acervative"
"сәтсіз","acervose"
"сәтсіздік","acervuli"
"сәтті","acervuline"
"сәттілік","acervulus"
"сәуір","aces"
"сәуле","ace's"
"сәулет","acescence"
"сәулетші","acescency"
"сигнал","acescent"
"сиқыр","acescents"
"сиқырлы","aceship"
"символы","Acesius"
"симптом","acesodyne"
"синдромы","acesodynous"
"сипаттамасы","Acessamenus"
"сипаттау","Acestes"
"сирек","acestoma"
"сириялық","acet-"
"сиыр","aceta"
"сияқты","acetable"
"сіздің","acetabula"
"сілтеме","acetabular"
"сканерлеу","Acetabularia"
"скринингтік","acetabuliferous"
"слайд","acetabuliform"
"соғу","acetabulous"
"соғыс","acetabulum"
"сода","acetabulums"
"созу","acetacetic"
"созылмалы","acetal"
"соққы","acetaldehydase"
"Соқыр","acetaldehyde"
"сол","acetaldehydrase"
"солай","acetaldol"
"солдат","acetalization"
"солтүстік","acetalize"
"Солтүстік","acetals"
"солтүстік-шығыс","acetamid"
"сома","acetamide"
"сомасы","acetamidin"
"сондай-ақ","acetamidine"
"сондықтан","acetamido"
"соңғы","acetamids"
"Соңы","acetaminol"
"сорғы","Acetaminophen"
"сорпа","acetanilid"
"сору","acetanilide"
"сот","acetanion"
"сотталған","acetaniside"
"соттылығы","acetanisidide"
"сөз","acetanisidine"
"сөзбе-сөз","acetannin"
"сөздік","acetary"
"сөзсіз","acetarious"
"сөйлем","acetars"
"сөйлесу","acetarsone"
"сөйлеу","acetate"
"сөмке","acetated"
"сөре","acetates"
"спектр","acetation"
"спикер","acetazolamide"
"спорт","acetbromamide"
"спортшы","acetenyl"
"спутник","Acetes"
"ставка","acethydrazide"
"стадион","acetiam"
"стандартты","acetic"
"станциясы","acetify"
"стартер","acetification"
"статистика","acetified"
"статистикалық","acetifier"
"стейк","acetifies"
"стек","acetifying"
"стенд","acetyl"
"стиль","acetylacetonates"
"стратегиялық","acetylacetone"
"стратегиясы","acetylamine"
"стресс","acetylaminobenzene"
"студент","acetylaniline"
"студия","acetylasalicylic"
"су","acetylate"
"субсидия","acetylated"
"судья","acetylating"
"суицид","acetylation"
"супервайзер","acetylative"
"сурет","acetylator"
"суреттеу","acetylbenzene"
"суретші","acetylbenzoate"
"суық","acetylbenzoic"
"сүзгі","acetylbiuret"
"сүйек","acetylcarbazole"
"сүйемелдеу","acetylcellulose"
"сүйену","acetylcholine"
"сүйетін","acetylcholinesterase"
"сүйікті","acetylcholinic"
"сүйіс","acetylcyanide"
"сүйкімді","acetylenation"
"сүйкімділік","acetylene"
"сүйреңіз","acetylenediurein"
"сүріну","acetylenes"
"сүртіңіз","acetylenic"
"сүт","acetylenyl"
"сұйықтық","acetylenogen"
"сұлулық","acetylfluoride"
