"Maori","English"
"purongo","absorbent"
"pūrongo","absorbents"
"puru","absorber"
"pūrua","absorbers"
"puta","absorbing"
"pūtaiao","absorbingly"
"putake","absorbition"
"pūtake","absorbs"
"putanga","absorbtion"
"pūtau","absorpt"
"putea","absorptance"
"pūtea","absorptiometer"
"pūtirotiro","absorptiometric"
"pūtukatuka","absorption"
"putunga","absorptional"
"quantum","absorptions"
"ra","absorption's"
"rā","absorptive"
"radar","absorptively"
"rae","absorptiveness"
"rahi","absorptivity"
"rahinga","absquatulate"
"rahoraho","absquatulation"
"rahoroi","abstain"
"Rāhoroi","abstained"
"rahua","abstainer"
"rahui","abstainers"
"rāhui","abstaining"
"rāhuitia","abstainment"
"raihana","abstains"
"raihi","abstemious"
"raima","abstemiously"
"raina","abstemiousness"
"raiona","abstention"
"raiwhara","abstentionism"
"raka","abstentionist"
"rakau","abstentions"
"raki","abstentious"
"rakuraku","absterge"
"rama","absterged"
"ranei","abstergent"
"rangahau","absterges"
"rāngai","absterging"
"rangatahi","absterse"
"rangatira","abstersion"
"rangatiratanga","abstersive"
"rangi","abstersiveness"
"rangirua","abstertion"
"rangitahi","abstinence"
"rangitaki","abstinences"
"ranu","abstinency"
"ranunga","abstinent"
"Rāpare","abstinential"
"rapeti","abstinently"
"rapu","abstort"
"rapua","abstr"
"rapunga","abstract"
"rara","abstractable"
"rarangi","abstracted"
"rārangi","abstractedly"
"raraunga","abstractedness"
"raro","abstracter"
"raruraru","abstracters"
"rata","abstractest"
"rātaka","abstracting"
"Rātapu","abstraction"
"ratini","abstractional"
"ratonga","abstractionism"
"ratou","abstractionist"
"rātū","abstractionists"
"rau","abstractions"
"rauemi","abstraction's"
"rauhanga","abstractitious"
"raumati","abstractive"
"raupapa","abstractively"
"raupatu","abstractiveness"
"rauropi","abstractly"
"rautaki","abstractness"
"rautau","abstractnesses"
"raw","abstractor"
"rawa","abstractors"
"rawaka","abstractor's"
"rawakore","abstracts"
"raweke","abstrahent"
"rāwhiti","abstrict"
"re","abstricted"
"rehita","abstricting"
"rehitatanga","abstriction"
"reinga","abstricts"
"reiti","abstrude"
"reka","abstruse"
"reke","abstrusely"
"rekereke","abstruseness"
"rekoata","abstrusenesses"
"rēmana","abstruser"
"remu","abstrusest"
"reo","abstrusion"
"rep","abstrusity"
"repupirikana","abstrusities"
"rere","absume"
"rerehua","absumption"
"rerekē","absurd"
"rerekē","absurder"
"rerekētanga","absurdest"
"rerenga","absurdism"
"rererangi","absurdist"
"reriwe","absurdity"
"reta","absurdities"
"reti","absurdity's"
"retireti","absurdly"
"rewa","absurdness"
"rewera","absurds"
"riaka","absurdum"
"rīhaina","absvolt"
"rihi","abt"
"rīki","abterminal"
"rima","abthain"
"ringa","abthainry"
"ringaringa","abthainrie"
"ringihia","abthanage"
"rino","abtruse"
"ripa","Abu"
"ripeka","abubble"
"rīpene","Abu-Bekr"
"ripiripia","Abucay"
"riri","abucco"
"riria","abuilding"
"riro","Abukir"
"rironga","abuleia"
"rītaha","Abulfeda"
"rite","abulia"
"ritenga","abulias"
"riterite","abulic"
"riu","abulyeit"
"riwai","abulomania"
"roa","abumbral"
"roha","abumbrellar"
"rohe","Abuna"
"rohi","abundance"
"roia","abundances"
"rokiroki","abundancy"
"Roma","abundant"
"rongo","Abundantia"
"rongoa","abundantly"
"rongoā","abune"
"rongonui","abura"
"rongopai","aburabozu"
"roopu","aburagiri"
"röpü","aburban"
"rōrahi","Abury"
"roro","aburst"
"rorohiko","aburton"
"rota","abusable"
"rotarota","abusage"
"roto","abuse"
"rua","abused"
"ruarua","abusedly"
"ruhia","abusee"
"ruma","abuseful"
"rūnanga","abusefully"
"runga","abusefulness"
"rūpahu","abuser"
"ruru","abusers"
"rūtene","abuses"
"scene","abush"
"Senate","abusing"
"senator","abusion"
"sheriff","abusious"
"soviet","abusive"
"super","abusively"
"tā","abusiveness"
"taake","abusivenesses"
"taapiri","abut"
"taara","Abuta"
"tae","Abutilon"
"taea","abutilons"
"taha","abutment"
"tahae","abutments"
"tahanga","abuts"
"tahi","abuttal"
"tahia","abuttals"
"tahua","abutted"
"tahuna","abutter"
"tahuri","abutters"
"tai","abutter's"
"taiaho","abutting"
"taiao","abuzz"
"taiapa","abv"
"taiawhio","abvolt"
"taihara","abvolts"
"taika","abwab"
"taikaha","abwatt"
"taima","abwatts"
"taimana","ac"
"taiohi","ac-"
"taipitopito","a-c"
"tairongo","AC/DC"
"taitamariki","ACAA"
"taitara","Acacallis"
"taiwhanga","acacatechin"
"taiwhenua","acacatechol"
"takahanga","Acacea"
"takahi","Acaceae"
"takahia","acacetin"
"takahuri","Acacia"
"takahurihuri","Acacian"
"takai","acacias"
"takakau","acaciin"
"takarepa","acacin"
"takaro","acacine"
"takatāpui","acad"
"takawaenga","academe"
"take","academes"
"takenga","Academy"
"taketake","academia"
"taki","academial"
"tākirirangi","academian"
"takirua","academias"
"takitahi","Academic"
"takoha","academical"
"takoto","academically"
"taku","academicals"
"tākuta","academician"
"takutai","academicians"
"tama","academicianship"
"tamahine","academicism"
"tamaiti","academics"
"tamare","academie"
"tamarikitanga","academies"
"tamata","academy's"
"tana","academise"
"tane","academised"
"tangata","academising"
"tangi","academism"
"tangihanga","academist"
"tango","academite"
"tangohanga","academization"
"taniwha","academize"
"tank","academized"
"tanu","academizing"
"taone","Academus"
"tāone","Acadia"
"taonga","acadialite"
"tāpae","Acadian"
"tapahia","Acadie"
"tapanga","Acaena"
"tāpare","acajou"
"tapatahi","acajous"
"tapatapahia","acal"
"tapawha","acalculia"
"tāpiri","acale"
"tāpirihia","acaleph"
"tāpiritanga","Acalepha"
"tapu","Acalephae"
"taputapu","acalephan"
"taraiwa","acalephe"
"taraka","acalephes"
"tarakona","acalephoid"
"taranata","acalephs"
"taratara","Acalia"
"tarau","acalycal"
"tarewa","acalycine"
"tari","acalycinous"
"taringa","acalyculate"
"taro","Acalypha"
"taru","Acalypterae"
"tarukino","Acalyptrata"
"tarutaru","Acalyptratae"
"tata","acalyptrate"
"tātai","Acamar"
"tātaitanga","Acamas"
"tatari","Acampo"
"tātari","acampsia"
"tātaritanga","acana"
"tatau","acanaceous"
"tatauranga","acanonical"
"tatini","acanth"
"tatou","acanth-"
"tau","acantha"
"tauanga","Acanthaceae"
"tauari","acanthaceous"
"tauera","acanthad"
"tauhohe","Acantharia"
"tauhohenga","acanthi"
"tauhou","Acanthia"
"tauine","acanthial"
"tauira","acanthin"
"taumaha","acanthine"
"taumahatanga","acanthion"
"taumahi","acanthite"
"taumata","acantho-"
"taumau","acanthocarpous"
"taumautanga","Acanthocephala"
"taunahatanga","acanthocephalan"
"taunakitanga","Acanthocephali"
"taunekeneke","acanthocephalous"
"taunga","Acanthocereus"
"taunoa","acanthocladous"
"taupaepae","Acanthodea"
"taupānga","acanthodean"
"taupori","Acanthodei"
"taupū","Acanthodes"
"taura","acanthodian"
"tauranga","Acanthodidae"
"taurangi","Acanthodii"
"taurekareka","Acanthodini"
"taurewa","acanthoid"
"taurite","Acantholimon"
"tāuta","acantholysis"
"tāutanga","acanthology"
"tautapa","acanthological"
"tautiaki","acanthoma"
"tautohe","acanthomas"
"tautohetohe","Acanthomeridae"
"tautoko","acanthon"
"tautuhi","Acanthopanax"
"tautukunga","Acanthophis"
"tauwhiro","acanthophorous"
"tauwhitinga","acanthopod"
"tawhā","acanthopodous"
"tāwhai","acanthopomatous"
"tāwhana","acanthopore"
"tawhē","acanthopteran"
"tawhiti","Acanthopteri"
"tawhito","acanthopterygian"
"te","Acanthopterygii"
"tea","acanthopterous"
"teihana","acanthoses"
"teina","acanthosis"
"teitei","acanthotic"
"teka","acanthous"
"tekau","Acanthuridae"
"telescope","Acanthurus"
"tēnehi","acanthus"
"tenei","acanthuses"
"teneti","acanthuthi"
"tepu","acapnia"
"tera","acapnial"
"tere","acapnias"
"tereina","acappella"
"tetahi","acapsular"
"t-hate","acapu"
"tia","Acapulco"
"tiakarete","acara"
"tiaki","Acarapis"
"tiamana","acarari"
"Tiamana","acardia"
"ti'amâraa","acardiac"
"tiango","acardite"
"ti'aturi","acari"
"tihi","acarian"
"tihokahoka","acariasis"
"tihorea","acariatre"
"tiihi","acaricidal"
"tika","acaricide"
"Tika","acarid"
"tikanga","Acarida"
"tiki","acaridae"
"tikiti","acaridan"
"timata","acaridans"
"timatatanga","Acaridea"
"tina","acaridean"
"tinana","acaridomatia"
"tini","acaridomatium"
"tinihanga","acarids"
"tino","acariform"
"tioata","Acarina"
"tipu","acarine"
"tipua","acarines"
"tīpune","acarinosis"
"tiritahi","Acarnan"
"tiriti","acarocecidia"
"tirohanga","acarocecidium"
"tirohia","acarodermatitis"
"tirotiro","acaroid"
"titi","acarol"
"titiro","acarology"
"tito","acarologist"
"titonga","acarophilous"
"tivira","acarophobia"
"tīwae","acarotoxic"
"tiwhikete","acarpellous"
"tīwiri","acarpelous"
"to","acarpous"
"toa","Acarus"
"toe","ACAS"
"toharite","acast"
"tohatoha","Acastus"
"tohe","acatalectic"
"tohorā","acatalepsy"
"tohu","acatalepsia"
"tohumate","acataleptic"
"tohunga","acatallactic"
"tohungatanga","acatamathesia"
"tohutohu","acataphasia"
"tohutoro","acataposis"
"toi","acatastasia"
"toia","acatastatic"
"toka","acate"
"tōkena","acategorical"
"tokoiti","acater"
"tokorua","acatery"
"tokotoko","acates"
"tōmato","acatharsy"
"tomo","acatharsia"
"tomokanga","acatholic"
"tōmuri","acaudal"
"tōmuritanga","acaudate"
"tonga","acaudelescent"
"tonga-rawhiti","acaulescence"
"tono","acaulescent"
"tonu","acauline"
"topenga","acaulose"
"tōrangapū","acaulous"
"toremi","ACAWS"
"torohaki","ACB"
"torona","ACBL"
"toronga","ACC"
"torotoro","acc."
"toru","acca"
"toto","accable"
"totohe","Accad"
"totohu","accademia"
"totoro","Accadian"
"toutou","Accalia"
"tu","acce"
"tū","accede"
"tuahine","acceded"
"tuakiri","accedence"
"tuanui","acceder"
"tūao","acceders"
"tuaono","accedes"
"tūāpapa","acceding"
"tuara","accel"
"tuarima","accel."
"tuarua","accelerable"
"tuatahi","accelerando"
"tuatoru","accelerant"
"tuawaru","accelerate"
"tuawha","accelerated"
"tūāwhiorangi","acceleratedly"
"tuawhitu","accelerates"
"tūemi","accelerating"
"tuhi","acceleratingly"
"tuhia","acceleration"
"tuhinga","accelerations"
"tuhipoka","accelerative"
"tuhituhi","accelerator"
"tukanga","acceleratory"
"tukatuka","accelerators"
"tuke","accelerograph"
"tukemata","accelerometer"
"tukinga","accelerometers"
"tūkino","accelerometer's"
"tuku","accend"
"tukunga","accendibility"
"tukurua","accendible"
"tukutuku","accensed"
"tumanako","accension"
"tūmataiti","accensor"
"tūmatanui","accent"
"tūmau","accented"
"tumuaki","accenting"
"tūnga","accentless"
"tunu","accentor"
"tunua","accentors"
"tuohu","accents"
"tūpato","accentuable"
"tupeka","accentual"
"tūponotanga","accentuality"
"tupu","accentually"
"tupuna","accentuate"
"tupuni","accentuated"
"tupuranga","accentuates"
"turanga","accentuating"
"tūranga","accentuation"
"ture","accentuations"
"turi","accentuator"
"tūru","accentus"
"tūruhi","accept"
"turuturu","acceptability"
"tutaki","acceptabilities"
"tūtakitanga","acceptable"
"tutei","acceptableness"
"tūtohi","acceptably"
"tūtohinga","acceptance"
"tūtohu","acceptances"
"tūtohutanga","acceptance's"
"tutu","acceptancy"
"tutuki","acceptancies"
"tūturu","acceptant"
"tuwha","acceptation"
"tuwhenawhe","acceptavit"
"tuwhera","accepted"
"tv","acceptedly"
"twitter","acceptee"
"ua","acceptees"
"uara","accepter"
"uaua","accepters"
"uh","acceptilate"
"uhi","acceptilated"
"uira","acceptilating"
"uiuinga","acceptilation"
"um","accepting"
"uma","acceptingly"
"umanga","acceptingness"
"ūnga","acception"
"uniana","acceptive"
"unuhanga","acceptor"
"upoko","acceptors"
"uru","acceptor's"
"urunga","acceptress"
"urupa","accepts"
"urupare","accerse"
"ururua","accersition"
"urutau","accersitor"
"urutaunga","access"
"utaina","accessability"
"utu","accessable"
"utunga","accessary"
"uwha","accessaries"
"vampire","accessarily"
"vs","accessariness"
"wā","accessaryship"
"wae","accessed"
"waea","accesses"
"waehere","accessibility"
"waenga","accessibilities"
"waenganui","accessible"
"waewae","accessibleness"
"waha","accessibly"
"wahanga","accessing"
"wāhanga","accession"
"wahangu","accessional"
"wahi","accessioned"
"wāhi","accessioner"
"wahia","accessioning"
"wahie","accessions"
"wahine","accession's"
"waho","accessit"
"wai","accessive"
"waiata","accessively"
"waiho","accessless"
"waikawa","accessor"
"waimarie","accessory"
"Waimarie","accessorial"
"waina","accessories"
"waipiro","accessorii"
"waipuke","accessorily"
"wairangi","accessoriness"
"wairere","accessory's"
"wairua","accessorius"
"waitara","accessoriusorii"
"waitohu","accessorize"
"waiu","accessorized"
"waka","accessorizing"
"wakarere","accessors"
"wakatō","accessor's"
"wā-katoa","acciaccatura"
"waranga","acciaccaturas"
"wareware","acciaccature"
"waro","accidence"
"warowaihā","accidency"
"waru","accidencies"
"wātea","accident"
"wawaotanga","accidental"
"wawata","accidentalism"
"wawau","accidentalist"
"wehe","accidentality"
"wehea","accidentally"
"wehenga","accidentalness"
"wehewehe","accidentals"
"wehewehenga","accidentary"
"wehi","accidentarily"
"wera","accidented"
"weranga","accidential"
"werawera","accidentiality"
"weriweri","accidently"
"wero","accident-prone"
"wewete","accidents"
"wha","accidia"
"whaea","accidias"
"whai","accidie"
"whaia","accidies"
"whaiāipo","accinge"
"whaiaro","accinged"
"whaihua","accinging"
"whaikōrero","accipenser"
"whaimana","accipient"
"whainga","Accipiter"
"whāinga","accipitral"
"whaipainga","accipitrary"
"whaitake","Accipitres"
"whaiti","accipitrine"
"whaiwhai","accipter"
"whakaae","accise"
"whakaaetanga","accismus"
"whakaahua","accite"
"whakaahuatanga","Accius"
"whakaahuru","acclaim"
"whakaako","acclaimable"
"whakaakoranga","acclaimed"
"whakaaraara","acclaimer"
"whakaarahia","acclaimers"
"whakaari","acclaiming"
"whakaaro","acclaims"
"whakaata","acclamation"
"whakaatu","acclamations"
"whakaaturanga","acclamator"
"whakaawe","acclamatory"
"whakaea","acclimatable"
"whakaeke","acclimatation"
"whakaekea","acclimate"
"whakaekenga","acclimated"
"whakaemi","acclimatement"
"whakahaere","acclimates"
"whakahaerenga","acclimating"
"whakahāngai","acclimation"
"whakaharahara","acclimations"
"whakahau","acclimatisable"
"whakahaunga","acclimatisation"
"whakahāwea","acclimatise"
"whakahē","acclimatised"
"whakaheke","acclimatiser"
"whakahekenga","acclimatising"
"whakahenga","acclimatizable"
"whakahengia","acclimatization"
"whakahere","acclimatizations"
"whakahihiri","acclimatize"
"whakahoa","acclimatized"
"whakahou","acclimatizer"
"whakahounga","acclimatizes"
"whakahua","acclimatizing"
"whakahuahua","acclimature"
"whakahuihui","acclinal"
"whakaingoa","acclinate"
"whakaingoatanga","acclivity"
"whakairihia","acclivities"
"whakairo","acclivitous"
"whakairoiro","acclivous"
"whakaiti","accloy"
"whakakaha","accoast"
"whakakahore","accoy"
"whakakāhore","accoyed"
"whakakāhoretanga","accoying"
"whakakake","accoil"
"whakakapi","Accokeek"
"whakakapinga","accolade"
"whakakatakata","accoladed"
"whakakeke","accolades"
"whakakiia","accolated"
"whakakino","accolent"
"whakakite","accoll"
"whakakitenga","accolle"
"whakakore","accolled"
"whakakorikori","accollee"
"whakakotahi","Accomac"
"whakakotahitanga","accombination"
"whakama","accommodable"
"whakamahana","accommodableness"
"whakamahau","accommodate"
"whakamahere","accommodated"
"whakamahi","accommodately"
"whakamahia","accommodateness"
"whakamahinga","accommodates"
"whakamana","accommodating"
"whakamanawanui","accommodatingly"
"whakamaori","accommodatingness"
"whakamaoritanga","accommodation"
"whakamarama","accommodational"
"whakamārama","accommodationist"
"whakamāramatanga","accommodations"
"whakamararatia","accommodative"
"whakamarie","accommodatively"
"whakamarumaru","accommodativeness"
"whakamataku","accommodator"
"whakamātau","accommodators"
"whakamatauria","accomodate"
"whakamātautau","accompanable"
"whakamate","accompany"
"whakamaua","accompanied"
"whakamaumahara","accompanier"
"whakamaumaharatanga","accompanies"
"whakamere","accompanying"
"whakamiharo","accompanyist"
"whakamīharo","accompaniment"
"whakamihi","accompanimental"
"whakamoemiti","accompaniments"
"whakamohio","accompaniment's"
"whakamohoatanga","accompanist"
"whakamomori","accompanists"
"whakamua","accompanist's"
"whakamuri","accomplement"
"whakamutunga","accompletive"
"whakangahau","accompli"
"whakangao","accomplice"
"whakangaro","accomplices"
"whakangau","accompliceship"
"whakangawari","accomplicity"
"whakangungu","accomplis"
"whakanohonga","accomplish"
"whakanui","accomplishable"
"whakaohooho","accomplished"
"whakaora","accomplisher"
"whakaōrite","accomplishers"
"whakaoti","accomplishes"
"whakapā","accomplishing"
"whakapae","accomplishment"
"whakapāha","accomplishments"
"whakapaipai","accomplishment's"
"whakapakoko","accomplisht"
"whakapati","accompt"
"whakapau","accord"
"whakapaunga","accordable"
"whakapiri","accordance"
"whakapoauau","accordances"
"whakapohehe","accordancy"
"whakapono","accordant"
"whakaponohia","accordantly"
"whakaponokore","accordatura"
"whakaponotanga","accordaturas"
"whakapōtaetanga","accordature"
"whakapouri","accorded"
"whakapuakanga","accorder"
"whakapuaki","accorders"
"whakapuakitanga","according"
"whakapūmau","accordingly"
"whakaputa","accordion"
"whakapūtā","accordionist"
"whakaputanga","accordionists"
"whakaraerae","accordions"
"whakarangatira","accordion's"
"whakaranu","accords"
"whakarāpopototanga","accorporate"
"whakararu","accorporation"
"whakararuraru","accost"
"whakarato","accostable"
"whakaratohia","accosted"
"whakaratonga","accosting"
"whaka-rawhiti","accosts"
"whakarei","accouche"
"whakarere","accouchement"
"whakarerea","accouchements"
"whakarerekē","accoucheur"
"whakarewa","accoucheurs"
"whakarewatanga","accoucheuse"
"whakarite","accoucheuses"
"whakaritea","accounsel"
"whakaritenga","account"
"whakaroa","accountability"
"whakarōpū","accountabilities"
"whakaruruhau","accountable"
"whakatā","accountableness"
"whakataetae","accountably"
"whakatairanga","accountancy"
"whakatairite","accountancies"
"whakataka","accountant"
"whakataki","accountants"
"whakatakotoranga","accountant's"
"whakatakotoria","accountantship"
"whakatamarikitanga","accounted"
"whakatapua","accounter"
"whakatara","accounters"
"whakatārewa","accounting"
"whakatata","accountings"
"whakatau","accountment"
"whakataunga","accountrement"
"whakatauranga","accounts"
"whakataurite","accouple"
"whakatenatena","accouplement"
"whakatewhatewha","accourage"
"whakatika","accourt"
"whakatikatika","accouter"
"whakatinana","accoutered"
"whakatinanatanga","accoutering"
"whakatio","accouterment"
"whakatipuranga","accouterments"
"whakatö-whakaaro","accouters"
"whakatuma","accoutre"
"whakatupato","accoutred"
"whakatūpato","accoutrement"
"whakaturanga","accoutrements"
"whakatutuki","accoutres"
"whakatutukitanga","accoutring"
"whakatuu","Accoville"
"whakatuwheratanga","ACCRA"
"whakaū","accrease"
"whakauaua","accredit"
"whakauru","accreditable"
"whakaurunga","accreditate"
"whakaute","accreditation"
"whakautu","accreditations"
"whakawa","accredited"
"whakawai","accreditee"
"whakawakanga","accrediting"
"whakawero","accreditment"
"whakawetiweti","accredits"
"whakawhāiti","accrementitial"
"whakawhanake","accrementition"
"whakawhänui","accresce"
"whakawhirinaki","accrescence"
"whakawhiti","accrescendi"
"whakawiri","accrescendo"
"whaki","accrescent"
"whakina","accretal"
"whana","accrete"
"whanake","accreted"
"whanaketanga","accretes"
"whanau","accreting"
"whanaunga","accretion"
"whanautanga","accretionary"
"whanga","accretions"
"whāngai","accretion's"
"whanoke","accretive"
"whanonga","accriminate"
"whanui","Accrington"
"whānui","accroach"
"whānuitanga","accroached"
"whao","accroaching"
"whara","accroachment"
"wharanga","accroides"
"wharangi","accruable"
"whare","accrual"
"wharekai","accruals"
"wharepaku","accrue"
"whāriki","accrued"
"whārite","accruement"
"whata","accruer"
"whatanga","accrues"
"whatunga","accruing"
"whawha","ACCS"
"whawhai","ACCT"
"wheako","acct."
"wheketere","accts"
"whenua","accubation"
"whero","accubita"
"wheturangi","accubitum"
"whewhe","accubitus"
"whiriwhiri","accueil"
"whiriwhiringa","accultural"
"whiti","acculturate"
"whitiki","acculturated"
"whitu","acculturates"
"whiu","acculturating"
"whiua","acculturation"
"whiunga","acculturational"
"whiuwhiu","acculturationist"
"whiwhi","acculturative"
"whutupaoro","acculturize"
"wiki","acculturized"
"wikitoria","acculturizing"
"wira","accum"
"witi","accumb"
"wiwi","accumbency"
"wuruhi","accumbent"
