"Samoan","English"
"miliona","absinthian"
"militeri","absinthiate"
"mimi","absinthiated"
"mimilo","absinthiating"
"mimita","absinthic"
"minute","absinthiin"
"misa","absinthin"
"misi","absinthine"
"misia","absinthism"
"misiona","absinthismic"
"mita","absinthium"
"miti","absinthol"
"mitiafu","absinthole"
"mitiia","absinths"
"mm","Absyrtus"
"mm-hmm","absis"
"mmm","absist"
"mo","absistos"
"moa","absit"
"moe","absmho"
"moega","absohm"
"mokesi","absoil"
"moli","absolent"
"molia","Absolute"
"moliaga","absolutely"
"moligao","absoluteness"
"molimau","absoluter"
"moni","absolutes"
"Moni","absolutest"
"moomooga","absolution"
"moto","absolutions"
"motu","absolutism"
"mu","absolutist"
"muamua","absolutista"
"muaulu","absolutistic"
"mulimuli","absolutistically"
"mulivae","absolutists"
"mumu","absolutive"
"musalemi","absolutization"
"musika","absolutize"
"musuā","absolutory"
"musuia","absolvable"
"musumusu","absolvatory"
"musumusuga","absolve"
"mutia","absolved"
"naifi","absolvent"
"na'o","absolver"
"nati","absolvers"
"natia","absolves"
"natura","absolving"
"naunau","absolvitor"
"naunautaiga","absolvitory"
"nei","absonant"
"neivi","absonous"
"neura","absorb"
"nifo","absorbability"
"nila","absorbable"
"nisi","absorbance"
"noataga","absorbancy"
"nofo","absorbant"
"nofoa","absorbed"
"nofoaafi","absorbedly"
"nofoaga","absorbedness"
"nofoalii","absorbefacient"
"nofofua","absorbency"
"nofoia","absorbencies"
"nofomau","absorbent"
"nofosala","absorbents"
"nogatupe","absorber"
"nono","absorbers"
"Novema","absorbing"
"numera","absorbingly"
"nusipepa","absorbition"
"nuu","absorbs"
"nu'u","absorbtion"
"o","absorpt"
"oa","absorptance"
"oak","absorptiometer"
"oe","absorptiometric"
"ofisa","absorption"
"ofo","absorptional"
"ofoofogia","absorptions"
"ofu","absorption's"
"ofutino","absorptive"
"ofuvae","absorptively"
"ogalaau","absorptiveness"
"ogaoga","absorptivity"
"ogatotonu","absquatulate"
"ogavae","absquatulation"
"oi","abstain"
"okeni","abstained"
"okesene","abstainer"
"Okitopa","abstainers"
"ola","abstaining"
"olaga","abstainment"
"olaola","abstains"
"Olimipeka","abstemious"
"olioli","abstemiously"
"olive","abstemiousness"
"olo","abstention"
"oloa","abstentionism"
"omea","abstentionist"
"omiga","abstentions"
"ona","abstentious"
"onā","absterge"
"oneone","absterged"
"ono","abstergent"
"onosai","absterges"
"ooh","absterging"
"oomi","absterse"
"oona","abstersion"
"opeopea","abstersive"
"opera","abstersiveness"
"opogi","abstertion"
"organic","abstinence"
"ositaulaga","abstinences"
"oso","abstinency"
"osofa'i","abstinent"
"osofa'iga","abstinential"
"osooso","abstinently"
"otaota","abstort"
"oti","abstr"
"'oti","abstract"
"otometi","abstractable"
"otootoga","abstracted"
"pa","abstractedly"
"paaga","abstractedness"
"paee","abstracter"
"paelo","abstracters"
"paga","abstractest"
"pagota","abstracting"
"pai","abstraction"
"pa'i","abstractional"
"paia","abstractionism"
"paie","abstractionist"
"pailate","abstractionists"
"paina","abstractions"
"paipa","abstraction's"
"paka","abstractitious"
"pakaga","abstractive"
"pakete","abstractively"
"paketi","abstractiveness"
"palanikeke","abstractly"
"palapala","abstractness"
"palasitika","abstractnesses"
"palauvale","abstractor"
"palealii","abstractors"
"palemene","abstractor's"
"palemia","abstracts"
"paleni","abstrahent"
"Palesitina","abstrict"
"palota","abstricted"
"paluga","abstricting"
"paluni","abstriction"
"pamu","abstricts"
"paneta","abstrude"
"paolo","abstruse"
"papa","abstrusely"
"papa'u","abstruseness"
"papupuni","abstrusenesses"
"parakalafa","abstruser"
"pasene","abstrusest"
"pasese","abstrusion"
"pasi","abstrusity"
"pasiketipolo","abstrusities"
"paso","absume"
"pata","absumption"
"patch","absurd"
"pateni","absurder"
"pateta","absurdest"
"pati","absurdism"
"patino","absurdist"
"pato","absurdity"
"pa'u","absurdities"
"pauna","absurdity's"
"pauta","absurdly"
"pc","absurdness"
"pe","absurds"
"pea","absurdum"
"pe'a","absvolt"
"pefu","abt"
"pei","abterminal"
"peita'i","abthain"
"pele","abthainry"
"peleue","abthainrie"
"pelu","abthanage"
"peni","abtruse"
"penisini","Abu"
"penisione","abubble"
"pepa","Abu-Bekr"
"pepe","Abucay"
"pepelo","abucco"
"peresetene","abuilding"
"peresitene","Abukir"
"Peretania","abuleia"
"perofeta","Abulfeda"
"pese","abulia"
"pesipolo","abulias"
"peti","abulic"
"pi","abulyeit"
"pia","abulomania"
"piano","abumbral"
"pili","abumbrellar"
"piliki","Abuna"
"piliona","abundance"
"pinati","abundances"
"pine","abundancy"
"piniki","abundant"
"pi'o","Abundantia"
"pi'opi'o","abundantly"
"pisapisao","abune"
"pisi","abura"
"pisinisi","aburabozu"
"pitch","aburagiri"
"pito","aburban"
"pitonuu","Abury"
"pizza","aburst"
"pm","aburton"
"po","abusable"
"pogisa","abusage"
"polo","abuse"
"poloaiga","abused"
"polofesa","abusedly"
"pologa","abusee"
"poloka","abuseful"
"polokalame","abusefully"
"polokiki","abusefulness"
"polotini","abuser"
"pomu","abusers"
"ponesi","abuses"
"pop","abush"
"pope","abusing"
"popole","abusion"
"popolevale","abusious"
"poto","abusive"
"potopoto","abusively"
"potopotoga","abusiveness"
"potu","abusivenesses"
"potuaoga","abut"
"potumoe","Abuta"
"pou","Abutilon"
"povi","abutilons"
"pro","abutment"
"pu","abutments"
"puaa","abuts"
"puapuaga","abuttal"
"pu'e","abuttals"
"pueata","abutted"
"pueina","abutter"
"pu'eina","abutters"
"puipui","abutter's"
"puipuia","abutting"
"puipuiga","abuzz"
"pule","abv"
"pulea","abvolt"
"puleaga","abvolts"
"puleaoga","abwab"
"pulega","abwatt"
"pulenuu","abwatts"
"puletaofia","ac"
"pulou","ac-"
"puloutau","a-c"
"pulufana","AC/DC"
"pulumu","ACAA"
"pulupulu","Acacallis"
"puna","acacatechin"
"puna'oa","acacatechol"
"punou","Acacea"
"pupula","Acaceae"
"pupuna","acacetin"
"pupuni","Acacia"
"pusa","Acacian"
"pusi","acacias"
"puupuu","acaciin"
"quantum","acacin"
"quarterback","acacine"
"radar","acad"
"republican","academe"
"resitala","academes"
"resitalaina","Academy"
"robot","academia"
"roketi","academial"
"Roma","academian"
"rosa","academias"
"saeia","Academic"
"saienitisi","academical"
"saili","academically"
"sailiga","academicals"
"Saina","academician"
"saini","academicians"
"saisaitia","academicianship"
"saito","academicism"
"saito","academics"
"sakete","academie"
"salalau","academies"
"salati","academy's"
"salu","academise"
"samala","academised"
"samani","academising"
"sami","academism"
"sana","academist"
"sanuisi","academite"
"sao","academization"
"sa'o","academize"
"saoasaoa","academized"
"saofaga","academizing"
"saogalemu","Academus"
"saoloto","Acadia"
"saolotoga","acadialite"
"sa'olotoga","Acadian"
"sapalai","Acadie"
"sasa","Acaena"
"sasaa","acajou"
"sasa'e","acajous"
"sasau","acal"
"sase","acalculia"
"satauro","acale"
"satelite","acaleph"
"satini","Acalepha"
"sau","Acalephae"
"sauā","acalephan"
"sauaga","acalephe"
"sau'ai","acalephes"
"sauni","acalephoid"
"saunia","acalephs"
"sauniga","Acalia"
"sauniuniga","acalycal"
"saute","acalycine"
"sautesasae","acalycinous"
"savali","acalyculate"
"savili","Acalypha"
"seasea","Acalypterae"
"see","Acalyptrata"
"seevae","Acalyptratae"
"sefulu","acalyptrate"
"seia","Acamar"
"sekia","Acamas"
"sela","Acampo"
"selau","acampsia"
"senate","acana"
"senatoa","acanaceous"
"sene","acanonical"
"seneturi","acanth"
"seoli","acanth-"
"server","acantha"
"sese","Acanthaceae"
"Sese","acanthaceous"
"sesega","acanthad"
"Setema","Acantharia"
"setete","acanthi"
"seti","Acanthia"
"siaki","acanthial"
"siama","acanthin"
"Siamani","acanthine"
"siamupini","acanthion"
"siata","acanthite"
"sifi","acantho-"
"siitaga","acanthocarpous"
"siitia","Acanthocephala"
"sikaleti","acanthocephalan"
"sikauti","Acanthocephali"
"sikola","acanthocephalous"
"sikolasipi","Acanthocereus"
"sikuea","acanthocladous"
"silafia","Acanthodea"
"sili","acanthodean"
"silika","Acanthodei"
"silisili","Acanthodes"
"siliva","acanthodian"
"sima","Acanthodidae"
"sini","Acanthodii"
"sioa","Acanthodini"
"sioki","acanthoid"
"siomia","Acantholimon"
"si'omia","acantholysis"
"siosiomaga","acanthology"
"si'osi'omaga","acanthological"
"sipai","acanthoma"
"Sipaniolo","acanthomas"
"sipela","Acanthomeridae"
"sipuni","acanthon"
"sipuniti","Acanthopanax"
"sisi","Acanthophis"
"sisifo","acanthophorous"
"sitaili","acanthopod"
"siteki","acanthopodous"
"sitiseni","acanthopomatous"
"si'uleo","acanthopore"
"si'usi'u","acanthopteran"
"siva","Acanthopteri"
"sivili","acanthopterygian"
"slam","Acanthopterygii"
"sm","acanthopterous"
"soa","acanthoses"
"so'a","acanthosis"
"soda","acanthotic"
"sodium","acanthous"
"sogi","Acanthuridae"
"soka","Acanthurus"
"sola","acanthus"
"soli","acanthuses"
"soliga","acanthuthi"
"solitu","acapnia"
"solitulafono","acapnial"
"solo","acapnias"
"solofanua","acappella"
"soloi","acapsular"
"sone","acapu"
"soo","Acapulco"
"so'o","acara"
"soofaatasi","Acarapis"
"sooga","acarari"
"so'oga","acardia"
"sootaga","acardiac"
"sooupu","acardite"
"sosaiete","acari"
"sosi","acarian"
"sosoo","acariasis"
"soviet","acariatre"
"steak","acaricidal"
"sua","acaricide"
"suafa","acarid"
"suamalie","Acarida"
"suauu","acaridae"
"su'e","acaridan"
"su'ega","acaridans"
"su'esu'e","Acaridea"
"su'esu'ega","acaridean"
"sui","acaridomatia"
"suiga","acaridomatium"
"suilapalapa","acarids"
"suite","acariform"
"suitulaga","Acarina"
"suka","acarine"
"sukalati","acarines"
"supa","acarinosis"
"supavaisa","Acarnan"
"Suria","acarocecidia"
"susu","acarocecidium"
"susulu","acarodermatitis"
"suti","acaroid"
"ta'alo","acarol"
"taaloga","acarology"
"ta'aloga","acarologist"
"taamilosaga","acarophilous"
"ta'amilosaga","acarophobia"
"taavale","acarotoxic"
"ta'avale","acarpellous"
"taavaletoso","acarpelous"
"ta'e","acarpous"
"taeao","Acarus"
"ta'ele","ACAS"
"ta'elega","acast"
"tafailagi","Acastus"
"tafe","acatalectic"
"tafetafea","acatalepsy"
"tafola","acatalepsia"
"taga","acataleptic"
"tagamea","acatallactic"
"tagata","acatamathesia"
"tagatanuu","acataphasia"
"tagi","acataposis"
"tai","acatastasia"
"taia","acatastatic"
"taiala","acate"
"taika","acategorical"
"taimane","acater"
"taimi","acatery"
"taitai","acates"
"ta'ita'i","acatharsy"
"taitaifono","acatharsia"
"taitaiga","acatholic"
"taitasi","acaudal"
"tala","acaudate"
"tālā","acaudelescent"
"talaaga","acaulescence"
"talafaamaumau","acaulescent"
"talafaasolopito","acauline"
"talafatu","acaulose"
"talafeagai","acaulous"
"tala'i","ACAWS"
"talanoa","ACB"
"talanoaga","ACBL"
"talanoaina","ACC"
"talasua","acc."
"talatala","acca"
"talatalanoaga","accable"
"talatuu","Accad"
"talatu'u","accademia"
"talavai","Accadian"
"talavou","Accalia"
"taleni","acce"
"talenia","accede"
"tali","acceded"
"talia","accedence"
"taliaina","acceder"
"talie","acceders"
"taliga","accedes"
"talimalo","acceding"
"talipalau","accel"
"talisapaia","accel."
"talita","accelerable"
"talitonu","accelerando"
"talitonuga","accelerant"
"talitonuina","accelerate"
"talofa","accelerated"
"talosaga","acceleratedly"
"tama","accelerates"
"tama'i","accelerating"
"tama'ita'i","acceleratingly"
"tamamatua","acceleration"
"tamaoaiga","accelerations"
"tamatamailima","accelerative"
"tamatamaivae","accelerator"
"tamato","acceleratory"
"tamo'e","accelerators"
"tane","accelerograph"
"tanoa","accelerometer"
"tanu","accelerometers"
"tao","accelerometer's"
"taofi","accend"
"taofiga","accendibility"
"taofiofiga","accendible"
"taoto","accensed"
"taotoga","accension"
"tap","accensor"
"tapaa","accent"
"tapeina","accented"
"tapoleni","accenting"
"tapolo","accentless"
"tapula'a","accentor"
"tapulima","accentors"
"tapuni","accents"
"tapunia","accentuable"
"tapuvae","accentual"
"tarako","accentuality"
"taseni","accentually"
"tasi","accentuate"
"tatala","accentuated"
"tatalo","accentuates"
"tatau","accentuating"
"tatou","accentuation"
"tau","accentuations"
"taua","accentuator"
"ta'ua","accentus"
"tauagafau","accept"
"tauagavale","acceptability"
"taualoa","acceptabilities"
"taualuga","acceptable"
"taualumaga","acceptableness"
"tauamiotonuina","acceptably"
"tauaofiaga","acceptance"
"tauaso","acceptances"
"tauau","acceptance's"
"taufaafefe","acceptancy"
"taufaamatau","acceptancies"
"taufaasese","acceptant"
"taugata","acceptation"
"taugofie","acceptavit"
"taui","accepted"
"tauimasui","acceptedly"
"tauiviga","acceptee"
"taula","acceptees"
"taulaga","accepter"
"taula'i","accepters"
"tauleleia","acceptilate"
"taumafa","acceptilated"
"taumafai","acceptilating"
"taumafaiga","acceptilation"
"taumafanafana","accepting"
"taumafataga","acceptingly"
"taumalulu","acceptingness"
"taumatau","acception"
"taumatematega","acceptive"
"taumua","acceptor"
"taunuu","acceptors"
"taunuuga","acceptor's"
"tauofo","acceptress"
"taupulepulega","accepts"
"tausaga","accerse"
"tausalaina","accersition"
"tausamiga","accersitor"
"tausi","access"
"tausia","accessability"
"tausiga","accessable"
"tausimai","accessary"
"tausisi","accessaries"
"tausisia","accessarily"
"tausitusi","accessariness"
"tautala","accessaryship"
"tautalaga","accessed"
"tautau","accesses"
"ta'uta'ua","accessibility"
"tautevateva","accessibilities"
"tautino","accessible"
"ta'utino","accessibleness"
"tautinoga","accessibly"
"ta'utinoga","accessing"
"tautotogo","accession"
"tautua","accessional"
"tauva","accessioned"
"tauvaga","accessioner"
"teena","accessioning"
"te'i","accessions"
"teine","accession's"
"tekinolosi","accessit"
"tele","accessive"
"telefoni","accessively"
"telegese","accessless"
"televise","accessor"
"temoni","accessory"
"tenisi","accessorial"
"tepa","accessories"
"teritori","accessorii"
"teropika","accessorily"
"Tesema","accessoriness"
"tete'a","accessory's"
"tetee","accessorius"
"tete'e","accessoriusorii"
"tetele","accessorize"
"teuga","accessorized"
"teuina","accessorizing"
"teuteu","accessors"
"teuteuga","accessor's"
"teutupe","acciaccatura"
"teutusi","acciaccaturas"
"tiapolo","acciaccature"
"tietie","accidence"
"ti'eti'e","accidency"
"tifato","accidencies"
"tiga","accident"
"tigaalofa","accidental"
"tikeri","accidentalism"
"tiketi","accidentalist"
"tiliona","accidentality"
"timuga","accidentally"
"tina","accidentalness"
"tinamatua","accidentals"
"tino","accidentary"
"tinoitupe","accidentarily"
"tioata","accidented"
"tipi","accidential"
"tipolo","accidentiality"
"tisiki","accidently"
"tiute","accident-prone"
"tō","accidents"
"toa","accidia"
"toafa","accidias"
"toaga","accidie"
"toalaiti","accidies"
"to'alua","accinge"
"toatasi","accinged"
"toe","accinging"
"toeaina","accipenser"
"toesea","accipient"
"tofa","Accipiter"
"tofi","accipitral"
"tofia","accipitrary"
"tofiga","Accipitres"
"tofo","accipitrine"
"togafiti","accipter"
"togafitiga","accise"
"togalaau","accismus"
"togavao","accite"
"togi","Accius"
"togiga","acclaim"
"toilalo","acclaimable"
"tolauapiga","acclaimed"
"toll","acclaimer"
"tolu","acclaimers"
"tomai","acclaiming"
"tonu","acclaims"
"toomaga","acclamation"
"tootoo","acclamations"
"toso","acclamator"
"totini","acclamatory"
"toto","acclimatable"
"totoe","acclimatation"
"totogi","acclimate"
"totogifuapauina","acclimated"
"totonu","acclimatement"
"totonugalemu","acclimates"
"tua","acclimating"
"tuaa","acclimation"
"tuafafine","acclimations"
"tuafale","acclimatisable"
"tuagane","acclimatisation"
"tuai","acclimatise"
"tuaoi","acclimatised"
"tuasivi","acclimatiser"
"tuatusi","acclimatising"
"tufatufa","acclimatizable"
"tufatufaga","acclimatization"
"tufuga","acclimatizations"
"tui","acclimatize"
"tu'i","acclimatized"
"tu'imomomo","acclimatizer"
"tu'inanau","acclimatizes"
"tu'itu'i","acclimatizing"
"tulafono","acclimature"
"tulaga","acclinal"
"tulagalua","acclinate"
"tula'i","acclivity"
"tulaueleele","acclivities"
"tulei","acclivitous"
"tuliga","acclivous"
"tulilima","accloy"
"tuliloa","accoast"
"tulimanu","accoy"
"tulituliloa","accoyed"
"tulivae","accoying"
"tului","accoil"
"tumaoti","Accokeek"
"tumau","accolade"
"tumo","accoladed"
"tumu","accolades"
"tumutumu","accolated"
"tupe","accolent"
"tupu","accoll"
"tupuaga","accolle"
"tupulaga","accolled"
"turisi","accollee"
"Turkey","Accomac"
"tusa","accombination"
"tusi","accommodable"
"tusia","accommodableness"
"tusiata","accommodate"
"tusigaigoa","accommodated"
"tusisolo","accommodately"
"tusitala","accommodateness"
"tusitusi","accommodates"
"tusitusiga","accommodating"
"tutoatasi","accommodatingly"
"tutu","accommodatingness"
"tutusa","accommodation"
"tuu","accommodational"
"tu'u","accommodationist"
"tu'ua'i","accommodations"
"tuuaia","accommodative"
"tuuaiga","accommodatively"
"tu'uaiga","accommodativeness"
"tuuesea","accommodator"
"tuueseese","accommodators"
"tu'ufa'atasiga","accomodate"
"tuʻufua","accompanable"
"tuuga","accompany"
"tu'uga","accompanied"
"tuugamau","accompanier"
"tuulafoaiina","accompanies"
"tuusao","accompanying"
"tuusaunoaga","accompanyist"
"tuuto","accompaniment"
"tuutuuga","accompanimental"
"tv","accompaniments"
"twitter","accompaniment's"
"u","accompanist"
"ua","accompanists"
"uaea","accompanist's"
"uafu","accomplement"
"uaina","accompletive"
"uamea","accompli"
"uati","accomplice"
"ufimata","accomplices"
"ufiufi","accompliceship"
"u-huh","accomplicity"
"uiga","accomplis"
"uila","accomplish"
"uili","accomplishable"
"ulavale","accomplished"
"ulo","accomplisher"
"ulu","accomplishers"
"ulufafo","accomplishes"
"ulufale","accomplishing"
"ulugalii","accomplishment"
"ulupoo","accomplishments"
"ulutala","accomplishment's"
"um","accomplisht"
"uma","accompt"
"umi","accord"
"umia","accordable"
"umu","accordance"
"umukuka","accordances"
"uncle","accordancy"
"uo","accordant"
"upega","accordantly"
"upegatafa'ilagi","accordatura"
"upu","accordaturas"
"upusii","accordature"
"urosa","accorded"
"usitaia","accorder"
"uso","accorders"
"uta","according"
"ute","accordingly"
"uu","accordion"
"uumau","accordionist"
"va","accordionists"
"vaa","accordions"
"va'a","accordion's"
"vaai","accords"
"vaaia","accorporate"
"vaaiga","accorporation"
"va'aiga","accost"
"vaalele","accostable"
"vaapiapi","accosted"
"vae","accosting"
"vaega","accosts"
"vaeluaga","accouche"
"vaeluaina","accouchement"
"vaetamaina","accouchements"
"vaevae","accoucheur"
"vaevaega","accoucheurs"
"vai","accoucheuse"
"vaiaso","accoucheuses"
"vaiasosa","accounsel"
"vailaau","account"
"vaila'au","accountability"
"vailaʻau","accountabilities"
"vairusi","accountable"
"vaisu","accountableness"
"vaita'ele","accountably"
"vaitafe","accountancy"
"vaitaimi","accountancies"
"vaitamini","accountant"
"vaitau","accountants"
"vaituloto","accountant's"
"vaivai","accountantship"
"valaau","accounted"
"valaaulia","accounter"
"vale","accounters"
"valea","accounting"
"vali","accountings"
"valo'aga","accountment"
"valu","accountrement"
"vampire","accounts"
"van","accouple"
"vaneina","accouplement"
"vanu","accourage"
"vao","accourt"
"vaomatua","accouter"
"vasa","accoutered"
"vasega","accoutering"
"vavalalata","accouterment"
"vavalo","accouterments"
"vave","accouters"
"vaveao","accoutre"
"vavega","accoutred"
"vevela","accoutrement"
"vevesi","accoutrements"
"viiga","accoutres"
"vili","accoutring"
"vilivili","Accoville"
"vitio","ACCRA"
"volenitia","accrease"
