"Swahili","English"
"kutoka","absolutize"
"kutokana","absolutory"
"kutokea","absolvable"
"kutokubaliana","absolvatory"
"kutokuwepo","absolve"
"kutolewa","absolved"
"kutoroka","absolvent"
"kutosha","absolver"
"kutoweka","absolvers"
"kutua","absolves"
"kutuliza","absolving"
"kutumia","absolvitor"
"kutumika","absolvitory"
"kutunga","absonant"
"kutupa","absonous"
"kutupwa","absorb"
"kuu","absorbability"
"kuua","absorbable"
"kuuma","absorbance"
"kuumia","absorbancy"
"kuumiza","absorbant"
"kuunda","absorbed"
"kuungana","absorbedly"
"kuunganisha","absorbedness"
"kuungua","absorbefacient"
"kuuza","absorbency"
"kuvaa","absorbencies"
"kuvamia","absorbent"
"kuvumilia","absorbents"
"kuvunjwa","absorber"
"kuvuruga","absorbers"
"kuvutia","absorbing"
"kuwa","absorbingly"
"kuwahudumia","absorbition"
"kuwajibika","absorbs"
"kuwakilisha","absorbtion"
"kuwasili","absorpt"
"kuwasiliana","absorptance"
"kuweka","absorptiometer"
"kuwepo","absorptiometric"
"kuwezesha","absorption"
"kuwinda","absorptional"
"kuyeyuka","absorptions"
"kuzalisha","absorption's"
"kuzaliwa","absorptive"
"kuzama","absorptively"
"kuzika","absorptiveness"
"kuzimu","absorptivity"
"kuzingatia","absquatulate"
"kuzuia","absquatulation"
"kuzunguka","abstain"
"kuzungumza","abstained"
"kwa","abstainer"
"kwaheri","abstainers"
"kwanza","abstaining"
"kweli","abstainment"
"Kweli","abstains"
"kwenda","abstemious"
"kwenye","abstemiously"
"kwingineko","abstemiousness"
"labda","abstention"
"ladha","abstentionism"
"lafudhi","abstentionist"
"laini","abstentions"
"lakini","abstentious"
"lala","absterge"
"lami","absterged"
"lango","abstergent"
"lawama","absterges"
"lax","absterging"
"lazima","absterse"
"lazimisha","abstersion"
"lebo","abstersive"
"lengo","abstersiveness"
"lenzi","abstertion"
"leo","abstinence"
"leseni","abstinences"
"leza","abstinency"
"licha","abstinent"
"lifti","abstinential"
"ligi","abstinently"
"likizo","abstort"
"limau","abstr"
"lini","abstract"
"lishe","abstractable"
"logi","abstracted"
"lori","abstractedly"
"lugha","abstractedness"
"Luteni","abstracter"
"lyrics","abstracters"
"maabara","abstractest"
"maadili","abstracting"
"maalum","abstraction"
"Maalum","abstractional"
"maambukizi","abstractionism"
"maana","abstractionist"
"maandalizi","abstractionists"
"maandamano","abstractions"
"maandiko","abstraction's"
"maandishi","abstractitious"
"maarifa","abstractive"
"maarufu","abstractively"
"mabadiliko","abstractiveness"
"mabishano","abstractly"
"machafuko","abstractness"
"macho","abstractnesses"
"machozi","abstractor"
"machungwa","abstractors"
"machweo","abstractor's"
"mada","abstracts"
"madai","abstrahent"
"madhara","abstrict"
"madhubuti","abstricted"
"maduka","abstricting"
"maegesho","abstriction"
"maelekezo","abstricts"
"maelewano","abstrude"
"maelezo","abstruse"
"maendeleo","abstrusely"
"mafanikio","abstruseness"
"mafundisho","abstrusenesses"
"mafunzo","abstruser"
"mafuriko","abstrusest"
"mafuta","abstrusion"
"mageuzi","abstrusity"
"magharibi","abstrusities"
"magugu","absume"
"magumu","absumption"
"mahakama","absurd"
"mahali","absurder"
"maharagwe","absurdest"
"maharamia","absurdism"
"mahindi","absurdist"
"mahitaji","absurdity"
"mahojiano","absurdities"
"mahudhurio","absurdity's"
"maili","absurdly"
"maisha","absurdness"
"maiti","absurds"
"majaribio","absurdum"
"majeruhi","absvolt"
"maji","abt"
"majibu","abterminal"
"majimaji","abthain"
"majivu","abthainry"
"majonzi","abthainrie"
"majuto","abthanage"
"makadirio","abtruse"
"makala","Abu"
"makali","abubble"
"makamu","Abu-Bekr"
"makazi","Abucay"
"makini","abucco"
"maktaba","abuilding"
"makubaliano","Abukir"
"makubwa","abuleia"
"makumbusho","Abulfeda"
"malaika","abulia"
"malalamiko","abulias"
"malazi","abulic"
"malezi","abulyeit"
"mali","abulomania"
"malipo","abumbral"
"malisho","abumbrellar"
"malkia","Abuna"
"mama","abundance"
"mambo","abundances"
"mamlaka","abundancy"
"mandamanaji","abundant"
"mandhari","Abundantia"
"maneno","abundantly"
"mantiki","abune"
"manufaa","abura"
"maombi","aburabozu"
"maoni","aburagiri"
"maono","aburban"
"maonyesho","Abury"
"mapafu","aburst"
"mapambano","aburton"
"mapato","abusable"
"mapema","abusage"
"mapendekezo","abuse"
"mapenzi","abused"
"mapinduzi","abusedly"
"mapishi","abusee"
"mapokezi","abuseful"
"mapumziko","abusefully"
"marehemu","abusefulness"
"marekebisho","abuser"
"maridadi","abusers"
"marudio","abuses"
"masafa","abush"
"mashariki","abusing"
"masharti","abusion"
"mashindano","abusious"
"mashine","abusive"
"mashtaka","abusively"
"mashua","abusiveness"
"mask","abusivenesses"
"maskini","abut"
"masoko","Abuta"
"matangazo","Abutilon"
"matarajio","abutilons"
"mate","abutment"
"mateka","abutments"
"matengenezo","abuts"
"mateso","abuttal"
"matibabu","abuttals"
"matofali","abutted"
"matokeo","abutter"
"matope","abutters"
"matumaini","abutter's"
"matumizi","abutting"
"matunda","abuzz"
"mauaji","abv"
"maudhui","abvolt"
"maumbile","abvolts"
"maumivu","abwab"
"mauti","abwatt"
"mauzo","abwatts"
"mavazi","ac"
"mavuno","ac-"
"mawasiliano","a-c"
"mawazo","AC/DC"
"mazao","ACAA"
"mazingira","Acacallis"
"mazishi","acacatechin"
"maziwa","acacatechol"
"mazoezi","Acacea"
"mazungumzo","Acaceae"
"mbadala","acacetin"
"mbali","Acacia"
"mbalimbali","Acacian"
"mbao","acacias"
"mbaya","acaciin"
"mbegu","acacin"
"mbele","acacine"
"mbichi","acad"
"mbili","academe"
"mbinguni","academes"
"mbinu","Academy"
"mbio","academia"
"mboga","academial"
"mbunge","academian"
"mbunifu","academias"
"mbuzi","Academic"
"mbwa","academical"
"mchakataji","academically"
"mchakato","academicals"
"mchambuzi","academician"
"mchana","academicians"
"mchanga","academicianship"
"mchanganyiko","academicism"
"mchangiaji","academics"
"mchango","academie"
"mchapishaji","academies"
"mchawi","academy's"
"mchele","academise"
"mchezaji","academised"
"mchezo","academising"
"mchongaji","academism"
"mchoraji","academist"
"mchoro","academite"
"mchujo","academization"
"mchungaji","academize"
"mchuuzi","academized"
"mchuzi","academizing"
"mdogo","Academus"
"mdomo","Acadia"
"mduara","acadialite"
"mdudu","Acadian"
"mdundo","Acadie"
"mechi","Acaena"
"medali","acajou"
"meli","acajous"
"Meneja","acal"
"mengi","acalculia"
"menyu","acale"
"mexican","acaleph"
"meya","Acalepha"
"meza","Acalephae"
"mfadhili","acalephan"
"mfalme","acalephe"
"mfanano","acalephes"
"mfano","acalephoid"
"mfanyabiashara","acalephs"
"mfanyakazi","Acalia"
"mfuasi","acalycal"
"mfuko","acalycine"
"mfukoni","acalycinous"
"mfululizo","acalyculate"
"mfumo","Acalypha"
"mfungwa","Acalypterae"
"mfupa","Acalyptrata"
"mfupi","Acalyptratae"
"mgahawa","acalyptrate"
"mgawanyiko","Acamar"
"mgeni","Acamas"
"mgogoro","Acampo"
"mgombea","acampsia"
"mgomo","acana"
"mgonjwa","acanaceous"
"mguu","acanonical"
"mh","acanth"
"mhamiaji","acanth-"
"mhandisi","acantha"
"mhariri","Acanthaceae"
"mhojiwa","acanthaceous"
"mia","acanthad"
"mienendo","Acantharia"
"mila","acanthi"
"milele","Acanthia"
"milioni","acanthial"
"milki","acanthin"
"mimba","acanthine"
"mimea","acanthion"
"mimi","acanthite"
"mimina","acantho-"
"mionzi","acanthocarpous"
"misaada","Acanthocephala"
"miss","acanthocephalan"
"misuli","Acanthocephali"
"mita","acanthocephalous"
"mitambo","Acanthocereus"
"mitende","acanthocladous"
"miundombinu","Acanthodea"
"mizani","acanthodean"
"mjadala","Acanthodei"
"mjasiriamali","Acanthodes"
"mjeledi","acanthodian"
"mji","Acanthodidae"
"mjinga","Acanthodii"
"mjini","Acanthodini"
"mjomba","acanthoid"
"mkaguzi","Acantholimon"
"mkahawa","acantholysis"
"mkakati","acanthology"
"mkali","acanthological"
"mkanda","acanthoma"
"Mkandarasi","acanthomas"
"mkanganyiko","Acanthomeridae"
"mkarimu","acanthon"
"mkataba","Acanthopanax"
"mkate","Acanthophis"
"mkatili","acanthophorous"
"mkatoliki","acanthopod"
"mkazi","acanthopodous"
"mkazo","acanthopomatous"
"mke","acanthopore"
"mkia","acanthopteran"
"mkimbiaji","Acanthopteri"
"mkimbizi","acanthopterygian"
"mkoa","Acanthopterygii"
"mkokoteni","acanthopterous"
"mkoloni","acanthoses"
"mkondo","acanthosis"
"mkongwe","acanthotic"
"mkono","acanthous"
"mkopo","Acanthuridae"
"mkosaji","Acanthurus"
"mkosoaji","acanthus"
"mkristo","acanthuses"
"mkubwa","acanthuthi"
"mkufunzi","acapnia"
"mkulima","acapnial"
"mkunjo","acapnias"
"mkurugenzi","acappella"
"mkusanyiko","acapsular"
"mkutano","acapu"
"mkuu","Acapulco"
"mkwaruzo","acara"
"mlango","Acarapis"
"mlangoni","acarari"
"mlevi","acardia"
"mlezi","acardiac"
"mlima","acardite"
"mlingano","acari"
"mlinzi","acarian"
"mlipuko","acariasis"
"mlo","acariatre"
"mlolongo","acaricidal"
"mm","acaricide"
"mmarekani","acarid"
"mmea","Acarida"
"mm-hmm","acaridae"
"mmiliki","acaridan"
"mnajimu","acaridans"
"mnara","Acaridea"
"mnunuzi","acaridean"
"mnyama","acaridomatia"
"mnyororo","acaridomatium"
"moja","acarids"
"molekuli","acariform"
"moshi","Acarina"
"motisha","acarine"
"moto","acarines"
"motor","acarinosis"
"moyo","Acarnan"
"mpaka","acarocecidia"
"mpangilio","acarocecidium"
"mpango","acarodermatitis"
"mpasuko","acaroid"
"mpelelezi","acarol"
"mpendwa","acarology"
"mpenzi","acarologist"
"mpiganaji","acarophilous"
"mpini","acarophobia"
"mpinzani","acarotoxic"
"mpira","acarpellous"
"mpishi","acarpelous"
"mpito","acarpous"
"mpokeaji","Acarus"
"mpole","ACAS"
"mpya","acast"
"mraba","Acastus"
"mradi","acatalectic"
"mratibu","acatalepsy"
"mrefu","acatalepsia"
"mrembo","acataleptic"
"mrengo","acatallactic"
"msaada","acatamathesia"
"msafiri","acataphasia"
"msaidizi","acataposis"
"msalaba","acatastasia"
"Msamiati","acatastatic"
"msanii","acate"
"msemaji","acategorical"
"mshahara","acater"
"mshairi","acatery"
"mshale","acates"
"mshangao","acatharsy"
"mshauri","acatharsia"
"mshiko","acatholic"
"mshindani","acaudal"
"mshindi","acaudate"
"mshindwi","acaudelescent"
"mshirika","acaulescence"
"mshiriki","acaulescent"
"mshtakiwa","acauline"
"mshtuko","acaulose"
"mshumaa","acaulous"
"msiba","ACAWS"
"msichana","ACB"
"msikilizaji","ACBL"
"msimamizi","ACC"
"msimamo","acc."
"msimu","acca"
"msimulizi","accable"
"msingi","Accad"
"Msiria","accademia"
"msisimko","Accadian"
"msisitizo","Accalia"
"msitu","acce"
"msituni","accede"
"msomaji","acceded"
"msongamano","accedence"
"mstaafu","acceder"
"mstari","acceders"
"msukumo","accedes"
"msumari","acceding"
"msururu","accel"
"mtaa","accel."
"mtaala","accelerable"
"mtaalam","accelerando"
"mtaalamu","accelerant"
"mtaani","accelerate"
"mtafiti","accelerated"
"mtaji","acceleratedly"
"mtakatifu","accelerates"
"mtalii","accelerating"
"mtandao","acceleratingly"
"mtandaoni","acceleration"
"mtazamaji","accelerations"
"mtazamo","accelerative"
"mtego","accelerator"
"mteja","acceleratory"
"mtendaji","accelerators"
"mtengenezaji","accelerograph"
"mteremko","accelerometer"
"mtetezi","accelerometers"
"mteule","accelerometer's"
"mti","accend"
"mtihani","accendibility"
"mtindo","accendible"
"mtiririko","accensed"
"mto","accension"
"Mto","accensor"
"mtoaji","accent"
"mtoto","accented"
"mtozaji","accenting"
"mtu","accentless"
"mtuhumiwa","accentor"
"mtumiaji","accentors"
"mtumishi","accents"
"mtumwa","accentuable"
"mtungi","accentual"
"mtupu","accentuality"
"muda","accentually"
"muhimu","accentuate"
"Muhindi","accentuated"
"muhtasari","accentuates"
"muhuri","accentuating"
"muingereza","accentuation"
"muislamu","accentuations"
"muktadha","accentuator"
"mume","accentus"
"mungu","accept"
"Mungu","acceptability"
"muongo","acceptabilities"
"muswada","acceptable"
"muuaji","acceptableness"
"muuguzi","acceptably"
"muujiza","acceptance"
"muumba","acceptances"
"muumini","acceptance's"
"muundo","acceptancy"
"muungano","acceptancies"
"Muungano","acceptant"
"muungwana","acceptation"
"muuzaji","acceptavit"
"muziki","accepted"
"mvinyo","acceptedly"
"mvivu","acceptee"
"mvua","acceptees"
"mvuke","accepter"
"mvutano","accepters"
"mvuto","acceptilate"
"mwafrika","acceptilated"
"mwafrika-amerika","acceptilating"
"Mwairani","acceptilation"
"mwajiri","accepting"
"mwaka","acceptingly"
"mwakilishi","acceptingness"
"mwaliko","acception"
"mwalimu","acceptive"
"mwaloni","acceptor"
"mwamba","acceptors"
"mwaminifu","acceptor's"
"mwana","acceptress"
"mwanachama","accepts"
"mwanachuoni","accerse"
"mwanademokrasia","accersition"
"mwanafunzi","accersitor"
"mwanaharakati","access"
"mwanaharamu","accessability"
"mwanahistoria","accessable"
"mwanamke","accessary"
"mwanamuziki","accessaries"
"mwananchi","accessarily"
"mwanariadha","accessariness"
"mwanasaikolojia","accessaryship"
"mwanasayansi","accessed"
"mwanasesere","accesses"
"Mwanasheria","accessibility"
"mwanasiasa","accessibilities"
"mwanauchumi","accessible"
"mwandamizi","accessibleness"
"mwandishi","accessibly"
"mwanga","accessing"
"mwangalizi","accession"
"mwangwi","accessional"
"mwanzilishi","accessioned"
"mwanzo","accessioner"
"mwasi","accessioning"
"mwasia","accessions"
"mwathirika","accession's"
"mwekezaji","accessit"
"mwelekeo","accessive"
"mwendawazimu","accessively"
"mwendeshaji","accessless"
"mwendo","accessor"
"mwenendo","accessory"
"mwenyeji","accessorial"
"mwenyekiti","accessories"
"mwenyewe","accessorii"
"mwenzake","accessorily"
"mwenzetu","accessoriness"
"mwenzi","accessory's"
"mwenzio","accessorius"
"mwerevu","accessoriusorii"
"mwezi","accessorize"
"mwigizaji","accessorized"
"mwili","accessorizing"
"mwimbaji","accessors"
"mwindaji","accessor's"
"mwindaji","acciaccatura"
"mwingiliano","acciaccaturas"
"mwingine","acciaccature"
"mwinuko","accidence"
"mwisho","accidency"
"mwitikio","accidencies"
"mwitu","accident"
"mwizi","accidental"
"mwonekano","accidentalism"
"mwongo","accidentalist"
"mwongozo","accidentality"
"Myahudi","accidentally"
"mzaha","accidentalness"
"mzalishaji","accidentals"
"mzazi","accidentary"
"mzee","accidentarily"
"mzeituni","accidented"
"mzigo","accidential"
"mzima","accidentiality"
"mzimu","accidently"
"mzizi","accident-prone"
"mzozo","accidents"
"mzulia","accidia"
"mzunguko","accidias"
"mzungumzaji","accidie"
"mzuri","accidies"
"na","accinge"
"na/au","accinged"
"nabii","accinging"
"nadhani","accipenser"
"nadharia","accipient"
"nadra","Accipiter"
"nafaka","accipitral"
"nafasi","accipitrary"
"nafsi","Accipitres"
"nafuu","accipitrine"
"nahodha","accipter"
"naibu","accise"
"nakala","accismus"
"nambari","accite"
"namna","Accius"
"nane","acclaim"
"nanga","acclaimable"
"nani","acclaimed"
"nasibu","acclaimer"
"nati","acclaimers"
"nawe","acclaiming"
"nchi","acclaims"
"ndani","acclamation"
"ndefu","acclamations"
"ndege","acclamator"
"Ndege","acclamatory"
"ndio","acclimatable"
"ndizi","acclimatation"
"ndoa","acclimate"
"ndoano","acclimated"
"ndogo","acclimatement"
"Ndogo","acclimates"
"ndoo","acclimating"
"ndoto","acclimation"
"ndugu","acclimations"
"neema","acclimatisable"
"nene","acclimatisation"
"neno","acclimatise"
"neva","acclimatised"
"ngano","acclimatiser"
"ngao","acclimatising"
"ngazi","acclimatizable"
"ngoma","acclimatization"
"ng'ombe","acclimatizations"
"ngome","acclimatize"
"ngono","acclimatized"
"ngozi","acclimatizer"
"ngumi","acclimatizes"
"ngumu","acclimatizing"
"nguo","acclimature"
"nguruwe","acclinal"
"nguvu","acclinate"
"nguzo","acclivity"
"Nguzo","acclivities"
"ni","acclivitous"
"nia","acclivous"
"niaba","accloy"
"nidhamu","accoast"
"nini","accoy"
"nishati","accoyed"
"njaa","accoying"
"njama","accoil"
"njano","Accokeek"
"nje","accolade"
"njia","accoladed"
"njoo","accolades"
"nne","accolated"
"Novemba","accolent"
"nukta","accoll"
"nukuu","accolle"
"nusu","accolled"
"nyama","accollee"
"nyangumi","Accomac"
"nyanja","accombination"
"nyanya","accommodable"
"nyasi","accommodableness"
"nyekundu","accommodate"
"nyembamba","accommodated"
"nyenzo","accommodately"
"nyeti","accommodateness"
"nyeupe","accommodates"
"nyeusi","accommodating"
"Nyika","accommodatingly"
"nyingi","accommodatingness"
"nyingine","accommodation"
"nyoka","accommodational"
"nyonga","accommodationist"
"nyongeza","accommodations"
"Nyororo","accommodative"
"nyota","accommodatively"
"nyuki","accommodativeness"
"nyuklia","accommodator"
"nyuma","accommodators"
"nyumba","accomodate"
"nyumbani","accompanable"
"nyundo","accompany"
"nyusi","accompanied"
"nyuzinyuzi","accompanier"
"nywele","accompanies"
"nzima","accompanying"
"nzito","accompanyist"
"nzuri","accompaniment"
"obiti","accompanimental"
"ofisi","accompaniments"
"oh","accompaniment's"
"oksijeni","accompanist"
"Oktoba","accompanists"
"Olimpiki","accompanist's"
"omba","accomplement"
"ombi","accompletive"
"ona","accompli"
"ondoa","accomplice"
"onekana","accomplices"
"ongeza","accompliceship"
"Ongeza","accomplicity"
"ongozana","accomplis"
"onya","accomplish"
"onyesha","accomplishable"
"Onyesha","accomplished"
"onyo","accomplisher"
"opera","accomplishers"
"operesheni","accomplishes"
"orodha","accomplishing"
"osha","accomplishment"
"paa","accomplishments"
"pacha","accomplishment's"
"paja","accomplisht"
"paka","accompt"
"pakiti","accord"
"pakua","accordable"
"pamba","accordance"
"pamoja","accordances"
"pampu","accordancy"
"pana","accordant"
"panda","accordantly"
"paneli","accordatura"
"panga","accordaturas"
"pango","accordature"
"panua","accorded"
"panya","accorder"
"papa","accorders"
"pata","according"
"pato","accordingly"
"pause","accordion"
"pazia","accordionist"
"pc","accordionists"
"pedi","accordions"
"peel","accordion's"
"pekee","accords"
"peleka","accorporate"
"pembe","accorporation"
"pembejeo","accost"
"pendekeza","accostable"
"pendekezo","accosted"
"pendelea","accosting"
"pengine","accosts"
"pengo","accouche"
"pensheni","accouchement"
"pepo","accouchements"
"pesa","accoucheur"
"pete","accoucheurs"
"petroli","accoucheuse"
"pia","accoucheuses"
"piano","accounsel"
"picha","account"
"piga","accountability"
"pigo","accountabilities"
"pili","accountable"
"pilipili","accountableness"
"pinda","accountably"
"pindua","accountancy"
"pine","accountancies"
"pingamizi","accountant"
"pini","accountants"
"pink","accountant's"
"pipa","accountantship"
"pipi","accounted"
"piss","accounter"
"pizza","accounters"
"plastiki","accounting"
"poda","accountings"
"polepole","accountment"
"polisi","accountrement"
"pombe","accounts"
"ponya","accouple"
"pop","accouplement"
"popo","accourage"
"popote","accourt"
"potea","accouter"
"pound","accoutered"
"pozi","accoutering"
"Privat","accouterment"
"pro","accouterments"
"profesa","accouters"
"programu","accoutre"
"propaganda","accoutred"
"protini","accoutrement"
"pua","accoutrements"
"pumua","accoutres"
"pumzi","accoutring"
"pumzika","Accoville"
"punda","ACCRA"
"punguza","accrease"
"punguzo","accredit"
"puto","accreditable"
"pwani","accreditate"
"rack","accreditation"
"rada","accreditations"
"radhi","accredited"
"rafiki","accreditee"
"rafu","accrediting"
"rahisi","accreditment"
"raia","accredits"
"rais","accrementitial"
"ramani","accrementition"
"ranchi","accresce"
"rangi","accrescence"
"rasilimali","accrescendi"
"rasimu","accrescendo"
"rasmi","accrescent"
"ratiba","accretal"
"ray","accrete"
"re","accreted"
"redio","accretes"
"rehani","accreting"
"rehema","accretion"
"rejareja","accretionary"
"rejea","accretions"
"rekebisha","accretion's"
"rekodi","accretive"
"reli","accriminate"
"rhetoric","Accrington"
"ridhaa","accroach"
"rika","accroached"
"ripoti","accroaching"
"risasi","accroachment"
"riwaya","accroides"
"robo","accruable"
"roboti","accrual"
"roho","accruals"
"roketi","accrue"
"roll","accrued"
"rookie","accruement"
"rose","accruer"
"rubani","accrues"
"rudisha","accruing"
"rufaa","ACCS"
"ruhusa","ACCT"
"ruka","acct."
"rundo","accts"
"rununu","accubation"
"rushwa","accubita"
"ruzuku","accubitum"
"saa","accubitus"
"saba","accueil"
"sababu","accultural"
"sabuni","acculturate"
"sadaka","acculturated"
"safari","acculturates"
"safi","acculturating"
"safiri","acculturation"
"safu","acculturational"
"sahani","acculturationist"
"sahau","acculturative"
"sahihi","acculturize"
"Sahihi","acculturized"
"saikolojia","acculturizing"
"sajenti","accum"
"sakafu","accumb"
"sakinisha","accumbency"
"saladi","accumbent"
"salama","accumber"
"salamu","accumulable"
"samahani","accumulate"
"samaki","accumulated"
"samani","accumulates"
"samehe","accumulating"
"sampuli","accumulation"
"sana","accumulations"
"sanaa","accumulativ"
"sanamu","accumulative"
"sanduku","accumulatively"
"sandwich","accumulativeness"
"sarafu","accumulator"
"saratani","accumulators"
"sare","accumulator's"
"sasa","accupy"
"sasisha","accur"
"satelaiti","accuracy"
"sauti","accuracies"
"sawa","accurate"
"sayansi","accurately"
"sayari","accurateness"
"Scan","accuratenesses"
"screw","accurre"
"sehemu","accurse"
"sekondari","accursed"
"sekta","accursedly"
"seli","accursedness"
"sema","accursing"
"seneta","accurst"
"seneti","accurtation"
"sensa","accus"
"sensor","accusable"
"sentensi","accusably"
"senti","accusal"
"Septemba","accusals"
"sera","accusant"
"serikali","accusants"
"serious","accusation"
"seti","accusations"
"seva","accusation's"
"shabiki","accusatival"
"shahada","accusative"
"shahidi","accusative-dative"
"shairi","accusatively"
"shajara","accusativeness"
"shaka","accusatives"
"shamba","accusator"
"shambulio","accusatory"
"shangazi","accusatorial"
"shati","accusatorially"
"shauku","accusatrix"
"shauri","accusatrixes"
"shavu","accuse"
"shawishi","accused"
"sherehe","accuser"
"sheria","accusers"
"sherifu","accuses"
"shetani","accusing"
"shida","accusingly"
"shika","accusive"
"shimo","accusor"
"shina","accustom"
"shindana","accustomation"
"shingo","accustomed"
"shinikizo","accustomedly"
"shirika","accustomedness"
"shiriki","accustoming"
"shirikiana","accustomize"
"shirikisho","accustomized"
"shit","accustomizing"
"shoga","accustoms"
"shtaki","Accutron"
"shughuli","ACD"
"shuhudia","ACDA"
"shujaa","AC-DC"
"Shukrani","ACE"
"shule","acea"
"si","aceacenaphthene"
"siagi","aceae"
"siasa","acean"
"sifa","aceanthrene"
"sigara","aceanthrenequinone"
"sikia","acecaffin"
"sikiliza","acecaffine"
"sikio","aceconitic"
"siku","aced"
"Sikukuu","acedy"
"silaha","acedia"
"silika","acediamin"
"simamia","acediamine"
"simba","acedias"
"simbamarara","acediast"
"simu","ace-high"
"simulizi","Acey"
"sindano","acey-deucy"
"single","aceite"
"siri","aceituna"
"sisi","Aceldama"
"sita","aceldamas"
"sitaha","acellular"
"sitiari","Acemetae"
"sivyo","Acemetic"
"skauti","acemila"
"sketi","acenaphthene"
"Skii","acenaphthenyl"
"skrini","acenaphthylene"
"slaidi","acenesthesia"
"slam","acensuada"
"sleeve","acensuador"
"sneak","acentric"
"soda","acentrous"
"sodiamu","aceology"
"soga","aceologic"
"soka","aceous"
"soko","acephal"
"soksi","Acephala"
"soma","acephalan"
"somo","Acephali"
"soviet","acephalia"
"spell","Acephalina"
"spin","acephaline"
"stahili","acephalism"
"starehe","acephalist"
"strip","Acephalite"
"studio","acephalocyst"
"suala","acephalous"
"subira","acephalus"
"subiri","acepots"
"sufuri","acequia"
"sufuria","acequiador"
"sugu","acequias"
"sukari","Acer"
"sukuma","Aceraceae"
"suluhisha","aceraceous"
"suluhisho","Acerae"
"sumbua","Acerata"
"sungura","acerate"
"supu","acerated"
"sura","Acerates"
"suruali","acerathere"
"suti","Aceratherium"
"swali","aceratosis"
"syndrome","acerb"
"taa","Acerbas"
"taaluma","acerbate"
"taarifa","acerbated"
"taasisi","acerbates"
"tabasamu","acerbating"
"tabia","acerber"
"tabiri","acerbest"
"tafadhali","acerbic"
"tafakari","acerbically"
"tafsiri","acerbity"
"tafuna","acerbityacerose"
"tafuta","acerbities"
"tagi","acerbitude"
"tai","acerbly"
"taifa","acerbophobia"
"tairi","acerdol"
"taja","aceric"
"taji","acerin"
"tajiri","acerli"
"takataka","acerola"
"takatifu","acerolas"
"takriban","acerose"
"takribani","acerous"
"takwimu","acerra"
"talaka","acers"
"talanta","acertannin"
"tamaa","acerval"
"tamani","acervate"
"tamasha","acervately"
"tambiko","acervatim"
"tambua","acervation"
"Tambua","acervative"
"tambulisha","acervose"
"tamko","acervuli"
"tamthiliya","acervuline"
"tamu","acervulus"
"tanga","aces"
"tangaza","ace's"
"tangazo","acescence"
"tangu","acescency"
"tanki","acescent"
"tano","acescents"
"tanuri","aceship"
"tarajia","Acesius"
"taratibu","acesodyne"
"Taratibu","acesodynous"
"tarehe","Acessamenus"
"taswira","Acestes"
"tathmini","acestoma"
"tatizo","acet-"
"tattoo","aceta"
"tatu","acetable"
"tawala","acetabula"
"tawi","acetabular"
"taya","Acetabularia"
"tayari","acetabuliferous"
"tazama","acetabuliform"
"tegemea","acetabulous"
"tegemezi","acetabulum"
"teke","acetabulums"
"teknolojia","acetacetic"
"teksi","acetal"
"televisheni","acetaldehydase"
"tembea","acetaldehyde"
"tembelea","acetaldehydrase"
"tembo","acetaldol"
"tena","acetalization"
"tenga","acetalize"
"tenisi","acetals"
"teua","acetamid"
"thabiti","acetamide"
"thamani","acetamidin"
"thamini","acetamidine"
"thelathini","acetamido"
"theluji","acetamids"
"theolojia","acetaminol"
"thibitisha","Acetaminophen"
"tiba","acetanilid"
"tight","acetanilide"
"tija","acetanion"
"tiketi","acetaniside"
"tikisa","acetanisidide"
"timu","acetanisidine"
"tisa","acetannin"
"tisha","acetary"
"tishio","acetarious"
"tishu","acetars"
"Titi","acetarsone"
"toa","acetate"
"tofauti","acetated"
"toleo","acetates"
"tovuti","acetation"
"trafiki","acetazolamide"
"trela","acetbromamide"
"treni","acetenyl"
"trilioni","Acetes"
"tu","acethydrazide"
"tufaha","acetiam"
"tuhuma","acetic"
"tukio","acetify"
"tulia","acetification"
"tuma","acetified"
"tumbaku","acetifier"
"tumbili","acetifies"
"tumbo","acetifying"
"tume","acetyl"
"tumia","acetylacetonates"
"tumikia","acetylacetone"
"tupa","acetylamine"
"tupu","acetylaminobenzene"
"turubai","acetylaniline"
"tuseme","acetylasalicylic"
"tuzo","acetylate"
"tv","acetylated"
"twist","acetylating"
"twitter","acetylation"
"ua","acetylative"
"uadilifu","acetylator"
"uambukizaji","acetylbenzene"
"uaminifu","acetylbenzoate"
"uamuzi","acetylbenzoic"
"uanachama","acetylbiuret"
"uani","acetylcarbazole"
"ubaguzi","acetylcellulose"
"ubakaji","acetylcholine"
"ubalozi","acetylcholinesterase"
"ubepari","acetylcholinic"
"ubinadamu","acetylcyanide"
"ubingwa","acetylenation"
"ubongo","acetylene"
"ubora","acetylenediurein"
"uboreshaji","acetylenes"
"ubunifu","acetylenic"
"uchafu","acetylenyl"
"Uchafuzi","acetylenogen"
"uchaguzi","acetylfluoride"
"uchambuzi","acetylglycin"
"uchapishaji","acetylglycine"
"uchawi","acetylhydrazine"
"ucheshi","acetylic"
"uchi","acetylid"
"uchochoro","acetylide"
"uchoraji","acetyliodide"
"uchovu","acetylizable"
"uchumba","acetylization"
"uchumi","acetylize"
"uchungu","acetylized"
"uchunguzi","acetylizer"
"udadisi","acetylizing"
"udanganyifu","acetylmethylcarbinol"
"udhaifu","acetylperoxide"
"udhamini","acetylphenylhydrazine"
