"Malagasy","English"
"hanenina","abscessroot"
"hanenjika","abscind"
"hanery","abscise"
"hangalatra","abscised"
"hanimba","abscises"
"hanin-kotrana","abscisin"
"hanitatra","abscising"
"hanitra","abscisins"
"hanitsy","abscision"
"hanjaka","absciss"
"hanjavona","abscissa"
"Hanketo","abscissae"
"hanoanana","abscissas"
"hanohitra","abscissa's"
"hanohy","abscisse"
"hanoloana","abscissin"
"hanombana","abscission"
"hanome","abscissions"
"hanompo","absconce"
"hanorotoro","abscond"
"hanova","absconded"
"hantsaka","abscondedly"
"hantsana","abscondence"
"harambato","absconder"
"harato","absconders"
"harena","absconding"
"HARENANAO","absconds"
"harona","absconsa"
"hasehonao","abscoulomb"
"hatetika","abscound"
"hato-","Absecon"
"hatraiza","absee"
"hatrany","absey"
"HATRANY","abseil"
"hatsaran-toetra","abseiled"
"hatsarany","abseiling"
"hatsembohana","abseils"
"havana","absence"
"havoana","absences"
"hazakazaka","absence's"
"Hazavao","absent"
"hazo","absentation"
"HAZO","absented"
"hektara","absentee"
"helatra","absenteeism"
"helo","absentees"
"helo-drano","absentee's"
"hena","absenteeship"
"Henan-kisoa","absenter"
"henan'omby","absenters"
"henatra","absentia"
"HENDRY","absenting"
"hentitra","absently"
"herim-po","absentment"
"herinandro","absentminded"
"herinaratra","absent-minded"
"HERINATRATRA","absentmindedly"
"herintsaina","absent-mindedly"
"herisetra","absentmindedness"
"HERISETRA","absent-mindedness"
"Heritage","absentmindednesses"
"hery","absentness"
"HERY","absents"
"Hetezo","absfarad"
"hetra","abshenry"
"HETRA","Abshier"
"hetsika","Absi"
"HETSIKA","absinth"
"hetsi-panoherana","absinthe"
"heverina","absinthes"
"heverintsika","absinthial"
"Hevi-diso","absinthian"
"heviny","absinthiate"
"hevitra","absinthiated"
"hey","absinthiating"
"hiaiky","absinthic"
"hiala","absinthiin"
"Hianao","absinthin"
"hiandraikitra","absinthine"
"hiaraka","absinthism"
"hiaro","absinthismic"
"hiarovana","absinthium"
"hiasa","absinthol"
"hiatrehana","absinthole"
"hiatrika","absinths"
"hibodo","Absyrtus"
"hidina","absis"
"hiditra","absist"
"hidy","absistos"
"hiezaka","absit"
"hifampiraharaha","absmho"
"hifaneraserana","absohm"
"hifaninana","absoil"
"hihemotra","absolent"
"hijery","Absolute"
"hilatsaka","absolutely"
"hiomana","absoluteness"
"HIPOITRA","absoluter"
"hira","absolutes"
"HIRA","absolutest"
"hiresaka","absolution"
"hisakana","absolutions"
"hisalasala","absolutism"
"hisambotra","absolutist"
"Hispanika","absolutista"
"hita","absolutistic"
"HITA","absolutistically"
"hitady","absolutists"
"hitahy","absolutive"
"hitana","absolutization"
"HITANTAM-","absolutize"
"hitantana","absolutory"
"hitaraina","absolvable"
"hitarika","absolvatory"
"hiteraka","absolve"
"hitokana","absolved"
"hitokantokana","absolvent"
"HITOMB","absolver"
"hitranga","absolvers"
"HITRANGA","absolves"
"HIVAHINY","absolving"
"hividy","absolvitor"
"hmm","absolvitory"
"ho","absonant"
"HOAVY","absonous"
"hodinihintsika","absorb"
"hoditra","absorbability"
"Honey","absorbable"
"hook","absorbance"
"hopitaly","absorbancy"
"hormonina","absorbant"
"horohoro","absorbed"
"horohoron-tany","absorbedly"
"horonan-taratasy","absorbedness"
"horonan-tsary","absorbefacient"
"hoso-doko","absorbency"
"hosoka","absorbencies"
"hosoratana","absorbent"
"hotely","absorbents"
"hozatra","absorber"
"huh","absorbers"
"humor","absorbing"
"ianareo","absorbingly"
"ifantohana","absorbition"
"ihany","absorbs"
"ihomehezana","absorbtion"
"ila","absorpt"
"ilaina","absorptance"
"imbetsaka","absorptiometer"
"in","absorptiometric"
"Indian","absorption"
"indraindray","absorptional"
"indray","absorptions"
"indrindra","absorption's"
"indrisy","absorptive"
"Indrisy","absorptively"
"indroa","absorptiveness"
"info","absorptivity"
"injeniera","absquatulate"
"INJENIORIA","absquatulation"
"inoana","abstain"
"inona","abstained"
"Institute","abstainer"
"intsony","abstainers"
"iombonana","abstaining"
"ipad","abstainment"
"iphone","abstains"
"iraisam-pirenena","abstemious"
"iraisana","abstemiously"
"Irakiana","abstemiousness"
"iraky","abstention"
"Iraniana","abstentionism"
"iray","abstentionist"
"IREO","abstentions"
"irery","abstentious"
"IRETO","absterge"
"irlandey","absterged"
"isa","abstergent"
"isaina","absterges"
"Isam-bolana","absterging"
"isam-paritra","absterse"
"isan'andro","abstersion"
"isan-jato","abstersive"
"isan-karazany","abstersiveness"
"Isan-karazany","abstertion"
"isan-kerinandro","abstinence"
"isan-taona","abstinences"
"Isan-taona","abstinency"
"iSIKA","abstinent"
"Israeliana","abstinential"
"Italiana","abstinently"
"IVA","abstort"
"IVELAN'NY","abstr"
"ivelany","abstract"
"ivoahan'ny","abstractable"
"iza","abstracted"
"IZA","abstractedly"
"izany","abstractedness"
"izay","abstracter"
"izy","abstracters"
"JAMBA","abstractest"
"Janoary","abstracting"
"-jato","abstraction"
"-jaton'ny","abstractional"
"javatra","abstractionism"
"jazz","abstractionist"
"jeans","abstractionists"
"jerena","abstractions"
"jeren'ny","abstraction's"
"jereo","abstractitious"
"Jewelry","abstractive"
"JIOLAHY","abstractively"
"Jiosy","abstractiveness"
"jiro","abstractly"
"Jolay","abstractness"
"Jona","abstractnesses"
"kabary","abstractor"
"kabinetra","abstractors"
"kafe","abstractor's"
"KAJIMIRINDRA","abstracts"
"kajy","abstrahent"
"kalitao","abstrict"
"kaloria","abstricted"
"kambana","abstricting"
"kamiao","abstriction"
"kamo","abstricts"
"kamory","abstrude"
"kanadiana","abstruse"
"kandidà","abstrusely"
"kanefa","abstruseness"
"-kanina","abstrusenesses"
"kanto","abstruser"
"Kaominista","abstrusest"
"kaomisera","abstrusion"
"kaongresy","abstrusity"
"kapila","abstrusities"
"kapitalisma","absume"
"kapoaka","absumption"
"karama","absurd"
"karamako","absurder"
"karan-doha","absurdest"
"karavasy","absurdism"
"karazana","absurdist"
"karazany","absurdity"
"karbaona","absurdities"
"karipetra","absurdity's"
"karohy","absurdly"
"katsaka","absurdness"
"kelin'ny","absurds"
"kely","absurdum"
"KELY","absvolt"
"ketraka","abt"
"-kevi-pitantanana","abterminal"
"kevitra","abthain"
"-kevitra","abthainry"
"kianja","abthainrie"
"kianjoanjo","abthanage"
"kibo","abtruse"
"kiheba","Abu"
"kiho","abubble"
"kilalao","Abu-Bekr"
"kilalaon'afo","Abucay"
"kilaometatra","abucco"
"kilasika","abuilding"
"kilasy","Abukir"
"KILASY","abuleia"
"Kilonga","Abulfeda"
"kintana","abulia"
"kiraro","abulias"
"Kiraro","abulic"
"kisoa","abulyeit"
"kitapo","abulomania"
"kitapom-bola","abumbral"
"kivy","abumbrellar"
"klioba","Abuna"
"koa","abundance"
"KOA","abundances"
"koba","abundancy"
"kodia","abundant"
"kodiarana","Abundantia"
"kokoa","abundantly"
"kolaka","abune"
"kolesterola","abura"
"KOLIKOLY","aburabozu"
"kolonely","aburagiri"
"kolontsaina","aburban"
"komandy","Abury"
"komity","aburst"
"kongresy","aburton"
"Kongresy","abusable"
"Kontinenta","abusage"
"Koreana","abuse"
"korontana","abused"
"kororoky","abusedly"
"kosa","abusee"
"kozatra","abuseful"
"kristaly","abusefully"
"kristiana","abusefulness"
"Kristianisma","abuser"
"krizy","abusers"
"labiera","abuses"
"laboratoara","abush"
"labozia","abusing"
"lafaoro","abusion"
"lafika","abusious"
"lafiny","abusive"
"lafo","abusively"
"LAHARAMPAHAMEHANA","abusiveness"
"laharana","abusivenesses"
"lahateny","abut"
"lahatsary","Abuta"
"lahatsoratra","Abutilon"
"lahy","abutilons"
"laika","abutment"
"lainga","abutments"
"lakolosy","abuts"
"LAKOZIA","abuttal"
"lalambe","abuttals"
"lalamby","abutted"
"lalam-panorenana","abutter"
"lalàm-panorenana","abutters"
"lalana","abutter's"
"LALANA","abutting"
"lalàna","abuzz"
"LALÀNA","abv"
"làlan-kere","abvolt"
"lalantsara","abvolts"
"Lalaom-pirahalahiana","abwab"
"lalina","abwatt"
"lalin-tsaina","abwatts"
"lamba","ac"
"lamina","ac-"
"landihazo","a-c"
"landy","AC/DC"
"lanitra","ACAA"
"lanja","Acacallis"
"lanonana","acacatechin"
"lantom-peony","acacatechol"
"lapan'ny","Acacea"
"lasa","Acaceae"
"lasantsy","acacetin"
"lasopy","Acacia"
"Latina","Acacian"
"lava","acacias"
"lava-bato","acaciin"
"lavaka","acacin"
"lavenona","acacine"
"lavitra","acad"
"lavitrisa","academe"
"lavo","academes"
"lay","Academy"
"laza","academia"
"lazaina","academial"
"Lazao","academian"
"lefitra","academias"
"legioma","Academic"
"lehibe","academical"
"LEHIBE","academically"
"lehibeny","academicals"
"lehilahy","academician"
"lelafo","academicians"
"lelan","academicianship"
"Lele","academicism"
"LEMAK'I","academics"
"lesona","academie"
"levitra","academies"
"liana","academy's"
"liberaly","academise"
"lietnà","academised"
"liona","academising"
"lisitra","academism"
"Little","academist"
"LOHA","academite"
"Lohahevitra","academization"
"lohalika","academize"
"lohan'ny","academized"
"lohany","academizing"
"loharano","Academus"
"lohataona","Acadia"
"lohateny","acadialite"
"loholona","Acadian"
"LOHOLONA","Acadie"
"lojika","Acaena"
"loka","acajou"
"loko","acajous"
"lova","acal"
"loza","acalculia"
"Loza","acale"
"lozera","acaleph"
"Lucky","Acalepha"
"madama","Acalephae"
"madio","acalephan"
"MADIO","acalephe"
"mafana","acalephes"
"mafy","acalephoid"
"Magazine","acalephs"
"maha","Acalia"
"maha-","acalycal"
"mahafatifaty","acalycine"
"mahafaty","acalycinous"
"mahafinaritra","acalyculate"
"mahagaga","Acalypha"
"mahalala","Acalypterae"
"mahaliana","Acalyptrata"
"mahandro","Acalyptratae"
"MAHANTRA","acalyptrate"
"maha-olombelona","Acamar"
"maharary","Acamas"
"maharitra","Acampo"
"Maharitra","acampsia"
"mahasakana","acana"
"mahasarika","acanaceous"
"mahasoa","acanonical"
"MAHASOA","acanth"
"mahasorena","acanth-"
"mahatalanjona","acantha"
"MAHATOKY","Acanthaceae"
"mahatsikaiky","acanthaceous"
"mahatsiravina","acanthad"
"mahavariana","Acantharia"
"MAHAVARIANA","acanthi"
"mahavita","Acanthia"
"mahazatra","acanthial"
"mahazo","acanthin"
"mahery","acanthine"
"MAHERY","acanthion"
"mahia","acanthite"
"mahira-tsaina","acantho-"
"mahita","acanthocarpous"
"Mahitsy","Acanthocephala"
"mahomby","acanthocephalan"
"MAHOMBY","Acanthocephali"
"maika","acanthocephalous"
"mailaka","Acanthocereus"
"maimaim-poana","acanthocladous"
"MAINA","Acanthodea"
"maintsy","acanthodean"
"mainty","Acanthodei"
"maitso","Acanthodes"
"maizina","acanthodian"
"Malagasy","Acanthodidae"
"malalaka","Acanthodii"
"malalany","Acanthodini"
"MALALA-TANANA","acanthoid"
"malaza","Acantholimon"
"malefaka","acantholysis"
"MALEMY","acanthology"
"maloto","acanthological"
"mama","acanthoma"
"mamafa","acanthomas"
"mamaritra","Acanthomeridae"
"Mamboatra","acanthon"
"mamelà","Acanthopanax"
"mamerina","Acanthophis"
"mametra","acanthophorous"
"mametraka","acanthopod"
"mamihina","acanthopodous"
"maminavina","acanthopomatous"
"mamirapiratra","acanthopore"
"mamo","acanthopteran"
"mamokatra","Acanthopteri"
"mamoron","acanthopterygian"
"mamorona","Acanthopterygii"
"mampahafantatra","acanthopterous"
"mampahatsiahy","acanthoses"
"mampahery","acanthosis"
"mampalahelo","acanthotic"
"mampanankery","acanthous"
"mampatahotra","Acanthuridae"
"mampiahiahy","Acanthurus"
"mampiaka-tsoroka","acanthus"
"mampiasa","acanthuses"
"mampiato","acanthuthi"
"mampiavaka","acapnia"
"mampidi-doza","acapnial"
"MAMPIDI-DOZA","acapnias"
"Mampidira","acappella"
"mampiditra","acapsular"
"mampientam-po","acapu"
"mampihaika","Acapulco"
"mampihomehy","acara"
"mampindrana","Acarapis"
"mampino","acarari"
"mampirisika","acardia"
"mampiseho","acardiac"
"mampita","acardite"
"mampitaha","acari"
"mampitony","acarian"
"mampitovy","acariasis"
"manafatra","acariatre"
"manafintohina","acaricidal"
"manafoana","acaricide"
"MANAGEMENT","acarid"
"manahy","Acarida"
"manaikitra","acaridae"
"manaiky","acaridan"
"MANAIKY","acaridans"
"manaitaitra","Acaridea"
"manakiana","acaridean"
"manamafy","acaridomatia"
"manamaivana","acaridomatium"
"manamarina","acarids"
"Manamarina","acariform"
"manambady","Acarina"
"Manambatra","acarine"
"manam-bola","acarines"
"manamboninahitra","acarinosis"
"manameloka","Acarnan"
"manamora","acarocecidia"
"manamorona","acarocecidium"
"manampahaizana","acarodermatitis"
"manam-pahaizana","acaroid"
"manampy","acarol"
"MANAMPY","acarology"
"manana","acarologist"
"manan-danja","acarophilous"
"manandrana","acarophobia"
"MANANGANA","acarotoxic"
"manangona","acarpellous"
"manan-karena","acarpelous"
"manan-kery","acarpous"
"manan-talenta","Acarus"
"manan-tantara","ACAS"
"manantena","acast"
"manan-tsaina","Acastus"
"manao","acatalectic"
"manaova","acatalepsy"
"manapaka","acatalepsia"
"MANAPA-KEVITRA","acataleptic"
"manara-dalàna","acatallactic"
"manaraka","acatamathesia"
"Manaraka","acataphasia"
"manara-maso","acataposis"
"manararaotra","acatastasia"
"manary","acatastatic"
"manasazy","acate"
"manasitrana","acategorical"
"manasokajy","acater"
"manasongadina","acatery"
"manatanteraka","acates"
"Manatrika","acatharsy"
"manatsara","acatharsia"
"manavaka","acatholic"
"manavy","acaudal"
"mandà","acaudate"
"mandady","acaudelescent"
"mandalo","acaulescence"
"mandamina","acaulescent"
"mandanja","acauline"
"mandany","acaulose"
"mandatsa-dranomaso","acaulous"
"mandefa","ACAWS"
"MANDEHA","ACB"
"Mandehana","ACBL"
"MANDEHANA","ACC"
"mandihy","acc."
"mandika","acca"
"mandra","accable"
"mandra-","Accad"
"MANDRAKIZAY","accademia"
"mandrara","Accadian"
"mandray","Accalia"
"mandresy","acce"
"mandrisika","accede"
"Mandrisika","acceded"
"mandroso","accedence"
"mandry","acceder"
"maneho","acceders"
"manelingelina","accedes"
"Manendry","acceding"
"MANERAN-","accel"
"manerana","accel."
"maneran-tany","accelerable"
"manga","accelerando"
"mangataka","accelerant"
"mangatsiaka","accelerate"
"mangatsiatsiaka","accelerated"
"mangidy","acceleratedly"
"mangina","accelerates"
"Mangina","accelerating"
"mangiran-dratsy","acceleratingly"
"manidina","acceleration"
"manilika","accelerations"
"manirery","accelerative"
"manja","accelerator"
"manjaka","acceleratory"
"manjamaso","accelerators"
"manjavona","accelerograph"
"manjavozavo","accelerometer"
"mankalaza","accelerometers"
"mankany","accelerometer's"
"manodidina","accend"
"Manodidina","accendibility"
"manofa","accendible"
"manohana","accensed"
"manohitra","accension"
"manokana","accensor"
"manolan-","accent"
"manomboka","accented"
"manome","accenting"
"Manome","accentless"
"Manomeza","accentor"
"manondro","accentors"
"manonofy","accents"
"manonona","accentuable"
"manontolo","accentual"
"MANONTOLO","accentuality"
"manosotra","accentually"
"manova","accentuate"
"manovaova","accentuated"
"manta","accentuates"
"maoderina","accentuating"
"maotera","accentuation"
"MARAINA","accentuations"
"maranitra","accentuator"
"marary","accentus"
"marefo","accept"
"Maribolana","acceptability"
"maridrefy","acceptabilities"
"Mariho","acceptable"
"marijuana","acceptableness"
"marika","acceptably"
"marina","acceptance"
"Marina","acceptances"
"MARINA","acceptance's"
"marin-toerana","acceptancy"
"mari-pankasitrahana","acceptancies"
"marivo","acceptant"
"maro","acceptation"
"masiaka","acceptavit"
"masina","accepted"
"Masina","acceptedly"
"MASINA","acceptee"
"maso","acceptees"
"masoandro","accepter"
"Masoandro","accepters"
"masoivoho","acceptilate"
"Masoivoho","acceptilated"
"mason-tsivana","acceptilating"
"matahotra","acceptilation"
"matavy","accepting"
"matematika","acceptingly"
"matetika","acceptingness"
"matevina","acception"
"MATOAN-DAHATSORATRA","acceptive"
"matoanteny","acceptor"
"Matoanteny","acceptors"
"matotra","acceptor's"
"matsiro","acceptress"
"matso","accepts"
"maty","accerse"
"Maty","accersition"
"mavesatra","accersitor"
"mavitrika","access"
"MAVO","accessability"
"mavokely","accessable"
"mazava","accessary"
"mba","accessaries"
"medaly","accessarily"
"mekanika","accessariness"
"Meksikana","accessaryship"
"meloka","accessed"
"MENA","accesses"
"MENARANA","accessibility"
"menatra","accessibilities"
"mendrika","accessible"
"mère","accessibleness"
"metaly","accessibly"
"metatra","accessing"
"mety","accession"
"MEY","accessional"
"MG","accessioned"
"miady","accessioner"
"miaina","accessioning"
"miakatra","accessions"
"miala","accession's"
"mialoha","accessit"
"miampanga","accessive"
"mianatra","accessively"
"miandry","accessless"
"Miangavy","accessor"
"mianiana","accessory"
"miankina","accessorial"
"Miantehera","accessories"
"miantehitra","accessorii"
"miara-","accessorily"
"Miarahaba","accessoriness"
"miaraka","accessory's"
"miara-miasa","accessorius"
"miaramila","accessoriusorii"
"MIARAMILA","accessorize"
"miaritra","accessorized"
"miaro","accessorizing"
"MIARO","accessors"
"miasa","accessor's"
"miavaka","acciaccatura"
"midika","acciaccaturas"
"midina","acciaccature"
"midinika","accidence"
"mieritreritra","accidency"
"mifanaraka","accidencies"
"mifandraika","accident"
"mifandray","accidental"
"mifangaro","accidentalism"
"mifanitsy","accidentalist"
"mifanohitra","accidentality"
"mifantoka","accidentally"
"mifehy","accidentalness"
"mifidy","accidentals"
"mifoha","accidentary"
"Mifohaza","accidentarily"
"MIFOHAZA","accidented"
"mifototra","accidential"
"mihady","accidentiality"
"mihaino","accidently"
"mihainoa","accident-prone"
"mihanaka","accidents"
"mihantona","accidia"
"mihatohatoka","accidias"
"mihavasoka","accidie"
"mihaza","accidies"
"mihazakazaka","accinge"
"mihazona","accinged"
"mihevitra","accinging"
"mihidy","accipenser"
"mihinana","accipient"
"mihinjitra","Accipiter"
"Mihirà","accipitral"
"mihitsy","accipitrary"
"mihoatra","Accipitres"
"mihodina","accipitrine"
"mihodinkodina","accipter"
"mihorohoro","accise"
"miisa","accismus"
"Mijanòna","accite"
"mijery","Accius"
"mikasa","acclaim"
"mikasika","acclaimable"
"mikiakiaka","acclaimed"
"mikiry","acclaimer"
"mikoriana","acclaimers"
"mikorontana","acclaiming"
"mikotrana","acclaims"
"milalao","acclamation"
"milay","acclamations"
"milaza","acclamator"
"milina","acclamatory"
"miloka","acclimatable"
"milomano","acclimatation"
"minia","acclimate"
"minitra","acclimated"
"mino","acclimatement"
"miondrika","acclimates"
"miovaova","acclimating"
"mipoitra","acclimation"
"mira","acclimations"
"mirehitra","acclimatisable"
"mirenireny","acclimatisation"
"miresaka","acclimatise"
"miroborobo","acclimatised"
"mirona","acclimatiser"
"misafidy","acclimatising"
"misahana","acclimatizable"
"misaina","acclimatization"
"MISAINA","acclimatizations"
"misakana","acclimatize"
"misamboaravoara","acclimatized"
"misaotra","acclimatizer"
"MISAOTRA","acclimatizes"
"misaraka","acclimatizing"
"misasakalina","acclimature"
"miseho","acclinal"
"misesy","acclinate"
"misintona","acclivity"
"misokatra","acclivities"
"misotro","acclivitous"
"miss","acclivous"
"misy","accloy"
"Mitadiava","accoast"
"mitaingina","accoy"
"mitaiza","accoyed"
"mitaky","accoying"
"mitambatra","accoil"
"Mitana","Accokeek"
"Mitandrema","accolade"
"mitandrina","accoladed"
"mitantara","accolades"
"mitaraina","accolated"
"mitataovovonana","accolent"
"Mitenena","accoll"
"miteraka","accolle"
"mitete","accolled"
"mitetika","accollee"
"mitohy","Accomac"
"mitokana","accombination"
"mitombo","accommodable"
"Mitondrà","accommodableness"
"Mitonia","accommodate"
"mitoria","accommodated"
"mitory","accommodately"
"mitovitovy","accommodateness"
"mitovy","accommodates"
"mitranga","accommodating"
"mitresaka","accommodatingly"
"Mitrosa","accommodatingness"
"mitsaha-mitombo","accommodation"
"mitsako","accommodational"
"mitsangana","accommodationist"
"mitsena","accommodations"
"mitsikera","accommodative"
"mitsingevana","accommodatively"
"mivadika","accommodativeness"
"mivantana","accommodator"
"mivarotra","accommodators"
"MIVAVAHA","accomodate"
"mivazavaza","accompanable"
"Miverena","accompany"
"mivezivezy","accompanied"
"mividy","accompanier"
"mivoaka","accompanies"
"mivoatra","accompanying"
"mivory","accompanyist"
"mm-hmm","accompaniment"
"mmm","accompanimental"
"Mobile","accompaniments"
"MODELY","accompaniment's"
"mody","accompanist"
"mofomamy","accompanists"
"molekiola","accompanist's"
"molotra","accomplement"
"momba","accompletive"
"Money","accompli"
"monim-pirenena","accomplice"
"mora","accomplices"
"moramora","accompliceship"
"MORONTSIRAK'I","accomplicity"
"motion","accomplis"
"MOYEN-","accomplish"
"mozika","accomplishable"
"MOZIKA","accomplished"
"Mpahary","accomplisher"
"mpamaky","accomplishers"
"mpamaly","accomplishes"
"mpamatsy","accomplishing"
"MPAMBOLY","accomplishment"
"MPAMINANY","accomplishments"
"mpamokatra","accomplishment's"
"mpamosavy","accomplisht"
"mpampianatra","accompt"
"MPAMPIANATRA","accord"
"mpampiasa","accordable"
"MPAMPIHOROHORO","accordance"
"mpanakanto","accordances"
"mpanamboatra","accordancy"
"mpanamory","accordant"
"mpanampy","accordantly"
"mpanao","accordatura"
"mpanara-dia","accordaturas"
"mpanara-maso","accordature"
"mpanatrika","accorded"
"mpanavakavaka","accorder"
"mpanazatra","accorders"
"mpandainga","according"
"mpandalina","accordingly"
"mpandeha","accordion"
"mpandidy","accordionist"
"mpandihy","accordionists"
"mpandinika","accordions"
"mpandraharaha","accordion's"
"mpandray","accords"
"mpandresy","accorporate"
"mpandrindra","accorporation"
"mpangalatra","accost"
"mpanjaka","accostable"
"MPANJAKA","accosted"
"MPANJAKAVAVY","accosting"
"mpanjifa","accosts"
"mpankafy","accouche"
"mpanohana","accouchement"
"mpanohitra","accouchements"
"mpanolo-tsaina","accoucheur"
"mpanome","accoucheurs"
"mpanompo","accoucheuse"
"mpanoratra","accoucheuses"
"mpanorina","accounsel"
"mpiady","account"
"mpianatra","accountability"
"mpiantoka","accountabilities"
"MPIANTOKA","accountable"
"mpiantso","accountableness"
"mpiara","accountably"
"mpiara-","accountancy"
"mpiara-belona","accountancies"
"mpiara-miasa","accountant"
"mpiara-mitory","accountants"
"mpiaro","accountant's"
"mpiasa","accountantship"
"MPIASA","accounted"
"mpiavonavona","accounter"
"mpifaninana","accounters"
"mpifidy","accounting"
"mpihaino","accountings"
"mpihaza","accountment"
"mpihazakazaka","accountrement"
"mpihira","accounts"
"mpijery","accouple"
"mpikambana","accouplement"
"mpikaroka","accourage"
"MPIKOMY","accourt"
"mpilalao","accouter"
"mpino","accoutered"
"mpiremby","accoutering"
"mpisorona","accouterment"
"mpitaingina","accouterments"
"mpitandrina","accouters"
"mpitantana","accoutre"
"mpitantara","accoutred"
"mpitan-tsoratra","accoutrement"
"mpitari-draharaha","accoutrements"
"mpitarika","accoutres"
"mpitatitra","accoutring"
"mpitety","Accoville"
"mpitondra","ACCRA"
"mpitory","accrease"
"mpitovo","accredit"
"mpitsabo","accreditable"
"mpitsara","accreditate"
"mpitsidika","accreditation"
"mpitsikilo","accreditations"
"mpitsoa-ponenana","accredited"
"mpitsongodia","accreditee"
"mpivady","accrediting"
"mpivarotra","accreditment"
"mpividy","accredits"
"mpizara","accrementitial"
"MPONINA","accrementition"
"na","accresce"
"NA","accrescence"
"nahalala","accrescendi"
"Nahazo","accrescendo"
"NAHERY","accrescent"
"NAHITANA","accretal"
"NAHOANA","accrete"
"nalaina","accreted"
"NAMANA","accretes"
"namelabelatra","accreting"
"nampanantena","accretion"
"nampiasa","accretionary"
"NAMPIDI-DOZA","accretions"
"Nampiditra","accretion's"
"NAMPITAHOTRA","accretive"
"nanam","accriminate"
"nanampy","Accrington"
"nanan-karena","accroach"
"nandevina","accroached"
"NANDOSITRA","accroaching"
"nandritra","accroachment"
"Nandritra","accroides"
"nanenjika","accruable"
"nanjaka","accrual"
"Nanjavona","accruals"
"Nanodidina","accrue"
"nanolo-kevitra","accrued"
"nanome","accruement"
"Nanompo","accruer"
"nanontany","accrues"
"naoty","accruing"
"natahotra","ACCS"
"NATOKY","ACCT"
"navalin'i","acct."
"nefa","accts"
"Nenitoa","accubation"
"nentim-paharazana","accubita"
"neny","accubitum"
"Neny","accubitus"
"NEWS","accueil"
"niaiky","accultural"
"NIANATRA","acculturate"
"NIANTOHAN'NY","acculturated"
"niara-","acculturates"
"niaviany","acculturating"
"nify","acculturation"
"NIHAMARO","acculturational"
"niharam-boina","acculturationist"
"nihomehy","acculturative"
"nijanonany","acculturize"
"NILA","acculturized"
"nipoaka","acculturizing"
"Nisalasala","accum"
"nisongadina","accumb"
"nisy","accumbency"
"nitarika","accumbent"
"niteraka","accumber"
"nitranga","accumulable"
"nivaingana","accumulate"
"NOANA","accumulated"
"Noely","accumulates"
"nofinofy","accumulating"
"NOFO","accumulation"
"nofon-tany","accumulations"
"noheverina","accumulativ"
"noho","accumulative"
"nokleary","accumulatively"
"nomena","accumulativeness"
"nono","accumulator"
"norma","accumulators"
"nororana","accumulator's"
"Northern","accupy"
"nosoratan'i","accur"
"NOSY","accuracy"
"Notarafina","accuracies"
"notsongaina","accurate"
"Novambra","accurately"
"ny","accurateness"
"NY","accuratenesses"
"ody","accurre"
"Official","accurse"
"ofisialy","accursed"
"ohatra","accursedly"
"Ohatra","accursedness"
"OHATRA","accursing"
"ok","accurst"
"Okay","accurtation"
"oksizenina","accus"
"Oktobra","accusable"
"olana","accusably"
"OLANA","accusal"
"oliva","accusals"
"olo-malaza","accusant"
"olom-boafidy","accusants"
"olom-pirenena","accusation"
"OLOM-PIRENENA","accusations"
"olona","accusation's"
"OLONA","accusatival"
"olon-dehibe","accusative"
"olon-tiany","accusative-dative"
"omaly","accusatively"
"ombelahin-tongony","accusativeness"
"ombivavy","accusatives"
"omby","accusator"
"Omeo","accusatory"
"OMS","accusatorial"
"on","accusatorially"
"ondana","accusatrix"
"ONDRIN'I","accusatrixes"
"onitra","accuse"
"ooh","accused"
"opéra","accuser"
"ora","accusers"
"oram-panala","accuses"
"orana","accusing"
"orientation","accusingly"
"orinasa","accusive"
"oroka","accusor"
"orona","accustom"
"OSA","accustomation"
"Ovay","accustomed"
"ovy","accustomedly"
"pad","accustomedness"
"pahefana","accustoming"
"pal","accustomize"
"Palestiniana","accustomized"
"palitao","accustomizing"
"-panahy","accustoms"
"-pananana","Accutron"
"panjakana","ACD"
"paoma","ACDA"
"paompy","AC-DC"
"paosy","ACE"
"PAPA","acea"
"paravodilanitra","aceacenaphthene"
"parlemanta","aceae"
"patanty","acean"
"pc","aceanthrene"
"PDG","aceanthrenequinone"
"Peazy","acecaffin"
"peel","acecaffine"
"pejy","aceconitic"
"pelaka","aced"
"penina","acedy"
"peo","acedia"
"People","acediamin"
"peratra","acediamine"
"peta-drindrina","acedias"
"petra-bola","acediast"
"petra-kevitra","ace-high"
"Photography","Acey"
"piano","acey-deucy"
"-pifidianana","aceite"
"pihetseham-po","aceituna"
"pin","Aceldama"
"piozila","aceldamas"
"piraty","acellular"
"-pirenena","Acemetae"
"pirinty","Acemetic"
"pitrandrahana","acemila"
"pitsaboana","acenaphthene"
"pitsiny","acenaphthenyl"
"PITSINY","acenaphthylene"
"Place","acenesthesia"
"planeta","acensuada"
"plastika","acensuador"
"plus","acentric"
"pm","acentrous"
"POETY","aceology"
"Point","aceologic"
"polisy","aceous"
"politika","acephal"
"POLITIKA","Acephala"
"ponenana","acephalan"
"POROFO","Acephali"
"portfolio-","acephalia"
"premium","Acephalina"
"prévenir","acephaline"
"Princess","acephalism"
"processeur","acephalist"
"Professional","Acephalite"
"projection","acephalocyst"
"proteinina","acephalous"
"psikology","acephalus"
"psikolojia","acepots"
"quarterback","acequia"
"ra","acequiador"
"radara","acequias"
"rafitra","Acer"
