"Esperanto","English"
"enhaki","absfarad"
"enhavi","abshenry"
"eniri","Abshier"
"enĵeti","Absi"
"enkalkuli","absinth"
"enkejli","absinthe"
"enketi","absinthes"
"enkolekti","absinthial"
"enkonduki","absinthian"
"enkonstrui","absinthiate"
"enkrampi","absinthiated"
"enkreski","absinthiating"
"enkudri","absinthic"
"enkuregi","absinthiin"
"enkuri","absinthin"
"enlasi","absinthine"
"enmarŝi","absinthism"
"enmeti","absinthismic"
"enmigri","absinthium"
"enmiksi","absinthol"
"ennaĝi","absinthole"
"enpafi","absinths"
"enpaki","Absyrtus"
"enpaŝi","absis"
"enpeladi","absist"
"enpeli","absistos"
"enpenetri","absit"
"enpiki","absmho"
"enplanti","absohm"
"enplekti","absoil"
"enportadi","absolent"
"enporti","Absolute"
"enpremi","absolutely"
"enpreni","absoluteness"
"enpresi","absoluter"
"enpuŝi","absolutes"
"enrampi","absolutest"
"enrigardi","absolution"
"ensalti","absolutions"
"enskribi","absolutism"
"ensmugli","absolutist"
"ensorbi","absolutista"
"ensorĉi","absolutistic"
"enŝovi","absolutistically"
"enspezi","absolutists"
"enspiri","absolutive"
"enŝraŭbi","absolutization"
"enstamfi","absolutize"
"enŝtopi","absolutory"
"ensuĉi","absolvable"
"enŝuti","absolvatory"
"enteksi","absolve"
"enteni","absolved"
"entiri","absolvent"
"entranĉi","absolver"
"entuziasmi","absolvers"
"enui","absolves"
"enveni","absolving"
"enverŝi","absolvitor"
"enveturi","absolvitory"
"envolvi","absonant"
"epigoni","absonous"
"erari","absorb"
"erarvagi","absorbability"
"erodi","absorbable"
"erotizi","absorbance"
"erozii","absorbancy"
"erpi","absorbant"
"erudi","absorbed"
"erupcii","absorbedly"
"esameni","absorbedness"
"escepti","absorbefacient"
"eskaladi","absorbency"
"eskali","absorbencies"
"eskapi","absorbent"
"eskimumi","absorbents"
"eskorti","absorber"
"esplordemandi","absorbers"
"esplori","absorbing"
"esplorkontroli","absorbingly"
"esplorserĉi","absorbition"
"esplortrovi","absorbs"
"esprimadi","absorbtion"
"esprimi","absorpt"
"establi","absorptance"
"estadi","absorptiometer"
"estimi","absorptiometric"
"esti","absorption"
"estingi","absorptional"
"estri","absorptions"
"etendi","absorption's"
"etikedi","absorptive"
"evakui","absorptively"
"evangelizi","absorptiveness"
"eviti","absorptivity"
"evolui","absquatulate"
"fabeladi","absquatulation"
"fabeli","abstain"
"fabli","abstained"
"fabriki","abstainer"
"faceti","abstainers"
"fadenfiŝi","abstaining"
"fadenfliki","abstainment"
"fajfi","abstains"
"fajli","abstemious"
"fajlodeskrapi","abstemiously"
"fajreri","abstemiousness"
"fajri","abstention"
"fakturi","abstentionism"
"falĉi","abstentionist"
"faldi","abstentions"
"faldumi","abstentious"
"falegi","absterge"
"faleti","absterged"
"fali","abstergent"
"falsi","absterges"
"falsludi","absterging"
"falsofari","absterse"
"falti","abstersion"
"fami","abstersive"
"fandformi","abstersiveness"
"fandi","abstertion"
"fandsibli","abstinence"
"fandverŝi","abstinences"
"fanfaroni","abstinency"
"fantazii","abstinent"
"fantaziumi","abstinential"
"fantomi","abstinently"
"faraĉi","abstort"
"farbi","abstr"
"farĉi","abstract"
"fari","abstractable"
"farmi","abstracted"
"farti","abstractedly"
"fascini","abstractedness"
"faski","abstracter"
"fasoni","abstracters"
"fasti","abstractest"
"faŭki","abstracting"
"faŭli","abstraction"
"favoradi","abstractional"
"favori","abstractionism"
"febri","abstractionist"
"feĉi","abstractionists"
"fekaĉi","abstractions"
"feki","abstraction's"
"felti","abstractitious"
"feltizi","abstractive"
"feltogarni","abstractively"
"fendeti","abstractiveness"
"fendi","abstractly"
"ferii","abstractness"
"ferli","abstractnesses"
"fermenti","abstractor"
"fermeti","abstractors"
"fermi","abstractor's"
"fervori","abstracts"
"festeni","abstrahent"
"festi","abstrict"
"festoni","abstricted"
"fetori","abstricting"
"feŭdi","abstriction"
"fiaski","abstricts"
"fidi","abstrude"
"fieri","abstruse"
"fikcii","abstrusely"
"fiki","abstruseness"
"fiksbani","abstrusenesses"
"fiksi","abstruser"
"fiksŝraŭbi","abstrusest"
"filigrani","abstrusion"
"filmi","abstrusity"
"filozofi","abstrusities"
"filtri","absume"
"financi","absumption"
"finbati","absurd"
"findiri","absurder"
"finfari","absurdest"
"finfermenti","absurdism"
"fingri","absurdist"
"fingrumi","absurdity"
"finiŝi","absurdities"
"fini","absurdity's"
"finkalkuli","absurdly"
"finlegi","absurdness"
"finlerni","absurds"
"finludi","absurdum"
"finmanĝi","absvolt"
"finparoli","abt"
"finplenumi","abterminal"
"finsoni","abthain"
"finstreĉi","abthainry"
"finstudi","abthainrie"
"finti","abthanage"
"finverki","abtruse"
"finveturi","Abu"
"fiodori","abubble"
"firmligi","Abu-Bekr"
"fiŝhoki","Abucay"
"fisii","abucco"
"fiŝi","abuilding"
"fiŝkapti","Abukir"
"fiskomarki","abuleia"
"flagi","Abulfeda"
"flagreti","abulia"
"flagri","abulias"
"flami","abulic"
"flankengliti","abulyeit"
"flankeniri","abulomania"
"flankenmeti","abumbral"
"flankenŝovi","abumbrellar"
"flaresplori","Abuna"
"flari","abundance"
"flarsekvi","abundances"
"flarsenti","abundancy"
"flati","abundant"
"flatservi","Abundantia"
"flegi","abundantly"
"fleksii","abune"
"fleksi","abura"
"flikaĉi","aburabozu"
"fliki","aburagiri"
"flikumi","aburban"
"flirti","Abury"
"flori","aburst"
"florkroni","aburton"
"florornami","abusable"
"florumi","abusage"
"flosi","abuse"
"flosveturi","abused"
"fluegi","abusedly"
"flueti","abusee"
"flugatingi","abuseful"
"flugetadi","abusefully"
"flugili","abusefulness"
"flugi","abuser"
"flugpendi","abusers"
"flugtuŝi","abuses"
"flui","abush"
"fluktui","abusing"
"fluoreski","abusion"
"flustreti","abusious"
"flustri","abusive"
"foldi","abusively"
"folii","abusiveness"
"fomenti","abusivenesses"
"fondi","abut"
"fonti","Abuta"
"foraĉeti","Abutilon"
"forbalai","abutilons"
"forbati","abutment"
"forbeni","abutments"
"forbloveti","abuts"
"forblovi","abuttal"
"forbruli","abuttals"
"forbuĉi","abutted"
"forci","abutter"
"fordandi","abutters"
"fordanki","abutter's"
"fordecidi","abutting"
"fordiboĉi","abuzz"
"fordirekti","abv"
"fordoni","abvolt"
"fordormi","abvolts"
"fordrinkaĉi","abwab"
"fordrinki","abwatt"
"foreskorti","abwatts"
"foresti","ac"
"forfaleti","ac-"
"forfali","a-c"
"forflosi","AC/DC"
"forflugi","ACAA"
"forflui","Acacallis"
"forfroti","acacatechin"
"forfumi","acacatechol"
"forgalopi","Acacea"
"forgesi","Acaceae"
"forgliti","acacetin"
"forgluti","Acacia"
"forgumi","Acacian"
"forhaki","acacias"
"foriri","acaciin"
"forĵeti","acacin"
"forĵongli","acacine"
"forkapti","acad"
"forkiki","academe"
"forki","academes"
"forkomerci","Academy"
"forkonduki","academia"
"forkonfesi","academial"
"forkonsumi","academian"
"forkudri","academias"
"forkuregi","Academic"
"forkuri","academical"
"forlabori","academically"
"forlasi","academicals"
"forlavi","academician"
"forleki","academicians"
"forlogi","academicianship"
"formaĉadi","academicism"
"formaĉi","academics"
"formanĝegi","academie"
"formanĝi","academies"
"formeti","academy's"
"formigri","academise"
"formiki","academised"
"formi","academising"
"formordeti","academism"
"formordi","academist"
"formorti","academite"
"formtranĉi","academization"
"formuli","academize"
"fornaĝi","academized"
"fornavigi","academizing"
"forparoli","Academus"
"forpasi","Acadia"
"forpeli","acadialite"
"forpiedbati","Acadian"
"forporti","Acadie"
"forpreni","Acaena"
"forpuŝi","acajou"
"forputri","acajous"
"forrabi","acal"
"forrasti","acalculia"
"forŝakri","acale"
"forsalti","acaleph"
"forsekci","Acalepha"
"forsendi","Acalephae"
"forŝiri","acalephan"
"forskrapi","acalephe"
"forskribi","acalephes"
"forŝoti","acalephoid"
"forŝovi","acalephs"
"forŝteli","Acalia"
"forstreki","acalycal"
"forstumi","acalycine"
"forteni","acalycinous"
"fortiri","acalyculate"
"fortondi","Acalypha"
"fortordi","Acalypterae"
"fortranĉi","Acalyptrata"
"fortreni","Acalyptratae"
"forturni","acalyptrate"
"foruzi","Acamar"
"forvelki","Acamas"
"forvendi","Acampo"
"forverŝi","acampsia"
"forveturadi","acana"
"forveturi","acanaceous"
"forviŝadi","acanonical"
"forviŝi","acanth"
"forvojaĝi","acanth-"
"forvori","acantha"
"fosgarni","Acanthaceae"
"fosgarnizi","acanthaceous"
"fosi","acanthad"
"foti","Acantharia"
"fotografi","acanthi"
"fraji","Acanthia"
"frajti","acanthial"
"frakasi","acanthin"
"frakcii","acanthine"
"frandi","acanthion"
"franĝi","acanthite"
"frapegi","acantho-"
"frapeti","acanthocarpous"
"frapi","Acanthocephala"
"frapopuŝi","acanthocephalan"
"frapvundi","Acanthocephali"
"fraŭdi","acanthocephalous"
"frazadi","Acanthocereus"
"frekventi","acanthocladous"
"frenezeti","Acanthodea"
"frenezi","acanthodean"
"frenezumi","Acanthodei"
"frezi","Acanthodes"
"frikasi","acanthodian"
"friponi","Acanthodidae"
"friti","Acanthodii"
"frizi","Acanthodini"
"frosti","acanthoid"
"frostmorti","Acantholimon"
"frostotremi","acantholysis"
"frotĉifi","acanthology"
"frotdifekti","acanthological"
"frotegi","acanthoma"
"froti","acanthomas"
"frotmiksi","Acanthomeridae"
"frui","acanthon"
"frukti","Acanthopanax"
"fruktuzi","Acanthophis"
"fuĝi","acanthophorous"
"fulgi","acanthopod"
"fuli","acanthopodous"
"fulmeti","acanthopomatous"
"fulmi","acanthopore"
"fulmini","acanthopteran"
"fulmotondri","Acanthopteri"
"fumaĵi","acanthopterygian"
"fumbruli","Acanthopterygii"
"fumeti","acanthopterous"
"fumflameti","acanthoses"
"fumigacii","acanthosis"
"fumi","acanthotic"
"fumizi","acanthous"
"fumumi","Acanthuridae"
"fundamenti","Acanthurus"
"funebri","acanthus"
"funeli","acanthuses"
"funkcii","acanthuthi"
"furaĝi","acapnia"
"furiozi","acapnial"
"furori","acapnias"
"furzi","acappella"
"fusili","acapsular"
"fuŝi","acapu"
"fuŝornami","Acapulco"
"fuŝpaŝi","acara"
"fuŝverki","Acarapis"
"futbali","acarari"
"futballudi","acardia"
"gaji","acardiac"
"gajni","acardite"
"gaketi","acari"
"gaki","acarian"
"galanti","acariasis"
"galopi","acariatre"
"galvanizi","acaricidal"
"gapaĉi","acaricide"
"gapi","acarid"
"garaĝi","Acarida"
"garantidoni","acaridae"
"garantii","acaridan"
"ĝardenisti","acaridans"
"gardi","Acaridea"
"gardostari","acaridean"
"gardsavi","acaridomatia"
"gargari","acaridomatium"
"garni","acarids"
"garnizoni","acariform"
"gaskoni","Acarina"
"gasti","acarine"
"gasumi","acarines"
"ĝembleki","acarinosis"
"ĝemegi","Acarnan"
"ĝemi","acarocecidia"
"ĝemplori","acarocecidium"
"generi","acarodermatitis"
"ĝeni","acaroid"
"genufleksi","acarol"
"genui","acarology"
"ĝermi","acarologist"
"gestadi","acarophilous"
"gesti","acarophobia"
"ĝiboklini","acarotoxic"
"giloŝi","acarpellous"
"gimnastiki","acarpelous"
"gimnasti","acarpous"
"gipsi","Acarus"
"giri","ACAS"
"ĝiri","acast"
"ĝisatendi","Acastus"
"ĝisatingi","acatalectic"
"ĝisbruli","acatalepsy"
"ĝisflugi","acatalepsia"
"gisi","acataleptic"
"ĝispacienci","acatallactic"
"ĝisresti","acatamathesia"
"ĝistreni","acataphasia"
"ĝisveturi","acataposis"
"ĝisvivi","acatastasia"
"glaciumi","acatastatic"
"gladi","acate"
"glatumi","acategorical"
"glavi","acater"
"glavobati","acatery"
"glavopiki","acates"
"glavotranĉi","acatharsy"
"glazuri","acatharsia"
"glimbrili","acatholic"
"glimi","acaudal"
"glisi","acaudate"
"glitfaleti","acaudelescent"
"glitfali","acaulescence"
"gliti","acaulescent"
"glitkuri","acauline"
"glitstumbli","acaulose"
"glitumi","acaulous"
"gloregi","ACAWS"
"glori","ACB"
"glosi","ACBL"
"gluaĵi","ACC"
"glufermi","acc."
"glugli","acca"
"glui","accable"
"gluizi","Accad"
"glukovri","accademia"
"gluti","Accadian"
"ĝojbleki","Accalia"
"ĝojegi","acce"
"ĝoji","accede"
"ĝojkrii","acceded"
"goli","accedence"
"golumi","acceder"
"gongi","acceders"
"goniometri","accedes"
"gorĝobuĉi","acceding"
"graki","accel"
"grapli","accel."
"grasi","accelerable"
"grasmakuli","accelerando"
"gratdifekti","accelerant"
"grateni","accelerate"
"gratifiki","accelerated"
"grati","acceleratedly"
"gratuli","accelerates"
"gratvundi","accelerating"
"gravi","acceleratingly"
"graviti","acceleration"
"gravmieni","accelerations"
"gravuri","accelerative"
"grefti","accelerator"
"grifeli","acceleratory"
"grimaci","accelerators"
"grimpi","accelerograph"
"grinci","accelerometer"
"grumbli","accelerometers"
"grundi","accelerometer's"
"grunti","accend"
"gruzi","accendibility"
"guaŝi","accendible"
"gudri","accensed"
"ĝuegi","accension"
"ĝui","accensor"
"gumi","accent"
"gumskrapi","accented"
"gumviŝi","accenting"
"gurdi","accentless"
"ĝustatempi","accentor"
"gusti","accentors"
"gustumi","accents"
"guteti","accentuable"
"gutflui","accentual"
"guti","accentuality"
"gutmakuli","accentually"
"gutverŝi","accentuate"
"guverni","accentuated"
"gvati","accentuates"
"gvidi","accentuating"
"haĉi","accentuation"
"hakformi","accentuations"
"haki","accentuator"
"haladzi","accentus"
"halteri","accept"
"halterlevi","acceptability"
"halti","acceptabilities"
"hamstri","acceptable"
"hanti","acceptableness"
"harakiri","acceptably"
"hardi","acceptance"
"harmonii","acceptances"
"harmonizi","acceptance's"
"harpagoni","acceptancy"
"haspeli","acceptancies"
"hasti","acceptant"
"haŭli","acceptation"
"hejti","acceptavit"
"helpi","accepted"
"helpkrii","acceptedly"
"helpkudri","acceptee"
"heni","acceptees"
"heredi","accepter"
"heroldi","accepters"
"heziti","acceptilate"
"hiperboli","acceptilated"
"hipnoti","acceptilating"
"hipnotizi","acceptilation"
"hipokriti","accepting"
"hipotezi","acceptingly"
"histrioni","acceptingness"
"hoji","acception"
"hojli","acceptive"
"hokfiŝi","acceptor"
"hoki","acceptors"
"honori","acceptor's"
"honorofendi","acceptress"
"honti","accepts"
"hopi","accerse"
"horori","accersition"
"hufobati","accersitor"
"hufoferi","access"
"hui","accessability"
"hupi","accessable"
"hurai","accessary"
"hurli","accessaries"
"iai","accessarily"
"ignori","accessariness"
"iluminadi","accessaryship"
"ilumini","accessed"
"ilustri","accesses"
"iluzii","accessibility"
"imagi","accessibilities"
"imitaĉi","accessible"
"imiti","accessibleness"
"imperii","accessibly"
"impeti","accessing"
"implici","accession"
"impliki","accessional"
"imponi","accessioned"
"importi","accessioner"
"impostmarki","accessioning"
"impozi","accessions"
"impregni","accession's"
"impresi","accessit"
"improvizi","accessive"
"impulsi","accessively"
"imputi","accessless"
"inaŭguri","accessor"
"incendii","accessory"
"incensadi","accessorial"
"incensi","accessories"
"inciteti","accessorii"
"inciti","accessorily"
"incizi","accessoriness"
"indeksi","accessory's"
"indici","accessorius"
"indigni","accessoriusorii"
"indiki","accessorize"
"indi","accessorized"
"indukti","accessorizing"
"indulgi","accessors"
"infekti","accessor's"
"inflami","acciaccatura"
"influi","acciaccaturas"
"influki","acciaccature"
"informi","accidence"
"infuzi","accidency"
"ingi","accidencies"
"inhali","accident"
"inhibicii","accidental"
"iniciati","accidentalism"
"inici","accidentalist"
"injekti","accidentality"
"inkandeski","accidentally"
"inki","accidentalness"
"inklini","accidentals"
"inkludi","accidentary"
"inkluzivi","accidentarily"
"inkrusti","accidented"
"inokuli","accidential"
"inserti","accidentiality"
"insidi","accidently"
"insili","accident-prone"
"insisti","accidents"
"inspekti","accidia"
"inspiri","accidias"
"instali","accidie"
"instigegi","accidies"
"instigi","accinge"
"instrui","accinged"
"instrukcii","accinging"
"instrumenti","accipenser"
"insulti","accipient"
"integri","Accipiter"
"intenci","accipitral"
"interbabili","accipitrary"
"interdecidi","Accipitres"
"interdividi","accipitrine"
"interesi","accipter"
"interflustri","accise"
"interhelpi","accismus"
"interkompreni","accite"
"interkonsenti","Accius"
"interligi","acclaim"
"intermanĝi","acclaimable"
"intermeti","acclaimed"
"intermiksi","acclaimer"
"intermiti","acclaimers"
"interparoli","acclaiming"
"interpoli","acclaims"
"interpreti","acclamation"
"interrompi","acclamations"
"interŝanĝi","acclamator"
"intertraktadi","acclamatory"
"intertrakti","acclimatable"
"interveni","acclimatation"
"intrigi","acclimate"
"intuicii","acclimated"
"intumeski","acclimatement"
"inundi","acclimates"
"invadi","acclimating"
"inventari","acclimation"
"inventi","acclimations"
"investi","acclimatisable"
"inviti","acclimatisation"
"invoki","acclimatise"
"iradi","acclimatised"
"irigacii","acclimatiser"
"iri","acclimatising"
"iriti","acclimatizable"
"ironii","acclimatization"
"izoli","acclimatizations"
"ĵaluzi","acclimatize"
"ĵami","acclimatized"
"ĵargoni","acclimatizer"
"jaspisi","acclimatizes"
"jelpi","acclimatizing"
"jesi","acclimature"
"ĵetadi","acclinal"
"ĵetegi","acclinate"
"ĵeti","acclivity"
"ĵetpafi","acclivities"
"jodli","acclivitous"
"ĵongli","acclivous"
"jonigi","accloy"
"jonizi","accoast"
"jori","accoy"
"jubili","accoyed"
"juĝi","accoying"
"jugmeti","accoil"
"juki","Accokeek"
"juladi","accolade"
"junti","accoladed"
"ĵuri","accolades"
"kadri","accolated"
"kaduki","accolent"
"kaheli","accoll"
"kaĵoli","accolle"
"kajxoli","accolled"
"kaki","accollee"
"kalandri","Accomac"
"kalcini","accombination"
"kalcitri","accommodable"
"kalejdoskopi","accommodableness"
"kalfatri","accommodate"
"kalibri","accommodated"
"kalki","accommodately"
"kalkulerari","accommodateness"
"kalkuli","accommodates"
"kalumnii","accommodating"
"kamaradi","accommodatingly"
"kamerai","accommodatingness"
"kamioni","accommodation"
"kampadi","accommodational"
"kamufli","accommodationist"
"kanalizi","accommodations"
"kaneli","accommodative"
"kanoni","accommodatively"
"kanteti","accommodativeness"
"kanti","accommodator"
"kantlaŭdi","accommodators"
"kapabli","accomodate"
"kapgesti","accompanable"
"kapitulaci","accompany"
"kapjesi","accompanied"
"kapnei","accompanier"
"kaprici","accompanies"
"kaprioli","accompanying"
"kaprobleki","accompanyist"
"kaptaĉi","accompaniment"
"kaptadi","accompanimental"
"kaptakiri","accompaniments"
"kapti","accompaniment's"
"kapuĉi","accompanist"
"karakterizi","accompanists"
"karamboli","accompanist's"
"karbumi","accomplement"
"karburi","accompletive"
"kardi","accompli"
"karesi","accomplice"
"karii","accomplices"
"karikaturi","accompliceship"
"karmini","accomplicity"
"kartaŭguri","accomplis"
"kartludi","accomplish"
"kartodiveni","accomplishable"
"kartografi","accomplished"
"kasacii","accomplisher"
"kaŝintenci","accomplishers"
"kaŝiradi","accomplishes"
"kaŝiri","accomplishing"
"kaŝi","accomplishment"
"kaŝmaski","accomplishments"
"kaŝrampi","accomplishment's"
"kaŝrigardi","accomplisht"
"kastri","accompt"
"katalogi","accord"
"katastri","accordable"
"katbleki","accordance"
"kateni","accordances"
"katizi","accordancy"
"kaŭcii","accordant"
"kaŭri","accordantly"
"kaŭterizi","accordatura"
"kaŭzi","accordaturas"
"kavi","accordature"
"kejli","accorded"
"kiki","accorder"
"kirasi","accorders"
"kirliĝadi","according"
"kirli","accordingly"
"kisadi","accordion"
"kisi","accordionist"
"klabi","accordionists"
"klaĉi","accordions"
"klakfermi","accordion's"
"klaki","accords"
"klami","accorporate"
"klapfermi","accorporation"
"klasifiki","accost"
"klasi","accostable"
"klavi","accosted"
"kliki","accosting"
"klimatizi","accosts"
"klini","accouche"
"kliŝi","accouchement"
"klistiri","accouchements"
"klivi","accoucheur"
"klopodegi","accoucheurs"
"klopodi","accoucheuse"
"kloroformi","accoucheuses"
"kluĉi","accounsel"
"kluki","account"
"kluzi","accountability"
"knali","accountabilities"
"knari","accountable"
"knedi","accountableness"
"kniki","accountably"
"knokaŭti","accountancy"
"koaguli","accountancies"
"koĉeri","accountant"
"kodi","accountants"
"koincidi","accountant's"
"kojni","accountantship"
"kojnumi","accounted"
"kokeriki","accounter"
"koketi","accounters"
"kokri","accounting"
"kolapsi","accountings"
"kolekti","accountment"
"koleregi","accountrement"
"kolereti","accounts"
"koleri","accouple"
"kolerkrii","accouplement"
"kolermurmuri","accourage"
"kolizii","accourt"
"kolombumi","accouter"
"kolonii","accoutered"
"kolori","accoutering"
"kolporti","accouterment"
"komandaĉi","accouterments"
"komandi","accouters"
"kombini","accoutre"
"kombi","accoutred"
"komedii","accoutrement"
"komenci","accoutrements"
"komentarii","accoutres"
"komenti","accoutring"
"komercaĉi","Accoville"
"komfortĝui","ACCRA"
"komisii","accrease"
"komparacii","accredit"
"kompari","accreditable"
"kompati","accreditate"
"kompensi","accreditation"
"kompili","accreditations"
"komplezi","accredited"
"kompliki","accreditee"
"komplimenti","accrediting"
"komploti","accreditment"
"komponi","accredits"
"kompoŝti","accrementitial"
"kompreneti","accrementition"
"kompreni","accresce"
"kompromisi","accrescence"
"kompromiti","accrescendi"
"komputi","accrescendo"
"komunii","accrescent"
"komuniki","accretal"
"komuti","accrete"
"koncedi","accreted"
"koncentri","accretes"
"koncepti","accreting"
"koncerni","accretion"
"koncerti","accretionary"
"koncesii","accretions"
"koncipi","accretion's"
"kondamni","accretive"
"kondensi","accriminate"
"kondiĉi","Accrington"
"kondolenci","accroach"
"konduki","accroached"
"kondukti","accroaching"
"konduti","accroachment"
"konekti","accroides"
"konfederacii","accruable"
"konfederi","accrual"
"konfesi","accruals"
"konfespreni","accrue"
"konfidi","accrued"
"konfirmacii","accruement"
"konfirmi","accruer"
"konfiski","accrues"
"konfiti","accruing"
"konflikti","ACCS"
"konfronti","ACCT"
"konfuzi","acct."
"konfuzmiksi","accts"
"kongesti","accubation"
"kongresi","accubita"
"kongrui","accubitum"
"koni","accubitus"
"konjekti","accueil"
"konjugacii","accultural"
"konjugi","acculturate"
"konjunkcii","acculturated"
"konkeri","acculturates"
"konkludi","acculturating"
"konkurenci","acculturation"
"konkuri","acculturational"
"konkursi","acculturationist"
"konscii","acculturative"
"konsekri","acculturize"
"konsenti","acculturized"
"konservi","acculturizing"
"konsideri","accum"
"konsili","accumb"
"konsisti","accumbency"
"konsoli","accumbent"
"konspiri","accumber"
"konstati","accumulable"
"konsternegi","accumulate"
"konsterni","accumulated"
"konstitui","accumulates"
"konstrui","accumulating"
"konstrukcii","accumulation"
"konstrukti","accumulations"
"konsulti","accumulativ"
"konsumi","accumulative"
"kontadi","accumulatively"
"kontaĝi","accumulativeness"
"kontakti","accumulator"
"kontempli","accumulators"
"kontesti","accumulator's"
"kontingenti","accupy"
"kontinui","accur"
"konti","accuracy"
"kontrabandi","accuracies"
"kontrakti","accurate"
"kontrasti","accurately"
"kontraŭargumenti","accurateness"
"kontraŭdiri","accuratenesses"
"kontraŭi","accurre"
"kontraŭparoli","accurse"
"kontraŭstari","accursed"
"kontribui","accursedly"
"kontroli","accursedness"
"konturi","accursing"
"kontuzi","accurst"
"konvaleski","accurtation"
"konvekti","accus"
"konvencii","accusable"
"konveni","accusably"
"konversacii","accusal"
"konverti","accusals"
"konvikti","accusant"
"konvinki","accusants"
"konvoji","accusation"
"konvulsii","accusations"
"kooperi","accusation's"
"koopti","accusatival"
"kopidesegni","accusative"
"kopii","accusative-dative"
"kopulacii","accusatively"
"korekti","accusativeness"
"korelacii","accusatives"
"koreli","accusator"
"korespondi","accusatory"
"korfavori","accusatorial"
"korki","accusatorially"
"korni","accusatrix"
"kornobati","accusatrixes"
"kornopiki","accuse"
"kornopuŝi","accused"
"korodi","accuser"
"korpremi","accusers"
"kortuŝi","accuses"
"korupti","accusing"
"korvobleki","accusingly"
"kostumi","accusive"
"koti","accusor"
"kotizi","accustom"
"kotkovri","accustomation"
"kotmakuli","accustomed"
"kovi","accustomedly"
"kovri","accustomedness"
"krabli","accustoming"
"kraĉeti","accustomize"
"kraĉi","accustomized"
"kraĉospiri","accustomizing"
"krakadi","accustoms"
"kraketi","Accutron"
"kraki","ACD"
"krakmordeti","ACDA"
"kraktinti","AC-DC"
"krampi","ACE"
"krani","acea"
"kranki","aceacenaphthene"
"kraŝi","aceae"
"kraŭli","acean"
"krediti","aceanthrene"
"kredi","aceanthrenequinone"
"krei","acecaffin"
"kremacii","acecaffine"
"krepiti","aceconitic"
"kreskegi","aced"
"kreski","acedy"
"krevi","acedia"
"krialvoki","acediamin"
"kribri","acediamine"
"kriĉi","acedias"
"kriegi","acediast"
"krii","ace-high"
"krimi","Acey"
"kritiki","acey-deucy"
"kroĉeti","aceite"
"kroĉi","aceituna"
"krokizi","Aceldama"
"kromlukri","aceldamas"
"krompagi","acellular"
"kroni","Acemetae"
"kropŝtopi","Acemetic"
"krucbrodi","acemila"
"kruci","acenaphthene"
"krucumi","acenaphthenyl"
"krustrosti","acenaphthylene"
"kubi","acenesthesia"
"kubutpuŝi","acensuada"
"kudri","acensuador"
"kuiri","acentric"
"kukoli","acentrous"
"kukui","aceology"
"kulmini","aceologic"
"kulpi","aceous"
"kulpopruvi","acephal"
"kulti","Acephala"
"kultivi","acephalan"
"kulturi","Acephali"
"kumini","acephalia"
"kumuli","Acephalina"
"kunaktori","acephaline"
"kunbati","acephalism"
"kunefiki","acephalist"
"kunfaldi","Acephalite"
"kunfiksi","acephalocyst"
"kunflui","acephalous"
"kunglui","acephalus"
"kunhavi","acepots"
"kunigaĉi","acequia"
"kunkalkuli","acequiador"
"kunkreski","acequias"
"kunkroĉi","Acer"
"kunkudri","Aceraceae"
"kunkuri","aceraceous"
"kunlabori","Acerae"
"kunlaĉi","Acerata"
"kunligi","acerate"
"kunludi","acerated"
"kunluti","Acerates"
"kunmeti","acerathere"
"kunmiksi","Aceratherium"
"kunnajli","aceratosis"
"kunpeli","acerb"
"kunplekti","Acerbas"
"kunporti","acerbate"
"kunpremi","acerbated"
"kunpreni","acerbates"
"kunpuŝi","acerbating"
"kunrampi","acerber"
"kunrasti","acerbest"
"kunsidi","acerbic"
"kunŝuti","acerbically"
"kuntiri","acerbity"
"kunveni","acerbityacerose"
"kunverŝi","acerbities"
"kunveturi","acerbitude"
"kunvoki","acerbly"
"kunvolvi","acerbophobia"
"kupli","acerdol"
"kuraci","aceric"
"kuradi","acerin"
"kuraĝi","acerli"
"kuratingi","acerola"
"kurĉasi","acerolas"
"kuregi","acerose"
"kureti","acerous"
"kuri","acerra"
"kurpetoli","acers"
"kursadi","acertannin"
"kurstarti","acerval"
"kurteni","acervate"
"kuŝaĉi","acervately"
"kuŝadi","acervatim"
"kuŝdifekti","acervation"
"kuŝi","acervative"
"kuspeti","acervose"
"kuspi","acervuli"
"kuŝripozi","acervuline"
"kutimi","acervulus"
"kvadrati","aces"
"kvaki","ace's"
"kvalifiki","acescence"
"kvaranteni","acescency"
"kvereli","acescent"
"kveri","acescents"
"kvesti","aceship"
"kviki","Acesius"
"kvitanci","acesodyne"
"kviviki","acesodynous"
"kviviti","Acessamenus"
"laboregi","Acestes"
"laboreti","acestoma"
"labori","acet-"
"laborsturmi","aceta"
"lacepeli","acetable"
"laĉi","acetabula"
"lakei","acetabular"
"laki","Acetabularia"
"lakti","acetabuliferous"
"lamenti","acetabuliform"
"lami","acetabulous"
"laminati","acetabulum"
"lamini","acetabulums"
"lanĉi","acetacetic"
"langerari","acetal"
"langotrinki","acetaldehydase"
"langvori","acetaldehyde"
"lanti","acetaldehydrase"
"lardi","acetaldol"
"larĝi","acetalization"
"larmi","acetalize"
"lasi","acetals"
"laŭdegadi","acetamid"
"laŭdegi","acetamide"
"laŭdi","acetamidin"
"laŭtlegi","acetamidine"
"lavi","acetamido"
"lazi","acetamids"
"lazokapti","acetaminol"
"legacii","Acetaminophen"
