"Sesotho","English"
"mmetso","absonant"
"mm-hmm","absonous"
"mmino","absorb"
"mmoho","absorbability"
"mmokelli","absorbable"
"mmolai","absorbance"
"mmopi","absorbancy"
"mmuelli","absorbant"
"mmuso","absorbed"
"Moafrika","absorbedly"
"moafrika-amerika","absorbedness"
"moahi","absorbefacient"
"moahisani","absorbency"
"moahlodi","absorbencies"
"moaho","absorbent"
"moamoheli","absorbents"
"moaparo","absorber"
"moapehi","absorbers"
"moarabe","absorbing"
"moatlelete","absorbingly"
"mobe","absorbition"
"mobishopo","absorbs"
"mobu","absorbtion"
"mocha","absorpt"
"mocheso","absorptance"
"mochine","absorptiometer"
"mochini","absorptiometric"
"mochochisi","absorption"
"modemona","absorptional"
"modimo","absorptions"
"moea","absorption's"
"moedi","absorptive"
"moelelo","absorptively"
"moeletsi","absorptiveness"
"moeli","absorptivity"
"moeling","absquatulate"
"moemeli","absquatulation"
"moemphera","abstain"
"moena","abstained"
"moenjiniere","abstainer"
"moepa","abstainers"
"moetapele","abstaining"
"moeti","abstainment"
"moetlo","abstains"
"moetsi","abstemious"
"mofalli","abstemiously"
"mofani","abstemiousness"
"moferefere","abstention"
"mofetshe","abstentionism"
"mofosi","abstentionist"
"mofufutso","abstentions"
"mofumahadi","abstentious"
"mofuputsi","absterge"
"mofuta","absterged"
"mofuthu","abstergent"
"mohahlaudi","absterges"
"mohala","absterging"
"mohalaledi","absterse"
"mohale","abstersion"
"mohanyetsi","abstersive"
"mohatisi","abstersiveness"
"mohatla","abstertion"
"mohato","abstinence"
"mohau","abstinences"
"mohiri","abstinency"
"mohlabani","abstinent"
"mohlahare","abstinential"
"mohlahisi","abstinently"
"mohlahlobi","abstort"
"mohlahlobisisi","abstr"
"mohlala","abstract"
"mohlankana","abstractable"
"mohloa","abstracted"
"mohloaare","abstractedly"
"mohlodi","abstractedness"
"mohlodisani","abstracter"
"mohlokomedi","abstracters"
"mohlolo","abstractest"
"mohlomong","abstracting"
"mohlomphehi","abstraction"
"mohlophisi","abstractional"
"mohoebi","abstractionism"
"mohokahanyi","abstractionist"
"moholo","abstractionists"
"moholoholo","abstractions"
"mohono","abstraction's"
"mohopolo","abstractitious"
"moimana","abstractive"
"moipelaetsi","abstractively"
"moithaopi","abstractiveness"
"moithuti","abstractly"
"moitseki","abstractness"
"mojaki","abstractnesses"
"mojari","abstractor"
"mokalli","abstractors"
"mokaptene","abstractor's"
"mokato","abstracts"
"mokaubere","abstrahent"
"mokelikeli","abstrict"
"mokete","abstricted"
"mokgatlo","abstricting"
"mokgelo","abstriction"
"mokgoa","abstricts"
"mokhanni","abstrude"
"mokhatlo","abstruse"
"mokhethi","abstrusely"
"mokhethoa","abstruseness"
"mokhoa","abstrusenesses"
"mokitlane","abstruser"
"mokoallo","abstrusest"
"mokoetlisi","abstrusion"
"mokotla","abstrusity"
"Mokreste","abstrusities"
"mokuli","absume"
"mola","absumption"
"molaetsa","absurd"
"'molai","absurder"
"molala","absurdest"
"molao","absurdism"
"molaodi","absurdist"
"molaoli","absurdity"
"molao-motheo","absurdities"
"molaong","absurdity's"
"molao-taelo","absurdly"
"molaotheo","absurdness"
"molapo","absurds"
"molateli","absurdum"
"molato","absvolt"
"molatsoana","abt"
"molebeli","abterminal"
"molefi","abthain"
"molefothenente","abthainry"
"molekane","abthainrie"
"molek'hule","abthanage"
"molelele","abtruse"
"molemo","Abu"
"moletsi","abubble"
"molikong","Abu-Bekr"
"mollo","Abucay"
"moloi","abucco"
"moloko","abuilding"
"molomo","Abukir"
"molora","abuleia"
"molulasetulo","Abulfeda"
"molumeli","abulia"
"molumo","abulias"
"momamedi","abulic"
"Mona","abulyeit"
"monahano","abulomania"
"monate","abumbral"
"monehelo","abumbrellar"
"mong","Abuna"
"mong'a","abundance"
"monghadi","abundances"
"mongodi","abundancy"
"mongolo","abundant"
"monko","Abundantia"
"monna","abundantly"
"Mono","abune"
"monoana","abura"
"monya","aburabozu"
"monyaduwa","aburagiri"
"monyaka","aburban"
"monyako","Abury"
"Monyako","aburst"
"monyela","aburton"
"monyetla","abusable"
"moo","abusage"
"mookamedi","abuse"
"mookameli","abused"
"mooki","abusedly"
"mopalami","abusee"
"mopalangoang","abuseful"
"mopapa","abusefully"
"mophaphathehi","abusefulness"
"mophato","abuser"
"mophekodi","abusers"
"mophonyohi","abuses"
"moporofeta","abush"
"mopresidente","abusing"
"moprista","abusion"
"moprofesa","abusious"
"moputso","abusive"
"moqapi","abusively"
"moqebelo","abusiveness"
"moqhaka","abusivenesses"
"moqolotsi","abut"
"moqomo","Abuta"
"moqosi","Abutilon"
"moqosuoa","abutilons"
"mora","abutment"
"morabe","abutments"
"morali","abuts"
"moralo","abuttal"
"morao","abuttals"
"morati","abutted"
"moratuoa","abutter"
"moratuwa","abutters"
"moreki","abutter's"
"morekisi","abutting"
"morena","abuzz"
"morero","abv"
"morethetho","abvolt"
"moriana","abvolts"
"moriri","abwab"
"moriti","abwatt"
"moroalo","abwatts"
"moroho","ac"
"moropa","ac-"
"moru","a-c"
"morui","AC/DC"
"morung","ACAA"
"moruo","Acacallis"
"morupelli","acacatechin"
"morupeluoa","acacatechol"
"morutehi","Acacea"
"moruti","Acaceae"
"morwallo","acacetin"
"morwalo","Acacia"
"mosa","Acacian"
"mosadi","acacias"
"mosamo","acaciin"
"mosebedisi","acacin"
"mosebeletsi","acacine"
"mosebetsi","acad"
"mosebetsi-'moho","academe"
"mosehla","academes"
"moshanyana","Academy"
"moshebelli","academia"
"mosireletsi","academial"
"mosodoma","academian"
"mosuoe-hlooho","academias"
"mosyria","Academic"
"motaki","academical"
"motataisi","academically"
"mothaka","academicals"
"mothehi","academician"
"motheo","academicians"
"motho","academicianship"
"mothusi","academicism"
"motjeko","academics"
"motjha","academie"
"motlae","academies"
"motlakase","academy's"
"motlatsi","academise"
"motlotlo","academised"
"motsamai","academising"
"motsamaisi","academism"
"motsamao","academist"
"motse","academite"
"mots'ehare","academization"
"motšehetsi","academize"
"motse-moholo","academized"
"Motseng","academizing"
"motseteli","Academus"
"motse-toropo","Acadia"
"motshehetsi","acadialite"
"motshwaruwa","Acadian"
"motso","Acadie"
"motsoadi","Acaena"
"motsoako","acajou"
"motsoala","acajous"
"motsoalle","acal"
"motšoaruoa","acalculia"
"motsotso","acale"
"motsotsoana","acaleph"
"motsu","Acalepha"
"mouoane","Acalephae"
"moya","acalephan"
"mpa","acalephe"
"mpe","acalephes"
"mpho","acalephoid"
"musiamo","acalephs"
"'musisi","Acalia"
"Muslim","acalycal"
"Mutlanyana","acalycine"
"'na","acalycinous"
"naha","acalyculate"
"nahana","Acalypha"
"nahanela","Acalypterae"
"nako","Acalyptrata"
"nakoana","Acalyptratae"
"nakong","acalyptrate"
"nale","Acamar"
"naledi","Acamas"
"nama","Acampo"
"namunu","acampsia"
"nate","acana"
"nchafatsa","acanaceous"
"nehela","acanonical"
"nehelano","acanth"
"neng","acanth-"
"nepahalo","acantha"
"nepahalotse","Acanthaceae"
"nete","acanthaceous"
"'Nete","acanthad"
"netefatsa","Acantharia"
"ngaka","acanthi"
"ngangisano","Acanthia"
"ngata","acanthial"
"ngatafatsi","acanthin"
"ngatata","acanthine"
"ngoana","acanthion"
"ngoanana","acanthite"
"ngoaneso","acantho-"
"ngoapa","acanthocarpous"
"ngodisa","Acanthocephala"
"ngodiso","acanthocephalan"
"ngoe","Acanthocephali"
"ngola","acanthocephalous"
"ngolisa","Acanthocereus"
"ngongorehile","acanthocladous"
"ngotsoe","Acanthodea"
"nka","acanthodean"
"nkho","Acanthodei"
"nkhono","Acanthodes"
"Nkhono","acanthodian"
"nko","Acanthodidae"
"nkwe","Acanthodii"
"nne","Acanthodini"
"nnete","acanthoid"
"noha","Acantholimon"
"noka","acantholysis"
"nolofalletsa","acanthology"
"nolofatsa","acanthological"
"nonyana","acanthoma"
"notlela","acanthomas"
"notsi","Acanthomeridae"
"November","acanthon"
"ntate","Acanthopanax"
"ntate-moholo","Acanthophis"
"ntho","acanthophorous"
"ntja","acanthopod"
"ntlafatsa","acanthopodous"
"ntlafatso","acanthopomatous"
"ntlafatsoa","acanthopore"
"ntle","acanthopteran"
"ntlha","Acanthopteri"
"ntlo","acanthopterygian"
"ntloana","Acanthopterygii"
"ntlo-khōlō","acanthopterous"
"ntoa","acanthoses"
"ntse","acanthosis"
"ntsha","acanthotic"
"ntshetsopele","acanthous"
"ntsho","Acanthuridae"
"ntsu","Acanthurus"
"nuclear","acanthus"
"nyahamisa","acanthuses"
"nyakalletse","acanthuthi"
"nyakallo","acapnia"
"nyala","acapnial"
"nyamela","acapnias"
"nyane","acappella"
"Nyane","acapsular"
"nyatsa","acapu"
"nyatso","Acapulco"
"nyehelo","acara"
"nyenyefatsa","Acarapis"
"nyenyelepa","acarari"
"nyeoe","acardia"
"nyetsoe","acardiac"
"nyollelo","acardite"
"oache","acari"
"oak","acarian"
"October","acariasis"
"ofisi","acariatre"
"ofising","acaricidal"
"ofisiri","acaricide"
"oh","acarid"
"ohla","Acarida"
"OK","acaridae"
"okamela","acaridan"
"oksijene","acaridans"
"oli","Acaridea"
"omme","acaridean"
"ontong","acaridomatia"
"ooh","acaridomatium"
"opera","acarids"
"orbit/","acariform"
"otla","Acarina"
"otlolla","acarine"
"otloloha","acarines"
"ounce","acarinosis"
"paballo","Acarnan"
"pad","acarocecidia"
"padi","acarocecidium"
"paka","acarodermatitis"
"paki","acaroid"
"palama","acarol"
"palamente","acarology"
"pale","acarologist"
"palema","acarophilous"
"palesa","acarophobia"
"palestina","acarotoxic"
"palo","acarpellous"
"pampiri","acarpelous"
"pan","acarpous"
"papadi","Acarus"
"papali","ACAS"
"papatso","acast"
"papiso","Acastus"
"para","acatalectic"
"parade","acatalepsy"
"paramethara","acatalepsia"
"pata","acataleptic"
"patch","acatallactic"
"patent","acatamathesia"
"paterola","acataphasia"
"patiloeng","acataposis"
"patlisiso","acatastasia"
"pc","acatastatic"
"peanut","acate"
"peeletso","acategorical"
"pefo","acater"
"pejana","acatery"
"pela","acates"
"pelaelo","acatharsy"
"pele","acatharsia"
"pelo","acatholic"
"penchene","acaudal"
"pene","acaudate"
"penta","acaudelescent"
"peo","acaulescence"
"pepenene","acaulescent"
"pepeneneng","acauline"
"pepere","acaulose"
"pepesa","acaulous"
"pere","ACAWS"
"peresente","ACB"
"peterole","ACBL"
"petetsa","ACC"
"peto","acc."
"petsoha","acca"
"phaello","accable"
"phaene","Accad"
"phaephe","accademia"
"phahameng","Accadian"
"phahamisa","Accalia"
"phahamiso","acce"
"phala","accede"
"phalla","acceded"
"phalliso","accedence"
"phamola","acceder"
"phanele","acceders"
"phano","accedes"
"phanyeha","acceding"
"phapang","accel"
"phapanyetsano","accel."
"phaphametse","accelerable"
"phasejeng","accelerando"
"phathahane","accelerant"
"phatla","accelerate"
"phatlalatsa","accelerated"
"phatlalatso","acceleratedly"
"phatlalatsoa","accelerates"
"phatlola","accelerating"
"pheella","acceleratingly"
"phefumoloha","acceleration"
"phefumoloho","accelerations"
"pheha","accelerative"
"phehella","accelerator"
"phehisana","acceleratory"
"pheko","accelerators"
"phekolo","accelerograph"
"phela","accelerometer"
"phelang","accelerometers"
"pheletso","accelerometer's"
"phello","accend"
"phepelo","accendibility"
"phephetso","accendible"
"phephisa","accensed"
"pherekano","accension"
"pherese","accensor"
"pheta","accent"
"phethahatsa","accented"
"phethahatso","accenting"
"phethahetseng","accentless"
"phethisa","accentor"
"phetiso","accentors"
"phetohelo","accents"
"phetoho","accentuable"
"phetolelo","accentual"
"phihlello","accentuality"
"phihlelo","accentually"
"phiri","accentuate"
"phodileng","accentuated"
"phofo","accentuates"
"phofu","accentuating"
"phokotso","accentuation"
"pholoho","accentuations"
"pholoso","accentuator"
"phomola","accentus"
"phomolo","accept"
"phonyoha","acceptability"
"phoofolo","acceptabilities"
"phoso","acceptable"
"phula","acceptableness"
"phumano","acceptably"
"phunya","acceptance"
"Phupu","acceptances"
"phuthela","acceptance's"
"phutholla","acceptancy"
"piano","acceptancies"
"pie","acceptant"
"pilisi","acceptation"
"pin","acceptavit"
"pina","accepted"
"pinki","acceptedly"
"pirate","acceptee"
"piss","acceptees"
"pitsa","accepter"
"pizza","accepters"
"pm","acceptilate"
"podi","acceptilated"
"poho","acceptilating"
"pokeletso","acceptilation"
"pokello","accepting"
"poketso","acceptingly"
"poko","acceptingness"
"pokothong","acception"
"polanete","acceptive"
"polao","acceptor"
"polasetiki","acceptors"
"polasi","acceptor's"
"poleiti","acceptress"
"polelo","accepts"
"poleloana","accerse"
"polokeho","accersition"
"polokelo","accersitor"
"polokelong","access"
"pompa","accessability"
"pompong","accessable"
"ponahalo","accessary"
"pono","accessaries"
"ponong","accessarily"
"ponto","accessariness"
"pontsho","accessaryship"
"poone","accessed"
"pop","accesses"
"popeho","accessibility"
"popi","accessibilities"
"popo","accessible"
"popontshwa","accessibleness"
"poso","accessibly"
"pososelo","accessing"
"pota-pota","accession"
"pota-potileng","accessional"
"potefolio","accessioned"
"poteletseng","accessioner"
"potlaka","accessioning"
"potlakile","accessions"
"potlakisa","accession's"
"potoloho","accessit"
"potso","accessive"
"pro","accessively"
"processor","accessless"
"profinse","accessor"
"protheine","accessory"
"protocol","accessorial"
"psychology","accessories"
"puisano","accessorii"
"pula","accessorily"
"pululelo","accessoriness"
"puo","accessory's"
"puso","accessorius"
"putlama","accessoriusorii"
"putsoa","accessorize"
"qabang","accessorized"
"qabola","accessorizing"
"qala","accessors"
"qalisa","accessor's"
"qalo","acciaccatura"
"qalong","acciaccaturas"
"qamaka","acciaccature"
"qapa","accidence"
"qaqisa","accidency"
"qaqisitsoe","accidencies"
"qeaqea","accident"
"qekisa","accidental"
"qenehela","accidentalism"
"qenehelo","accidentalist"
"qeta","accidentality"
"qetela","accidentally"
"qetella","accidentalness"
"qetello","accidentals"
"qetellong","accidentary"
"qeto","accidentarily"
"qhala","accidented"
"qhalla","accidential"
"Qhamiseditse","accidentiality"
"qhekella","accidently"
"qhibilihisa","accident-prone"
"qhobosheane","accidents"
"qhoma","accidia"
"qhoqhoa","accidias"
"qoba","accidie"
"qobella","accidies"
"qoelisoa","accinge"
"qolla","accinged"
"qophella","accinging"
"qoqa","accipenser"
"qosa","accipient"
"qoso","Accipiter"
"qosoa","accipitral"
"qotsa","accipitrary"
"quantum","Accipitres"
"qubu","accipitrine"
"rabanka","accipter"
"racise","accise"
"radar","accismus"
"radical","accite"
"raese","Accius"
"raha","acclaim"
"rahistori","acclaimable"
"raka","acclaimed"
"rakgadi","acclaimer"
"rakhoebo","acclaimers"
"rakonteraka","acclaiming"
"ralipolotiki","acclaims"
"rally","acclamation"
"raloa","acclamations"
"ramolao","acclamator"
"ramotse","acclamatory"
"rapela","acclimatable"
"rarahane","acclimatation"
"rarahaneng","acclimate"
"rarolla","acclimated"
"rasaense","acclimatement"
"rat","acclimates"
"rata","acclimating"
"ratang","acclimation"
"ratehang","acclimations"
"re","acclimatisable"
"reka","acclimatisation"
"rekisa","acclimatise"
"renta","acclimatised"
"rep","acclimatiser"
"rephabliki","acclimatising"
"rephaboliki","acclimatizable"
"rera","acclimatization"
"rerisana","acclimatizations"
"resturante","acclimatize"
"reteleha","acclimatized"
"rhetoric","acclimatizer"
"risepe","acclimatizes"
"robala","acclimatizing"
"robedi","acclimature"
"robehile","acclinal"
"robetseng","acclinate"
"robong","acclivity"
"roboto","acclivities"
"rohaka","acclivitous"
"rokete","acclivous"
"rola","accloy"
"roman","accoast"
"romeletsa","accoy"
"rona","accoyed"
"rookie","accoying"
"rosa","accoil"
"rothela","Accokeek"
"rua","accolade"
"ruri","accoladed"
"ruta","accolades"
"rutla","accolated"
"sabole","accolent"
"saense","accoll"
"sajene","accolle"
"sala","accolled"
"salate","accollee"
"salemone","Accomac"
"sandwich","accombination"
"sathelaete","accommodable"
"sauce","accommodableness"
"scan","accommodate"
"screw","accommodated"
"seaparo","accommodately"
"sebaka","accommodateness"
"sebakeng","accommodates"
"sebapadi","accommodating"
"sebapadiswa","accommodatingly"
"sebapali","accommodatingness"
"sebata","accommodation"
"sebatana","accommodational"
"sebatli","accommodationist"
"sebe","accommodations"
"sebedisoa","accommodative"
"sebeletsa","accommodatively"
"sebelisa","accommodativeness"
"sebelisana","accommodator"
"sebete","accommodators"
"sebetsa","accomodate"
"sebetsana","accompanable"
"sebini","accompany"
"sebohi","accompanied"
"seboka","accompanier"
"Sebono","accompanies"
"sebopeho","accompanying"
"sebui","accompanyist"
"sebupuoa","accompaniment"
"sechaba","accompanimental"
"sechabeng","accompaniments"
"seea-le-moea","accompaniment's"
"seemahale","accompanist"
"seeta","accompanists"
"sefahleho","accompanist's"
"sefapano","accomplement"
"sefate","accompletive"
"sefefo","accompli"
"sefepi","accomplice"
"sefika","accomplices"
"sefofane","accompliceship"
"sefora","accomplicity"
"sefuba","accomplis"
"segerike","accomplish"
"segokahanyi","accomplishable"
"sehla","accomplished"
"sehlabelo","accomplisher"
"sehlaha","accomplishers"
"sehlahisoa","accomplishes"
"sehlahla","accomplishing"
"sehlekehleke","accomplishment"
"sehloela","accomplishments"
"sehloho","accomplishment's"
"sehlōhō","accomplisht"
"sehlooho","accompt"
"sehlopha","accord"
"sehoai","accordable"
"sehokelo","accordance"
"sehopotso","accordances"
"seila","accordancy"
"seile","accordant"
"seipone","accordantly"
"sejana","accordatura"
"Sejapane","accordaturas"
"Sejeremane","accordature"
"sejo","accorded"
"seka","accorder"
"sekala","accorders"
"sekaseka","according"
"sekepe","accordingly"
"sekepele","accordion"
"sekete","accordionist"
"sekgobo","accordionists"
"sekhahla","accordions"
"sekhukhuni","accordion's"
"sekipa","accords"
"sekoahelo","accorporate"
"sekodi","accorporation"
"sekolo","accost"
"sekolopata","accostable"
"sekontiri","accosted"
"sekoti","accosting"
"sekotlolo","accosts"
"sekotwana","accouche"
"sekwere","accouchement"
"selae","accouchements"
"Selatine","accoucheur"
"sele","accoucheurs"
"seledu","accoucheuse"
"selefouno","accoucheuses"
"selekane","accounsel"
"selelekela","account"
"selemo","accountability"
"selikalikoe","accountabilities"
"semathi","accountable"
"semela","accountableness"
"semmuso","accountably"
"semumu","accountancy"
"sena","accountancies"
"senate","accountant"
"senatla","accountants"
"senator","accountant's"
"senepe","accountantship"
"sengoathoana","accounted"
"sengoli","accounter"
"seno","accounters"
"senoelo","accounting"
"senokoane","accountings"
"senola","accountment"
"senotlolo","accountrement"
"sente","accounts"
"senya","accouple"
"senyehile","accouplement"
"senyesemane","accourage"
"sepache","accourt"
"sepakapaka","accouter"
"sepalangoang","accoutered"
"sepanish","accoutering"
"sepekere","accouterment"
"sepetlele","accouterments"
"sephara","accouters"
"sepheo","accoutre"
"sephethephethe","accoutred"
"sephetho","accoutrement"
"sephiri","accoutrements"
"sephutheloana","accoutres"
"sepolesa","accoutring"
"seporo","Accoville"
"September","ACCRA"
"sera","accrease"
"serapana","accredit"
"serethe","accreditable"
"seretse","accreditate"
"seriti","accreditation"
"seroki","accreditations"
"serope","accredited"
"seroto","accreditee"
"Serussia","accrediting"
"sesa","accreditment"
"sesebedisoa","accredits"
"sesebelisoa","accrementitial"
"sesepa","accrementition"
"sesole","accresce"
"sesoleng","accrescence"
"sesosa","accrescendi"
"sesupo","accrescendo"
"setaele","accrescent"
"setantshi","accretal"
"setebele","accrete"
"seteishene","accreted"
"setempe","accretes"
"setene","accreting"
"seterateng","accretion"
"Setereiti","accretionary"
"setereke","accretions"
"sethala","accretion's"
"setheo","accretive"
"setho","accriminate"
"sethoto","Accrington"
"sethunya","accroach"
"setifikeiti","accroached"
"setjhaba","accroaching"
"setlamatlama","accroachment"
"setokong","accroides"
"setorouku","accruable"
"setsebi","accrual"
"setseng","accruals"
"setshelo","accrue"
"setshosa","accrued"
"setsi","accruement"
"setsing","accruer"
"setso","accrues"
"setšoantšisi","accruing"
"setsoantso","ACCS"
"setšoantšo","ACCT"
"setsoe","acct."
"setsomi","accts"
"settlement","accubation"
"setulo","accubita"
"seva","accubitum"
"shaka","accubitus"
"shaoara","accueil"
"shapa","accultural"
"sheba","acculturate"
"shebella","acculturated"
"sheer","acculturates"
"sheriff","acculturating"
"shiti","acculturation"
"shoa","acculturational"
"shoeleng","acculturationist"
"sibolla","acculturative"
"sibollo","acculturize"
"silakanya","acculturized"
"silevera","acculturizing"
"silika","accum"
"siling","accumb"
"sireletsa","accumbency"
"sireletsang","accumbent"
"sireletsehileng","accumber"
"sirilamunu","accumulable"
"sisintsweng","accumulate"
"sisinya","accumulated"
"sitisa","accumulates"
"ski","accumulating"
"skrineng","accumulation"
"slam","accumulations"
"sleeve","accumulativ"
"soabile","accumulative"
"soabisoa","accumulatively"
"sock","accumulativeness"
"soda","accumulator"
"sodium","accumulators"
"soetsehile","accumulator's"
"software","accupy"
"Sontaha","accur"
"sootho","accuracy"
"sopho","accuracies"
"sotha","accurate"
"sotleha","accurately"
"soviet","accurateness"
"specialize","accuratenesses"
"spectrum","accurre"
"stack","accurse"
"steak","accursed"
"strategic","accursedly"
"streak","accursedness"
"studio","accursing"
"suite","accurst"
"Supa","accurtation"
"susumetsa","accus"
"suthela","accusable"
"suthisa","accusably"
"sutu","accusal"
"sututsa","accusals"
"Sututsa","accusant"
"swing","accusants"
"switjha","accusation"
"taba","accusations"
"tabohile","accusation's"
"tackle","accusatival"
"tadima","accusative"
"taelo","accusative-dative"
"taemane","accusatively"
"taeo","accusativeness"
"tafole","accusatives"
"tag","accusator"
"tahiloe","accusatory"
"tahlehelo","accusatorial"
"takatso","accusatorially"
"talenta","accusatrix"
"talente","accusatrixes"
"tamati","accuse"
"tanka","accused"
"taolo","accuser"
"tapole","accusers"
"tataisa","accuses"
"tataiso","accusing"
"tatelano","accusingly"
"tatso","accusive"
"tattoo","accusor"
"tau","accustom"
"teaspoon","accustomation"
"tebela","accustomed"
"tebelelo","accustomedly"
"tebello","accustomedness"
"tebelo","accustoming"
"tebile","accustomize"
"teboho","accustomized"
"tee","accustomizing"
"tefello","accustoms"
"tefiso","Accutron"
"tefo","ACD"
"tekano","ACDA"
"tekanyetso","AC-DC"
"tekanyetsokabo","ACE"
"tekanyo","acea"
"tekatekano","aceacenaphthene"
"tekeno","aceae"
"tekesi","acean"
"tekete","aceanthrene"
"tekheniki","aceanthrenequinone"
"teko","acecaffin"
"tekolo","acecaffine"
"telele","aceconitic"
"telescope","aced"
"tema","acedy"
"temana","acedia"
"temohisiso","acediamin"
"temoho","acediamine"
"temoso","acedias"
"temothuo","acediast"
"tempele","ace-high"
"tenese","Acey"
"teng","acey-deucy"
"tente","aceite"
"tenya","aceituna"
"tenyetseha","Aceldama"
"tenyetsehang","aceldamas"
"teori","acellular"
"tepi","Acemetae"
"tepo","Acemetic"
"teraka","acemila"
"terata","acenaphthene"
"terene","acenaphthenyl"
"terone","acenaphthylene"
"teropong","acenesthesia"
"testamente","acensuada"
"thaba","acensuador"
"thabana","acentric"
"thabang","acentrous"
"thabela","aceology"
"thabile","aceologic"
"thabileng","aceous"
"thabo","acephal"
"thaere","Acephala"
"thahasella","acephalan"
"thahasello","Acephali"
"thaka","acephalia"
"thala","Acephalina"
"thaole","acephaline"
"thapama","acephalism"
"thapelo","acephalist"
"thapo","Acephalite"
"tharollo","acephalocyst"
"thata","acephalous"
"thatela","acephalus"
"thato","acepots"
"thatohatsi","acequia"
"the","acequiador"
"theatre","acequias"
"thebe","Acer"
"theha","Aceraceae"
"thekenoloji","aceraceous"
"thekiso","Acerae"
"Thekiso","Acerata"
"thekniki","acerate"
"theknoloji","acerated"
"theko","Acerates"
"thelevishene","acerathere"
"thella","Aceratherium"
"theoha","aceratosis"
"theolelo","acerb"
"thepa","Acerbas"
"therisano","acerbate"
"thero","acerbated"
"thetheha","acerbates"
"thetsa","acerbating"
"thetso","acerber"
"thibela","acerbest"
"thibelo","acerbic"
"thipa","acerbically"
"thitelo","acerbity"
"thobalano","acerbityacerose"
"Tholo","acerbities"
"tholoana","acerbitude"
"thomelontle","acerbly"
"thomo","acerbophobia"
"thoriso","acerdol"
"thothokiso","aceric"
"thotloetso","acerin"
"thulana","acerli"
"thunya","acerola"
"thuo","acerolas"
"thupa","acerose"
"thusa","acerous"
"Thusa","acerra"
"thuso","acers"
"thutabomodimo","acertannin"
"thuto","acerval"
"tichere","acervate"
"tiea","acervately"
"tieho","acervatim"
"tiileng","acervation"
"tiisa","acervative"
"tiisetsa","acervose"
"tiisetso","acervuli"
"tiiso","acervuline"
"tikoloho","acervulus"
"Tikoloho","aces"
"tima","ace's"
"timetso","acescence"
"tjantjello","acescency"
"tjee","acescent"
"tla","acescents"
"tlala","aceship"
"tlaleha","Acesius"
"tlaleho","acesodyne"
"tlama","acesodynous"
"tlamahano","Acessamenus"
"tlameha","Acestes"
"tlang","acestoma"
"tlanya","acet-"
"tlasa","aceta"
"tlase","acetable"
"tlatlapa","acetabula"
"tlatsa","acetabular"
"tlatsetso","Acetabularia"
"tlelafo","acetabuliferous"
"tlelaseng","acetabuliform"
"tleleniki","acetabulous"
"tlelereke","acetabulum"
"tleliniki","acetabulums"
"tletleba","acetacetic"
"tletlebo","acetal"
"tletseng","acetaldehydase"
"tlhabollo","acetaldehyde"
"tlhabologo","acetaldehydrase"
"tlhaboloho","acetaldol"
"tlhahiso","acetalization"
"tlhahisoleseding","acetalize"
"tlhahlobo","acetals"
"tlhaho","acetamid"
"tlhalo","acetamide"
"tlhaloso","acetamidin"
"tlhamo","acetamidine"
"tlhapi","acetamido"
"tlhase","acetamids"
"tlhaselo","acetaminol"
"tlhatlhoba","Acetaminophen"
"tlhatlhobo","acetanilid"
"tlhekefetso","acetanilide"
"tlhodisano","acetanion"
"tlhohonolofatso","acetaniside"
"tlhokahalo","acetanisidide"
"tlhokeho","acetanisidine"
"tlhokomeliso","acetannin"
"tlhokomelo","acetary"
"tlholisano","acetarious"
"tlholo","acetars"
"tlhomamiso","acetarsone"
"tlhompho","acetate"
"tlhophiso","acetated"
"tlhoro","acetates"
"tlisa","acetation"
"tloaelane","acetazolamide"
"tloaelehileng","acetbromamide"
"tloaelo","acetenyl"
"tloha","Acetes"
"tlohela","acethydrazide"
"tlohella","acetiam"
"tloho","acetic"
"tlokotsi","acetify"
"tlokotsing","acetification"
"tlola","acetified"
"tlolo","acetifier"
"tlosa","acetifies"
"tlotla","acetifying"
"tlotlontswe","acetyl"
"tlou","acetylacetonates"
"tobetsa","acetylacetone"
"toeba","acetylamine"
"toka","acetylaminobenzene"
"tokafatsa","acetylaniline"
"tokelo","acetylasalicylic"
"tokisetso","acetylate"
"tokiso","acetylated"
"tokoloho","acetylating"
"tokomane","acetylation"
"toloka","acetylative"
"tora","acetylator"
"toropo","acetylbenzene"
"totobatsa","acetylbenzoate"
"tranelate","acetylbenzoic"
"tropike","acetylbiuret"
"tšabeha","acetylcarbazole"
"tsamaea","acetylcellulose"
"tsamaisa","acetylcholine"
"tsamaiso","acetylcholinesterase"
"tsamaya","acetylcholinic"
"tsatsoadi","acetylcyanide"
"tseba","acetylenation"
"tsebahatsa","acetylene"
"tsebe","acetylenediurein"
"tšebelisano","acetylenes"
"ts'ebetso","acetylenic"
"tsebisa","acetylenyl"
"tsebo","acetylenogen"
"tsejoa","acetylfluoride"
"tšekamelo","acetylglycin"
"tsekisana","acetylglycine"
"tseko","acetylhydrazine"
"tsela","acetylic"
"tselaneng","acetylid"
"tsena","acetylide"
"tseo","acetyliodide"
"tsepahala","acetylizable"
"tšepahalang","acetylization"
"tšepe","acetylize"
"tšesaane","acetylized"
"tsetela","acetylizer"
"tšetlehile","acetylizing"
"tshabeha","acetylmethylcarbinol"
"tshabo","acetylperoxide"
"tshebedisano","acetylphenylhydrazine"
"tshebediso","acetylphenol"
