"Tajik","English"
"масофа","absolutive"
"массив","absolutization"
"маст","absolutize"
"масъала","absolutory"
"масъул","absolvable"
"масъулият","absolvatory"
"масъулиятшиносӣ","absolve"
"математика","absolved"
"материал","absolvent"
"матн","absolver"
"матоъ","absolvers"
"мафтункунанда","absolves"
"мафхум","absolving"
"махлук","absolvitor"
"махорат","absolvitory"
"махсус","absonant"
"махсусан","absonous"
"махфӣ","absorb"
"махфият","absorbability"
"маҳаллӣ","absorbable"
"маҳбуб","absorbance"
"маҳбус","absorbancy"
"маҳдуд","absorbant"
"маҳдудият","absorbed"
"маҳз","absorbedly"
"маҳкумшуда","absorbedness"
"маҳрамона","absorbefacient"
"маҳсулот","absorbency"
"маҷбуркунанда","absorbencies"
"маҷмӯа","absorbent"
"машварат","absorbents"
"машваратчй","absorber"
"машғулият","absorbers"
"машрубот","absorbing"
"машхур","absorbingly"
"машҳур","absorbition"
"маъбад","absorbs"
"маълум","absorbtion"
"маълумот","absorpt"
"маъмулан","absorptance"
"маъмур","absorptiometer"
"маъмурй","absorptiometric"
"маъмурият","absorption"
"маъно","absorptional"
"маънои","absorptions"
"маърака","absorption's"
"маърифатї","absorptive"
"маъруфият","absorptively"
"маъюб","absorptiveness"
"маъюбї","absorptivity"
"меафзояд","absquatulate"
"мебел","absquatulation"
"мебуд","abstain"
"мева","abstained"
"медал","abstainer"
"медонанд","abstainers"
"мексикоӣ","abstaining"
"меню","abstainment"
"меояд","abstains"
"мерос","abstemious"
"метавонад","abstemiously"
"метавонист","abstemiousness"
"металл","abstention"
"метафора","abstentionism"
"метр","abstentionist"
"мех","abstentions"
"механизм","abstentious"
"механик","absterge"
"механикй","absterged"
"мехнат","abstergent"
"мехоҳанд","absterges"
"меҳмон","absterging"
"меҳмонхона","absterse"
"мешуморанд","abstersion"
"меъда","abstersive"
"меъёр","abstersiveness"
"меъёрҳо","abstertion"
"меъмор","abstinence"
"меъморй","abstinences"
"миёна","abstinency"
"мизбон","abstinent"
"миқдор","abstinential"
"миқёс","abstinently"
"мил","abstort"
"миллат","abstr"
"миллй","abstract"
"миллиард","abstractable"
"миллион","abstracted"
"милтиқ","abstractedly"
"минбаъда","abstractedness"
"миннатдор","abstracter"
"минтақа","abstracters"
"минтақавӣ","abstractest"
"мисол","abstracting"
"миссия","abstraction"
"митинг","abstractional"
"мм","abstractionism"
"ммм","abstractionist"
"мм-мм","abstractionists"
"мо","abstractions"
"мобилӣ","abstraction's"
"мод","abstractitious"
"модар","abstractive"
"модарчон","abstractively"
"модда","abstractiveness"
"модел","abstractly"
"моеъ","abstractness"
"мол","abstractnesses"
"молекула","abstractor"
"моликият","abstractors"
"молия","abstractor's"
"молиявӣ","abstracts"
"монанд","abstrahent"
"монанди","abstrict"
"монандӣ","abstricted"
"мондан","abstricting"
"монеа","abstriction"
"мор","abstricts"
"мотор","abstrude"
"моҳ","abstruse"
"моҳвора","abstrusely"
"моҳӣ","abstruseness"
"моҳидорӣ","abstrusenesses"
"моҳият","abstruser"
"моҳона","abstrusest"
"мошин","abstrusion"
"муайян","abstrusity"
"муаллим","abstrusities"
"муаллиф","absume"
"муаммо","absumption"
"муаррифӣ","absurd"
"муаррих","absurder"
"муассис","absurdest"
"муассиса","absurdism"
"мубодила","absurdist"
"муборак","absurdity"
"мубориз","absurdities"
"мубориза","absurdity's"
"муваққатӣ","absurdly"
"муваффакият","absurdness"
"муваффакиятнок","absurds"
"мувозинат","absurdum"
"мувофики","absvolt"
"мувофиқ","abt"
"мувофиқат","abterminal"
"муд","abthain"
"мудаввар","abthainry"
"мудири","abthainrie"
"мудофиа","abthanage"
"мудофиавй","abtruse"
"музей","Abu"
"музмин","abubble"
"мӯй","Abu-Bekr"
"мукоиса","Abucay"
"муколама","abucco"
"мукофот","abuilding"
"муқаддас","Abukir"
"муқаддима","abuleia"
"муқаррарӣ","Abulfeda"
"муқобил","abulia"
"муқовимат","abulias"
"мулк","abulic"
"мулоим","abulyeit"
"мультфильм","abulomania"
"муносибат","abumbral"
"мунтазам","abumbrellar"
"муовини","Abuna"
"муодила","abundance"
"муомила","abundances"
"муомилот","abundancy"
"муосир","abundant"
"муошират","Abundantia"
"мураббаъ","abundantly"
"мураббӣ","abune"
"мураккаб","abura"
"мураккабӣ","aburabozu"
"мурғобӣ","aburagiri"
"мурда","aburban"
"мурдан","Abury"
"мурофиа","aburst"
"мусаллах","aburton"
"мусбат","abusable"
"мусиқӣ","abusage"
"мусобика","abuse"
"мусобиқа","abused"
"мусофир","abusedly"
"мусоҳиб","abusee"
"мусоҳиба","abuseful"
"мустакил","abusefully"
"мустамликавй","abusefulness"
"мусулмон","abuser"
"мутаассифона","abusers"
"мутақобила","abuses"
"мутаносибан","abush"
"мутахассис","abusing"
"мутлаќ","abusion"
"мутобиқшавӣ","abusious"
"муттадид","abusive"
"муфассал","abusively"
"муфаттиш","abusiveness"
"муфид","abusivenesses"
"муфлисшавӣ","abut"
"мухаррир","Abuta"
"мухбир","Abutilon"
"мухлат","abutilons"
"мухлис","abutment"
"мухокима","abutments"
"мухолифат","abuts"
"мухтасар","abuttal"
"муҳаққиқ","abuttals"
"муҳандисӣ","abutted"
"муҳим","abutter"
"муҳимаш","abutters"
"муҳофизаткунанда","abutter's"
"муҳоҷир","abutting"
"муҳоҷират","abuzz"
"мӯҳр","abv"
"муҷаррад","abvolt"
"муҷозот","abvolts"
"муш","abwab"
"мушак","abwatt"
"мушаххас","abwatts"
"мушовир","ac"
"мушохида","ac-"
"мушт","a-c"
"муштарак","AC/DC"
"муштарӣ","ACAA"
"муъмин","Acacallis"
"мӯътадил","acacatechin"
"мӯъҷиза","acacatechol"
"на","Acacea"
"набз","Acaceae"
"набудани","acacetin"
"нав","Acacia"
"навзод","Acacian"
"нависанда","acacias"
"нависед","acaciin"
"навиштан","acacin"
"навовар","acacine"
"навоварӣ","acad"
"навоварона","academe"
"навозанда","academes"
"навор","Academy"
"наврас","academia"
"навсозӣ","academial"
"навъ","academian"
"навъи","academias"
"нажодй","Academic"
"нажодпараст","academical"
"нажодпарастй","academically"
"назар","academicals"
"назария","academician"
"назариявй","academicians"
"назаррас","academicianship"
"наздик","academicism"
"наздишаҳрӣ","academics"
"назорат","academie"
"найранг","academies"
"найча","academy's"
"нақлиёт","academise"
"намак","academised"
"намоён","academising"
"намоз","academism"
"намоиш","academist"
"намоянда","academite"
"намояндагӣ","academization"
"намуд","academize"
"намуна","academized"
"напазед","academizing"
"нарм","Academus"
"нармафзор","Acadia"
"нарх","acadialite"
"насб","Acadian"
"насими","Acadie"
"насл","Acaena"
"насос","acajou"
"насроният","acajous"
"натавонист","acal"
"натиҷа","acalculia"
"натрий","acale"
"нафақа","acaleph"
"нафақахӯр","Acalepha"
"нафас","Acalephae"
"нафаскашй","acalephan"
"нафрат","acalephe"
"нах","acalephes"
"наҳанг","acalephoid"
"наҳорӣ","acalephs"
"наҷот","Acalia"
"нашр","acalycal"
"нашриёт","acalycine"
"нашъамандӣ","acalycinous"
"не","acalyculate"
"некӣ","Acalypha"
"некуахволй","Acalypterae"
"неъмат","Acalyptrata"
"нигарон","Acalyptratae"
"нигоҳдорӣ","acalyptrate"
"ниёгон","Acamar"
"низ","Acamas"
"низоъ","Acampo"
"ниқоб","acampsia"
"ним","acana"
"нисбатан","acanaceous"
"нисфирӯзӣ","acanonical"
"нихол","acanth"
"нихоят","acanth-"
"ниҳоӣ","acantha"
"ниҳонӣ","Acanthaceae"
"нишаст","acanthaceous"
"нишастан","acanthad"
"нишеби","Acantharia"
"нишебии","acanthi"
"нишона","Acanthia"
"нишондиҳанда","acanthial"
"нишондод","acanthin"
"ният","acanthine"
"ноаён","acanthion"
"ноболиғ","acanthite"
"ногаҳон","acantho-"
"ногувор","acanthocarpous"
"ногузир","Acanthocephala"
"нодир","acanthocephalan"
"нодон","Acanthocephali"
"нодонӣ","acanthocephalous"
"нозир","Acanthocereus"
"нозук","acanthocladous"
"ноком","Acanthodea"
"ном","acanthodean"
"номаълум","Acanthodei"
"номзад","Acanthodes"
"номуайянӣ","acanthodian"
"номуносиб","Acanthodidae"
"нон","Acanthodii"
"ноодилона","Acanthodini"
"нопадид","acanthoid"
"норавшан","Acantholimon"
"норанҷӣ","acantholysis"
"нороҳат","acanthology"
"нороҳаткунанда","acanthological"
"ноумед","acanthoma"
"ноумедӣ","acanthomas"
"ноумедона","Acanthomeridae"
"ноутбук","acanthon"
"нохоста","Acanthopanax"
"ноҳамвор","Acanthophis"
"ночиз","acanthophorous"
"ношир","acanthopod"
"ноябр","acanthopodous"
"нукта","acanthopomatous"
"нуқра","acanthopore"
"нуқта","acanthopteran"
"нур","Acanthopteri"
"нусхабардорӣ","acanthopterygian"
"нӯҳ","Acanthopterygii"
"нӯшидан","acanthopterous"
"об","acanthoses"
"обовар","acanthosis"
"обрӯ","acanthotic"
"объект","acanthous"
"овардан","Acanthuridae"
"овезон","Acanthurus"
"овоз","acanthus"
"овоза","acanthuses"
"овоздихй","acanthuthi"
"оғо","acapnia"
"оғоз","acapnial"
"Оғоз","acapnias"
"оғозкунанда","acappella"
"огоҳ","acapsular"
"огоҳӣ","acapu"
"оғӯш","Acapulco"
"одам","acara"
"одамон","Acarapis"
"одат","acarari"
"одатан","acardia"
"оддй","acardiac"
"оддӣ","acardite"
"одилона","acari"
"озмоиш","acarian"
"озмун","acariasis"
"озод","acariatre"
"озодй","acaricidal"
"озодмоҳӣ","acaricide"
"озодона","acarid"
"озуқаворӣ","Acarida"
"оила","acaridae"
"оиладор","acaridan"
"оина","acaridans"
"оиннома","Acaridea"
"оксиген","acaridean"
"октябр","acaridomatia"
"оқибат","acaridomatium"
"оқилона","acarids"
"олим","acariform"
"олимпй","Acarina"
"олитарин","acarine"
"олиҷаноб","acarines"
"олмонӣ","acarinosis"
"омадан","Acarnan"
"омехта","acarocecidia"
"омил","acarocecidium"
"омма","acarodermatitis"
"оммавй","acaroid"
"оммавӣ","acarol"
"омодагӣ","acarology"
"омор","acarologist"
"омӯзанд","acarophilous"
"омӯхтан","acarophobia"
"он","acarotoxic"
"онлайн","acarpellous"
"онхо","acarpelous"
"ооҳ","acarpous"
"опера","Acarus"
"оператор","ACAS"
"орган","acast"
"организм","Acastus"
"органикӣ","acatalectic"
"орд","acatalepsy"
"ордер","acatalepsia"
"орзу","acataleptic"
"ориентация","acatallactic"
"оринҷ","acatamathesia"
"ором","acataphasia"
"оромона","acataposis"
"осеб","acatastasia"
"осебпазир","acatastatic"
"осиёб","acate"
"осиёӣ","acategorical"
"осмон","acater"
"осоишта","acatery"
"осон","acates"
"остин","acatharsy"
"остона","acatharsia"
"оташ","acatholic"
"отряд","acaudal"
"офаридан","acaudate"
"офариниш","acaudelescent"
"офицер","acaulescence"
"офтоб","acaulescent"
"офтобй","acauline"
"офтобӣ","acaulose"
"охир","acaulous"
"охирин","ACAWS"
"охиста-охиста","ACB"
"охуи","ACBL"
"оҳ","ACC"
"оҳан","acc."
"оҳанг","acca"
"ошёна","accable"
"ошиқ","Accad"
"ошкор","accademia"
"ошкоро","Accadian"
"ошпаз","Accalia"
"ошуфтагӣ","acce"
"ошхона","accede"
"оянда","acceded"
"оят","accedence"
"падар","acceder"
"падида","acceders"
"паём","accedes"
"пазмон","acceding"
"пай","accel"
"пайванд","accel."
"пайваст","accelerable"
"пайваста","accelerando"
"пайғамбар","accelerant"
"пайгирӣ","accelerate"
"пайдарпай","accelerated"
"пайдоиш","acceleratedly"
"пайдошаванда","accelerates"
"пайрав","accelerating"
"пайравӣ","acceleratingly"
"пайраҳа","acceleration"
"паланг","accelerations"
"палата","accelerative"
"панел","accelerator"
"панир","acceleratory"
"паноҳгоҳ","accelerators"
"панҷ","accelerograph"
"панҷоҳ","accelerometer"
"панҷум","accelerometers"
"панҷшанбе","accelerometer's"
"папа","accend"
"парад","accendibility"
"параметр","accendible"
"парастор","accensed"
"парасторӣ","accension"
"парванда","accensor"
"парвоз","accent"
"парда","accented"
"пардохт","accenting"
"паридан","accentless"
"парк","accentor"
"парламент","accentors"
"парранда","accents"
"партоб","accentuable"
"партов","accentual"
"партовгоҳ","accentuality"
"партофтан","accentually"
"парҳез","accentuate"
"парчам","accentuated"
"пас","accentuates"
"паси","accentuating"
"паст","accentuation"
"пастор","accentuations"
"пасттар","accentuator"
"патент","accentus"
"пахта","accept"
"пер","acceptability"
"перспектива","acceptabilities"
"печидан","acceptable"
"печонед","acceptableness"
"пеш","acceptably"
"пешакй","acceptance"
"пешгирӣ","acceptances"
"пешгӯӣ","acceptance's"
"пешниҳод","acceptancy"
"пешона","acceptancies"
"пешравй","acceptant"
"пешрафта","acceptation"
"пештар","acceptavit"
"пешфарз","accepted"
"пиёдагард","acceptedly"
"пиёз","acceptee"
"пин","acceptees"
"пинҳон","accepter"
"пир","accepters"
"пирог","acceptilate"
"пиронсолон","acceptilated"
"писар","acceptilating"
"пицца","acceptilation"
"плакат","accepting"
"план","acceptingly"
"планшет","acceptingness"
"пластикӣ","acception"
"платформа","acceptive"
"плюс","acceptor"
"подшоҳ","acceptors"
"поезд","acceptor's"
"поён","acceptress"
"Поён","accepts"
"поза","accerse"
"пои","accersition"
"пойафзол","accersitor"
"пок","access"
"поквичдон","accessability"
"поквичдонй","accessable"
"полис","accessary"
"полиция","accessaries"
"полковник","accessarily"
"помидор","accessariness"
"понздаҳ","accessaryship"
"поп","accessed"
"пора","accesses"
"портрет","accessibility"
"портфел","accessibilities"
"порча","accessible"
"посбон","accessibleness"
"посбонй","accessibly"
"пост","accessing"
"посух","accession"
"потенсиал","accessional"
"почта","accessioned"
"пошна","accessioner"
"поя","accessioning"
"президент","accessions"
"президентй","accession's"
"принцип","accessit"
"про","accessive"
"проблема","accessively"
"прогрессией","accessless"
"проекция","accessor"
"прокурор","accessory"
"пропаганда","accessorial"
"протеин","accessories"
"против","accessorii"
"протокол","accessorily"
"профессор","accessoriness"
"профил","accessory's"
"психологӣ","accessorius"
"психология","accessoriusorii"
"пудратчй","accessorize"
"пул","accessorized"
"пулй","accessorizing"
"пулод","accessors"
"пур","accessor's"
"пурасрор","acciaccatura"
"пурмазмун","acciaccaturas"
"пурмахсул","acciaccature"
"пурра","accidence"
"пурсед","accidency"
"пурсиш","accidencies"
"пуршиддат","accident"
"пӯст","accidental"
"пуфак","accidentalism"
"пухтан","accidentalist"
"пухтупаз","accidentality"
"пушаймон","accidentally"
"пӯшидан","accidentalness"
"пушта","accidentals"
"раванд","accidentary"
"равган","accidentarily"
"равонӣ","accidented"
"равоншинос","accidential"
"равшан","accidentiality"
"рад","accidently"
"радар","accident-prone"
"радда","accidents"
"радиация","accidia"
"радикалӣ","accidias"
"радио","accidie"
"разведка","accidies"
"разведкакунанда","accinge"
"рай","accinged"
"районй","accinging"
"раис","accipenser"
"ракета","accipient"
"раккоса","Accipiter"
"рақам","accipitral"
"рақамӣ","accipitrary"
"рақиб","Accipitres"
"рақобат","accipitrine"
"рақобатпазир","accipter"
"рақс","accise"
"рамзи","accismus"
"ранг","accite"
"ранч","Accius"
"расидан","acclaim"
"расм","acclaimable"
"расман","acclaimed"
"расмй","acclaimer"
"расмӣ","acclaimers"
"расмкашӣ","acclaiming"
"Расо","acclaims"
"расондан","acclamation"
"расонидан","acclamations"
"расонидани","acclamator"
"рассом","acclamatory"
"рассомӣ","acclimatable"
"раф","acclimatation"
"рафик","acclimate"
"рафиқ","acclimated"
"рафтан","acclimatement"
"рафтор","acclimates"
"рафторй","acclimating"
"рах","acclimation"
"раҳмат","acclimations"
"реаксия","acclimatisable"
"реактивй","acclimatisation"
"реакция","acclimatise"
"реалист","acclimatised"
"революционер","acclimatiser"
"революция","acclimatising"
"режим","acclimatizable"
"резолюция","acclimatization"
"рейтинг","acclimatizations"
"реклама","acclimatize"
"ресмон","acclimatized"
"республика","acclimatizer"
"республикавй","acclimatizes"
"реферат","acclimatizing"
"рехтан","acclimature"
"рецепт","acclinal"
"реҷа","acclinate"
"реша","acclivity"
"ривоят","acclivities"
"риоя","acclivitous"
"ритм","acclivous"
"риторика","accloy"
"ришта","accoast"
"робот","accoy"
"рови","accoyed"
"розй","accoying"
"розигй","accoil"
"рол","Accokeek"
"роль","accolade"
"роман","accoladed"
"романтик","accolades"
"романтика","accolated"
"рон","accolent"
"ронанда","accoll"
"ронандагӣ","accolle"
"рондан","accolled"
"Рост","accollee"
"ростқавлона","Accomac"
"рохбар","accombination"
"рохбарй","accommodable"
"рохзан","accommodableness"
"роҳ","accommodate"
"роҳат","accommodated"
"роҳнамоӣ","accommodately"
"руб","accommodateness"
"руда","accommodates"
"рӯз","accommodating"
"рӯзе","accommodatingly"
"рузнома","accommodatingness"
"рӯзнома","accommodation"
"рӯйхат","accommodational"
"румй","accommodationist"
"русӣ","accommodations"
"рутба","accommodative"
"рӯфтан","accommodatively"
"рух","accommodativeness"
"рухсора","accommodator"
"рӯҳбаландкунанда","accommodators"
"рӯҳонӣ","accomodate"
"сабаб","accompanable"
"сабад","accompany"
"сабз","accompanied"
"сабзавот","accompanier"
"сабр","accompanies"
"сабт","accompanying"
"сабук","accompanyist"
"сабукӣ","accompaniment"
"савдо","accompanimental"
"савдогар","accompaniments"
"саводнокй","accompaniment's"
"савол","accompanist"
"саволнома","accompanists"
"савора","accompanist's"
"саг","accomplement"
"сад","accompletive"
"садама","accompli"
"садо","accomplice"
"садоқат","accomplices"
"сазовор","accompliceship"
"сайёра","accomplicity"
"сайт","accomplis"
"сақф","accomplish"
"салат","accomplishable"
"салиб","accomplished"
"салом","accomplisher"
"Салом","accomplishers"
"саломат","accomplishes"
"саломатй","accomplishing"
"салтанат","accomplishment"
"саманд","accomplishments"
"самаранок","accomplishment's"
"самаранокӣ","accomplisht"
"самаранокии","accompt"
"саммит","accord"
"самт","accordable"
"сана","accordance"
"санавбар","accordances"
"санг","accordancy"
"сангпушт","accordant"
"сангшуда","accordantly"
"саноат","accordatura"
"саноатй","accordaturas"
"сар","accordature"
"саратон","accorded"
"сарвазир","accorder"
"сарват","accorders"
"сарватманд","according"
"саргардон","accordingly"
"саргузашт","accordion"
"сард","accordionist"
"сардор","accordionists"
"саркаш","accordions"
"сарлавҳа","accordion's"
"сармоя","accords"
"сармоягузор","accorporate"
"сармоягузорӣ","accorporation"
"сароянда","accost"
"сарпараст","accostable"
"сарпӯш","accosted"
"сархад","accosting"
"сарҳад","accosts"
"сарчашма","accouche"
"сатил","accouchement"
"сатр","accouchements"
"сатҳи","accoucheur"
"сафар","accoucheurs"
"сафед","accoucheuse"
"сафир","accoucheuses"
"сафоратхона","accounsel"
"сафсатае","account"
"саховатманд","accountability"
"сахт","accountabilities"
"сахтафзор","accountable"
"сахтгир","accountableness"
"саҳифа","accountably"
"саҳм","accountancy"
"саҳна","accountancies"
"саҳни","accountant"
"се","accountants"
"себ","accountant's"
"сегмент","accountantship"
"секси","accounted"
"сел","accounter"
"сенария","accounters"
"сенат","accounting"
"сенатор","accountings"
"сенсор","accountment"
"сент","accountrement"
"сентябр","accounts"
"сервер","accouple"
"сержант","accouplement"
"сертификат","accourage"
"сершумор","accourt"
"сессия","accouter"
"сешанбе","accoutered"
"сеюм","accoutering"
"сӣ","accouterment"
"сигнал","accouterments"
"сигор","accouters"
"сиёсат","accoutre"
"сиёсатмадор","accoutred"
"сиёсй","accoutrement"
"сиёҳ","accoutrements"
"силоҳ","accoutres"
"силсила","accoutring"
"сим","Accoville"
"сина","ACCRA"
"синдром","accrease"
"синф","accredit"
"синфхона","accreditable"
"сипар","accreditate"
"сир","accreditation"
"сироят","accreditations"
"система","accredited"
"ситоиш","accreditee"
"ситора","accrediting"
"сифат","accreditment"
"сифр","accredits"
"сих","accrementitial"
"скан","accrementition"
"скрининг","accresce"
"скрипт","accrescence"
"слайд","accrescendi"
"смена","accrescendo"
"соат","accrescent"
"соати","accretal"
"собиқ","accrete"
"собит","accreted"
"собун","accretes"
"советй","accreting"
"сода","accretion"
"содда","accretionary"
"содик","accretions"
"содирот","accretion's"
"созанда","accretive"
"созед","accriminate"
"созиш","Accrington"
"сокини","accroach"
"сол","accroached"
"солгарди","accroaching"
"солдат","accroachment"
"соло","accroides"
"солона","accruable"
"соф","accrual"
"сохтан","accruals"
"сохтмон","accrue"
"сохтор","accrued"
"сохторӣ","accruement"
"соҳиби","accruer"
"соҳибкор","accrues"
"соҳил","accruing"
"соҳилӣ","ACCS"
"социалй","ACCT"
"соя","acct."
"спектр","accts"
"стадион","accubation"
"стандарт","accubita"
"станция","accubitum"
"статистикй","accubitus"
"стейк","accueil"
"стек","accultural"
"стипендия","acculturate"
"стратегӣ","acculturated"
"стратегия","acculturates"
"стресс","acculturating"
"студия","acculturation"
"субсидия","acculturational"
"субҳ","acculturationist"
"субъект","acculturative"
"сугурта","acculturize"
"суд","acculturized"
"судй","acculturizing"
"судшаванда","accum"
"судя","accumb"
"сӯзан","accumbency"
"сӯзишворӣ","accumbent"
"сӯзондан","accumber"
"сӯиистифода","accumulable"
"сукунат","accumulate"
"сулх","accumulated"
"сум","accumulates"
"сумка","accumulating"
"сунъй","accumulation"
"супер","accumulations"
"супервайзер","accumulativ"
"супориш","accumulative"
"сурат","accumulatively"
"суратгир","accumulativeness"
"суратгирй","accumulator"
"суриягй","accumulators"
"суроға","accumulator's"
"сӯрох","accupy"
"суруд","accur"
"сурх","accuracy"
"суръат","accuracies"
"суст","accurate"
"сустӣ","accurately"
"сутун","accurateness"
"сухан","accuratenesses"
"сухангӯй","accurre"
"сухбат","accurse"
"сӯҳбат","accursed"
"сфера","accursedly"
"схема","accursedness"
"сэндвич","accursing"
"таассурот","accurst"
"тааҷҷубовар","accurtation"
"табад","accus"
"табақ","accusable"
"табассум","accusably"
"табиат","accusal"
"табиӣ","accusals"
"табиист","accusant"
"табларза","accusants"
"табобат","accusation"
"табъиз","accusations"
"таваққуфгоҳ","accusation's"
"таваллуд","accusatival"
"тавассути","accusative"
"тавлид","accusative-dative"
"тавонанд","accusatively"
"тавоно","accusativeness"
"тавсиф","accusatives"
"тавсия","accusator"
"тағйирёбанда","accusatory"
"тағо","accusatorial"
"тадбир","accusatorially"
"тадкикот","accusatrix"
"тадқиқот","accusatrixes"
"тадричан","accuse"
"тайёр","accused"
"тайёрй","accuser"
"таклиф","accusers"
"такрор","accuses"
"такроран","accusing"
"тактика","accusingly"
"тақвим","accusive"
"тақдир","accusor"
"тақсимот","accustom"
"талаб","accustomation"
"талабот","accustomed"
"талафот","accustomedly"
"талоқ","accustomedness"
"талх","accustoming"
"тамаддун","accustomize"
"тамаркуз","accustomized"
"тамдид","accustomizing"
"тамоку","accustoms"
"тамоми","Accutron"
"тамос","ACD"
"тамошобин","ACDA"
"тамошобинон","AC-DC"
"тамошобоб","ACE"
"тамоюл","acea"
"таназзул","aceacenaphthene"
"танаи","aceae"
"танаффус","acean"
"танбал","aceanthrene"
"танг","aceanthrenequinone"
"танга","acecaffin"
"танзим","acecaffine"
"танзимкунанда","aceconitic"
"танк","aced"
"танкид","acedy"
"танқидкунанда","acedia"
"таносуб","acediamin"
"таносуби","acediamine"
"танӯр","acedias"
"танҳо","acediast"
"танҳоӣ","ace-high"
"танцидй","Acey"
"таппонча","acey-deucy"
"тар","aceite"
"тарабхона","aceituna"
"тараф","Aceldama"
"тарафайн","aceldamas"
"тарафдор","acellular"
"тарбиявй","Acemetae"
"тарбиятгар","Acemetic"
"тарбиятгиранда","acemila"
"тарз","acenaphthene"
"таркиб","acenaphthenyl"
"таркидан","acenaphthylene"
"таркиш","acenesthesia"
"тарс","acensuada"
"тарсида","acensuador"
"тарсовар","acentric"
"тарсондан","acentrous"
"тартиб","aceology"
"тартиби","aceologic"
"тарҳрезӣ","aceous"
"тарҷума","acephal"
"тасаввурот","Acephala"
"тасвир","acephalan"
"тасдик","Acephali"
"тасдиқ","acephalia"
"тасма","Acephalina"
"тасодуфӣ","acephaline"
"татуировка","acephalism"
"тафовут","acephalist"
"тафсилот","Acephalite"
"тафсир","acephalocyst"
"тафтиш","acephalous"
"тафтишот","acephalus"
"тахассус","acepots"
"тахлил","acequia"
"тахмин","acequiador"
"тахминан","acequias"
"тахт","Acer"
"тахта","Aceraceae"
"тахфиф","aceraceous"
"таҳдид","Acerae"
"таҳиякунанда","Acerata"
"таҳлилгар","acerate"
"таҳрир","acerated"
"таҳхона","Acerates"
"таҷовуз","acerathere"
"тачриба","Aceratherium"
"таҷрибавӣ","aceratosis"
"тачрибадор","acerb"
"тачхизот","Acerbas"
"ташаббус","acerbate"
"ташаккул","acerbated"
"ташаккур","acerbates"
"ташвиқ","acerbating"
"ташвиш","acerber"
"ташвишовар","acerbest"
"ташкилот","acerbic"
"ташхис","acerbically"
"таъзим","acerbity"
"таъинот","acerbityacerose"
"таъкибкунй","acerbities"
"таъкид","acerbitude"
"таъқиб","acerbly"
"таълим","acerbophobia"
"таълимот","acerdol"
"таъминкунанда","aceric"
"таъминот","acerin"
"таъмир","acerli"
"таъриф","acerola"
"таърих","acerolas"
"таърихй","acerose"
"таъсир","acerous"
"таъсирбахш","acerra"
"таъсис","acers"
"таътил","acertannin"
"таъхир","acerval"
"театр","acervate"
"тег","acervately"
"теғ","acervatim"
"тез","acervation"
"Тезтар","acervative"
"Тела","acervose"
"телевизион","acervuli"
"телескоп","acervuline"
"телефон","acervulus"
"тендер","aces"
"теннис","ace's"
"теология","acescence"
"теппа","acescency"
"терапевт","acescent"
"терапия","acescents"
"территория","aceship"
"террор","Acesius"
"терроризм","acesodyne"
"террорист","acesodynous"
"техника","Acessamenus"
"техникй","Acestes"
"технологи","acestoma"
"технология","acet-"
"тиббй","aceta"
"тилло","acetable"
"тиллоӣ","acetabula"
"тир","acetabular"
"тиреза","Acetabularia"
"тирпарронй","acetabuliferous"
"тиҷорат","acetabuliform"
"тиҷоратӣ","acetabulous"
"то","acetabulum"
"тобистон","acetabulums"
"тоза","acetacetic"
"толор","acetal"
"тор","acetaldehydase"
"торик","acetaldehyde"
"торикй","acetaldehydrase"
"торт","acetaldol"
"тоҷ","acetalization"
"транзит","acetalize"
"трафик","acetals"
"трейлер","acetamid"
"тренер","acetamide"
"триггер","acetamidin"
"триллион","acetamidine"
"тропикӣ","acetamido"
"ту","acetamids"
"тӯб","acetaminol"
"тугма","Acetaminophen"
"туда","acetanilid"
"туй","acetanilide"
"туннель","acetanion"
"тур","acetaniside"
"турист","acetanisidide"
"тӯфон","acetanisidine"
"тухм","acetannin"
"тухмй","acetary"
"тӯҳфа","acetarious"
"у","acetars"
"узв","acetarsone"
"узвият","acetate"
"узр","acetated"
"уқёнус","acetates"
"уқоб","acetation"
"ум","acetazolamide"
"умед","acetbromamide"
"умедбахш","acetenyl"
"умедворем","Acetes"
"умр","acethydrazide"
"умуман","acetiam"
"умумӣ","acetic"
"умумии","acetify"
"унвон","acetification"
"универсалй","acetified"
"университет","acetifier"
"унция","acetifies"
"урён","acetifying"
"усқуф","acetyl"
"услуб","acetylacetonates"
"устод","acetylacetone"
"устохона","acetylamine"
"устувор","acetylaminobenzene"
"устуворй","acetylaniline"
"устухон","acetylasalicylic"
"усул","acetylate"
"уфуқ","acetylated"
"ухдадорй","acetylating"
"у-ҳу","acetylation"
"фавқулодда","acetylative"
"фавран","acetylator"
"фаврӣ","acetylbenzene"
"фавт","acetylbenzoate"
"фазилат","acetylbenzoic"
"фазо","acetylbiuret"
"файз","acetylcarbazole"
"файл","acetylcellulose"
"факт","acetylcholine"
"факултет","acetylcholinesterase"
"фаластинй","acetylcholinic"
"фалокат","acetylcyanide"
"фалсафа","acetylenation"
"фалсафй","acetylene"
"фантазия","acetylenediurein"
"фарбех","acetylenes"
"фардӣ","acetylenic"
"фардо","acetylenyl"
"фарёд","acetylenogen"
"фарзандхондӣ","acetylfluoride"
