"Hausa","English"
"mamayewa","abstainers"
"manaja","abstaining"
"manazarci","abstainment"
"manhaja","abstains"
"manomi","abstemious"
"manta","abstemiously"
"manufa","abstemiousness"
"manyan","abstention"
"maraice","abstentionism"
"mari","abstentionist"
"marigayi","abstentions"
"marijuana","abstentious"
"marine","absterge"
"mark","absterged"
"martani","abstergent"
"marubuci","absterges"
"marubucin","absterging"
"masana'anta","absterse"
"masana'antu","abstersion"
"masara","abstersive"
"mashahuri","abstersiveness"
"mashawarci","abstertion"
"mashaya","abstinence"
"masoyi","abstinences"
"mata","abstinency"
"matafiyi","abstinent"
"mataimaki","abstinential"
"mataimakin","abstinently"
"matakala","abstort"
"mataki","abstr"
"matakin","abstract"
"matalauta","abstractable"
"matasa","abstracted"
"matashi","abstractedly"
"matattu","abstractedness"
"matsakaici","abstracter"
"matsakaicin","abstracters"
"matsakaita","abstractest"
"matsala","abstracting"
"matsananci","abstraction"
"matsayi","abstractional"
"matsi","abstractionism"
"mawaƙa","abstractionist"
"mawaki","abstractionists"
"mawallafi","abstractions"
"may","abstraction's"
"mayaki","abstractitious"
"mayar","abstractive"
"mayya","abstractively"
"mazauni","abstractiveness"
"me","abstractly"
"memba","abstractness"
"menu","abstractnesses"
"mexika","abstractor"
"miji","abstractors"
"mika","abstractor's"
"mike","abstracts"
"mikewa","abstrahent"
"mil","abstrict"
"miliyan","abstricted"
"minista","abstricting"
"mirgina","abstriction"
"mirgine","abstricts"
"misali","abstrude"
"miss","abstruse"
"mita","abstrusely"
"Mix","abstruseness"
"miya","abstrusenesses"
"mm","abstruser"
"mm-hmm","abstrusest"
"mota","abstrusion"
"motsawa","abstrusity"
"motsi","abstrusities"
"mu","absume"
"mu'amala","absumption"
"mugunta","absurd"
"muhalli","absurder"
"muhawara","absurdest"
"muhimmanci","absurdism"
"mujallar","absurdist"
"mulki","absurdity"
"mumini","absurdities"
"mummuna","absurdity's"
"murabba'i","absurdly"
"murabus","absurdness"
"murkushe","absurds"
"murmurewa","absurdum"
"murmushi","absvolt"
"murna","abt"
"murya","abterminal"
"musamman","abthain"
"musanya","abthainry"
"music","abthainrie"
"musu","abthanage"
"musulmi","abtruse"
"musulunci","Abu"
"mutane","abubble"
"mutu","Abu-Bekr"
"mutum","Abucay"
"mutum-mutumi","abucco"
"mutunci","abuilding"
"mutuwa","Abukir"
"na","abuleia"
"nace","Abulfeda"
"nada","abulia"
"nadama","abulias"
"nadi","abulic"
"nagarta","abulyeit"
"nahiyar","abulomania"
"nakasa","abumbral"
"nakasassu","abumbrellar"
"naku","Abuna"
"nama","abundance"
"namiji","abundances"
"namu","abundancy"
"nan","abundant"
"narke","Abundantia"
"nasa","abundantly"
"nasara","abune"
"nasiha","abura"
"nassi","aburabozu"
"nasu","aburagiri"
"nata","aburban"
"nau'in","Abury"
"na'urar","aburst"
"naúrar","aburton"
"naushi","abusable"
"nauyi","abusage"
"nazari","abuse"
"nema","abused"
"nesa","abusedly"
"net","abusee"
"ni","abuseful"
"niƙa","abusefully"
"ninka","abusefulness"
"nisa","abuser"
"nishadi","abusers"
"niyya","abuses"
"noma","abush"
"nono","abusing"
"nufi","abusion"
"nukiliya","abusious"
"numfashi","abusive"
"nuna","abusively"
"nunawa","abusiveness"
"nuni","abusivenesses"
"nutsar","abut"
"nutse","Abuta"
"Nuwamba","Abutilon"
"oda","abutilons"
"ofishin","abutment"
"oh","abutments"
"Oktoba","abuts"
"ooh","abuttal"
"otal","abuttals"
"oxygen","abutted"
"oza","abutter"
"pad","abutters"
"page","abutter's"
"Palasdinawa","abutting"
"panel","abuzz"
"pant","abv"
"Paparoma","abvolt"
"parking","abvolts"
"pc","abwab"
"photo","abwatt"
"piano","abwatts"
"pine","ac"
"pizza","ac-"
"play","a-c"
"player","AC/DC"
"pm","ACAA"
"pop","Acacallis"
"post","acacatechin"
"premium","acacatechol"
"pro","Acacea"
"Pull","Acaceae"
"purple","acacetin"
"quite","Acacia"
"ra'ayi","Acacian"
"ra'ayin","acacias"
"raba","acaciin"
"rabi","acacin"
"rabin","acacine"
"rabo","acad"
"rabuwa","academe"
"radar","academes"
"radiation","Academy"
"rafi","academia"
"rage","academial"
"raguwa","academian"
"rahama","academias"
"rahotanni","Academic"
"rahoto","academical"
"rai","academically"
"rajista","academicals"
"rakiyar","academician"
"rami","academicians"
"rana","academicianship"
"rangwame","academicism"
"rantsuwa","academics"
"rare","academie"
"rarraba","academies"
"rarrafe","academy's"
"rasa","academise"
"rashi","academised"
"rataya","academising"
"rating","academism"
"raunana","academist"
"raunata","academite"
"rauni","academization"
"rawa","academize"
"rawaya","academized"
"ray","academizing"
"rayuwa","Academus"
"re","Acadia"
"real","acadialite"
"rediyo","Acadian"
"reno","Acadie"
"Republican","Acaena"
"reshe","acajou"
"riba","acajous"
"riga","acal"
"rigakafi","acalculia"
"rike","acale"
"riƙe","acaleph"
"rikici","Acalepha"
"rikicin","Acalephae"
"rikitarwa","acalephan"
"rikodin","acalephe"
"rinjaye","acalephes"
"ritaya","acalephoid"
"roka","acalephs"
"roki","Acalia"
"roko","acalycal"
"Roman","acalycine"
"rõwa","acalycinous"
"rubuta","acalyculate"
"rubutu","Acalypha"
"rubutun","Acalypterae"
"rudani","Acalyptrata"
"rude","Acalyptratae"
"rudu","acalyptrate"
"rufe","Acamar"
"rufi","Acamas"
"rugujewa","Acampo"
"ruhi","acampsia"
"rumfa","acana"
"runduna","acanaceous"
"runguma","acanonical"
"ruwa","acanth"
"sa'a","acanth-"
"saba","acantha"
"sababbi","Acanthaceae"
"sabanin","acanthaceous"
"sabis","acanthad"
"sabo","Acantharia"
"saboda","acanthi"
"sabulu","Acanthia"
"sabunta","acanthial"
"sadaka","acanthin"
"sadarwa","acanthine"
"sadaukar","acanthion"
"sadaukarwa","acanthite"
"safa","acantho-"
"safe","acanthocarpous"
"saint","Acanthocephala"
"saita","acanthocephalan"
"saitin","Acanthocephali"
"sajan","acanthocephalous"
"saje","Acanthocereus"
"saka","acanthocladous"
"sakamako","Acanthodea"
"sakandare","acanthodean"
"sakankancẽwa","Acanthodei"
"sakatare","Acanthodes"
"sake","acanthodian"
"saki","Acanthodidae"
"sako","Acanthodii"
"sako-sako","Acanthodini"
"salatin","acanthoid"
"sallama","Acantholimon"
"salo","acantholysis"
"sama","acanthology"
"saman","acanthological"
"samarwa","acanthoma"
"samfurin","acanthomas"
"sami","Acanthomeridae"
"samu","acanthon"
"samuwa","Acanthopanax"
"samuwar","Acanthophis"
"sana'a","acanthophorous"
"sanadi","acanthopod"
"sanar","acanthopodous"
"sanarwa","acanthopomatous"
"Sanata","acanthopore"
"sanda","acanthopteran"
"sani","Acanthopteri"
"saniya","acanthopterygian"
"sannan","Acanthopterygii"
"sannu","acanthopterous"
"santsi","acanthoses"
"sanwici","acanthosis"
"sanya","acanthotic"
"sanyi","acanthous"
"sara","Acanthuridae"
"sarari","Acanthurus"
"sarauniya","acanthus"
"sarauta","acanthuses"
"sarkar","acanthuthi"
"sarki","acapnia"
"sarrafa","acapnial"
"sarrafawa","acapnias"
"sasantawa","acappella"
"sashe","acapsular"
"sashen","acapu"
"sashi","Acapulco"
"sassaka","acara"
"sassaƙa","Acarapis"
"sassauci","acarari"
"sata","acardia"
"Satumba","acardiac"
"sauka","acardite"
"saukaka","acari"
"sauƙaƙe","acarian"
"sauke","acariasis"
"sauki","acariatre"
"sauƙi","acaricidal"
"saukowa","acaricide"
"saura","acarid"
"sauran","Acarida"
"saurare","acaridae"
"saurayi","acaridan"
"sauri","acaridans"
"sauti","Acaridea"
"sautin","acaridean"
"sawu","acaridomatia"
"saya","acaridomatium"
"sayarwa","acarids"
"sell","acariform"
"sha","Acarina"
"sha'awa","acarine"
"sha'awar","acarines"
"shaci","acarinosis"
"shafa","Acarnan"
"shafi","acarocecidia"
"shago","acarocecidium"
"shahara","acarodermatitis"
"shahararre","acaroid"
"shahararsa","acarol"
"shaida","acarology"
"shaidan","acarologist"
"shakatawa","acarophilous"
"shakka","acarophobia"
"shamaki","acarotoxic"
"shanu","acarpellous"
"shara","acarpelous"
"share","acarpous"
"sharhi","Acarus"
"shari'a","ACAS"
"shark","acast"
"sharuddan","Acastus"
"shata","acatalectic"
"shawa","acatalepsy"
"shawara","acatalepsia"
"shawarwarin","acataleptic"
"shayi","acatallactic"
"shedar","acatamathesia"
"shekara","acataphasia"
"shekara-shekara","acataposis"
"shekaru","acatastasia"
"sheriff","acatastatic"
"shi","acate"
"shida","acategorical"
"shiga","acater"
"shigar","acatery"
"shigarwa","acates"
"shinge","acatharsy"
"shinkafa","acatharsia"
"shirayi","acatholic"
"shiri","acaudal"
"shirin","acaudate"
"shirme","acaudelescent"
"shiru","acaulescence"
"shirya","acaulescent"
"shiryawa","acauline"
"shiryayye","acaulose"
"shirye","acaulous"
"shirye-shirye","ACAWS"
"shoot","ACB"
"shugaba","ACBL"
"shugaban","ACC"
"shuka","acc."
"shuru","acca"
"sifa","accable"
"siffa","Accad"
"siffata","accademia"
"sifili","Accadian"
"siga","Accalia"
"sigar","acce"
"sigina","accede"
"sihiri","acceded"
"sikelin","accedence"
"siket","acceder"
"siliki","acceders"
"sinadaran","accedes"
"Sinanci","acceding"
"sintiri","accel"
"siriya","accel."
"sirri","accelerable"
"site","accelerando"
"sito","accelerant"
"siyasa","accelerate"
"ski","accelerated"
"slam","acceleratedly"
"so","accelerates"
"soda","accelerating"
"sodium","acceleratingly"
"software","acceleration"
"soja","accelerations"
"sojoji","accelerative"
"soke","accelerator"
"solo","acceleratory"
"sophisticated","accelerators"
"sosai","accelerograph"
"Soviet","accelerometer"
"soyayya","accelerometers"
"Spanish","accelerometer's"
"Sphere","accend"
"studio","accendibility"
"su","accendible"
"sufuri","accensed"
"suite","accension"
"suka","accensor"
"sukari","accent"
"sulhu","accented"
"sumba","accenting"
"suna","accentless"
"super","accentor"
"ta","accentors"
"ta'addanci","accents"
"ta'aziyya","accentuable"
"tab","accentual"
"taba","accentuality"
"tabawa","accentually"
"tabbas","accentuate"
"tabbatacce","accentuated"
"tabbatar","accentuates"
"tablespoon","accentuating"
"tabo","accentuation"
"tace","accentuations"
"tafarnuwa","accentuator"
"tafasa","accentus"
"tafi","accept"
"tafiya","acceptability"
"tafkin","acceptabilities"
"Tag","acceptable"
"taga","acceptableness"
"tagwaye","acceptably"
"taimaka","acceptance"
"taimako","acceptances"
"takaice","acceptance's"
"takaici","acceptancy"
"taƙaitawa","acceptancies"
"takalma","acceptant"
"takamaiman","acceptation"
"takara","acceptavit"
"takarce","accepted"
"takarda","acceptedly"
"takardar","acceptee"
"take","acceptees"
"taki","accepter"
"takobi","accepters"
"takunkumi","acceptilate"
"takura","acceptilated"
"takwaransa","acceptilating"
"takwas","acceptilation"
"talabijin","accepting"
"talakawa","acceptingly"
"Talata","acceptingness"
"talatin","acception"
"talauci","acceptive"
"talla","acceptor"
"tallace-tallace","acceptors"
"tallafawa","acceptor's"
"tallafi","acceptress"
"tallatawa","accepts"
"tambari","accerse"
"tambaya","accersition"
"tanadi","accersitor"
"tanda","access"
"tanki","accessability"
"tanƙwara","accessable"
"tantance","accessary"
"tanti","accessaries"
"tap","accessarily"
"tara","accessariness"
"taraka","accessaryship"
"tarayya","accessed"
"tare","accesses"
"tarho","accessibility"
"tari","accessibilities"
"tarihi","accessible"
"tarihin","accessibleness"
"tarin","accessibly"
"tarko","accessing"
"taro","accession"
"taron","accessional"
"tartsatsi","accessioned"
"tarzoma","accessioner"
"tasa","accessioning"
"tasha","accessions"
"tashar","accession's"
"tashi","accessit"
"tasiri","accessive"
"tasowa","accessively"
"taswira","accessless"
"tattauna","accessor"
"tattaunawa","accessory"
"tattoo","accessorial"
"tauna","accessories"
"tauraro","accessorii"
"tausayi","accessorily"
"taushi","accessoriness"
"tawa","accessory's"
"tawagar","accessorius"
"tawali'u","accessoriusorii"
"tawayar","accessorize"
"tawaye","accessorized"
"tawul","accessorizing"
"taya","accessors"
"tayi","accessor's"
"tayin","acciaccatura"
"tazara","acciaccaturas"
"teaspoon","acciaccature"
"tebur","accidence"
"tef","accidency"
"teku","accidencies"
"tide","accident"
"tiger","accidental"
"tikitin","accidentalism"
"tilastawa","accidentalist"
"tip","accidentality"
"tirela","accidentally"
"tiriliyan","accidentalness"
"titi","accidentals"
"tiyata","accidentary"
"tiyoloji","accidentarily"
"tofa","accidented"
"toka","accidential"
"tono","accidentiality"
"toshe","accidently"
"Trend","accident-prone"
"tsada","accidents"
"tsaga","accidia"
"tsage","accidias"
"tsakani","accidie"
"tsakanin","accidies"
"tsakiya","accinge"
"tsallake","accinged"
"tsalle","accinging"
"tsammani","accipenser"
"tsana","accipient"
"tsanani","Accipiter"
"tsara","accipitral"
"tsararru","accipitrary"
"tsarewa","Accipitres"
"tsari","accipitrine"
"tsarin","accipter"
"tsarki","accise"
"tsaro","accismus"
"tsawo","accite"
"tsaya","Accius"
"tsayawa","acclaim"
"tsayayya","acclaimable"
"tsayayye","acclaimed"
"tsaye","acclaimer"
"tsayi","acclaimers"
"tseren","acclaiming"
"tserewa","acclaims"
"t-shirt","acclamation"
"tsibirin","acclamations"
"Tsine","acclamator"
"tsinkaya","acclamatory"
"tsira","acclimatable"
"tsirara","acclimatation"
"tsiraru","acclimate"
"tsiri","acclimated"
"tsofaffi","acclimatement"
"tsoho","acclimates"
"tsohon","acclimating"
"tsoka","acclimation"
"tsoro","acclimations"
"tsotsa","acclimatisable"
"tsuntsu","acclimatisation"
"tuba","acclimatise"
"tubali","acclimatised"
"tube","acclimatiser"
"tudu","acclimatising"
"tufafi","acclimatizable"
"tufatarwa","acclimatization"
"tuhuma","acclimatizations"
"tuke","acclimatize"
"tuki","acclimatized"
"tuƙi","acclimatizer"
"tukuna","acclimatizes"
"tukunya","acclimatizing"
"tukuru","acclimature"
"tulu","acclinal"
"tumaki","acclinate"
"tumatir","acclivity"
"tun","acclivities"
"tuna","acclivitous"
"tunani","acclivous"
"tunanin","accloy"
"tunatarwa","accoast"
"tune","accoy"
"tuntuba","accoyed"
"tuntuɓar","accoying"
"tura","accoil"
"turanci","Accokeek"
"turkey","accolade"
"tursasa","accoladed"
"tursasawa","accolades"
"tururi","accolated"
"tushe","accolent"
"tushen","accoll"
"tuta","accolle"
"tv","accolled"
"twitter","accollee"
"uba","Accomac"
"ubangiji","accombination"
"uh","accommodable"
"uku","accommodableness"
"um","accommodate"
"umarni","accommodated"
"unguwa","accommodately"
"uniform","accommodateness"
"unsa","accommodates"
"up","accommodating"
"uwa","accommodatingly"
"uwar","accommodatingness"
"uzuri","accommodation"
"vampire","accommodational"
"van","accommodationist"
"vs","accommodations"
"wa'azi","accommodative"
"wadanda","accommodatively"
"wadannan","accommodativeness"
"wadata","accommodator"
"wahala","accommodators"
"wahayi","accomodate"
"wai","accompanable"
"waje","accompany"
"wajen","accompanied"
"wajibi","accompanier"
"waka","accompanies"
"waƙa","accompanying"
"wake","accompanyist"
"wakilai","accompaniment"
"wakilci","accompanimental"
"wakili","accompaniments"
"wakiltar","accompaniment's"
"waliyyi","accompanist"
"walƙiya","accompanists"
"wallahi","accompanist's"
"wanda","accomplement"
"wane","accompletive"
"wani","accompli"
"wanka","accomplice"
"wanke","accomplices"
"wanki","accompliceship"
"wannan","accomplicity"
"wanzu","accomplis"
"waraka","accomplish"
"ware","accomplishable"
"wari","accomplished"
"warware","accomplisher"
"wasa","accomplishers"
"wasanni","accomplishes"
"wasu","accomplishing"
"waswasi","accomplishment"
"wata","accomplishments"
"watakila","accomplishment's"
"watch","accomplisht"
"watsa","accompt"
"watsawa","accord"
"watsi","accordable"
"wauta","accordance"
"wawa","accordances"
"waya","accordancy"
"wayewa","accordant"
"wayo","accordantly"
"wayyo","accordatura"
"wear","accordaturas"
"whale","accordature"
"win","accorded"
"write","accorder"
"wuce","accorders"
"wucewa","according"
"wuka","accordingly"
"wuri","accordion"
"wuta","accordionist"
"wutsiya","accordionists"
"wuya","accordions"
"wuyansa","accordion's"
"xa'a","accords"
"ya","accorporate"
"yabo","accorporation"
"yaɗa","accost"
"yadi","accostable"
"yadu","accosted"
"yafi","accosting"
"yahudawa","accosts"
"yaki","accouche"
"yaƙi","accouchement"
"yallabai","accouchements"
"yalwa","accoucheur"
"yamma","accoucheurs"
"'yan","accoucheuse"
"yanayi","accoucheuses"
"yanayin","accounsel"
"'yanci","account"
"yanke","accountability"
"yanki","accountabilities"
"yankin","accountable"
"yanzu","accountableness"
"'yar","accountably"
"yarda","accountancy"
"yarinta","accountancies"
"yarinya","accountant"
"yarjejeniya","accountants"
"yaro","accountant's"
"'yar'uwa","accountantship"
"yashi","accounted"
"yatsa","accounter"
"yau","accounters"
"yaudara","accounting"
"yaushe","accountings"
"yawa","accountment"
"yawan","accountrement"
"yawanci","accounts"
"yawo","accouple"
"yaya","accouplement"
"yeah","accourage"
"yi","accourt"
"yiwuwa","accouter"
"your","accoutered"
"Yuli","accoutering"
"yumbu","accouterment"
"yunwa","accouterments"
"yuwuwar","accouters"
"za","accoutre"
"zabe","accoutred"
"zaben","accoutrement"
"zabi","accoutrements"
"zaɓi","accoutres"
"zafi","accoutring"
"zagaye","Accoville"
"zagi","ACCRA"
"zahiri","accrease"
"zaitun","accredit"
"zakara","accreditable"
"zaki","accreditate"
"zama","accreditation"
"zaman","accreditations"
"zamani","accredited"
"zamba","accreditee"
"zamewa","accrediting"
"zana","accreditment"
"zance","accredits"
"zane","accrementitial"
"zanen","accrementition"
"zanga-zangar","accresce"
"zango","accrescence"
"zaren","accrescendi"
"zargi","accrescendo"
"zargin","accrescent"
"zartarwa","accretal"
"zato","accrete"
"zauna","accreted"
"zaure","accretes"
"zayyana","accreting"
"zazzaɓi","accretion"
"zazzagewa","accretionary"
"ze","accretions"
"zinariya","accretion's"
"zirga-zirga","accretive"
"ziyarci","accriminate"
"zo","Accrington"
"zobe","accroach"
"zolaya","accroached"
"zomo","accroaching"
"zuba","accroachment"
"zubar","accroides"
"zube","accruable"
"zuciya","accrual"
"zuga","accruals"
"zuma","accrue"
"zumudi","accrued"
"zunubi","accruement"
"zurfi","accruer"
"zurfin","accrues"
"zuwa","accruing"
