"Basque","English"
"eskatzen","absist"
"eskaut","absistos"
"eske","absit"
"eskema","absmho"
"eskertuta","absohm"
"eskia","absoil"
"esklabo","absolent"
"esklabotza","Absolute"
"esklusiboa","absolutely"
"esklusiboki","absoluteness"
"eskola","absoluter"
"eskritura","absolutes"
"eskua","absolutest"
"eskualdea","absolution"
"eskualdekoa","absolutions"
"eskubidea","absolutism"
"eskudirua","absolutist"
"esku-hartzea","absolutista"
"eskuila","absolutistic"
"eskukada","absolutistically"
"eskulana","absolutists"
"eskularrua","absolutive"
"eskultura","absolutization"
"eskumena","absolutize"
"eskumuturra","absolutory"
"eskuoihal","absolvable"
"eskuragarri","absolvatory"
"eskuragarria","absolve"
"eskuratu","absolved"
"eskuratzea","absolvent"
"eskuzabala","absolver"
"esleipena","absolvers"
"esleitu","absolves"
"esna","absolving"
"esne","absolvitor"
"espaloia","absolvitory"
"esparrua","absonant"
"espazioa","absonous"
"espektroa","absorb"
"espekulazioa","absorbability"
"esperientzia","absorbable"
"esperientziadun","absorbance"
"esperimentala","absorbancy"
"esperimentua","absorbant"
"espero","absorbed"
"espezialista","absorbedly"
"espezializatu","absorbedness"
"espezializazioa","absorbefacient"
"espeziea","absorbency"
"espezifikoak","absorbencies"
"espioia","absorbent"
"espirituala","absorbents"
"esplizitua","absorber"
"esplizituki","absorbers"
"esplorazioa","absorbing"
"esportatu","absorbingly"
"esposizio","absorbition"
"establezimendua","absorbs"
"estadioa","absorbtion"
"estaldura","absorpt"
"estalkia","absorptance"
"estandarra","absorptiometer"
"estatistikak","absorptiometric"
"estatistikoa","absorption"
"Estatu","absorptional"
"estatua","absorptions"
"estatutua","absorption's"
"esteka","absorptive"
"estiloa","absorptively"
"estimatu","absorptiveness"
"estimatutako","absorptivity"
"estimua","absquatulate"
"estimulu","absquatulation"
"estrategia","abstain"
"estrategikoa","abstained"
"estresa","abstainer"
"estu","abstainers"
"estua","abstaining"
"estudioa","abstainment"
"estutu","abstains"
"eszena","abstemious"
"eszenatokia","abstemiously"
"et","abstemiousness"
"eta","abstention"
"eta/edo","abstentionism"
"etab","abstentionist"
"etan","abstentions"
"etapa","abstentious"
"etekina","absterge"
"eten","absterged"
"etengabe","abstergent"
"etengabea","absterges"
"etengailua","absterging"
"etika","absterse"
"etiketa","abstersion"
"etikoa","abstersive"
"etnikoa","abstersiveness"
"etorbidea","abstertion"
"etorkina","abstinence"
"etorkizuna","abstinences"
"etorrera","abstinency"
"etorri","abstinent"
"etortzen","abstinential"
"etsai","abstinently"
"etsaia","abstort"
"etsi-etsian","abstr"
"etsipena","abstract"
"etsita","abstractable"
"etxea","abstracted"
"etxebizitza","abstractedly"
"etxekoa","abstractedness"
"etxekoak","abstracter"
"etxera","abstracters"
"etzan","abstractest"
"eu","abstracting"
"euria","abstraction"
"europarra","abstractional"
"euskarria","abstractionism"
"eutsi","abstractionist"
"exekutatu","abstractionists"
"exekutiboa","abstractions"
"exekuzioa","abstraction's"
"existentzia","abstractitious"
"existitzen","abstractive"
"ez","abstractively"
"ezabatu","abstractiveness"
"ezaguna","abstractly"
"ezagunak","abstractness"
"ezagutarazi","abstractnesses"
"ezagutu","abstractor"
"ezagutza","abstractors"
"ezarpena","abstractor's"
"ezarri","abstracts"
"ezaugarria","abstrahent"
"ezaugarritu","abstrict"
"ezean","abstricted"
"ezezaguna","abstricting"
"ezin","abstriction"
"ezinbesteko","abstricts"
"ezinbestekoa","abstrude"
"ezinezkoa","abstruse"
"ezintasuna","abstrusely"
"ezjakin","abstruseness"
"ezjakintasuna","abstrusenesses"
"ezker","abstruser"
"ezkondu","abstrusest"
"ezkondua","abstrusion"
"ezkontide","abstrusity"
"ezkontza","abstrusities"
"ezkutatu","absume"
"ezkutu","absumption"
"ezkutuan","absurd"
"ezohikoa","absurder"
"ezpaina","absurdest"
"ezpata","absurdism"
"ezta","absurdist"
"eztabaida","absurdity"
"eztabaidatu","absurdities"
"eztanda","absurdity's"
"eztarria","absurdly"
"eztia","absurdness"
"fabrika","absurds"
"fabrikatzailea","absurdum"
"fabrikazioa","absvolt"
"faktorea","abt"
"faktura","abterminal"
"fakultatea","abthain"
"falta","abthainry"
"faltsu","abthainrie"
"familia","abthanage"
"fantasia","abtruse"
"fantastikoa","Abu"
"fasea","abubble"
"fauna","Abu-Bekr"
"fedea","Abucay"
"fededuna","abucco"
"federala","abuilding"
"fenomenoa","Abukir"
"festa","abuleia"
"fidagarriak","Abulfeda"
"fidagarritasuna","abulia"
"fidatu","abulias"
"fidela","abulic"
"fikzioa","abulyeit"
"filma","abulomania"
"filosofia","abumbral"
"filosofikoa","abumbrellar"
"finala","Abuna"
"finantzak","abundance"
"finantzaketa","abundances"
"finantzarioa","abundancy"
"finka","abundant"
"finkatu","Abundantia"
"finkoa","abundantly"
"fisika","abune"
"fisikoa","abura"
"fisikoki","aburabozu"
"fiskala","aburagiri"
"fitness","aburban"
"fitxa","Abury"
"fitxategia","aburst"
"flash","aburton"
"flota","abusable"
"flotatu","abusage"
"fluidoa","abuse"
"fokua","abused"
"fondoa","abusedly"
"forma","abusee"
"formakuntza","abuseful"
"formala","abusefully"
"formatua","abusefulness"
"formula","abuser"
"foroa","abusers"
"fortuna","abuses"
"fosila","abush"
"frankizia","abusing"
"frantsesa","abusion"
"freskoa","abusious"
"friki","abusive"
"froga","abusively"
"frogatu","abusiveness"
"frustrazioa","abusivenesses"
"fruta","abut"
"fundazioa","Abuta"
"funtsean","Abutilon"
"funtzioa","abutilons"
"funtzionala","abutment"
"funtzionatu","abutments"
"funtzionatzen","abuts"
"furgoneta","abuttal"
"fusila","abuttals"
"futbola","abutted"
"gabe","abutter"
"gabonak","abutters"
"gai","abutter's"
"Gai","abutting"
"gaia","abuzz"
"gailua","abv"
"gailurra","abvolt"
"gainbegiratu","abvolts"
"gainbehera","abwab"
"gainditu","abwatt"
"gainean","abwatts"
"gainera","ac"
"gaitasuna","ac-"
"gaitu","a-c"
"gaitzetsi","AC/DC"
"gaixo","ACAA"
"gaixotasuna","Acacallis"
"gaizki","acacatechin"
"gaiztoa","acacatechol"
"galaxia","Acacea"
"galdeketa","Acaceae"
"galdera","acacetin"
"galdetegia","Acacia"
"galdetu","Acacian"
"galdu","acacias"
"galdua","acaciin"
"galera","acacin"
"galeria","acacine"
"galtzaile","acad"
"galtzerdi","academe"
"ganadua","academes"
"ganadutegia","Academy"
"ganbera","academia"
"garagardoa","academial"
"garaia","academian"
"garaikidea","academias"
"garaipena","Academic"
"garaitu","academical"
"garajea","academically"
"garapena","academicals"
"garatu","academician"
"garatzailea","academicians"
"garatzen","academicianship"
"garbi","academicism"
"garbia","academics"
"garbitegia","academie"
"garbitu","academies"
"garestia","academy's"
"garezurra","academise"
"garia","academised"
"garraioa","academising"
"garrantzia","academism"
"garrantzitsua","academist"
"garrantzitsuak","academite"
"garrasi","academization"
"garuna","academize"
"gasa","academized"
"gasolina","academizing"
"gastatu","Academus"
"gastua","Acadia"
"gatazka","acadialite"
"gatza","Acadian"
"gaua","Acadie"
"gauerdia","Acaena"
"gaur","acajou"
"gauza","acajous"
"gauzak","acal"
"gauzatu","acalculia"
"gay","acale"
"gazta","acaleph"
"gaztea","Acalepha"
"gaztelania","Acalephae"
"gaztelua","acalephan"
"gazteria","acalephe"
"gaztetxoa","acalephes"
"gehi","acalephoid"
"gehiago","acalephs"
"gehiegizkoa","Acalia"
"gehienak","acalycal"
"gehienbat","acalycine"
"gehienez","acalycinous"
"gehiengoa","acalyculate"
"gehigarria","Acalypha"
"gehitu","Acalypterae"
"gela","Acalyptrata"
"gelditu","Acalyptratae"
"geltokia","acalyptrate"
"genea","Acamar"
"generoa","Acamas"
"genetikoa","Acampo"
"geratu","acampsia"
"geratzen","acana"
"gero","acanaceous"
"geroago","acanonical"
"geroztik","acanth"
"gerra","acanth-"
"gerrikoa","acantha"
"gertaera","Acanthaceae"
"gertakaria","acanthaceous"
"gertatu","acanthad"
"gertu","Acantharia"
"gertutik","acanthi"
"geruza","Acanthia"
"gezia","acanthial"
"gezurra","acanthin"
"Gezurra","acanthine"
"gezurtia","acanthion"
"gibela","acanthite"
"gidalerroa","acantho-"
"gidari","acanthocarpous"
"gidaria","Acanthocephala"
"gidatu","acanthocephalan"
"gidatzea","Acanthocephali"
"gidoia","acanthocephalous"
"gihar","Acanthocereus"
"giltza","acanthocladous"
"Gimnasioa","Acanthodea"
"giroa","acanthodean"
"gisa","Acanthodei"
"gitarra","Acanthodes"
"gizakia","acanthodian"
"gizartea","Acanthodidae"
"gizatasuna","Acanthodii"
"gizon","Acanthodini"
"gizonezkoa","acanthoid"
"globala","Acantholimon"
"globoa","acantholysis"
"gobernadore","acanthology"
"gobernatu","acanthological"
"Gobernu","acanthoma"
"gogoa","acanthomas"
"gogobetetasuna","Acanthomeridae"
"gogoeta","acanthon"
"gogokoena","Acanthopanax"
"gogorarazi","Acanthophis"
"gogoratu","acanthophorous"
"gogorra","acanthopod"
"gogoz","acanthopodous"
"goian","acanthopomatous"
"goikoa","acanthopore"
"goi-mailakoa","acanthopteran"
"goiz","Acanthopteri"
"goizean","acanthopterygian"
"golfa","Acanthopterygii"
"golkoa","acanthopterous"
"gomendatu","acanthoses"
"gomendio","acanthosis"
"gona","acanthotic"
"gonbidapena","acanthous"
"gonbidatu","Acanthuridae"
"gonbidatua","Acanthurus"
"gonbita","acanthus"
"gop","acanthuses"
"gora","acanthuthi"
"goratu","acapnia"
"gorbata","acapnial"
"gordailua","acapnias"
"gorde","acappella"
"gordina","acapsular"
"gorena","acapu"
"gorputza","Acapulco"
"gorputz-adarra","acara"
"gorria","Acarapis"
"gorrotoa","acarari"
"gortina","acardia"
"gosaria","acardiac"
"gosea","acardite"
"goxoa","acari"
"gozatu","acarian"
"gozoa","acariasis"
"gozokiak","acariatre"
"grabaketa","acaricidal"
"grabitatea","acaricide"
"Gradu","acarid"
"graduazioa","Acarida"
"grafikoa","acaridae"
"gramoa","acaridan"
"grazia","acaridans"
"greba","Acaridea"
"grekoa","acaridean"
"grisa","acaridomatia"
"gu","acaridomatium"
"guapoa","acarids"
"guardia","acariform"
"gudari","Acarina"
"gudua","acarine"
"guk","acarines"
"gunea","acarinosis"
"gurasoa","Acarnan"
"gurasoak","acarocecidia"
"gurdi","acarocecidium"
"gure","acarodermatitis"
"gurea","acaroid"
"gurina","acarol"
"gurpila","acarology"
"gurutzaldi","acarologist"
"gurutzea","acarophilous"
"gutuna","acarophobia"
"gutxi","acarotoxic"
"gutxiago","acarpellous"
"gutxienekoa","acarpelous"
"gutxienez","acarpous"
"gutxiengoa","Acarus"
"gutxitan","ACAS"
"gutxitu","acast"
"guztiak","Acastus"
"guztira","acatalectic"
"guztiz","acatalepsy"
"ha","acatalepsia"
"habea","acataleptic"
"habitata","acatallactic"
"hagaxka","acatamathesia"
"haiek","acataphasia"
"haien","acataposis"
"hainbat","acatastasia"
"haizagailua","acatastatic"
"haizea","acate"
"halakoak","acategorical"
"halloween","acater"
"hamabi","acatery"
"hamabost","acates"
"hamaika","acatharsy"
"hamar","acatharsia"
"hamarkada","acatholic"
"han","acaudal"
"hanburgesa","acaudate"
"handia","acaudelescent"
"handitu","acaulescence"
"handituz","acaulescent"
"hanka","acauline"
"haragia","acaulose"
"harago","acaulous"
"hardwarea","ACAWS"
"harea","ACB"
"haren","ACBL"
"haria","ACC"
"haritza","acc."
"harrapari","acca"
"harrapatu","accable"
"harremana","Accad"
"harrera","accademia"
"harria","Accadian"
"harrigarria","Accalia"
"harrigarriro","acce"
"harritu","accede"
"harrituta","acceded"
"harritzen","accedence"
"harro","acceder"
"harrotasuna","acceders"
"hartu","accedes"
"hartzailea","acceding"
"haserre","accel"
"haserrea","accel."
"hasi","accelerable"
"hasiberria","accelerando"
"hasiera","accelerant"
"hasierakoa","accelerate"
"hasieran","accelerated"
"hasiz","acceleratedly"
"hasperen","accelerates"
"hatz","accelerating"
"hau","acceleratingly"
"hauek","acceleration"
"haurdun","accelerations"
"haurdunaldia","accelerative"
"haurra","accelerator"
"haurtxoa","acceleratory"
"haurtzaroa","accelerators"
"hausnarketa","accelerograph"
"hautagaia","accelerometer"
"hautagarria","accelerometers"
"hautaketa","accelerometer's"
"hautatu","accend"
"hauteman","accendibility"
"hautematen","accendible"
"hauteskunde","accensed"
"hauteskundeak","accension"
"hauteslea","accensor"
"hautetsi","accent"
"hautsa","accented"
"hautsi","accenting"
"hautsita","accentless"
"hazbetekoa","accentor"
"hazi","accentors"
"hazia","accents"
"hazkundea","accentuable"
"hazten","accentual"
"hedabideak","accentuality"
"hedapena","accentually"
"hedatua","accentuate"
"hegala","accentuated"
"hegaldia","accentuates"
"hegan","accentuating"
"hegazkin","accentuation"
"hegazkina","accentuations"
"hegazkinak","accentuator"
"hegoaldekoa","accentus"
"hegoaldera","accept"
"hego-ekialdea","acceptability"
"hego-mendebaldea","acceptabilities"
"helbidea","acceptable"
"Helburu","acceptableness"
"helburua","acceptably"
"heldu","acceptance"
"heldua","acceptances"
"heldulekua","acceptance's"
"helikopteroa","acceptancy"
"helmuga","acceptancies"
"hemen","acceptant"
"heredatu","acceptation"
"herensuge","acceptavit"
"heriotza","accepted"
"heroia","acceptedly"
"herria","acceptee"
"herrialdea","acceptees"
"herrikoia","accepter"
"herritarra","accepters"
"herritartasuna","acceptilate"
"hertsiki","acceptilated"
"hesi","acceptilating"
"hesia","acceptilation"
"hezi","accepting"
"hezitzailea","acceptingly"
"hezkuntza","acceptingness"
"hezurra","acception"
"hi","acceptive"
"higadura","acceptor"
"hil","acceptors"
"hilabetea","acceptor's"
"hildakoak","acceptress"
"hilero","accepts"
"hileta","accerse"
"hilgarria","accersition"
"hilketa","accersitor"
"hilkortasuna","access"
"hilobia","accessability"
"hiltzaile","accessable"
"hiltzailea","accessary"
"hiltzea","accessaries"
"hiltzen","accessarily"
"hipoteka","accessariness"
"hipotesia","accessaryship"
"hiria","accessed"
"hirikoa","accesses"
"hiru","accessibility"
"hirugarrena","accessibilities"
"hispaniarra","accessible"
"historia","accessibleness"
"historialaria","accessibly"
"historikoa","accessing"
"historikoki","accession"
"hitza","accessional"
"hitzaldia","accessioned"
"hitzezkoa","accessioner"
"hitzordua","accessioning"
"hizkera","accessions"
"hizketan","accession's"
"hizkuntza","accessit"
"hizlari","accessive"
"hiztegia","accessively"
"hmm","accessless"
"hobekuntza","accessor"
"hobeto","accessory"
"hobetu","accessorial"
"hobia","accessories"
"hockeya","accessorii"
"Hodei","accessorily"
"hodia","accessoriness"
"hoditeria","accessory's"
"hogei","accessorius"
"holandera","accessoriusorii"
"hondakinak","accessorize"
"hondamena","accessorized"
"hondamendia","accessorizing"
"hondartza","accessors"
"hori","accessor's"
"horia","acciaccatura"
"horiek","acciaccaturas"
"horizonte","acciaccature"
"horma","accidence"
"hormigoia","accidency"
"hormona","accidencies"
"hornidura","accident"
"hornitzailea","accidental"
"horregatik","accidentalism"
"horrela","accidentalist"
"hortz","accidentality"
"hostoa","accidentally"
"hotela","accidentalness"
"hotza","accidentals"
"hunkituta","accidentary"
"hura","accidentarily"
"hurbildu","accidented"
"hurrengoa","accidential"
"hustuketa","accidentiality"
"hutsa","accidently"
"hutsala","accident-prone"
"hutsik","accidents"
"hutsunea","accidia"
"i","accidias"
"ia","accidie"
"ibaia","accidies"
"ibilbidea","accinge"
"ibilgailua","accinged"
"ibili","accinging"
"idatzi","accipenser"
"idatzia","accipient"
"idazkaria","Accipiter"
"idazlea","accipitral"
"idaztea","accipitrary"
"ideala","Accipitres"
"ideia","accipitrine"
"identifikatu","accipter"
"identifikazioa","accise"
"identitatea","accismus"
"ideologia","accite"
"ideologikoa","Accius"
"idiota","acclaim"
"igandea","acclaimable"
"igarotzen","acclaimed"
"igarri","acclaimer"
"igerilekua","acclaimers"
"igo","acclaiming"
"igoera","acclaims"
"igogailua","acclamation"
"igorpena","acclamations"
"igurtzi","acclamator"
"ihardun","acclamatory"
"ihesa","acclimatable"
"ijezketa","acclimatation"
"ikara","acclimate"
"ikaragarria","acclimated"
"ikaratu","acclimatement"
"ikasgaia","acclimates"
"ikasgela","acclimating"
"ikasi","acclimation"
"ikaskuntza","acclimations"
"ikaslea","acclimatisable"
"ikatza","acclimatisation"
"ikerketa","acclimatise"
"ikertu","acclimatised"
"ikertzailea","acclimatiser"
"ikonoa","acclimatising"
"ikusezina","acclimatizable"
"ikusgai","acclimatization"
"ikusgarria","acclimatizations"
"ikusi","acclimatize"
"ikuskapena","acclimatized"
"ikuskatzailea","acclimatizer"
"ikusle","acclimatizes"
"ikusmena","acclimatizing"
"ikuspegia","acclimature"
"ilara","acclinal"
"ilargia","acclinate"
"ilea","acclivity"
"iltzea","acclivities"
"iluna","acclivitous"
"ilunabarra","acclivous"
"iluntasuna","accloy"
"ilusioa","accoast"
"ilustratu","accoy"
"ilustrazioa","accoyed"
"imajinatu","accoying"
"immigrazioa","accoil"
"immunea","Accokeek"
"inbaditu","accolade"
"inbasioa","accoladed"
"inbentarioa","accolades"
"inbertitu","accolated"
"inbertitzailea","accolent"
"inbertsioa","accoll"
"indarkeria","accolle"
"indarra","accolled"
"indartsu","accollee"
"indartsua","Accomac"
"indartu","accombination"
"independentea","accommodable"
"independentzia","accommodableness"
"indiarra","accommodate"
"indigena","accommodated"
"indioilarra","accommodately"
"industria","accommodateness"
"industriala","accommodates"
"induzitu","accommodating"
"infekzioa","accommodatingly"
"infernua","accommodatingness"
"inflazioa","accommodation"
"informatu","accommodational"
"informazioa","accommodationist"
"ingelesa","accommodations"
"ingeniaria","accommodative"
"ingeniaritza","accommodatively"
"inguratu","accommodativeness"
"inguruan","accommodator"
"ingurumena","accommodators"
"ingurunea","accomodate"
"inkesta","accompanable"
"inkestatua","accompany"
"inoiz","accompanied"
"inon","accompanier"
"inperioa","accompanies"
"inplikatu","accompanying"
"inplikatuta","accompanyist"
"inplikazioa","accompaniment"
"inportatu","accompanimental"
"inposatu","accompaniments"
"inpresioa","accompaniment's"
"inprimatu","accompanist"
"inspiratu","accompanists"
"inspirazioa","accompanist's"
"instalatu","accomplement"
"instalazioa","accompletive"
"instantzia","accompli"
"Institutua","accomplice"
"instituzionala","accomplices"
"instruktiboa","accompliceship"
"instrukzioa","accomplicity"
"integrala","accomplis"
"integratu","accomplish"
"integrazioa","accomplishable"
"intelektuala","accomplished"
"intentsitatea","accomplisher"
"interesa","accomplishers"
"interesatuta","accomplishes"
"interesgarria","accomplishing"
"interfazea","accomplishment"
"internet","accomplishments"
"interpretatu","accomplishment's"
"interpretazioa","accomplisht"
"intimoa","accompt"
"intsektu","accord"
"intxaurra","accordable"
"ipad","accordance"
"ipar-ekialdea","accordances"
"iparraldea","accordancy"
"iparraldekoa","accordant"
"iphone","accordantly"
"ipuina","accordatura"
"ipurdia","accordaturas"
"irabazi","accordature"
"irabazia","accorded"
"irabaziak","accorder"
"irabazlea","accorders"
"irabiatu","according"
"iradoki","accordingly"
"iradokizuna","accordion"
"iragana","accordionist"
"iragarkia","accordionists"
"iragarpena","accordions"
"iragarri","accordion's"
"iragazkia","accords"
"iraila","accorporate"
"iraina","accorporation"
"iraingarria","accost"
"irakaskuntza","accostable"
"irakaslea","accosted"
"irakatsi","accosting"
"irakiarra","accosts"
"irakiten","accouche"
"irakurle","accouchement"
"irakurri","accouchements"
"irakurtzen","accoucheur"
"iraniarra","accoucheurs"
"irauli","accoucheuse"
"iraulketa","accoucheuses"
"iraultza","accounsel"
"iraultzailea","account"
"iraun","accountability"
"iraunkorra","accountabilities"
"irekia","accountable"
"Irekitze","accountableness"
"irina","accountably"
"iristea","accountancy"
"iritzia","accountancies"
"irizpideak","accountant"
"irla","accountants"
"irlandera","accountant's"
"irmoa","accountantship"
"ironia","accounted"
"irratia","accounter"
"irribarre","accounters"
"irrikaz","accounting"
"irristatu","accountings"
"irteera","accountment"
"irten","accountrement"
"irtenbidea","accounts"
"irudia","accouple"
"irudikapena","accouplement"
"irudikatu","accourage"
"irudimena","accourt"
"iruzkin","accouter"
"iruzkina","accoutered"
"iruzurra","accoutering"
"isatsa","accouterment"
"isilik","accouterments"
"isil-isilik","accouters"
"isiltasuna","accoutre"
"islamia","accoutred"
"islamikoa","accoutrement"
"islatu","accoutrements"
"isolatu","accoutres"
"isolatze","accoutring"
"ispilua","Accoville"
"israeldarra","ACCRA"
"istripua","accrease"
"isuri","accredit"
"italiarra","accreditable"
"ito","accreditate"
"itsasertza","accreditation"
"itsasoa","accreditations"
"itsasontzia","accredited"
"itsastarra","accreditee"
"itsu","accrediting"
"itsusia","accreditment"
"itun","accredits"
"iturria","accrementitial"
"itxaron","accrementition"
"itxaropena","accresce"
"itxi","accrescence"
"itxita","accrescendi"
"itxura","accrescendo"
"itxuratu","accrescent"
"itxuraz","accretal"
"itxurazkoa","accrete"
"itzala","accreted"
"itzali","accretes"
"itzuli","accreting"
"itzulia","accretion"
"itzulpena","accretionary"
"izaki","accretions"
"izan","accretion's"
"izarra","accretive"
"izatea","accriminate"
"izeba","Accrington"
"izena","accroach"
"Izenburua","accroached"
"izendapena","accroaching"
"izendatu","accroachment"
"izenean","accroides"
"izerdia","accruable"
"izkina","accrual"
"izokina","accruals"
"izorratu","accrue"
"izorratzen","accrued"
"izotza","accruement"
"izoztu","accruer"
"izoztuta","accrues"
"izpi","accruing"
"izpiritua","ACCS"
"izterrean","ACCT"
"izua","acct."
"izugarri","accts"
"izugarria","accubation"
"jabea","accubita"
"jabetza","accubitum"
"jadanik","accubitus"
"jaialdia","accueil"
"jainkoa","accultural"
"jainkotiarra","acculturate"
"jaioa","acculturated"
"jaiotza","acculturates"
"jaitsi","acculturating"
"jaka","acculturation"
"jakin","acculturational"
"jakinduria","acculturationist"
"jakin-mina","acculturative"
"jakintsu","acculturize"
"jakitun","acculturized"
"jan","acculturizing"
"janari","accum"
"janaria","accumb"
"jantokia","accumbency"
"jantzi","accumbent"
"jantzia","accumber"
"japoniarra","accumulable"
"jarduera","accumulate"
"jardun","accumulated"
"jaregin","accumulates"
"jarioa","accumulating"
"jarraian","accumulation"
"jarraitu","accumulations"
"jarraituz","accumulativ"
"jarraitzailea","accumulative"
"jarrera","accumulatively"
"jarri","accumulativeness"
"jasan","accumulator"
"jasangarria","accumulators"
"jaso","accumulator's"
"jaten","accupy"
"jatetxea","accur"
"jatorra","accuracy"
"jatorria","accuracies"
"jatorriz","accurate"
"jatorrizkoa","accurately"
"jauna","accurateness"
"jauntxoa","accuratenesses"
"jauregia","accurre"
"jaurti","accurse"
"jaurtiketa","accursed"
"jauzi","accursedly"
"jazarpena","accursedness"
"jazza","accursing"
"jeloskor","accurst"
"jendea","accurtation"
"jendetza","accus"
"jenioa","accusable"
"jet","accusably"
"jo","accusal"
"joan","accusals"
"joera","accusant"
"jokabide","accusants"
"jokabidea","accusation"
"jokalaria","accusations"
"jokoa","accusation's"
"jolastu","accusatival"
"jostailua","accusative"
"judiziala","accusative-dative"
"judu","accusatively"
"juntadura","accusativeness"
"justifikatu","accusatives"
"justizia","accusator"
"Kabi","accusatory"
"kabina","accusatorial"
"kabinete","accusatorially"
"kablea","accusatrix"
"kafea","accusatrixes"
"kafetegia","accuse"
"kaiola","accused"
"kaixo","accuser"
"kaka","accusers"
"kakahuete","accuses"
"kako","accusing"
"kalea","accusingly"
"kalejira","accusive"
"kalezuloa","accusor"
"kalifikazioa","accustom"
"kalitatea","accustomation"
"kalkulatu","accustomed"
"kalkulua","accustomedly"
"kaloria","accustomedness"
"kalte","accustoming"
"kalteak","accustomize"
"kalte-ordaina","accustomized"
"kamera","accustomizing"
"kamioia","accustoms"
"kamiseta","Accutron"
"kanadarra","ACD"
"kanala","ACDA"
"kandela","AC-DC"
"kanpaia","ACE"
"kanpaina","acea"
"kanpamentua","aceacenaphthene"
"kanpoan","aceae"
"kanpokoa","acean"
"kanpora","aceanthrene"
"kanporaketa","aceanthrenequinone"
"kantitatea","acecaffin"
"kaosa","acecaffine"
"kapitaina","aceconitic"
"kapitala","aced"
"kapitalismoa","acedy"
"kapitulua","acedia"
"karbohidratoa","acediamin"
"karbonoa","acediamine"
"kargatu","acedias"
"karitatea","acediast"
"karpa","ace-high"
"karratu","Acey"
"karrera","acey-deucy"
"kartazala","aceite"
"kartela","aceituna"
"kartzela","Aceldama"
"kasinoa","aceldamas"
"kaskarra","acellular"
"kaskoa","Acemetae"
"kasua","Acemetic"
"kasualitatea","acemila"
"katea","acenaphthene"
"kategoria","acenaphthenyl"
"katilu","acenaphthylene"
"katolikoa","acenesthesia"
"katua","acensuada"
"kausa","acensuador"
"kazetaria","acentric"
"kazetaritza","acentrous"
"kea","aceology"
"keinua","aceologic"
"kendu","aceous"
"kentzea","acephal"
"kexa","Acephala"
"kexatu","acephalan"
"kezka","Acephali"
"kezkagarria","acephalia"
"kezkatu","Acephalina"
"kezkatuta","acephaline"
"kidea","acephalism"
"kiloa","acephalist"
"kilometroa","Acephalite"
"kimika","acephalocyst"
"kimikoa","acephalous"
"Kirola","acephalus"
"kirurgia","acepots"
"kit","acequia"
"kitzikatu","acequiador"
"klasea","acequias"
"klasikoa","Acer"
"klausula","Aceraceae"
"klinika","aceraceous"
"klinikoa","Acerae"
"klipa","Acerata"
"kluba","acerate"
"kluster","acerated"
"koadrila","Acerates"
"koalizioa","acerathere"
"kobazuloa","Aceratherium"
"kodea","aceratosis"
"kognitiboa","acerb"
"koherentea","Acerbas"
"koherentziaz","acerbate"
"koilarakada","acerbated"
"koilaratxo","acerbates"
"Kokapen","acerbating"
"kokapena","acerber"
"kokatu","acerbest"
"kokotsa","acerbic"
"kolapsatu","acerbically"
"kolektiboa","acerbity"
"kolesterola","acerbityacerose"
"kolonia","acerbities"
"kolonial","acerbitude"
"kolore","acerbly"
"kolpatu","acerbophobia"
"kolpea","acerdol"
"komandante","aceric"
"komedia","acerin"
"komertziala","acerli"
"komikia","acerola"
"komisarioa","acerolas"
"komisioa","acerose"
"komuna","acerous"
"komunikatu","acerra"
"komunikazioa","acers"
"komunista","acertannin"
"komunitatea","acerval"
"konbentzimendua","acervate"
"konbentzioa","acervately"
"konbentzionala","acervatim"
"konbentzitu","acervation"
"konbentzituta","acervative"
"konbinatu","acervose"
"konbinatuta","acervuli"
"konbinazioa","acervuline"
"kondaira","acervulus"
"kondenatu","aces"
"konektatu","ace's"
"konexioa","acescence"
"konfiantza","acescency"
"kongresista","acescent"
"kongresua","acescents"
"konketa","aceship"
"konpainia","Acesius"
"konparatu","acesodyne"
"konplexua","acesodynous"
"konplexutasuna","Acessamenus"
"konplikatua","Acestes"
"konpondu","acestoma"
"konponketa","acet-"
"konposatu","aceta"
"konposatua","acetable"
"konposizioa","acetabula"
"konprometitu","acetabular"
"konpromisoa","Acetabularia"
"konspirazioa","acetabuliferous"
"konstantea","acetabuliform"
"Konstituzioa","acetabulous"
"konstituzionala","acetabulum"
"kontabilitatea","acetabulums"
"kontagailua","acetacetic"
"kontaktua","acetal"
"kontatu","acetaldehydase"
"kontinentea","acetaldehyde"
"kontrakoa","acetaldehydrase"
"kontrastatu","acetaldol"
"kontratatu","acetalization"
"kontratista","acetalize"
"kontratua","acetals"
"kontrola","acetamid"
"kontserbadorea","acetamide"
"kontserbazioa","acetamidin"
"kontsulta","acetamidine"
"kontsultatu","acetamido"
"kontsumitu","acetamids"
"kontsumitzailea","acetaminol"
"kontsumoa","Acetaminophen"
"kontua","acetanilid"
"kontuan","acetanilide"
"konturatu","acetanion"
"kontuz","acetaniside"
"kontzejua","acetanisidide"
"kontzentratu","acetanisidine"
"kontzentrazioa","acetannin"
"kontzeptua","acetary"
"kontzepzioa","acetarious"
"kontzertua","acetars"
"kontzesionarioa","acetarsone"
"kontziente","acetate"
"kontzientzia","acetated"
"koordinatzailea","acetates"
