"Vietnamese","English"
"đòm","abstractly"
"đỏm","abstractness"
"đóm","abstractnesses"
"đon","abstractor"
"đòn","abstractors"
"đón","abstractor's"
"đọn","abstracts"
"đong","abstrahent"
"đòng","abstrict"
"đóng","abstricted"
"đọng","abstricting"
"đọt","abstriction"
"đô","abstricts"
"đô-la","abstrude"
"đồ","abstruse"
"đổ","abstrusely"
"đỗ","abstruseness"
"đố","abstrusenesses"
"độ","abstruser"
"đốc","abstrusest"
"đốc-tờ","abstrusion"
"độc","abstrusity"
"đôi","abstrusities"
"đồi","absume"
"đổi","absumption"
"đỗi","absurd"
"đối","absurder"
"đội","absurdest"
"đốm","absurdism"
"đồn","absurdist"
"đốn","absurdity"
"độn","absurdities"
"đông","absurdity's"
"đông-bắc","absurdly"
"đông-nam","absurdness"
"đồng","absurds"
"đổng","absurdum"
"đống","absvolt"
"động","abt"
"đốp","abterminal"
"độp","abthain"
"đốt","abthainry"
"đột","abthainrie"
"đơ","abthanage"
"đờ","abtruse"
"đỡ","Abu"
"đớ","abubble"
"đợ","Abu-Bekr"
"đời","Abucay"
"đới","abucco"
"đợi","abuilding"
"đơm","Abukir"
"đờm","abuleia"
"đởm","Abulfeda"
"đơn","abulia"
"đờn","abulias"
"đớn","abulic"
"đớp","abulyeit"
"đợp","abulomania"
"đớt","abumbral"
"đợt","abumbrellar"
"đu","Abuna"
"đù","abundance"
"đủ","abundances"
"đú","abundancy"
"đụ","abundant"
"đua","Abundantia"
"đùa","abundantly"
"đũa","abune"
"đúc","abura"
"đục","aburabozu"
"đui","aburagiri"
"đùi","aburban"
"đùm","Abury"
"đúm","aburst"
"đun","aburton"
"đùn","abusable"
"đụn","abusage"
"đùng","abuse"
"đũng","abused"
"đúng","abusedly"
"đụng","abusee"
"đuốc","abuseful"
"đuôi","abusefully"
"đuổi","abusefulness"
"đuối","abuser"
"đuỗn","abusers"
"đúp","abuses"
"đụp","abush"
"đút","abusing"
"đụt","abusion"
"đừ","abusious"
"đứ","abusive"
"đưa","abusively"
"đừa","abusiveness"
"đứa","abusivenesses"
"đức","abut"
"đực","Abuta"
"đưng","Abutilon"
"đừng","abutilons"
"đứng","abutment"
"đựng","abutments"
"đước","abuts"
"được","abuttal"
"đượm","abuttals"
"đườn","abutted"
"đưỡn","abutter"
"đương","abutters"
"đường","abutter's"
"đứt","abutting"
"e","abuzz"
"é","abv"
"ẹ","abvolt"
"éc","abvolts"
"em","abwab"
"ém","abwatt"
"én","abwatts"
"eng","ac"
"eo","ac-"
"ẹo","a-c"
"ép","AC/DC"
"ẹp","ACAA"
"ét","Acacallis"
"ét-xăng","acacatechin"
"ẹt","acacatechol"
"ê","Acacea"
"ê-ke","Acaceae"
"ê-kíp","acacetin"
"ê-tô","Acacia"
"ề","Acacian"
"ế","acacias"
"ếch","acaciin"
"êm","acacin"
"ếm","acacine"
"ềnh","acad"
"ễnh","academe"
"ệnh","academes"
"ga-ma","Academy"
"ga-men","academia"
"ga-ra","academial"
"ga-tô","academian"
"gà","academias"
"gả","Academic"
"gã","academical"
"gá","academically"
"gạ","academicals"
"gác","academician"
"gạc","academicians"
"gạch","academicianship"
"gai","academicism"
"gài","academics"
"gãi","academie"
"gái","academies"
"gam","academy's"
"gan","academise"
"gàn","academised"
"gán","academising"
"gạn","academism"
"gang","academist"
"ganh","academite"
"gành","academization"
"gánh","academize"
"gạnh","academized"
"gào","academizing"
"gáo","Academus"
"gạo","Acadia"
"gạt","acadialite"
"gàu","Acadian"
"gay","Acadie"
"gảy","Acaena"
"gãy","acajou"
"gáy","acajous"
"găm","acal"
"gằm","acalculia"
"gặm","acale"
"gằn","acaleph"
"gắn","Acalepha"
"găng","Acalephae"
"gắng","acalephan"
"gặng","acalephe"
"gắp","acalephes"
"gặp","acalephoid"
"gắt","acalephs"
"gặt","Acalia"
"gấc","acalycal"
"gầm","acalycine"
"gẫm","acalycinous"
"gấm","acalyculate"
"gậm","Acalypha"
"gân","Acalypterae"
"gần","Acalyptrata"
"gấp","Acalyptratae"
"gập","acalyptrate"
"gật","Acamar"
"gầu","Acamas"
"gẫu","Acampo"
"gấu","acampsia"
"gây","acana"
"gầy","acanaceous"
"gấy","acanonical"
"gậy","acanth"
"gen","acanth-"
"ghe","acantha"
"ghè","Acanthaceae"
"ghẻ","acanthaceous"
"ghé","acanthad"
"ghẹ","Acantharia"
"ghém","acanthi"
"ghen","Acanthia"
"ghèn","acanthial"
"ghẹo","acanthin"
"ghép","acanthine"
"ghét","acanthion"
"ghê","acanthite"
"ghế","acantho-"
"ghếch","acanthocarpous"
"ghềnh","Acanthocephala"
"ghểnh","acanthocephalan"
"ghệt","Acanthocephali"
"ghi","acanthocephalous"
"ghi-đông","Acanthocereus"
"ghi-ta","acanthocladous"
"ghì","Acanthodea"
"ghiền","acanthodean"
"ghim","Acanthodei"
"ghìm","Acanthodes"
"gi-lê","acanthodian"
"gì","Acanthodidae"
"gỉ","Acanthodii"
"gí","Acanthodini"
"gia","acanthoid"
"già","Acantholimon"
"giả","acantholysis"
"giã","acanthology"
"giá","acanthological"
"giạ","acanthoma"
"giác","acanthomas"
"giai","Acanthomeridae"
"giải","acanthon"
"giại","Acanthopanax"
"giam","Acanthophis"
"giảm","acanthophorous"
"giám","acanthopod"
"gian","acanthopodous"
"giàn","acanthopomatous"
"giãn","acanthopore"
"gián","acanthopteran"
"giang","Acanthopteri"
"giàng","acanthopterygian"
"giảng","Acanthopterygii"
"giáng","acanthopterous"
"giạng","acanthoses"
"gianh","acanthosis"
"giành","acanthotic"
"giảnh","acanthous"
"giao","Acanthuridae"
"giào","Acanthurus"
"giảo","acanthus"
"giáo","acanthuses"
"giáp","acanthuthi"
"giát","acapnia"
"giạt","acapnial"
"giàu","acapnias"
"giảu","acappella"
"giày","acapsular"
"giãy","acapu"
"giặc","Acapulco"
"giăm","acara"
"giăm-bông","Acarapis"
"giằm","acarari"
"giặm","acardia"
"giăng","acardiac"
"giằng","acardite"
"giắt","acari"
"giặt","acarian"
"giấc","acariasis"
"giâm","acariatre"
"giầm","acaricidal"
"giẫm","acaricide"
"giấm","acarid"
"giậm","Acarida"
"giần","acaridae"
"giận","acaridan"
"giấp","acaridans"
"giập","Acaridea"
"giật","acaridean"
"giầu","acaridomatia"
"giấu","acaridomatium"
"giậu","acarids"
"giây","acariform"
"giầy","Acarina"
"giẫy","acarine"
"giấy","acarines"
"giẻ","acarinosis"
"gié","Acarnan"
"gièm","acarocecidia"
"gieo","acarocecidium"
"giẹo","acarodermatitis"
"giẹp","acaroid"
"giếc","acarol"
"giền","acarology"
"giêng","acarologist"
"giềng","acarophilous"
"giếng","acarophobia"
"giết","acarotoxic"
"giễu","acarpellous"
"gìm","acarpelous"
"gìn","acarpous"
"gio","Acarus"
"giò","ACAS"
"giỏ","acast"
"gió","Acastus"
"gióc","acatalectic"
"gioi","acatalepsy"
"giòi","acatalepsia"
"giỏi","acataleptic"
"giọi","acatallactic"
"giòn","acatamathesia"
"gión","acataphasia"
"giong","acataposis"
"giỏng","acatastasia"
"gióng","acatastatic"
"giọng","acate"
"giọt","acategorical"
"giô","acater"
"giồ","acatery"
"giỗ","acates"
"giộ","acatharsy"
"giồi","acatharsia"
"giổi","acatholic"
"giối","acaudal"
"giội","acaudate"
"giông","acaudelescent"
"giồng","acaulescence"
"giống","acaulescent"
"giộp","acauline"
"giơ","acaulose"
"giờ","acaulous"
"giở","ACAWS"
"giời","ACB"
"giới","ACBL"
"giờn","ACC"
"giỡn","acc."
"gip","acca"
"giu","accable"
"giũ","Accad"
"giú","accademia"
"giua","Accadian"
"giũa","Accalia"
"giục","acce"
"giùi","accede"
"giủi","acceded"
"giúi","accedence"
"giụi","acceder"
"giùm","acceders"
"giun","accedes"
"giuộc","acceding"
"giúp","accel"
"giừ","accel."
"giữ","accelerable"
"giữa","accelerando"
"giương","accelerant"
"giường","accelerate"
"giượng","accelerated"
"giựt","acceleratedly"
"go","accelerates"
"gò","accelerating"
"gõ","acceleratingly"
"goá","acceleration"
"góc","accelerations"
"gỏi","accelerative"
"gói","accelerator"
"gọi","acceleratory"
"gom","accelerators"
"gon","accelerograph"
"gòn","accelerometer"
"gọn","accelerometers"
"gọng","accelerometer's"
"goòng","accend"
"góp","accendibility"
"gót","accendible"
"gọt","accensed"
"gô","accension"
"gồ","accensor"
"gỗ","accent"
"gộ","accented"
"gốc","accenting"
"gồi","accentless"
"gối","accentor"
"gội","accentors"
"gôm","accents"
"gồm","accentuable"
"gốm","accentual"
"gôn","accentuality"
"gông","accentually"
"gồng","accentuate"
"gộp","accentuated"
"gột","accentuates"
"gơ","accentuating"
"gơ-lu-xit","accentuation"
"gờ","accentuations"
"gở","accentuator"
"gỡ","accentus"
"gởi","accept"
"gợi","acceptability"
"gờm","acceptabilities"
"gớm","acceptable"
"gợn","acceptableness"
"gợt","acceptably"
"gu","acceptance"
"gù","acceptances"
"gụ","acceptance's"
"gục","acceptancy"
"gùi","acceptancies"
"gùn","acceptant"
"guốc","acceptation"
"guồng","acceptavit"
"gút","accepted"
"gụt","acceptedly"
"gừ","acceptee"
"gửi","acceptees"
"gừng","accepter"
"gươm","accepters"
"gườm","acceptilate"
"gượm","acceptilated"
"gương","acceptilating"
"gượng","acceptilation"
"ha","accepting"
"hà","acceptingly"
"hả","acceptingness"
"há","acception"
"hạ","acceptive"
"hạc","acceptor"
"hách","acceptors"
"hạch","acceptor's"
"hai","acceptress"
"hài","accepts"
"hãi","accerse"
"hái","accersition"
"hại","accersitor"
"ham","access"
"hàm","accessability"
"hãm","accessable"
"hám","accessary"
"han","accessaries"
"hàn","accessarily"
"hán","accessariness"
"hạn","accessaryship"
"hang","accessed"
"hàng","accesses"
"hãng","accessibility"
"háng","accessibilities"
"hạng","accessible"
"hành","accessibleness"
"hạnh","accessibly"
"hao","accessing"
"hào","accession"
"hão","accessional"
"háo","accessioned"
"hạp","accessioner"
"hạt","accessioning"
"hàu","accessions"
"háu","accession's"
"hay","accessit"
"hãy","accessive"
"háy","accessively"
"hắc","accessless"
"hặc","accessor"
"hăm","accessory"
"hằn","accessorial"
"hẳn","accessories"
"hắn","accessorii"
"hăng","accessorily"
"hằng","accessoriness"
"hẵng","accessory's"
"hắt","accessorius"
"hâm","accessoriusorii"
"hầm","accessorize"
"hẩm","accessorized"
"hấn","accessorizing"
"hận","accessors"
"hẩng","accessor's"
"hẫng","acciaccatura"
"hấng","acciaccaturas"
"hấp","acciaccature"
"hập","accidence"
"hất","accidency"
"hầu","accidencies"
"hẩu","accident"
"hấu","accidental"
"hậu","accidentalism"
"hây","accidentalist"
"hẩy","accidentality"
"hấy","accidentally"
"he","accidentalness"
"hè","accidentals"
"hé","accidentary"
"hẹ","accidentarily"
"héc-ta","accidented"
"hèm","accidential"
"hẻm","accidentiality"
"hẹm","accidently"
"hen","accident-prone"
"hèn","accidents"
"hẹn","accidia"
"heo","accidias"
"hèo","accidie"
"hẻo","accidies"
"héo","accinge"
"hẹp","accinged"
"hét","accinging"
"hê","accipenser"
"hề","accipient"
"hể","Accipiter"
"hệ","accipitral"
"hếch","accipitrary"
"hệch","Accipitres"
"hên","accipitrine"
"hến","accipter"
"hểnh","accise"
"hết","accismus"
"hệt","accite"
"hếu","Accius"
"hi-la","acclaim"
"hì","acclaimable"
"hí","acclaimed"
"hia","acclaimer"
"hích","acclaimers"
"hịch","acclaiming"
"hiềm","acclaims"
"hiểm","acclamation"
"hiếm","acclamations"
"hiên","acclamator"
"hiền","acclamatory"
"hiến","acclimatable"
"hiện","acclimatation"
"hiếng","acclimate"
"hiếp","acclimated"
"hiệp","acclimatement"
"hiểu","acclimates"
"hiếu","acclimating"
"hiệu","acclimation"
"hĩm","acclimations"
"hình","acclimatisable"
"hỉnh","acclimatisation"
"híp","acclimatise"
"híp-pi","acclimatised"
"hít","acclimatiser"
"ho","acclimatising"
"hò","acclimatizable"
"họ","acclimatization"
"hoa","acclimatizations"
"hoài","acclimatize"
"hoàn","acclimatized"
"hoãn","acclimatizer"
"hoạn","acclimatizes"
"hoang","acclimatizing"
"hoàng","acclimature"
"hoảng","acclinal"
"hoắc","acclinate"
"hoặc","acclivity"
"hoắm","acclivities"
"hoăng","acclivitous"
"hoẵng","acclivous"
"hoắt","accloy"
"hóc","accoast"
"học","accoy"
"hoe","accoyed"
"hòe","accoying"
"hoen","accoil"
"hoét","Accokeek"
"hoẹt","accolade"
"hoi","accoladed"
"hỏi","accolades"
"hói","accolated"
"hom","accolent"
"hòm","accoll"
"hỏm","accolle"
"hõm","accolled"
"hóm","accollee"
"hòn","Accomac"
"hỏn","accombination"
"hong","accommodable"
"hòng","accommodableness"
"hỏng","accommodate"
"hóng","accommodated"
"họng","accommodately"
"hóp","accommodateness"
"họp","accommodates"
"hót","accommodating"
"hô","accommodatingly"
"hồ","accommodatingness"
"hổ","accommodation"
"hố","accommodational"
"hộ","accommodationist"
"hốc","accommodations"
"hộc","accommodative"
"hôi","accommodatively"
"hồi","accommodativeness"
"hổi","accommodator"
"hối","accommodators"
"hội","accomodate"
"hôm","accompanable"
"hôn","accompany"
"hồn","accompanied"
"hỗn","accompanier"
"hộn","accompanies"
"hông","accompanying"
"hồng","accompanyist"
"hổng","accompaniment"
"hộp","accompanimental"
"hốt","accompaniments"
"hột","accompaniment's"
"hơ","accompanist"
"hờ","accompanists"
"hở","accompanist's"
"hớ","accomplement"
"hơi","accompletive"
"hời","accompli"
"hởi","accomplice"
"hỡi","accomplices"
"hợi","accompliceship"
"hợm","accomplicity"
"hơn","accomplis"
"hờn","accomplish"
"hớp","accomplishable"
"hợp","accomplished"
"hớt","accomplisher"
"hù","accomplishers"
"hủ","accomplishes"
"hũ","accomplishing"
"hú","accomplishment"
"hua","accomplishments"
"hùa","accomplishment's"
"huấn","accomplisht"
"húc","accompt"
"huê","accord"
"huề","accordable"
"huệ","accordance"
"huếch","accordances"
"hủi","accordancy"
"húi","accordant"
"hụi","accordantly"
"hùm","accordatura"
"hũm","accordaturas"
"hụm","accordature"
"hun","accorded"
"hùn","accorder"
"hung","accorders"
"hùng","according"
"húng","accordingly"
"huống","accordion"
"huơ","accordionist"
"húp","accordionists"
"hụp","accordions"
"hút","accordion's"
"hụt","accords"
"huỷ","accorporate"
"huý","accorporation"
"huých","accost"
"huyên","accostable"
"huyền","accosted"
"huyện","accosting"
"huyết","accosts"
"huyệt","accouche"
"huynh","accouchement"
"huỳnh","accouchements"
"huýt","accoucheur"
"hư","accoucheurs"
"hử","accoucheuse"
"hứa","accoucheuses"
"hừm","accounsel"
"hửng","account"
"hứng","accountability"
"hượm","accountabilities"
"hương","accountable"
"hường","accountableness"
"hưởng","accountably"
"hướng","accountancy"
"hươu","accountancies"
"hưu","accountant"
"hữu","accountants"
"i-nốc","accountant's"
"i-ốt","accountantship"
"ì","accounted"
"ỉ","accounter"
"ị","accounters"
"ỉa","accounting"
"ích","accountings"
"ịch","accountment"
"im","accountrement"
"ỉm","accounts"
"in","accouple"
"ít","accouplement"
"ịt","accourage"
"ỉu","accourt"
"ka-ki","accouter"
"ka-li","accoutered"
"ke","accoutering"
"kè","accouterment"
"kẻ","accouterments"
"kẽ","accouters"
"ké","accoutre"
"kẹ","accoutred"
"kéc","accoutrement"
"kem","accoutrements"
"kèm","accoutres"
"kẽm","accoutring"
"kém","Accoville"
"ken","ACCRA"
"kèn","accrease"
"kén","accredit"
"kẹn","accreditable"
"keng","accreditate"
"kẻng","accreditation"
"keo","accreditations"
"kèo","accredited"
"kẻo","accreditee"
"kéo","accrediting"
"kẹo","accreditment"
"kép","accredits"
"kẹp","accrementitial"
"két","accrementition"
"kẹt","accresce"
"kê","accrescence"
"kê-pi","accrescendi"
"kề","accrescendo"
"kể","accrescent"
"kế","accretal"
"kệ","accrete"
"kếch","accreted"
"kệch","accretes"
"kềm","accreting"
"kền","accretion"
"kênh","accretionary"
"kềnh","accretions"
"kệnh","accretion's"
"kết","accretive"
"kêu","accriminate"
"kều","Accrington"
"khà","accroach"
"khá","accroached"
"khác","accroaching"
"khạc","accroachment"
"khách","accroides"
"khai","accruable"
"khái","accrual"
"kham","accruals"
"khảm","accrue"
"khám","accrued"
"khan","accruement"
"khàn","accruer"
"khản","accrues"
"khán","accruing"
"kháng","ACCS"
"khanh","ACCT"
"khảnh","acct."
"khánh","accts"
"khao","accubation"
"khảo","accubita"
"kháo","accubitum"
"kháp","accubitus"
"khát","accueil"
"khau","accultural"
"kháu","acculturate"
"khay","acculturated"
"khảy","acculturates"
"kháy","acculturating"
"khắc","acculturation"
"khăm","acculturational"
"khẳm","acculturationist"
"khắm","acculturative"
"khăn","acculturize"
"khẳn","acculturized"
"khăng","acculturizing"
"khằng","accum"
"khẳng","accumb"
"khắp","accumbency"
"khấc","accumbent"
"khâm","accumber"
"khẩn","accumulable"
"khấn","accumulate"
"khất","accumulated"
"khâu","accumulates"
"khẩu","accumulating"
"khấu","accumulation"
"khẩy","accumulations"
"khe","accumulativ"
"khè","accumulative"
"khẻ","accumulatively"
"khẽ","accumulativeness"
"khẹc","accumulator"
"khem","accumulators"
"khen","accumulator's"
"khèn","accupy"
"khén","accur"
"kheo","accuracy"
"khéo","accuracies"
"khép","accurate"
"khét","accurately"
"khê","accurateness"
"khế","accuratenesses"
"khênh","accurre"
"khểnh","accurse"
"khêu","accursed"
"khều","accursedly"
"khi","accursedness"
"khì","accursing"
"khỉ","accurst"
"khí","accurtation"
"khía","accus"
"khích","accusable"
"khiêm","accusably"
"khiên","accusal"
"khiền","accusals"
"khiến","accusant"
"khiêng","accusants"
"khiễng","accusation"
"khiếp","accusations"
"khiếu","accusation's"
"khinh","accusatival"
"khít","accusative"
"khịt","accusative-dative"
"khíu","accusatively"
"kho","accusativeness"
"khò","accusatives"
"khó","accusator"
"khoa","accusatory"
"khoả","accusatorial"
"khoá","accusatorially"
"khoác","accusatrix"
"khoai","accusatrixes"
"khoái","accuse"
"khoan","accused"
"khoản","accuser"
"khoán","accusers"
"khoang","accuses"
"khoảng","accusing"
"khoáng","accusingly"
"khoanh","accusive"
"khoảnh","accusor"
"khoát","accustom"
"khoáy","accustomation"
"khoăm","accustomed"
"khoằm","accustomedly"
"khoắm","accustomedness"
"khoắng","accustoming"
"khóc","accustomize"
"khoe","accustomized"
"khỏe","accustomizing"
"khóe","accustoms"
"khoeo","Accutron"
"khoèo","ACD"
"khoét","ACDA"
"khỏi","AC-DC"
"khói","ACE"
"khom","acea"
"khòm","aceacenaphthene"
"khóm","aceae"
"khọm","acean"
"khòng","aceanthrene"
"khô","aceanthrenequinone"
"khổ","acecaffin"
"khố","acecaffine"
"khốc","aceconitic"
"khối","aced"
"khôn","acedy"
"khốn","acedia"
"không","acediamin"
"khống","acediamine"
"khờ","acedias"
"khớ","acediast"
"khơi","ace-high"
"khớp","Acey"
"khu","acey-deucy"
"khú","aceite"
"khụ","aceituna"
"khua","Aceldama"
"khuân","aceldamas"
"khuẩn","acellular"
"khuất","Acemetae"
"khuây","Acemetic"
"khuấy","acemila"
"khúc","acenaphthene"
"khục","acenaphthenyl"
"khuê","acenaphthylene"
"khuếch","acenesthesia"
"khui","acensuada"
"khum","acensuador"
"khung","acentric"
"khùng","acentrous"
"khuôn","aceology"
"khuơ","aceologic"
"khuy","aceous"
"khuya","acephal"
"khuyên","Acephala"
"khuyển","acephalan"
"khuyết","Acephali"
"khuỳnh","acephalia"
"khuỷu","Acephalina"
"khuỵu","acephaline"
"khử","acephalism"
"khứa","acephalist"
"khứng","Acephalite"
"khựng","acephalocyst"
"khước","acephalous"
"khươi","acephalus"
"khướt","acepots"
"khướu","acequia"
"ki","acequiador"
"ki-lô","acequias"
"ki-lô-gam","Acer"
"ki-lô-mét","Aceraceae"
"ki-lô-oát","aceraceous"
"ki-nin","Acerae"
"kì","Acerata"
"kỉ","acerate"
"kĩ","acerated"
"kí","Acerates"
"kị","acerathere"
"kia","Aceratherium"
"kìa","aceratosis"
"kích","acerb"
"kịch","Acerbas"
"kiêm","acerbate"
"kiềm","acerbated"
"kiểm","acerbates"
"kiếm","acerbating"
"kiệm","acerber"
"kiên","acerbest"
"kiền","acerbic"
"kiến","acerbically"
"kiện","acerbity"
"kiêng","acerbityacerose"
"kiềng","acerbities"
"kiểng","acerbitude"
"kiễng","acerbly"
"kiếp","acerbophobia"
"kiết","acerdol"
"kiệt","aceric"
"kiêu","acerin"
"kiều","acerli"
"kiểu","acerola"
"kiếu","acerolas"
"kiệu","acerose"
"kim","acerous"
"kìm","acerra"
"kín","acers"
"kinh","acertannin"
"kình","acerval"
"kính","acervate"
"kíp","acervately"
"kịp","acervatim"
"kịt","acervation"
"la","acervative"
"la-de","acervose"
"la-đơn","acervuli"
"la-tê-rít","acervuline"
"la-tinh","acervulus"
"là","aces"
"lả","ace's"
"lã","acescence"
"lá","acescency"
"lạ","acescent"
"lác","acescents"
"lạc","aceship"
"lách","Acesius"
"lạch","acesodyne"
"lai","acesodynous"
"lài","Acessamenus"
"lãi","Acestes"
"lái","acestoma"
"lại","acet-"
"lam","aceta"
"làm","acetable"
"lạm","acetabula"
"lan","acetabular"
"làn","Acetabularia"
"lán","acetabuliferous"
"lang","acetabuliform"
"làng","acetabulous"
"lảng","acetabulum"
"láng","acetabulums"
"lạng","acetacetic"
"lanh","acetal"
"lành","acetaldehydase"
"lảnh","acetaldehyde"
"lãnh","acetaldehydrase"
"lánh","acetaldol"
"lạnh","acetalization"
"lao","acetalize"
"lào","acetals"
"lão","acetamid"
"láo","acetamide"
"lát","acetamidin"
"lạt","acetamidine"
"lau","acetamido"
"làu","acetamids"
"láu","acetaminol"
"lay","Acetaminophen"
"lay-ơn","acetanilid"
"láy","acetanilide"
"lạy","acetanion"
"lắc","acetaniside"
"lắc-lê","acetanisidide"
"lăm","acetanisidine"
"lắm","acetannin"
"lặm","acetary"
"lăn","acetarious"
"lằn","acetars"
"lẳn","acetarsone"
"lặn","acetate"
"lăng","acetated"
"lẳng","acetates"
"lẵng","acetation"
"lắng","acetazolamide"
"lặng","acetbromamide"
"lắp","acetenyl"
"lặp","Acetes"
"lặt","acethydrazide"
"lâm","acetiam"
"lầm","acetic"
"lẩm","acetify"
"lẫm","acetification"
"lấm","acetified"
"lân","acetifier"
"lần","acetifies"
"lẩn","acetifying"
"lẫn","acetyl"
"lấn","acetylacetonates"
"lận","acetylacetone"
"lấp","acetylamine"
"lập","acetylaminobenzene"
"lật","acetylaniline"
"lâu","acetylasalicylic"
"lầu","acetylate"
"lẩu","acetylated"
"lậu","acetylating"
"lây","acetylation"
"lầy","acetylative"
"lẩy","acetylator"
"lẫy","acetylbenzene"
"lấy","acetylbenzoate"
"le","acetylbenzoic"
"le","acetylbiuret"
"lè","acetylcarbazole"
"lẻ","acetylcellulose"
"lẽ","acetylcholine"
"lé","acetylcholinesterase"
"lẹ","acetylcholinic"
"lem","acetylcyanide"
"lém","acetylenation"
"lẹm","acetylene"
"len","acetylenediurein"
"lèn","acetylenes"
"lẻn","acetylenic"
"lén","acetylenyl"
"leo","acetylenogen"
"lèo","acetylfluoride"
"lẽo","acetylglycin"
"léo","acetylglycine"
"lẹo","acetylhydrazine"
"lép","acetylic"
"lét","acetylid"
"lẹt","acetylide"
"lê","acetyliodide"
"lê-dương","acetylizable"
"lê-nin-nít","acetylization"
"lề","acetylize"
"lể","acetylized"
"lễ","acetylizer"
"lệ","acetylizing"
"lệch","acetylmethylcarbinol"
"lên","acetylperoxide"
"lềnh","acetylphenylhydrazine"
"lệnh","acetylphenol"
"lết","acetylrosaniline"
"lêu","acetyls"
"lều","acetylsalicylate"
"lếu","acetylsalicylic"
"li","acetylsalol"
"lì","acetyltannin"
"lí","acetylthymol"
"lị","acetyltropeine"
"lìa","acetylurea"
"lịa","acetimeter"
"lịch","acetimetry"
"liếc","acetimetric"
"liêm","acetin"
"liềm","acetine"
"liếm","acetins"
"liệm","acetite"
"liền","acetize"
"liễn","acetla"
"liệng","acetmethylanilide"
"liếp","acetnaphthalide"
"liệt","aceto-"
"liều","acetoacetanilide"
"liễu","acetoacetate"
"liệu","acetoacetic"
"lim","acetoamidophenol"
"lịm","acetoarsenite"
"linh","Acetobacter"
"lình","acetobenzoic"
"lính","acetobromanilide"
"lịnh","acetochloral"
"líp","acetocinnamene"
"lít","acetoin"
"lịu","acetol"
"lo","acetolysis"
"lò","acetolytic"
"ló","acetometer"
"lọ","acetometry"
"loa","acetometric"
"loài","acetometrical"
"loại","acetometrically"
"loạn","acetomorphin"
"loang","acetomorphine"
"loãng","acetonaemia"
"loáng","acetonaemic"
"loạt","acetonaphthone"
"lóc","acetonate"
"lọc","acetonation"
"loe","acetone"
"loè","acetonemia"
"loé","acetonemic"
"loét","acetones"
"loẹt","acetonic"
"lòi","acetonyl"
"lỏi","acetonylacetone"
"lõi","acetonylidene"
"lọi","acetonitrile"
"lòm","acetonization"
"lỏm","acetonize"
"lõm","acetonuria"
"lóm","acetonurometer"
"lon","acetophenetide"
"lòn","acetophenetidin"
"lỏn","acetophenetidine"
"lọn","acetophenin"
"long","acetophenine"
"lòng","acetophenone"
"lỏng","acetopiperone"
"lõng","acetopyrin"
"lóng","acetopyrine"
"lọng","acetosalicylic"
"lóp","acetose"
"lót","acetosity"
"lọt","acetosoluble"
"lô","acetostearin"
"lô-cốt","acetothienone"
"lô-ga-rít","acetotoluid"
"lô-tô","acetotoluide"
"lồ","acetotoluidine"
"lổ","acetous"
"lỗ","acetoveratrone"
"lố","acetoxyl"
"lộ","acetoxyls"
"lốc","acetoxim"
"lộc","acetoxime"
"lôi","acetoxyphthalide"
"lồi","acetphenetid"
"lỗi","acetphenetidin"
"lối","acetract"
"lội","acettoluide"
"lồm","acetum"
"lồn","aceturic"
"lộn","ACF"
"lông","ACGI"
"lồng","ac-globulin"
"lộng","ACH"
"lốp","Achab"
"lốt","Achad"
"lột","Achaea"
"lơ","Achaean"
"lơ-go","Achaemenes"
"lờ","Achaemenian"
"lở","Achaemenid"
"lỡ","Achaemenidae"
"lợ","Achaemenides"
"lơi","Achaemenidian"
"lời","Achaemenids"
"lợi","achaenocarp"
"lờm","Achaenodon"
"lợm","Achaeta"
"lơn","achaetous"
"lờn","Achaeus"
"lớn","achafe"
"lợn","achage"
"lớp","Achagua"
"lợp","Achaia"
"lợt","Achaian"
"lu","Achakzai"
"lũ","achalasia"
"lú","Achamoth"
"lua","Achan"
"lùa","Achango"
"lúa","achape"
"lụa","achaque"
"luận","achar"
"luật","acharya"
"lúc","Achariaceae"
"lục","Achariaceous"
"lui","acharne"
"lùi","acharnement"
"lủi","Acharnians"
"lụi","achate"
"lùm","Achates"
"lủm","Achatina"
"lũm","Achatinella"
"lúm","Achatinidae"
"lùn","achatour"
"lủn","Achaz"
"lún","ache"
"lụn","acheat"
"lung","achech"
"lùng","acheck"
"lủng","ached"
"lũng","acheer"
"luốc","ACHEFT"
"luộc","acheilary"
"luôn","acheilia"
"luồn","acheilous"
"luồng","acheiria"
"luỗng","acheirous"
"luống","acheirus"
"luốt","Achelous"
"lúp","Achen"
"lút","achene"
"lụt","achenes"
"luỹ","achenia"
"luỵ","achenial"
"luyến","achenium"
"luyện","achenocarp"
"lừ","achenodia"
"lử","achenodium"
"lữ","acher"
"lự","Acherman"
"lừa","Achernar"
"lửa","Acheron"
"lữa","Acheronian"
"lứa","Acherontic"
"lựa","Acherontical"
"lực","aches"
"lưng","Acheson"
"lừng","achesoun"
"lửng","achete"
"lựng","Achetidae"
"lược","Acheulean"
"lười","Acheulian"
"lưỡi","acheweed"
"lưới","achy"
"lườm","achier"
"lượm","achiest"
"lươn","achievability"
"lườn","achievable"
"lượn","achieve"
"lương","achieved"
"lường","achievement"
"lưỡng","achievements"
"lượng","achievement's"
"lướt","achiever"
"lượt","achievers"
