"Nepali","English"
"ज्ञात","abrupt"
"ज्ञान","abruptedly"
"ज्याकेट","abrupter"
"ज्याज","abruptest"
"ज्याला","abruptio"
"ज्वरो","abruption"
"ज्वार","abruptiones"
"ज्वाला","abruptly"
"झटका","abruptness"
"झड्का","Abrus"
"झण्डा","Abruzzi"
"झलक","ABS"
"झाडी","abs-"
"झार","Absa"
"झुन्ड्याउनु","Absalom"
"झूट","absampere"
"झूटो","Absaraka"
"झोला","Absaroka"
"झ्याल","Absarokee"
"टक","absarokite"
"टचडाउन","ABSBH"
"टमाटर","abscam"
"टर्की","abscess"
"टस","abscessed"
"टांक","abscesses"
"टाई","abscessing"
"टाउको","abscession"
"टाढा","abscessroot"
"टापु","abscind"
"टायर","abscise"
"टावर","abscised"
"टिकट","abscises"
"टिकाउ","abscisin"
"टिप","abscising"
"टिप्पणी","abscisins"
"टिभी","abscision"
"टी-शर्ट","absciss"
"टुक्रा","abscissa"
"टूर्नामेंट","abscissae"
"टेनिस","abscissas"
"टेन्डर","abscissa's"
"टेप","abscisse"
"टेलिफोन","abscissin"
"टेलिभिजन","abscission"
"टेलिस्कोप","abscissions"
"टोकरी","absconce"
"टोक्नु","abscond"
"टोन","absconded"
"टोपी","abscondedly"
"टोल","abscondence"
"टोली","absconder"
"ट्याकल","absconders"
"ट्याक्सी","absconding"
"ट्याग","absconds"
"ट्याङ्की","absconsa"
"ट्याटु","abscoulomb"
"ट्याब","abscound"
"ट्याब्लेट","Absecon"
"ट्युमर","absee"
"ट्यूब","absey"
"ट्रंक","abseil"
"ट्रक","abseiled"
"ट्रान्जिट","abseiling"
"ट्रान्समिसन","abseils"
"ट्रिगर","absence"
"ट्रिलियन","absences"
"ट्रेन","absence's"
"ट्रेल","absent"
"ट्रेलर","absentation"
"ट्रेस","absented"
"ट्र्याक","absentee"
"ट्विस्ट","absenteeism"
"ठाउँ","absentees"
"ठाडो","absentee's"
"ठीकसँग","absenteeship"
"ठूलो","absenter"
"ठेकेदार","absenters"
"ठेगाना","absentia"
"ठोस","absenting"
"ठ्याक्कै","absently"
"डच","absentment"
"डम्प","absentminded"
"डर","absent-minded"
"डरलाग्दो","absentmindedly"
"डराउनु","absent-mindedly"
"डराउने","absentmindedness"
"डलर","absent-mindedness"
"डाउनटाउन","absentmindednesses"
"डाक्टर","absentness"
"डाटा","absents"
"डाटाबेस","absfarad"
"डायरी","abshenry"
"डिग्री","Abshier"
"डिजाइन","Absi"
"डिजाइनर","absinth"
"डिजिटल","absinthe"
"डिफेन्डर","absinthes"
"डिसेम्बर","absinthial"
"डिस्क","absinthian"
"डीएनए","absinthiate"
"डुङ्गा","absinthiated"
"डुब्न","absinthiating"
"डुब्नु","absinthic"
"डेक","absinthiin"
"डेब्यू","absinthin"
"डेलिभरी","absinthine"
"डेस्क","absinthism"
"डोमेन","absinthismic"
"डोरी","absinthium"
"ड्रप","absinthol"
"ड्रम","absinthole"
"ड्राइभ","absinths"
"ड्राइभिङ","Absyrtus"
"ड्रिल","absis"
"ड्र्यागन","absist"
"ढकढक","absistos"
"ढलान","absit"
"ढाँचा","absmho"
"ढाल","absohm"
"ढिला","absoil"
"ढिलो","absolent"
"ढीलो","Absolute"
"ढुङ्गा","absolutely"
"ढोका","absoluteness"
"ढोग","absoluter"
"तंबाकू","absolutes"
"तकिया","absolutest"
"तट","absolution"
"तटस्थ","absolutions"
"तटीय","absolutism"
"तत्काल","absolutist"
"तत्व","absolutista"
"तथाकथित","absolutistic"
"तथ्याङ्क","absolutistically"
"तनाव","absolutists"
"तन्काउनुहोस्","absolutive"
"तन्तु","absolutization"
"तयार","absolutize"
"तयारी","absolutory"
"तर","absolvable"
"तरवार","absolvatory"
"तरिका","absolve"
"तर्क","absolved"
"तर्कसंगत","absolvent"
"तर्फ","absolver"
"तर्फबाट","absolvers"
"तल","absolves"
"तलब","absolving"
"तल्लो","absolvitor"
"तह","absolvitory"
"तहखाने","absonant"
"ताजा","absonous"
"तातो","absorb"
"तान्नु","absorbability"
"तान्नुहोस्","absorbable"
"तापक्रम","absorbance"
"तापमान","absorbancy"
"तार","absorbant"
"तारा","absorbed"
"तार्किक","absorbedly"
"ताल","absorbedness"
"ताला","absorbefacient"
"तालिका","absorbency"
"तितरबितर","absorbencies"
"तिनीहरू","absorbent"
"तिनीहरूको","absorbents"
"तिमी","absorber"
"तिम्रो","absorbers"
"तिर्नुहोस्","absorbing"
"ती","absorbingly"
"तीखो","absorbition"
"तीतो","absorbs"
"तीन","absorbtion"
"तीर","absorpt"
"तीव्र","absorptance"
"तीव्रता","absorptiometer"
"तीस","absorptiometric"
"तुरुन्तै","absorption"
"तुलना","absorptional"
"तेल","absorptions"
"तेस्रो","absorption's"
"तैनाती","absorptive"
"तोक्नु","absorptively"
"तौल","absorptiveness"
"तौलिया","absorptivity"
"त्यसपछि","absquatulate"
"त्यसैले","absquatulation"
"त्यहाँ","abstain"
"त्याग्नु","abstained"
"त्यो","abstainer"
"त्रास","abstainers"
"त्रासदी","abstaining"
"त्रुटि","abstainment"
"थकित","abstains"
"थप","abstemious"
"थपियो","abstemiously"
"थप्नुहोस्","abstemiousness"
"थप्पड","abstention"
"थिएटर","abstentionism"
"थुक्नु","abstentionist"
"थुप्रो","abstentions"
"थेरापी","abstentious"
"थोपाउने","absterge"
"थोरै","absterged"
"थ्रेसहोल्ड","abstergent"
"द","absterges"
"दंगा","absterging"
"दक्षता","absterse"
"दक्षिण","abstersion"
"दक्षिणपूर्व","abstersive"
"दक्षिणी","abstersiveness"
"दबाब","abstertion"
"दया","abstinence"
"दयालु","abstinences"
"दर","abstinency"
"दराज","abstinent"
"दरार","abstinential"
"दर्जनौं","abstinently"
"दर्ता","abstort"
"दर्शक","abstr"
"दर्शन","abstract"
"दर्शनीय","abstractable"
"दशक","abstracted"
"दस","abstractedly"
"दाँत","abstractedness"
"दांव","abstracter"
"दाजुभाइ","abstracters"
"दाता","abstractest"
"दान","abstracting"
"दायरा","abstraction"
"दायित्व","abstractional"
"दार्शनिक","abstractionism"
"दावी","abstractionist"
"दास","abstractionists"
"दासत्व","abstractions"
"दिइएको","abstraction's"
"दिउँसो","abstractitious"
"दिन","abstractive"
"दिनचर्या","abstractively"
"दिनु","abstractiveness"
"दिनुहोस्","abstractly"
"दिमाग","abstractness"
"दिवालियापन","abstractnesses"
"दिशा","abstractor"
"दिशानिर्देश","abstractors"
"दीगो","abstractor's"
"दुःस्वप्न","abstracts"
"दुई","abstrahent"
"दुखद","abstrict"
"दुखाइ","abstricted"
"दुखी","abstricting"
"दुबला","abstriction"
"दुबै","abstricts"
"दुरुपयोग","abstrude"
"दुर्घटना","abstruse"
"दुर्भाग्यपूर्ण","abstrusely"
"दुर्भाग्यवश","abstruseness"
"दुर्लभ","abstrusenesses"
"दुलही","abstruser"
"दूतावास","abstrusest"
"दूध","abstrusion"
"दूरी","abstrusity"
"दृढतापूर्वक","abstrusities"
"दृश्य","absume"
"दृष्टान्त","absumption"
"दृष्टि","absurd"
"दृष्टिकोण","absurder"
"देखाउनु","absurdest"
"देखि","absurdism"
"देखिने","absurdist"
"देखिन्छ","absurdity"
"देश","absurdities"
"देशी","absurdity's"
"दैनिक","absurdly"
"दोब्बर","absurdness"
"दोष","absurds"
"दोषी","absurdum"
"दोस्रो","absvolt"
"दोहोर्याउनुहोस्","abt"
"दौड","abterminal"
"दौडनु","abthain"
"दौडिरहेको","abthainry"
"द्रुत","abthainrie"
"द्वन्द्व","abthanage"
"द्वारा","abtruse"
"धक्का","Abu"
"धन","abubble"
"धनी","Abu-Bekr"
"धन्यवाद","Abucay"
"धमाका","abucco"
"धर्म","abuilding"
"धर्मनिरपेक्ष","Abukir"
"धर्मशास्त्र","abuleia"
"धागो","Abulfeda"
"धातु","abulia"
"धारणा","abulias"
"धार्मिक","abulic"
"धावक","abulyeit"
"धुन","abulomania"
"धुनुहोस्","abumbral"
"धुलो","abumbrellar"
"धुवाँ","Abuna"
"धेरै","abundance"
"धेरैजसो","abundances"
"धैर्य","abundancy"
"धोखा","abundant"
"धोखाधडी","Abundantia"
"धोखेबाज","abundantly"
"ध्यान","abune"
"नकारात्मक","abura"
"नक्कली","aburabozu"
"नक्काशी","aburagiri"
"नक्सा","aburban"
"नगद","Abury"
"नग्न","aburst"
"नङ","aburton"
"नजर","abusable"
"नजिक","abusage"
"नजिकबाट","abuse"
"नजिकै","abused"
"नट","abusedly"
"नतिजा","abusee"
"नदी","abuseful"
"नमस्कार","abusefully"
"नमस्ते","abusefulness"
"नमूना","abuser"
"नम्र","abusers"
"नयाँ","abuses"
"नरक","abush"
"नरम","abusing"
"नराम्रो","abusion"
"नराम्रोसँग","abusious"
"नर्तक","abusive"
"नर्भस","abusively"
"नर्स","abusiveness"
"नवीनता","abusivenesses"
"नष्ट","abut"
"नाक","Abuta"
"नागरिक","Abutilon"
"नागरिकता","abutilons"
"नाच्दै","abutment"
"नाजुक","abutments"
"नाटक","abuts"
"नाटकीय","abuttal"
"नाडी","abuttals"
"नातेदार","abutted"
"नाबालिग","abutter"
"नाम","abutters"
"नामांकन","abutter's"
"नायक","abutting"
"नाली","abuzz"
"नि:शुल्क","abv"
"निकाल्नु","abvolt"
"निकाल्नुहोस्","abvolts"
"निगम","abwab"
"निगरानी","abwatt"
"निचोड","abwatts"
"निजी","ac"
"निदान","ac-"
"निधार","a-c"
"निन्दा","AC/DC"
"निबन्ध","ACAA"
"निमन्त्रणा","Acacallis"
"निम्न","acacatechin"
"नियन्त्रण","acacatechol"
"नियम","Acacea"
"नियमन","Acaceae"
"नियमित","acacetin"
"नियामक","Acacia"
"नियुक्ति","Acacian"
"निरन्तर","acacias"
"निरपेक्ष","acaciin"
"निराश","acacin"
"निराशा","acacine"
"निरीक्षक","acad"
"निरीक्षण","academe"
"निरुत्साहित","academes"
"निर्णय","Academy"
"निर्देशक","academia"
"निर्देशन","academial"
"निर्देशात्मक","academian"
"निर्दोष","academias"
"निर्धक्क","Academic"
"निर्भर","academical"
"निर्माण","academically"
"निर्माता","academicals"
"निर्यात","academician"
"निर्वाचित","academicians"
"निलम्बन","academicianship"
"निल्छ","academicism"
"निवास","academics"
"निवासी","academie"
"निवेदन","academies"
"निश्चित","academy's"
"निषेध","academise"
"निष्कर्ष","academised"
"निष्पक्ष","academising"
"निहितार्थ","academism"
"नीति","academist"
"नीलो","academite"
"नुन","academization"
"नुस्खा","academize"
"नुहाउने","academized"
"नृत्य","academizing"
"नेट","Academus"
"नेटवर्क","Acadia"
"नेता","acadialite"
"नेतृत्व","Acadian"
"नैतिक","Acadie"
"नैतिकता","Acaena"
"नोट","acajou"
"नोड","acajous"
"नोभेम्बर","acal"
"नौ","acalculia"
"नौसेना","acale"
"न्यानो","acaleph"
"न्याय","Acalepha"
"न्यायाधीश","Acalephae"
"न्यायिक","acalephan"
"न्यूनतम","acalephe"
"पकड","acalephes"
"पकाउने","acalephoid"
"पक्ष","acalephs"
"पखेटा","Acalia"
"पङ्क्ति","acalycal"
"पङ्क्तिबद्ध","acalycine"
"पचास","acalycinous"
"पछाडि","acalyculate"
"पछि","Acalypha"
"पछिको","Acalypterae"
"पछिल्लो","Acalyptrata"
"पछ्याउन","Acalyptratae"
"पज","acalyptrate"
"पजल","Acamar"
"पट्टी","Acamas"
"पठाउनुहोस्","Acampo"
"पठाउने","acampsia"
"पढाइ","acana"
"पढ्नुहोस्","acanaceous"
"पतन","acanonical"
"पति/पत्नी","acanth"
"पत्नी","acanth-"
"पत्र","acantha"
"पत्रकार","Acanthaceae"
"पत्रकारिता","acanthaceous"
"पत्रिका","acanthad"
"पद","Acantharia"
"पदक","acanthi"
"पदार्थ","Acanthia"
"पदोन्नति","acanthial"
"पनि","acanthin"
"पन्जा","acanthine"
"पन्ध्र","acanthion"
"पप","acanthite"
"पम्प","acantho-"
"परम्परा","acanthocarpous"
"परम्परागत","Acanthocephala"
"पराजय","acanthocephalan"
"परामर्श","Acanthocephali"
"परास्त","acanthocephalous"
"परिकल्पना","Acanthocereus"
"परिक्षण","acanthocladous"
"परिचय","Acanthodea"
"परिचित","acanthodean"
"परिणाम","Acanthodei"
"परिदृश्य","Acanthodes"
"परिप्रेक्ष्य","acanthodian"
"परिभाषा","Acanthodidae"
"परिभाषित","Acanthodii"
"परिमाण","Acanthodini"
"परियोजना","acanthoid"
"परिवर्तन","Acantholimon"
"परिवार","acantholysis"
"परिषद्","acanthology"
"परिष्कृत","acanthological"
"परिस्थिति","acanthoma"
"परी","acanthomas"
"परीक्षण","Acanthomeridae"
"परीक्षा","acanthon"
"परे","Acanthopanax"
"परेड","Acanthophis"
"परोपकार","acanthophorous"
"पर्खनुहोस्","acanthopod"
"पर्खाल","acanthopodous"
"पर्ची","acanthopomatous"
"पर्दा","acanthopore"
"पर्यटक","acanthopteran"
"पर्यवेक्षक","Acanthopteri"
"पर्याप्त","acanthopterygian"
"पर्यावरणीय","Acanthopterygii"
"पर्स","acanthopterous"
"पल्स","acanthoses"
"पवित्र","acanthosis"
"पश्चिम","acanthotic"
"पश्चिमी","acanthous"
"पसल","Acanthuridae"
"पसिना","Acanthurus"
"पहल","acanthus"
"पहाड","acanthuses"
"पहिचान","acanthuthi"
"पहिले","acapnia"
"पहिलो","acapnial"
"पहुँच","acapnias"
"पहुँचयोग्य","acappella"
"पहेंलो","acapsular"
"पाँच","acapu"
"पाँचौं","Acapulco"
"पाइन","acara"
"पाइप","Acarapis"
"पाइपलाइन","acarari"
"पाइलट","acardia"
"पाई","acardiac"
"पाउडर","acardite"
"पाउनु","acari"
"पाउन्ड","acarian"
"पागल","acariasis"
"पाङ्ग्रा","acariatre"
"पाठ","acaricidal"
"पाठक","acaricide"
"पाठ्यक्रम","acarid"
"पाठ्यपुस्तक","Acarida"
"पात","acaridae"
"पातलो","acaridan"
"पात्रो","acaridans"
"पाना","Acaridea"
"पानी","acaridean"
"पाप","acaridomatia"
"पार","acaridomatium"
"पारित","acarids"
"पार्क","acariform"
"पार्किङ","Acarina"
"पार्टी","acarine"
"पाल","acarines"
"पालनपोषण","acarinosis"
"पास","Acarnan"
"पास्टर","acarocecidia"
"पिंजरा","acarocecidium"
"पिउनु","acarodermatitis"
"पिउने","acaroid"
"पिघल्नु","acarol"
"पिच","acarology"
"पिचर","acarologist"
"पिज्जा","acarophilous"
"पिट्नु","acarophobia"
"पिन","acarotoxic"
"पियानो","acarpellous"
"पिशाच","acarpelous"
"पिसाब","acarpous"
"पीछा","Acarus"
"पीठो","ACAS"
"पीडा","acast"
"पीडादायी","Acastus"
"पीडित","acatalectic"
"पीसी","acatalepsy"
"पुँजीवाद","acatalepsia"
"पुग्नु","acataleptic"
"पुच्छर","acatallactic"
"पुछ्नु","acatamathesia"
"पुजारी","acataphasia"
"पुण्य","acataposis"
"पुतली","acatastasia"
"पुन","acatastatic"
"पुनर्निर्माण","acate"
"पुनर्स्थापना","acategorical"
"पुरस्कार","acater"
"पुरानो","acatery"
"पुरुष","acates"
"पुर्खा","acatharsy"
"पुल","acatharsia"
"पुस्तक","acatholic"
"पुस्तकालय","acaudal"
"पुस्ता","acaudate"
"पूंजी","acaudelescent"
"पूरा","acaulescence"
"पूरै","acaulescent"
"पूर्ण","acauline"
"पूर्व","acaulose"
"पूर्वनिर्धारित","acaulous"
"पूर्वाग्रह","ACAWS"
"पूर्वाधार","ACB"
"पूर्वी","ACBL"
"पृथ्वी","ACC"
"पृष्ठ","acc."
"पृष्ठभूमि","acca"
"पेंच","accable"
"पेट","Accad"
"पेटेन्ट","accademia"
"पेट्रोल","Accadian"
"पेन्सन","Accalia"
"पेशा","acce"
"पैसा","accede"
"पोखरी","acceded"
"पोप","accedence"
"पोर्च","acceder"
"पोर्ट","acceders"
"पोर्टफोलियो","accedes"
"पोर्ट्रेट","acceding"
"पोल","accel"
"पोशाक","accel."
"पोषण","accelerable"
"पोस्ट","accelerando"
"पोस्टर","accelerant"
"पौडी","accelerate"
"प्याक","accelerated"
"प्याकेज","acceleratedly"
"प्याच","accelerates"
"प्याज","accelerating"
"प्याड","acceleratingly"
"प्यान","acceleration"
"प्यानल","accelerations"
"प्यान्ट","accelerative"
"प्यारामिटर","accelerator"
"प्यारो","acceleratory"
"प्यालेस्टिनी","accelerators"
"प्रकटीकरण","accelerograph"
"प्रकार","accelerometer"
"प्रकाश","accelerometers"
"प्रकाशक","accelerometer's"
"प्रकाशन","accend"
"प्रकृति","accendibility"
"प्रकोप","accendible"
"प्रक्रिया","accensed"
"प्रक्षेपण","accension"
"प्रगति","accensor"
"प्रगतिशील","accent"
"प्रचार","accented"
"प्रजाति","accenting"
"प्रणाली","accentless"
"प्रति","accentor"
"प्रतिक्रिया","accentors"
"प्रतिद्वन्द्वी","accents"
"प्रतिध्वनि","accentuable"
"प्रतिनिधि","accentual"
"प्रतिनिधित्व","accentuality"
"प्रतिबद्ध","accentually"
"प्रतिबद्धता","accentuate"
"प्रतिबन्ध","accentuated"
"प्रतिबिम्ब","accentuates"
"प्रतिबिम्बित","accentuating"
"प्रतिभा","accentuation"
"प्रतिभाशाली","accentuations"
"प्रतियोगिता","accentuator"
"प्रतियोगी","accentus"
"प्रतिरक्षा","accept"
"प्रतिरोध","acceptability"
"प्रतिवादी","acceptabilities"
"प्रतिशत","acceptable"
"प्रतिष्ठा","acceptableness"
"प्रतिस्थापन","acceptably"
"प्रतिस्पर्धा","acceptance"
"प्रतिस्पर्धी","acceptances"
"प्रतीक","acceptance's"
"प्रत्यक्ष","acceptancy"
"प्रत्येक","acceptancies"
"प्रदर्शन","acceptant"
"प्रदर्शनी","acceptation"
"प्रदायक","acceptavit"
"प्रदूषण","accepted"
"प्रबन्धक","acceptedly"
"प्रभाव","acceptee"
"प्रभावकारी","acceptees"
"प्रभावकारीता","accepter"
"प्रभावशाली","accepters"
"प्रभावित","acceptilate"
"प्रभु","acceptilated"
"प्रमाण","acceptilating"
"प्रमाणपत्र","acceptilation"
"प्रमाणित","accepting"
"प्रमुख","acceptingly"
"प्रम्प्ट","acceptingness"
"प्रयास","acception"
"प्रयोग","acceptive"
"प्रयोगकर्ता","acceptor"
"प्रयोगशाला","acceptors"
"प्रयोगात्मक","acceptor's"
"प्रवक्ता","acceptress"
"प्रवचन","accepts"
"प्रवर्तन","accerse"
"प्रवर्द्धन","accersition"
"प्रवाह","accersitor"
"प्रविधि","access"
"प्रविधी","accessability"
"प्रविष्टि","accessable"
"प्रवृत्ति","accessary"
"प्रशंसा","accessaries"
"प्रशस्त","accessarily"
"प्रशासक","accessariness"
"प्रशासन","accessaryship"
"प्रशासनिक","accessed"
"प्रशिक्षक","accesses"
"प्रशिक्षण","accessibility"
"प्रशोधन","accessibilities"
"प्रश्न","accessible"
"प्रश्नावली","accessibleness"
"प्रसारण","accessibly"
"प्रसिद्ध","accessing"
"प्रसिद्धि","accession"
"प्रस्ताव","accessional"
"प्रस्तावित","accessioned"
"प्रस्तुति","accessioner"
"प्रस्थान","accessioning"
"प्रहरी","accessions"
"प्राइम","accession's"
"प्राकृतिक","accessit"
"प्राथमिक","accessive"
"प्राथमिकता","accessively"
"प्रान्त","accessless"
"प्राप्तकर्ता","accessor"
"प्रायोजक","accessory"
"प्रारम्भिक","accessorial"
"प्रार्थना","accessories"
"प्रावधान","accessorii"
"प्राविधिक","accessorily"
"प्रिन्सिपल","accessoriness"
"प्रिमियम","accessory's"
"प्रिय","accessorius"
"प्रेमिका","accessoriusorii"
"प्रेमी","accessorize"
"प्रेरणा","accessorized"
"प्रेस","accessorizing"
"प्रो","accessors"
"प्रोग्रामिङ","accessor's"
"प्रोटिन","acciaccatura"
"प्रोटोकल","acciaccaturas"
"प्रोत्साहन","acciaccature"
"प्रोत्साहनजनक","accidence"
"प्रोफाइल","accidency"
"प्रोफेसर","accidencies"
"प्रोसेसर","accident"
"प्लस","accidental"
"प्लास्टिक","accidentalism"
"प्लेअफ","accidentalist"
"प्लेट","accidentality"
"प्लेटफर्म","accidentally"
"प्वाल","accidentalness"
"फरक","accidentals"
"फराकिलो","accidentary"
"फर्किनु","accidentarily"
"फर्निचर","accidented"
"फर्म","accidential"
"फल","accidentiality"
"फलस्वरूप","accidently"
"फलाम","accident-prone"
"फसल","accidents"
"फस्टाउनु","accidia"
"फाइदा","accidias"
"फाइबर","accidie"
"फाइल","accidies"
"फारम","accinge"
"फाल्नु","accinged"
"फिक्का","accinging"
"फिगर","accipenser"
"फिट","accipient"
"फिटनेस","Accipiter"
"फिर्ता","accipitral"
"फिल्टर","accipitrary"
"फीड","Accipitres"
"फुटपाथ","accipitrine"
"फुटबल","accipter"
"फुटेज","accise"
"फुट्नु","accismus"
"फूल","accite"
"फेड","Accius"
"फेब्रुअरी","acclaim"
"फेरि","acclaimable"
"फेर्दै","acclaimed"
"फेसन","acclaimer"
"फैंसी","acclaimers"
"फैल","acclaiming"
"फैलाउने","acclaims"
"फैसला","acclamation"
"फोकस","acclamations"
"फोक्सो","acclamator"
"फोटो","acclamatory"
"फोटोग्राफर","acclimatable"
"फोटोग्राफी","acclimatation"
"फोन","acclimate"
"फोरम","acclimated"
"फोहर","acclimatement"
"फोहोर","acclimates"
"फ्यान","acclimating"
"फ्रान्सेली","acclimation"
"फ्रिज","acclimations"
"फ्रेम","acclimatisable"
"फ्रेमवर्क","acclimatisation"
"फ्लिप","acclimatise"
"फ्लीट","acclimatised"
"फ्लोट","acclimatiser"
"फ्ल्यास","acclimatising"
"बंधक","acclimatizable"
"बकवास","acclimatization"
"बक्स","acclimatizations"
"बग","acclimatize"
"बगैचा","acclimatized"
"बचत","acclimatizer"
"बच्चा","acclimatizes"
"बजार","acclimatizing"
"बजे","acclimature"
"बजेट","acclinal"
"बट","acclinate"
"बढाउने","acclivity"
"बढावा","acclivities"
"बढेको","acclivitous"
"बढ्दै","acclivous"
"बढ्नु","accloy"
"बताउनुहोस्","accoast"
"बत्ती","accoy"
"बदला","accoyed"
"बदाम","accoying"
"बनाउनु","accoil"
"बनाम","Accokeek"
"बन्ड","accolade"
"बन्द","accoladed"
"बन्दरगाह","accolades"
"बन्दुक","accolated"
"बन्धक","accolent"
"बन्नु","accoll"
"बबल","accolle"
"बम","accolled"
"बयानबाजी","accollee"
"बरफ","Accomac"
"बराबर","accombination"
"बराबरी","accommodable"
"बरु","accommodableness"
"बर्गर","accommodate"
"बर्बाद","accommodated"
"बल","accommodately"
"बलात्कार","accommodateness"
"बलिदान","accommodates"
"बलियो","accommodating"
"बस","accommodatingly"
"बसोबास","accommodatingness"
"बस्ती","accommodation"
"बस्नु","accommodational"
"बहस","accommodationist"
"बहादुर","accommodations"
"बहाना","accommodative"
"बहाव","accommodatively"
"बहिनी","accommodativeness"
"बहिष्कार","accommodator"
"बहुमत","accommodators"
"बहुमूल्य","accomodate"
"बाँकी","accompanable"
"बाँचेको","accompany"
"बाँच्न","accompanied"
"बाँदर","accompanier"
"बाँध्नु","accompanies"
"बाइक","accompanying"
"बाइबल","accompanyist"
"बाक्लो","accompaniment"
"बाख्रा","accompanimental"
"बाघ","accompaniments"
"बाङ्गो","accompaniment's"
"बाट","accompanist"
"बाटो","accompanists"
"बाढी","accompanist's"
"बाथरूम","accomplement"
"बादल","accompletive"
"बाधा","accompli"
"बाधाहरू","accomplice"
"बाध्य","accomplices"
"बाध्यकारी","accompliceship"
"बानी","accomplicity"
"बायाँ","accomplis"
"बार","accomplish"
"बारम्बार","accomplishable"
"बारेमा","accomplished"
"बालुवा","accomplisher"
"बाल्टिन","accomplishers"
"बाल्यकाल","accomplishes"
"बावजुद","accomplishing"
"बासस्थान","accomplishment"
"बास्केटबल","accomplishments"
"बाहिर","accomplishment's"
"बाहिरी","accomplisht"
"बाहेक","accompt"
"बाह्य","accord"
"बाह्र","accordable"
"बिक्री","accordance"
"बिक्रेता","accordances"
"बिछ्याउनु","accordancy"
"बिजुली","accordant"
"बिट","accordantly"
"बिदा","accordatura"
"बिना","accordaturas"
"बिन्दु","accordature"
"बियर","accorded"
"बिरामी","accorder"
"बिरालो","accorders"
"बिरुवा","according"
"बिर्सनु","accordingly"
"बिल","accordion"
"बिल्कुल","accordionist"
"बिशप","accordionists"
"बिस्तारी","accordions"
"बिस्तारै","accordion's"
"बिहान","accords"
"बिहीबार","accorporate"
"बीचमा","accorporation"
"बीज","accost"
"बीन","accostable"
"बीमा","accosted"
"बीस","accosting"
"बुझाइ","accosts"
"बुझिएको","accouche"
"बुझ्नु","accouchement"
"बुझ्नुहोस्","accouchements"
"बुट","accoucheur"
"बुथ","accoucheurs"
"बुद्धि","accoucheuse"
"बुद्धिमान","accoucheuses"
"बुद्धिमान्","accounsel"
"बुधबार","account"
"बुबा","accountability"
"बूम","accountabilities"
"बेक","accountable"
"बेकार","accountableness"
"बेच्नुहोस्","accountably"
"बेनामी","accountancy"
"बेन्च","accountancies"
"बेरोजगारी","accountant"
"बेर्नु","accountants"
"बेलायती","accountant's"
"बेलुन","accountantship"
"बेल्ट","accounted"
"बेवकूफ","accounter"
"बेवास्ता","accounters"
"बेसबल","accounting"
"बैंक","accountings"
"बैंकर","accountment"
"बैंकिङ","accountrement"
"बैजनी","accounts"
"बैठक","accouple"
"बोक्ने","accouplement"
"बोक्रा","accourage"
"बोक्सी","accourt"
"बोझ","accouter"
"बोतल","accoutered"
"बोनस","accoutering"
"बोरा","accouterment"
"बोरिङ","accouterments"
"बोर्ड","accouters"
"बोली","accoutre"
"बोल्ड","accoutred"
"बोल्नु","accoutrement"
"बौद्धिक","accoutrements"
"ब्याकअप","accoutres"
"ब्याक्टेरिया","accoutring"
"ब्याज","Accoville"
"ब्याट","ACCRA"
"ब्याट्री","accrease"
"ब्यान्ड","accredit"
"ब्यारेल","accreditable"
"ब्यूरो","accreditate"
"ब्रश","accreditation"
"ब्रह्माण्ड","accreditations"
"ब्राउजर","accredited"
"ब्रान्ड","accreditee"
"ब्रेक","accrediting"
"ब्लक","accreditment"
"ब्लग","accredits"
"ब्लेड","accrementitial"
"ब्वाँसो","accrementition"
"भगवान","accresce"
"भण्डारण","accrescence"
"भन्दा","accrescendi"
"भन्नुहोस्","accrescendo"
"भयानक","accrescent"
"भरपर्दो","accretal"
"भरोसा","accrete"
"भर्खरको","accreted"
"भर्खरै","accretes"
"भर्चुअल","accreting"
"भर्ती","accretion"
"भर्न","accretionary"
"भर्ना","accretions"
"भलाइ","accretion's"
"भवन","accretive"
"भविष्य","accriminate"
"भविष्यवाणी","Accrington"
"भव्य","accroach"
"भाँचिएको","accroached"
"भाँडा","accroaching"
"भाँडो","accroachment"
"भाइ","accroides"
"भाइरस","accruable"
"भाग","accrual"
"भाग्नु","accruals"
"भाग्ने","accrue"
"भाग्य","accrued"
"भाग्यमानी","accruement"
"भाडा","accruer"
"भाडामा","accrues"
"भान्सा","accruing"
"भाप","ACCS"
"भारतीय","ACCT"
"भारी","acct."
"भालु","accts"
"भावना","accubation"
"भावनात्मक","accubita"
"भावुक","accubitum"
"भाषण","accubitus"
"भाषा","accueil"
"भिजेको","accultural"
"भिटामिन","acculturate"
"भिडियो","acculturated"
"भित्र","acculturates"
"भित्री","acculturating"
"भिन्न","acculturation"
"भिन्नता","acculturational"
"भीड","acculturationist"
"भुइँ","acculturative"
"भुक्तानी","acculturize"
"भूकम्प","acculturized"
"भूत","acculturizing"
"भूमि","accum"
"भूमिका","accumb"
"भेटियो","accumbency"
"भेट्न","accumbent"
"भेडा","accumber"
"भेद","accumulable"
"भेदभाव","accumulate"
"भेला","accumulated"
"भोक","accumulates"
"भोको","accumulating"
"भोग्नु","accumulation"
"भोजन","accumulations"
"भोट","accumulativ"
"भोलि","accumulative"
"भौं","accumulatively"
"भ्यान","accumulativeness"
"भ्रम","accumulator"
"भ्रमण","accumulators"
"भ्रष्ट","accumulator's"
