"Luxembourgish","English"
"funktionell","absinthiating"
"Funktioun","absinthic"
"Fussball","absinthiin"
"Gaart","absinthin"
"Gaascht","absinthine"
"Gaass","absinthism"
"gäeren","absinthismic"
"Galaxis","absinthium"
"Galerie","absinthol"
"gallon","absinthole"
"Gamme","absinths"
"gang","Absyrtus"
"Gang","absis"
"Gank","absist"
"ganz","absistos"
"gär","absit"
"Garagen","absmho"
"garantéieren","absohm"
"Gare","absoil"
"gasp","absolent"
"gass","Absolute"
"gate","absolutely"
"gear","absoluteness"
"Gebai","absoluter"
"Gebied","absolutes"
"gebierteg","absolutest"
"gebrach","absolution"
"gebuer","absolutions"
"Gebuert","absolutism"
"Gebuertsdag","absolutist"
"Geck","absolutista"
"gedeeft","absolutistic"
"gedeelt","absolutistically"
"Gedicht","absolutists"
"Gedold","absolutive"
"gedronk","absolutization"
"geduecht","absolutize"
"Geescht","absolutory"
"geeschteg","absolvable"
"Geess","absolvatory"
"gefälscht","absolve"
"geféierlech","absolved"
"Gefier","absolvent"
"Gefill","absolver"
"geflüstert","absolvers"
"Gefor","absolves"
"gefruer","absolving"
"gëfteg","absolvitor"
"Gehalt","absolvitory"
"geheien","absonant"
"gehéieren","absonous"
"geheime","absorb"
"Geheimnis","absorbability"
"Gehir","absorbable"
"géi","absorbance"
"géif","absorbancy"
"Géigendeel","absorbant"
"géigesäitege","absorbed"
"Géigespiller","absorbedly"
"géint","absorbedness"
"Geiselen","absorbefacient"
"Geleeënheet","absorbency"
"geleeëntleche","absorbencies"
"geléiert","absorbent"
"gelengt","absorbents"
"gëllen","absorber"
"gemeinsam","absorbers"
"gemeinsame","absorbing"
"Geméis","absorbingly"
"gemellt","absorbition"
"gemëscht","absorbs"
"gen","absorbtion"
"Genauegkeet","absorpt"
"genee","absorptance"
"Genehmegung","absorptiometer"
"genéissen","absorptiometric"
"Generatioun","absorption"
"generéieren","absorptional"
"generéis","absorptions"
"genetesch","absorption's"
"genial","absorptive"
"Genoss","absorptively"
"Genre","absorptiveness"
"genuch","absorptivity"
"Gerechtegkeet","absquatulate"
"Gerempels","absquatulation"
"Geriicht","abstain"
"geriichtlech","abstained"
"Geriichtssall","abstainer"
"Gerüchter","abstainers"
"Geschäft","abstaining"
"Geschäftsmann","abstainment"
"geschate","abstains"
"geschéien","abstemious"
"geschenkt","abstemiously"
"Geschicht","abstemiousness"
"Geschlecht","abstention"
"geschlof","abstentionism"
"geschoss","abstentionist"
"geschriwwen","abstentions"
"gëschter","abstentious"
"geschummt","absterge"
"geschwënn","absterged"
"Geschwëster","abstergent"
"Gesetz","absterges"
"Gesetzgeber","absterging"
"Gesetzgebung","absterse"
"Gesiicht","abstersion"
"gesinn","abstersive"
"gesond","abstersiveness"
"Gesondheet","abstertion"
"Gesondheetswiesen","abstinence"
"gespaarten","abstinences"
"Gespréich","abstinency"
"Geste","abstinent"
"Gestioun","abstinential"
"getraff","abstinently"
"Gewalt","abstort"
"gewaltsam","abstr"
"gewannen","abstract"
"gewéinlech","abstractable"
"gewëllt","abstracted"
"Gewënn","abstractedly"
"Gewënner","abstractedness"
"Gewerkschaft","abstracter"
"Gewësse","abstracters"
"Gewier","abstractest"
"Gewiicht","abstracting"
"Gewunnecht","abstraction"
"Gezei","abstractional"
"Giel","abstractionism"
"ginn","abstractionist"
"Gittar","abstractionists"
"gitter","abstractions"
"gläich","abstraction's"
"gläichen","abstractitious"
"Gläichgewiicht","abstractive"
"Gläichheet","abstractively"
"gläichwäerteg","abstractiveness"
"gläichzäiteg","abstractly"
"Glas","abstractness"
"glat","abstractnesses"
"Glawen","abstractor"
"Gléck","abstractors"
"glécklech","abstractor's"
"glécklecherweis","abstracts"
"gleeweg","abstrahent"
"gleewen","abstrict"
"global","abstricted"
"Globus","abstricting"
"gnädeg","abstriction"
"Gnod","abstricts"
"goen","abstrude"
"golf","abstruse"
"gop","abstrusely"
"göttlech","abstruseness"
"Goût","abstrusenesses"
"Gouverneur","abstruser"
"Grad","abstrusest"
"graduéiert","abstrusion"
"graf","abstrusity"
"grafesch","abstrusities"
"graff","absume"
"gräifen","absumption"
"gramm","absurd"
"Gras","absurder"
"grausam","absurdest"
"graven","absurdism"
"Gréisst","absurdist"
"gréisstendeels","absurdity"
"grëndlech","absurdities"
"Gréng","absurdity's"
"Grënner","absurdly"
"Grenz","absurdness"
"Griichesch","absurds"
"gro","absurdum"
"Grofschaft","absvolt"
"Gromper","abt"
"Grond","abterminal"
"grouss","abthain"
"Groussmamm","abthainry"
"Grousspapp","abthainrie"
"grujeleg","abthanage"
"Grupp","abtruse"
"gudd","Abu"
"guide","abubble"
"gull","Abu-Bekr"
"Gürtel","Abucay"
"gut","abucco"
"gutt","abuilding"
"Guttheet","Abukir"
"guy","abuleia"
"ha","Abulfeda"
"Haaptleit","abulia"
"haaptsächlech","abulias"
"Haaptsäit","abulic"
"Haaptstad","abulyeit"
"haart","abulomania"
"haassen","abumbral"
"Häerz","abumbrellar"
"Hafen","Abuna"
"Haff","abundance"
"Haftung","abundances"
"haken","abundancy"
"halen","abundant"
"hallef","Abundantia"
"Hallo","abundantly"
"Halloween","abune"
"Hals","abura"
"Halsband","aburabozu"
"Haltung","aburagiri"
"hammer","aburban"
"hand","Abury"
"Handduch","aburst"
"Handel","aburton"
"handelen","abusable"
"Handgelenk","abusage"
"handhaben","abuse"
"Händler","abused"
"Handschuesch","abusedly"
"handvoll","abusee"
"handwierklech","abuseful"
"Hang","abusefully"
"hänkt","abusefulness"
"hannereneen","abuser"
"Hannergrond","abusers"
"hannert","abuses"
"hannertenee","abush"
"Här","abusing"
"Hardware","abusion"
"hat","abusious"
"Haus","abusive"
"Hausaufgab","abusively"
"haut","abusiveness"
"Haut","abusivenesses"
"héchste","abut"
"heck","Abuta"
"heefeg","Abutilon"
"Heel","abutilons"
"heelen","abutment"
"Heemecht","abutments"
"heemlech","abuts"
"heemlos","abuttal"
"heescht","abuttals"
"hei","abutted"
"heiansdo","abutter"
"héich","abutters"
"Héichiewe","abutter's"
"Héichpunkt","abutting"
"Héicht","abuzz"
"héieren","abv"
"Héiflechkeet","abvolt"
"Hektar","abvolts"
"Held","abwab"
"Helikopter","abwatt"
"hell","abwatts"
"Hëllef","ac"
"hëllefen","ac-"
"hëllefräich","a-c"
"Hëllefsmëttel","AC/DC"
"helleg","ACAA"
"Helm","Acacallis"
"hëlze","acacatechin"
"hëlzent","acacatechol"
"Hënneschten","Acacea"
"herrlech","Acaceae"
"Herrlechkeet","acacetin"
"Hëtzt","Acacia"
"Hex","Acacian"
"Hiem","acacias"
"hien","acaciin"
"Hiersteller","acacin"
"Highlight","acacine"
"himmel","acad"
"Himmel","academe"
"Hindernis","academes"
"hinnen","Academy"
"hip","academia"
"hir","academial"
"hirem","academian"
"Hirsch","academias"
"Hispanesch","Academic"
"historesch","academical"
"Historiker","academically"
"Hiweis","academicals"
"Hiwwel","academician"
"hmm","academicians"
"Hochzäit","academicianship"
"Hockey","academicism"
"Hoer","academics"
"hoffen","academie"
"hoffentlech","academies"
"Höhl","academy's"
"Hollänesch","academise"
"homosexuell","academised"
"hond","academising"
"hongereg","academism"
"honnert","academist"
"Horizont","academite"
"Hormon","academization"
"horn","academize"
"host","academized"
"Hotel","academizing"
"houfreg","Academus"
"huelen","Acadia"
"Humor","acadialite"
"hunger","Acadian"
"hunn","Acadie"
"Hunneg","Acaena"
"Hurrikan","acajou"
"Hypothéik","acajous"
"Hypothes","acal"
"icon","acalculia"
"Iddi","acale"
"ideal","acaleph"
"identesch","Acalepha"
"Identifikatioun","Acalephae"
"identifizéieren","acalephan"
"Identitéit","acalephe"
"ideologesch","acalephes"
"ideologie","acalephoid"
"idiot","acalephs"
"Ielebou","Acalia"
"Ierfschaft","acalycal"
"iergendeen","acalycine"
"iergendwann","acalycinous"
"iergendwéi","acalyculate"
"iergendwou","Acalypha"
"ierwen","Acalypterae"
"iessen","Acalyptrata"
"Iessen","Acalyptratae"
"ieweschte","acalyptrate"
"ignorant","Acamar"
"Ignoranz","Acamas"
"ignoréieren","Acampo"
"illegal","acampsia"
"Illusioun","acana"
"Illustratioun","acanaceous"
"illustréieren","acanonical"
"immens","acanth"
"immigrant","acanth-"
"Immigratioun","acantha"
"Immobilien","Acanthaceae"
"immun","acanthaceous"
"Impakt","acanthad"
"Impfstoff","Acantharia"
"Implikatioun","acanthi"
"implizéieren","Acanthia"
"importéieren","acanthial"
"imposéieren","acanthin"
"indesche","acanthine"
"Index","acanthion"
"Indikatioun","acanthite"
"individuell","acantho-"
"inducéieren","acanthocarpous"
"Industrie","Acanthocephala"
"industriell","acanthocephalan"
"inévitabel","Acanthocephali"
"Infektioun","acanthocephalous"
"Infirmière","Acanthocereus"
"Inflatioun","acanthocladous"
"info","Acanthodea"
"Informatiounen","acanthodean"
"informéieren","Acanthodei"
"Infrastruktur","Acanthodes"
"Ingenieur","acanthodian"
"Inhalt","Acanthodidae"
"initial","Acanthodii"
"Initiativ","Acanthodini"
"initiéieren","acanthoid"
"inmate","Acantholimon"
"Innovatioun","acantholysis"
"innovativ","acanthology"
"Input","acanthological"
"Insekt","acanthoma"
"Insel","acanthomas"
"insistéieren","Acanthomeridae"
"Inspekter","acanthon"
"Inspektioun","Acanthopanax"
"Inspiratioun","Acanthophis"
"inspiréieren","acanthophorous"
"Installatioun","acanthopod"
"installéieren","acanthopodous"
"instant","acanthopomatous"
"Instanz","acanthopore"
"instinkt","acanthopteran"
"Institut","Acanthopteri"
"institutionell","acanthopterygian"
"Institutioun","Acanthopterygii"
"instruéieren","acanthopterous"
"Instruktor","acanthoses"
"instrument","acanthosis"
"Integratioun","acanthotic"
"integréieren","acanthous"
"Integritéit","Acanthuridae"
"intellektuell","Acanthurus"
"intelligent","acanthus"
"Intelligenz","acanthuses"
"Intensitéit","acanthuthi"
"intensiv","acapnia"
"interagéieren","acapnial"
"Interaktioun","acapnias"
"interessant","acappella"
"interesséiert","acapsular"
"Interessi","acapu"
"Interface","Acapulco"
"intern","acara"
"international","Acarapis"
"Internet","acarari"
"Interpretatioun","acardia"
"interpretéieren","acardiac"
"Intervall","acardite"
"Interventioun","acari"
"Interview","acarian"
"intim","acariasis"
"Invasioun","acariatre"
"Inventar","acaricidal"
"investéieren","acaricide"
"Investisseur","acarid"
"Investitioun","Acarida"
"Invitatioun","acaridae"
"invitéieren","acaridan"
"involvéieren","acaridans"
"involvéiert","Acaridea"
"ipad","acaridean"
"iphone","acaridomatia"
"irakesch","acaridomatium"
"iraneschen","acarids"
"Iresch","acariform"
"ironie","Acarina"
"Islam","acarine"
"islamesch","acarines"
"isoléieren","acarinosis"
"Isoléierung","Acarnan"
"israelesch","acarocecidia"
"Italienesch","acarocecidium"
"item","acarodermatitis"
"iwwer","acaroid"
"iwwerall","acarol"
"iwwerdecken","acarology"
"Iwwerdroung","acarologist"
"iwwerfalen","acarophilous"
"Iwwergank","acarophobia"
"iwwergräifend","acarotoxic"
"iwwerhaapt","acarpellous"
"Iwwerleeung","acarpelous"
"Iwwerliewe","acarpous"
"iwwerliewen","Acarus"
"Iwwerliewenden","ACAS"
"iwwerpréiwen","acast"
"iwwerraschend","Acastus"
"iwwerrascht","acatalectic"
"Iwwerraschung","acatalepsy"
"iwwerschratt","acatalepsia"
"Iwwerschrëft","acataleptic"
"Iwwerschwemmung","acatallactic"
"iwwersetzen","acatamathesia"
"Iwwersetzung","acataphasia"
"iwwersinn","acataposis"
"iwwersprangen","acatastasia"
"iwwerwaachen","acatastatic"
"Iwwerwaachung","acate"
"iwwerwältegend","acategorical"
"iwwerwannen","acater"
"iwwerzeegen","acatery"
"iwwerzeegend","acates"
"iwwerzeegt","acatharsy"
"Iwwerzeegung","acatharsia"
"jacket","acatholic"
"jäerlech","acaudal"
"jalous","acaudate"
"Januar","acaudelescent"
"Japanesch","acaulescence"
"Jar","acaulescent"
"jazz","acauline"
"jeans","acaulose"
"jee","acaulous"
"Jeeër","ACAWS"
"jet","ACB"
"jeweils","ACBL"
"jiddereen","ACC"
"jiddesch","acc."
"jo","acca"
"Joer","accable"
"Joerhonnert","Accad"
"Jong","accademia"
"jonk","Accadian"
"jop","Accalia"
"Joresdag","acce"
"Jorzéngt","accede"
"journal","acceded"
"Journalismus","accedence"
"Journalist","acceder"
"jubelen","acceders"
"Juegd","accedes"
"Jugend","acceding"
"Juli","accel"
"jungle","accel."
"Juni","accelerable"
"junior","accelerando"
"Juridictioun","accelerant"
"Juroren","accelerate"
"Jury","accelerated"
"Jus","acceleratedly"
"just","accelerates"
"kaal","accelerating"
"Kaart","acceleratingly"
"kabel","acceleration"
"Kabine","accelerations"
"kachen","accelerative"
"kack","accelerator"
"Kader","acceleratory"
"Käerz","accelerators"
"Käfeg","accelerograph"
"kafen","accelerometer"
"Käfer","accelerometers"
"Kaffi","accelerometer's"
"kal","accend"
"Kalenner","accendibility"
"Kalorie","accendible"
"Kaméidi","accensed"
"Kamera","accension"
"kämpfen","accensor"
"Kämpfer","accent"
"kanadesch","accented"
"Kanal","accenting"
"Kand","accentless"
"Kandheet","accentor"
"Kandidat","accentors"
"Kanéngchen","accents"
"kann","accentuable"
"kap","accentual"
"kapabel","accentuality"
"Kapazitéit","accentually"
"Kapitalismus","accentuate"
"Kapitän","accentuated"
"Kapitel","accentuates"
"Kapp","accentuating"
"Kappwéi","accentuation"
"Kär","accentuations"
"karitativ","accentuator"
"kascht","accentus"
"Käschte","accept"
"Katastroph","acceptability"
"Kategorie","acceptabilities"
"kathoulesch","acceptable"
"katz","acceptableness"
"kauen","acceptably"
"kaum","acceptance"
"Keefer","acceptances"
"keen","acceptance's"
"Keeser","acceptancy"
"kéier","acceptancies"
"kéint","acceptant"
"Kéis","acceptation"
"Keller","acceptavit"
"këmmeren","accepted"
"keng","acceptedly"
"Kënn","acceptee"
"kënnen","acceptees"
"kënschtlech","accepter"
"Kënschtler","accepters"
"Këscht","acceptilate"
"Këssen","acceptilated"
"Kette","acceptilating"
"Kichelcher","acceptilation"
"Kichen","accepting"
"kick","acceptingly"
"Kierch","acceptingness"
"Kierper","acception"
"kierperlech","acceptive"
"Killer","acceptor"
"Kinnek","acceptors"
"Kinnekräich","acceptor's"
"Kinnigin","acceptress"
"kit","accepts"
"klammen","accerse"
"klappen","accersition"
"klären","accersitor"
"klass","access"
"klasséieren","accessability"
"Klassesall","accessable"
"klassesch","accessary"
"klauen","accessaries"
"Klausel","accessarily"
"Kleeder","accessariness"
"Kleederschaaf","accessaryship"
"kleet","accessed"
"kleng","accesses"
"kléngt","accessibility"
"klerk","accessibilities"
"klickt","accessible"
"Klima","accessibleness"
"klinesch","accessibly"
"Klinik","accessing"
"klipp","accession"
"kloer","accessional"
"knacken","accessioned"
"knall","accessioner"
"Knäppchen","accessioning"
"knapps","accessions"
"Knecht","accession's"
"Knéi","accessit"
"Knöchel","accessive"
"Knuewelek","accessively"
"Koalitioun","accessless"
"kognitiv","accessor"
"Kolleg","accessory"
"Kollektioun","accessorial"
"kollektiv","accessories"
"kolonial","accessorii"
"Kolonie","accessorily"
"Kolonn","accessoriness"
"Kolumnist","accessory's"
"Kombinatioun","accessorius"
"kombinéieren","accessoriusorii"
"kombinéiert","accessorize"
"komedie","accessorized"
"komesch","accessorizing"
"komesch","accessors"
"komm","accessor's"
"Kommandant","acciaccatura"
"Kommando","acciaccaturas"
"kommen","acciaccature"
"kommend","accidence"
"kommentéieren","accidency"
"kommerziell","accidencies"
"Kommissär","accident"
"Kommissioun","accidental"
"Kommunikatioun","accidentalism"
"kommunistesch","accidentalist"
"kommunizéieren","accidentality"
"Kompensatioun","accidentally"
"kompetitiv","accidentalness"
"komplett","accidentals"
"komplex","accidentary"
"Komplexitéit","accidentarily"
"komplizéiert","accidented"
"Komplott","accidential"
"komponéieren","accidentiality"
"Komponent","accidently"
"Kompromëss","accident-prone"
"Konferenz","accidents"
"Konflikt","accidia"
"Konformitéit","accidias"
"konfrontéieren","accidie"
"Kongress","accidies"
"Kongressman","accinge"
"konkret","accinged"
"konkurréiere","accinging"
"Konkurrent","accipenser"
"konnektéieren","accipient"
"Konscht","Accipiter"
"Konsens","accipitral"
"konsequent","accipitrary"
"Konsequenz","Accipitres"
"konservativ","accipitrine"
"konservéieren","accipter"
"konstant","accise"
"konstitutionell","accismus"
"konstruéieren","accite"
"konsultéieren","Accius"
"Konsum","acclaim"
"Konsument","acclaimable"
"Kont","acclaimed"
"kontaktéieren","acclaimer"
"Kontext","acclaimers"
"Kontinent","acclaiming"
"kontinuéierlech","acclaims"
"Kontrakt","acclamation"
"Kontrast","acclamations"
"kontrolléieren","acclamator"
"kontrovers","acclamatory"
"kontroverse","acclimatable"
"konventionell","acclimatation"
"Konventioun","acclimate"
"Konversioun","acclimated"
"Konzentratioun","acclimatement"
"konzentréieren","acclimates"
"Konzept","acclimating"
"Konzeptioun","acclimation"
"kooperéieren","acclimations"
"Koordinator","acclimatisable"
"kopéieren","acclimatisation"
"Koppel","acclimatise"
"Koreanesch","acclimatised"
"korn","acclimatiser"
"korrekt","acclimatising"
"Korrektur","acclimatizable"
"Korrelatioun","acclimatization"
"Korrespondent","acclimatizations"
"korrupt","acclimatize"
"Korruptioun","acclimatized"
"Koseng","acclimatizer"
"Kostüm","acclimatizes"
"Koteng","acclimatizing"
"kou","acclimature"
"koup","acclinal"
"Kraaft","acclinate"
"kraazt","acclivity"
"krabbelen","acclivities"
"kräischen","acclivitous"
"Kräiz","acclivous"
"krank","accloy"
"Krankheet","accoast"
"Kraut","accoy"
"kreativ","accoyed"
"Kreativitéit","accoying"
"Kreatur","accoil"
"Kredibilitéit","Accokeek"
"kredit","accolade"
"Krees","accoladed"
"kréien","accolades"
"Krich","accolated"
"Krieger","accolent"
"Kriibs","accoll"
"Kriminalitéit","accolle"
"kriminellen","accolled"
"Kris","accollee"
"Kristall","Accomac"
"kritesch","accombination"
"Kritik","accommodable"
"kritiséieren","accommodableness"
"kromme","accommodate"
"Kroun","accommodated"
"Kuch","accommodately"
"kucken","accommodateness"
"Kuel","accommodates"
"Kuelenhydrater","accommodating"
"Kuelestoff","accommodatingly"
"Kuerf","accommodatingness"
"kuerz","accommodation"
"kuerzem","accommodational"
"kuerzfrësteg","accommodationist"
"kugel","accommodations"
"Kultur","accommodative"
"kulturellen","accommodatively"
"Kur","accommodativeness"
"kuss","accommodator"
"Küst","accommodators"
"laachen","accomodate"
"laan","accompanable"
"laang","accompany"
"Laangzäit","accompanied"
"laanscht","accompanier"
"laanschtgoungen","accompanies"
"Label","accompanying"
"Labo","accompanyist"
"Lach","accompaniment"
"lachen","accompanimental"
"lächerlech","accompaniments"
"lafen","accompaniment's"
"lafend","accompanist"
"land","accompanists"
"Land","accompanist's"
"landen","accomplement"
"ländleche","accompletive"
"Landschaft","accompli"
"Landwirtschaft","accomplice"
"landwirtschaftlech","accomplices"
"Längt","accompliceship"
"langweileg","accomplicity"
"lap","accomplis"
"laptop","accomplish"
"läschen","accomplishable"
"Laser","accomplished"
"laténgesch","accomplisher"
"lauschteren","accomplishers"
"Lautsprecher","accomplishes"
"Layer","accomplishing"
"lb","accomplishment"
"Leader","accomplishments"
"Leck","accomplishment's"
"lecker","accomplisht"
"Leefer","accompt"
"leeschten","accord"
"Leeschtung","accordable"
"Leeschtunge","accordance"
"legal","accordances"
"legend","accordancy"
"legislativ","accordant"
"Legislaturperiod","accordantly"
"legitim","accordatura"
"Lehm","accordaturas"
"leiden","accordature"
"Leidenschaft","accorded"
"leider","accorder"
"leien","accorders"
"Léierbuch","according"
"léieren","accordingly"
"Léierplang","accordion"
"léif","accordionist"
"Léifsten","accordionists"
"Léift","accordions"
"léinen","accordion's"
"Leinwand","accords"
"léisen","accorporate"
"Léisung","accorporation"
"Leit","accost"
"Léiw","accostable"
"léiwer","accosted"
"Lektioun","accosting"
"lénks","accosts"
"Lens","accouche"
"lescht","accouchement"
"Lëscht","accouchements"
"liberal","accoucheur"
"lidd","accoucheurs"
"Lidd","accoucheuse"
"Liebhaber","accoucheuses"
"Lieder","accounsel"
"liesen","account"
"Lieser","accountability"
"Lieutenant","accountabilities"
"lieweg","accountable"
"liewen","accountableness"
"Liewen","accountably"
"liewensfäeg","accountancy"
"Liewenslaf","accountancies"
"Liewensraum","accountant"
"Liewensstil","accountants"
"Liewenszäit","accountant's"
"Liewer","accountantship"
"Lift","accounted"
"Liga","accounter"
"Ligener","accounters"
"liicht","accounting"
"limitéieren","accountings"
"limitéiert","accountment"
"link","accountrement"
"Linn","accounts"
"lip","accouple"
"literaresch","accouplement"
"Literatur","accourage"
"liwweren","accourt"
"Liwwerung","accouter"
"Lizenz","accoutered"
"Lobby","accoutering"
"lof","accouterment"
"loft","accouterments"
"logesch","accouters"
"logik","accoutre"
"lokal","accoutred"
"lokaliséieren","accoutrement"
"long","accoutrements"
"loop","accoutres"
"loose","accoutring"
"loossen","Accoville"
"Loun","ACCRA"
"Loyalitéit","accrease"
"Loyer","accredit"
"lueden","accreditable"
"lues","accreditate"
"luucht","accreditation"
"Luucht","accreditations"
"maachen","accredited"
"Maart","accreditee"
"mächteg","accrediting"
"Mäerder","accreditment"
"Mäerz","accredits"
"Magazin","accrementitial"
"magesch","accrementition"
"mail","accresce"
"mainstream","accrescence"
"Mais","accrescendi"
"major","accrescendo"
"Majoritéit","accrescent"
"Mall","accretal"
"mamm","accrete"
"Mamm","accreted"
"Manager","accretes"
"Mandat","accreting"
"Manéier","accretion"
"Mangel","accretionary"
"Manifestatioun","accretions"
"manipuléieren","accretion's"
"Mann","accretive"
"manner","accriminate"
"männlech","Accrington"
"mannst","accroach"
"Mantel","accroached"
"marge","accroaching"
"Marihuana","accroachment"
"marine","accroides"
"Mark","accruable"
"markéieren","accrual"
"markéierer","accruals"
"Marketing","accrue"
"Maschinn","accrued"
"mask","accruement"
"mass","accruer"
"massiv","accrues"
"mat","accruing"
"Matbierger","ACCS"
"Match","ACCT"
"mate","acct."
"Material","accts"
"Matgefill","accubation"
"mathematesch","accubita"
"Mathematik","accubitum"
"Matière","accubitus"
"matmaachen","accueil"
"matten","accultural"
"Mauer","acculturate"
"Maus","acculturated"
"Maut","acculturates"
"maximal","acculturating"
"mechanesch","acculturation"
"Mechanismus","acculturational"
"Medaille","acculturationist"
"medezinesch","acculturative"
"Medien","acculturize"
"Medikamenter","acculturized"
"Medizin","acculturizing"
"Mee","accum"
"Meedchen","accumb"
"Meenung","accumbency"
"meescht","accumbent"
"meeschtens","accumber"
"Meeschtesch","accumulable"
"méi","accumulate"
"méiglech","accumulated"
"Méiglechkeet","accumulates"
"Meile","accumulating"
"Méindeg","accumulation"
"mëll","accumulations"
"Mëllech","accumulativ"
"mellen","accumulative"
"Member","accumulatively"
"Memberschaft","accumulativeness"
"memorial","accumulator"
"menacéieren","accumulators"
"mëndlech","accumulator's"
"meng","accupy"
"Mënsch","accur"
"Mënschheet","accuracy"
"mental","accuracies"
"mentor","accurate"
"Menü","accurately"
"Mënz","accurateness"
"mer","accuratenesses"
"merci","accurre"
"Merci","accurse"
"Mëschung","accursed"
"mess","accursedly"
"Message","accursedness"
"Mëssbrauch","accursing"
"Messer","accurst"
"metallen","accurtation"
"metapher","accus"
"Meter","accusable"
"Method","accusably"
"Mëtt","accusal"
"Mëtteg","accusals"
"Mëttegiessen","accusant"
"mëttelfristeg","accusants"
"mëttelméisseg","accusation"
"Mëtternuecht","accusations"
"mëttlerweil","accusation's"
"Mëttwoch","accusatival"
"Mexikanesch","accusative"
"midd","accusative-dative"
"Miel","accusatively"
"Mier","accusativeness"
"Miessung","accusatives"
"Migratioun","accusator"
"militäresch","accusatory"
"mill","accusatorial"
"Milliarden","accusatorially"
"Milliounen","accusatrix"
"minimal","accusatrixes"
"minimiséieren","accuse"
"minimum","accused"
"minister","accuser"
"Ministère","accusers"
"minor","accuses"
"Minoritéit","accusing"
"Minutt","accusingly"
"mir","accusive"
"Missioun","accusor"
"Miwwelen","accustom"
"mm","accustomation"
"mm-hmm","accustomed"
"mmm","accustomedly"
"Mo","accustomedness"
"mobil","accustoming"
"Modell","accustomize"
"modern","accustomized"
"Modus","accustomizing"
"Moien","accustoms"
"molekül","Accutron"
"molen","ACD"
"Moler","ACDA"
"Moment","AC-DC"
"momentum","ACE"
"monatlecht","acea"
"Mond","aceacenaphthene"
"monetär","aceae"
"Monni","acean"
"Monster","aceanthrene"
"montéieren","aceanthrenequinone"
"monument","acecaffin"
"Moossnam","acecaffine"
"Moral","aceconitic"
"moralesch","aced"
"Mord","acedy"
"Motiv","acedia"
"Motivatioun","acediamin"
"motivéieren","acediamine"
"motor","acedias"
"Moud","acediast"
"Mound","ace-high"
"Mount","Acey"
"MOV","acey-deucy"
"Muecht","aceite"
"muer","aceituna"
"multiple","Aceldama"
"Musée","aceldamas"
"Musek","acellular"
"Museker","Acemetae"
"musikalesch","Acemetic"
"Muskel","acemila"
"muslimesch","acenaphthene"
"muss","acenaphthenyl"
"Muster","acenaphthylene"
"mysteriéis","acenesthesia"
"mythos","acensuada"
"naass","acensuador"
"nach","acentric"
"nächste","acentrous"
"nadel","aceology"
"näischt","aceologic"
"Narr","aceous"
"narrativ","acephal"
"narrator","Acephala"
"Nascht","acephalan"
"natierlech","Acephali"
"national","acephalia"
"Nationalitéit","Acephalina"
"Natioun","acephaline"
"Natrium","acephalism"
"Natur","acephalist"
"Naturvölker","Acephalite"
"Navetten","acephalocyst"
"Nee","acephalous"
"negativ","acephalus"
"négociéieren","acepots"
"nei","acequia"
"néideg","acequiador"
"Neiegkeeten","acequias"
"néierens","Acer"
"Néierlag","Aceraceae"
"Neiwahlen","aceraceous"
"nëmmen","Acerae"
"néng","Acerata"
"nërdlechen","acerate"
"nerv","acerated"
"nervös","Acerates"
"net","acerathere"
"nëtzlech","Aceratherium"
"nëtzlos","aceratosis"
"neutral","acerb"
"ni","Acerbas"
"niddereg","acerbate"
"nieft","acerbated"
"niewent","acerbates"
"Niveau","acerbating"
"no","acerber"
"nofolger","acerbest"
"nohalteg","acerbic"
"Nol","acerbically"
"nolauschterer","acerbity"
"Nominatioun","acerbityacerose"
"nominéieren","acerbities"
"nominéiert","acerbitude"
"Noper","acerbly"
"Norden","acerbophobia"
"Nordosten","acerdol"
"Nordwesten","aceric"
"norm","acerin"
"normal","acerli"
"normalerweis","acerola"
"notéiert","acerolas"
"Notioun","acerose"
"Noutfall","acerous"
"Noutwennegkeet","acerra"
"November","acers"
"nozeginn","acertannin"
"Nuecht","acerval"
"Nues","acervate"
"nuklear","acervately"
"Null","acervatim"
"Numm","acervation"
"nuss","acervative"
"ob","acervose"
"Oberschenkel","acervuli"
"objektiv","acervuline"
"Objet","acervulus"
"Obligatioun","aces"
"Observateur","ace's"
"Observatioun","acescence"
"obwuel","acescency"
"Occasioun","acescent"
"och","acescents"
"oder","aceship"
"Ofdeckung","Acesius"
"Ofdreiwung","acesodyne"
"Offall","acesodynous"
"offen","Acessamenus"
"Offenbarung","Acestes"
"offensichtlech","acestoma"
"offensiv","acet-"
"Offer","aceta"
"Offizéier","acetable"
"offiziell","acetabula"
"offréieren","acetabular"
"ofgesinn","Acetabularia"
"ofginn","acetabuliferous"
"ofhängeg","acetabuliform"
"ofleeden","acetabulous"
"oflenken","acetabulum"
"Ofsaz","acetabulums"
"ofschléissen","acetacetic"
"Ofschloss","acetal"
"ofsetzen","acetaldehydase"
"ofstëmmen","acetaldehyde"
"oft","acetaldehydrase"
"oh","acetaldol"
"ok","acetalization"
"Okay","acetalize"
"Ökosystem","acetals"
"Oktober","acetamid"
"Oliven","acetamide"
"olympesch","acetamidin"
"Olympesch","acetamidine"
"onbedéngt","acetamido"
"onbekannt","acetamids"
"onerwaart","acetaminol"
"onfäheg","Acetaminophen"
"ongeféier","acetanilid"
