"Catalan","English"
"entrenador","abstinent"
"entrepà","abstinential"
"entreteniment","abstinently"
"entrevista","abstort"
"entusiasme","abstr"
"envair","abstract"
"enviar","abstractable"
"envoltar","abstracted"
"episodi","abstractedly"
"equació","abstractedness"
"equilibri","abstracter"
"equip","abstracters"
"equipament","abstractest"
"equipar","abstracting"
"equitat","abstraction"
"equivalent","abstractional"
"era","abstractionism"
"errada","abstractionist"
"error","abstractionists"
"erudit","abstractions"
"esborrany","abstraction's"
"esborrar","abstractitious"
"escala","abstractive"
"escalar","abstractively"
"escalfament","abstractiveness"
"escàndol","abstractly"
"escanejar","abstractness"
"escapar","abstractnesses"
"escassetat","abstractor"
"escena","abstractors"
"escenari","abstractor's"
"esclau","abstracts"
"esclavitud","abstrahent"
"escletxa","abstrict"
"escola","abstricted"
"escolta","abstricting"
"escoltar","abstriction"
"escombrar","abstricts"
"escombraries","abstrude"
"escopir","abstruse"
"escriptor","abstrusely"
"escriptori","abstruseness"
"escriptura","abstrusenesses"
"escrit","abstruser"
"escriure","abstrusest"
"escultura","abstrusion"
"escut","abstrusity"
"esdeveniment","abstrusities"
"esfera","absume"
"esforç","absumption"
"esforçar-se","absurd"
"Església","absurder"
"esmena","absurdest"
"esmentar","absurdism"
"esmorzar","absurdist"
"espai","absurdity"
"espantat","absurdities"
"espanyol","absurdity's"
"espasa","absurdly"
"espatlla","absurdness"
"especial","absurds"
"especialista","absurdum"
"especialitzar-se","absvolt"
"especialment","abt"
"espècies","abterminal"
"específic","abthain"
"especificar","abthainry"
"espectacle","abthainrie"
"espectacular","abthanage"
"espectador","abtruse"
"espectre","Abu"
"espelma","abubble"
"espera","Abu-Bekr"
"esperança","Abucay"
"esperar","abucco"
"esperat","abuilding"
"esperit","Abukir"
"espés","abuleia"
"espia","Abulfeda"
"espiritual","abulia"
"esport","abulias"
"espurna","abulic"
"esquema","abulyeit"
"esquena","abulomania"
"esquerra","abumbral"
"esquí","abumbrellar"
"essència","Abuna"
"essencial","abundance"
"essencialment","abundances"
"est","abundancy"
"estabilitat","abundant"
"estable","Abundantia"
"establiment","abundantly"
"establir","abune"
"estaca","abura"
"estació","aburabozu"
"estadi","aburagiri"
"estadístic","aburban"
"estadístiques","Abury"
"estalviant","aburst"
"estàndard","aburton"
"estany","abusable"
"estat","abusage"
"estàtua","abuse"
"estatut","abused"
"estendre","abusedly"
"estesa","abusee"
"estil","abuseful"
"estimació","abusefully"
"estimada","abusefulness"
"estimat","abuser"
"estímul","abusers"
"estirar","abuses"
"estiu","abush"
"estoc","abusing"
"estómac","abusion"
"estranger","abusious"
"estrany","abusive"
"estrany","abusively"
"estratègia","abusiveness"
"estratègic","abusivenesses"
"estrella","abut"
"estrès","Abuta"
"estret","Abutilon"
"estrictament","abutilons"
"estricte","abutment"
"estructura","abutments"
"estructural","abuts"
"estudi","abuttal"
"estudiant","abuttals"
"estudiar","abutted"
"estúpid","abutter"
"esvair","abutters"
"et","abutter's"
"etapa","abutting"
"etc","abuzz"
"etern","abv"
"ètic","abvolt"
"ètica","abvolts"
"etiqueta","abwab"
"ètnics","abwatt"
"Europeu","abwatts"
"evangeli","ac"
"eventualment","ac-"
"evident","a-c"
"evidentment","AC/DC"
"evitar","ACAA"
"evolució","Acacallis"
"evolucionar","acacatechin"
"exactament","acacatechol"
"exacte","Acacea"
"examen","Acaceae"
"examinar","acacetin"
"excepció","Acacia"
"excepcional","Acacian"
"excepte","acacias"
"excessiu","acaciin"
"excloure","acacin"
"exclusiu","acacine"
"exclusivament","acad"
"excusa","academe"
"execució","academes"
"executar","Academy"
"executiu","academia"
"exemple","academial"
"exercici","academian"
"exèrcit","academias"
"existència","Academic"
"existents","academical"
"existir","academically"
"èxit","academicals"
"expandir","academician"
"expansió","academicians"
"expectativa","academicianship"
"experiència","academicism"
"experiment","academics"
"experimental","academie"
"experimentat","academies"
"expert","academy's"
"explicació","academise"
"explicar","academised"
"explícit","academising"
"explícitament","academism"
"exploració","academist"
"explorador","academite"
"explorar","academization"
"explosió","academize"
"explotar","academized"
"exportar","academizing"
"exposar","Academus"
"exposició","Acadia"
"expressar","acadialite"
"expressió","Acadian"
"extensa","Acadie"
"extensió","Acaena"
"exterior","acajou"
"extern","acajous"
"extra","acal"
"extracte","acalculia"
"extraordinari","acale"
"extrem","acaleph"
"extremadament","Acalepha"
"fa","Acalephae"
"fàbrica","acalephan"
"fabricació","acalephe"
"fabricant","acalephes"
"fàcil","acalephoid"
"facilitar","acalephs"
"facilitat","Acalia"
"fàcilment","acalycal"
"factor","acalycine"
"factura","acalycinous"
"faldilla","acalyculate"
"fallida","Acalypha"
"fals","Acalypterae"
"Fals","Acalyptrata"
"fam","Acalyptratae"
"fama","acalyptrate"
"família","Acamar"
"familiar","Acamas"
"famolenc","Acampo"
"famós","acampsia"
"fang","acana"
"fantasia","acanaceous"
"fantasma","acanonical"
"fantàstic","acanth"
"farina","acanth-"
"fascinant","acantha"
"fase","Acanthaceae"
"favor","acanthaceous"
"favorit","acanthad"
"fe","Acantharia"
"feble","acanthi"
"febre","Acanthia"
"febrer","acanthial"
"federal","acanthin"
"feina","acanthine"
"feliç","acanthion"
"felicitat","acanthite"
"feliçment","acantho-"
"femella","acanthocarpous"
"fenomen","Acanthocephala"
"fer","acanthocephalan"
"ferida","Acanthocephali"
"ferir","acanthocephalous"
"ferit","Acanthocereus"
"ferm","acanthocladous"
"fermament","Acanthodea"
"ferro","acanthodean"
"ferrocarril","Acanthodei"
"festa","Acanthodes"
"Festival","acanthodian"
"fet","Acanthodidae"
"fetge","Acanthodii"
"fiabilitat","Acanthodini"
"fiable","acanthoid"
"fibra","Acantholimon"
"ficció","acantholysis"
"fidel","acanthology"
"figura","acanthological"
"fil","acanthoma"
"fila","acanthomas"
"filferro","Acanthomeridae"
"fill","acanthon"
"filla","Acanthopanax"
"filosofia","Acanthophis"
"filosòfic","acanthophorous"
"filtre","acanthopod"
"final","acanthopodous"
"finalment","acanthopomatous"
"finançament","acanthopore"
"financera","acanthopteran"
"Finances","Acanthopteri"
"finca","acanthopterygian"
"finestra","Acanthopterygii"
"fingir","acanthopterous"
"Fira","acanthoses"
"fiscal","acanthosis"
"física","acanthotic"
"físicament","acanthous"
"fixat","Acanthuridae"
"flaix","Acanthurus"
"flama","acanthus"
"fletxa","acanthuses"
"flexibilitat","acanthuthi"
"flexible","acapnia"
"flor","acapnial"
"flota","acapnias"
"flotar","acappella"
"fluid","acapsular"
"fluir","acapu"
"foc","Acapulco"
"focus","acara"
"fonamental","Acarapis"
"fondre","acarari"
"fons","acardia"
"font","acardiac"
"fora","acardite"
"forat","acari"
"força","acarian"
"forma","acariasis"
"formació","acariatre"
"formal","acaricidal"
"format","acaricide"
"formatge","acarid"
"formigó","Acarida"
"fórmula","acaridae"
"forn","acaridan"
"forquilla","acaridans"
"fort","Acaridea"
"fortament","acaridean"
"fortuna","acaridomatia"
"fòrum","acaridomatium"
"fosc","acarids"
"foscor","acariform"
"fossa","Acarina"
"fòssil","acarine"
"foto","acarines"
"fotògraf","acarinosis"
"fotografia","Acarnan"
"fracàs","acarocecidia"
"fracassar","acarocecidium"
"fracció","acarodermatitis"
"francament","acaroid"
"francès","acarol"
"franquícia","acarology"
"frase","acarologist"
"frau","acarophilous"
"fregar","acarophobia"
"freqüència","acarotoxic"
"freqüent","acarpellous"
"fresc","acarpelous"
"front","acarpous"
"frontera","Acarus"
"fruita","ACAS"
"frustració","acast"
"fuet","Acastus"
"fugida","acatalectic"
"fugir","acatalepsy"
"full","acatalepsia"
"fulla","acataleptic"
"fum","acatallactic"
"funció","acatamathesia"
"funcional","acataphasia"
"funcionament","acataposis"
"funcionar","acatastasia"
"fundació","acatastatic"
"fundador","acate"
"funeral","acategorical"
"furgoneta","acater"
"fusta","acatery"
"futbol","acates"
"futur","acatharsy"
"gàbia","acatharsia"
"gabinet","acatholic"
"gai","acaudal"
"gairebé","acaudate"
"galàxia","acaudelescent"
"galeria","acaulescence"
"galeta","acaulescent"
"galó","acauline"
"galta","acaulose"
"ganivet","acaulous"
"ganxo","ACAWS"
"garantia","ACB"
"garatge","ACBL"
"gas","ACC"
"gasolina","acc."
"Gastar","acca"
"gat","accable"
"gatejar","Accad"
"gaudir","accademia"
"gegant","Accadian"
"gel","Accalia"
"gelós","acce"
"gen","accede"
"gener","acceded"
"generació","accedence"
"general","acceder"
"generalitzada","acceders"
"generalment","accedes"
"generar","acceding"
"gènere","accel"
"generós","accel."
"genet","accelerable"
"genètica","accelerando"
"geni","accelerant"
"genial","accelerate"
"genoll","accelerated"
"gent","acceleratedly"
"genuí","accelerates"
"gerent","accelerating"
"germà","acceleratingly"
"germana","acceleration"
"gespa","accelerations"
"gest","accelerative"
"gestió","accelerator"
"gestionar","acceleratory"
"gimnàs","accelerators"
"gir","accelerograph"
"gira","accelerometer"
"girar","accelerometers"
"global","accelerometer's"
"globus","accend"
"glòria","accendibility"
"goig","accendible"
"gola","accensed"
"golf","accension"
"gop","accensor"
"gos","accent"
"gossa","accented"
"govern","accenting"
"governador","accentless"
"governar","accentor"
"gra","accentors"
"gràcia","accents"
"gràcies","accentuable"
"graduació","accentual"
"gradualment","accentuality"
"graduat","accentually"
"graella","accentuate"
"gràfic","accentuated"
"gram","accentuates"
"gran","accentuating"
"graner","accentuation"
"granja","accentuations"
"grapat","accentuator"
"grau","accentus"
"gravació","accept"
"gravetat","acceptability"
"grec","acceptabilities"
"greix","acceptable"
"greu","acceptableness"
"gris","acceptably"
"groc","acceptance"
"groller","acceptances"
"gronxador","acceptance's"
"grup","acceptancy"
"guai","acceptancies"
"guant","acceptant"
"guany","acceptation"
"guanyador","acceptavit"
"guanyar","accepted"
"guanys","acceptedly"
"guapo","acceptee"
"guardar","acceptees"
"guardià","accepter"
"guàrdia","accepters"
"guerra","acceptilate"
"guerrer","acceptilated"
"guia","acceptilating"
"guió","acceptilation"
"guitarra","accepting"
"gust","acceptingly"
"ha","acceptingness"
"habilitar","acception"
"habilitat","acceptive"
"hàbit","acceptor"
"habitació","acceptors"
"habitat","acceptor's"
"habitatge","acceptress"
"habitual","accepts"
"Halloween","accerse"
"hamburguesa","accersition"
"haurà","accersitor"
"hauria","access"
"helicòpter","accessability"
"herba","accessable"
"heretar","accessary"
"heroi","accessaries"
"hipoteca","accessarily"
"hipòtesi","accessariness"
"hispans","accessaryship"
"història","accessed"
"historiador","accesses"
"històric","accessibility"
"històricament","accessibilities"
"hivern","accessible"
"hmm","accessibleness"
"hola","accessibly"
"Hola","accessing"
"holandès","accession"
"home","accessional"
"honest","accessioned"
"honestament","accessioner"
"honor","accessioning"
"hoquei","accessions"
"horari","accession's"
"hores","accessit"
"horitzó","accessive"
"hormona","accessively"
"horrible","accessless"
"horror","accessor"
"hospital","accessory"
"hostil","accessorial"
"hotel","accessories"
"humà","accessorii"
"humanitat","accessorily"
"humit","accessoriness"
"humor","accessory's"
"huracà","accessorius"
"i","accessoriusorii"
"i/o","accessorize"
"icona","accessorized"
"ictus","accessorizing"
"idea","accessors"
"ideal","accessor's"
"idèntics","acciaccatura"
"identificació","acciaccaturas"
"identificar","acciaccature"
"identitat","accidence"
"ideologia","accidency"
"ideològic","accidencies"
"idiota","accident"
"ignorància","accidental"
"ignorant","accidentalism"
"ignorar","accidentalist"
"igual","accidentality"
"igualment","accidentally"
"igualtat","accidentalness"
"il·legal","accidentals"
"il·lusió","accidentary"
"il·lustració","accidentarily"
"il·lustrar","accidented"
"illa","accidential"
"imaginació","accidentiality"
"imagina't","accidently"
"imatge","accident-prone"
"immediat","accidents"
"immediatament","accidia"
"immigració","accidias"
"immigrant","accidie"
"immune","accidies"
"impacte","accinge"
"imperi","accinged"
"implementació","accinging"
"implementar","accipenser"
"implicació","accipient"
"implicar","Accipiter"
"implicats","accipitral"
"importància","accipitrary"
"important","Accipitres"
"importar","accipitrine"
"imposar","accipter"
"impossible","accise"
"impost","accismus"
"impressió","accite"
"impressionant","Accius"
"impressionar","acclaim"
"imprimir","acclaimable"
"impuls","acclaimed"
"inadequat","acclaimer"
"incapaç","acclaimers"
"incentiu","acclaiming"
"incertesa","acclaims"
"incident","acclamation"
"inclòs","acclamations"
"incloure","acclamator"
"incòmode","acclamatory"
"incorporar","acclimatable"
"increïble","acclimatation"
"increïblement","acclimate"
"independència","acclimated"
"independent","acclimatement"
"índex","acclimates"
"indi","acclimating"
"indicació","acclimation"
"indicador","acclimations"
"indicar","acclimatisable"
"indígena","acclimatisation"
"individual","acclimatise"
"induir","acclimatised"
"indústria","acclimatiser"
"industrial","acclimatising"
"inesperat","acclimatizable"
"inevitable","acclimatization"
"infant","acclimatizations"
"infantesa","acclimatize"
"infecció","acclimatized"
"inferior","acclimatizer"
"infermera","acclimatizes"
"infern","acclimatizing"
"inflació","acclimature"
"influència","acclinal"
"influents","acclinate"
"informació","acclivity"
"informar","acclivities"
"informe","acclivitous"
"informes","acclivous"
"infraestructura","accloy"
"ingredient","accoast"
"ingressos","accoy"
"inicial","accoyed"
"inicialment","accoying"
"iniciar","accoil"
"iniciativa","Accokeek"
"injust","accolade"
"innocent","accoladed"
"innombrables","accolades"
"innovació","accolated"
"innovador","accolent"
"inquietant","accoll"
"inscriure's","accolle"
"insecte","accolled"
"inserir","accollee"
"insisteix","Accomac"
"inspecció","accombination"
"inspector","accommodable"
"inspiració","accommodableness"
"inspirar","accommodate"
"instal·lació","accommodated"
"instal·lar","accommodately"
"instància","accommodateness"
"instant","accommodates"
"instantàniament","accommodating"
"instint","accommodatingly"
"institució","accommodatingness"
"institucional","accommodation"
"Institut","accommodational"
"instrucció","accommodationist"
"instructiu","accommodations"
"instructor","accommodative"
"instruir","accommodatively"
"instrument","accommodativeness"
"integració","accommodator"
"integral","accommodators"
"integrar","accomodate"
"integritat","accompanable"
"intel·ligència","accompany"
"intel·ligent","accompanied"
"intenció","accompanier"
"intens","accompanies"
"intensitat","accompanying"
"intent","accompanyist"
"interacció","accompaniment"
"interactuar","accompanimental"
"intercanvi","accompaniments"
"interès","accompaniment's"
"interessant","accompanist"
"interessats","accompanists"
"interferir","accompanist's"
"interfície","accomplement"
"interior","accompletive"
"intern","accompli"
"internacional","accomplice"
"internet","accomplices"
"intèrpret","accompliceship"
"interpretació","accomplicity"
"interpretar","accomplis"
"interrompre","accomplish"
"interruptor","accomplishable"
"interval","accomplished"
"intervenció","accomplisher"
"íntim","accomplishers"
"introducció","accomplishes"
"introduir","accomplishing"
"inundació","accomplishment"
"inusual","accomplishments"
"inútil","accomplishment's"
"invasió","accomplisht"
"invenció","accompt"
"inventar","accord"
"inventari","accordable"
"inversió","accordance"
"inversor","accordances"
"invertir","accordancy"
"investigació","accordant"
"investigador","accordantly"
"investigar","accordatura"
"invisible","accordaturas"
"invitació","accordature"
"ipad","accorded"
"iphone","accorder"
"ira","accorders"
"iranià","according"
"iraquià","accordingly"
"irlandesa","accordion"
"ironia","accordionist"
"islam","accordionists"
"islàmic","accordions"
"israelià","accordion's"
"italià","accords"
"ja","accorporate"
"japonès","accorporation"
"jaqueta","accost"
"jardí","accostable"
"jazz","accosted"
"jet","accosting"
"jo","accosts"
"joc","accouche"
"joguina","accouchement"
"joieria","accouchements"
"jove","accoucheur"
"joventut","accoucheurs"
"jubilació","accoucheuse"
"jubilar-se","accoucheuses"
"jubilat","accounsel"
"judici","account"
"judicial","accountability"
"jueu","accountabilities"
"jugador","accountable"
"jugar","accountableness"
"juliol","accountably"
"jungla","accountancy"
"júnior","accountancies"
"junts","accountant"
"juny","accountants"
"jurar","accountant's"
"jurat","accountantship"
"jurisdicció","accounted"
"justament","accounter"
"justícia","accounters"
"justificar","accounting"
"jutge","accountings"
"kit","accountment"
"laboratori","accountrement"
"l'alfabetització","accounts"
"lamentable","accouple"
"lamentar","accouplement"
"làser","accourage"
"lavabo","accourt"
"l'avortament","accouter"
"lector","accoutered"
"lectura","accoutering"
"legal","accouterment"
"legalment","accouterments"
"legislació","accouters"
"legislador","accoutre"
"legislativa","accoutred"
"legislatura","accoutrement"
"legítim","accoutrements"
"lent","accoutres"
"lentament","accoutring"
"l'especulació","Accoville"
"liberal","ACCRA"
"líder","accrease"
"liderant","accredit"
"lideratge","accreditable"
"límit","accreditate"
"limitació","accreditation"
"limitada","accreditations"
"línia","accredited"
"literalment","accreditee"
"literària","accrediting"
"literatura","accreditment"
"llac","accredits"
"llaç","accrementitial"
"lladre","accrementition"
"llàgrima","accresce"
"llamp","accrescence"
"llançadora","accrescendi"
"llançament","accrescendo"
"llançar","accrescent"
"llar","accretal"
"llarg","accrete"
"llargada","accreted"
"llatí","accretes"
"llauna","accreting"
"llavi","accretion"
"llavor","accretionary"
"llegat","accretions"
"llegenda","accretion's"
"llegir","accretive"
"Llei","accriminate"
"lleial","Accrington"
"lleialtat","accroach"
"lleig","accroached"
"llengua","accroaching"
"llenguatge","accroachment"
"lleó","accroides"
"llest","accruable"
"llet","accrual"
"lletres","accruals"
"lleu","accrue"
"lleugerament","accrued"
"llibertat","accruement"
"llibre","accruer"
"llicència","accrues"
"lliçó","accruing"
"lliga","ACCS"
"lligar","ACCT"
"llimona","acct."
"llindar","accts"
"llis","accubation"
"llisca","accubita"
"llista","accubitum"
"llit","accubitus"
"lliura","accueil"
"lliurament","accultural"
"lliurar","acculturate"
"lliure","acculturated"
"lliurement","acculturates"
"lloc","acculturating"
"lloguer","acculturation"
"llop","acculturational"
"lluitador","acculturationist"
"lluitant","acculturative"
"lluitar","acculturize"
"llum","acculturized"
"lluna","acculturizing"
"lluny","accum"
"llunyà","accumb"
"localitzar","accumbency"
"locals","accumbent"
"l'odi","accumber"
"lògic","accumulable"
"lògica","accumulate"
"lot","accumulated"
"lots","accumulates"
"luxós","accumulating"
"mà","accumulation"
"màgia","accumulations"
"màgic","accumulativ"
"magnitud","accumulative"
"magra","accumulatively"
"M'agrada","accumulativeness"
"mai","accumulator"
"maig","accumulators"
"major","accumulator's"
"majoria","accupy"
"majoritàriament","accur"
"mal","accuracy"
"malalt","accuracies"
"malaltia","accurate"
"malament","accurately"
"malauradament","accurateness"
"malbaratament","accuratenesses"
"maleïda","accurre"
"malgrat","accurse"
"malson","accursed"
"maluc","accursedly"
"mama","accursedness"
"mancança","accursing"
"mandat","accurst"
"mandíbula","accurtation"
"mandrós","accus"
"manera","accusable"
"manifestant","accusably"
"màniga","accusal"
"manipular","accusals"
"manta","accusant"
"mantega","accusants"
"manteniment","accusation"
"mantenir","accusations"
"maó","accusation's"
"mapa","accusatival"
"maquillatge","accusative"
"màquina","accusative-dative"
"maquinari","accusatively"
"mar","accusativeness"
"marc","accusatives"
"marca","accusator"
"marcador","accusatory"
"mare","accusatorial"
"marea","accusatorially"
"marge","accusatrix"
"marí","accusatrixes"
"marihuana","accuse"
"marina","accused"
"marit","accuser"
"màrqueting","accusers"
"marró","accuses"
"martell","accusing"
"marxa","accusingly"
"marxar","accusive"
"mascareta","accusor"
"mascle","accustom"
"mascota","accustomation"
"massa","accustomed"
"massiva","accustomedly"
"mastegar","accustomedness"
"matant","accustoming"
"matar","accustomize"
"mateix","accustomized"
"matemàtiques","accustomizing"
"matèria","accustoms"
"material","Accutron"
"matí","ACD"
"matoll","ACDA"
"matrimoni","AC-DC"
"matriu","ACE"
"màxim","acea"
"mecànic","aceacenaphthene"
"mecànica","aceae"
"mecanisme","acean"
"medalla","aceanthrene"
"mèdic","aceanthrenequinone"
"medicació","acecaffin"
"medicament","acecaffine"
"mel","aceconitic"
"membre","aced"
"memòria","acedy"
"memorial","acedia"
"menjador","acediamin"
"menjant","acediamine"
"menjar","acedias"
"menor","acediast"
"mensual","ace-high"
"ment","Acey"
"mental","acey-deucy"
"mentalment","aceite"
"mentida","aceituna"
"mentider","Aceldama"
"mentor","aceldamas"
"mentre","acellular"
"mentrestant","Acemetae"
"Mentrestant","Acemetic"
"menú","acemila"
"menys","acenaphthene"
"mera","acenaphthenyl"
"meravella","acenaphthylene"
"meravellós","acenesthesia"
"mercaderia","acensuada"
"mercat","acensuador"
"merda","acentric"
"mereix","acentrous"
"meridional","aceology"
"mèrit","aceologic"
"mes","aceous"
"més","acephal"
"mescla","Acephala"
"mestre","acephalan"
"mesura","Acephali"
"metàfora","acephalia"
"metall","Acephalina"
"metge","acephaline"
"mètode","acephalism"
"metratge","acephalist"
"metre","Acephalite"
"meu","acephalocyst"
"mexicana","acephalous"
"mico","acephalus"
"mida","acepots"
"mig","acequia"
"migdia","acequiador"
"migració","acequias"
"milers","Acer"
"milions","Aceraceae"
"militar","aceraceous"
"milla","Acerae"
"millor","Acerata"
"millora","acerate"
"millorar","acerated"
"millorat","Acerates"
"minar","acerathere"
"mínim","Aceratherium"
"minimitzar","aceratosis"
"Ministeri","acerb"
"ministre","Acerbas"
"minoria","acerbate"
"minorista","acerbated"
"minut","acerbates"
"mira","acerbating"
"miracle","acerber"
"mirada","acerbest"
"mirall","acerbic"
"mirar","acerbically"
"missatge","acerbity"
"míssil","acerbityacerose"
"missió","acerbities"
"misteri","acerbitude"
"misteriós","acerbly"
"mite","acerbophobia"
"mitjà","acerdol"
"mitjana","aceric"
"mitjanit","acerin"
"mitjó","acerli"
"mm","acerola"
"mm-hmm","acerolas"
"mmm","acerose"
"mòbil","acerous"
"mobles","acerra"
"moda","acers"
"mode","acertannin"
"model","acerval"
"moderada","acervate"
"modern","acervately"
"Modest","acervatim"
"modificar","acervation"
"molècula","acervative"
"molest","acervose"
"molestar","acervuli"
"molí","acervuline"
"molt","acervulus"
"molts","aces"
"moment","ace's"
"món","acescence"
"moneda","acescency"
"monetària","acescent"
"mongeta","acescents"
"monitor","aceship"
"monstre","Acesius"
"monument","acesodyne"
"moral","acesodynous"
"moralitat","Acessamenus"
"morint","Acestes"
"morir","acestoma"
"mort","acet-"
"mortal","aceta"
"mortalitat","acetable"
"mossegada","acetabula"
"mostra","acetabular"
"motiu","Acetabularia"
"motivació","acetabuliferous"
"motivar","acetabuliform"
"motor","acetabulous"
"moure's","acetabulum"
"moviment","acetabulums"
"muda","acetacetic"
"múltiples","acetal"
"multitud","acetaldehydase"
"munt","acetaldehyde"
"muntanya","acetaldehydrase"
"muntar","acetaldol"
"muntatge","acetalization"
"múscul","acetalize"
"museu","acetals"
"músic","acetamid"
"música","acetamide"
"musical","acetamidin"
"musulmà","acetamidine"
"mútua","acetamido"
"nació","acetamids"
"nacional","acetaminol"
"Nadal","Acetaminophen"
"nadó","acetanilid"
"naixement","acetanilide"
"narrador","acetanion"
"narrativa","acetaniside"
"nas","acetanisidide"
"nascut","acetanisidine"
"natural","acetannin"
"naturalesa","acetary"
"naturalment","acetarious"
"navegador","acetars"
"navegar","acetarsone"
"necessàriament","acetate"
"necessaris","acetated"
"necessitat","acetates"
"nedar","acetation"
"negació","acetazolamide"
"negar","acetbromamide"
"negatiu","acetenyl"
"negociació","Acetes"
"negociar","acethydrazide"
"negocis","acetiam"
"negre","acetic"
"nen","acetify"
"nena","acetification"
"nervi","acetified"
"nerviós","acetifier"
"net","acetifies"
"netejar","acetifying"
"neu","acetyl"
"neutre","acetylacetonates"
"nina","acetylacetone"
"ningú","acetylamine"
"nit","acetylaminobenzene"
"niu","acetylaniline"
"nivell","acetylasalicylic"
"no","acetylate"
"noció","acetylated"
"noi","acetylating"
"noia","acetylation"
"nom","acetylative"
"nombre","acetylator"
"nombrosos","acetylbenzene"
"només","acetylbenzoate"
"nominació","acetylbenzoic"
"nominar","acetylbiuret"
"nominat","acetylcarbazole"
"nord","acetylcellulose"
"nord-est","acetylcholine"
"nord-oest","acetylcholinesterase"
"norma","acetylcholinic"
"normal","acetylcyanide"
"normalment","acetylenation"
"nosaltres","acetylene"
"nostre","acetylenediurein"
"nota","acetylenes"
"notable","acetylenic"
"Notícies","acetylenyl"
"nou","acetylenogen"
"novel·la","acetylfluoride"
"novell","acetylglycin"
"nu","acetylglycine"
"nuclear","acetylhydrazine"
"nucli","acetylic"
"nus","acetylid"
"nutrició","acetylide"
"núvia","acetyliodide"
"núvol","acetylizable"
"o","acetylization"
"obert","acetylize"
"obertament","acetylized"
"obertura","acetylizer"
"objecció","acetylizing"
"objecte","acetylmethylcarbinol"
"objectiu","acetylperoxide"
"oblidar","acetylphenylhydrazine"
"obligació","acetylphenol"
"obligar","acetylrosaniline"
"obres","acetyls"
"observació","acetylsalicylate"
"observador","acetylsalicylic"
"observar","acetylsalol"
"obstacle","acetyltannin"
"obtenir","acetylthymol"
"ocasió","acetyltropeine"
"ocasional","acetylurea"
"Occidental","acetimeter"
"oceà","acetimetry"
"ocell","acetimetric"
"ocorren","acetin"
"octubre","acetine"
"ocupació","acetins"
"ocupada","acetite"
"ocupar","acetize"
"odi","acetla"
"oest","acetmethylanilide"
"ofegar","acetnaphthalide"
"ofendre","aceto-"
"ofensa","acetoacetanilide"
"ofensiu","acetoacetate"
"oferta","acetoacetic"
"oficial","acetoamidophenol"
"oficialment","acetoarsenite"
"oficina","Acetobacter"
"ofrena","acetobenzoic"
"oh","acetobromanilide"
"oient","acetochloral"
"oli","acetocinnamene"
"olimpíades","acetoin"
"olímpic","acetol"
"Oliva","acetolysis"
"olla","acetolytic"
"olor","acetometer"
"ombra","acetometry"
"Omet","acetometric"
"ometre","acetometrical"
"omplir","acetometrically"
"OMS","acetomorphin"
"on","acetomorphine"
"onada","acetonaemia"
"oncle","acetonaemic"
"onze","acetonaphthone"
"opció","acetonate"
"òpera","acetonation"
"operador","acetone"
"opinió","acetonemia"
"oponent","acetonemic"
"oportunitat","acetones"
"oposat","acetonic"
"oposició","acetonyl"
"optar","acetonylacetone"
"optimista","acetonylidene"
"or","acetonitrile"
"oral","acetonization"
"òrbita","acetonize"
"ordenar","acetonuria"
"ordinador","acetonurometer"
"ordinari","acetophenetide"
"ordre","acetophenetidin"
"orella","acetophenetidine"
"òrgan","acetophenin"
"orgànica","acetophenine"
"organisme","acetophenone"
"organització","acetopiperone"
"organitzar","acetopyrin"
"orgull","acetopyrine"
"orgullós","acetosalicylic"
"orientació","acetose"
"oriental","acetosity"
"origen","acetosoluble"
"original","acetostearin"
"originàriament","acetothienone"
"os","acetotoluid"
"ostatge","acetotoluide"
"ou","acetotoluidine"
"ovelles","acetous"
"oxigen","acetoveratrone"
"pa","acetoxyl"
"paciència","acetoxyls"
"pacient","acetoxim"
"Pacífic","acetoxime"
"paella","acetoxyphthalide"
"pagament","acetphenetid"
"pagar","acetphenetidin"
"pagès","acetract"
"pàgina","acettoluide"
"paio","acetum"
"país","aceturic"
"paisatge","ACF"
"pal","ACGI"
"pàl·lid","ac-globulin"
"palau","ACH"
"palestina","Achab"
"palmell","Achad"
"panell","Achaea"
"pànic","Achaean"
"pantalla","Achaemenes"
"pantaló","Achaemenian"
"pany","Achaemenid"
"papa","Achaemenidae"
"paper","Achaemenides"
"papereta","Achaemenidian"
"paquet","Achaemenids"
"paràgraf","achaenocarp"
"paràmetre","Achaenodon"
"parar","Achaeta"
"paraula","achaetous"
"parc","Achaeus"
"parcial","achafe"
"parcialitat","achage"
"parcialment","Achagua"
"pare","Achaia"
"parella","Achaian"
"parental","Achakzai"
"paret","achalasia"
"parlament","Achamoth"
"parlant","Achan"
"parlar","Achango"
"part","achape"
"participació","achaque"
"participant","achar"
"participar","acharya"
"partícula","Achariaceae"
"particular","Achariaceous"
"particularment","acharne"
"partidari","acharnement"
"partit","Acharnians"
"pas","achate"
"passadís","Achates"
"passant","Achatina"
"passar","Achatinella"
"passat","Achatinidae"
"passatge","achatour"
"passatger","Achaz"
"passeig","ache"
"passió","acheat"
"pastilla","achech"
"pastís","acheck"
"pastor","ached"
"patata","acheer"
"patent","ACHEFT"
"pati","acheilary"
"patiment","acheilia"
"patir","acheilous"
"pàtria","acheiria"
"patrimoni","acheirous"
