"Xhosa","English"
"isibonda","absent"
"isibonelelo","absentation"
"isibongozo","absented"
"isicatshulwa","absentee"
"isicelo","absenteeism"
"isicwangciso","absentees"
"isidalwa","absentee's"
"isidanga","absenteeship"
"IsiDatshi","absenter"
"isidenge","absenters"
"isidima","absentia"
"isidingo","absenting"
"isidlele","absently"
"isidlo","absentment"
"isifingo","absentminded"
"isifo","absent-minded"
"IsiFrentshi","absentmindedly"
"isifundiswa","absent-mindedly"
"isifundo","absentmindedness"
"isigaba","absent-mindedness"
"isigama","absentmindednesses"
"isiganeko","absentness"
"Isigcina-ntloko","absents"
"isigebenga","absfarad"
"isiginci","abshenry"
"isigqeba","Abshier"
"isigqebelo","Absi"
"isigqibo","absinth"
"IsiGrike","absinthe"
"isigulo","absinthes"
"isigunyaziso","absinthial"
"isigwebo","absinthian"
"isihlahla","absinthiate"
"isihlalo","absinthiated"
"isihlangu","absinthiating"
"Isihlanu","absinthic"
"isihlobo","absinthiin"
"isihloko","absinthin"
"isihlunu","absinthine"
"isihluzo","absinthism"
"isihlwele","absinthismic"
"isihogo","absinthium"
"IsiJamani","absinthol"
"IsiJaphani","absinthole"
"isijekulo","absinths"
"isikali","Absyrtus"
"isiketi","absis"
"isikhalazo","absist"
"isikhokelo","absistos"
"isikhongozeli","absit"
"isikhonkwane","absmho"
"isikhubekiso","absohm"
"isikhukula","absoil"
"isikhumbuzo","absolent"
"isikhundla","Absolute"
"isikipa","absolutely"
"isiko","absoluteness"
"isikolo","absoluter"
"isikrini","absolutes"
"isikrufu","absolutest"
"isikweko","absolution"
"isikwere","absolutions"
"isiLatini","absolutism"
"isilayi","absolutist"
"isilayidi","absolutista"
"isilevu","absolutistic"
"isilika","absolutistically"
"Isilimela","absolutists"
"isilingi","absolutive"
"isilivere","absolutization"
"isilumkiso","absolutize"
"isilungiso","absolutory"
"isilwanyana","absolvable"
"isimbo","absolvatory"
"isimemo","absolve"
"isinambuzane","absolved"
"isincoko","absolvent"
"isindululo","absolver"
"Isine","absolvers"
"IsiNgesi","absolves"
"isingqisho","absolving"
"isini","absolvitor"
"isinki","absolvitory"
"isinxibo","absonant"
"isipaji","absonous"
"isiphaluka","absorb"
"isiphawuli","absorbability"
"isiphekepheke","absorbable"
"isiphelo","absorbance"
"isiphene","absorbancy"
"isiphithiphithi","absorbant"
"isipho","absorbed"
"isiphumo","absorbedly"
"isipili","absorbedness"
"Isiporho","absorbefacient"
"isiqabu","absorbency"
"isiqalelo","absorbencies"
"isiqendu","absorbent"
"isiqhelo","absorbents"
"isiqhulo","absorber"
"isiqingatha","absorbers"
"isiqinisekiso","absorbing"
"isiqithi","absorbingly"
"isiqu","absorbition"
"isiqwenga","absorbs"
"IsiRashiya","absorbtion"
"isiRoman","absorpt"
"isiseko","absorptance"
"isiselo","absorptiometer"
"isishwankathelo","absorptiometric"
"isisombululo","absorption"
"isisu","absorptional"
"isitaki","absorptions"
"isitalato","absorption's"
"IsiTaliyani","absorptive"
"isitampu","absorptively"
"isitena","absorptiveness"
"isithako","absorptivity"
"Isithandathu","absquatulate"
"isithandwa","absquatulation"
"Isithathu","abstain"
"isithembiso","abstained"
"isithende","abstainer"
"isithethe","abstainers"
"isithethi","abstaining"
"isithili","abstainment"
"isithintelo","abstains"
"isithsaba","abstemious"
"isithuba","abstemiously"
"isithunzi","abstemiousness"
"isithuthi","abstention"
"Isithwalandwe","abstentionism"
"isitishi","abstentionist"
"isitokhwe","abstentions"
"IsiTshayina","abstentious"
"isitshixa","absterge"
"isitshixo","absterged"
"isitulo","abstergent"
"isitya","absterges"
"isityalo","absterging"
"isityhilelo","absterse"
"isityholo","abstersion"
"isivakalisi","abstersive"
"isivamvo","abstersiveness"
"isivumelwano","abstertion"
"isixa","abstinence"
"isixeko","abstinences"
"Isixhenxe","abstinency"
"isixhobo","abstinent"
"isizathu","abstinential"
"isizukulwana","abstinently"
"isizwe","abstort"
"islamoni","abstr"
"isoda","abstract"
"isoftware","abstractable"
"isohlwayo","abstracted"
"isondlo","abstractedly"
"isonka","abstractedness"
"isono","abstracter"
"isosi","abstracters"
"iSoviet","abstractest"
"isoyikiso","abstracting"
"iSpanishi","abstraction"
"ispectrum","abstractional"
"istroke","abstractionism"
"isuntswana","abstractionist"
"isuphu","abstractionists"
"isuti","abstractions"
"iswekile","abstraction's"
"itafile","abstractitious"
"italente","abstractive"
"itanki","abstractively"
"itawuli","abstractiveness"
"itayara","abstractly"
"iteknoloji","abstractness"
"iteleskopu","abstractnesses"
"itempile","abstractor"
"itephu","abstractors"
"itestamente","abstractor's"
"iteyiphu","abstracts"
"ithambeka","abstrahent"
"ithambo","abstrict"
"ithamsanqa","abstricted"
"ithanga","abstricting"
"ithebhu","abstriction"
"ithebhulethi","abstricts"
"ithegi","abstrude"
"itheko","abstruse"
"ithemba","abstrusely"
"ithenda","abstruseness"
"ithiyori","abstrusenesses"
"Itholi","abstruser"
"ithoni","abstrusest"
"ithuba","abstrusion"
"ithuku","abstrusity"
"ithumba","abstrusities"
"iti","absume"
"itikiti","absumption"
"itonela","absurd"
"itrone","absurder"
"itshathi","absurdest"
"itshiphu","absurdism"
"itshizi","absurdist"
"itshokolethi","absurdity"
"itswele","absurdities"
"itumato","absurdity's"
"itumente","absurdly"
"ityala","absurdness"
"ityholo","absurds"
"ityhubhu","absurdum"
"ityuwa","absvolt"
"itywina","abt"
"ivaliwe","abterminal"
"ivampire","abthain"
"ivangeli","abthainry"
"ivaranda","abthainrie"
"iveki","abthanage"
"iveni","abtruse"
"ivenkile","Abu"
"Ivenkile","abubble"
"ivesi","Abu-Bekr"
"ividiyo","Abucay"
"ivili","abucco"
"ivithamini","abuilding"
"ivolontiya","Abukir"
"ivoti","abuleia"
"ivumba","Abulfeda"
"Iwaka","abulia"
"iwebhu","abulias"
"iwebhusayithi","abulic"
"iwele","abulyeit"
"i-WHO","abulomania"
"iworkshop","abumbral"
"iwotshi","abumbrellar"
"ixabiso","Abuna"
"ixesha","abundance"
"ixhala","abundances"
"ixhalabile","abundancy"
"ixhoba","abundant"
"ixoki","Abundantia"
"ixolo","abundantly"
"ixutyiwe","abune"
"iyachukumisa","abura"
"iyadi","aburabozu"
"iyadika","aburagiri"
"iyafikeleleka","aburban"
"iyafundisa","Abury"
"iyaguquguquka","aburst"
"iyahambelana","aburton"
"iyamangalisa","abusable"
"iyantlukwano","abusage"
"iyaqhuba","abuse"
"iyelenqe","abused"
"iyeza","abusedly"
"iyonke","abusee"
"iyoyikisa","abuseful"
"iyunifomu","abusefully"
"iyunithi","abusefulness"
"izele","abuser"
"izibalo","abusers"
"izibuko","abuses"
"izicubu","abush"
"izigidi","abusing"
"iziko","abusion"
"izimuncumuncu","abusious"
"izimvo","abusive"
"izindlu","abusively"
"izinga","abusiveness"
"izinto","abusivenesses"
"izinyo","abut"
"izinyuko","Abuta"
"iziqhamo","Abutilon"
"izixhobo","abutilons"
"izolo","abutment"
"jazz","abutments"
"jija","abuts"
"jika","abuttal"
"jikelele","abuttals"
"jingi","abutted"
"jonga","abutter"
"jongana","abutters"
"jula","abutter's"
"kabani","abutting"
"kabini","abuzz"
"Kabini","abv"
"kade","abvolt"
"kakhulu","abvolts"
"kakubi","abwab"
"kakuhle","abwatt"
"kalusizi","abwatts"
"kamva","ac"
"kananjalo","ac-"
"kancinci","a-c"
"Kaninzi","AC/DC"
"kanjalo","ACAA"
"kanti","Acacallis"
"Kanye","acacatechin"
"Katolika","acacatechol"
"khaba","Acacea"
"khala","Acaceae"
"khama","acacetin"
"khangela","Acacia"
"khankanya","Acacian"
"khanyela","acacias"
"khapha","acaciin"
"khasa","acacin"
"khathazekile","acacine"
"khawula","acad"
"khawuleza","academe"
"khazimla","academes"
"khetha","Academy"
"khohlo","academia"
"kholwani","academial"
"khonza","academian"
"khubeka","academias"
"khubekisa","Academic"
"khula","academical"
"khulula","academically"
"khumbula","academicals"
"khumbuza","academician"
"khupha","academicians"
"Khuphela","academicianship"
"khuphisana","academicism"
"khusela","academics"
"khuthaza","academie"
"khwaza","academies"
"khwela","academy's"
"Kleyima","academise"
"klinikhi","academised"
"kodwa","academising"
"kofu","academism"
"kokusingqongileyo","academist"
"konele","academite"
"Korean","academization"
"krakra","academize"
"krelekrele","academized"
"Krisimesi","academizing"
"krola","Academus"
"krwada","Acadia"
"krwaquza","acadialite"
"kuba","Acadian"
"kubalulekile","Acadie"
"kubanda","Acaena"
"kubonakala","acajou"
"kubonelelwe","acajous"
"kuchaswa","acal"
"kude","acalculia"
"kufanele","acale"
"kufanelekile","acaleph"
"kufuneka","Acalepha"
"kufunxa","Acalephae"
"kufutshane","acalephan"
"kuhle","acalephe"
"kulandela","acalephes"
"kuleqa","acalephoid"
"kulindeleke","acalephs"
"kulungile","Acalia"
"Kulungile","acalycal"
"kumntla-mpuma","acalycine"
"kumzantsi-mpuma","acalycinous"
"kumzantsi-ntshona","acalyculate"
"kunene","Acalypha"
"kungekudala","Acalypterae"
"kungenjalo","Acalyptrata"
"kungoko","Acalyptratae"
"kunjalo","acalyptrate"
"kunokuba","Acamar"
"kunokwenzeka","Acamas"
"kunqabile","Acampo"
"kunye","acampsia"
"kunye/okanye","acana"
"kunzima","acanaceous"
"kuphela","acanonical"
"kuqala","acanth"
"kuqondwa","acanth-"
"kuquka","acantha"
"kuthetha","Acanthaceae"
"kuthiwa","acanthaceous"
"kutsha","acanthad"
"kutshanje","Acantharia"
"kutyholwa","acanthi"
"kuxhomekeke","Acanthia"
"kuyabonakala","acanthial"
"kuyimfuneko","acanthin"
"kuzwelonke","acanthine"
"kwakhona","acanthion"
"kwangoko","acanthite"
"kwaye","acantho-"
"kweleenjiko","acanthocarpous"
"kwenzeke","Acanthocephala"
"kwezemidlalo","acanthocephalan"
"kwezopolitiko","Acanthocephali"
"kwi","acanthocephalous"
"kwi-intanethi","Acanthocereus"
"kwikhampasi","acanthocladous"
"kwikholeji","Acanthodea"
"kwingingqi","acanthodean"
"kwinkulungwane","Acanthodei"
"kwisithili","Acanthodes"
"lahla","acanthodian"
"lahlekelwa","Acanthodidae"
"lala","Acanthodii"
"landela","Acanthodini"
"laptop","acanthoid"
"laser","Acantholimon"
"lawula","acantholysis"
"league","acanthology"
"leyo","acanthological"
"libala","acanthoma"
"likaxakeka","acanthomas"
"linda","Acanthomeridae"
"lindela","acanthon"
"linelanga","Acanthopanax"
"log","Acanthophis"
"lubhelu","acanthophorous"
"luhlaza","acanthopod"
"lukhuni","acanthopodous"
"lula","acanthopomatous"
"lumkile","acanthopore"
"lumkisa","acanthopteran"
"luncedo","Acanthopteri"
"lungelelanisa","acanthopterygian"
"lungisa","Acanthopterygii"
"lungiselela","acanthopterous"
"lusizi","acanthoses"
"malunga","acanthosis"
"mamela","acanthotic"
"mangala","acanthous"
"mangalisa","Acanthuridae"
"mangaliswe","Acanthurus"
"mantla","acanthus"
"manyani","acanthuses"
"Mapolisa","acanthuthi"
"mathidala","acapnia"
"mazantsi","acapnial"
"mazenja","acapnias"
"mbi","acappella"
"Mbini","acapsular"
"mboleko","acapu"
"mde","Acapulco"
"mema","acara"
"Mexican","Acarapis"
"mfondini","acarari"
"mfusa","acardia"
"mfutshane","acardiac"
"mhlawumbi","acardite"
"mhle","acari"
"mhlekazi","acarian"
"mhlophe","acariasis"
"Mholo","acariatre"
"Mholweni","acaricidal"
"mihla","acaricide"
"misela","acarid"
"Mka","Acarida"
"mkhulu","acaridae"
"mm","acaridan"
"mm-hmm","acaridans"
"mmm","Acaridea"
"mna","acaridean"
"mnandi","acaridomatia"
"mnene","acaridomatium"
"mnyama","acarids"
"mphulukwa","acariform"
"msulwa","Acarina"
"munca","acarine"
"Muslim","acarines"
"mva","acarinosis"
"mzuzu","Acarnan"
"namabhongo","acarocecidia"
"namava","acarocecidium"
"namhlanje","acarodermatitis"
"nangoku","acaroid"
"nangona","acarol"
"-ncamathela","acarology"
"ncamisa","acarologist"
"nceda","acarophilous"
"Nceda","acarophobia"
"nciphisa","acarotoxic"
"ncokola","acarpellous"
"ncoma","acarpelous"
"ncwina","acarpous"
"ndidiniwe","Acarus"
"ndinebhongo","ACAS"
"ndingavumelani","acast"
"ndivume","Acastus"
"ndixakekile","acatalectic"
"ndiyacela","acatalepsy"
"ndiyavuya","acatalepsia"
"ndiyeza","acataleptic"
"ndlongondlongo","acatallactic"
"ndonwabile","acatamathesia"
"ndwendwela","acataphasia"
"neentloni","acataposis"
"negalelo","acatastasia"
"nelungelo","acatastatic"
"nenjongo","acate"
"nesibindi","acategorical"
"nethemba","acater"
"ngabom","acatery"
"ngakumbi","acates"
"ngamalungu","acatharsy"
"ngamandla","acatharsia"
"ngamazwe","acatholic"
"nganye","acaudal"
"ngaphakathi","acaudate"
"ngaphambili","acaudelescent"
"ngaphandle","acaulescence"
"ngaphantsi","acaulescent"
"Ngaphantsi","acauline"
"ngaphaya","acaulose"
"ngaphezulu","acaulous"
"ngase","ACAWS"
"ngasemva","ACB"
"ngaxeshanye","ACBL"
"ngcangcazela","ACC"
"ngcono","acc."
"ngcwele","acca"
"nge","accable"
"ngelishwa","Accad"
"ngelixa","accademia"
"ngelizwi","Accadian"
"ngempumelelo","Accalia"
"ngena","acce"
"ngengcamango","accede"
"ngengqondo","acceded"
"ngenisa","accedence"
"ngenkohlakalo","acceder"
"ngenkuthalo","acceders"
"ngentsimbi","accedes"
"ngenxa","acceding"
"ngenyanga","accel"
"ngequbuliso","accel."
"Ngesantya","accelerable"
"ngesondo","accelerando"
"ngethamsanqa","accelerant"
"ngethemba","accelerate"
"ngethwathwa","accelerated"
"ngeveki","acceleratedly"
"ngexesha","accelerates"
"ngezantsi","accelerating"
"ngoba","acceleratingly"
"ngobukrelekrele","acceleration"
"ngobunono","accelerations"
"ngoko","accelerative"
"ngokobugcisa","accelerator"
"ngokobuhlanga","acceleratory"
"ngokobuqu","accelerators"
"ngokomgaqo-siseko","accelerograph"
"ngokomoya","accelerometer"
"ngokoqobo","accelerometers"
"ngoku","accelerometer's"
"ngokuba","accend"
"ngokubalulekileyo","accendibility"
"ngokubambisana","accendible"
"ngokubanzi","accensed"
"ngokucacileyo","accension"
"ngokuchanekileyo","accensor"
"ngokuchasene","accent"
"ngokuchaseneyo","accented"
"ngokudibeneyo","accenting"
"ngokufanayo","accentless"
"ngokufanelekileyo","accentor"
"ngokufutshane","accentors"
"ngokugqibeleleyo","accents"
"ngokugqithisileyo","accentuable"
"ngokuhlwa","accentual"
"ngokukhawuleza","accentuality"
"ngokukhululekileyo","accentually"
"ngokukhuselekileyo","accentuate"
"ngokukodwa","accentuated"
"ngokulandelelanayo","accentuates"
"ngokulinganayo","accentuating"
"ngokulula","accentuation"
"ngokumangalisayo","accentuations"
"ngokungafanelekanga","accentuator"
"ngokungafaniyo","accentus"
"ngokungaqhelekanga","accept"
"ngokungqongqo","acceptability"
"ngokunjalo","acceptabilities"
"ngokunokwenzeka","acceptable"
"ngokunxungupheleyo","acceptableness"
"ngokunyaniseka","acceptably"
"ngokunzulu","acceptance"
"ngokuphandle","acceptances"
"ngokupheleleyo","acceptance's"
"ngokuphindaphindiweyo","acceptancy"
"ngokuqhelekileyo","acceptancies"
"ngokuqhubekayo","acceptant"
"ngokuqinileyo","acceptation"
"ngokuqinisekileyo","acceptavit"
"ngokurhabaxa","accepted"
"ngokusebenzisa","acceptedly"
"ngokusemthethweni","acceptee"
"ngokusesikweni","acceptees"
"ngokusisigxina","accepter"
"ngokusisiseko","accepters"
"ngokusondeleyo","acceptilate"
"ngokuthambileyo","acceptilated"
"ngokutsho","acceptilating"
"ngokuvumayo","acceptilation"
"ngokuyimfuneko","accepting"
"ngokuyinxenye","acceptingly"
"ngokuzenzekelayo","acceptingness"
"ngokuziphatha","acception"
"ngokuzolileyo","acceptive"
"ngokwabo","acceptor"
"ngokwahlukileyo","acceptors"
"ngokwakhe","acceptor's"
"ngokwakho","acceptress"
"ngokwandayo","accepts"
"ngokwaneleyo","accerse"
"ngokwasemzimbeni","accersition"
"ngokwasengqondweni","accersitor"
"ngokwayo","access"
"ngokwe","accessability"
"ngokwebhayoloji","accessable"
"ngokwedemokhrasi","accessary"
"ngokweemvakalelo","accessaries"
"ngokwembali","accessarily"
"ngokwendalo","accessariness"
"ngokwenene","accessaryship"
"ngokwengxelo","accessed"
"ngokwentelekiso","accesses"
"ngokwentlalo","accessibility"
"ngokwesiko","accessibilities"
"ngokwesiqhelo","accessible"
"ngokwesondo","accessibleness"
"ngokwethu","accessibly"
"ngolangazelelo","accessing"
"ngomlomo","accession"
"ngomso","accessional"
"ngomthi","accessioned"
"ngonaphakade","accessioner"
"ngononophelo","accessioning"
"ngonyaka","accessions"
"ngovuyo","accession's"
"ngqiba","accessit"
"ngqina","accessive"
"ngqindilili","accessively"
"ngqiyama","accessless"
"ngqo","accessor"
"Ngqo","accessory"
"ngqongqo","accessorial"
"ngqwabalala","accessories"
"ngubani","accessorii"
"ngumkhenkce","accessorily"
"ngumKristu","accessoriness"
"ngwevu","accessory's"
"nika","accessorius"
"nikela","accessoriusorii"
"nikezela","accessorize"
"nini","accessorized"
"njakalanga","accessorizing"
"Njani","accessors"
"nje","accessor's"
"njengaye","acciaccatura"
"njengoko","acciaccaturas"
"njl","acciaccature"
"nkosazana","accidence"
"Nkosazana","accidency"
"nkosi","accidencies"
"nkqonkqoza","accident"
"nobubele","accidental"
"nobutshaba","accidentalism"
"noko","accidentalist"
"nokuba","accidentality"
"nomdla","accidentally"
"nomsindo","accidentalness"
"nqumama","accidentals"
"nqumamisa","accidentary"
"nqunqa","accidentarily"
"nqwala","accidented"
"Ntandathu","accidential"
"ntanga","accidentiality"
"Ntathu","accidently"
"Ntlanu","accident-prone"
"ntlola","accidents"
"ntofontofo","accidia"
"ntseni","accidias"
"ntsundu","accidie"
"nut","accidies"
"nxiba","accinge"
"nxibelelana","accinged"
"nyamalala","accinging"
"nyamezela","accipenser"
"nyanzela","accipient"
"nyanzelisa","Accipiter"
"Nye","accipitral"
"nyibilika","accipitrary"
"nyula","Accipitres"
"nyulu","accipitrine"
"nyusa","accipter"
"Nyusa","accise"
"nzima","accismus"
"nzulu","accite"
"ofikisayo","Accius"
"ofisi","acclaim"
"ogwetyiweyo","acclaimable"
"oh","acclaimed"
"okanye","acclaimer"
"okhuselayo","acclaimers"
"oki","acclaiming"
"oku","acclaims"
"okubalulekileyo","acclamation"
"Okulandelayo","acclamations"
"okusingqongileyo","acclamator"
"okwangoku","acclamatory"
"okwethutyana","acclimatable"
"oluzenzekelayo","acclimatation"
"omncinane","acclimate"
"omnye","acclimated"
"onesisa","acclimatement"
"onetalente","acclimates"
"ongachazwanga","acclimating"
"ongcwele","acclimation"
"onokhuphiswano","acclimations"
"onovakalelo","acclimatisable"
"oomatshini","acclimatisation"
"ophumeleleyo","acclimatise"
"orenji","acclimatised"
"oxhomekeke","acclimatiser"
"Palestine","acclimatising"
"papasha","acclimatizable"
"pc","acclimatization"
"Pha","acclimatizations"
"phakamisa","acclimatize"
"phakathi","acclimatized"
"phambili","acclimatizer"
"phanda","acclimatizes"
"phanga","acclimatizing"
"phantse","acclimature"
"phantsi","acclinal"
"phatha","acclinate"
"phawula","acclivity"
"Phawula","acclivities"
"phazamisa","acclivitous"
"phefumla","acclivous"
"pheka","accloy"
"phelisa","accoast"
"phendula","accoy"
"phesheya","accoyed"
"phezu","accoying"
"phezulu","accoil"
"phikisa","Accokeek"
"phikisana","accolade"
"phila","accoladed"
"philisa","accolades"
"phinda","accolated"
"Phola","accolent"
"phonononga","accoll"
"phosa","accolle"
"phucukile","accolled"
"phucula","accollee"
"phuhlisa","Accomac"
"Phuma","accombination"
"phumelela","accommodable"
"phumeza","accommodableness"
"phumla","accommodate"
"phupha","accommodated"
"pink","accommodately"
"piss","accommodateness"
"plus","accommodates"
"pm","accommodating"
"pop","accommodatingly"
"Psychology","accommodatingness"
"qala","accommodation"
"qalisa","accommodational"
"qamba","accommodationist"
"qaphela","accommodations"
"qaqambisa","accommodative"
"qatha","accommodatively"
"qesha","accommodativeness"
"qha","accommodator"
"qhagamshela","accommodators"
"qhinga","accomodate"
"qhuba","accompanable"
"qhubeka","accompany"
"qhuma","accompanied"
"qhuqha","accompanier"
"qikelela","accompanies"
"qinisa","accompanying"
"qiniseka","accompanyist"
"qinisekisa","accompaniment"
"qokelela","accompanimental"
"qonda","accompaniments"
"qubha","accompaniment's"
"quka","accompanist"
"qukumbela","accompanists"
"ququzelela","accompanist's"
"qwalasela","accomplement"
"random","accompletive"
"ray","accompli"
"re","accomplice"
"rente","accomplices"
"rep","accompliceship"
"rhabaxa","accomplicity"
"rhangqa","accomplis"
"rhaxwa","accomplish"
"rhoqo","accomplishable"
"rhoxisa","accomplished"
"rocket","accomplisher"
"roll","accomplishers"
"sangana","accomplishes"
"sasaza","accomplishing"
"scan","accomplishment"
"sebenza","accomplishments"
"sebenzisa","accomplishment's"
"sebenzisana","accomplisht"
"sebeza","accompt"
"sele","accord"
"sengozini","accordable"
"sengqiqweni","accordance"
"shame","accordances"
"shicilela","accordancy"
"shift","accordant"
"shiya","accordantly"
"shukuma","accordatura"
"shumayelani","accordaturas"
"Shumi","accordature"
"shushu","accorded"
"shwabana","accorder"
"Sibhozo","accorders"
"sikelela","according"
"simahla","accordingly"
"simanyene","accordion"
"sinda","accordionist"
"sisimumu","accordionists"
"sithandwa","accordions"
"Sixhengxe","accordion's"
"ski","accords"
"slam","accorporate"
"smart","accorporation"
"sodium","accost"
"Sombulula","accostable"
"Songa","accosted"
"soze","accosting"
"Spanish","accosts"
"specialize","accouche"
"spin","accouchement"
"streak","accouchements"
"strip","accoucheur"
"studio","accoucheurs"
"suite","accoucheuse"
"sukela","accoucheuses"
"sula","accounsel"
"sungula","account"
"super","accountability"
"susa","accountabilities"
"sweet","accountable"
"tennis","accountableness"
"thabatha","accountably"
"thambileyo","accountancy"
"thandabuza","accountancies"
"thandaza","accountant"
"thatha","accountants"
"thelekisa","accountant's"
"thembela","accountantship"
"thenga","accounted"
"thengisa","accounter"
"thetha","accounters"
"thethelela","accounting"
"thina","accountings"
"thintela","accountment"
"Thixo","accountrement"
"thoba","accounts"
"Thoba","accouple"
"thobela","accouplement"
"thumela","accourage"
"thwala","accourt"
"tolika","accouter"
"tosa","accoutered"
"touch","accoutering"
"traffic","accouterment"
"tsala","accouterments"
"Tsala","accouters"
"tshabalalisa","accoutre"
"tshata","accoutred"
"Tshayela","accoutrement"
"tshintsha","accoutrements"
"tshixa","accoutres"
"tsiba","accoutring"
"twitter","Accoville"
"tyhafisa","ACCRA"
"tyhala","accrease"
"tyhila","accredit"
"tyhileka","accreditable"
"tyhola","accreditate"
"tyibilika","accreditation"
"tyumza","accreditations"
"uba","accredited"
"ubabalo","accreditee"
"ubalo","accrediting"
"ubambiswano","accreditment"
"ubhaliso","accredits"
"ubhishophu","accrementitial"
"ubhontsi","accrementition"
"ubhuti","accresce"
"ubisi","accrescence"
"ubomi","accrescendi"
"ubonelelo","accrescendo"
"ububanzi","accrescent"
"ububele","accretal"
"ububhanxa","accrete"
"ububi","accreted"
"ubuchule","accretes"
"ubuchwepheshe","accreting"
"ubucwebe","accretion"
"ubudala","accretionary"
"ubude","accretions"
"ubudlelwane","accretion's"
"ubugcisa","accretive"
"ubuhlanga","accriminate"
"ubuhle","Accrington"
"ubuhlobo","accroach"
"ubuhlwempu","accroached"
"ubukho","accroaching"
"ubukhoboka","accroachment"
"ubukhosi","accroides"
"ubukhulu","accruable"
"ubukomanisi","accrual"
"ubukrelekrele","accruals"
"ubukumkani","accrue"
"ubulumko","accrued"
"ubulungisa","accruement"
"ubulungiseleli","accruer"
"ubulungu","accrues"
"ubumdaka","accruing"
"ubume","ACCS"
"ubumfihlo","ACCT"
"ubumi","acct."
"ubumnyama","accts"
"ubunakho","accubation"
"ubuncinane","accubita"
"ubuncwane","accubitum"
"ubundlobongela","accubitus"
"ubungakanani","accueil"
"ubungendawo","accultural"
"ubungqina","acculturate"
"ubungxowankulu","acculturated"
"ubunini","acculturates"
"ubuninzi","acculturating"
"ubunjineli","acculturation"
"ubunkokeli","acculturational"
"ubunqolobi","acculturationist"
"ubuntatheli","acculturative"
"ubuntshatsheli","acculturize"
"ubuntu","acculturized"
"ubuntununtunu","acculturizing"
"ubunyani","accum"
"ubunzima","accumb"
"ubunzulu","accumbency"
"ubuqhophololo","accumbent"
"ubuqu","accumber"
"uburharha","accumulable"
"ubusela","accumulate"
"ubushushu","accumulated"
"ubusi","accumulates"
"ubuso","accumulating"
"ubuthathaka","accumulation"
"ubuthunywa","accumulations"
"ubutyala","accumulativ"
"ubutyebi","accumulative"
"ucalucalulo","accumulatively"
"UCanzibe","accumulativeness"
"ucingo","accumulator"
"udaka","accumulators"
"udidi","accumulator's"
"udliwano-ndlebe","accupy"
"udlwengulo","accur"
"udoc","accuracy"
"udonga","accuracies"
"udongwe","accurate"
"udumo","accurately"
"ufile","accurateness"
"ufudo","accuratenesses"
"ufuzo","accurre"
"ugcino","accurse"
"ugqabhuko-dubulo","accursed"
"ugqirha","accursedly"
"ugqithiselo","accursedness"
"uguqulo","accursing"
"ugwayimbo","accurst"
"ugxininiso","accurtation"
"uh","accus"
"uhambo","accusable"
"uh-huh","accusably"
"uhlalutyo","accusal"
"uhlanga","accusals"
"uhlaselo","accusant"
"uhlaziyo","accusants"
"uhlelo","accusation"
"uhlengahlengiso","accusations"
"uhlobo","accusation's"
"ujongano","accusatival"
"ukakayi","accusative"
"ukhenketho","accusative-dative"
"ukhetho","accusatively"
"ukhohlakele","accusativeness"
"ukhokho","accusatives"
"ukholo","accusator"
"ukhongolose","accusatory"
"ukhozi","accusatorial"
"ukhula","accusatorially"
"ukhulelwe","accusatrix"
"ukhuphiswano","accusatrixes"
"ukhuseleko","accuse"
"ukhuselo","accused"
"ukomelela","accuser"
"ukongamela","accusers"
"ukongeza","accuses"
"ukonqena","accusing"
"ukothuka","accusingly"
"ukoyika","accusive"
"ukoyisa","accusor"
"ukoyiswa","accustom"
"ukrebe","accustomation"
"ukuba","accustomed"
"ukubakho","accustomedly"
"ukubala","accustomedness"
"ukubaleka","accustoming"
"ukubaluleka","accustomize"
"ukubamba","accustomized"
"ukubandakanyeka","accustomizing"
"ukubandezeleka","accustoms"
"ukubanjwa","Accutron"
"ukubekwa","ACD"
"ukubetha","ACDA"
"ukubhala","AC-DC"
"ukubheja","ACE"
"ukubila","acea"
"ukubona","aceacenaphthene"
"ukubulala","aceae"
"ukubulawa","acean"
"ukubuya","aceanthrene"
"ukubuza","aceanthrenequinone"
"ukuchacha","acecaffin"
"ukuchaneka","acecaffine"
"ukuchasa","aceconitic"
"ukuchongwa","aced"
"ukucinga","acedy"
"ukucwangcisa","acedia"
"ukudakumba","acediamin"
"ukudandatheka","acediamine"
"ukudanisa","acedias"
"ukudibana","acediast"
"ukudibanisa","ace-high"
"ukudideka","Acey"
"ukudlula","acey-deucy"
"ukudubula","aceite"
"ukufa","aceituna"
"ukufakela","Aceldama"
"ukufana","aceldamas"
"ukufaneleka","acellular"
"ukufika","Acemetae"
"ukufikelela","Acemetic"
"ukufota","acemila"
"ukufuduka","acenaphthene"
"ukufudumala","acenaphthenyl"
"ukufumana","acenaphthylene"
"ukufumaneka","acenesthesia"
"ukufumanisa","acensuada"
"ukufuna","acensuador"
"ukufunda","acentric"
"ukufundisa","acentrous"
"ukugcina","aceology"
"ukugcinwa","aceologic"
"ukugxeka","aceous"
"ukugxekwa","acephal"
"ukuhamba","Acephala"
"ukuhanjiswa","acephalan"
"ukuhla","Acephali"
"ukuhlalisa","acephalia"
"ukuhlamba","Acephalina"
"ukuhlangula","acephaline"
"ukuhlawulela","acephalism"
"ukuhleka","acephalist"
"ukuhlola","Acephalite"
