"Telugu","English"
"గణనీయమైన","about"
"గణాంకపరమైన","about-face"
"గణాంకాలు","about-faced"
"గణితం","about-facing"
"గత","abouts"
"గతంలో","about-ship"
"గది","about-shipped"
"గమనించండి","about-shipping"
"గమనిక","about-sledge"
"గమ్యం","about-turn"
"గరిష్టంగా","above"
"గర్భం","aboveboard"
"గర్భవతి","above-board"
"గర్భస్రావం","above-cited"
"గల్ఫ్","abovedeck"
"గవర్నర్","above-found"
"గస్తీ","above-given"
"గాజు","aboveground"
"గాడిద","abovementioned"
"గాని","above-mentioned"
"గాయం","above-named"
"గాయకుడు","aboveproof"
"గాయపరచు","above-quoted"
"గారేజ్","above-reported"
"గాలన్","aboves"
"గాలి","abovesaid"
"గింజ","above-said"
"గిటార్","abovestairs"
"గిన్నె","above-water"
"గిరిజనుడు","above-written"
"గీత","abow"
"గుంట","abox"
"గుండె","Abp"
"గుండ్రంగా","ABPC"
"గుంపు","Abqaiq"
"గుడ్డ","abr"
"గుడ్డు","abr."
"గుణం","Abra"
"గుత్తి","abracadabra"
"గుమాస్తా","abrachia"
"గురించి","abrachias"
"గురుత్వాకర్షణ","abradable"
"గురువారం","abradant"
"గురువు","abradants"
"గుర్తించండి","abrade"
"గుర్తించడం","abraded"
"గుర్తించడానికి","abrader"
"గుర్తించబడలేదు","abraders"
"గుర్తింపు","abrades"
"గుర్తు","abrading"
"గుర్తుంచుకోవాలి","Abraham"
"గుర్రం","Abrahamic"
"గుసగుసలు","Abrahamidae"
"గుహ","Abrahamite"
"గూడు","Abrahamitic"
"గూఢచారి","Abraham-man"
"గృహ","Abrahams"
"గెలాక్సీ","Abrahamsen"
"గెలుపు","Abrahan"
"గేర్","abray"
"గొంతు","abraid"
"గొట్టం","Abram"
"గొప్ప","Abramis"
"గొప్పగా","Abramo"
"గొయ్యి","Abrams"
"గొర్రె","Abramson"
"గొలుసు","Abran"
"గోడ","abranchial"
"గోధుమ","abranchialism"
"గోప్","abranchian"
"గోప్యత","Abranchiata"
"గోరు","abranchiate"
"గోల్ఫ్","abranchious"
"గోళము","abrasax"
"గౌరవం","abrase"
"గ్యాలరీ","abrased"
"గ్యాసోలిన్","abraser"
"గ్రంథం","abrash"
"గ్రంధాలయం","abrasing"
"గ్రహం","abrasiometer"
"గ్రహించండి","abrasion"
"గ్రహించారు","abrasions"
"గ్రహించు","abrasion's"
"గ్రహిస్తాయి","abrasive"
"గ్రహిస్తారు","abrasively"
"గ్రహీత","abrasiveness"
"గ్రాడ్యుయేషన్","abrasivenesses"
"గ్రాఫిక్","abrasives"
"గ్రాఫ్","abrastol"
"గ్రామం","abraum"
"గ్రామీణ","abraxas"
"గ్రాము","abrazite"
"గ్రిడ్","abrazitic"
"గ్రీకు","abrazo"
"గ్రేడ్","abrazos"
"ఘనమైన","abreact"
"ఘనీభవించిన","abreacted"
"ఘోరమైన","abreacting"
"చంద్రుడు","abreaction"
"చంపడం","abreactions"
"చంపేస్తాయి","abreacts"
"చక్కని","abreast"
"చక్కెర","abreed"
"చక్రం","abrege"
"చక్రవర్తి","abreid"
"చట్టం","abrenounce"
"చట్టపరమైన","abrenunciate"
"చట్టబద్ధంగా","abrenunciation"
"చట్టబద్ధమైనది","abreption"
"చట్టవిరుద్ధం","abret"
"చతురస్రం","abreuvoir"
"చదవండి","abri"
"చదవడం","abrico"
"చదువు","abricock"
"చనిపోతారు","abricot"
"చనిపోయాడు","abridgable"
"చప్పుడు","abridge"
"చరిత్ర","abridgeable"
"చరిత్రకారుడు","abridged"
"చర్చ","abridgedly"
"చర్చలు","abridgement"
"చర్చి","abridgements"
"చర్చించండి","abridger"
"చర్మం","abridgers"
"చర్య","abridges"
"చలనం","abridging"
"చలికాలం","abridgment"
"చల్లని","abridgments"
"చాక్లెట్","abrim"
"చాటుగా","abrin"
"చాట్","abrine"
"చారిత్రక","abris"
"చారిత్రాత్మకంగా","abristle"
"చారిత్రాత్మకమైనది","abroach"
"చారు","abroad"
"చార్టర్","Abrocoma"
"చార్ట్","abrocome"
"చాలా","abrogable"
"చాలు","abrogate"
"చిందించు","abrogated"
"చికిత్స","abrogates"
"చికిత్సకుడు","abrogating"
"చికెన్","abrogation"
"చిట్కా","abrogations"
"చిత్తరువు","abrogative"
"చిత్రం","abrogator"
"చిత్రకారుడు","abrogators"
"చిత్రించండి","Abroma"
"చిన్న","Abroms"
"చిన్నది","Abronia"
"చిన్నపిల్ల","abrood"
"చిప్","abrook"
"చిరునవ్వు","abrosia"
"చిరునామా","abrosias"
"చివరకు","abrotanum"
"చివరి","abrotin"
"చివరికి","abrotine"
"చిహ్నం","abrupt"
"చీకటి","abruptedly"
"చీలమండ","abrupter"
"చీల్చివేయు","abruptest"
"చుక్క","abruptio"
"చుట్టు","abruption"
"చుట్టుముట్టండి","abruptiones"
"చుట్టూ","abruptly"
"చురుకుగా","abruptness"
"చూడండి","Abrus"
"చూడు","Abruzzi"
"చూపించు","ABS"
"చూపు","abs-"
"చూపులు","Absa"
"చెందినవి","Absalom"
"చెంప","absampere"
"చెంపదెబ్బ","Absaraka"
"చెక్క","Absaroka"
"చెక్కు","Absarokee"
"చెట్టు","absarokite"
"చెడు","ABSBH"
"చెడుగా","abscam"
"చెత్త","abscess"
"చెప్పండి","abscessed"
"చెఫ్","abscesses"
"చెమట","abscessing"
"చెయ్యవచ్చు","abscession"
"చెయ్యి","abscessroot"
"చెరువు","abscind"
"చెల్లాచెదురు","abscise"
"చెల్లించాలి","abscised"
"చెల్లింపు","abscises"
"చెల్లుతుంది","abscisin"
"చెల్లుబాటు","abscising"
"చెవి","abscisins"
"చేతనైన","abscision"
"చేతినిండా","absciss"
"చేదు","abscissa"
"చేప","abscissae"
"చేపట్టండి","abscissas"
"చేయండి","abscissa's"
"చేయగలరు","abscisse"
"చేయి","abscissin"
"చేయించుకుంటారు","abscission"
"చేరండి","abscissions"
"చేరి","absconce"
"చేరుకుంటాయి","abscond"
"చేరుకుంటారు","absconded"
"చేర్చండి","abscondedly"
"చైనీస్","abscondence"
"చైర్మన్","absconder"
"చొక్కా","absconders"
"చొప్పించు","absconding"
"చొరవ","absconds"
"చౌక","absconsa"
"ఛాంపియన్","abscoulomb"
"ఛాంపియన్షిప్","abscound"
"ఛాతి","Absecon"
"ఛానెల్","absee"
"జంట","absey"
"జంతువు","abseil"
"జట్టు","abseiled"
"జత","abseiling"
"జనవరి","abseils"
"జనాభా","absence"
"జన్యుపరమైన","absences"
"జన్యువు","absence's"
"జపనీస్","absent"
"జరిమానా","absentation"
"జరుగుతాయి","absented"
"జరుపుకుంటారు","absentee"
"జర్నలిజం","absenteeism"
"జర్మన్","absentees"
"జవాబుదారీతనం","absentee's"
"జాకెట్","absenteeship"
"జాగ్రత్తగా","absenter"
"జాజ్","absenters"
"జాతి","absentia"
"జాతీయ","absenting"
"జాతులు","absently"
"జాత్యహంకార","absentment"
"జాత్యహంకారం","absentminded"
"జానపద","absent-minded"
"జాబితా","absentmindedly"
"జింక","absent-mindedly"
"జిల్లా","absentmindedness"
"జీతం","absent-mindedness"
"జీన్స్","absentmindednesses"
"జీవనశైలి","absentness"
"జీవశాస్త్రం","absents"
"జీవసంబంధమైన","absfarad"
"జీవి","abshenry"
"జీవించి","Abshier"
"జీవించు","Absi"
"జీవితం","absinth"
"జీవితకాలం","absinthe"
"జుట్టు","absinthes"
"జున్ను","absinthial"
"జూనియర్","absinthian"
"జూన్","absinthiate"
"జూలై","absinthiated"
"జెండా","absinthiating"
"జెట్","absinthic"
"జేబులో","absinthiin"
"జైలు","absinthin"
"జోక్యం","absinthine"
"జోడించారు","absinthism"
"జోడించు","absinthismic"
"జోన్","absinthium"
"జ్ఞానం","absinthol"
"జ్ఞాపకశక్తి","absinthole"
"జ్యూరీ","absinths"
"జ్వరం","Absyrtus"
"జ్వాల","absis"
"టచ్డౌన్","absist"
"టమోటా","absistos"
"టర్కీ","absit"
"టవర్","absmho"
"టవల్","absohm"
"టాక్సీ","absoil"
"టాప్","absolent"
"టాబ్లెట్","Absolute"
"టాసు","absolutely"
"టిక్కెట్టు","absoluteness"
"టీకా","absoluter"
"టీవీ","absolutes"
"టీస్పూన్","absolutest"
"టెండర్","absolution"
"టెన్నిస్","absolutions"
"టైమింగ్","absolutism"
"టైర్","absolutist"
"టెలిఫోన్","absolutista"
"టెలివిజన్","absolutistic"
"టెలిస్కోప్","absolutistically"
"టేప్","absolutists"
"టై","absolutive"
"టోపీ","absolutization"
"టోర్నమెంట్","absolutize"
"టోల్","absolutory"
"ట్యాంక్","absolvable"
"ట్యాగ్","absolvatory"
"ట్యాబ్","absolve"
"ట్యూన్","absolved"
"ట్రంక్","absolvent"
"ట్రక్","absolver"
"ట్రాక్","absolvers"
"ట్రాఫిక్","absolves"
"ట్రిగ్గర్","absolving"
"ట్రిలియన్","absolvitor"
"ట్రైలర్","absolvitory"
"ట్విట్టర్","absonant"
"ట్విస్ట్","absonous"
"డంప్","absorb"
"డచ్","absorbability"
"డజను","absorbable"
"డబ్బు","absorbance"
"డాక్యుమెంటరీ","absorbancy"
"డాలర్","absorbant"
"డిగ్రీ","absorbed"
"డిజిటల్","absorbedly"
"డిటెక్టివ్","absorbedness"
"డిపాజిట్","absorbefacient"
"డిప్యూటీ","absorbency"
"డిఫాల్ట్","absorbencies"
"డిమాండ్","absorbent"
"డిసెంబర్","absorbents"
"డిస్క్","absorber"
"డీలర్","absorbers"
"డెక్","absorbing"
"డెజర్ట్","absorbingly"
"డైరీ","absorbition"
"డెలివరీ","absorbs"
"డెవలపర్","absorbtion"
"డెస్క్","absorpt"
"డేగ","absorptance"
"డేటాబేస్","absorptiometer"
"డేరా","absorptiometric"
"డైనమిక్","absorption"
"డైనమిక్స్","absorptional"
"డొమైన్","absorptions"
"డ్రమ్","absorption's"
"డ్రా","absorptive"
"డ్రాగన్","absorptively"
"డ్రాప్","absorptiveness"
"డ్రాఫ్ట్","absorptivity"
"డ్రాయింగ్","absquatulate"
"డ్రిఫ్ట్","absquatulation"
"డ్రిల్","abstain"
"డ్రైవ్","abstained"
"డ్రైవర్","abstainer"
"డ్రైవింగ్","abstainers"
"తండ్రి","abstaining"
"తక్కువ","abstainment"
"తక్షణ","abstains"
"తక్షణమే","abstemious"
"తగని","abstemiously"
"తగిన","abstemiousness"
"తగినంత","abstention"
"తగ్గించండి","abstentionism"
"తగ్గించడానికి","abstentionist"
"తగ్గింపు","abstentions"
"తగ్గుతాయి","abstentious"
"తగ్గుదల","absterge"
"తటస్థ","absterged"
"తడి","abstergent"
"తత్ఫలితంగా","absterges"
"తత్వశాస్త్రం","absterging"
"తదుపరి","absterse"
"తద్వారా","abstersion"
"తన","abstersive"
"తనిఖీ","abstersiveness"
"తన్నండి","abstertion"
"తపన","abstinence"
"తప్ప","abstinences"
"తప్పక","abstinency"
"తప్పకుండా","abstinent"
"తప్పనిసరిగా","abstinential"
"తప్పించుకుంటారు","abstinently"
"తప్పు","abstort"
"తమాషా","abstr"
"తయారీ","abstract"
"తయారీదారు","abstractable"
"తయారు","abstracted"
"తరం","abstractedly"
"తరగతి","abstractedness"
"తరచుగా","abstracter"
"తరచుదనం","abstracters"
"తరపున","abstractest"
"తరువాత","abstracting"
"తరువాతి","abstraction"
"తర్కం","abstractional"
"తర్వాత","abstractionism"
"తల","abstractionist"
"తలనొప్పి","abstractionists"
"తలవంచండి","abstractions"
"తలుపు","abstraction's"
"తలెత్తుతాయి","abstractitious"
"తల్లి","abstractive"
"తల్లిదండ్రుల","abstractively"
"తల్లిదండ్రులు","abstractiveness"
"తవ్వు","abstractly"
"తాకట్టు","abstractness"
"తాగడం","abstractnesses"
"తాగిన","abstractor"
"తాజా","abstractors"
"తాడు","abstractor's"
"తాతయ్య","abstracts"
"తాత్కాలిక","abstrahent"
"తాత్పర్యం","abstrict"
"తాత్వికమైనది","abstricted"
"తాను","abstricting"
"తాబేలు","abstriction"
"తారాగణం","abstricts"
"తార్కిక","abstrude"
"తిట్టు","abstruse"
"తిను","abstrusely"
"తినేస్తాయి","abstruseness"
"తిమింగలం","abstrusenesses"
"తిరస్కరణ","abstruser"
"తిరస్కరించండి","abstrusest"
"తిరస్కరించు","abstrusion"
"తిరస్కరిస్తారు","abstrusity"
"తిరిగి","abstrusities"
"తిరుగుబాటు","absume"
"తీగ","absumption"
"తీపి","absurd"
"తీరం","absurder"
"తీరని","absurdest"
"తీరప్రాంతం","absurdism"
"తీర్పు","absurdist"
"తీవ్రంగా","absurdity"
"తీవ్రత","absurdities"
"తీవ్రమైన","absurdity's"
"తీవ్రమైన","absurdly"
"తీవ్రవాదం","absurdness"
"తీవ్రవాది","absurds"
"తీసుకురండి","absurdum"
"తీసుకువెళ్ళండి","absvolt"
"తీసుకోవడం","abt"
"తుంటి","abterminal"
"తుడవడం","abthain"
"తుపాకీ","abthainry"
"తుఫాను","abthainrie"
"తూర్పు","abthanage"
"తెగ","abtruse"
"తెర","Abu"
"తెరచాప","abubble"
"తెరవండి","Abu-Bekr"
"తెరవడం","Abucay"
"తెలియచేస్తాయి","abucco"
"తెలియజేయండి","abuilding"
"తెలియని","Abukir"
"తెలివితక్కువ","abuleia"
"తెలివితేటలు","Abulfeda"
"తెలివిలో","abulia"
"తెలివైన","abulias"
"తెలిసిన","abulic"
"తెలుపు","abulyeit"
"తెలుసు","abulomania"
"తెల్లవారుజాము","abumbral"
"తేడా","abumbrellar"
"తేదీ","Abuna"
"తేనీరు","abundance"
"తేనె","abundances"
"తేనెటీగ","abundancy"
"తేలికగా","abundant"
"తేలికపాటి","Abundantia"
"తేలుతుంది","abundantly"
"తొడ","abune"
"తొమ్మిది","abura"
"తొలగించు","aburabozu"
"తొలగింపు","aburagiri"
"తో","aburban"
"తోక","Abury"
"తోట","aburst"
"తోటి","aburton"
"తోటివాడు","abusable"
"తోడు","abusage"
"తోడేలు","abuse"
"తోబుట్టువు","abused"
"తోలు","abusedly"
"త్యాగం","abusee"
"త్రాగండి","abuseful"
"త్రాడు","abusefully"
"త్రెషోల్డ్","abusefulness"
"త్రైమాసికం","abuser"
"త్రో","abusers"
"త్రోయు","abuses"
"త్రోవ","abush"
"త్వరగా","abusing"
"త్వరలో","abusion"
"థియేటర్","abusious"
"థీమ్","abusive"
"దండయాత్ర","abusively"
"దక్షిణ","abusiveness"
"దక్షిణాది","abusivenesses"
"దగ్గరగా","abut"
"దత్తత","Abuta"
"దయ","Abutilon"
"దయచేసి","abutilons"
"దరఖాస్తు","abutment"
"దర్శకుడు","abutments"
"దళం","abuts"
"దవడ","abuttal"
"దశ","abuttals"
"దశాబ్దం","abutted"
"దహనం","abutter"
"దాచబడింది","abutters"
"దాచు","abutter's"
"దాటవేయండి","abutting"
"దాటి","abuzz"
"దాడి","abv"
"దాత","abvolt"
"దాతృత్వం","abvolts"
"దాదాపు","abwab"
"దానం","abwatt"
"దాని","abwatts"
"దారం","ac"
"దారి","ac-"
"దారితీసింది","a-c"
"దావా","AC/DC"
"ది","ACAA"
"దిండు","Acacallis"
"దిగుతారు","acacatechin"
"దిగుబడి","acacatechol"
"దిగుమతి","Acacea"
"దిగువన","Acaceae"
"దిగ్గజం","acacetin"
"దిద్దుబాటు","Acacia"
"దివాలా","Acacian"
"దిశ","acacias"
"దీపం","acaciin"
"దీర్ఘకాలం","acacin"
"దీర్ఘకాలిక","acacine"
"దీర్ఘకాలికమైన","acad"
"దుఃఖం","academe"
"దుప్పటి","academes"
"దుమ్ము","Academy"
"దురదృష్టకరం","academia"
"దురదృష్టవశాత్తు","academial"
"దురముగా","academian"
"దుర్బలమైన","academias"
"దుష్ట","Academic"
"దుస్తులను","academical"
"దుస్తులు","academically"
"దూకుడు","academicals"
"దూరం","academician"
"దూరంగా","academicians"
"దూరమైన","academicianship"
"దృక్పథం","academicism"
"దృగ్విషయం","academics"
"దృఢంగా","academie"
"దృఢమైన","academies"
"దృశ్య","academy's"
"దృశ్యం","academise"
"దృష్టాంతం","academised"
"దృష్టాంతంలో","academising"
"దృష్టి","academism"
"దృష్టికోణం","academist"
"దెబ్బ","academite"
"దెయ్యం","academization"
"దేవదారు","academize"
"దేవదూత","academized"
"దేవుడా","academizing"
"దేవుడు","Academus"
"దేశం","Acadia"
"దేశీయ","acadialite"
"దొంగ","Acadian"
"దొంగతనం","Acadie"
"దోచుకోండి","Acaena"
"దోపిడీ","acajou"
"దోషి","acajous"
"దౌత్యపరమైన","acal"
"ద్యోతకం","acalculia"
"ద్రవం","acale"
"ద్రవ్య","acaleph"
"ద్రవ్యరాశి","Acalepha"
"ద్రవ్యోల్బణం","Acalephae"
"ద్రోహం","acalephan"
"ద్వారం","acalephe"
"ద్వారా","acalephes"
"ద్వితీయ","acalephoid"
"ద్వీపం","acalephs"
"ద్వేషం","Acalia"
"ద్వేషించు","acalycal"
"ధనవంతుడు","acalycine"
"ధన్యవాదాలు","acalycinous"
"ధర","acalyculate"
"ధరించడం","Acalypha"
"ధర్మం","Acalypterae"
"ధాన్యం","Acalyptrata"
"ధృవీకరించండి","Acalyptratae"
"ధైర్యం","acalyptrate"
"ధైర్యం","Acamar"
"ధైర్యవంతుడు","Acamas"
"ధోరణి","Acampo"
"ధ్వని","acampsia"
"నకిలీ","acana"
"నక్షత్రం","acanaceous"
"నగదు","acanonical"
"నగరం","acanth"
"నగరాల","acanth-"
"నగలు","acantha"
"నగ్నంగా","Acanthaceae"
"నటి","acanthaceous"
"నటిస్తారు","acanthad"
"నటుడు","Acantharia"
"నడవ","acanthi"
"నడవండి","Acanthia"
"నడవడం","acanthial"
"నడుస్తోంది","acanthin"
"నది","acanthine"
"నన్ను","acanthion"
"నమలండి","acanthite"
"నమూనా","acantho-"
"నమోదు","acanthocarpous"
"నమ్మకం","Acanthocephala"
"నమ్మకమైన","acanthocephalan"
"నమ్మదగిన","Acanthocephali"
"నమ్మినవాడు","acanthocephalous"
"నయం","Acanthocereus"
"నరకం","acanthocladous"
"నరము","Acanthodea"
"నర్తకి","acanthodean"
"నర్సు","Acanthodei"
"నలభై","Acanthodes"
"నలిపివేయు","acanthodian"
"నలుపు","Acanthodidae"
"నవంబర్","Acanthodii"
"నవల","Acanthodini"
"నవీకరణ","acanthoid"
"నవ్వు","Acantholimon"
"నష్టం","acantholysis"
"నా","acanthology"
"నాగరికత","acanthological"
"నాటకం","acanthoma"
"నాటకీయంగా","acanthomas"
"నాటకీయమైన","Acanthomeridae"
"నాడీ","acanthon"
"నాణెం","Acanthopanax"
"నాణ్యత","Acanthophis"
"నాది","acanthophorous"
"నాన్న","acanthopod"
"నామినీ","acanthopodous"
"నామినేషన్","acanthopomatous"
"నాయకత్వం","acanthopore"
"నాయకుడు","acanthopteran"
"నారింజ","Acanthopteri"
"నాలుక","acanthopterygian"
"నాలుగు","Acanthopterygii"
"నాల్గవది","acanthopterous"
"నాశనం","acanthoses"
"నాశనము","acanthosis"
"నిందిస్తారు","acanthotic"
"నింపండి","acanthous"
"నికర","Acanthuridae"
"నిఘా","Acanthurus"
"నిజం","acanthus"
"నిజంగా","acanthuses"
"నిజమే","acanthuthi"
"నిజమైన","acapnia"
"నిజానికి","acapnial"
"నిజాయితీ","acapnias"
"నిజాయితీగా","acappella"
"నిటారుగా","acapsular"
"నిట్టూర్పు","acapu"
"నిద్ర","Acapulco"
"నిద్రపోతున్నాను","acara"
"నిధి","Acarapis"
"నిధులు","acarari"
"నిన్న","acardia"
"నిపుణుడు","acardiac"
"నిబంధన","acardite"
"నిబంధనలు","acari"
"నిబద్ధత","acarian"
"నిమగ్నమై","acariasis"
"నిమిషం","acariatre"
"నిమ్మకాయ","acaricidal"
"నియంత్రణ","acaricide"
"నియంత్రిస్తాయి","acarid"
"నియమం","Acarida"
"నియమిస్తారు","acaridae"
"నియామకం","acaridan"
"నిరంతర","acaridans"
"నిరంతరం","Acaridea"
"నిరసన","acaridean"
"నిరసనకారుడు","acaridomatia"
"నిరాడంబరమైన","acaridomatium"
"నిరాశ","acarids"
"నిరాశ్రయుడు","acariform"
"నిరీక్షణ","Acarina"
"నిరుత్సాహపరచు","acarine"
"నిరుద్యోగం","acarines"
"నిరూపించండి","acarinosis"
"నిరోధించు","Acarnan"
"నిరోధిస్తాయి","acarocecidia"
"నిర్ణయం","acarocecidium"
"నిర్ణయించుకుంటారు","acarodermatitis"
"నిర్దిష్ట","acaroid"
"నిర్ధారణ","acarol"
"నిర్ధారించండి","acarology"
"నిర్ధారించడానికి","acarologist"
"నిర్బంధం","acarophilous"
"నిర్మాణ","acarophobia"
"నిర్మాణం","acarotoxic"
"నిర్మాత","acarpellous"
"నిర్మించు","acarpelous"
"నిర్వచనం","acarpous"
"నిర్వచించండి","Acarus"
"నిర్వహణ","ACAS"
"నిర్వహించండి","acast"
"నిర్వహించడానికి","Acastus"
"నిర్వహిస్తారు","acatalectic"
"నిర్వాహకుడు","acatalepsy"
"నిర్విరామంగా","acatalepsia"
"నిలకడగా","acataleptic"
"నిలబడండి","acatallactic"
"నిలబడి","acatamathesia"
"నిలబెట్టుకుంటారు","acataphasia"
"నిలిపివేయండి","acataposis"
"నిలుపుకుంటారు","acatastasia"
"నిల్వ","acatastatic"
"నివారణ","acate"
"నివారించండి","acategorical"
"నివాస","acater"
"నివాసం","acatery"
"నివాసస్థలం","acates"
"నివాసి","acatharsy"
"నివేదించడం","acatharsia"
"నివేదించబడింది","acatholic"
"నివేదిక","acaudal"
"నిశ్చితార్థం","acaudate"
"నిశ్శబ్దం","acaudelescent"
"నిశ్శబ్దంగా","acaulescence"
"నిషేదించుట","acaulescent"
"నిషేధించండి","acauline"
"నిష్క్రమణ","acaulose"
"నిష్పత్తి","acaulous"
"నీటి","ACAWS"
"నీడ","ACB"
"నీతిశాస్త్రం","ACBL"
"నీరసం","ACC"
"నీలం","acc."
"నుండి","acca"
"నుదిటి","accable"
"నువ్వు","Accad"
"నూనె","accademia"
"నృత్యం","Accadian"
"నెట్వర్క్","Accalia"
"నైతికత","acce"
"నెమ్మదిగా","accede"
"నైరూప్య","acceded"
"నెల","accedence"
"నెలవారీ","acceder"
"నేడు","acceders"
"నేనే","accedes"
"నేపథ్య","acceding"
"నేరం","accel"
"నేరస్థుడు","accel."
"నేరారోపణ","accelerable"
"నేరుగా","accelerando"
"నేర్చుకుంటారు","accelerant"
"నేర్చుకోవడం","accelerate"
"నేల","accelerated"
"నేలమాళిగ","acceleratedly"
"నైతిక","accelerates"
"నైతికమైన","accelerating"
"నైపుణ్యం","acceleratingly"
"నైరుతి","acceleration"
"నొక్కండి","accelerations"
"నొక్కిచెప్పండి","accelerative"
"నొప్పి","accelerator"
"నోటీసు","acceleratory"
"నోరు","accelerators"
"నౌకాదళం","accelerograph"
"నౌకాశ్రయం","accelerometer"
"న్యాయం","accelerometers"
"న్యాయంగా","accelerometer's"
"న్యాయంచేయటానికి","accend"
"న్యాయపరమైన","accendibility"
"న్యాయమూర్తి","accendible"
"న్యాయమైన","accensed"
"న్యాయవాది","accension"
"న్యాయస్థానం","accensor"
"పంచుకున్నారు","accent"
"పంచ్","accented"
"పంజరం","accenting"
"పంట","accentless"
"పంటి","accentor"
"పండితుడు","accentors"
"పండు","accents"
"పండుగ","accentuable"
"పంది","accentual"
"పందెం","accentuality"
"పంపండి","accentually"
"పంపిణీ","accentuate"
"పంపు","accentuated"
"పక్కన","accentuates"
"పక్షపాతం","accentuating"
"పక్షి","accentuation"
"పగ","accentuations"
"పగిలిపోతుంది","accentuator"
"పగుళ్లు","accentus"
"పచ్చబొట్టు","accept"
"పచ్చిక","acceptability"
"పజిల్","acceptabilities"
"పటం","acceptable"
"పట్టణం","acceptableness"
"పట్టించుకోకుండా","acceptably"
"పట్టించుకోవద్దు","acceptance"
"పట్టిక","acceptances"
"పట్టు","acceptance's"
"పట్టుకో","acceptancy"
"పట్టుకోండి","acceptancies"
"పట్టుకోవడం","acceptant"
"పట్టుబట్టుతారు","acceptation"
"పడకగది","acceptavit"
"పడమర","accepted"
"పడవ","acceptedly"
"పతకం","acceptee"
"పతనం","acceptees"
"పత్తి","accepter"
"పత్రం","accepters"
"పత్రిక","acceptilate"
"పథకం","acceptilated"
"పదం","acceptilating"
"పదకొండు","acceptilation"
"పదజాలం","accepting"
"పదబంధం","acceptingly"
"పదార్థం","acceptingness"
"పదార్ధం","acception"
"పది","acceptive"
"పదిహేను","acceptor"
"పదునైన","acceptors"
"పదేపదే","acceptor's"
"పద్ధతి","acceptress"
"పద్యం","accepts"
"పని","accerse"
"పనికిరానిది","accersition"
"పనిచేస్తాయి","accersitor"
"పనిచేస్తుంది","access"
"పనితీరు","accessability"
"పన్ను","accessable"
"పన్నెండు","accessary"
"పరస్పరం","accessaries"
"పరామితి","accessarily"
"పరాయి","accessariness"
"పరికరం","accessaryship"
"పరికరాలు","accessed"
"పరికల్పన","accesses"
"పరిగణించండి","accessibility"
"పరిచయం","accessibilities"
"పరిణామం","accessible"
"పరిధి","accessibleness"
"పరిధిని","accessibly"
"పరిపాలన","accessing"
"పరిపాలనా","accession"
"పరిపాలించు","accessional"
"పరిపూర్ణమైనది","accessioned"
"పరిమాణం","accessioner"
"పరిమితం","accessioning"
"పరిమితి","accessions"
"పరిరక్షణ","accession's"
"పరివర్తన","accessit"
"పరిశీలకుడు","accessive"
"పరిశీలన","accessively"
"పరిశీలించండి","accessless"
"పరిశీలిస్తున్నారు","accessor"
"పరిశోధకుడు","accessory"
"పరిశోధన","accessorial"
"పరిశ్రమ","accessories"
"పరిష్కరించండి","accessorii"
"పరిష్కారం","accessorily"
"పరిసర","accessoriness"
"పరిస్థితి","accessory's"
"పరిహారం","accessorius"
"పరీక్ష","accessoriusorii"
"పరుగు","accessorize"
"పర్యటన","accessorized"
"పర్యవసానంగా","accessorizing"
"పర్యవేక్షించేందుకు","accessors"
"పర్యాటక","accessor's"
"పర్యావరణ","acciaccatura"
"పర్యావరణం","acciaccaturas"
"పర్వతం","acciaccature"
"పర్స్","accidence"
"పలుకుబడి","accidency"
"పల్స్","accidencies"
"పవిత్ర","accident"
"పవిత్రమైనది","accidental"
"పశువులు","accidentalism"
"పశ్చిమ","accidentalist"
"పసికందు","accidentality"
"పసుపు","accidentally"
"పాక్షికం","accidentalness"
"పాక్షికంగా","accidentals"
"పాచ్","accidentary"
"పాట","accidentarily"
"పాటు","accidented"
"పాఠం","accidential"
"పాఠకుడు","accidentiality"
"పాఠశాల","accidently"
"పాఠ్యపుస్తకం","accident-prone"
"పాఠ్యప్రణాళిక","accidents"
"పాడతారు","accidia"
"పాతది","accidias"
"పాతిపెట్టు","accidie"
"పాత్ర","accidies"
"పాత్రికేయుడు","accinge"
"పాన్","accinged"
"పాప","accinging"
"పాపం","accipenser"
"పాప్","accipient"
"పాము","Accipiter"
"పాయింట్","accipitral"
"పారిపోవలసి","accipitrary"
"పారిశ్రామిక","Accipitres"
"పార్కింగ్","accipitrine"
"పార్క్","accipter"
"పార్టీ","accise"
"పార్లమెంటు","accismus"
"పాలన","accite"
"పాలస్తీనియన్","Accius"
"పాలించు","acclaim"
"పాలు","acclaimable"
"పాల్గొంటారు","acclaimed"
"పాల్గొనడం","acclaimer"
"పాల్గొనేవాడు","acclaimers"
"పాస్","acclaiming"
"పాస్టర్","acclaims"
"పిండి","acclamation"
"పిచ్","acclamations"
"పిచ్చి","acclamator"
"పిచ్చివాడు","acclamatory"
"పిజ్జా","acclimatable"
"పిటిషన్","acclimatation"
"పిడికిలి","acclimate"
"పిన్","acclimated"
"పియానో","acclimatement"
"పిరికి","acclimates"
"పిల్లి","acclimating"
"పిసి","acclimation"
"పీడకల","acclimations"
"పుంజం","acclimatisable"
"పుకారు","acclimatisation"
"పుట్టింది","acclimatise"
"పుట్టిన","acclimatised"
"పుట్టినరోజు","acclimatiser"
"పునఃప్రారంభం","acclimatising"
