"Sundanese","English"
"kawatesanan","abstain"
"kawentar","abstained"
"kawijakan","abstainer"
"kawin","abstainers"
"kawinan","abstaining"
"kayakinan","abstainment"
"kebat","abstains"
"kebon","abstemious"
"kecap","abstemiously"
"kecerdasan","abstemiousness"
"kedah","abstention"
"kejem","abstentionism"
"kéju","abstentionist"
"kekebalan","abstentions"
"kekecapan","abstentious"
"kekerasan","absterge"
"kelamin","absterged"
"kelas","abstergent"
"keluhan","absterges"
"kemah","absterging"
"kembang","absterse"
"kembar","abstersion"
"Kemis","abstersive"
"kendang","abstersiveness"
"kendi","abstertion"
"kentang","abstinence"
"kerah","abstinences"
"kerangka","abstinency"
"kertas","abstinent"
"kesan","abstinential"
"kesang","abstinently"
"kesel","abstort"
"ketang","abstr"
"ketat","abstract"
"ketok","abstractable"
"keukeuh","abstracted"
"keuna","abstractedly"
"keuneung","abstractedness"
"keusik","abstracter"
"kibor","abstracters"
"kidul","abstractest"
"kidul-kulon","abstracting"
"kijang","abstraction"
"kilat","abstractional"
"kimia","abstractionism"
"kimiawi","abstractionist"
"kinerja","abstractionists"
"kira-kira","abstractions"
"kiridit","abstraction's"
"kit","abstractitious"
"kitu","abstractive"
"kituna","abstractively"
"kiwari","abstractiveness"
"Klaim","abstractly"
"klasik","abstractness"
"klaster","abstractnesses"
"klausa","abstractor"
"klien","abstractors"
"klik","abstractor's"
"klinik","abstracts"
"klinis","abstrahent"
"klip","abstrict"
"klub","abstricted"
"koalisi","abstricting"
"koboy","abstriction"
"kodeu","abstricts"
"kognitif","abstrude"
"koin","abstruse"
"koki","abstrusely"
"kokotor","abstruseness"
"koléktif","abstrusenesses"
"kolektor","abstruser"
"koléstérol","abstrusest"
"kolom","abstrusion"
"kolonel","abstrusity"
"koloni","abstrusities"
"kolonial","absume"
"kolot","absumption"
"kolumnis","absurd"
"komandan","absurder"
"kombinasi","absurdest"
"komedi","absurdism"
"koméntar","absurdist"
"komérsial","absurdity"
"komik","absurdities"
"komisaris","absurdity's"
"komisi","absurdly"
"komitmen","absurdness"
"komo","absurds"
"komoditi","absurdum"
"kompetisi","absvolt"
"kompléks","abt"
"komponén","abterminal"
"komposisi","abthain"
"komprehensif","abthainry"
"kompromi","abthainrie"
"komputer","abthanage"
"komunikasi","abtruse"
"komunis","Abu"
"konci","abubble"
"koneng","Abu-Bekr"
"konflik","Abucay"
"kongrés","abucco"
"konperénsi","abuilding"
"konseling","Abukir"
"konsensus","abuleia"
"konsentrasi","Abulfeda"
"konséntrasi","abulia"
"konsép","abulias"
"konsepsi","abulic"
"konsér","abulyeit"
"konservasi","abulomania"
"konservatif","abumbral"
"konsisten","abumbrellar"
"konsistén","Abuna"
"konspirasi","abundance"
"konstitusi","abundances"
"konstitusional","abundancy"
"konsultan","abundant"
"konsultasi","Abundantia"
"konsumén","abundantly"
"konsumsi","abune"
"kontak","abura"
"konteks","aburabozu"
"kontemporer","aburagiri"
"kontes","aburban"
"kontinyu","Abury"
"kontrak","aburst"
"kontraktor","aburton"
"kontras","abusable"
"kontribusi","abusage"
"kontributor","abuse"
"kontrovérsi","abused"
"kontroversial","abusedly"
"konvénsi","abusee"
"konvensional","abuseful"
"konvérsi","abusefully"
"koordinator","abusefulness"
"kopi","abuser"
"koran","abusers"
"korban","abuses"
"korea","abush"
"koreksi","abusing"
"korelasi","abusion"
"koresponden","abusious"
"koridor","abusive"
"korma","abusively"
"korporasi","abusiveness"
"korps","abusivenesses"
"korsi","abut"
"korupsi","Abuta"
"kosong","Abutilon"
"kostum","abutilons"
"kota","abutment"
"kotak","abutments"
"kotor","abuts"
"kréatif","abuttal"
"kréatipitas","abuttals"
"kredibilitas","abutted"
"krim","abutter"
"kriminal","abutters"
"krisis","abutter's"
"kristal","abutting"
"Kristen","abuzz"
"kriteria","abv"
"kritik","abvolt"
"kritikus","abvolts"
"kritis","abwab"
"kronis","abwatt"
"krusial","abwatts"
"ku","ac"
"kualitas","ac-"
"kuantitas","a-c"
"kuantum","AC/DC"
"kuat","ACAA"
"kuburan","Acacallis"
"kuciwa","acacatechin"
"kuda","acacatechol"
"kudu","Acacea"
"kuduna","Acaceae"
"kuil","acacetin"
"kulawarga","Acacia"
"kulawu","Acacian"
"kuliah","acacias"
"kulit","acaciin"
"kulon","acacin"
"Kumaha","acacine"
"kumalayang","acad"
"kumisan","academe"
"kumpulan","academes"
"kurban","Academy"
"kurikulum","academia"
"kurus","academial"
"kuya","academian"
"lab","academias"
"labél","Academic"
"laboratorium","academical"
"laci","academically"
"lada","academicals"
"lagu","academician"
"lain","academicians"
"laju","academicianship"
"lalajo","academicism"
"lalaki","academics"
"lalampahan","academie"
"lalaunan","academies"
"lalawanan","academy's"
"lambang","academise"
"lambaran","academised"
"lamping","academising"
"lampu","academism"
"lamun","academist"
"lanceukna","academite"
"landong","academization"
"langgeng","academize"
"langit","academized"
"langka","academizing"
"langsung","Academus"
"lantai","Acadia"
"lapisan","acadialite"
"laporan","Acadian"
"laptop","Acadie"
"laser","Acaena"
"latihan","acajou"
"latin","acajous"
"lauk","acal"
"laut","acalculia"
"lawan","acale"
"lawon","acaleph"
"layak","Acalepha"
"layar","Acalephae"
"lebak","acalephan"
"lebaran","acalephe"
"lebu","acalephes"
"lega","acalephoid"
"legana","acalephs"
"legenda","Acalia"
"legislatif","acalycal"
"législatif","acalycine"
"lelembutan","acalycinous"
"lemah","acalyculate"
"lembaga","Acalypha"
"lemes","Acalypterae"
"Lémon","Acalyptrata"
"Lempeng","Acalyptratae"
"lengkah","acalyptrate"
"lengkep","Acamar"
"lénsa","Acamas"
"leres","Acampo"
"Leres","acampsia"
"lesot","acana"
"lestari","acanaceous"
"létah","acanonical"
"Létnan","acanth"
"leuleuy","acanth-"
"leumpang","acantha"
"leungeun","Acanthaceae"
"leungit","acanthaceous"
"leungitna","acanthad"
"leupas","Acantharia"
"leutak","acanthi"
"leutik","Acanthia"
"leuweung","acanthial"
"leuwih","acanthin"
"liang","acanthine"
"liar","acanthion"
"liat","acanthite"
"liberal","acantho-"
"libur","acanthocarpous"
"lieur","Acanthocephala"
"lift","acanthocephalan"
"Liga","Acanthocephali"
"lilin","acanthocephalous"
"lima","Acanthocereus"
"lingkungan","acanthocladous"
"lini","Acanthodea"
"link","acanthodean"
"lirih","Acanthodei"
"lirik","Acanthodes"
"lisan","acanthodian"
"lisénsi","Acanthodidae"
"listrik","Acanthodii"
"loba","Acanthodini"
"lobi","acanthoid"
"log","Acantholimon"
"logam","acantholysis"
"logika","acanthology"
"logis","acanthological"
"lokal","acanthoma"
"lokasi","acanthomas"
"loker","Acanthomeridae"
"lolobana","acanthon"
"lomari","Acanthopanax"
"lorong","Acanthophis"
"luar","acanthophorous"
"luas","acanthopod"
"luhur","acanthopodous"
"lukisan","acanthopomatous"
"lulucon","acanthopore"
"lulugu","acanthopteran"
"lulus","Acanthopteri"
"lumangsung","acanthopterygian"
"lumayan","Acanthopterygii"
"lumbung","acanthopterous"
"lumpat","acanthoses"
"luncat","acanthosis"
"lungkawing","acanthotic"
"lungsur","acanthous"
"luntur","Acanthuridae"
"luyu","Acanthurus"
"mabok","acanthus"
"maca","acanthuses"
"madu","acanthuthi"
"maehan","acapnia"
"mahal","acapnial"
"mahluk","acapnias"
"mainstream","acappella"
"mairan","acapsular"
"majalah","acapu"
"maju","Acapulco"
"maké","acara"
"maksa","Acarapis"
"maksakeun","acarari"
"maksimal","acardia"
"makuta","acardiac"
"malaikat","acardite"
"malarat","acari"
"malik","acarian"
"maling","acariasis"
"malire","acariatre"
"mall","acaricidal"
"maluruh","acaricide"
"mamah","acarid"
"mamang","Acarida"
"mamatahan","acaridae"
"mamerkeun","acaridan"
"mampuh","acaridans"
"manajemén","Acaridea"
"manajer","acaridean"
"mancén","acaridomatia"
"mandi","acaridomatium"
"mandiri","acarids"
"manehna","acariform"
"mangaruhan","Acarina"
"manggih","acarine"
"manggihan","acarines"
"mangkaning","acarinosis"
"mangkok","Acarnan"
"mangpaat","acarocecidia"
"mangpaatkeun","acarocecidium"
"mangpaatna","acarodermatitis"
"manteng","acaroid"
"mantra","acarol"
"mantuan","acarology"
"manufaktur","acarologist"
"manuk","acarophilous"
"manula","acarophobia"
"manusa","acarotoxic"
"maok","acarpellous"
"maot","acarpelous"
"marahmay","acarpous"
"maranéhanana","Acarus"
"maret","ACAS"
"margina","acast"
"markas","Acastus"
"martabat","acatalectic"
"masak","acatalepsy"
"masalah","acatalepsia"
"masang","acataleptic"
"masarakat","acatallactic"
"masif","acatamathesia"
"masihan","acataphasia"
"masing-masing","acataposis"
"maskapai","acatastasia"
"mastikeun","acatastatic"
"matak","acate"
"matematika","acategorical"
"matuh","acater"
"maturan","acatery"
"maung","acates"
"mawa","acatharsy"
"maya","acatharsia"
"mayar","acatholic"
"mayoritas","acaudal"
"meakeun","acaudate"
"méakkeun","acaudelescent"
"medali","acaulescence"
"medarkeun","acaulescent"
"média","acauline"
"médis","acaulose"
"méja","acaulous"
"mékanis","ACAWS"
"mékanisme","ACB"
"mekar","ACBL"
"Méksiko","ACC"
"melek","acc."
"melengkung","acca"
"melong","accable"
"menak","Accad"
"menantang","accademia"
"menerkeun","Accadian"
"menit","Accalia"
"menta","acce"
"mental","accede"
"méntal","acceded"
"mentega","accedence"
"menteri","acceder"
"mentri","acceders"
"ménu","accedes"
"merek","acceding"
"meres","accel"
"merit","accel."
"merlukeun","accelerable"
"mertimbangkeun","accelerando"
"mesek","accelerant"
"mesin","accelerate"
"meta","accelerated"
"métafora","acceleratedly"
"méter","accelerates"
"métode","accelerating"
"metot","acceleratingly"
"meuli","acceleration"
"meunang","accelerations"
"meunangna","accelerative"
"meuntas","accelerator"
"meunteun","acceleratory"
"meureun","accelerators"
"miang","accelerograph"
"miara","accelerometer"
"miceun","accelerometers"
"migrasi","accelerometer's"
"mikaasih","accend"
"mikawanoh","accendibility"
"mikir","accendible"
"mil","accensed"
"milarian","accension"
"milih","accensor"
"milihan","accent"
"milik","accented"
"milikna","accenting"
"Militér","accentless"
"milu","accentor"
"milyaran","accentors"
"mimiti","accents"
"mimitina","accentuable"
"mindahkeun","accentual"
"mindeng","accentuality"
"minggu","accentually"
"Minggu","accentuate"
"mingguan","accentuated"
"minimal","accentuates"
"minimum","accentuating"
"minoritas","accentuation"
"minuhan","accentuations"
"minyak","accentuator"
"mirah","accentus"
"misah","accept"
"misan","acceptability"
"misi","acceptabilities"
"misil","acceptable"
"misteri","acceptableness"
"misterius","acceptably"
"mitos","acceptance"
"mm","acceptances"
"mm-hmm","acceptance's"
"mmm","acceptancy"
"mobil","acceptancies"
"mobile","acceptant"
"modal","acceptation"
"modél","acceptavit"
"modern","accepted"
"modus","acceptedly"
"mohon","acceptee"
"molekul","acceptees"
"momen","accepter"
"moméntum","accepters"
"moneter","acceptilate"
"monitor","acceptilated"
"monster","acceptilating"
"montir","acceptilation"
"monumen","accepting"
"monyét","acceptingly"
"mopohokeun","acceptingness"
"moral","acception"
"moro","acceptive"
"mortalitas","acceptor"
"motif","acceptors"
"motivasi","acceptor's"
"motong","acceptress"
"motor","accepts"
"muatan","accerse"
"mudah-mudahan","accersition"
"muhrim","accersitor"
"muhun","access"
"muji","accessability"
"mujijat","accessable"
"muka","accessary"
"mukmin","accessaries"
"mulang","accessarily"
"mulangkeun","accessariness"
"mulus","accessaryship"
"mumbul","accessed"
"mumpuni","accesses"
"mumusuhan","accessibility"
"munara","accessibilities"
"muncul","accessible"
"munculna","accessibleness"
"mundur","accessibly"
"mungkin","accessing"
"mungkir","accession"
"mupus","accessional"
"muriang","accessioned"
"murid","accessioner"
"murni","accessioning"
"musafir","accessions"
"museum","accession's"
"musibah","accessit"
"musik","accessive"
"musikal","accessively"
"musisi","accessless"
"muslim","accessor"
"mustahil","accessory"
"musuh","accessorial"
"muter","accessories"
"mutlak","accessorii"
"mutuskeun","accessorily"
"nabi","accessoriness"
"nada","accessory's"
"naék","accessorius"
"naekeun","accessoriusorii"
"naékkeun","accessorize"
"nafsirkeun","accessorized"
"naga","accessorizing"
"nagara","accessors"
"naha","accessor's"
"nahan","acciaccatura"
"naib","acciaccaturas"
"naksir","acciaccature"
"nalungtik","accidence"
"naluri","accidency"
"nambahan","accidencies"
"nampung","accident"
"nanaon","accidental"
"nanganan","accidentalism"
"nangkep","accidentalist"
"nangkeup","accidentality"
"nangtukeun","accidentally"
"nangtung","accidentalness"
"nanya","accidentals"
"naon","accidentary"
"napelkeun","accidentarily"
"napsu","accidented"
"narajang","accidential"
"naraka","accidentiality"
"narasumber","accidently"
"naratif","accident-prone"
"narator","accidents"
"narékahan","accidia"
"nari","accidias"
"narik","accidie"
"narima","accidies"
"narjamahkeun","accinge"
"naséhat","accinged"
"nasib","accinging"
"nasional","accipenser"
"naskah","accipient"
"natal","Accipiter"
"natrium","accipitral"
"nawar","accipitrary"
"nawaran","Accipitres"
"neangan","accipitrine"
"nebak","accipter"
"négatip","accise"
"negeskeun","accismus"
"nekenkeun","accite"
"nelepon","Accius"
"némbak","acclaim"
"nembe","acclaimable"
"nembongan","acclaimed"
"nembongkeun","acclaimer"
"nempatan","acclaimers"
"nempatkeun","acclaiming"
"nenjo","acclaims"
"nepi","acclamation"
"nepikeun","acclamations"
"neruskeun","acclamator"
"netelakeun","acclamatory"
"netepan","acclimatable"
"nétral","acclimatation"
"neundeun","acclimate"
"neunggeul","acclimated"
"neuteup","acclimatement"
"ngabagi","acclimates"
"ngabahas","acclimating"
"ngabahekeun","acclimation"
"ngabales","acclimations"
"ngabalukarkeun","acclimatisable"
"ngabandingkeun","acclimatisation"
"ngabangkitkeun","acclimatise"
"ngabantah","acclimatised"
"ngabatalkeun","acclimatiser"
"ngabayangkeun","acclimatising"
"ngabedakeun","acclimatizable"
"ngabejaan","acclimatization"
"ngabela","acclimatizations"
"ngabeledug","acclimatize"
"ngabengkokkeun","acclimatized"
"ngabéréskeun","acclimatizer"
"ngaberkahan","acclimatizes"
"ngabeungkeut","acclimatizing"
"ngabiayaan","acclimature"
"ngabohong","acclinal"
"ngabom","acclinate"
"ngabongkar","acclivity"
"ngabubarkeun","acclivities"
"ngabujuk","acclivitous"
"ngabuktikeun","acclivous"
"ngadadak","accloy"
"ngadangu","accoast"
"ngadangukeun","accoy"
"ngadaptar","accoyed"
"ngadaptarkeun","accoying"
"ngadegkeun","accoil"
"ngadegna","Accokeek"
"ngadeteksi","accolade"
"ngadeukeutan","accoladed"
"ngadiagnosa","accolades"
"ngadidik","accolated"
"ngadistribusikaeun","accolent"
"ngadoa","accoll"
"ngadominasi","accolle"
"ngadopsi","accolled"
"ngadorong","accollee"
"ngadukung","Accomac"
"ngaduruk","accombination"
"ngaéksekusi","accommodable"
"ngagabungkeun","accommodableness"
"ngagajikeun","accommodate"
"ngagambar","accommodated"
"ngagambarkeun","accommodately"
"ngagampangkeun","accommodateness"
"ngaganggu","accommodates"
"ngagantelkeun","accommodating"
"ngagantian","accommodatingly"
"ngagantikeun","accommodatingness"
"ngagantung","accommodation"
"ngagantungkeun","accommodational"
"ngagentos","accommodationist"
"ngageser","accommodations"
"ngagiling","accommodative"
"ngagolak","accommodatively"
"ngagolongkeun","accommodativeness"
"ngagoreng","accommodator"
"ngagorowok","accommodators"
"ngagosok","accomodate"
"ngagugat","accompanable"
"ngagugulung","accompany"
"ngagumbirakeun","accompanied"
"ngagunakeun","accompanier"
"ngagungkeun","accompanies"
"ngahaja","accompanying"
"ngahajakeun","accompanyist"
"ngahampura","accompaniment"
"ngahargaan","accompanimental"
"ngahasilkeun","accompaniments"
"ngahaturanan","accompaniment's"
"ngahianat","accompanist"
"ngahiji","accompanists"
"ngahijikeun","accompanist's"
"ngahontal","accomplement"
"ngahukum","accompletive"
"ngahuleng","accompli"
"ngahususkeun","accomplice"
"ngahutang","accomplices"
"ngahutbah","accompliceship"
"ngaidentipikasi","accomplicity"
"ngajaga","accomplis"
"ngajajar","accomplish"
"ngajak","accomplishable"
"ngajalajah","accomplished"
"ngajalankeun","accomplisher"
"ngajamin","accomplishers"
"ngajangjikeun","accomplishes"
"ngajarkeun","accomplishing"
"ngajauhan","accomplishment"
"ngajawab","accomplishments"
"ngajelaskeun","accomplishment's"
"ngajempolan","accomplisht"
"ngajengkeun","accompt"
"ngajual","accord"
"ngaktifkeun","accordable"
"ngaku","accordance"
"ngalaan","accordances"
"ngalaksanakeun","accordancy"
"ngalakukeun","accordant"
"ngalaman","accordantly"
"ngalamar","accordatura"
"ngalanggar","accordaturas"
"ngalaporkeun","accordature"
"ngalarang","accorded"
"ngalatih","accorder"
"ngalawan","accorders"
"ngalayanan","according"
"ngalebetkeun","accordingly"
"ngalegaan","accordion"
"ngalelepkeun","accordionist"
"ngalembereh","accordionists"
"ngalengkepan","accordions"
"ngalereskeun","accordion's"
"ngaleungit","accords"
"ngaleungitkeun","accorporate"
"ngaleupaskeun","accorporation"
"ngaleutikan","accost"
"ngaleuwihan","accostable"
"ngali","accosted"
"ngalibetkeun","accosting"
"ngalipet","accosts"
"ngalir","accouche"
"ngaliwat","accouchement"
"ngaliwatan","accouchements"
"ngaluarkeun","accoucheur"
"ngaluncat","accoucheurs"
"ngaluncurkeun","accoucheuse"
"ngalungkeun","accoucheuses"
"ngamajukeun","accounsel"
"ngamangpaatkeun","account"
"ngamanipulasi","accountability"
"ngambah","accountabilities"
"ngambang","accountable"
"ngambekan","accountableness"
"ngambeu","accountably"
"ngamekarkeun","accountancy"
"ngamimitian","accountancies"
"ngamotivasi","accountant"
"ngamuk","accountants"
"ngan","accountant's"
"nganalisis","accountantship"
"ngancam","accounted"
"ngancurkeun","accounter"
"ngandelkeun","accounters"
"ngandung","accounting"
"nganggap","accountings"
"ngangkat","accountment"
"ngangkut","accountrement"
"nganjang","accounts"
"nganteurkeun","accouple"
"ngantosan","accouplement"
"nganyatakeun","accourage"
"ngapung","accourt"
"ngarah","accouter"
"ngaramal","accoutered"
"ngarambat","accoutering"
"ngarampog","accouterment"
"ngaran","accouterments"
"ngarang","accouters"
"ngarasa","accoutre"
"ngarasakeun","accoutred"
"ngarayap","accoutrement"
"ngarebut","accoutrements"
"ngaregepkeun","accoutres"
"ngarékam","accoutring"
"ngarekrut","Accoville"
"ngarempugkeun","ACCRA"
"ngarérét","accrease"
"ngarobah","accredit"
"ngarojong","accreditable"
"ngaronjat","accreditate"
"ngaropéa","accreditation"
"ngarti","accreditations"
"ngarujuk","accredited"
"ngaruksak","accreditee"
"ngasingkeun","accrediting"
"ngasongkeun","accreditment"
"ngasuh","accredits"
"ngasupkeun","accrementitial"
"ngatur","accrementition"
"ngawadul","accresce"
"ngawangkong","accrescence"
"ngawangun","accrescendi"
"ngawanohkeun","accrescendo"
"ngawartosan","accrescent"
"ngawaskeun","accretal"
"ngawatesan","accrete"
"ngawenangkeun","accreted"
"ngawengku","accretes"
"ngawétkeun","accreting"
"ngayakinkeun","accretion"
"ngayun","accretionary"
"ngédit","accretions"
"ngegel","accretion's"
"ngégél","accretive"
"ngéléhkeun","accriminate"
"ngelek","Accrington"
"ngelingan","accroach"
"ngembang","accroached"
"ngempur","accroaching"
"ngerjakeun","accroachment"
"ngeruk","accroides"
"ngesahkeun","accruable"
"ngetik","accrual"
"ngeunaan","accruals"
"ngeunah","accrue"
"ngeunteung","accrued"
"ngewa","accruement"
"ngidinan","accruer"
"ngimpi","accrues"
"ngimpina","accruing"
"ngingetan","ACCS"
"ngingetkeun","ACCT"
"nginjeum","acct."
"nginjeumkeun","accts"
"nginum","accubation"
"ngirim","accubita"
"ngiringan","accubitum"
"ngirining","accubitus"
"ngitung","accueil"
"ngiuhan","accultural"
"ngocok","acculturate"
"ngojay","acculturated"
"ngolah","acculturates"
"ngomong","acculturating"
"ngompa","acculturation"
"ngonci","acculturational"
"ngora","acculturationist"
"nguap","acculturative"
"nguatkeun","acculturize"
"ngubaran","acculturized"
"ngubur","acculturizing"
"ngudag","accum"
"nguji","accumb"
"ngukir","accumbency"
"ngukur","accumbent"
"ngumbara","accumber"
"ngumpul","accumulable"
"ngumpulkeun","accumulate"
"ngumumkeun","accumulated"
"ngungkulan","accumulates"
"ngurangan","accumulating"
"ngurilingan","accumulation"
"nguruskeun","accumulations"
"ngusap","accumulativ"
"ngusulkeun","accumulative"
"ngutip","accumulatively"
"niat","accumulativeness"
"niatna","accumulator"
"ni'mat","accumulators"
"ninggalkeun","accumulator's"
"ningkat","accupy"
"ningkatkeun","accur"
"nini","accuracy"
"nirlaba","accuracies"
"nitenan","accurate"
"niup","accurately"
"nol","accurateness"
"nolak","accuratenesses"
"nominasi","accurre"
"nominee","accurse"
"nona","accursed"
"nonjol","accursedly"
"nonoman","accursedness"
"Nopémber","accursing"
"norma","accurst"
"novel","accurtation"
"nuduh","accus"
"nuju","accusable"
"nuklir","accusably"
"nulis","accusal"
"nuluykeun","accusals"
"numpak","accusant"
"nunjuk","accusants"
"nunjukkeun","accusation"
"nurani","accusations"
"nurutkeun","accusation's"
"nutup","accusatival"
"nuturkeun","accusative"
"nya","accusative-dative"
"nyabok","accusatively"
"nyadiakeun","accusativeness"
"nyageurkeun","accusatives"
"nyaho","accusator"
"nyaksian","accusatory"
"nyalahkeun","accusatorial"
"nyalametkeun","accusatorially"
"nyalin","accusatrix"
"nyalira","accusatrixes"
"nyalonkeun","accuse"
"nyaluyukeun","accused"
"nyambungkeun","accuser"
"nyampur","accusers"
"nyandak","accuses"
"nyandung","accusing"
"nyanghareupan","accusingly"
"nyangka","accusive"
"nyanyi","accusor"
"nyapek","accustom"
"nyapu","accustomation"
"nyarankeun","accustomed"
"nyaring","accustomedly"
"nyarita","accustomedness"
"nyaritakeun","accustoming"
"nyarupaan","accustomize"
"nyata","accustomized"
"nyatakeun","accustomizing"
"nyatu","accustoms"
"nyatujuan","Accutron"
"nyebar","ACD"
"nyebarkeun","ACDA"
"nyebut","AC-DC"
"nyegah","ACE"
"nyekel","acea"
"nyeken","aceacenaphthene"
"nyelapkeun","aceae"
"nyempad","acean"
"nyentak","aceanthrene"
"nyepak","aceanthrenequinone"
"nyerep","acecaffin"
"nyeri","acecaffine"
"nyetél","aceconitic"
"nyeuseuh","aced"
"nyeuseup","acedy"
"nyewa","acedia"
"nyéwa","acediamin"
"nyiapkeun","acediamine"
"nyicingan","acedias"
"nyiduh","acediast"
"nyieun","ace-high"
"nyigeung","Acey"
"nyiksa","acey-deucy"
"nyiksikan","aceite"
"nyimpen","aceituna"
"nyimpulkeun","Aceldama"
"nyingkab","aceldamas"
"nyingkirkeun","acellular"
"nyingsieunan","Acemetae"
"nyiptakeun","Acemetic"
"nyirorot","acemila"
"nyiruan","acenaphthene"
"nyitak","acenaphthenyl"
"nyium","acenaphthylene"
"nyodorkeun","acenesthesia"
"nyoko","acensuada"
"nyokot","acensuador"
"nyolongkrong","acentric"
"nyugemakeun","acentrous"
"nyukupan","aceology"
"nyumbangkeun","aceologic"
"nyumput","aceous"
"nyupiran","acephal"
"objék","Acephala"
"obrolan","acephalan"
"observasi","Acephali"
"obyektif","acephalia"
"odds","Acephalina"
"oge","acephaline"
"oh","acephalism"
"Oké","acephalist"
"oksigén","Acephalite"
"oktober","acephalocyst"
"olahraga","acephalous"
"olimpiade","acephalus"
"ombak","acepots"
"omongan","acequia"
"ondangan","acequiador"
"ongkos","acequias"
"online","Acer"
"ons","Aceraceae"
"ooh","aceraceous"
"opat","Acerae"
"opera","Acerata"
"operasi","acerate"
"operator","acerated"
"oposisi","Acerates"
"optimistis","acerathere"
"oranyeu","Aceratherium"
"oray","aceratosis"
"orbit","acerb"
"organ","Acerbas"
"organik","acerbate"
"organisasi","acerbated"
"organisme","acerbates"
"orientasi","acerbating"
"orok","acerber"
"otomatis","acerbest"
"otot","acerbic"
"outdoor","acerbically"
"outlet","acerbity"
"outline","acerbityacerose"
"outlook","acerbities"
"oven","acerbitude"
"overwhelming","acerbly"
"pabrik","acerbophobia"
"paburencay","acerdol"
"pacampur","aceric"
"pad","acerin"
"padagang","acerli"
"padahal","acerola"
"padamelan","acerolas"
"padesaan","acerose"
"padet","acerous"
"padeukeut","acerra"
"paduli","acers"
"padumukan","acertannin"
"pagawe","acerval"
"pagawean","acervate"
"pager","acervately"
"pageuh","acervatim"
"paguneman","acervation"
"pahlawan","acervative"
"pai","acervose"
"pait","acervuli"
"pajeg","acervuline"
"pajeulit","acervulus"
"pajeulitna","aces"
"pakait","ace's"
"pakakas","acescence"
"pakampungan","acescency"
"pakarang","acescent"
"pakarangan","acescents"
"pakean","aceship"
"pakéan","Acesius"
"pakét","acesodyne"
"pakotaan","acesodynous"
"paku","Acessamenus"
"palabuhan","Acestes"
"palajar","acestoma"
"palajaran","acet-"
"palaksanaan","aceta"
"palaku","acetable"
"palanggaran","acetabula"
"palastik","acetabular"
"palatih","Acetabularia"
"palatihan","acetabuliferous"
"palayanan","acetabuliform"
"paléstina","acetabulous"
"palid","acetabulum"
"paling","acetabulums"
"palsu","acetacetic"
"Palsu","acetal"
"palu","acetaldehydase"
"pamaca","acetaldehyde"
"pamadegan","acetaldehydrase"
"pamaén","acetaldol"
"pamahaman","acetalization"
"pamajikan","acetalize"
"pamakaman","acetals"
"pamaké","acetamid"
"pamakean","acetamide"
"pamanasan","acetamidin"
"pamanggihan","acetamidine"
"pamaréntah","acetamido"
"pamariksaan","acetamids"
"pamasangan","acetaminol"
"pamasaran","Acetaminophen"
"pamawa","acetanilid"
"pamayaran","acetanilide"
"pamburu","acetanion"
"pamedal","acetaniside"
"pamekar","acetanisidide"
"paménta","acetanisidine"
"paméran","acetannin"
"pamikiran","acetary"
"pamilih","acetarious"
"pamilihan","acetars"
"pamilon","acetarsone"
"pamingpin","acetate"
"pamotongan","acetated"
"pamuda","acetates"
"pamulihan","acetation"
"pamungkas","acetazolamide"
"pan","acetbromamide"
"panah","acetenyl"
"panalungtik","Acetes"
"panalungtikan","acethydrazide"
"pananda","acetiam"
"panangan","acetic"
"panarima","acetify"
"panarimaan","acetification"
"panas","acetified"
"panasaran","acetifier"
"panaséhat","acetifies"
"pancing","acetifying"
"pancuran","acetyl"
"panel","acetylacetonates"
"panempatan","acetylacetone"
"panempo","acetylamine"
"panemuan","acetylaminobenzene"
"panerapan","acetylaniline"
"pangabisa","acetylasalicylic"
"pangacara","acetylate"
"pangadeg","acetylated"
"pangadilan","acetylating"
"pangajaran","acetylation"
"pangajén","acetylative"
"pangakuan","acetylator"
"pangalaman","acetylbenzene"
"pangalusna","acetylbenzoate"
"pangaluyuan","acetylbenzoic"
"pangangguran","acetylbiuret"
"panganteur","acetylcarbazole"
"panganyarna","acetylcellulose"
"pangarang","acetylcholine"
"pangaruh","acetylcholinesterase"
"pangaturan","acetylcholinic"
"pangawas","acetylcyanide"
"pangaweruh","acetylenation"
"pangdéngé","acetylene"
"pangecér","acetylenediurein"
"pangeling-eling","acetylenes"
"pangeling-ngeling","acetylenic"
"pangeran","acetylenyl"
"panggih","acetylenogen"
"panggung","acetylfluoride"
"panghalang","acetylglycin"
"panghasilan","acetylglycine"
"panginten","acetylhydrazine"
"pangiriman","acetylic"
"pangjurung","acetylid"
"pangkat","acetylide"
"pangkeng","acetyliodide"
"pangkuan","acetylizable"
"pangrasa","acetylization"
"pangropéa","acetylize"
"pangsiun","acetylized"
"pangukuran","acetylizer"
"pangumbaraan","acetylizing"
"pangumuman","acetylmethylcarbinol"
"pangungsian","acetylperoxide"
"pangurangan","acetylphenylhydrazine"
"pangurus","acetylphenol"
"pangusaha","acetylrosaniline"
"pangwangunan","acetyls"
"pangwatesan","acetylsalicylate"
"panik","acetylsalicylic"
"panipuan","acetylsalol"
"panitén","acetyltannin"
"panitia","acetylthymol"
"panjagaan","acetyltropeine"
"panjang","acetylurea"
"panjangna","acetimeter"
"panjara","acetimetry"
