"Irish","English"
"druma","absolutist"
"dteagmháil","absolutista"
"duais","absolutistic"
"dualgas","absolutistically"
"dúbailte","absolutists"
"dubh","absolutive"
"dubhach","absolutization"
"dubhghorm","absolutize"
"dúchais","absolutory"
"dúchasacha","absolvable"
"dufaire","absolvatory"
"dúiche","absolve"
"dúil","absolved"
"duille","absolvent"
"duillín","absolver"
"duine","absolvers"
"dúisigh","absolves"
"dul","absolving"
"dúlagar","absolvitor"
"Dumpáil","absolvitory"
"dúnmharfóir","absonant"
"dúnmharú","absonous"
"dúnta","absorb"
"dúr","absorbability"
"dÚsachtach","absorbable"
"dúshlán","absorbance"
"dúshlánach","absorbancy"
"é","absorbant"
"éabhlóid","absorbed"
"éabhlú","absorbedly"
"éacht","absorbedness"
"eachtra","absorbefacient"
"eachtrach","absorbency"
"eachtraíochta","absorbencies"
"eachtrannach","absorbent"
"eacnamaí","absorbents"
"eacnamaíoch","absorber"
"eacnamaíocht","absorbers"
"éad","absorbing"
"éadach","absorbingly"
"éadaí","absorbition"
"éadáil","absorbs"
"éadóchasach","absorbtion"
"éadomhain","absorpt"
"éadrócaireach","absorptance"
"éadrom","absorptiometer"
"eagar","absorptiometric"
"eagarthóir","absorption"
"eagla","absorptional"
"eaglais","absorptions"
"eagna","absorption's"
"éagórach","absorptive"
"eagraíocht","absorptively"
"eagrán","absorptiveness"
"eagrú","absorptivity"
"éagsúil","absquatulate"
"éagsúla","absquatulation"
"éagsúlacht","abstain"
"ealaín","abstained"
"ealaíonta","abstainer"
"ealaíontóir","abstainers"
"eallach","abstaining"
"éalú","abstainment"
"éan","abstains"
"eanáir","abstemious"
"earcach","abstemiously"
"earnáil","abstemiousness"
"earrach","abstention"
"earráid","abstentionism"
"easaontaíonn","abstentionist"
"éasca","abstentions"
"éascú","abstentious"
"easnamh","absterge"
"easpa","absterged"
"easpag","abstergent"
"eastáit","absterges"
"eatramh","absterging"
"EDS","absterse"
"ego","abstersion"
"eh","abstersive"
"éiceachóras","abstersiveness"
"éide","abstertion"
"éifeacht","abstinence"
"éifeachtach","abstinences"
"éifeachtúlacht","abstinency"
"éigeandála","abstinent"
"éigin","abstinential"
"éiginnteacht","abstinently"
"éigniú","abstort"
"eile","abstr"
"éileamh","abstract"
"eilifint","abstractable"
"eilimint","abstracted"
"éilliú","abstractedly"
"eintiteas","abstractedness"
"eireaball","abstracter"
"éireoidh","abstracters"
"éirí","abstractest"
"éirigh","abstracting"
"eisceacht","abstraction"
"eisceadh","abstractional"
"eisiach","abstractionism"
"eisiamh","abstractionist"
"eisiúint","abstractionists"
"éist","abstractions"
"éisteacht","abstraction's"
"éisteoir","abstractitious"
"eitic","abstractive"
"eiticiúil","abstractively"
"eitilt","abstractiveness"
"eitilte","abstractly"
"eitleán","abstractness"
"eitneach","abstractnesses"
"elder","abstractor"
"emotion","abstractors"
"eochair","abstractor's"
"eolach","abstracts"
"eolaí","abstrahent"
"eolaíocht","abstrict"
"eolaíochta","abstricted"
"eolas","abstricting"
"Eorpach","abstriction"
"et","abstricts"
"eternal","abstrude"
"fabhraí","abstruse"
"fabraic","abstrusely"
"fachtóir","abstruseness"
"fad","abstrusenesses"
"fada","abstruser"
"fadtéarmach","abstrusest"
"fág","abstrusion"
"fágtha","abstrusity"
"faighteoir","abstrusities"
"fáilte","absume"
"fáiltiú","absumption"
"fáinne","absurd"
"faire","absurder"
"faireachas","absurdest"
"fairsing","absurdism"
"faisean","absurdist"
"faisnéis","absurdity"
"fál","absurdities"
"falsa","absurdity's"
"fan","absurdly"
"fána","absurdness"
"fanacht","absurds"
"fantaisíocht","absurdum"
"faoi","absvolt"
"faoiseamh","abt"
"Faraor","abterminal"
"fardal","abthain"
"farraige","abthainry"
"fás","abthainrie"
"fásach","abthanage"
"fathach","abtruse"
"fáthmheas","Abu"
"feabhra","abubble"
"feabhsaithe","Abu-Bekr"
"feabhsú","Abucay"
"féach","abucco"
"féachaint","abuilding"
"feachtas","Abukir"
"feadán","abuleia"
"féadfaidh","Abulfeda"
"feadh","abulia"
"fealsúnacht","abulias"
"fealsúnachta","abulic"
"fear","abulyeit"
"féar","abulomania"
"fearas","abumbral"
"fearg","abumbrellar"
"feargach","Abuna"
"fearr","abundance"
"feasach","abundances"
"feasacht","abundancy"
"feiceálach","abundant"
"féideartha","Abundantia"
"feidhmíocht","abundantly"
"feidhmiúcháin","abune"
"feidhmiúil","abura"
"féidir","aburabozu"
"féile","aburagiri"
"féilire","aburban"
"féimheachta","Abury"
"féin","aburst"
"feiniméan","aburton"
"féiniúlacht","abusable"
"féinmharú","abusage"
"feirm","abuse"
"feirme","abused"
"feirmeoir","abusedly"
"feithicil","abusee"
"feithidí","abuseful"
"feoil","abusefully"
"fhadhb","abusefulness"
"fháil","abuser"
"fhéadfadh","abusers"
"fhéidearthacht","abuses"
"fheidhm","abush"
"fheidhmiú","abusing"
"fhíorú","abusion"
"fhógairt","abusious"
"fhoilsiú","abusive"
"fhoirceadal","abusively"
"fhoirm","abusiveness"
"fhorbairt","abusivenesses"
"fhorbartha","abut"
"fhorchur","Abuta"
"fhorghníomhú","Abutilon"
"fhormhuiniú","abutilons"
"fhulaingt","abutment"
"fiabhras","abutments"
"fiacail","abuts"
"fiach","abuttal"
"fiadhúlra","abuttals"
"fiáin","abutted"
"fianaise","abutter"
"fianán","abutters"
"fianna","abutter's"
"fiche","abutting"
"ficsean","abuzz"
"figiúr","abv"
"file","abvolt"
"filíochta","abvolts"
"filleadh","abwab"
"fine","abwatt"
"finger","abwatts"
"finné","ac"
"finscéal","ac-"
"fíochán","a-c"
"fíon","AC/DC"
"fionnachtain","ACAA"
"fionnuar","Acacallis"
"fionraí","acacatechin"
"fiontair","acacatechol"
"fiontar","Acacea"
"fiontraí","Acaceae"
"fíor","acacetin"
"Fíor","Acacia"
"fíorasc","Acacian"
"fíorúil","acacias"
"fioscach","acaciin"
"fiosracht","acacin"
"fiosrúcháin","acacine"
"fireann","acad"
"fírinne","academe"
"fís","academes"
"físeán","Academy"
"fisic","academia"
"fisiciúil","academial"
"fiú","academian"
"fiúntach","academias"
"fiúntais","Academic"
"flaithiúil","academical"
"flesh","academically"
"fliuch","academicals"
"focal","academician"
"fócas","academicians"
"Foclóir","academicianship"
"foghlaim","academicism"
"foghlaimeoir","academics"
"fógra","academie"
"Fógra","academies"
"fógraíocht","academy's"
"foighne","academise"
"foilseachán","academised"
"Foilsitheoir","academising"
"foilsitheoireachta","academism"
"foinse","academist"
"fóirdheontas","academite"
"foireann","academization"
"foirfe","academize"
"foirgneamh","academized"
"foirm","academizing"
"foirmiú","Academus"
"foirmiúil","Acadia"
"foirmle","acadialite"
"foirne","Acadian"
"fola","Acadie"
"folamh","Acaena"
"folctha","acajou"
"folláine","acajous"
"follasach","acal"
"fón","acalculia"
"fónamh","acale"
"fonn","acaleph"
"fonnmhar","Acalepha"
"fóntais","Acalephae"
"fóram","acalephan"
"foraoise","acalephe"
"Forbairt","acalephes"
"forbid","acalephoid"
"forbróir","acalephs"
"forc","Acalia"
"forehead","acalycal"
"foréigean","acalycine"
"foréigneach","acalycinous"
"forfheidhmiú","acalyculate"
"forghníomhú","Acalypha"
"forleathan","Acalypterae"
"forma","Acalyptrata"
"formáid","Acalyptratae"
"fórsa","acalyptrate"
"fortunately","Acamar"
"fortune","Acamas"
"fós","Acampo"
"foscadh","acampsia"
"fostaí","acana"
"fostaíocht","acanaceous"
"fostaíonn","acanonical"
"fostóir","acanth"
"fo-uirbeacha","acanth-"
"Fraincis","acantha"
"fráma","Acanthaceae"
"francach","acanthaceous"
"frankly","acanthad"
"freagra","Acantharia"
"freagracht","acanthi"
"freagróir","Acanthia"
"freastal","acanthial"
"freastalaí","acanthin"
"freasúra","acanthine"
"freisin","acanthion"
"freshman","acanthite"
"friotaíocht","acantho-"
"frithpháirteach","acanthocarpous"
"frustrachas","Acanthocephala"
"fuaim","acanthocephalan"
"fuair","Acanthocephali"
"fuar","acanthocephalous"
"Fuarthas","Acanthocereus"
"fuath","acanthocladous"
"fucking","Acanthodea"
"fuilteach","acanthodean"
"fuinneamh","Acanthodei"
"fuinneog","Acanthodes"
"fuinseog","acanthodian"
"fuip","Acanthodidae"
"fulaingt","Acanthodii"
"ga","Acanthodini"
"gabháil","acanthoid"
"gabhar","Acantholimon"
"gach","acantholysis"
"Gaeilge","acanthology"
"gaige","acanthological"
"gaile","acanthoma"
"gailearaí","acanthomas"
"gaineamh","Acanthomeridae"
"gairdín","acanthon"
"gáire","Acanthopanax"
"gairleog","Acanthophis"
"gairm","acanthophorous"
"gairme","acanthopod"
"gairmiúla","acanthopodous"
"gaiste","acanthopomatous"
"galánta","acanthopore"
"galar","acanthopteran"
"galf","Acanthopteri"
"gallúnach","acanthopterygian"
"galún","Acanthopterygii"
"gang","acanthopterous"
"ganntanas","acanthoses"
"gaol","acanthosis"
"gaolmhara","acanthotic"
"gaoth","acanthous"
"gar","Acanthuridae"
"garbh","Acanthurus"
"garda","acanthus"
"gas","acanthuses"
"gás","acanthuthi"
"gásailín","acapnia"
"gasp","acapnial"
"gaze","acapnias"
"gcabhair","acappella"
"gceannas","acapsular"
"gceist","acapu"
"gcodarsnacht","Acapulco"
"gCosantóirí","acara"
"gcuntar","Acarapis"
"géag","acarari"
"géaga","acardia"
"geal","acardiac"
"geall","acardite"
"geallann","acari"
"gealltanas","acarian"
"gealtach","acariasis"
"géar","acariatre"
"gearán","acaricidal"
"géarchéime","acaricide"
"gearr","acarid"
"gearrtha","Acarida"
"gearrthóg","acaridae"
"geasa","acaridan"
"geata","acaridans"
"Geilleagar","Acaridea"
"géine","acaridean"
"géiniteach","acaridomatia"
"genius","acaridomatium"
"german","acarids"
"gesture","acariform"
"gha","Acarina"
"ghabháil","acarine"
"gharáiste","acarines"
"ghealach","acarinosis"
"ghearrthéarma","Acarnan"
"gheimhridh","acarocecidia"
"ghiall","acarocecidium"
"ghiniúint","acarodermatitis"
"ghlacadh","acaroid"
"ghluaiste","acarol"
"ghnáthamh","acarology"
"ghnóthú","acarologist"
"ghrád","acarophilous"
"ghrian","acarophobia"
"ghualainn","acarotoxic"
"ginearálta","acarpellous"
"giniúint","acarpelous"
"ginmhilleadh","acarpous"
"giotán","Acarus"
"giúiré","ACAS"
"giúmar","acast"
"glacadh","Acastus"
"glacadóir","acatalectic"
"glan","acatalepsy"
"glaoch","acatalepsia"
"glaoiteoir","acataleptic"
"glas","acatallactic"
"glasraí","acatamathesia"
"gléas","acataphasia"
"gleoite","acataposis"
"gloine","acatastasia"
"glóir","acatastatic"
"gluaiseacht","acate"
"glúin","acategorical"
"gnáth","acater"
"gnáthóg","acatery"
"gné","acates"
"gnéas","acatharsy"
"gnéasach","acatharsia"
"gníomh","acatholic"
"gníomhach","acaudal"
"gníomhaí","acaudate"
"gníomhaíocht","acaudelescent"
"gníomhaire","acaulescence"
"gníomhaireacht","acaulescent"
"gníomhú","acauline"
"gnó","acaulose"
"gnólacht","acaulous"
"gnóthach","ACAWS"
"gnóthachan","ACB"
"go","ACBL"
"Gobharnóir","ACC"
"goddamn","acc."
"goid","acca"
"GOP","accable"
"gorm","Accad"
"Gort","accademia"
"Gortaítear","Accadian"
"gortú","Accalia"
"gosh","acce"
"grá","accede"
"grab","acceded"
"graf","accedence"
"grafach","acceder"
"gráin","acceders"
"gram","accedes"
"grámhar","acceding"
"grand","accel"
"gránna","accel."
"greann","accelerable"
"greannmhar","accelerando"
"gréasáin","accelerant"
"Gréigis","accelerate"
"greille","accelerated"
"greim","acceleratedly"
"gréine","accelerates"
"grianghraf","accelerating"
"grianghrafadóir","acceleratingly"
"grianghrafadóireacht","acceleration"
"Grianmhar","accelerations"
"grinn","accelerative"
"grósaera","accelerator"
"gruaige","acceleratory"
"gruama","accelerators"
"grúpa","accelerograph"
"gual","accelerometer"
"guí","accelerometers"
"guitar","accelerometer's"
"gúna","accend"
"gunna","accendibility"
"gut","accendible"
"guth","accensed"
"gutha","accension"
"Guy","accensor"
"ha","accent"
"haca","accented"
"hAfraice","accenting"
"Haigh","accentless"
"hairicín","accentor"
"hall","accentors"
"halla","accents"
"handful","accentuable"
"hang","accentual"
"haois","accentuality"
"hata","accentually"
"Heck","accentuate"
"héileacaptar","accentuated"
"hIaráice","accentuates"
"hide","accentuating"
"hip","accentuation"
"hipitéis","accentuations"
"Hispanic","accentuator"
"hmm","accentus"
"hoidhreacht","accept"
"honor","acceptability"
"hormone","acceptabilities"
"horror","acceptable"
"hoscailte","acceptableness"
"huaire","acceptably"
"hug","acceptance"
"huh","acceptances"
"Hunter","acceptance's"
"Hurry","acceptancy"
"i","acceptancies"
"iad","acceptant"
"iallach","acceptation"
"ialtóg","acceptavit"
"iar","accepted"
"iarann","acceptedly"
"iarbhír","acceptee"
"iargúlta","acceptees"
"iarnród","accepter"
"iarr","accepters"
"iarracht","acceptilate"
"iarraidh","acceptilated"
"iarratas","acceptilating"
"iarrthóir","acceptilation"
"Iarthuaisceart","accepting"
"iasacht","acceptingly"
"iasc","acceptingness"
"iascaireacht","acception"
"icon","acceptive"
"idéalach","acceptor"
"idé-eolaíocha","acceptors"
"idé-eolaíocht","acceptor's"
"idir","acceptress"
"idirbheart","accepts"
"idirbheartaíocht","accerse"
"idirbhriseadh","accersition"
"idirdhealú","accersitor"
"idirghabháil","access"
"idirghníomhaíocht","accessability"
"idirghníomhú","accessable"
"idirnáisiúnta","accessary"
"idirphlé","accessaries"
"idirthurais","accessarily"
"ifreann","accessariness"
"ignorant","accessaryship"
"il","accessed"
"illusion","accesses"
"im","accessibility"
"imbhalla","accessibilities"
"imdhíonach","accessible"
"imeacht","accessibleness"
"imeachta","accessibly"
"imeachtaí","accessing"
"imeall","accession"
"imíonn","accessional"
"imirce","accessioned"
"imirt","accessioner"
"imlíne","accessioning"
"imní","accessions"
"imníoch","accession's"
"imoibríonn","accessit"
"imoibriú","accessive"
"impire","accessively"
"Impireacht","accessless"
"impleacht","accessor"
"imreoir","accessory"
"imscaradh","accessorial"
"imscrúdaitheoir","accessories"
"imscrúdú","accessorii"
"imthoisc","accessorily"
"in","accessoriness"
"inacmhainne","accessory's"
"inbhuanaithe","accessorius"
"incháilithe","accessoriusorii"
"inchinn","accessorize"
"inchreidteacht","accessorized"
"Indian","accessorizing"
"infhaighteacht","accessors"
"infheisteoir","accessor's"
"infheistíocht","acciaccatura"
"Infheistiú","acciaccaturas"
"info","acciaccature"
"inghlactha","accidence"
"ingne","accidency"
"inimirce","accidencies"
"inimirceach","accident"
"iníon","accidental"
"iniúchadh","accidentalism"
"inmharthana","accidentalist"
"inmheánach","accidentality"
"inné","accidentally"
"innéacs","accidentalness"
"inneall","accidentals"
"innealtóir","accidentary"
"innealtóireacht","accidentarily"
"inniu","accidented"
"inrochtana","accidential"
"inscne","accidentiality"
"insint","accidently"
"insinte","accident-prone"
"inspioráid","accidents"
"INSPIRE","accidia"
"inspreagadh","accidias"
"instinct","accidie"
"institiúid","accidies"
"institiúideach","accinge"
"intinn","accinged"
"intleachtúil","accinging"
"íobairt","accipenser"
"íocaíocht","accipient"
"íogair","Accipiter"
"íogaireacht","accipitral"
"iolar","accipitrary"
"iomaíoch","Accipitres"
"iomaíocht","accipitrine"
"iomaire","accipter"
"iomaitheoir","accise"
"iomarcach","accismus"
"íomha","accite"
"iomlán","Accius"
"Iomlán","acclaim"
"iompar","acclaimable"
"iompraíochta","acclaimed"
"iompróir","acclaimer"
"íon","acclaimers"
"ionad","acclaiming"
"ionadaí","acclaims"
"Ionadaí","acclamation"
"ionadaíocht","acclamations"
"ionadh","acclamator"
"ionann","acclamatory"
"ioncam","acclimatable"
"ionchas","acclimatation"
"ionchorprú","acclimate"
"ionchúiseamh","acclimated"
"ionchúisitheoir","acclimatement"
"ionchur","acclimates"
"ionfhabhtú","acclimating"
"ionracas","acclimation"
"ionradh","acclimations"
"ionramháil","acclimatisable"
"ionsaí","acclimatisation"
"ionsaitheach","acclimatise"
"ionsaitheacha","acclimatised"
"ionstraim","acclimatiser"
"ionsú","acclimatising"
"iontach","acclimatizable"
"iontaise","acclimatization"
"iontaofa","acclimatizations"
"iontaofacht","acclimatize"
"iontas","acclimatized"
"iontráil","acclimatizer"
"íoróin","acclimatizes"
"íoslach","acclimatizing"
"íoslaghdú","acclimature"
"Ioslamach","acclinal"
"íoslódáil","acclinate"
"íospartach","acclivity"
"Iosraelach","acclivities"
"íosta","acclivitous"
"iostaí","acclivous"
"iPad","accloy"
"iphone","accoast"
"iris","accoy"
"iriseoir","accoyed"
"iriseoireacht","accoying"
"is","accoil"
"íseal","Accokeek"
"islam","accolade"
"isteach","accoladed"
"istigh","accolades"
"italian","accolated"
"ithe","accolent"
"ithir","accoll"
"iúil","accolle"
"jail","accolled"
"jar","accollee"
"jaw","Accomac"
"jeans","accombination"
"jewish","accommodable"
"joke","accommodableness"
"junk","accommodate"
"kid","accommodated"
"killer","accommodately"
"kinda","accommodateness"
"korean","accommodates"
"lá","accommodating"
"labhair","accommodatingly"
"lacha","accommodatingness"
"ladhar","accommodation"
"lag","accommodational"
"laghdú","accommodationist"
"láib","accommodations"
"láidir","accommodative"
"láidre","accommodatively"
"laige","accommodativeness"
"láimhseáil","accommodator"
"lainseáil","accommodators"
"laistigh","accomodate"
"láithreach","accompanable"
"láithreacht","accompany"
"láithreán","accompanied"
"lámh","accompanier"
"lámhach","accompanies"
"lámhaigh","accompanying"
"lámhainn","accompanyist"
"lampa","accompaniment"
"lán","accompanimental"
"lána","accompaniments"
"lánaimseartha","accompaniment's"
"lann","accompanist"
"lánúin","accompanists"
"laoch","accompanist's"
"Laochra","accomplement"
"lap","accompletive"
"lár","accompli"
"lárnach","accomplice"
"lasair","accomplices"
"lasc","accompliceship"
"lascaine","accomplicity"
"latin","accomplis"
"Lawn","accomplish"
"lawsuit","accomplishable"
"le","accomplished"
"leá","accomplisher"
"leaba","accomplishers"
"leabhar","accomplishes"
"leabharlann","accomplishing"
"léacht","accomplishment"
"Leadóg","accomplishments"
"leadránach","accomplishment's"
"leagan","accomplisht"
"leagtha","accompt"
"lean","accord"
"leanas","accordable"
"leanbh","accordance"
"leannán","accordances"
"leantóir","accordancy"
"leanúint","accordant"
"leanúnach","accordantly"
"leap","accordatura"
"léaráid","accordaturas"
"léargas","accordature"
"léarscáil","accorded"
"leas","accorder"
"leas-","accorders"
"léasair","according"
"léaslíne","accordingly"
"leasú","accordion"
"leataobh","accordionist"
"leath","accordionists"
"leathan","accordions"
"leathanach","accordion's"
"leathar","accords"
"leathbhealach","accorporate"
"leathcheann","accorporation"
"leathnaithe","accost"
"leathnú","accostable"
"léi","accosted"
"leibhéal","accosting"
"leiceann","accosts"
"leictreach","accouche"
"Leictreach","accouchement"
"leictreachas","accouchements"
"leictreonach","accoucheur"
"leid","accoucheurs"
"leifteanant","accoucheuse"
"léigh","accoucheuses"
"leigheas","accounsel"
"leighis","account"
"léim","accountability"
"Léim","accountabilities"
"léine","accountable"
"léir","accountableness"
"léiritheoir","accountably"
"léiriú","accountancy"
"léirmheas","accountancies"
"léirmheastóir","accountant"
"léirmhíniú","accountants"
"leisciúil","accountant's"
"léitheoir","accountantship"
"leithlis","accounted"
"leithlisiú","accounter"
"leithreas","accounters"
"leithscéal","accounting"
"leochaileacha","accountings"
"leon","accountment"
"leordhóthanach","accountrement"
"liath","accounts"
"liathróid","accouple"
"lig","accouplement"
"ligean","accourage"
"limistéar","accourt"
"líne","accouter"
"líníocht","accoutered"
"linn","accoutering"
"linne","accouterment"
"liobrálach","accouterments"
"líomhain","accouters"
"líomhnaítear","accoutre"
"líomhnaithe","accoutred"
"líomóid","accoutrement"
"líon","accoutrements"
"líonra","accoutres"
"lionsa","accoutring"
"liopa","Accoville"
"liosta","ACCRA"
"lipéad","accrease"
"liricí","accredit"
"liteartha","accreditable"
"litearthacht","accreditate"
"litir","accreditation"
"litríocht","accreditations"
"loch","accredited"
"lochán","accreditee"
"locht","accrediting"
"logchomhad","accreditment"
"logh","accredits"
"loighciúil","accrementitial"
"loighic","accrementition"
"lom","accresce"
"lón","accrescence"
"long","accrescendi"
"lonnaíocht","accrescendo"
"lorg","accrescent"
"lua","accretal"
"luach","accrete"
"luachmhar","accreted"
"luaidhe","accretes"
"luaigh","accreting"
"luas","accretion"
"luath","accretionary"
"lúb","accretions"
"luch","accretion's"
"luí","accretive"
"luibh","accriminate"
"Lúnasa","Accrington"
"lúthchleasaí","accroach"
"lúthchleasaíochta","accroached"
"ma'am","accroaching"
"mac","accroachment"
"macalla","accroides"
"macánta","accruable"
"machnamh","accrual"
"madra","accruals"
"magadh","accrue"
"máguaird","accrued"
"maidin","accruement"
"maidir","accruer"
"mail","accrues"
"máinlia","accruing"
"máinliacht","ACCS"
"mair","ACCT"
"mairfidh","acct."
"máirseáil","accts"
"mairteola","accubation"
"mais","accubita"
"máistir","accubitum"
"maité","accubitus"
"maith","accueil"
"maitheas","accultural"
"mála","acculturate"
"malartacha","acculturated"
"mall","acculturates"
"Mam","acculturating"
"mama","acculturation"
"mamaí","acculturational"
"maoin","acculturationist"
"maoiniú","acculturative"
"maoirseoir","acculturize"
"mar","acculturized"
"mara","acculturizing"
"marbh","accum"
"marc","accumb"
"march","accumbency"
"marcóir","accumbent"
"marfach","accumber"
"margadh","accumulable"
"margaíochta","accumulate"
"marijuana","accumulated"
"marthanais","accumulates"
"marú","accumulating"
"masc","accumulation"
"mata","accumulations"
"matamaitic","accumulativ"
"Máthair","accumulative"
"mbaineann","accumulatively"
"mboilgeog","accumulativeness"
"mboth","accumulator"
"meabhrach","accumulators"
"meabhrúchán","accumulator's"
"meáchan","accupy"
"méadar","accur"
"méadú","accuracy"
"méaduithe","accuracies"
"meafar","accurate"
"meáigh","accurately"
"meáin","accurateness"
"meaisín","accuratenesses"
"meall","accurre"
"Meall","accurse"
"meán","accursed"
"meantóir","accursedly"
"méara","accursedness"
"mearbhall","accursing"
"méarchlár","accurst"
"meas","accurtation"
"measartha","accus"
"meascán","accusable"
"measctha","accusably"
"measta","accusal"
"meastachán","accusals"
"meastóireacht","accusant"
"measúnú","accusants"
"meath","accusation"
"meicneoir","accusations"
"meicníocht","accusation's"
"meicniúil","accusatival"
"méid","accusative"
"Meiriceánach","accusative-dative"
"meitheamh","accusatively"
"meon","accusativeness"
"mercy","accusatives"
"mhaisiúil","accusator"
"mhaith","accusatory"
"mhaithe","accusatorial"
"Mhamó","accusatorially"
"mhaolú","accusatrix"
"mhargadh","accusatrixes"
"mharthanóir","accuse"
"mharú","accused"
"mheaitseáil","accuser"
"mhealladh","accusers"
"mheán","accuses"
"mheas","accusing"
"Mheicsiceo","accusingly"
"mhí","accusive"
"mhias","accusor"
"mhín","accustom"
"mhodhnú","accustomation"
"mhol","accustomed"
"mholadh","accustomedly"
"mhonarcha","accustomedness"
"mhór","accustoming"
"mhórbhealaigh","accustomize"
"mhothúchánach","accustomized"
"mhúineadh","accustomizing"
"mian","accustoms"
"mianach","Accutron"
"mícheart","ACD"
"míchompordach","ACDA"
"míchumais","AC-DC"
"mídhleathach","ACE"
"midst","acea"
"mil","aceacenaphthene"
"míle","aceae"
"míleata","acean"
"milis","aceanthrene"
"milleán","aceanthrenequinone"
"milliún","acecaffin"
"milseog","acecaffine"
"minicíocht","aceconitic"
"mínigh","aced"
"míniú","acedy"
"mí-oiriúnach","acedia"
"miondíola","acediamin"
"miondíoltóir","acediamine"
"mionlach","acedias"
"mionlaigh","acediast"
"Mionsamhail","ace-high"
"mionsonraí","Acey"
"mionsonraithe","acey-deucy"
"miotal","aceite"
"mír","aceituna"
"miracle","Aceldama"
"mise","aceldamas"
"misean","acellular"
"misneach","Acemetae"
"mistéireach","Acemetic"
"mí-úsáid","acemila"
"mm","acenaphthene"
"mm-hmm","acenaphthenyl"
"mmm","acenaphthylene"
"mo","acenesthesia"
"mód","acensuada"
"modh","acensuador"
"móide","acentric"
"móilín","acentrous"
"moill","aceology"
"móiminteam","aceologic"
"moladh","aceous"
"molta","acephal"
"mona","Acephala"
"monaróir","acephalan"
"moncaí","Acephali"
"mór","acephalia"
"mór-","Acephalina"
"móra","acephaline"
"morálta","acephalism"
"moráltacht","acephalist"
"morgáiste","Acephalite"
"mór-roinn","acephalocyst"
"mórthaibhseach","acephalous"
"moslamach","acephalus"
"mótair","acepots"
"mothú","acequia"
"mothúchánach","acequiador"
"mount","acequias"
"muc","Acer"
"muiceoil","Aceraceae"
"muileann","aceraceous"
"muinchille","Acerae"
"muineál","Acerata"
"muinín","acerate"
"muiníneach","acerated"
"múinteoir","Acerates"
"murascaill","acerathere"
"músaem","Aceratherium"
"muscle","aceratosis"
"Mystery","acerb"
"Myth","Acerbas"
"ná","acerbate"
"nacht","acerbated"
"nádúr","acerbates"
"nádúrtha","acerbating"
"naimhdeach","acerber"
"naíonán","acerbest"
"náire","acerbic"
"náisiún","acerbically"
"náisiúnta","acerbity"
"namhaid","acerbityacerose"
"naofa","acerbities"
"naoi","acerbitude"
"naomh","acerbly"
"nasc","acerbophobia"
"nathair","acerdol"
"Natural","aceric"
"ndáil","acerin"
"ndé","acerli"
"nead","acerola"
"néal","acerolas"
"neamhaird","acerose"
"neamh-bhrabaigh","acerous"
"neamhchiontach","acerra"
"neamhghnách","acers"
"neamhord","acertannin"
"neamhspleách","acerval"
"neamhspleáchas","acervate"
"néaróg","acervately"
"neart","acervatim"
"neartú","acervation"
"neodrach","acervative"
"nerve","acervose"
"nglacadh","acervuli"
"ní","acervuline"
"nialas","acervulus"
"nigh","aces"
"níl","ace's"
"níocháin","acescence"
"níos","acescency"
"nó","acescent"
"nocht","acescents"
"Nocht","aceship"
"nochtadh","Acesius"
"nod","acesodyne"
"nóiméad","acesodynous"
"Nollag","Acessamenus"
"nollaig","Acestes"
"none","acestoma"
"nonsense","acet-"
"nós","aceta"
"Nóta","acetable"
"n't","acetabula"
"nua","acetabular"
"nua-","Acetabularia"
"nua-aimseartha","acetabuliferous"
"nuacht","acetabuliform"
"nuachtán","acetabulous"
"nuálach","acetabulum"
"nuálaíocht","acetabulums"
"núicléach","acetacetic"
"ó","acetal"
"obair","acetaldehydase"
"ócáid","acetaldehyde"
"ócáideach","acetaldehydrase"
"ocht","acetaldol"
"ochtú","acetalization"
"ocras","acetalize"
"ocsaigin","acetals"
"odds","acetamid"
"ofráil","acetamide"
"óg","acetamidin"
"ógánach","acetamidine"
"oibiachtúil","acetamido"
"oibleagáid","acetamids"
"oibreacha","acetaminol"
"oibreoir","Acetaminophen"
"oibrí","acetanilid"
"oibriú","acetanilide"
"oibriúcháin","acetanion"
"oíche","acetaniside"
"oideachais","acetanisidide"
"oideachas","acetanisidine"
"oideachasóir","acetannin"
"oideas","acetary"
"oidhreacht","acetarious"
"oifig","acetars"
"oifigeach","acetarsone"
"oifigiúil","acetate"
"oifigiúla","acetated"
"óige","acetates"
"oigheann","acetation"
"oighear","acetazolamide"
"oileán","acetbromamide"
"Oilimpeacha","acetenyl"
"oiliúint","Acetes"
"oinniún","acethydrazide"
"óir","acetiam"
"oirdheisceart","acetic"
"oiriúnach","acetify"
"oiriúnú","acetification"
"ola","acetified"
"olc","acetifier"
"Ollainnis","acetifies"
"ollamh","acetifying"
"ollmhór","acetyl"
"ollphéist","acetylacetonates"
"ollscoile","acetylacetone"
"olóige","acetylamine"
"ólta","acetylaminobenzene"
"olympics","acetylaniline"
"onnmhairithe","acetylasalicylic"
"ooh","acetylate"
"Oráiste","acetylated"
"ordóg","acetylating"
"ordú","acetylation"
"orduithe","acetylative"
"órga","acetylator"
"orgán","acetylbenzene"
"orgánach","acetylbenzoate"
"orlach","acetylbenzoic"
"oscailte","acetylbiuret"
"osna","acetylcarbazole"
"ospidéal","acetylcellulose"
"óstach","acetylcholine"
