"Malayalam","English"
"കൗമാരം","abnormals"
"കൗമാരക്കാരൻ","abnormity"
"കക്ഷി","abnormities"
"കച്ചേരി","abnormous"
"കട","abnumerable"
"കടം","Abo"
"കടന്നു","aboard"
"കടന്നുപോകൽ","aboardage"
"കടന്നുപോകുക","Abobra"
"കടന്നുപോകുന്നു","abococket"
"കടപ്പെട്ടിരിക്കുന്നു","abodah"
"കടമ","abode"
"കടൽ","aboded"
"കടൽക്കൊള്ളക്കാരൻ","abodement"
"കടലാമ","abodes"
"കടിക്കുക","abode's"
"കടുപ്പമുള്ള","abody"
"കടുവ","aboding"
"കട്ടിയുള്ള","abogado"
"കഠിനമായ","abogados"
"കൺവെൻഷൻ","abohm"
"കൺസൾട്ടന്റ്","abohms"
"കണം","aboideau"
"കണക്കാക്കിയത്","aboideaus"
"കണക്കാക്കുക","aboideaux"
"കണക്കുകൂട്ടല്","aboil"
"കണക്ക്","aboiteau"
"കണക്ഷൻ","aboiteaus"
"കണങ്കാല്","aboiteaux"
"കണിശമായ","abolete"
"കണ്ടുപിടിക്കുക","abolish"
"കണ്ടുപിടുത്തം","abolishable"
"കണ്ടുമുട്ടുക","abolished"
"കണ്ടെത്തൽ","abolisher"
"കണ്ടെത്തി","abolishers"
"കണ്ടെത്തുക","abolishes"
"കണ്ടെത്തുന്നു","abolishing"
"കണ്ടെയ്നർ","abolishment"
"കണ്ണാടി","abolishments"
"കണ്ണ്","abolishment's"
"കത്തി","abolition"
"കത്തിക്കുക","abolitionary"
"കത്തുന്ന","abolitionise"
"കത്തോലിക്കൻ","abolitionised"
"കത്ത്","abolitionising"
"കഥ","abolitionism"
"കഥാനായകന്","abolitionist"
"കനത്ത","abolitionists"
"കനത്തിൽ","abolitionize"
"കനേഡിയൻ","abolitionized"
"കന്നുകാലികൾ","abolitionizing"
"കപ്പൽ","abolitions"
"കപ്പലോട്ടം","abolla"
"കപ്പ്","abollae"
"കഫേ","aboma"
"കമാൻഡർ","abomas"
"കമാൻഡ്","abomasa"
"കമ്പനി","abomasal"
"കമ്പ്യൂട്ടർ","abomasi"
"കമ്മി","abomasum"
"കമ്മിറ്റി","abomasus"
"കമ്മീഷണർ","abomasusi"
"കമ്മീഷൻ","A-bomb"
"കമ്മ്യൂണിസ്റ്റ്","abominability"
"കയർ","abominable"
"കയറുക","abominableness"
"കയറ്റുമതി","abominably"
"കയ്പേറിയ","abominate"
"കയ്യുറ","abominated"
"കയ്യൊപ്പ്","abominates"
"കരടി","abominating"
"കരയുക","abomination"
"കരൾ","abominations"
"കരാർ","abominator"
"കരാറുകാരൻ","abominators"
"കരിയർ","abomine"
"കരുതപ്പെടുന്നു","abondance"
"കരുതൽ","Abongo"
"കരുതുക","abonne"
"കർശനമായി","abonnement"
"കർഷകൻ","aboon"
"കറങ്ങുക","aborad"
"കറൻസി","aboral"
"കറുപ്പ്","aborally"
"കൽക്കരി","abord"
"കല","Aboriginal"
"കലം","aboriginality"
"കലണ്ടർ","aboriginally"
"കലാകാരൻ","aboriginals"
"കലാപം","aboriginary"
"കലാപരമായ","Aborigine"
"കലോറി","aborigines"
"കല്യാണം","aborigine's"
"കല്ല്","Abor-miri"
"കള","Aborn"
"കളക്ടർ","aborning"
"കളപ്പുര","a-borning"
"കളി","aborsement"
"കളിക്കാരൻ","aborsive"
"കളിക്കുക","abort"
"കളിപ്പാട്ടം","aborted"
"കളിമണ്ണ്","aborter"
"കള്ളം","aborters"
"കള്ളൻ","aborticide"
"കഴിക്കുക","abortient"
"കഴിഞ്ഞ","abortifacient"
"കഴിഞ്ഞു","abortin"
"കഴിയും","aborting"
"കഴിയുമായിരുന്നു","abortion"
"കഴിവുള്ള","abortional"
"കഴിവ്","abortionist"
"കഴുകൻ","abortionists"
"കഴുകുക","abortions"
"കഴുത","abortion's"
"കഴുത്ത്","abortive"
"കവചം","abortively"
"കവര്","abortiveness"
"കവര്ച്ച","abortogenic"
"കവർ","aborts"
"കവറേജ്","abortus"
"കവി","abortuses"
"കവിത","abos"
"കവിയുക","abote"
"കവിൾ","Abott"
"കഷണം","abouchement"
"കഷ്ടം","aboudikro"
"കഷ്ടപ്പാടുകൾ","abought"
"കഷ്ടിച്ച്","Aboukir"
"കസേര","aboulia"
"കസ്റ്റഡി","aboulias"
"കാട്","aboulic"
"കാണാതായി","abound"
"കാണിക്കുക","abounded"
"കാണുക","abounder"
"കാത്തിരിക്കുക","abounding"
"കാൻസർ","aboundingly"
"കാനേഷുമാരി","abounds"
"കാബിനറ്റ്","Abourezk"
"കാമുകൻ","about"
"കാമുകി","about-face"
"കാമ്പസ്","about-faced"
"കാമ്പ്","about-facing"
"കായികം","abouts"
"കായികതാരം","about-ship"
"കാരണം","about-shipped"
"കാരണമാകുന്നു","about-shipping"
"കാരുണ്യം","about-sledge"
"കാര്യം","about-turn"
"കാര്യക്ഷമത","above"
"കാര്യക്ഷമമായ","aboveboard"
"കാര്യനിർവാഹകൻ","above-board"
"കാര്യമായ","above-cited"
"കാർ","abovedeck"
"കാർട്ട്","above-found"
"കാർഡ്","above-given"
"കാർബൺ","aboveground"
"കാർബോഹൈഡ്രേറ്റ്","abovementioned"
"കാർഷിക","above-mentioned"
"കാറ്റ്","above-named"
"കാൽ","aboveproof"
"കാൽവിരൽ","above-quoted"
"കാലഘട്ടം","above-reported"
"കാലതാമസം","aboves"
"കാലാവധി","abovesaid"
"കാലാവസ്ഥ","above-said"
"കാല്","abovestairs"
"കാള","above-water"
"കാഴ്ച","above-written"
"കാഴ്ചക്കാരൻ","abow"
"കാവൽ","abox"
"കാഷ്വൽ","Abp"
"കാസിനോ","ABPC"
"കാസ്റ്റ്","Abqaiq"
"കിംവദന്തി","abr"
"കിടക്ക","abr."
"കിടന്നു","Abra"
"കിടപ്പുമുറി","abracadabra"
"കിരണം","abrachia"
"കിരീടം","abrachias"
"കിറ്റ്","abradable"
"കിഴക്ക്","abradant"
"കിഴിവ്","abradants"
"കീബോർഡ്","abrade"
"കീറുക","abraded"
"കീഴിൽ","abrader"
"കീഴോട്ടിറങ്ങുക","abraders"
"കീഴ്ഭാഗത്ത്","abrades"
"കുക്കി","abrading"
"കുഞ്ഞേ","Abraham"
"കുഞ്ഞ്","Abrahamic"
"കുടം","Abrahamidae"
"കുടൽ","Abrahamite"
"കുടിക്കുന്നു","Abrahamitic"
"കുടിയേറ്റം","Abraham-man"
"കുടിയേറ്റക്കാരൻ","Abrahams"
"കുടുംബം","Abrahamsen"
"കുട്ടി","Abrahan"
"കുട്ടിക്കാലം","abray"
"കുതികാൽ","abraid"
"കുതിച്ചുചാട്ടം","Abram"
"കുതിച്ചുയരുക","Abramis"
"കുതിര","Abramo"
"കുത്തനെയുള്ള","Abrams"
"കുപ്പായക്കഴുത്ത്","Abramson"
"കുപ്പി","Abran"
"കുമിള","abranchial"
"കുരങ്ങൻ","abranchialism"
"കുരിശ്","abranchian"
"കുരുമുളക്","Abranchiata"
"കുറച്ച്","abranchiate"
"കുറഞ്ഞത്","abranchious"
"കുറയുന്നു","abrasax"
"കുറയ്ക്കൽ","abrase"
"കുറയ്ക്കുക","abrased"
"കുറവ്","abraser"
"കുറിച്ച്","abrash"
"കുറിപ്പടി","abrasing"
"കുറിപ്പ്","abrasiometer"
"കുറുകെ","abrasion"
"കുറ്റകരമായ","abrasions"
"കുറ്റകൃത്യം","abrasion's"
"കുറ്റക്കാരൻ","abrasive"
"കുറ്റപ്പെടുത്തുക","abrasively"
"കുറ്റപ്പെടുത്തുന്നു","abrasiveness"
"കുറ്റബോധം","abrasivenesses"
"കുറ്റമായാണ്","abrasives"
"കുറ്റവാളി","abrastol"
"കുല","abraum"
"കുലുക്കുക","abraxas"
"കുളം","abrazite"
"കുളി","abrazitic"
"കുളിമുറി","abrazo"
"കുഴപ്പം","abrazos"
"കുഴി","abreact"
"കുഴിക്കുക","abreacted"
"കുഴിമാടം","abreacting"
"കുഴെച്ചതുമുതൽ","abreaction"
"കൂടാതെ","abreactions"
"കൂടാതെ/അല്ലെങ്കിൽ","abreacts"
"കൂടാരം","abreast"
"കൂടിച്ചേർന്ന്","abreed"
"കൂടിയാലോചിക്കുക","abrege"
"കൂടുതൽ","abreid"
"കൂടുതലായി","abrenounce"
"കൂടുതലും","abrenunciate"
"കൂടെ","abrenunciation"
"കൂടെക്കൂടെ","abreption"
"കൂടെപ്പോവുക","abret"
"കൂട്","abreuvoir"
"കൂട്ടത്തിൽ","abri"
"കൂട്ടായ","abrico"
"കൂട്ടിച്ചേർക്കൽ","abricock"
"കൂട്ടിച്ചേർക്കും","abricot"
"കൂട്ടിച്ചേർക്കുക","abridgable"
"കൂട്ടിച്ചേർത്തു","abridge"
"കൂട്ടിൽ","abridgeable"
"കൂട്ടുകക്ഷി","abridged"
"കൂട്ടുകാരൻ","abridgedly"
"കൂലിക്ക്","abridgement"
"കൃതിമമായ","abridgements"
"കൃത്യത","abridger"
"കൃത്യമായ","abridgers"
"കൃത്യമായി","abridges"
"കൃത്യമായും","abridging"
"കൃപ","abridgment"
"കൃഷി","abridgments"
"കെട്ടിടം","abrim"
"കെട്ടുക","abrin"
"കെട്ടുകഥ","abrine"
"കെണി","abris"
"കെയർ","abristle"
"കൊച്ചു","abroach"
"കൊട്ടയിൽ","abroad"
"കൊട്ടാരം","Abrocoma"
"കേക്ക്","abrocome"
"കേടുപാടുകൾ","abrogable"
"കേണൽ","abrogate"
"കേന്ദ്ര","abrogated"
"കേന്ദ്രം","abrogates"
"കേബിൾ","abrogating"
"കേൾക്കുക","abrogation"
"കേൾവി","abrogations"
"കേൾവിക്കാരൻ","abrogative"
"കേവല","abrogator"
"കേവലം","abrogators"
"കേസെടുക്കുക","Abroma"
"കേസ്","Abroms"
"കോഡ്","Abronia"
"കോൺ","abrood"
"കോഫി","abrook"
"കോളം","abrosia"
"കോഴ","abrosias"
"കോഴി","abrotanum"
"കൈ","abrotin"
"കൈക്ക്","abrotine"
"കൈത്തണ്ട","abrupt"
"കൈമാറ്റം","abruptedly"
"കൈമുട്ട്","abrupter"
"കൈവശം","abruptest"
"കൈവശപ്പെടുത്തൽ","abruptio"
"കൈവശമാക്കുക","abruption"
"കൊടുക്കുക","abruptiones"
"കൊടുങ്കാറ്റ്","abruptly"
"കൊടുമുടി","abruptness"
"കൊണ്ടുപോകുക","Abrus"
"കൊണ്ടുവരിക","Abruzzi"
"കൊത്തുക","ABS"
"കൊമ്പ്","abs-"
"കൊറിയൻ","Absa"
"കൊലപാതകം","Absalom"
"കൊലപാതകി","absampere"
"കൊലയാളി","Absaraka"
"കൊല്ലുക","Absaroka"
"കൊല്ലുന്നു","Absarokee"
"കൊളസ്ട്രോൾ","absarokite"
"കൊളുത്ത്","ABSBH"
"കൊളോണിയൽ","abscam"
"കൊള്ളാം","abscess"
"കൊഴുപ്പ്","abscessed"
"കോടതി","abscesses"
"കോടതിമുറി","abscessing"
"കോട്ട","abscession"
"കോട്ട്","abscessroot"
"കോൺക്രീറ്റ്","abscind"
"കോൺഗ്രസുകാരൻ","abscise"
"കോൺഗ്രസ്","abscised"
"കോപം","abscises"
"കോമിക്","abscisin"
"കോമ്പിനേഷൻ","abscising"
"കോർഡിനേറ്റർ","abscisins"
"കോർപ്പറേറ്റ്","abscision"
"കോർപ്പറേഷൻ","absciss"
"കോർപ്സ്","abscissa"
"കോളനി","abscissae"
"കോളമിസ്റ്റ്","abscissas"
"കോളേജ്","abscissa's"
"കോഴ്സ്","abscisse"
"ക്യാൻവാസ്","abscissin"
"ക്യാപ്റ്റൻ","abscission"
"ക്യാമറ","abscissions"
"ക്യാമ്പ്","absconce"
"ക്യൂ","abscond"
"ക്രമം","absconded"
"ക്രമക്കേട്","abscondedly"
"ക്രമരഹിതമായ","abscondence"
"ക്രമീകരണം","absconder"
"ക്രമീകരിക്കൽ","absconders"
"ക്രമീകരിക്കുക","absconding"
"ക്രമേണ","absconds"
"ക്രഷ്","absconsa"
"ക്രാഫ്റ്റ്","abscoulomb"
"ക്രിസ്തുമതം","abscound"
"ക്രിസ്ത്യൻ","Absecon"
"ക്രിസ്മസ്","absee"
"ക്രിസ്റ്റൽ","absey"
"ക്രീം","abseil"
"ക്രൂ","abseiled"
"ക്രൂയിസ്","abseiling"
"ക്രൂരമായ","abseils"
"ക്രെഡിറ്റ്","absence"
"ക്രോണിക്കിൾ","absences"
"ക്രോധം","absence's"
"ക്ലബ്ബ്","absent"
"ക്ലസ്റ്റർ","absentation"
"ക്ലാസിക്","absented"
"ക്ലാസിക്കൽ","absentee"
"ക്ലാസ്","absenteeism"
"ക്ലിനിക്കൽ","absentees"
"ക്ലിനിക്ക്","absentee's"
"ക്ലിപ്പ്","absenteeship"
"ക്ലോക്ക്","absenter"
"ക്ലോസ്","absenters"
"ക്വാണ്ടം","absentia"
"ക്വാർട്ടർബാക്ക്","absenting"
"ക്ഷണം","absently"
"ക്ഷണിക്കുക","absentment"
"ക്ഷമ","absentminded"
"ക്ഷമയാചിക്കുക","absent-minded"
"ക്ഷമാപണം","absentmindedly"
"ക്ഷമിക്കണം","absent-mindedly"
"ക്ഷാമം","absentmindedness"
"ക്ഷേത്രം","absent-mindedness"
"ക്ഷേമം","absentmindednesses"
"ഖണ്ഡിക","absentness"
"ഖര","absents"
"ഖേദം","absfarad"
"ഗൗരവമായി","abshenry"
"ഗംഭീരം","Abshier"
"ഗംഭീരമായ","Absi"
"ഗണിതശാസ്ത്രം","absinth"
"ഗണ്യമായ","absinthe"
"ഗണ്യമായി","absinthes"
"ഗതാഗതം","absinthial"
"ഗർഭം","absinthian"
"ഗർഭച്ഛിദ്രം","absinthiate"
"ഗർഭധാരണം","absinthiated"
"ഗർഭിണിയായ","absinthiating"
"ഗൾഫ്","absinthic"
"ഗവർണർ","absinthiin"
"ഗവേഷകൻ","absinthin"
"ഗവേഷണം","absinthine"
"ഗായകൻ","absinthism"
"ഗാരേജ്","absinthismic"
"ഗാലക്സി","absinthium"
"ഗാലൺ","absinthol"
"ഗാലറി","absinthole"
"ഗാസോലിന്","absinths"
"ഗിയര്","Absyrtus"
"ഗിറ്റാർ","absis"
"ഗുണമേന്മയുള്ള","absist"
"ഗുമസ്തൻ","absistos"
"ഗുരുതരമായ","absit"
"ഗുരുത്വാകർഷണം","absmho"
"ഗുളിക","absohm"
"ഗുഹ","absoil"
"ഗൂഢാലോചന","absolent"
"ഗേറ്റ്","Absolute"
"ഗോതമ്പ്","absolutely"
"ഗോത്രം","absoluteness"
"ഗോപുരം","absoluter"
"ഗോൾഫ്","absolutes"
"ഗോളം","absolutest"
"ഗ്യാരണ്ടി","absolution"
"ഗ്രഹം","absolutions"
"ഗ്രഹിക്കുക","absolutism"
"ഗ്രഹിക്കുന്നു","absolutist"
"ഗ്രഹിച്ചു","absolutista"
"ഗ്രാം","absolutistic"
"ഗ്രാന്റ്","absolutistically"
"ഗ്രാഫിക്","absolutists"
"ഗ്രാഫ്","absolutive"
"ഗ്രാമം","absolutization"
"ഗ്രാമീണ","absolutize"
"ഗ്രിഡ്","absolutory"
"ഗ്രീക്ക്","absolvable"
"ഗ്രേഡ്","absolvatory"
"ഗ്ലാസ്","absolve"
"ഗ്ലോബ്","absolved"
"ഘടകം","absolvent"
"ഘടന","absolver"
"ഘടനാപരമായ","absolvers"
"ഘട്ടം","absolves"
"ചക്രം","absolving"
"ചക്രവർത്തി","absolvitor"
"ചക്രവാളം","absolvitory"
"ചങ്ക്","absonant"
"ചങ്ങല","absonous"
"ചടങ്ങ്","absorb"
"ചട്ടം","absorbability"
"ചട്ടക്കൂട്","absorbable"
"ചതിക്കുക","absorbance"
"ചന്ദ്രൻ","absorbancy"
"ചരക്ക്","absorbant"
"ചരട്","absorbed"
"ചരിത്രം","absorbedly"
"ചരിത്രകാരൻ","absorbedness"
"ചരിത്രപരം","absorbefacient"
"ചരിത്രപരമായ","absorbency"
"ചരിത്രപരമായി","absorbencies"
"ചരിവ്","absorbent"
"ചർച്ച","absorbents"
"ചലനം","absorber"
"ചലനാത്മകം","absorbers"
"ചലനാത്മകത","absorbing"
"ചവയ്ക്കുക","absorbingly"
"ചവറ്റുകുട്ട","absorbition"
"ചാക്ക്","absorbs"
"ചാടുക","absorbtion"
"ചാട്ടവാറടി","absorpt"
"ചാനൽ","absorptance"
"ചാമ്പ്യൻ","absorptiometer"
"ചാമ്പ്യൻഷിപ്പ്","absorptiometric"
"ചായ","absorption"
"ചാരം","absorptional"
"ചാരൻ","absorptions"
"ചാരനിറം","absorption's"
"ചാരിറ്റി","absorptive"
"ചാരുത","absorptively"
"ചാർട്ടർ","absorptiveness"
"ചാർട്ട്","absorptivity"
"ചാറ്റ്","absquatulate"
"ചികിത്സ","absquatulation"
"ചികിത്സിക്കുക","abstain"
"ചിത്രം","abstained"
"ചിത്രകാരൻ","abstainer"
"ചിത്രീകരിക്കുക","abstainers"
"ചിന്തിക്കുക","abstaining"
"ചിന്തിക്കുന്നതെന്ന്","abstainment"
"ചിന്തിച്ചു","abstains"
"ചിന്നിച്ചിതറുക","abstemious"
"ചിപ്പ്","abstemiously"
"ചിരി","abstemiousness"
"ചിരിക്കുക","abstention"
"ചിറക്","abstentionism"
"ചിലത്","abstentionist"
"ചിലപ്പോൾ","abstentions"
"ചിഹ്നം","abstentious"
"ചീസ്","absterge"
"ചുംബിക്കുക","absterged"
"ചുടേണം","abstergent"
"ചുണ്ടുകൾ","absterges"
"ചുമതല","absterging"
"ചുമത്തുന്നതു","absterse"
"ചുരുക്കത്തിൽ","abstersion"
"ചുരുക്കത്തിലുള്ള","abstersive"
"ചുരുങ്ങിയത്","abstersiveness"
"ചുരുങ്ങുക","abstertion"
"ചുറ്റിക","abstinence"
"ചുറ്റും","abstinences"
"ചുറ്റുമുള്ള","abstinency"
"ചുഴലിക്കാറ്റ്","abstinent"
"ചുവപ്പ്","abstinential"
"ചൂടാക്കൽ","abstinently"
"ചൂടുള്ള","abstort"
"ചൂട്","abstr"
"ചെക്ക്","abstract"
"ചെന്നായ","abstractable"
"ചെയർമാൻ","abstracted"
"ചെയ്തത്","abstractedly"
"ചെയ്യും","abstractedness"
"ചെയ്യുക","abstracter"
"ചെറിയ","abstracters"
"ചെറിയമുറി","abstractest"
"ചെറുതാക്കുക","abstracting"
"ചെറുതായി","abstraction"
"ചെറുത്","abstractional"
"ചെറുത്തുനിൽക്കുക","abstractionism"
"ചെറുപ്പക്കാർ","abstractionist"
"ചെലവഴിക്കുക","abstractionists"
"ചെലവഴിക്കുന്നത്","abstractions"
"ചെലവേറിയ","abstraction's"
"ചെലവ്","abstractitious"
"ചെളി","abstractive"
"ചെവി","abstractively"
"ചേട്ടാ","abstractiveness"
"ചേരുക","abstractly"
"ചേർക്കുക","abstractness"
"ചോളം","abstractnesses"
"ചൈനീസ്","abstractor"
"ചൊവ്വാഴ്ച","abstractors"
"ചോക്കലേറ്റ്","abstractor's"
"ചോദിക്കുക","abstracts"
"ചോദ്യം","abstrahent"
"ചോദ്യാവലി","abstrict"
"ചോർച്ച","abstricted"
"ഛായാചിത്രം","abstricting"
"ജങ്ക്","abstriction"
"ജഡ്ജി","abstricts"
"ജനകീയമായ","abstrude"
"ജനക്കൂട്ടം","abstruse"
"ജനനം","abstrusely"
"ജനപ്രീതി","abstruseness"
"ജനവിധി","abstrusenesses"
"ജനസംഖ്യ","abstruser"
"ജനസംഖ്യാപരമായ","abstrusest"
"ജനാധിപത്യം","abstrusion"
"ജനാധിപത്യപരമായ","abstrusity"
"ജനാധിപത്യഭരണം","abstrusities"
"ജനാധിപത്യവാദി","absume"
"ജനിച്ചത്","absumption"
"ജനിതകമായ","absurd"
"ജനുവരി","absurder"
"ജന്മദിനം","absurdest"
"ജയിക്കുക","absurdism"
"ജയിൽ","absurdist"
"ജർമ്മൻ","absurdity"
"ജാക്കറ്റ്","absurdities"
"ജാപ്പനീസ്","absurdity's"
"ജാമ്യം","absurdly"
"ജാലകം","absurdness"
"ജാലവിദ്യ","absurds"
"ജാസ്","absurdum"
"ജിം","absvolt"
"ജിജ്ഞാസ","abt"
"ജില്ല","abterminal"
"ജീൻ","abthain"
"ജീൻസ്","abthainry"
"ജീവനക്കാരൻ","abthainrie"
"ജീവനക്കാർ","abthanage"
"ജീവനോടെ","abtruse"
"ജീവശാസ്ത്രം","Abu"
"ജീവശാസ്ത്രപരമായ","abubble"
"ജീവി","Abu-Bekr"
"ജീവിക്കുക","Abucay"
"ജീവിക്കുന്നു","abucco"
"ജീവിതം","abuilding"
"ജീവിതകാലം","Abukir"
"ജീവിതശൈലി","abuleia"
"ജുഡീഷ്യൽ","Abulfeda"
"ജൂൺ","abulia"
"ജൂതൻ","abulias"
"ജൂറി","abulic"
"ജൂലൈ","abulyeit"
"ജെറ്റ്","abulomania"
"ജേണൽ","abumbral"
"ജൈവ","abumbrellar"
"ജോഡി","Abuna"
"ജോലി","abundance"
"ജോലിസ്ഥലം","abundances"
"ജ്ഞാനം","abundancy"
"ജ്ഞാനി","abundant"
"ജ്യൂസ്","Abundantia"
"ജ്യോതിശാസ്ത്രജ്ഞൻ","abundantly"
"ജ്വാല","abune"
"ഞങ്ങൾ","abura"
"ഞങ്ങളുടെ","aburabozu"
"ഞങ്ങളെ","aburagiri"
"ഞായറാഴ്ച","aburban"
"ഞെട്ടൽ","Abury"
"ടക്ക്","aburst"
"ടച്ച്ഡൗൺ","aburton"
"ടയർ","abusable"
"ടർക്കി","abusage"
"ടവൽ","abuse"
"ടാഗ്","abused"
"ടാങ്ക്","abusedly"
"ടാപ്പ്","abusee"
"ടാബ്","abuseful"
"ടാബ്ലറ്റ്","abusefully"
"ടാറ്റൂ","abusefulness"
"ടിക്കറ്റ്","abuser"
"ടിവി","abusers"
"ടി-ഷർട്ട്","abuses"
"ടിഷ്യു","abush"
"ടീം","abusing"
"ടീസ്പൂൺ","abusion"
"ടൂർണമെന്റ്","abusious"
"ടൂറിസ്റ്റ്","abusive"
"ടെൻഡർ","abusively"
"ടെന്നീസ്","abusiveness"
"ടെലിഫോണ്","abusivenesses"
"ടെലിവിഷൻ","abut"
"ടെസ്റ്റിംഗ്","Abuta"
"ടേപ്പ്","Abutilon"
"ടോൾ","abutilons"
"ടോൺ","abutment"
"ടോയ്ലറ്റ്","abutments"
"ടോസ്","abuts"
"ട്യൂബ്","abuttal"
"ട്യൂമർ","abuttals"
"ട്രക്ക്","abutted"
"ട്രഷറി","abutter"
"ട്രാക്ക്","abutters"
"ട്രിഗർ","abutter's"
"ട്രില്യൺ","abutting"
"ട്രെയിലർ","abuzz"
"ട്രെയ്സ്","abv"
"ട്വിറ്റർ","abvolt"
"ഡൗൺലോഡ്","abvolts"
"ഡക്ക്","abwab"
"ഡച്ച്","abwatt"
"ഡയറി","abwatts"
"ഡയലോഗ്","ac"
"ഡസൻ","ac-"
"ഡാറ്റ","a-c"
"ഡാറ്റാബേസ്","AC/DC"
"ഡിഎൻഎ","ACAA"
"ഡിഗ്രി","Acacallis"
"ഡിജിറ്റൽ","acacatechin"
"ഡിറ്റക്ടീവ്","acacatechol"
"ഡിവിഷൻ","Acacea"
"ഡിസംബർ","Acaceae"
"ഡിസൈൻ","acacetin"
"ഡിസൈനർ","Acacia"
"ഡിസ്ക്","Acacian"
"ഡിസ്പ്ലേ","acacias"
"ഡീലർ","acaciin"
"ഡെക്ക്","acacin"
"ഡെഡ്ലൈൻ","acacine"
"ഡെപ്യൂട്ടി","acad"
"ഡെലിവറി","academe"
"ഡെവലപ്പർ","academes"
"ഡെസ്ക്ക്","Academy"
"ഡൈനിംഗ്","academia"
"ഡൊമെയ്ൻ","academial"
"ഡോക്","academian"
"ഡോക്ടർ","academias"
"ഡോക്യുമെന്ററി","Academic"
"ഡോട്ട്","academical"
"ഡോളർ","academically"
"ഡോസ്","academicals"
"ഡ്രം","academician"
"ഡ്രാഗൺ","academicians"
"ഡ്രാഫ്റ്റ്","academicianship"
"ഡ്രിഫ്റ്റ്","academicism"
"ഡ്രിൽ","academics"
"ഡ്രോയിംഗ്","academie"
"ഡ്രൈവർ","academies"
"ഡ്രൈവിംഗ്","academy's"
"ഡ്രോപ്പ്","academise"
"ഡ്രോയർ","academised"
"തകര്ച്ച","academising"
"തകർച്ച","academism"
"തകർന്നു","academist"
"തക്കാളി","academite"
"തടയാൻ","academization"
"തടയുക","academize"
"തടവുക","academized"
"തടവുകാരൻ","academizing"
"തടസ്സം","Academus"
"തടസ്സപ്പെടുത്തുക","Acadia"
"തടാകം","acadialite"
"തണല്","Acadian"
"തണുത്ത","Acadie"
"തണുപ്പ്","Acaena"
"തണ്ട്","acajou"
"തത്തുല്യമായ","acajous"
"തത്ഫലമായി","acal"
"തത്വം","acalculia"
"തത്വശാസ്ത്രം","acale"
"തത്വശാസ്ത്രപരമായ","acaleph"
"തദ്ദേശീയമായ","Acalepha"
"തന്തയില്ലാത്തവൻ","Acalephae"
"തന്ത്രം","acalephan"
"തന്ത്രപരമായ","acalephe"
"തന്നെ","acalephes"
"തന്മാത്ര","acalephoid"
"തമാശ","acalephs"
"തയ്യാറാക്കുക","Acalia"
"തയ്യാറാണ്","acalycal"
"തയ്യാറെടുപ്പ്","acalycine"
"തരം","acalycinous"
"തരംഗം","acalyculate"
"തരംതിരിക്കുക","Acalypha"
"തർക്കം","Acalypterae"
"തറ","Acalyptrata"
"തൽക്ഷണം","Acalyptratae"
"തല","acalyptrate"
"തലക്കെട്ട്","Acamar"
"തലച്ചോറ്","Acamas"
"തലമുറ","Acampo"
"തലയണ","acampsia"
"തലയാട്ടുക","acana"
"തലയോട്ടി","acanaceous"
"തലവൻ","acanonical"
"തലവേദന","acanth"
"തളർന്നു","acanth-"
"തള്ളുക","acantha"
"തവിട്ട്","Acanthaceae"
"താക്കോൽ","acanthaceous"
"താങ്കളുടെ","acanthad"
"താങ്ങാൻ","Acantharia"
"താങ്ങാനാവുന്ന","acanthi"
"താടി","Acanthia"
"താടിയെല്ല്","acanthial"
"താപനില","acanthin"
"താമസം","acanthine"
"താമസക്കാരൻ","acanthion"
"താമസിക്കുക","acanthite"
"താമസിപ്പിക്കുക","acantho-"
"താരതമ്യം","acanthocarpous"
"താരതമ്യേന","Acanthocephala"
"താരതമ്യേനെ","acanthocephalan"
"താൽക്കാലിക","Acanthocephali"
"താല്പര്യം","acanthocephalous"
"താളം","Acanthocereus"
"താഴത്തെ","acanthocladous"
"താഴെ","Acanthodea"
"താഴേക്ക്","acanthodean"
"താഴ്ന്ന","Acanthodei"
"താഴ്വര","Acanthodes"
"തികച്ചും","acanthodian"
"തികഞ്ഞ","Acanthodidae"
"തിങ്കളാഴ്ച","Acanthodii"
"തിന്നുന്നു","Acanthodini"
"തിന്മ","acanthoid"
"തിമിംഗലം","Acantholimon"
"തിയേറ്റർ","acantholysis"
"തിരക്ക്","acanthology"
"തിരഞ്ഞെടുക്കുക","acanthological"
"തിരഞ്ഞെടുപ്പ്","acanthoma"
"തിരയുക","acanthomas"
"തിരശ്ശീല","Acanthomeridae"
"തിരികെ","acanthon"
"തിരിച്ചറിയൽ","Acanthopanax"
"തിരിച്ചറിയാത്തത്","Acanthophis"
"തിരിച്ചറിയുക","acanthophorous"
"തിരിച്ചുവിളിക്കുക","acanthopod"
"തിരുകുക","acanthopodous"
"തിരുത്തൽ","acanthopomatous"
"തിരുത്തുക","acanthopore"
"തിളങ്ങുക","acanthopteran"
"തിളപ്പിക്കുക","Acanthopteri"
"തീ","acanthopterygian"
"തീം","Acanthopterygii"
"തീപ്പൊരി","acanthopterous"
"തീയതി","acanthoses"
"തീരം","acanthosis"
"തീരദേശ","acanthotic"
"തീരുമാനം","acanthous"
"തീരുമാനിക്കുക","Acanthuridae"
"തീർച്ചയായും","Acanthurus"
"തീർപ്പാക്കുക","acanthus"
