"Turkmen","English"
"gutarýar","absoil"
"gutulgysyz","absolent"
"gutulmak","Absolute"
"guty","absolutely"
"güýç","absoluteness"
"güýçlendiriň","absoluter"
"güýçlendirmek","absolutes"
"güýçli","absolutest"
"guýmak","absolution"
"güýmenje","absolutions"
"guýrugy","absolutism"
"gygyr","absolutist"
"gykylyk","absolutista"
"gylyç","absolutistic"
"gymmat","absolutistically"
"gymmatly","absolutists"
"gymmaty","absolutive"
"gynandyryjy","absolutization"
"gynansakda","absolutize"
"gyrasy","absolutory"
"gyrmyzy","absolvable"
"gyş","absolvatory"
"gysga","absolve"
"gysgaça","absolved"
"gysganma","absolvent"
"gysmak","absolver"
"gyssagly","absolvers"
"gyz","absolves"
"gyzgalaň","absolving"
"gyzgyn","absolvitor"
"gyzy","absolvitory"
"gyzyklanma","absonant"
"gyzyklanýar","absonous"
"gyzykly","absorb"
"gyzyl","absorbability"
"gyzzyrma","absorbable"
"ha","absorbance"
"hä","absorbancy"
"habar","absorbant"
"habarçy","absorbed"
"habarlar","absorbedly"
"habarlaşmak","absorbedness"
"habarly","absorbefacient"
"habarlylyk","absorbency"
"haç","absorbencies"
"haçan","absorbent"
"hadysasy","absorbents"
"hajathana","absorber"
"hakda","absorbers"
"häkim","absorbing"
"häkimiýet","absorbingly"
"hakykat","absorbition"
"hakykatdan","absorbs"
"hakykatdanam","absorbtion"
"hakyky","absorpt"
"halaýan","absorptance"
"halk","absorptiometer"
"halkara","absorptiometric"
"Halloween","absorption"
"halta","absorptional"
"haly","absorptions"
"halypasy","absorption's"
"hammam","absorptive"
"hamyr","absorptively"
"hanym","absorptiveness"
"hapa","absorptivity"
"hapalanmagy","absquatulate"
"harby","absquatulation"
"harçlamak","abstain"
"harp","abstained"
"haryt","abstainer"
"hasa","abstainers"
"hasaby","abstaining"
"hasapla","abstainment"
"hasaplamak","abstains"
"hasaplaň","abstemious"
"hasaplaşyk","abstemiously"
"hasaplaýjy","abstemiousness"
"häsiýet","abstention"
"häsiýetlendirmek","abstentionism"
"häsiýetli","abstentionist"
"hasrat","abstentions"
"hassahana","abstentious"
"hat","absterge"
"hatar","absterged"
"hatda","abstergent"
"hawa","absterges"
"haýal","absterging"
"haýran","absterse"
"haýsy","abstersion"
"haýwan","abstersive"
"haýyr-sahawat","abstersiveness"
"haýyş","abstertion"
"hazyna","abstinence"
"heck","abstinences"
"hekaýa","abstinency"
"heläkçilik","abstinent"
"hemaýatkär","abstinential"
"hemaýatkäri","abstinently"
"hemişe","abstort"
"hemişelik","abstr"
"hemmeler","abstract"
"hemmesi","abstractable"
"hemmetaraplaýyn","abstracted"
"hemra","abstractedly"
"henizem","abstractedness"
"hepde","abstracter"
"hepdede","abstracters"
"hereket","abstractest"
"hereketlendiriji","abstracting"
"Hers","abstraction"
"hersi","abstractional"
"hey","abstractionism"
"heýkel","abstractionist"
"heýkeltaraşlyk","abstractionists"
"hiç","abstractions"
"hile","abstraction's"
"hili","abstractitious"
"himiki","abstractive"
"Himiýa","abstractively"
"hindi","abstractiveness"
"hirurg","abstractly"
"hmm","abstractness"
"hödürlemek","abstractnesses"
"hokkeý","abstractor"
"hökman","abstractors"
"höküm","abstractor's"
"hökümet","abstracts"
"hormat","abstrahent"
"hoşniýetlilik","abstrict"
"hossarlyk","abstricted"
"howa","abstricting"
"howandary","abstriction"
"höweslendiriji","abstricts"
"höweslendiriň","abstrude"
"höweslendiriş","abstruse"
"höweslendirmek","abstrusely"
"howlukma","abstruseness"
"howly","abstrusenesses"
"howp","abstruser"
"howply","abstrusest"
"howpsuz","abstrusion"
"howpsuzlyk","abstrusity"
"howsala","abstrusities"
"höwürtge","absume"
"howuz","absumption"
"hoz","absurd"
"Hristian","absurder"
"Hristiýanlyk","absurdest"
"Hronika","absurdism"
"hudaý","absurdist"
"hüjüm","absurdity"
"hukugy","absurdities"
"hünäri","absurdity's"
"hünärmen","absurdly"
"hususan-da","absurdness"
"hususy","absurds"
"hyjuw","absurdum"
"hyjuwly","absvolt"
"hyýal","abt"
"hyýaly","abterminal"
"hyzmat","abthain"
"hyzmatdaş","abthainry"
"hyzmatdaşlygy","abthainrie"
"hyzmatdaşlyk","abthanage"
"hyzmatkär","abtruse"
"iber","Abu"
"iblis","abubble"
"içaly","Abu-Bekr"
"içege","Abucay"
"içerki","abucco"
"içgi","abuilding"
"içgysgynç","Abukir"
"içinde","abuleia"
"içine","Abulfeda"
"içki","abulia"
"ideal","abulias"
"ideg","abulic"
"ideologiki","abulyeit"
"ideologiýasy","abulomania"
"iki","abumbral"
"ikinji","abumbrellar"
"ikirjiňlen","Abuna"
"ikisem","abundance"
"ilaty","abundances"
"ilçe","abundancy"
"ilçi","abundant"
"ilçihana","Abundantia"
"illýustrasiýa","abundantly"
"illýuziýa","abune"
"iman","abura"
"imanly","aburabozu"
"immigrant","aburagiri"
"immigrasiýa","aburban"
"immun","Abury"
"imperator","aburst"
"imperiýa","aburton"
"import","abusable"
"impuls","abusage"
"inçe","abuse"
"indeks","abused"
"Indi","abusedly"
"indiki","abusee"
"inedördül","abuseful"
"inerener","abusefully"
"inflýasiýa","abusefulness"
"infrastruktura","abuser"
"inisiatiwa","abusers"
"Injil","abuses"
"Iňlis","abush"
"iňňe","abusing"
"innowasiýa","abusion"
"inspektor","abusious"
"instinkt","abusive"
"institusional","abusively"
"institut","abusiveness"
"insult","abusivenesses"
"integrasiýa","abut"
"intellektual","Abuta"
"interaktiw","Abutilon"
"interfeýsi","abutilons"
"internet","abutment"
"interwensiýa","abutments"
"inwentar","abuts"
"ipad","abuttal"
"iphone","abuttals"
"ipoteka","abutted"
"ir","abutter"
"iran","abutters"
"irden","abutter's"
"irish","abutting"
"iş","abuzz"
"işçi","abv"
"işdeş","abvolt"
"işgäri","abvolts"
"işgärler","abwab"
"işjeň","abwatt"
"islänine","abwatts"
"işläp","ac"
"isleg","ac-"
"islegli","a-c"
"işlemek","AC/DC"
"Islendik","ACAA"
"isleýän","Acacallis"
"isleýär","acacatechin"
"işleýär","acacatechol"
"ismurnalistika","Acacea"
"ispan","Acaceae"
"işsizlik","acacetin"
"it","Acacia"
"italýan","Acacian"
"itergi","acacias"
"itme","acaciin"
"iýiň","acacin"
"iýmek","acacine"
"iýmit","acad"
"iýmitlendirmek","academe"
"iýmitlenmek","academes"
"iýul","Academy"
"Iýun","academia"
"izolatmm","academial"
"izolýasiýa","academian"
"jady","academias"
"jadygöý","Academic"
"jadyly","academical"
"jam","academically"
"jan","academicals"
"jaň","academician"
"jandar","academicians"
"janköýer","academicianship"
"janyndan","academicism"
"jaý","academics"
"jaýlamak","academie"
"jaýlar","academies"
"jaz","academy's"
"jeans","academise"
"jedel","academised"
"jedeller","academising"
"jedelli","academism"
"jemgyýet","academist"
"jemgyýeti","academite"
"jemi","academization"
"jemlemek","academize"
"jemleýji","academized"
"jenap","academizing"
"jenaýat","Academus"
"jenaýatçy","Acadia"
"jenaýatçylykly","acadialite"
"jeňňel","Acadian"
"jennet","Acadie"
"jerime","Acaena"
"jeza","acajou"
"jikme-jik","acajous"
"jogap","acal"
"jogapkärçiligi","acalculia"
"jogapkärçilik","acale"
"jogapkärdir","acaleph"
"jorap","Acalepha"
"joşgun","Acalephae"
"journalisturnalist","acalephan"
"jübi","acalephe"
"jübüt","acalephes"
"jülgesi","acalephoid"
"jyns","acalephs"
"jynsparaz","Acalia"
"jynsparazlyk","acalycal"
"jynsy","acalycine"
"kabel","acalycinous"
"kabinet","acalyculate"
"käbir","Acalypha"
"kadalaşdyrmak","Acalypterae"
"kadalaşdyryjy","Acalyptrata"
"kadasy","Acalyptratae"
"kafe","acalyptrate"
"kagyz","Acamar"
"kakasy","Acamas"
"kakmak","Acampo"
"kaloriýa","acampsia"
"kamera","acana"
"kampaniýa","acanaceous"
"kampaniýasy","acanonical"
"kanadaly","acanth"
"kanagatlandyrmak","acanth-"
"kanal","acantha"
"kandidat","Acanthaceae"
"kandidaturasy","acanthaceous"
"kanser","acanthad"
"kanun","Acantharia"
"kanunçylyk","acanthi"
"kanuny","Acanthia"
"kapasa","acanthial"
"kapitalizm","acanthin"
"kapitan","acanthine"
"karar","acanthion"
"kärdeşi","acanthite"
"kärendesi","acantho-"
"kärhana","acanthocarpous"
"karta","Acanthocephala"
"kartoşka","acanthocephalan"
"karýerasy","Acanthocephali"
"karz","acanthocephalous"
"käse","Acanthocereus"
"kaska","acanthocladous"
"kategoriýasy","Acanthodea"
"kätip","acanthodean"
"katolik","Acanthodei"
"Katolik","Acanthodes"
"käwagt","acanthodian"
"kawboý","Acanthodidae"
"kazino","Acanthodii"
"kazy","Acanthodini"
"kazyýet","acanthoid"
"kellesi","Acantholimon"
"kemçilik","acantholysis"
"kem-kemden","acanthology"
"kemsidiji","acanthological"
"kenar","acanthoma"
"kenarýaka","acanthomas"
"kepillik","Acanthomeridae"
"kepilnama","acanthon"
"keramatly","Acanthopanax"
"kerpiç","Acanthophis"
"keseki","acanthophorous"
"kesel","acanthopod"
"kesgitleme","acanthopodous"
"kesgitlemek","acanthopomatous"
"kesgitlemesi","acanthopore"
"kesgitlenen","acanthopteran"
"kesmek","Acanthopteri"
"keýp","acanthopterygian"
"keýpihonluk","Acanthopterygii"
"kiçeltmek","acanthopterous"
"kiçi","acanthoses"
"kiçijik","acanthosis"
"kim","acanthotic"
"kir","acanthous"
"kislorod","Acanthuridae"
"kislotasy","Acanthurus"
"kit","acanthus"
"kitap","acanthuses"
"kitaphanasy","acanthuthi"
"klassifikasiýa","acapnia"
"klassyky","acapnial"
"klawiatura","acapnias"
"klinika","acappella"
"kliniki","acapsular"
"klip","acapu"
"koalisiýa","Acapulco"
"köçe","acara"
"kody","Acarapis"
"kofe","acarari"
"kök","acardia"
"köl","acardiac"
"kölege","acardite"
"kolesterol","acari"
"kollej","acarian"
"kollektor","acariasis"
"kolonial","acariatre"
"koloniýa","acaricidal"
"kolu","acaricide"
"komandir","acarid"
"komediýa","Acarida"
"kömek","acaridae"
"kömekçisi","acaridan"
"komissary","acaridans"
"komissiýa","Acaridea"
"komitet","acaridean"
"kommunist","acaridomatia"
"kompaniýasy","acaridomatium"
"kompozisiýasy","acarids"
"kompýuter","acariform"
"kömür","Acarina"
"köne","acarine"
"konferensiýa","acarines"
"kongres","acarinosis"
"Kongresiň","Acarnan"
"kongresmen","acarocecidia"
"konsentrasiýasy","acarocecidium"
"konsept","acarodermatitis"
"konsert","acaroid"
"konserwatiw","acarol"
"konstitusiýa","acarology"
"konteksti","acarologist"
"konwert","acarophilous"
"koordinator","acarophobia"
"köp","acarotoxic"
"köpçülik","acarpellous"
"köpçülikleýin","acarpelous"
"köplenç","acarpous"
"köplük","Acarus"
"köpri","ACAS"
"köpsanly","acast"
"köpürjik","Acastus"
"köpüsi","acatalectic"
"kör","acatalepsy"
"koreý","acatalepsia"
"koridorda","acataleptic"
"korol","acatallactic"
"korporasiýa","acatamathesia"
"korporatiw","acataphasia"
"korpus","acataposis"
"korrelýasiýa","acatastasia"
"korrupsiýa","acatastatic"
"köşe","acate"
"köşeş","acategorical"
"köşk","acater"
"kostýum","acatery"
"kostýum-jalbar","acates"
"kowalamak","acatharsy"
"köwlemek","acatharsia"
"köwüş","acatholic"
"köýnek","acaudal"
"kran","acaudate"
"kredit","acaudelescent"
"krem","acaulescence"
"kristal","acaulescent"
"krizis","acauline"
"kül","acaulose"
"Küme","acaulous"
"kümüş","ACAWS"
"kurort","ACB"
"kuwwat","ACBL"
"kuwwaty","ACC"
"kwant","acc."
"kyn","acca"
"kynçylyk","accable"
"kyrk","Accad"
"kyssa","accademia"
"kyssaçy","Accadian"
"lab","Accalia"
"labyr","acce"
"lager","accede"
"lal","acceded"
"lampa","accedence"
"laptop","acceder"
"lapykeç","acceders"
"lapykeçlik","accedes"
"latyn","acceding"
"laýyk","accel"
"laýyklykda","accel."
"lazer","accelerable"
"leb","accelerando"
"leksiýa","accelerant"
"lenta","accelerate"
"leýtenant","accelerated"
"lezzet","acceleratedly"
"liberal","accelerates"
"lider","accelerating"
"lift","acceleratingly"
"Lig","acceleration"
"limit","accelerations"
"limon","accelerative"
"linza","accelerator"
"lobbi","acceleratory"
"logika","accelerators"
"logiki","accelerograph"
"lord","accelerometer"
"losos","accelerometers"
"lukman","accelerometer's"
"lukmançylyk","accend"
"madda","accendibility"
"maddasy","accendible"
"magazineurnal","accensed"
"magistral","accension"
"maglumat","accensor"
"mahabat","accent"
"mahalle","accented"
"mähir","accenting"
"maıa","accentless"
"makala","accentor"
"makine","accentors"
"makiýaup","accents"
"maksady","accentuable"
"maksat","accentual"
"maksatnamalaryny","accentuality"
"maliıeleşdirmek","accentually"
"maliýe","accentuate"
"maliýeleşdirmek","accentuated"
"mallar","accentuates"
"mamam","accentuating"
"mämişi","accentuation"
"mandaty","accentuations"
"maňlaýy","accentuator"
"manyly","accentus"
"manysy","accept"
"manysyz","acceptability"
"märeke","acceptabilities"
"margin","acceptable"
"marka","acceptableness"
"marker","acceptably"
"marketing","acceptance"
"maşgala","acceptances"
"maşk","acceptance's"
"maska","acceptancy"
"maslahat","acceptancies"
"massiw","acceptant"
"master","acceptation"
"mata","acceptavit"
"matematika","accepted"
"material","acceptedly"
"materik","acceptee"
"maýa","acceptees"
"maýmyn","accepter"
"maýor","accepters"
"maýyp","acceptilate"
"maýyplyk","acceptilated"
"mazar","acceptilating"
"Mazda","acceptilation"
"mazmuny","accepting"
"mebel","acceptingly"
"medal","acceptingness"
"medeni","acception"
"medeniýeti","acceptive"
"mehanik","acceptor"
"mehaniki","acceptors"
"mehanizm","acceptor's"
"mekdep","acceptress"
"mekgejöwen","accepts"
"meksika","accerse"
"men","accersition"
"meniň","accersitor"
"meniňki","access"
"menýu","accessability"
"meňzeş","accessable"
"meňzeşligi","accessary"
"meňzeýär","accessaries"
"merhemet","accessarily"
"merkez","accessariness"
"merkezi","accessaryship"
"mertebesi","accessed"
"mesele","accesses"
"meşgul","accessibility"
"meşhur","accessibilities"
"meşhurlygy","accessible"
"metafora","accessibleness"
"metal","accessibly"
"metbugat","accessing"
"metr","accession"
"meýdança","accessional"
"meýdany","accessioned"
"meýilnamalaşdyryň","accessioner"
"meýletinçi","accessioning"
"meýli","accessions"
"mif","accession's"
"migrasiýa","accessit"
"mil","accessive"
"millet","accessively"
"milli","accessless"
"milliard","accessor"
"million","accessory"
"minimal","accessorial"
"ministr","accessories"
"ministrligi","accessorii"
"minnetdar","accessorily"
"minnetdarlyk","accessoriness"
"Minnetdarlyk","accessory's"
"minut","accessorius"
"miras","accessoriusorii"
"mirasy","accessorize"
"miwäniň","accessorized"
"miwe","accessorizing"
"mm","accessors"
"mm-hmm","accessor's"
"mmm","acciaccatura"
"möçberi","acciaccaturas"
"möçberli","acciaccature"
"moda","accidence"
"modeli","accidency"
"Modesta","accidencies"
"möhleti","accident"
"möhüm","accidental"
"möhümdir","accidentalism"
"möhür","accidentalist"
"möjek","accidentality"
"molekulasy","accidentally"
"monitor","accidentalness"
"moral","accidentals"
"mör-möjek","accidentary"
"motor","accidentarily"
"Möwsüm","accidented"
"mowzuk","accidential"
"müdir","accidentiality"
"mugallym","accidently"
"mugt","accident-prone"
"mukaddes","accidents"
"mukdary","accidia"
"multfilm","accidias"
"mümkin","accidie"
"mümkinçilik","accidies"
"müň","accinge"
"münmek","accinged"
"Müşderi","accinging"
"muskul","accipenser"
"muslum","accipient"
"Musulman","Accipiter"
"mutlak","accipitral"
"muzeý","accipitrary"
"myhman","Accipitres"
"myhmanhana","accipitrine"
"mylaýym","accipter"
"mynasyp","accise"
"mysal","accismus"
"myş-myş","accite"
"näbelli","Accius"
"nadan","acclaim"
"nadanlyk","acclaimable"
"nädip","acclaimed"
"nädogry","acclaimer"
"nagt","acclaimers"
"nagyş","acclaiming"
"nahar","acclaims"
"näme","acclamation"
"nasos","acclamations"
"natal-ya","acclamator"
"nätanyş","acclamatory"
"natriý","acclimatable"
"nazaryýeti","acclimatation"
"näzik","acclimate"
"nejis","acclimated"
"nemes","acclimatement"
"nerw","acclimates"
"neşe","acclimating"
"nesil","acclimation"
"neşir","acclimations"
"neşirýatçy","acclimatisable"
"netije","acclimatisation"
"Netije","acclimatise"
"Netijede","acclimatised"
"netijeli","acclimatiser"
"netijeliligi","acclimatising"
"nika","acclimatizable"
"nirede","acclimatization"
"nobatdaky","acclimatizations"
"nohut","acclimatize"
"nokat","acclimatized"
"nol","acclimatizer"
"Noýabr","acclimatizes"
"noýba","acclimatizing"
"nurbat","acclimature"
"nusga","acclinal"
"nusgawy","acclinate"
"nygtamak","acclivity"
"nyrhy","acclivities"
"nyşana","acclivitous"
"nyşany","acclivous"
"oba","accloy"
"obýekt","accoast"
"obýektiw","accoy"
"öçürildi","accoyed"
"of","accoying"
"ofis","accoil"
"ofiser","Accokeek"
"oglan","accolade"
"ogly","accoladed"
"ogry","accolades"
"ogurlamak","accolated"
"ogurlyk","accolent"
"öjükdirmek","accoll"
"ok","accolle"
"oka","accolled"
"okamak","accollee"
"okean","Accomac"
"Oktýabr","accombination"
"okuw","accommodable"
"okuwçy","accommodableness"
"öküz","accommodate"
"okyjy","accommodated"
"ol","accommodately"
"Ol","accommodateness"
"öl","accommodates"
"olar","accommodating"
"Olar","accommodatingly"
"olaryň","accommodatingness"
"ölçeg","accommodation"
"ölçegi","accommodational"
"ölçegleri","accommodationist"
"ölçemek","accommodations"
"öldi","accommodative"
"öldürmek","accommodatively"
"Olimpiada","accommodativeness"
"olimpiýa","accommodator"
"ölmek","accommodators"
"ölüm","accomodate"
"ömürlik","accompanable"
"on","accompany"
"öň","accompanied"
"oňaýsyz","accompanier"
"öňde","accompanies"
"öňdebaryjy","accompanying"
"öndüriji","accompanyist"
"öndürijiligi","accompaniment"
"öndürijilikli","accompanimental"
"öndürmek","accompaniments"
"öňe","accompaniment's"
"öňki","accompanist"
"onlarça","accompanists"
"onlaýn","accompanist's"
"önüm","accomplement"
"önümçilik","accompletive"
"onuň","accompli"
"ooh","accomplice"
"öp","accomplices"
"opeewropaly","accompliceship"
"opera","accomplicity"
"operasiýa","accomplis"
"operator","accomplish"
"oppozisiýa","accomplishable"
"optimist","accomplished"
"oral","accomplisher"
"orbitada","accomplishers"
"ördek","accomplishes"
"organ","accomplishing"
"organiki","accomplishment"
"organizm","accomplishments"
"orta","accomplishment's"
"ortaça","accomplisht"
"ortasy","accompt"
"orunbasary","accord"
"ösdürmek","accordable"
"ösdürmeli","accordance"
"ösen","accordances"
"ösümlik","accordancy"
"ösüş","accordant"
"ösüşi","accordantly"
"ösýän","accordatura"
"ösýär","accordaturas"
"ot","accordature"
"otag","accorded"
"otly","accorder"
"ötünç","accorders"
"otur","according"
"oturgyç","accordingly"
"oturylyşyk","accordion"
"otuz","accordionist"
"outfit","accordionists"
"owadan","accordions"
"öwgi","accordion's"
"öwreniň","accords"
"öwrenmek","accorporate"
"öwret","accorporation"
"öwretmek","accost"
"öwrüm","accostable"
"öwüren","accosted"
"öwürmek","accosting"
"öý","accosts"
"oýan!","accouche"
"öýdýän","accouchement"
"öýjük","accouchements"
"öýken","accoucheur"
"oýlanma","accoucheurs"
"öýlenen","accoucheuse"
"öýlenmek","accoucheuses"
"oýmak","accounsel"
"oýnamak","account"
"öýsüz-öwzarsyz","accountability"
"oýun","accountabilities"
"oýunçy","accountable"
"oýunjak","accountableness"
"Öz","accountably"
"özara","accountancy"
"özgeriş","accountancies"
"özgertme","accountant"
"özi","accountants"
"Özi","accountant's"
"özleri","accountantship"
"özüm","accounted"
"özümiz","accounter"
"özüň","accounters"
"özüni","accounting"
"pad","accountings"
"pagta","accountment"
"pajygaly","accountrement"
"pal","accounts"
"palçyk","accouple"
"palestinaly","accouplement"
"palma","accourage"
"palto","accourt"
"paluba","accouter"
"panel","accoutered"
"papa","accoutering"
"parad","accouterment"
"paragraf","accouterments"
"parahatçylyk","accouters"
"parahatçylykly","accoutre"
"parahor","accoutred"
"Park","accoutrement"
"parlament","accoutrements"
"partlady","accoutres"
"partlama","accoutring"
"päsgelçiligiň","Accoville"
"päsgelçilik","ACCRA"
"pastor","accrease"
"pata","accredit"
"patch","accreditable"
"patent","accreditate"
"patrul","accreditation"
"patyşa","accreditations"
"Patyşalyk","accredited"
"pauza","accreditee"
"paý","accrediting"
"paýhas","accreditment"
"paýla","accredits"
"paýlamak","accrementitial"
"paýlaş","accrementition"
"paýtagty","accresce"
"peç","accrescence"
"pelsepe","accrescendi"
"penjek","accrescendo"
"penjire","accrescent"
"Penşenbe","accretal"
"pensiýa","accrete"
"perişde","accreted"
"perspektiwaly","accretes"
"pes","accreting"
"peselmegi","accretion"
"peýdalanmak","accretionary"
"peýdaly","accretions"
"peýdalydyr","accretion's"
"peýdasy","accretive"
"peýnir","accriminate"
"peýza","Accrington"
"pianino","accroach"
"pidasy","accroached"
"pik","accroaching"
"pikap","accroachment"
"pikir","accroides"
"pikirlen","accruable"
"pikirlenmek","accrual"
"pil","accruals"
"pilot","accrue"
"pirog","accrued"
"pişik","accruement"
"piss","accruer"
"piwo","accrues"
"pizza","accruing"
"planeta","ACCS"
"planlama","ACCT"
"planşet","acct."
"plastmassa","accts"
"platforma","accubation"
"pleý-off","accubita"
"pm","accubitum"
"poçta","accubitus"
"poeziýa","accueil"
"pol","accultural"
"polat","acculturate"
"polisiýa","acculturated"
"polkownik","acculturates"
"polotensa","acculturating"
"polýus","acculturation"
"pomidor","acculturational"
"pop","acculturationist"
"poroşok","acculturative"
"port","acculturize"
"portret","acculturized"
"post","acculturizing"
"potensialy","accum"
"potolok","accumb"
"potratçy","accumbency"
"poz","accumbent"
"pozitiw","accumber"
"predator","accumulable"
"premium","accumulate"
"premýer","accumulated"
"prezentasiýa","accumulates"
"Prezident","accumulating"
"prezidenti","accumulation"
"prezidentligi","accumulations"
"prinsip","accumulativ"
"pro","accumulative"
"professional","accumulatively"
"professor","accumulativeness"
"programma","accumulator"
"programmirlemek","accumulators"
"progressiw","accumulator's"
"propaganda","accupy"
"proses","accur"
"prosesi","accuracy"
"prosessor","accuracies"
"prospekt","accurate"
"protein","accurately"
"protestçi","accurateness"
"proýeksiýa","accuratenesses"
"psiholog","accurre"
"psihologiki","accurse"
"psihologiýa","accursed"
"pugta","accursedly"
"pul","accursedness"
"punch","accursing"
"pursat","accurst"
"pyçak","accurtation"
"pygamber","accus"
"pyşbagasy","accusable"
"pyşyrdady","accusably"
"radar","accusal"
"radiasiýa","accusals"
"radikal","accusant"
"radio","accusants"
"raf","accusation"
"rahatlyk","accusations"
"raketa","accusation's"
"ranço","accusatival"
"rasional","accusative"
"raýat","accusative-dative"
"raýatlygy","accusatively"
"razy","accusativeness"
"razylyk","accusatives"
"reaksiýa","accusator"
"realistik","accusatory"
"redaktirläň","accusatorial"
"redaktor","accusatorially"
"rehimdarlyk","accusatrix"
"rehimsiz","accusatrixes"
"reňk","accuse"
"reňkli","accused"
"resept","accuser"
"resmi","accusers"
"resminama","accuses"
"respublikan","accusing"
"respublikasy","accusingly"
"restoran","accusive"
"resurs","accusor"
"reýting","accustom"
"reýtingi","accustomation"
"režim","accustomed"
"rim","accustomedly"
"Risk","accustomedness"
"ritm","accustoming"
"ritorika","accustomize"
"robot","accustomized"
"roly","accustomizing"
"roman","accustoms"
"romans","Accutron"
"romantik","ACD"
"rowaýat","ACDA"
"ruçka","AC-DC"
"rugsady","ACE"
"ruh","acea"
"ruhanysy","aceacenaphthene"
"ruhy","aceae"
"rulon","acean"
"rus","aceanthrene"
"sabyn","aceanthrenequinone"
"sabyr","acecaffin"
"sabyrly","acecaffine"
"saç","aceconitic"
"saçak","aced"
"sada","acedy"
"sagat","acedia"
"sagdyn","acediamin"
"saglyk","acediamine"
"şah","acedias"
"şahadatnamasy","acediast"
"şahamçasy","ace-high"
"şäher","Acey"
"şäherara","acey-deucy"
"sahna","aceite"
"şahsy","aceituna"
"şahsyýet","Aceldama"
"sahy","aceldamas"
"sahypa","acellular"
"şahyr","Acemetae"
"sakla","Acemetic"
"saklamak","acemila"
"salam","acenaphthene"
"salat","acenaphthenyl"
"salgylanma","acenaphthylene"
"salgysy","acenesthesia"
"salgyt","acensuada"
"salkyn","acensuador"
"salmak","acentric"
"sammit","acentrous"
"samsyk","aceology"
"sanawy","aceologic"
"sanjym","aceous"
"sanksiýalary","acephal"
"sanly","Acephala"
"sansyz","acephalan"
"sany","Acephali"
"sapak","acephalia"
"sapar","Acephalina"
"şar","acephaline"
"sargyt","acephalism"
"şärik","acephalist"
"sarp","Acephalite"
"sary","acephalocyst"
"sarymsak","acephalous"
"şatlyk","acephalus"
"satmak","acepots"
"satuw","acequia"
"satyjy","acequiador"
"şaýat","acequias"
"şaýatlyk","Acer"
"saýla","Aceraceae"
"saýlamak","aceraceous"
"saýlaň","Acerae"
"saýlaw","Acerata"
"saýlawçylaryň","acerate"
"şaý-sepler","acerated"
"şazada","Acerates"
"Şazada","acerathere"
"sazanda","Aceratherium"
"sazla","aceratosis"
"sazlamak","acerb"
"sazlaýjylary","Acerbas"
"sazly","acerbate"
"scout","acerbated"
"sebäbi","acerbates"
"sebäp","acerbating"
"sebet","acerber"
"sebit","acerbest"
"segmenti","acerbic"
"şeker","acerbically"
"şekil","acerbity"
"şekillendirýär","acerbityacerose"
"sekiz","acerbities"
"sekizinji","acerbitude"
"sekretary","acerbly"
"seksi","acerbophobia"
"sektor","acerdol"
"şem","aceric"
"şemal","acerin"
"sen","acerli"
"senagat","acerola"
"senagaty","acerolas"
"Senat","acerose"
"senator","acerous"
"Şenbe","acerra"
"sendwiç","acers"
"senenama","acertannin"
"senesi","acerval"
"senetçilik","acervate"
"seniňki","acervately"
"sensasiýa","acervatim"
"sent","acervation"
"sentýabr","acervative"
"serediň","acervose"
"seret","acervuli"
"seretmek","acervuline"
"sergi","acervulus"
"serhet","aces"
"serhoş","ace's"
"şerif","acescence"
"seriýa","acescency"
"şert","acescent"
"şertleri","acescents"
"şertnama","aceship"
"serwer","Acesius"
"seržant","acesodyne"
"ses","acesodynous"
"seslenme","Acessamenus"
"sessiýa","Acestes"
"setir","acestoma"
"Settle","acet-"
"seýilgäh","aceta"
"şeýle","acetable"
"Şeýlelikde","acetabula"
"seýrek","acetabular"
"sfera","Acetabularia"
"shemasy","acetabuliferous"
"shot","acetabuliform"
"signal","acetabulous"
"şikaýat","acetabulum"
"şikes","acetabulums"
"silkmek","acetacetic"
"sim","acetal"
"siňdirmek","acetaldehydase"
"sindromy","acetaldehyde"
"Sing","acetaldehydrase"
"şiresi","acetaldol"
"Siriýa","acetalization"
"şişe","acetalize"
"sişenbe","acetals"
"sitata","acetamid"
"siwilizasiýasy","acetamide"
"şkaf","acetamidin"
"skript","acetamidine"
"slam","acetamido"
"slaýd","acetamids"
"şlýapa","acetaminol"
"smile","Acetaminophen"
"şnur","acetanilid"
"soda","acetanilide"
"sogan","acetanion"
"sögünmek","acetaniside"
"söhbetdeşlik","acetanisidide"
"şöhle","acetanisidine"
"şöhlelendirme","acetannin"
"şöhlelendirmek","acetary"
"şöhrat","acetarious"
"şok","acetars"
"şokolad","acetarsone"
"şol","acetate"
"solo","acetated"
"solýar","acetates"
"soň","acetation"
"soňkusy","acetazolamide"
"soňrak","acetbromamide"
"soňraky","acetenyl"
"soňundan","Acetes"
"soňy","acethydrazide"
"sora","acetiam"
"sorag","acetic"
"sormak","acetify"
"sosial","acetification"
"sosna","acetified"
"sous","acetifier"
"sowatlylyk","acetifies"
"söwda","acetifying"
"söwdagär","acetyl"
"söweş","acetylacetonates"
"söweşiji","acetylacetone"
"söweşýär","acetylamine"
"sowet","acetylaminobenzene"
"sowgat","acetylaniline"
"şowsuz","acetylasalicylic"
"şowsuzlyk","acetylate"
"sowuk","acetylated"
"söýgi","acetylating"
