"Javanese","English"
"kuesioner","abstainment"
"kuku","abstains"
"kula","abstemious"
"kulawarga","abstemiously"
"kuliah","abstemiousness"
"kulit","abstention"
"kulon","abstentionism"
"kumandhang","abstentionist"
"kumpul","abstentions"
"kuna","abstentious"
"kuncine","absterge"
"kuning","absterged"
"kunjara","abstergent"
"kupas","absterges"
"kuping","absterging"
"kurang","absterse"
"kurban","abstersion"
"kurikulum","abstersive"
"kursi","abstersiveness"
"kurus","abstertion"
"kurva","abstinence"
"kutha","abstinences"
"kuthah","abstinency"
"kutipan","abstinent"
"kutub","abstinential"
"kuwat","abstinently"
"kuwatir","abstort"
"kuwi","abstr"
"lab","abstract"
"label","abstractable"
"laboratorium","abstracted"
"laci","abstractedly"
"lading","abstractedness"
"lair","abstracter"
"laku","abstracters"
"lali","abstractest"
"lambang","abstracting"
"lambe","abstraction"
"lampu","abstractional"
"lampus","abstractionism"
"lan","abstractionist"
"lanang","abstractionists"
"landhep","abstractions"
"langgeng","abstraction's"
"langit","abstractitious"
"langit-langit","abstractive"
"langka","abstractively"
"langkah","abstractiveness"
"langsir","abstractly"
"langsung","abstractness"
"lantai","abstractnesses"
"lapangan","abstractor"
"lapisan","abstractors"
"laporan","abstractor's"
"laptop","abstracts"
"lara","abstrahent"
"larang","abstrict"
"larangan","abstricted"
"laras","abstricting"
"laser","abstriction"
"latian","abstricts"
"latihan","abstrude"
"latin","abstruse"
"lawang","abstrusely"
"lawas","abstruseness"
"lay","abstrusenesses"
"layak","abstruser"
"layanan","abstrusest"
"layang","abstrusion"
"layar","abstrusity"
"layaran","abstrusities"
"legenda","absume"
"legislatif","absumption"
"leladen","absurd"
"lelampahan","absurder"
"leluhur","absurdest"
"lelungan","absurdism"
"lemah","absurdist"
"lemari","absurdity"
"lembah","absurdities"
"lembaran","absurdity's"
"lempung","absurdly"
"lemu","absurdness"
"lendhut","absurds"
"lenga","absurdum"
"lengen","absvolt"
"lensa","abt"
"leren","abterminal"
"lestari","abthain"
"letnan","abthainry"
"liberal","abthainrie"
"lift","abthanage"
"liga","abtruse"
"lik","Abu"
"lilin","abubble"
"limalas","Abu-Bekr"
"lindhu","Abucay"
"lingkungan","abucco"
"linglang","abuilding"
"lintang","Abukir"
"linuwih","abuleia"
"lirih","Abulfeda"
"lirik","abulia"
"lisan","abulias"
"lisensi","abulic"
"listrik","abulyeit"
"liwat","abulomania"
"liyane","abumbral"
"lobi","abumbrellar"
"log","Abuna"
"logam","abundance"
"logat","abundances"
"logika","abundancy"
"logis","abundant"
"lokal","Abundantia"
"lokasi","abundantly"
"loker","abune"
"loman","abura"
"lor","aburabozu"
"loro","aburagiri"
"loro-lorone","aburban"
"lorong","Abury"
"lsp","aburst"
"lucu","aburton"
"lugu","abusable"
"lukisan","abusage"
"lulus","abuse"
"lulusan","abused"
"lumahing","abusedly"
"lumaku","abusee"
"lumayan","abuseful"
"lumrah","abusefully"
"lunga","abusefulness"
"lungguh","abuser"
"luntur","abusers"
"luput","abuses"
"lurus","abush"
"luwe","abusing"
"mabur","abusion"
"maca","abusious"
"macan","abusive"
"macem-macem","abusively"
"mainstream","abusiveness"
"majalah","abusivenesses"
"majemuk","abut"
"majeng","Abuta"
"maju","Abutilon"
"makaryakke","abutilons"
"makhluk","abutment"
"makili","abutments"
"maksimal","abuts"
"makutha","abuttal"
"malah","abuttals"
"malaikat","abutted"
"malang","abutter"
"malih","abutters"
"maling","abutter's"
"mall","abutting"
"mamah","abuzz"
"mambu","abv"
"manajemen","abvolt"
"manajer","abvolts"
"manca","abwab"
"mancal","abwatt"
"mancing","abwatts"
"mandheg","ac"
"mandhek","ac-"
"maneh","a-c"
"mangan","AC/DC"
"mangertos","ACAA"
"mangga","Acacallis"
"manggoni","acacatechin"
"mangkok","acacatechol"
"mangkono","Acacea"
"mangsa","Acaceae"
"mangu-mangu","acacetin"
"manipulasi","Acacia"
"manis","Acacian"
"mantan","acacias"
"manten","acaciin"
"mantep","acacin"
"manthuk","acacine"
"mantra","acad"
"manufaktur","academe"
"manuk","academes"
"manunggal","Academy"
"manungsa","academia"
"mapan","academial"
"marang","academian"
"marine","academias"
"maringi","Academic"
"markas","academical"
"marketing","academically"
"mars","academicals"
"martakaké","academician"
"mas","academicians"
"masak","academicianship"
"masalah","academicism"
"masang","academics"
"maskapai","academie"
"massal","academies"
"massive","academy's"
"master","academise"
"masyarakat","academised"
"matak","academising"
"matematika","academism"
"matématika","academist"
"mateni","academite"
"materi","academization"
"matesi","academize"
"mati","academized"
"mayoritas","academizing"
"mbabarake","Academus"
"mbagekake","Acadia"
"mbah","acadialite"
"mbak","Acadian"
"mbakyu","Acadie"
"mbalekake","Acaena"
"mbalela","acajou"
"mbaleni","acajous"
"mbalikke","acal"
"mbandhingake","acalculia"
"mbangun","acale"
"mbantah","acaleph"
"mbanting","Acalepha"
"mbatalake","Acalephae"
"mbayangno","acalephan"
"mbayar","acalephe"
"mbebayani","acalephes"
"mbedakake","acalephoid"
"mbela","acalephs"
"mbenerake","Acalia"
"mbentuk","acalycal"
"mberkahi","acalycine"
"mbesuk","acalycinous"
"mbiji","acalyculate"
"mbiyantu","Acalypha"
"mbledhos","Acalypterae"
"mbokmenawa","Acalyptrata"
"mboseni","Acalyptratae"
"mbucal","acalyptrate"
"mbujuk","Acamar"
"mbukak","Acamas"
"mbuktekaken","Acampo"
"mbungkus","acampsia"
"mburi","acana"
"mburu","acanaceous"
"mbusak","acanonical"
"mbutuhake","acanth"
"mbuwang","acanth-"
"medal","acantha"
"medeni","Acanthaceae"
"media","acanthaceous"
"medis","acanthad"
"medium","Acantharia"
"megap-megap","acanthi"
"meh","Acanthia"
"meja","acanthial"
"mekanik","acanthin"
"mekanisme","acanthine"
"meksa","acanthion"
"meksiko","acanthite"
"melu","acantho-"
"memedi","acanthocarpous"
"memori","Acanthocephala"
"menang","acanthocephalan"
"menara","Acanthocephali"
"menarik","acanthocephalous"
"mendem","Acanthocereus"
"menehi","acanthocladous"
"menek","Acanthodea"
"meneng","acanthodean"
"mengaruhi","Acanthodei"
"mengeti","Acanthodes"
"mengko","acanthodian"
"menit","Acanthodidae"
"mentahan","Acanthodii"
"mental","Acanthodini"
"mentega","acanthoid"
"menteri","Acantholimon"
"mentheleng","acantholysis"
"menu","acanthology"
"menyang","acanthological"
"merdika","acanthoma"
"merek","acanthomas"
"meres","Acanthomeridae"
"merit","acanthon"
"mesem","Acanthopanax"
"mesin","Acanthophis"
"mesthi","acanthophorous"
"mesthine","acanthopod"
"meteng","acanthopodous"
"meter","acanthopomatous"
"metu","acanthopore"
"migrasi","acanthopteran"
"migunani","Acanthopteri"
"mikir","acanthopterygian"
"mil","Acanthopterygii"
"mili","acanthopterous"
"milih","acanthoses"
"militèr","acanthosis"
"milyar","acanthotic"
"minangka","acanthous"
"mine","Acanthuridae"
"minggu","Acanthurus"
"minimal","acanthus"
"minoritas","acanthuses"
"mirip","acanthuthi"
"mirsani","acapnia"
"mirunggan","acapnial"
"misi","acapnias"
"misil","acappella"
"misteri","acapsular"
"misterius","acapu"
"misuwur","Acapulco"
"mitos","acara"
"mitra","Acarapis"
"miturut","acarari"
"miwiti","acardia"
"miyak","acardiac"
"mlaku","acardite"
"mlaku-mlaku","acari"
"mlarat","acarian"
"mlayu","acariasis"
"mlebu","acariatre"
"mlengkung","acaricidal"
"mlumpat","acaricide"
"mm","acarid"
"mm-hmm","Acarida"
"mmm","acaridae"
"mobil","acaridan"
"mobile","acaridans"
"modal","Acaridea"
"model","acaridean"
"moderat","acaridomatia"
"modern","acaridomatium"
"modus","acarids"
"mogok","acariform"
"mokal","Acarina"
"molekul","acarine"
"momentum","acarines"
"moral","acarinosis"
"moralitas","Acarnan"
"motif","acarocecidia"
"motivasi","acarocecidium"
"motor","acarodermatitis"
"mrentah","acaroid"
"mrico","acarol"
"mriksa","acarology"
"mripat","acarologist"
"mriyang","acarophilous"
"muatan","acarophobia"
"mudha","acarotoxic"
"mudhun","acarpellous"
"mudun","acarpelous"
"mugi-mugi","acarpous"
"mukjijat","Acarus"
"mula","ACAS"
"mulane","acast"
"mulang","Acastus"
"mulihake","acatalectic"
"mulur","acatalepsy"
"mulus","acatalepsia"
"mumbul","acataleptic"
"muncul","acatallactic"
"mundhak","acatamathesia"
"mundhakaken","acataphasia"
"mundhut","acataposis"
"mundur","acatastasia"
"mung","acatastatic"
"munggah","acate"
"mungguh","acategorical"
"mungsuh","acater"
"muni","acatery"
"mupangati","acates"
"murah","acatharsy"
"murid","acatharsia"
"murub","acatholic"
"musataken","acaudal"
"museum","acaudate"
"musik","acaudelescent"
"musike","acaulescence"
"musisi","acaulescent"
"muslim","acauline"
"musuhan","acaulose"
"muter","acaulous"
"muter-muter","ACAWS"
"mutlak","ACB"
"mutusake","ACBL"
"nabi","ACC"
"naga","acc."
"nahan","acca"
"nakal","accable"
"nalika","Accad"
"naluri","accademia"
"nambah","Accadian"
"nambahi","Accalia"
"nambani","acce"
"nampa","accede"
"nampung","acceded"
"nandheske","accedence"
"nangani","acceder"
"nanggapi","acceders"
"nanggepi","accedes"
"nanggulangi","acceding"
"nanggung","accel"
"nanging","accel."
"nangis","accelerable"
"nangkep","accelerando"
"nantang","accelerant"
"napsirake","accelerate"
"narapidana","accelerated"
"narasi","acceleratedly"
"narator","accelerates"
"nari","accelerating"
"narik","acceleratingly"
"nasib","acceleration"
"nasional","accelerations"
"naskah","accelerative"
"natal","accelerator"
"natrium","acceleratory"
"nawarake","accelerators"
"ndaftar","accelerograph"
"ndandani","accelerometer"
"ndarbeni","accelerometers"
"ndedonga","accelerometer's"
"nderek","accend"
"ndeteksi","accendibility"
"ndharat","accendible"
"ndhelikake","accensed"
"ndhudhuk","accension"
"ndhukung","accensor"
"ndhuwur","accent"
"nduduhake","accented"
"nduweni","accenting"
"negara","accentless"
"negatif","accentor"
"negesake","accentors"
"nekat","accents"
"nekseni","accentuable"
"nelpon","accentual"
"nemen","accentuality"
"nemokake","accentually"
"nemtokake","accentuate"
"nemtokaken","accentuated"
"nemtokke","accentuates"
"nengsemake","accentuating"
"neraka","accentuation"
"nerangake","accentuations"
"nerbitake","accentuator"
"nerjemahake","accentus"
"nerusake","accept"
"nesu","acceptability"
"netepake","acceptabilities"
"netral","acceptable"
"ngabdi","acceptableness"
"ngadeg","acceptably"
"ngadhepi","acceptance"
"ngadopsi","acceptances"
"ngagetake","acceptance's"
"ngajak","acceptancy"
"ngajari","acceptancies"
"ngajokaken","acceptant"
"ngakoni","acceptation"
"ngaktifake","acceptavit"
"ngaku","accepted"
"ngalahake","acceptedly"
"ngalami","acceptee"
"ngalem","acceptees"
"ngalih","accepter"
"ngambang","accepters"
"ngambung","acceptilate"
"ngamuk","acceptilated"
"nganalisis","acceptilating"
"ngancam","acceptilation"
"ngancani","accepting"
"ngandhani","acceptingly"
"ngandhut","acceptingness"
"nganggep","acception"
"nganggo","acceptive"
"ngangkat","acceptor"
"nganti","acceptors"
"nganyari","acceptor's"
"ngapura","acceptress"
"ngapusi","accepts"
"ngarahake","accerse"
"ngarang","accersition"
"ngarep","accersitor"
"ngarsane","access"
"ngasilaken","accessability"
"ngaso","accessable"
"ngatasi","accessary"
"ngati-ati","accessaries"
"ngatur","accessarily"
"ngaturake","accessariness"
"ngawasi","accessaryship"
"ngawula","accessed"
"ngebom","accesses"
"ngeculake","accessibility"
"ngeculke","accessibilities"
"ngedol","accessible"
"ngedongkrak","accessibleness"
"ngeksploitasi","accessibly"
"ngekspor","accessing"
"ngelawan","accession"
"ngelingake","accessional"
"ngelingi","accessioned"
"ngelmu","accessioner"
"ngelu","accessioning"
"ngemasi","accessions"
"ngematake","accession's"
"ngembangaken","accessit"
"ngemot","accessive"
"ngenalaken","accessively"
"ngenali","accessless"
"ngendelake","accessor"
"ngendi","accessory"
"ngenteni","accessorial"
"ngenthengake","accessories"
"ngerteni","accessorii"
"ngerti","accessorily"
"ngeruk","accessoriness"
"ngetang","accessory's"
"ngethok","accessorius"
"ngevaluasi","accessoriusorii"
"ngeyel","accessorize"
"nggabungake","accessorized"
"nggambar","accessorizing"
"nggambarake","accessors"
"nggambaraké","accessor's"
"nggampangake","acciaccatura"
"nggandhengake","acciaccaturas"
"ngganggu","acciaccature"
"nggantheng","accidence"
"ngganti","accidency"
"nggantung","accidencies"
"nggatekke","accident"
"nggawa","accidental"
"nggawe","accidentalism"
"nggayuh","accidentalist"
"nggedhekake","accidentality"
"nggegirisi","accidentally"
"nggoleki","accidentalness"
"nggolongake","accidentals"
"nggosok","accidentary"
"nggumunake","accidentarily"
"nggumunke","accidented"
"nggunakake","accidential"
"nggunakke","accidentiality"
"nggusah","accidently"
"ngguyu","accident-prone"
"ngidini","accidents"
"ngidinke","accidia"
"ngidoni","accidias"
"ngiket","accidie"
"ngilangake","accidies"
"ngilangi","accinge"
"ngimpi","accinged"
"ngimpor","accinging"
"nginep","accipenser"
"nginstal","accipient"
"ngira","Accipiter"
"ngirim","accipitral"
"ngirit","accipitrary"
"ngisi","Accipitres"
"ngisolasi","accipitrine"
"ngisor","accipter"
"ngitung","accise"
"ngiwa","accismus"
"ngiyanati","accite"
"ngiyataken","Accius"
"nglakoake","acclaim"
"nglakokaké","acclaimable"
"nglalekake","acclaimed"
"nglamar","acclaimer"
"nglampahi","acclaimers"
"nglanggar","acclaiming"
"nglangi","acclaims"
"nglaporake","acclamation"
"nglarang","acclamations"
"nglarani","acclamator"
"nglawan","acclamatory"
"nglebokake","acclimatable"
"ngleksanakake","acclimatation"
"nglelebke","acclimate"
"nglengkapi","acclimated"
"nglindhungi","acclimatement"
"nglirik","acclimates"
"nglirwakake","acclimating"
"ngluwari","acclimation"
"ngluwihi","acclimations"
"ngobong","acclimatisable"
"ngombe","acclimatisation"
"ngombé","acclimatise"
"ngomong","acclimatised"
"ngonsumsi","acclimatiser"
"ngormati","acclimatising"
"ngowahi","acclimatizable"
"ngoyak","acclimatization"
"ngrameke","acclimatizations"
"ngrampok","acclimatize"
"ngrampungake","acclimatized"
"ngrancang","acclimatizer"
"ngrangkul","acclimatizes"
"ngrasa","acclimatizing"
"ngrawat","acclimature"
"ngrebut","acclinal"
"ngrekam","acclinate"
"ngreksa","acclivity"
"ngrembaka","acclivities"
"ngritik","acclivitous"
"ngrokok","acclivous"
"ngrujuk","accloy"
"ngrungokake","accoast"
"ngrusak","accoy"
"ngubengi","accoyed"
"nguber","accoying"
"ngubur","accoil"
"ngudani","Accokeek"
"ngujo","accolade"
"ngukir","accoladed"
"ngukum","accolades"
"ngukur","accolated"
"ngulandara","accolent"
"ngulu","accoll"
"ngumbah","accolle"
"ngumbara","accolled"
"ngumpul","accollee"
"ngumpulake","Accomac"
"ngumumake","accombination"
"nguncalake","accommodable"
"ngunci","accommodableness"
"ngungsi","accommodate"
"ngunjungi","accommodated"
"ngupaya","accommodately"
"ngurmati","accommodateness"
"ngurutake","accommodates"
"ngusap","accommodating"
"ngusulake","accommodatingly"
"ngutangi","accommodatingness"
"ngutip","accommodation"
"nguwasani","accommodational"
"nguwatake","accommodationist"
"ngyakinake","accommodations"
"niat","accommodative"
"nikah","accommodatively"
"nilai","accommodativeness"
"nilar","accommodator"
"nimbang","accommodators"
"nindakake","accomodate"
"ninggalake","accompanable"
"ningkataké","accompany"
"nirlaba","accompanied"
"njaba","accompanier"
"njaga","accompanies"
"njaluk","accompanying"
"njamin","accompanyist"
"njeblug","accompaniment"
"njelajah","accompanimental"
"njero","accompaniments"
"njlentrehake","accompaniment's"
"njlèntrèhaké","accompanist"
"njupuk","accompanists"
"nliti","accompanist's"
"nolak","accomplement"
"nomer","accompletive"
"nominasi","accompli"
"nompo","accomplice"
"nonton","accomplices"
"novel","accompliceship"
"november","accomplicity"
"nuduh","accomplis"
"nuduhake","accomplish"
"nuklir","accomplishable"
"nul","accomplished"
"nulis","accomplisher"
"nulungi","accomplishers"
"numpak","accomplishes"
"nundha","accomplishing"
"nunjukake","accomplishment"
"nuntut","accomplishments"
"nurunake","accomplishment's"
"nuruti","accomplisht"
"nuthuk","accompt"
"nutrisi","accord"
"nutup","accordable"
"nyabrang","accordance"
"nyalahke","accordances"
"nyalonake","accordancy"
"nyaman","accordant"
"nyambung","accordantly"
"nyampur","accordatura"
"nyana","accordaturas"
"nyapu","accordature"
"nyaranake","accorded"
"nyaring","accorder"
"nyata","accorders"
"nyatane","according"
"nyawa","accordingly"
"nyawang","accordion"
"nyawiji","accordionist"
"nyebar","accordionists"
"nyebarake","accordions"
"nyedhiyakake","accordion's"
"nyedhot","accords"
"nyegah","accorporate"
"nyegat","accorporation"
"nyekel","accost"
"nyelarasake","accostable"
"nyelehake","accosted"
"nyelidiki","accosting"
"nyelip","accosts"
"nyeluk","accouche"
"nyemangati","accouchement"
"nyenengake","accouchements"
"nyengkuyung","accoucheur"
"nyengsemaken","accoucheurs"
"nyenyet","accoucheuse"
"nyepak","accoucheuses"
"nyerang","accounsel"
"nyerbu","account"
"nyerep","accountability"
"nyeret","accountabilities"
"nyeri","accountable"
"nyetak","accountableness"
"nyetel","accountably"
"nyetujoni","accountancy"
"nyewa","accountancies"
"nyiapake","accountant"
"nyilih","accountants"
"nyilikake","accountant's"
"nyimpen","accountantship"
"nyimpulake","accounted"
"nyinggung","accounter"
"nyingkirake","accounters"
"nyingkiri","accounting"
"nyipta","accountings"
"nyisakke","accountment"
"nyoba","accountrement"
"nyolong","accounts"
"nyopir","accouple"
"nyuda","accouplement"
"nyumbang","accourage"
"nyunting","accourt"
"nyurung","accouter"
"nyusup","accoutered"
"nyusut","accoutering"
"nyuwek","accouterment"
"nyuwun","accouterments"
"oak","accouters"
"obah","accoutre"
"obat","accoutred"
"objektif","accoutrement"
"obrolan","accoutrements"
"obyek","accoutres"
"oh","accoutring"
"oke","Accoville"
"oksigen","ACCRA"
"oktober","accrease"
"olahraga","accredit"
"olimpiade","accreditable"
"omah","accreditate"
"omah-omah","accreditation"
"ombak","accreditations"
"online","accredited"
"ons","accreditee"
"ooh","accrediting"
"opera","accreditment"
"operasi","accredits"
"operate","accrementitial"
"operator","accrementition"
"oposisi","accresce"
"optimistis","accrescence"
"ora","accrescendi"
"orane","accrescendo"
"oranye","accrescent"
"orbit","accretal"
"organ","accrete"
"organik","accreted"
"organisasi","accretes"
"organisme","accreting"
"orientasi","accretion"
"otak","accretionary"
"otomatis","accretions"
"otot","accretion's"
"output","accretive"
"owah-owahan","accriminate"
"oyod","Accrington"
"pabrik","accroach"
"pabrikan","accroached"
"pacare","accroaching"
"pad","accroachment"
"padesan","accroides"
"padha","accruable"
"padhang","accrual"
"padhet","accruals"
"padu","accrue"
"padusan","accrued"
"pager","accruement"
"pahargyan","accruer"
"pahlawan","accrues"
"pait","accruing"
"pajak","ACCS"
"Pak","ACCT"
"pakan","acct."
"pakaryan","accts"
"paket","accubation"
"pakewuh","accubita"
"pakulinan","accubitum"
"pakumpulan","accubitus"
"pakunjaran","accueil"
"pakurmatan","accultural"
"pal","acculturate"
"palestina","acculturated"
"paling","acculturates"
"palsu","acculturating"
"Palsu","acculturation"
"palu","acculturational"
"paman","acculturationist"
"pambayaran","acculturative"
"pambiji","acculturize"
"pamblokiran","acculturized"
"pambocoran","acculturizing"
"pambuka","accum"
"pamburu","accumb"
"pameran","accumbency"
"pamilih","accumbent"
"pamireng","accumber"
"pamirsa","accumulable"
"pamisah","accumulate"
"pamit","accumulated"
"pamrentahan","accumulates"
"pamriksan","accumulating"
"pamukiman","accumulation"
"pamungkas","accumulations"
"pamuter","accumulativ"
"pan","accumulative"
"panah","accumulatively"
"panampa","accumulativeness"
"panandha","accumulator"
"panas","accumulators"
"pancen","accumulator's"
"pancet","accupy"
"pancing","accur"
"pandakwa","accuracy"
"pandhita","accuracies"
"pandonga","accurate"
"panel","accurately"
"panemon","accurateness"
"panemu","accuratenesses"
"panemuan","accurre"
"pangadeg","accurse"
"panganan","accursed"
"pangandikan","accursedly"
"panganggo","accursedness"
"panganiaya","accursing"
"pangarep-arep","accurst"
"pangareping","accurtation"
"pangayoman","accus"
"pangecualian","accusable"
"pangeling-eling","accusably"
"pangembang","accusal"
"pangembangan","accusals"
"pangenalan","accusant"
"pangentukan","accusants"
"pangeran","accusation"
"pangerten","accusations"
"pangertèn","accusation's"
"panggang","accusatival"
"panggantos","accusative"
"panggonan","accusative-dative"
"panggunaan","accusatively"
"pangilon","accusativeness"
"panginten","accusatives"
"pangiriman","accusator"
"pangkat","accusatory"
"panglipur","accusatorial"
"pangolahan","accusatorially"
"pangopènan","accusatrix"
"pangrasa","accusatrixes"
"pangripta","accuse"
"pangrungu","accused"
"panguburan","accuser"
"pangukuran","accusers"
"pangurangan","accuses"
"pangurus","accusing"
"paningal","accusingly"
"panitia","accusive"
"panjaluk","accusor"
"panjelasan","accustom"
"Panjenengan","accustomation"
"panliti","accustomed"
"panrima","accustomedly"
"panriman","accustomedness"
"pantai","accustoming"
"pantes","accustomize"
"panuku","accustomized"
"panulis","accustomizing"
"panuntun","accustoms"
"panutup","Accutron"
"panuwun","ACD"
"panyawang","ACDA"
"panyedhiya","AC-DC"
"panyengkuyung","ACE"
"panyiapan","acea"
"panyimpenan","aceacenaphthene"
"panyuwunan","aceae"
"papak","acean"
"papan","aceanthrene"
"paparan","aceanthrenequinone"
"papat","acecaffin"
"parade","acecaffine"
"paragraf","aceconitic"
"paramèter","aced"
"pariwara","acedy"
"parkir","acedia"
"parlemen","acediamin"
"partikel","acediamine"
"partisipasi","acedias"
"paru-paru","acediast"
"pas","ace-high"
"pasamuwan","Acey"
"pasang","acey-deucy"
"pasangan","aceite"
"pasar","aceituna"
"paseduluran","Aceldama"
"paseksi","aceldamas"
"pasokan","acellular"
"pasukan","Acemetae"
"pasuryan","Acemetic"
"paten","acemila"
"pati","acenaphthene"
"patrap","acenaphthenyl"
"patroli","acenaphthylene"
"patung","acenesthesia"
"paukuman","acensuada"
"paus","acensuador"
"pawon","acentric"
"pc","acentrous"
"pecahan","aceology"
"pecut","aceologic"
"pedhang","aceous"
"pedoman","acephal"
"peer","Acephala"
"pegatan","acephalan"
"pegawe","Acephali"
"pegaweyan","acephalia"
"pejuang","Acephalina"
"pekarangan","acephaline"
"pelabuhan","acephalism"
"pelanggan","acephalist"
"pelari","Acephalite"
"pelatih","acephalocyst"
"pelayanan","acephalous"
"peluru","acephalus"
"pemain","acepots"
"pemandangan","acequia"
"pemanggih","acequiador"
"pembangunan","acequias"
"pembawa","Acer"
"pembimbing","Aceraceae"
"pembunuh","aceraceous"
"pemicu","Acerae"
"pemilihan","Acerata"
"pemilu","acerate"
"pemrograman","acerated"
"pen","Acerates"
"penahanan","acerathere"
"penari","Aceratherium"
"penasaran","aceratosis"
"penasehat","acerb"
"pencegahan","Acerbas"
"pendamping","acerbate"
"pendanaan","acerbated"
"pendekatan","acerbates"
"pendhudhukan","acerbating"
"pendidik","acerber"
"pendidikan","acerbest"
"penegakan","acerbic"
"penerbit","acerbically"
"penerbitan","acerbity"
"penet","acerbityacerose"
"pengacara","acerbities"
"pengadilan","acerbitude"
"pengalaman","acerbly"
"pengamat","acerbophobia"
"pengamatan","acerdol"
"pengangguran","aceric"
"pengarang","acerin"
"pengaruhe","acerli"
"pengawas","acerola"
"pengawasan","acerolas"
"pengeboran","acerose"
"pengecer","acerous"
"pengetan","acerra"
"penggemar","acers"
"penghargaan","acertannin"
"penghasilan","acerval"
"pengikut","acervate"
"pengin","acervately"
"pengumuman","acervatim"
"pengungsi","acervation"
"pengunjung","acervative"
"pengusaha","acervose"
"penipuan","acervuli"
"pensiun","acervuline"
"penting","acervulus"
"penumpang","aces"
"penunggang","ace's"
"penuntutan","acescence"
"penyakit","acescency"
"penyalahgunaan","acescent"
"penyanyi","acescents"
"Penyebaran","aceship"
"penyidik","Acesius"
"penyihir","acesodyne"
"penyu","acesodynous"
"penyuluhan","Acessamenus"
"pepeteng","Acestes"
"peradaban","acestoma"
"peralatan","acet-"
"peran","aceta"
"perang","acetable"
"perangan","acetabula"
"perawat","acetabular"
"perawatan","Acetabularia"
"perbudakan","acetabuliferous"
"perdana","acetabuliform"
"perhiasan","acetabulous"
"perjuangan","acetabulum"
"perkawinan","acetabulums"
"perlu","acetacetic"
"permanen","acetal"
"permen","acetaldehydase"
"perpustakaan","acetaldehyde"
"persamaan","acetaldehydrase"
"persen","acetaldol"
"persentasi","acetalization"
"persepsi","acetalize"
"persetujuan","acetals"
"persiapan","acetamid"
"persis","acetamide"
"personel","acetamidin"
"perspektif","acetamidine"
"pertahanan","acetamido"
"pertimbangan","acetamids"
"pertunangan","acetaminol"
"perusahaan","Acetaminophen"
"perwakilan","acetanilid"
"pesawat","acetanilide"
"pesen","acetanion"
"peserta","acetaniside"
"pesisir","acetanisidide"
"pesona","acetanisidine"
"pesta","acetannin"
"pet","acetary"
"peta","acetarious"
"peteng","acetars"
"peternakan","acetarsone"
"petugas","acetate"
"piagam","acetated"
"piano","acetates"
"pickup","acetation"
"pie","acetazolamide"
"pigura","acetbromamide"
"pikiran","acetenyl"
"pil","Acetes"
"pilih","acethydrazide"
"pilihan","acetiam"
"pilot","acetic"
"pimpinan","acetify"
"pin","acetification"
"pindai","acetified"
"pindho","acetifier"
"pinggiran","acetifies"
"pinggul","acetifying"
"pinter","acetyl"
"pinunjul","acetylacetonates"
"pinus","acetylacetone"
"pipa","acetylamine"
"pipi","acetylaminobenzene"
"pipis","acetylaniline"
"pirang-pirang","acetylasalicylic"
"piranti","acetylate"
"piring","acetylated"
"pisah","acetylating"
"pit","acetylation"
"pitados","acetylative"
"pitakon","acetylator"
"pitch","acetylbenzene"
"pitik","acetylbenzoate"
"pitu","acetylbenzoic"
"pituduh","acetylbiuret"
"pitulungan","acetylcarbazole"
"pitungan","acetylcellulose"
"pitunjuk","acetylcholine"
"pitutur","acetylcholinesterase"
"piwulang","acetylcholinic"
"piyambakan","acetylcyanide"
"pizza","acetylenation"
"planet","acetylene"
"plastik","acetylenediurein"
"plataran","acetylenes"
"platform","acetylenic"
"playoff","acetylenyl"
"plot","acetylenogen"
"plus","acetylfluoride"
"pm","acetylglycin"
"podho","acetylglycine"
"podo-podo","acetylhydrazine"
"pojok","acetylic"
"pokoke","acetylid"
"pola","acetylide"
"polisi","acetyliodide"
"politik","acetylizable"
"politisi","acetylization"
"polling","acetylize"
"polos","acetylized"
"polusi","acetylizer"
"pompa","acetylizing"
"pon","acetylmethylcarbinol"
"pop","acetylperoxide"
"popularitas","acetylphenylhydrazine"
"populasi","acetylphenol"
"populer","acetylrosaniline"
"porsi","acetyls"
"portofolio","acetylsalicylate"
"pose","acetylsalicylic"
"posisi","acetylsalol"
"positif","acetyltannin"
"poster","acetylthymol"
"pot","acetyltropeine"
"potensial","acetylurea"
"potong","acetimeter"
"potongan","acetimetry"
"potret","acetimetric"
"PR","acetin"
"prabédan","acetine"
"prabot","acetins"
"pracaya","acetite"
"prahara","acetize"
"prajanjen","acetla"
"prajurit","acetmethylanilide"
"prakara","acetnaphthalide"
"praktis","aceto-"
"praktisi","acetoacetanilide"
"pramuka","acetoacetate"
"pranala","acetoacetic"
"pranata","acetoamidophenol"
"pranatan","acetoarsenite"
"prancis","Acetobacter"
"prangko","acetobenzoic"
"prasaja","acetobromanilide"
"prasarana","acetochloral"
"prasetya","acetocinnamene"
"pratelan","acetoin"
"prau","acetol"
"prawan","acetolysis"
"prayoga","acetolytic"
"predator","acetometer"
"prédhiksi","acetometry"
"preduli","acetometric"
"preferensi","acetometrical"
"preian","acetometrically"
"premis","acetomorphin"
"premium","acetomorphine"
"presentation","acetonaemia"
"presiden","acetonaemic"
"prestasi","acetonaphthone"
"pribadi","acetonate"
"pribadine","acetonation"
"pribumi","acetone"
"prihatin","acetonemia"
"prilaku","acetonemic"
